q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q15110001_00: B Rank Target Subjugation: Farana Plains                                 | Bランク　指定討伐：ファーラナ平原
q15110002_00: A Rank Target Subjugation: Farana Plains                                 | Aランク　指定討伐：ファーラナ平原
q15110003_00: S Rank Target Subjugation: Farana Plains                                 | Sランク　指定討伐：ファーラナ平原
q15120002_00: S Rank Target Subjugation: Kingal Canyon                                 | Sランク　指定討伐：キンガル峡谷
q15130003_00: Feryana Wilderness S                                                     | フェルヤナ荒原　Ｓ
q15140003_00: S Rank Target Subjugation: Megadosys Plateau                             | Sランク　指定討伐：メガドシス高地
q15150003_00: A Rank Target Subjugation: Urteca Mountains                              | Aランク　指定討伐：ウルテカ山岳
q19000004_00: Package Quest Inspection 4                                               | パッケージクエスト検証4
q20000000_00: A Calamity at the Cathedral Ruins                                        | 廃教会の異変
q20000001_00: The Woes of a Merchant                                                   | ある行商人の悩み
q20000002_00: A Transporter's Tragedy                                                  | 輸送係の悲劇
q20000003_00: An Assistant's Assistant                                                 | 助手の助手
q20000004_00: A Petition to Rid of Demons in Ruins                                     | 嘆願書対応　廃墟魔物退治
q20000005_00: The Mysterious Monolith                                                  | 未知なる大石塊
q20000006_00: The Evil Lurking in the Tombs                                            | 霊廟に巣くう災
q20000007_00: Crackdown on Store Vandals                                               | 倉庫荒らしを懲らしめろ
q20000008_00: The Raiding Orc Platoon                                                  | 侵入のオーク小隊
q20000009_00: Request for Medicine                                                     | 薬を求めて
q20000010_00: The Traveler's Scout                                                     | 旅人の露払い
q20000011_00: A Concern for Artifacts                                                  | 気になるあの品
q20000012_00: Seeking Peace                                                            | 求めるは平穏
q20000013_00: Beloved Forest                                                           | 愛しき森を――
q20000014_00: A Heart Throbs Once More                                                 | ときめきをもう一度
q20000015_00: Knight and Arisen                                                        | 騎士と覚者
q20000016_00: The Price of Honor                                                       | 矜持の代償
q20000017_00: Fabio's Collectibles                                                     | ファビオの収集品
q20000018_00: Fabio and Monster-Slaying                                                | ファビオと魔物退治
q20005000_00: Sky-Concealing Wings                                                     | 天を覆う翼
q20005001_00: Confrontation with Scouts                                                | 偵察部隊との遭遇
q20005002_00: Ambush in the Well's Depths                                              | 井戸底の伏兵達
q20005003_00: Dweller in the Darkness                                                  | 暗がりに住まう者
q20005004_00: Whispers of the Dark                                                     | 闇からのささやき
q20005006_00: A Detestable Guard                                                       | 忌むべき番人
q20005010_00: The Knights' Bitter Enemy                                                | 騎士団の仇敵
q20005011_00: A Man-Eating Ogre Appears!                                               | 人喰い鬼、現る！
q20005012_00: Urgent Inspection: Hidell Plains Treasure Expedition                     | 【緊急探索】財宝調査隊　ハイデル平原
q20005013_00: Phantom Thieves: Omen of Madness                                         | 【怪盗乱魔】狂騒の兆し
q20005014_00: Collecting Souls: Corpse Encounter                                       | 【鬼哭蒐集】邂逅の屍者
q20010000_00: Beach Bandits                                                            | 海辺の強盗団
q20010001_00: Boat's Buddy                                                             | 船は良き友
q20010002_00: The Waterfall of Mystery                                                 | 神秘の滝に
q20010003_00: The Sea-Watcher's Hand                                                   | 海の見張り手
q20010004_00: A Malice in the Dark                                                     | 闇に浮かぶ悪意
q20010005_00: The Mystery of the Wasted Ruins                                          | 廃墟荒らしの怪
q20010006_00: Along the Faraway Sea                                                    | 遥か海原の先へ――
q20010007_00: Shadow from the South Shore                                              | 南の浜から迫る影
q20010008_00: Enter Heaven and Earth: Unexpected Descent                               | 【進天動地】思いがけぬ急襲
q20015000_00: From the Water's Depths                                                  | 水底より来たりて
q20015001_00: That Which Tramples the Ground                                           | 大地を踏みしだく者
q20015002_00: Phantoms in the Moonlight                                                | 月下の亡霊
q20015003_00: An Unexpected Encounter                                                  | 思いがけぬ邂逅
q20015004_00: A Seaside Mystery                                                        | 海辺の怪奇
q20015005_00: Dispatch a Clamor of Harpies!                                            | ハーピーの群を討て！
q20015006_00: Urgent Inspection: Breya Coast Treasure Expedition                       | 【緊急探索】財宝調査隊　ブリア海岸
q20020000_00: The Fort's Supply Problems                                               | 砦の物資事情
q20020001_00: The Missing Report                                                       | 足りない報告書
q20020002_00: Unexpected Training                                                      | 降って湧いた修練
q20020003_00: A Commotion in the Cellar                                                | ざわめきの地下室
q20020004_00: Lise's Lost Property                                                     | リズの落し物
q20020005_00: A Gathering of Demons in the Old Temple                                  | 旧神殿に集う魔
q20020006_00: Urgent Directive! Eliminate the Demons to the North                      | 緊急指令！　北部魔物討伐
q20020007_00: A Situation on the Mountain Road                                         | 山道の危機管理
q20020008_00: The Gathering Menace                                                     | 集う脅威
q20020009_00: The Residents of Darkness                                                | 暗がりの住民達
q20020010_00: The Stolen Treasure                                                      | 奪われた逸品
q20020011_00: Reclaiming the Route                                                     | 連絡路を取り戻せ
q20025000_00: The Resident Demonic Lion                                                | 巣くいし魔獅子
q20025001_00: The One-Eyed Guardian                                                    | 単眼の番人
q20025002_00: Seeking Fiend Wing Membrane                                              | 悪魔の翼膜を求めて
q20025003_00: The Lurking Marauders                                                    | 潜みし略奪者
q20025004_00: The Silver Fiend (他クエで名称流用中)                                      | 銀色の悪鬼（他クエで名称流用中）
q20025005_00: A Huge Armored Creature Appears!                                         | 大鎧、現る！
q20025006_00: A Paired Encounter                                                       | 遭遇の双撃
q20025007_00: The King of Bones                                                        | 骨の王
q20025008_00: The Blue-Scaled Wicked Dragon                                            | 青鱗の凶竜
q20025009_00: A Whirling Hawk on a Dark Night                                          | 闇夜に舞う鷹
q20025010_00: Urgent Inspection: Betland Plains Treasure Expedition                    | 【緊急探索】財宝調査隊　バートランド平原
q20030000_00: A Nest of Labor and Love                                                 | 愛と苦労の巣作り
q20030001_00: The Curious Gourmand                                                     | 美食家の探究心
q20030002_00: Historical Mementos                                                      | 時を刻む遺物
q20030003_00: The Timeless Castle                                                      | 悠久の古城
q20030004_00: Undying Pride                                                            | 誇りは朽ちず
q20030005_00: A Petty Thief's Woes                                                     | コソ泥の受難
q20030006_00: The Incapable Courier                                                    | 運べぬ運び屋
q20030007_00: The Spectator                                                            | 高みの見物
q20030008_00: No Unexpected Guests                                                     | 珍客お断り
q20030009_00: With the Howling of the Wind                                             | 風鳴りと共に
q20035000_00: The Witch of the Old Castle                                              | 古城の魔女
q20035001_00: The Sleeping Giant                                                       | まどろみの巨人
q20035002_00: The Footsteps in the Halls                                               | 石廊に響く足音
q20035003_00: The Glittering Horn                                                      | 輝く一本角
q20035004_00: The Wandering Knights                                                    | 彷徨える騎士団
q20035005_00: The Apes of Mayhem                                                       | 騒乱のエイプ達
q20035006_00: Misty Specters                                                           | 霧に紛れた影
q20035007_00: A Desire to Feed                                                         | 貪り喰らうもの
q20035008_00: The Echoing Roars in the Tunnel                                          | 坑道に響く咆哮
q20035009_00: After That Dragon!                                                       | あの竜を追え！
q20035010_00: Urgent Inspection: Dowe Valley Treasure Expedition                       | 【緊急探索】財宝調査隊　ダウ渓谷
q20040000_00: A Stylish Consideration                                                  | おしゃれの対価
q20040001_00: The Mysterious Living Treasure                                           | 生きたお宝の謎
q20040002_00: A Territorial Dispute                                                    | 縄張り守備隊長
q20040003_00: A Burden of Procurement                                                  | 仕入れの重責
q20040004_00: The Cause of the Hot Springs Blockage                                    | 湯詰まりの元
q20040005_00: The Tempting Lights                                                      | 誘う光
q20040006_00: A Grim Pilgrimage                                                        | 険しき堂参り
q20040007_00: A Miner's Lifeline                                                       | 採掘師の生命線
q20040008_00: Volden Poisonous Springs Investigation                                   | ボルド毒泉調査
q20040009_00: Wounded Honor                                                            | 傷ついた名誉
q20045000_00: The Bright One-Eyed                                                      | 大坑道に光る一つ目
q20045001_00: A Messenger from the Underworld                                          | 黄泉からの使者
q20045002_00: Shadows within the Cave                                                  | 岩窟の巨影
q20045003_00: The Tunnel Beast                                                         | 坑道の怪物
q20045004_00: Rock-Crushing Fangs                                                      | 岩砕きの大牙
q20045005_00: Trapped in a Nightmare                                                   | 覚めえぬ悪夢
q20045006_00: Seeking Riese Extract                                                    | レーゼ・エクストラクトを求めて
q20045007_00: Urgent Inspection: Volden Mines Treasure Expedition                      | 【緊急探索】財宝調査隊　ボルド鉱山
q20045008_00: Phantom Thieves: Passionate Pursuit Team                                 | 【怪盗乱魔】情念の追跡隊
q20050000_00: Approaching Hostility                                                    | 迫る敵意
q20050001_00: In the Darkness                                                          | 暗がりに消ゆ
q20050002_00: Crisis within a Cave                                                     | 洞穴に巣くう危機
q20050003_00: Defending Lynwood                                                        | リンウッド防衛戦
q20050004_00: Flowers Bathed in Light                                                  | 光浴びる花
q20050005_00: Echoing Footsteps in the Cave                                            | 鍾乳洞に響く足音
q20050006_00: The Witch of the Forest                                                  | 森の魔術師
q20050007_00: An Ancient Gathering                                                     | 古より集うもの
q20050008_00: A Gourmand's Forest Protection                                           | 美食家の森林保護
q20050009_00: The Bridges of Our Livelihood                                            | 橋は我らが命なり
q20055000_00: Scaled Soldiers                                                          | 鱗持つ戦士達
q20055001_00: A Strange Bird Dances in the Forest                                      | 森に舞う妖鳥
q20055002_00: The Mystery of Mysree Limestone Cave                                     | ミスリウ洞の怪
q20055003_00: Shadows in the Demon's Den                                               | 魔洞にひしめく影
q20055004_00: The Abductors' True Nature                                               | 人攫いの正体
q20055005_00: Fluttering Calls of Death                                                | 死を呼ぶはばたき
q20055006_00: Urgent Inspection: Mysree Grove Treasure Expedition                      | 【緊急探索】財宝調査隊　ミスリウ森林
q20055007_00: Phantom Thieves: Wild Yearning                                           | 【怪盗乱魔】粗暴なる思慕
q20055008_00: Collecting Souls: Undead Encounter                                       | 【鬼哭蒐集】邂逅の亡者
q20055009_00: The Lullaby Echoing in the Ruins                                         | 古跡に響く子守歌
q20060000_00: The Remains of Green                                                     | 翠緑の遺構
q20060001_00: The Inias Monster                                                        | イニアスの怪物
q20060002_00: The Grieving Underling                                                   | 嘆きの下っぱ冒険者
q20060003_00: The Thugs of the Forest                                                  | 森の乱暴者
q20065000_00: A Faint Ill Omen                                                         | 幽かなる凶兆
q20065001_00: The Guardian of Green Leaves                                             | 蒼葉の守人
q20065002_00: The Unbidden Guest                                                       | 招かれざる居候
q20065003_00: The Silver Fiend                                                         | 銀色の悪鬼
q20065004_00: Seeking Elfin Extract                                                    | エルフィン・エクストラクトを求めて
q20065005_00: Urgent Inspection: Mysree Grove Treasure Expedition                      | 【緊急探索】財宝調査隊　ミスリウ森林深部
q20070000_00: Seeking Vengeance                                                        | 仇を求めて――
q20070001_00: A Dubious Remedy                                                         | 妖しき秘薬
q20070002_00: A Dangerous Wager                                                        | 危険な賭け
q20070003_00: To Steal from Orcs                                                       | 奪え！　オークの貯蓄品
q20070004_00: The Perfect Warrior                                                      | うってつけの強者
q20070005_00: The Temptation of Thievery                                               | 盗賊業の誘い
q20070006_00: From One Thing to Another                                                | 一難去ってまた一難
q20075000_00: The Roaring Lion King                                                    | 唸る獅子王
q20075001_00: The Occupied Channels                                                    | 奪われた水路
q20075002_00: The Raging Demonic Bird                                                  | 猛る魔鳥
q20075003_00: Eliminate the Orc Platoon!                                               | オーク小隊を駆逐せよ！
q20075004_00: The Deadly Frontier                                                      | 辺境の死線
q20075005_00: The Corpse-Eating White Demon                                            | 屍喰いの白鬼
q20075006_00: The Evil in the Dark Night                                               | 闇夜に佇む魔
q20075007_00: The Feast of Demons                                                      | 鬼人達の宴
q20075008_00: Seeking Demon Commander's Belt                                           | 戦鬼将のベルトを求めて
q20075009_00: Urgent Inspection: Northern Betland Plains Treasure Expedition           | 【緊急探索】財宝調査隊　バートランド平原北部
q20080000_00: The Lovely Vintage                                                       | 麗しの古酒
q20080001_00: The Bound Spirit                                                         | 囚われの亡霊
q20080002_00: The Sole Sign                                                            | 気配の数だけ
q20080003_00: The Perilous Labyrinth                                                   | 迷宮の難所
q20080004_00: An Irreplaceable Treasure                                                | 代えなき宝
q20080005_00: The Wings of Darkness                                                    | 闇色の翼
q20080006_00: The Uninvited Ones                                                       | 招かれざる者達
q20080007_00: The Evil Draws Near                                                      | 忍び寄る悪意
q20085000_00: The Lord of the Wastes                                                   | 荒れ地の主
q20085001_00: The Mighty Brutes                                                        | 屈強なる戦鬼達
q20085002_00: The Journey to Death                                                     | 死出の旅路へ――
q20085003_00: Eliminate the Orc Expedition!                                            | オーク遠征隊を殲滅せよ！
q20085004_00: The Obstructing Evil Statue                                              | 立ちはだかる魔像
q20085005_00: The Barren Black Wings                                                   | 不毛なる黒翼
q20085006_00: The Attacking Bite                                                       | 襲い来るアギト
q20085007_00: Empty Honor                                                              | 空っぽの名誉
q20085008_00: The Dead Lord's Retainers                                                | 死王の眷族
q20085009_00: An Ancient Perseverance                                                  | いにしえよりの執念
q20085010_00: Urgent Inspection: Eastern Zandora Treasure Expedition                   | 【緊急探索】財宝調査隊　ザンドラ東部
q20090000_00: The Dead City's Chronicles                                               | 亡都の記録
q20090001_00: The One Called "Knight-Devourer"                                         | その名は“騎士喰らい”
q20090002_00: Forbidden Knowledge                                                      | 禁じられし知識
q20090003_00: Pray for a Safe Return                                                   | 帰りを祈って――
q20095000_00: The Fiery Titan                                                          | 炎紅の巨兵
q20095001_00: A Thirst for Knowledge                                                   | 智を欲せしもの
q20095002_00: The Dark Shadow Covering the Sky                                         | 空を覆う黒影
q20095003_00: The Sinister Beasts                                                      | 禍々しき獣
q20095004_00: The Forgotten Guardian                                                   | 忘れられた守番
q20095005_00: Bloody Battle in the Sewer                                               | 地下水道の血戦
q20095006_00: The Murderous Magick Cavalry                                             | 殺戮の魔道鉄騎
q20095007_00: The Accursed Wanderer                                                    | 呪われし徘徊者
q20095008_00: The Accursed Deserted Home                                               | 呪縛の廃屋
q20095009_00: The Ancient Warrior Rises Again                                          | よみがえる古戦士
q20095010_00: A Clash with the Orc Elite Corps                                         | オーク精鋭部隊との遭遇
q20095011_00: A Hollow Swordfight                                                      | 虚ろなる剣戟
q20095012_00: Monster Burning from Within                                              | 溶熱に燃える巨躯
q20095013_00: Executioner of the Wasteland                                             | 禁域の処刑人
q20095014_00: Urgent Inspection: Zandora Wastelands Treasure Expedition                | 【緊急探索】財宝調査隊　ザンドラ禁域
q20100000_00: Expedition Preparations                                                  | 探索の下ごしらえ
q20100001_00: The Gourmand's Mushroom Hunt                                             | 美食家のキノコ狩り
q20100002_00: The Remains of Splendor                                                  | 壮麗なる残滓
q20100003_00: The Wicked Pursuer                                                       | 悪しき探求者
q20105000_00: The Snow-White Lion King                                                 | 純白の獅子王
q20105001_00: The Foolish Occupiers                                                    | 愚鈍なる占拠者
q20105002_00: A Surge of Hellfire                                                      | ほとばしる業火
q20105003_00: When the Black Fowl Crows                                                | 黒雄鶏の啼く頃に
q20105004_00: The Keeper of the Woods                                                  | 深き森の番人
q20105005_00: The Greenery Falls, Dancing                                              | 緑に舞い散るは――
q20105006_00: The Old Witch of the Woods                                               | 森の老魔女
q20105007_00: A Sudden Urge to Kill                                                    | 不意に迫る殺意
q20105008_00: Urgent Inspection: Deenan Woods Treasure Expedition                      | 【緊急探索】財宝調査隊　ディナン深層林
q20990000_00: A Horrible Creature                                                      | おそるべき被造物
q20990001_00: Separation and Completion                                                | 乖離と補完
q20990002_00: A Deathly Wisdom                                                         | 眠りし叡智
q20990003_00: Inherited Experience                                                     | 受け継がれる想い
q20990004_00: The Lost Golden Child                                                    | 金色の落とし仔
q20995000_00: Seeking Alchemical Extract                                               | アルケム・エクストラクトを求めて
q20995001_00: The Winged Sentry                                                        | 翼ある番兵
q20995002_00: The Blue Dragon's Shadow                                                 | 蒼き竜影
q20995003_00: From Flame and Rock                                                      | 炎と岩よりい出し者
q20995004_00: The Abandoned Giant Warrior                                              | うち捨てられた巨人兵
q20995005_00: An Altered Beast Attacks!                                                | 改造魔獣、襲撃！
