id,old,new,
9109,文化A_女_特殊枠1,Culture A_Female_Special Frame 1,
9110,文化A_女_特殊枠2,Culture A_Female_Special Frame 2,
9111,文化A_女_死体用,Culture A_Female_For_Corpse,
9112,文化B_男_森系_1-1,Culture B_Male_Forest_type_1-1,
9113,文化B_男_森系_1-2,Culture B_Male_Forest_type_1-2,
9114,文化B_男_土木_1-1,Culture B_Male_Civil_1-1,
9115,文化B_男_土木_1-2,Culture B_Male_Civil_1-2,
9116,文化B_男_鉱山_1-1,Culture B_Male_Mine_1-1,
9117,文化B_男_鉱山_1-2,Culture B_Male_Mine_1-2,
9118,文化B_男_森系_2-1,Culture B_Male_Forest_type_2-1,
9119,文化B_男_森系_2-2,Culture B_Male_Forest_type_2-2,
9120,文化B_男_鉱山_2-1,Culture B_Male_Mining_2-1,
9121,文化B_男_鉱山_2-2,Culture B_Male_Mining_2-2,
9122,文化B_男_土木_2-1,Culture B_Male_Civil_2-1,
9123,文化B_男_土木_2-2,Culture B_Male_Civil_2-2,
9124,文化B_男_鉱山_3-1,Culture B_Male_Mining_3-1,
9125,文化B_男_鉱山_3-2,Culture B_Male_Mining_3-2,
9126,文化B_男_森系_3-1,Culture B_Male_Forest_type_3-1,
9127,文化B_男_森系_3-2,Culture B_Male_Forest_type_3-2,
9128,文化B_男_森系_4-1,Culture B_Male_Forest_type_4-1,
9129,文化B_男_森系_4-2,Culture B_Male_Forest_type_4-2,
9130,文化B_男_特殊枠1,Culture B_Male_Special Frame 1,
9131,文化B_男_死体用,Culture B_Male_For_Corpse,
9132,白衛騎士団_男_服_1-1,Knights of the White Guard_Men_Clothes_1-1,
9133,白衛騎士団_男_服兜_1-1,Knights of the White Guard_Men_Clothing_H helmets_1-1,
9134,白衛騎士団_男_服_1-2,Knights of the White Guard_Men_Clothes_1-2,
9135,白衛騎士団_男_服_2-1,Knights of the White Guard_Men_Clothes_2-1,
9136,白衛騎士団_男_服兜_2-1,Knights of the White Guard_Men_Clothing_H helmets_2-1,
9137,白衛騎士団_男_服_2-2,Knights of the White Guard_Men_Clothes_2-2,
9138,白衛騎士団_男_服_3-1,Knights of the White Guard_Men_Clothes_3-1,
9139,白衛騎士団_男_服兜_3-1,Knights of the White Guard_Men_Clothing_H helmets_3-1,
9140,白衛騎士団_男_服_3-2,Knights of the White Guard_Men_Clothes_3-2,
9141,白衛騎士団_男_鎧_1-1,Knights of the White Guard_Men_Armor_1-1,
9142,白衛騎士団_男_鎧兜_1-1,Knights of the White Guard_Male_Armor_1-1,
9143,白衛騎士団_男_鎧_1-2,Knights of the White Guard_Men_Armor_1-2,
9144,白衛騎士団_男_鎧_2-1,Knights of the White Guard_Men_Armor_2-1,
9145,白衛騎士団_男_鎧兜_2-1,Knights of the White Guard_Male_Armor_2-1,
9146,白衛騎士団_男_鎧_2-2,Knights of the White Guard_Men_Armor_2-2,
9147,白衛騎士団_男_鎧_3-1,White Guard_Male_Armor_3-1,
9148,白衛騎士団_男_鎧兜_3-1,Knights of the White Guard_Male_Armor_3-1,
9149,白衛騎士団_男_鎧_3-2,White Guard_Male_Armor_3-2,
9150,白衛騎士団_男_特殊枠1,White Guard_Male_Special Frame 1,
9151,白衛騎士団_男_特殊枠2,White Guard_Male_Special Frame 2,
9152,白衛騎士団_男_特殊枠3,White Guard_Male_Special Frame 3,
9153,白衛騎士団_男_特殊枠4,White Guard_Male_Special Frame 4,
9154,白衛騎士団_男_死体用1,White Guard_Man_for_Corpse1,
9155,白衛騎士団_男_死体用2,White Guard_Man_For_Corpse2,
9160,神殿_男_1-1,Temple_Men_1-1,
9161,神殿_男_2-1,Temple_Male_2-1,
9162,神殿_男_3-1,Temple_Male_3-1,
9163,神殿_男_4-1,Temple_Male_4-1,
9164,神殿_男_5-1,Temple_Male_5-1,
9165,神殿_男_6-1,Temple_Male_6-1,
9166,神殿_女_1-1,Temple_Women_1-1,
9167,神殿_女_2-1,Temple_Women_2-1,
9168,神殿_女_3-1,Temple_Women_3-1,
9169,神殿_女_4-1,Temple_Women_4-1,
9170,神殿_女_5-1,Temple_Women_5-1,
9171,神殿_女_6-1,Temple_Women_6-1,
9172,お水系_女_1-1,Water_Woman_1-1,
9173,お水系_女_1-2,Water_Women_1-2,
9174,お水系_女_1-3,Water_Women_1-3,
9175,お水系_女_2-1,Osui-kei_Women_2-1,
9176,お水系_女_2-2,Water Lady 2-2,
9177,お水系_女_2-3,Water_Women_2-3,
9178,お水系_女_3-1,Water_Woman_3-1,
9179,お水系_女_3-2,Water_Women_3-2,
9180,お水系_女_3-3,Water_Women_3-3,
9181,お水系_女_4-1,Water_Woman_4-1,
9182,お水系_女_4-2,Water_Women_4-2,
9183,お水系_女_4-3,Water_Women_4-3,
9184,お水系_女_5-1,Water_Woman_5-1,
9185,お水系_女_5-2,Water_Woman_5-2,
9186,お水系_女_5-3,Water_Woman_5-3,
9187,お水系_女_6-1,Water_Woman_6-1,
9188,お水系_女_6-2,Water_Women_6-2,
9189,お水系_女_6-3,Water_Women_6-3,
9190,お水系_女_特殊枠1,Water_Women_Special_Frame1,
9191,お水系_女_特殊枠2,Water_Women_Special_Frame2,
9192,お水系_女_死体用,Water_Female_For_Corpse,
9469,術士_男女_1-1,Surgeon_Male_Female_1-1,
9470,術士_男女_1-2,Surgeon_Male/Female_1-2,
9471,術士_男女_1-3,Surgeon_Male_Female_1-3,
9472,術士_男女_2-1,Surgeon_Male_Female_2-1,
9473,術士_男女_2-2,Surgeon_Male_Female_2-2,
9474,術士_男女_2-3,Surgeon_Male/Female_2-3,
9475,術士_男女_3-1,Surgeon_Male_Female_3-1,
9476,術士_男女_3-2,Surgeon_Male_Female_3-2,
9477,術士_男女_3-3,Surgeon_Male_Female_3-3,
9478,術士_男女_4-1,Surgeon_Male_Female_4-1,
9479,術士_男女_4-2,Surgeon_Male_Female_4-2,
9480,術士_男女_4-3,Surgeon_Male_Female_4-3,
9481,術士_男女_5-1,Surgeon_Male_Female_5-1,
9482,術士_男女_5-2,Surgeon_Male_Female_5-2,
9483,術士_男女_5-3,Surgeon_Male_Female_5-3,
9484,術士_男女_6-1,Surgeon_Male_Female_6-1,
9485,術士_男女_6-2,Surgeon_Male_Female_6-2,
9486,術士_男女_6-3,Surgeon_Male_Female_6-3,
9487,術士_男女_7-1,Surgeon_Male_Female_7-1,
9488,術士_男女_7-2,Surgeon_Male_Female_7-2,
9489,術士_男女_7-3,Surgeon_Male_Female_7-3,
9492,戦士盗賊_男_鎧_1-1,Warrior_thief_man_armor_1-1,
9493,戦士盗賊_男_鎧_1-2,Warrior_Thief_Male_Armor_1-2,
9494,戦士盗賊_男_鎧_1-3,Warrior_Thief_Male_Armor_1-3,
9495,戦士盗賊_男_鎧_2-1,Warrior_thief_man_armor_2-1,
9496,戦士盗賊_男_鎧_2-2,Warrior_thief_man_armor_2-2,
9497,戦士盗賊_男_鎧_2-3,Warrior_thief_man_armor_2-3,
9498,戦士盗賊_男_鎧_3-1,Warrior_thief_man_armor_3-1,
9499,戦士盗賊_男_鎧_3-2,Warrior_thief_man_armor_3-2,
9500,戦士盗賊_男_鎧_3-3_汚少,warrior_thief_man_armor_3-3_small_stain,
9501,戦士盗賊_男_軽装_4-１,Warrior bandit_Male_Light_4-1,
9502,戦士盗賊_男_軽装_4-2,Warrior bandit_Male_Light_4-2,
9503,戦士盗賊_男_軽装_4-3,Warrior bandit_Male_Light_4-3,
9504,戦士盗賊_男_軽装_5-1,Warrior bandit_Male_Light_5-1,
9505,戦士盗賊_男_軽装_5-2,Warrior bandit_Male_Light_5-2,
9506,戦士盗賊_男_軽装_5-3_汚少,Warrior bandit_Male_Light_5-3_Small_Dirt,
9507,戦士盗賊_男_軽装_6-1,Warrior bandit_Male_Light_6-1,
9508,戦士盗賊_男_軽装_6-2,Warrior bandit_Male_Light_6-2,
9509,戦士盗賊_男_軽装_6-3_汚少,Warrior bandit_Male_Light_6-3_Small_Dirt,
9511,亡都民_男女_1-1,deceased_men_and_women_1-1,
9512,亡都民_男女_1-2,deceased_men_and_women_1-2,
9513,亡都民_男女_2-1,deceased_men_and_women_2-1,
9514,亡都民_男女_2-2,deceased_men_and_women_2-2,
9515,亡都民_男女_3-1,deceased_men_and_women_3-1,
9516,亡都民_男女_3-2,deceased_men_and_women_3-2,
9517,亡都民_男女_4-1,deceased_men_and_women_4-1,
9518,亡都民_男女_4-2,deceased_men_and_women_4-2,
9519,亡都民_男女_5-1,deceased_men_and_women_5-1,
9520,亡都民_男女_5-2,deceased_men_and_women_5-2,
9521,亡都民_男女_6-1,deceased_men_and_women_6-1,
9522,亡都民_男女_6-2,deceased_men_and_women_6-2,
9525,人敵用wl250007_0_０,wl250007_0_0 for human enemy,
9526,人敵用ab210004_0_0,ab210004_0_0 for human enemy,
9527,人敵用al230002_0_0,For human enemy al230002_0_0,
9528,人敵用aa200004_0_0,aa200004_0_0 for human enemy,
9774,貴族_男_1-1,Aristocrat_Male_1-1,
9775,貴族_男_1-2,Aristocrat_Male_1-2,
9776,貴族_男_1-3,Aristocrat_Male_1-3,
9777,貴族_男_2-1,noble_man_2-1,
9778,貴族_男_2-2,Noble_Man_2-2,
9779,貴族_男_2-3,Aristocrat_Male_2-3,
9780,貴族_男_3-1,noble_man_3-1,
9781,貴族_男_3-2,Aristocrat_Male_3-2,
9782,貴族_男_3-3,noble_man_3-3,
9783,貴族_男_4-1,Noble_Male_4-1,
9784,貴族_男_4-2,Aristocrat_Male_4-2,
9785,貴族_男_4-3,Aristocrat_Male_4-3,
9797,文化C_男_海人_1-1,Culture_C_Man_Men_Kaijin_1-1,
9798,文化C_男_海人_1-2,Culture_C_Man_Men_Kaijin_1-2,
9799,文化C_男_海人_1-3,Culture_C_Man_Men_Kaijin_1-3,
9800,文化C_男_海人_2-1,Culture_C_Man_Men_Kaijin_2-1,
9801,文化C_男_海人_2-2,Culture_C_Man_Men_Kaijin_2-2,
9802,文化C_男_海人_2-3,Culture_C_Man_Men_Kaijin_2-3,
9803,文化C_男_海人_3-1,Culture_C_Male_Kaijin_3-1,
9804,文化C_男_海人_3-2,Culture_C_Man_Men_Kaijin_3-2,
9805,文化C_男_海人_3-3,Culture_C_Man_Men_Kaijin_3-3,
9806,文化C_男_労働者_4-1,Culture_C_Man_Men_Workers_4-1,
9807,文化C_男_労働者_4-2,Culture_C_Man_Men_Workers_4-2,
9808,文化C_男_労働者_4-3,Culture_C_Man_Men_Workers_4-3,
9809,文化C_男_労働者_5-1,Culture_C_Man_Men_Workers_5-1,
9810,文化C_男_労働者_5-2,Culture_C_Man_Men_Workers_5-2,
9811,文化C_男_労働者_5-3,Culture_C_Man_Men_Workers_5-3,
9812,文化C_男_半裸_6-1,CultureC_Male_Half-naked_6-1,
9813,文化C_男_半裸_6-2,CultureC_Male_Half-naked_6-2,
9814,文化C_男_半裸_6-3,CultureC_Male_Half-naked_6-3,
9815,薄着_男_1-1,Thin_Male_1-1,
9816,薄着_男_1-2,Thin_Male_1-2,
9817,薄着_男_1-3,Thin_Male_1-3,
9818,薄着_男_2-1,Thin_Male_2-1,
9819,薄着_男_2-2,Thin_Male_2-2,
9820,薄着_男_2-3,Thin_Male_2-3,
9821,薄着_男_3-1,Thin_Male_3-1,
9822,薄着_男_3-2,Thin_Male_3-2,
9823,薄着_男_3-3,Thin_Male_3-3,
9824,薄着_男_4-1,Thin_Male_4-1,
9825,薄着_男_4-2,Thin_Male_4-2,
9826,薄着_男_4-3,Thin_Male_4-3,
9827,薄着_女_1-1,Thin_Women_1-1,
9828,薄着_女_1-2,Thin_Women_1-2,
9829,薄着_女_1-3,Thin_Women_1-3,
9830,薄着_女_2-1,Thin_Women_2-1,
9831,薄着_女_2-2,Thin_Women_2-2,
9832,薄着_女_2-3,Thin_Women_2-3,
9833,薄着_女_3-1,Thin_Women_3-1,
9834,薄着_女_3-2,Thin_Women_3-2,
9835,薄着_女_3-3,Thin_Women_3-3,
9836,薄着_女_4-1,Thin_Women_4-1,
9837,薄着_女_4-2,Thin_Women_4-2,
9838,薄着_女_4-3,Thin_Women_4-3,
9839,戦士盗賊_女_鎧_1-1,Warrior_Thief_Female_Armor_1-1,
9840,戦士盗賊_女_鎧_1-2,Warrior_Thief_Woman_Armor_1-2,
9841,戦士盗賊_女_鎧_1-3,Warrior_Thief_Female_Armor_1-3,
9842,戦士盗賊_女_鎧_2-1,warrior_thief_woman_armor_2-1,
9843,戦士盗賊_女_鎧_2-2,warrior_thief_woman_armor_2-2,
9844,戦士盗賊_女_鎧_2-3,warrior_thief_woman_armor_2-3,
9845,戦士盗賊_女_軽装_3-1,Warrior bandit_Female_Light_3-1,
9846,戦士盗賊_女_軽装_3-2,Warrior bandit_Female_Light_3-2,
9847,戦士盗賊_女_軽装_3-3,Warrior bandit_Female_Light_3-3,
9848,戦士盗賊_女_軽装_4-1,Warrior bandit_Female_Light_4-1,
9849,戦士盗賊_女_軽装_4-2,Warrior bandit_Female_Light_4-2,
9850,戦士盗賊_女_軽装_4-3,Warrior bandit_Female_Light_4-3,
9851,戦士盗賊_女_軽装_5-1,Warrior bandit_Female_Light_5-1,
9852,戦士盗賊_女_軽装_5-2,Warrior bandit_Female_Light_5-2,
9853,戦士盗賊_女_軽装_5-3,Warrior bandit_Female_Light_5-3,
9854,戦士盗賊_女_鎧_6-1,warrior_thief_woman_armor_6-1,
9855,戦士盗賊_女_鎧_6-2,warrior_thief_woman_armor_6-2,
9856,戦士盗賊_女_鎧_6-3,warrior_thief_woman_armor_6-3,
9865,人敵用aa200009_0_0,aa200009_0_0 for human enemy,
9866,人敵用aa200011_0_0,aa200011_0_0 for human enemy,
9867,人敵用aa200005_0_0,aa200005_0_0 for human enemies,
9868,人敵用aa200015_0_0,aa200015_0_0 for human enemy,
9869,人敵用aa200023_0_0,aa200023_0_0 for human enemy,
9870,人敵用aa200028_0_0,aa200028_0_0 for human enemy,
9871,人敵用aa200013_0_0,aa200013_0_0 for human enemy,
9872,人敵用aa200024_0_0,aa200024_0_0 for human enemy,
9903,人敵用ab210009_0_0,ab210009_0_0 for human enemy,
9904,人敵用ab210028_0_0,ab210028_0_0 for human enemy,
9905,人敵用ab210010_0_0,ab210010_0_0 for human enemy,
9906,人敵用ab210015_0_0,ab210015_0_0 for human enemy,
9907,人敵用ab210002_0_0,ab210002_0_0 for human enemy,
9908,人敵用ab210026_0_0,ab210026_0_0 for human enemy,
9909,人敵用ab210061_0_0,ab210061_0_0 for human enemy,
9910,人敵用ab210060_0_0,ab210060_0_0 for human enemy,
9911,人敵用ac260010_0_0,ac260010_0_0 for human enemy,
9912,人敵用ac260002_0_0,ac260002_0_0 for human enemy,
9913,人敵用ac260008_0_0,ac260008_0_0 for human enemy,
9914,人敵用ac260026_0_0,ac260026_0_0 for human enemy,
9915,人敵用ac260045_0_0,ac260045_0_0 for human enemy,
9916,人敵用ac260062_0_0,ac260062_0_0 for human enemy,
9917,人敵用ac260060_0_0,ac260060_0_0 for human enemy,
9918,人敵用ac260061_0_0,ac260061_0_0 for human enemy,
9919,人敵用al230015_0_0,For human enemy al230015_0_0,
9920,人敵用al230005_0_0,al230005_0_0 for human enemy,
9921,人敵用al230024_0_0,For human enemy al230024_0_0,
9922,人敵用al230009_0_0,For human enemy al230009_0_0,
9923,人敵用al230005_0_1,For human enemy al230005_0_1,
9924,人敵用wb240010_0_0,wb240010_0_0 for human enemy,
9925,人敵用wb240008_0_０,wb240008_0_0 for human enemy,
9926,人敵用wb240045_0_0,wb240045_0_0 for human enemy,
9927,人敵用wb240001_0_0,wb240001_0_0 for human enemy,
9928,人敵用wb240044_0_0,wb240044_0_0 for human enemy,
9929,人敵用wb240024_0_0,wb240024_0_0 for human enemy,
9930,人敵用wl250004_0_0,wl250004_0_0 for human enemy,
9931,人敵用wl250004_0_１,wl250004_0_1 for human enemy,
9932,人敵用wl250000_0_0,wl250000_0_0 for human enemy,
10003,人敵用ah220030_0_0,ah220030_0_0 for human enemy,
10004,人敵用ah220020_0_0,ah220020_0_0 for human enemy,
10005,人敵用ah220006_0_0,ah220006_0_0 for human enemy,
10006,人敵用ah220010_0_0,ah220010_0_0 for human enemy,
10007,人敵用ah220001_0_0,ah220001_0_0 for human enemy,
10008,人敵用ah220015_0_0,ah220015_0_0 for human enemy,
10009,人敵用ah220069_0_0,ah220069_0_0 for human enemy,
10010,人敵用ah220060_0_0,ah220060_0_0 for human enemy,
10011,人敵用ah220061_0_0,ah220061_0_0 for human enemy,
10012,人敵用_wp300000_1,For human enemy_wp300000_1,
10013,人敵用_wp300003_2,For human enemy_wp300003_2,
10014,人敵用_wp301000_4,For human enemy_wp301000_4,
10015,人敵用_wp301009_2,For human enemies_wp301009_2,
10016,人敵用_wp302006_2,For human enemy_wp302006_2,
10017,人敵用_wp303000_2,For human enemy_wp303000_2,
10018,人敵用_wp303005_2,For human enemy_wp303005_2,
10019,人敵用_wp304000_1,For human enemy_wp304000_1,
10020,人敵用_wp304010_2,For human enemy_wp304010_2,
10021,人敵用_wp305000_1,For human enemy_wp305000_1,
10022,人敵用_wp305009_2,For human enemy_wp305009_2,
10023,人敵用_wp306000_2,For human enemy_wp306000_2,
10024,人敵用_wp306007_1,For human enemy_wp306007_1,
10025,人敵用_wp310000_1,For human enemies_wp310000_1,
10026,人敵用_wp310006_2,For human enemy_wp310006_2,
10027,人敵用_wp311000_1,For human enemy_wp311000_1,
10028,人敵用_wp311005_3,For human enemies_wp311005_3,
10029,人敵用wlテスト１,wl test for human enemies1,
10030,人敵用wlテスト２,wl test 2 for human enemies,
10031,人敵用_wp302000_2,For human enemy_wp302000_2,
10032,人敵用_wp300008_4,For human enemies_wp300008_4,
10033,人敵用_wp301009_4,For human enemies_wp301009_4,
10034,人敵用_wp302007_4,For human enemy_wp302007_4,
10035,人敵用_wp303007_4,For human enemy_wp303007_4,
10036,人敵用_wp304010_4,For human enemies_wp304010_4,
10037,人敵用_wp305008_4,For human enemy_wp305008_4,
10038,人敵用_wp306015_4,For human enemy_wp306015_4,
10039,人敵用_wp310009_4,For human enemy_wp310009_4,
10040,人敵用_wp311006_4,For human enemies_wp311006_4,
10041,人敵用wb240003_0_0,wb240003_0_0 for human enemy,
10067,人敵用al230002_0_1,For human enemy al230002_0_1,
10068,戦士盗賊_男_特殊枠1,Warrior bandit_Male_Special Frame 1,
10069,戦士盗賊_男_特殊枠2,Warrior bandit_Male_Special Frame 2,
10070,戦士盗賊_男_特殊枠3,Warrior bandit_Male_Special Frame 3,
10071,戦士盗賊_男_特殊枠4,Warrior bandit_Male_Special Frame 4,
10072,文化A_男_特殊枠3,Culture A_Male_Special Frame 3,
10073,文化A_男_特殊枠4,Culture A_Male_Special Frame 4,
10074,文化A_女_特殊枠3,Culture A_Female_Special Frame 3,
10075,文化A_女_特殊枠4,Culture A_Female_Special Frame 4,
10076,文化B_男_特殊枠2,Culture B_Male_Special Frame 2,
10077,文化B_男_特殊枠3,Culture B_Male_Special Frame 3,
10078,文化B_男_特殊枠4,Culture B_Male_Special Frame 4,
10079,戦士盗賊_女_特殊枠1,Warrior Thief_Female_Special Frame 1,
10080,戦士盗賊_女_特殊枠2,Warrior Thief_Female_Special Frame 2,
10081,戦士盗賊_女_特殊枠3,Warrior Thief_Female_Special Frame 3,
10082,戦士盗賊_女_特殊枠4,Warrior Thief_Female_Special Frame 4,
10083,術士_男女_特殊枠1,Surgeon_Male/Female_Special Frame 1,
10084,術士_男女_特殊枠2,Surgeon_Male/Female_Special Frame 2,
10085,術士_男女_特殊枠3,Surgeon_Male/Female_Special Frame 3,
10086,術士_男女_特殊枠4,Surgeon_Male/Female_Special Frame 4,
10087,貴族_男_特殊枠1,Aristocrat_Male_Special Frame 1,
10088,貴族_男_特殊枠2,Nobleman_Male_Special Frame 2,
10089,貴族_男_特殊枠3,Nobleman_Male_Special Frame 3,
10090,貴族_男_特殊枠4,Noble_Male_Special_Frame4,
10091,文化C_男_特殊枠1,Culture C_Male_Special Frame 1,
10092,文化C_男_特殊枠2,Culture C_Male_Special Frame 2,
10093,文化C_男_特殊枠3,Culture C_Male_Special Frame 3,
10094,文化C_男_特殊枠4,Culture C_Male_Special Frame 4,
10095,お水系_女_特殊枠3,Water_Women_Special_Frame3,
10096,お水系_女_特殊枠4,Water_Women_Special_Frame4,
10097,薄着_男_特殊枠1,Thin_Male_Special_Frame1,
10098,薄着_男_特殊枠2,Light Clothing_Male_Special Frame 2,
10099,薄着_女_特殊枠1,Thin_Women_Special_Frame1,
10100,薄着_女_特殊枠2,Thin_Women_Special_Frame2,
10101,NPC用_wp300000,For NPC_wp300000,
10102,NPC用_wp300005,For NPC_wp300005,
10103,NPC用_wp300010,For NPC_wp300010,
10104,NPC用_wp300014,For NPC_wp300014,
10105,NPC用_wp300015,For NPC_wp300015,
10106,NPC用_wp301003,For NPC_wp301003,
10107,NPC用_wp301010,For NPC_wp301010,
10108,NPC用_wp301019,For NPC_wp301019,
10109,NPC用_wp301020,For NPC_wp301020,
10110,NPC用_wp302000,For NPC_wp302000,
10111,NPC用_wp303000,For NPC_wp303000,
10112,NPC用_wp304000,For NPC_wp304000,
10113,NPC用_wp305000,For NPC_wp305000,
10114,NPC用_wp306000,For NPC_wp306000,
10115,NPC用_wp306018,For NPC_wp306018,
10116,NPC用_wp308000,For NPC_wp308000,
10117,NPC用_wp310000,For NPC_wp310000,
10118,NPC用_wp311013,For NPC_wp311013,
10119,NPC用_aa200000,For NPC_aa200000,
10120,NPC用_ab210000,For NPC_ab210000,
10121,NPC用_al230000,For NPC_al230000,
10122,NPC用_wb240000,For NPC_wb240000,
10123,NPC用_wl250000,For NPC_wl250000,
10124,NPC用_ac260000,For NPC_ac260000,
10125,NPC用_wp311000,For NPC_wp311000,
10126,NPC用_wp307000,For NPC_wp307000,
10127,NPC用_wp308000,For NPC_wp308000,
10128,戦士盗賊_男_特殊枠5,Warrior bandit_Male_Special Frame 5,
10129,NPC用_wp305010,For NPC_wp305010,
10130,NPC用_wp306019,For NPC_wp306019,
10135,NPC用_wp305014,For NPC_wp305014,
10136,NPC用_wp300003,For NPC_wp300003,
10137,NPC用_wp301012,For NPC_wp301012,
10138,NPC用_wp306008,For NPC_wp306008,
10139,NPC用_wp310010,For NPC_wp310010,
10140,NPC用_wp303009,For NPC_wp303009,
10141,NPC用_wp304001,For NPC_wp304001,
10142,NPC用_wp302004,For NPC_wp302004,
10143,NPC用_wp308007,For NPC_wp308007,
10144,NPC用_wp305005,For NPC_wp305005,
10145,NPC用_wp302011,For NPC_wp302011,
10670,NPC用_wp308002,For NPC_wp308002,
11059,NPC用_ac260007,For NPC_ac260007,
11060,NPC用_wb240010,For NPC_wb240010,
11061,NPC用_aa200000ver2,For NPC_aa200000ver2,
11067,NPC用_wp300010ver2,For NPC_wp300010ver2,
11068,NPC用_wp300047,For NPC_wp300047,
11069,NPC用_wp301001,For NPC_wp301001,
11070,NPC用_wp301028,For NPC_wp301028,
11071,NPC用_wp306006,For NPC_wp306006,
11183,人敵用ah220020_1_1,ah220020_1_1 for human enemy,
11184,人敵用ah220030_1_1,ah220030_1_1 for human enemy,
11185,人敵用ab210007_1_1,ab210007_1_1 for human enemies,
11186,人敵用ab210009_1_1,ab210009_1_1 for human enemy,
11187,人敵用ab210024_1_1,ab210024_1_1 for human enemies,
11188,人敵用ab210027_1_1,ab210027_1_1 for human enemies,
11189,人敵用ab210028_1_1,ab210028_1_1 for human enemy,
11190,人敵用ab210067_1_1,ab210067_1_1 for human enemy,
11191,人敵用aa200009_1_1,aa200009_1_1 for human enemy,
11192,人敵用aa200010_1_1,aa200010_1_1 for human enemies,
11193,人敵用aa200027_1_1,aa200027_1_1 for human enemies,
11194,人敵用al230001_1_1,For human enemies al230001_1_1,
11195,人敵用al230010_1_1,al230010_1_1 for human enemies,
11196,人敵用al230014_1_1,For human enemies al230014_1_1,
11197,人敵用al230015_1_1,al230015_1_1 for human enemies,
11198,人敵用al230027_1_1,al230027_1_1 for human enemies,
11199,人敵用wb240008_1_0,wb240008_1_0 for human enemy,
11200,人敵用wb240010_1_0,wb240010_1_0 for human enemy,
11201,人敵用wb240011_1_1,wb240011_1_1 for human enemy,
11202,人敵用wb240015_1_1,wb240015_1_1 for human enemies,
11203,人敵用wb240020_1_1,wb240020_1_1 for human enemy,
11204,人敵用wl250002_1_1,wl250002_1_1 for human enemy,
11205,人敵用wl250008_1_1,wl250008_1_1 for human enemy,
11206,人敵用wl250010_1_1,wl250010_1_1 for human enemies,
11207,人敵用wl250020_1_1,wl250020_1_1 for human enemy,
11208,人敵用ac260002_1_1,ac260002_1_1 for human enemy,
11209,人敵用ac260010_1_1,ac260010_1_1 for human enemies,
11213,上級妖精族衣装_男_0,Advanced fairy_man_0,
11214,上級妖精族衣装_男_1,Advanced fairy_man_1,
11215,上級妖精族衣装_男_2,Advanced Fairy Tribe Costume_Male_2,
11216,上級妖精族衣装_男_3,Advanced Fairy Tribe Costume_Male_3,
11217,上級妖精族衣装_男_4,Advanced fairy_man_4,
11218,上級妖精族衣装_男_5,Advanced fairy_man_5,
11222,妖精族　一般セット男1A,Fairy Tribe General Set Male 1A,
11223,妖精族　一般セット男1B,Fairy Tribe General Set Male 1B,
