"old",""
"正式に教えを請いにきたならば
稽古に付き合ってやろう","If you have come to formally seek knowledge,
I shall accompany you in your training."
"戦術を指南してほしいのか？
ならば実戦に勝る教えはないぞ","You want me to teach you tactics?
Then there's no better way to learn than through combat."
"戦いは勝つためにするのだ
そのための努力、怠るな","We fight in order to win. Do not neglect the effort required for that."
"すまないな
世間話というものが苦手なんだ","I'm sorry,
but I'm not good at small talk"
"集中だ！
戦闘態勢は寝所でも解くな！","Concentration! Don't let your guard down even in your sleeping quarters!"
"覚者とは何か――
いろいろな考えがあるだろうが
自分は、戦人（いくさびと）だと信じている","What is an Arisen? There may be various thoughts, but I believe I am a warrior."
"こう戦闘続きでは疲れもたまるな――
キノザでゆっくりしたいものだ","I'm getting tired after all these battles-- I'd like to relax in Kinoza."
"魔物より恐ろしい敵の名を教えてやろう
それは――油断、慢心、怠慢だ","I will teach you the name of an enemy more frightening than monsters. It is--carelessness, complacency, and negligence."
"どれほどの敵を倒せば
この地に平穏が訪れるのか――
こんなことを思うとは――老いたか","How many enemies must I defeat for peace to come to this land? To think such a thing... have I grown old?"
"勝利の秘策？
そんなものがあるなら、そもそも戦争など起こらない","The secret strategy for victory?
If such a thing exists, wars wouldn't happen in the first place."
"価値を問う前に、黙って守れ
失って後悔したくなければな","Before you question the value, shut up and protect
unless you want to lose it and regret it."
"何？　拠点防衛に関する提案？","What? A proposal regarding base defense?"
"オークどもをぶっ倒し、追いだしても
臭いはしばらく残るんだ
たまらん――くそっ！","Even if you knock the orcs off and drive them out
the smell lingers for a while.
I can't stand it -- damn it!"
"魔物掃除に来たのか？","Did you come to exterminate the enemy?"
"だったら遠慮はいらない
砦の外でひと暴れしてきてくれ","Then you don't need to hold back.
Please go wild outside the fortress."
"アルヴァーと会ったらしいな
だったら、こんなところにいないで
さっさと契約をすませたらどうだ？","I heard you met Alvar.
If that's the case, why don't you finish the contract quickly?
You shouldn't be here instead."
"どうした？
レオの話し相手は退屈か？","What's the matter?
Bored of talking to Leo?"
"だったら遠慮することはない
思う存分魔物と戦ってくれ","In that case, there's no need to hold back.
Fight monsters to your heart's content."
"おや――また来たのか","Oh, you've come back again."
"ひまだと言うなら、遠慮はいらない
このあたりの魔物を片っ端から倒してくれ
まったくどこからわいてくるのやら――だな","If you say you have free time, there's no need to hold back.
Please defeat all the enemies around here one by one.
I wonder where they're coming from."
"オークどもの行動様式が明らかに変化している
そちらも警戒を怠るなとレオとゲルト団長に
伝えてくれ","The behavior patterns of the Orcs have clearly changed. Please also inform Captain Leo and Gerd to stay alert."
"アークとやらが出現してから
オークの様子がおかしい――","Since The Ark appeared, the Orcs seem strange."
"そう感じたのは自分の勘違いか――","Did I misunderstand it -"
"神殿の様子はどうだ？","How is the temple?"
"ひまそうな覚者がいたら
訓練がてら顔を出すように伝えてくれ","If there are any idle Arisen, please tell them to come and train with me as a practice session."
"そう焦るな
まずはレオ統率と話してからだ","Don't rush like that. First, talk to Leo for guidance."
"モゴックの様子を覚えているか？
あいつが持っていたものは――なんだ？","Do you remember what Mogok looked like? What that guy had--what was it?"
"オークはズールとかいう魔物と手を組んだ
このところ感じていた違和感の正体は
それだったようだ","The Orc has formed an alliance with a creature called Zuhl. The true identity of the discomfort I had been feeling lately seems to be that."
"わたしはバカなオークと毎日戦っているのが
嫌いじゃなかった
正直、生きている実感があった","I didn't mind fighting against stupid orcs every day. Honestly, it made me feel alive."
"ところがあのズールがオークを変えてしまった
小賢しい――薄汚い魔物め――
もう憎しみしかない","However, that Zuhl changed the orcs into a cunning, filthy enemy... There is only hatred left."
"憎しみを抱えながら戦うのは――
きっと悲しいぞ？
だが、これからはそういう時代なのかもな","Fighting with hate-- sure is sad, isn't it? But maybe that's the way it's going to be from now on."
"イリスに会ったらたまには顔を出すように
伝えてくれ","If you meet Iris, please tell her to show her face once in a while."
"もしやおまえはわたしと同類ではないのか？","Are you not like me?"
"小ぎれいな神殿よりも最前線の砦が好き――
着飾った街の住人よりも
薄汚れた鎧カブトの戦士を愛おしく思う――","I prefer the frontline fortress over the tidy temple――
I cherish the dirty armored soldier more than the well-dressed residents of the city――"
"ならば遠慮せず、いつでもここに来い","Then you don't need to hold back. Please go wild outside the fortress."
"不覚だ――面目ない――","I am not Arisen - I am ashamed -"
"しかし、案ずるな
わたしはもう未来を見ている
もうオークの好きにはさせないさ","But don't fret.
I've already seen the future.
I won't let the orcs have their way anymore."
"神殿はどうだ？
ここの体制の立て直しが一段落ついたら
顔を出そうと思っているんだ","How's the temple going?
I'm thinking of showing up when I'm done rebuilding this place."
"うわさでは神殿の雰囲気が変わったのだとか","Rumor has it that the atmosphere of the temple has changed."
"悲壮感に満ちているらしいな
正直、行く気が失せる","It seems filled with a sense of tragedy.
Honestly, I lose my motivation to go."
"ここにいても白竜の目覚めは感じられるんだ
だから、わたしもおまえと同じ時に
竜力を受け取っている","I can feel the awakening of the White Dragon even here.
So I also receive Dragon Force at the same time as you."
"そして、その恩に報いることを考える
ああ――いつも考えている","And think about repaying the favor.
Oh--I think about it all the time!"
"ミシアルが謁見の間から出たらしいな
もっと引っ張り出してやるといい","Mysial seems to have come out of the Audience Chamber. It would be good to get them out even more."
"――いや、誘っても無理か
――うん、無理だな","――No, it would be impossible to invite her.
――Yeah, it's impossible."
"最前線だったこの砦も
今では時折小競り合いが起こる程度だ","This fort, which used to be the front line,
now sees only occasional skirmishes."
"殺気で肌がヒリヒリ傷むような戦場――
そんな場所を探して旅に出ようか
――最近、そんなことを思うんだ","A battlefield where the skin stings with a killing intent -
Should I search for such a place and embark on a journey?
Lately, I've been thinking about such things."
"イリスの行方を知っているか？
身を隠すように言ってやった方が
いいかもしれないぞ？","Do you know where Iris is?
It might be better to tell her to hide."
"ふん――そうか
さすがレオだ","Hmph――so that's it.
As expected of Leo."
"神殿が大変だと聞いているが――
おまえは戻った方が良くはないか？","I heard that the temple is in trouble— Wouldn't it be better for you to come back?"
"ここの指揮は部下に任せようと思う","I think I'll leave the command here to my subordinates."
"引き継ぎが終わり次第わたしも神殿へ行く
向こうで会おうではないか","Once the handover is complete, I will also go to the temple.
Let's meet there, shall we?"
"レオのことは心配するな
すべて良かれと思ってしていることだろう","Don't worry about Leo.
I'm sure he's doing everything for the best."
"行動が愚かだが――昔からだ","My actions may be foolish, but it has always been this way."
"くそっ――
このあたりの魔物が騒がしくなってな
なかなか離れることができないのだ","Damn it――
The enemies around here are getting noisy.
I can't seem to get away easily."
"ここにはわたしがいる
――わかるか？","Here I am --you know what I mean?"
"ここの守りは堅い――そういうことだ
思う存分、戦ってこい","The defense here is strong--that's what I'm talking about.
Go ahead and fight to your heart's content."
"報せを聞いて駆けつけたぞ
おまえは最前線にいたのだろう？
ご苦労だったな","I rushed over upon hearing the report.
Were you at the front line?
You've worked hard."
"今度手柄話を聞かせてくれ
盛大にうらやましがってやろう","Tell me your achievements next time. I'll celebrate them with great envy."
