old,
"よろしければこれをどうぞ
今日は来場者に粗品をお渡ししてるんです","If you'd like, here it is:
We're giving away some roughage to visitors today."
"今日は覚者さんに、またまた折り入って
相談があるんですよ――","Today I have another folded
consultation with a memorandum of understanding--."
"実はね、白騎団のかたがたに
討伐要請を出していた厄介なオーガ
《坑道荒らし》ってのがいるんですが――","As a matter of fact, there is a nasty ogre
that the White Riders have been asked to take down
, the Tunnel Troll..."
"どうも騎士さん達の手には負えないようで
むしろ、騎士さん側の被害が増えてるって
状況なんですよ","Apparently, the knights are out of control
and the damage to the knight's side is increasing
"
"キノザの西、ボルド小坑道近くの
《山腹の野戦場》で、件のオーガを
やっつけちゃくれませんかね","Can you please kill the ogre
at the
""hillside field"" near the Boldo small tunnels, west of Kinoza?"
"しかし、オーガも前はもっと山間に
いたってのに、どうしてふもとの方へばかり
降りて来るんでしょう――迷惑な話ですよ","But why do they keep coming down to the foothills
when the ogre used to be more mountainous
- it's annoying!"
"おお、今日は大きなお知らせが
ありますよ！","Oh, we have a big announcement today:
"
"このボルド鉱山一の大坑道、
《ボルド大坑道》の出入り口を塞いでいた
ガレキが撤去できたんです！","We were able to remove the debris
that was blocking the entrance and exit of the Boldo Tunnel,
the largest tunnel in the Boldo Mine!"
"これでまた、採掘に再開発も
捗るってもんです！","This will also allow for redevelopment
progress in mining!"
"――とはいえ、元は巨人が現れた
衝撃であちこち崩落したって話です
サイクロプスやなんかが棲みついてる
可能性も――","――However, it's said that originally there were Giants who appeared and caused various collapses. There is also a possibility that a Cyclops or something similar is inhabiting there."
"そこで覚者さん、ボルドのために一肌
脱いで頂けませんかね
巨人がいないか、一通り奥まで様子を
見て来てもらいたいんですよ","So, Mr. Sensei, could you please take off some skin
for Boldo
and go to the back
to see if there are any Titans there."
"引き受けてくださるなら
あらためて私にお声掛けを！","If you would like to take it on, please contact me at
again!"
"いやぁ～～！！
それにしても大活躍ですなぁ！","Oh no!
That's still a great success!"
"覚者さまさま、お陰様でキノザも
穴ぐらの面々も大助かりですよ！","Thanks to you, Mr. Awakensama, Kinoza and the
hole-in-the-wall guys have been a big help!"
"お礼はしっかりさせてもらいますんで
今後ともよしなに！","I will give you a proper
thanks, so please continue to be kind!"
"ああ覚者さん、覚者さん！
またちょっとした問題がありましてね","Oh, Mr. Awakening, Mr. Awakening!
We're having a little problem again."
"ムジナ団――だったかな？
ボルド鉱山のふもとに、盗賊たちが
住処にしてる坑道があるんですよ","The Mujina group - I think it was?
There's a tunnel at the foot of the Boldo Mine where the bandits
make their home."
その名もずばり、《盗賊の隠れ家》！,"The name of the house is ""Thieves' Hideout""!"
"前に騎士さんが連中を追いたてた後に
表に出られないよう入り口を塞いで
鍵を預けてくれたんですけどね、
どうもそれが壊されたようで――","After the knight chased them off before,
he blocked the entrance to prevent them from getting out
and left me a key,
but apparently it was broken..."
"我がもの顔で暴れてる奴らの隠れ家に
乗り込んで、一つ懲らしめてやってくださいよ","Please go to
to the hideouts of those who are raging against themselves and punish them one by one!"
"ヤツら、金目の装身具をずいぶん
略奪してるみたいで、鉱泉の客足にも
響くってもんです","They seem to be looting a lot of gold-grained trinkets
, which will affect the number of visitors to the mineral springs
"
"うーむ困ったことになったんですよ
覚者さん！","Ummm, I'm in trouble, Arisen!"
"ボルド鉱山の頂きに、祠があるのはご存知で？
その祠――《山頂の小堂》付近が
グリフィンの巣になってましてね","Did you know that there is a shrine at the top of the Boldt Mine?
That shrine - near the small hall at the top of the mountain
is a Griffin's nest."
"グリフィンがしばしばそこで羽休めをしてたん
ですが、特に厄介なグリフィンが
舞い戻ってきたんですよ！","Griffins often rested their wings there
, but one particularly nasty griffin came back
!"
"覚者さん、どうかそのグリフィンを
追い払っちゃくれませんかね？
また、詳しくは追って説明しますんで","Mr. Arisen, can you please get rid of that griffin
?
I'll explain the details later."
"当鉱泉はお客様の需要にあわせ
３つの浴場を用意してますよ","We have three bathhouses at
to meet your needs!"
"どうぞ、ごゆるりと
それぞれのお湯を楽しんでください！
入場キーは受付けのルーシーが販売しております","Please relax and
enjoy each hot tub!
Admission keys are available for sale by Lucy at the reception!"
"私は一応この地域の顔役もやってましてね
組合宿のリビアンともども、自治と仕事の斡旋も
引き受けてるってわけです","I'm also the face of the community
and the union inn, Livian, and I also take care of the local government and job placement
"
"キノザとボルド鉱山のため、良かったら
一肌脱いで頂けませんかね、風呂だけに！","For the sake of Kinoza and Bordo Mine, if you would like to
please give us a skinful, just for the bath!"
"実は、ちょっと私は人外方面の方とも
付き合いがありましてね","Actually, I have a bit of a relationship with
the non-human side of things, too."
"覚者さんだったら、ご存知じゃありませんか？
穴ぐらに住んでる連中と会ったら
よろしくお伝えください","If you are an enlightened person, wouldn't you know?
If you see any of the guys living in the cave, please send them my regards at
"
"おお、いらっしゃい！
キノザとボルドに関して
私に何かご用で？","Oh, welcome!
Regarding Kinoza and Bordo:
What can I do for you?"
"おお、覚者さんにお伝えしたいことがあるんですよ！
《辺境の礎》ってやつがこのボルドでも
使えるようになりましてね","Oh, I have something to tell you, Arisen!
The ""Cornerstone of the Frontier"" is now available at
here in Bordo!"
"何でも、行きづらかったところに
一瞬で到着する便利な代物だとか","I hear it's a convenient way to get to places you've been trying to get to
in an instant."
"キノザの管理者としては、ボルドにいらっしゃるなら
ぜひともこのキノザに寄って一風呂浴びていって
ほしいところですが――","As the manager of Kinoza, if you're in Bordo,
I'd love for you to stop by Kinoza and take a bath.
"
"ま、任務の途中や帰りにも、疲れを癒すために
ぜひお湯に浸かっていってくださいよ！
いつでもお待ちしてますんで！","Well, please visit
to soak in the hot water to relieve your fatigue on your way to or from your mission!
We're always waiting for you!"
"おお、覚者さんじゃないですか！
ちょうどよかった
一つ相談に乗っちゃくれませんか","Oh, you are an enlightened person, aren't you?
I was just in time.
Can you help me with one thing?"
"いや、《ボルド大坑道》についてなんですけどね
せっかく再開発も軌道に乗り始めたところだってのに
最近妙な噂が立っちまって鉱員が集まらないんですよ","No, I'm talking about the Boldt Tunnel.
The redevelopment is just getting back on track.
Lately there have been strange rumors and it's hard to get miners."
"なんでも、骸骨騎士が坑内を歩いてる――とか
光るドクロがこっちを見てた――とか
気味が悪いでしょう","Anything, a skeletal knight walking down the mine shaft-- or
a glowing skull looking at me-- or
It must be creepy!"
"多分何かの魔物がうろついてるんだと思うんですがね
覚者さん、そいつを退治してきてくれませんか","I think there's probably some kind of demon hanging around.
Mr. Arisen, can you go kill that guy?"
"詳しくは追って説明しますんで
一度考えてみてください
このボルドの未来のためと思って、頼みます！","I'll follow up with more details.
Please think about it once
I'm asking you to do this for the future of this bordo!"
"ところで覚者さん、《ボルド大坑道》の中にある
《灼熱の封鎖道》なんですが
ご興味があったりはしませんかね？","By the way, Arisen, I was wondering if you might be interested in
""Burning Blockade"" in the ""Great Bord Tunnel""
?"
"いえ、というのもですね！
ああいうところには良質な鉱脈が
埋まっていることが多いんですよ","No, I mean, you know!
There are often good veins of ore
buried in places like that!"
"特に私が目を付けているのは
この辺りだけで、それもごく少量しか採れない
貴重なボルディックダイヤってやつでしてね","I'm particularly interested in
which is only found around here, and only in very small quantities.
It's called a precious bordic diamond."
――あるんじゃないか、と――！,"――Maybe, or maybe not――!"
"あそこは地下のマグマの活性度によって
坑内の気温がやたら上がってしまうってことで
封鎖してたんですが
今なら何とか入れる状態なんですよ","The mine was closed
because the activity of the magma underground causes
the temperature in the mine to rise dramatically, but
it is now in a state where we can manage to get in."
"今回もこっそり封鎖を解いておきますんで
よかったら、一度中を調査してみてください！
絶対何かあると思うんですよね、あそこは――","I'll be sneaking off the blockade again this time.
If you'd like, you can investigate inside once more!
I'm sure there's something in there that--"
"おや、ちょうどいいところに！
覚者さんにご相談したいことが
あったんですよ！","Oh, just in time!
There was something I wanted to discuss with the Arisen
!"
"実は私も《灼熱の封鎖道》に入ってみたんですがね
ボルディックダイヤどころか
ジオゴーレムを見つけてしまいまして！","I actually went into the ""Burning Blockade""
and found not only a bordic diamond, but
a geo-golem!"
"いやぁ、やっぱり封鎖されて長いと
ああいうのが棲みついてしまうんですねぇ","Well, after all, if it's been blockaded for a long time,
that kind of thing will inhabit it."
"なんとか討伐をお願いできないでしょうか？
詳しくはまた追ってご説明しますので！","Can you please manage to take them down?
I will explain the details as soon as possible!"
"いやぁ～～！！
覚者さんのご活躍には
我々ただもう舌を巻くばかり！","Oh no!
We at
just can't get enough of your work!"
"このキノザ鉱泉の管理者として、
そしてボルドのエリアマスターとして
ここはお礼を奮発しないとですな！","As the manager of Kinoza Mineral Springs,
and as an Area Master of Voldic,
we need to spare no expense to show our gratitude here!"
"良いものを取り揃えておきますんで
今後とも、どうぞよしなに！","We will prepare good things for you
so please continue to favor us in the future!"
