"old",""
"俺は隊長の右腕を自認してますから
誰が戻ろうと、去ろうと、そこだけは
変わりませんからね","I consider myself the captain's right-hand man;
No matter who comes back or leaves,
That will never change."
"もちろん、ものすごく期待はしていますけど――","Of course, I have really high expectations, but -"
"セシリーの記憶が戻っても問題が
解決するわけじゃないんですよね
鍛錬して、腕を磨いておこうかな","Even if Cecily's memory returns, it doesn't mean the problem will be solved, right? Maybe I should train and sharpen my skills."
"黒騎士対策が急務ってところですかね","Is countermeasures against the Black Knight the urgent matter here?"
"記憶が戻るとか、どうでも良くなりましたね
せめて意識が戻ってくれれば――","Back to memory, or whatever, it doesn't matter anymore. At least if consciousness can return—"
"隊長、急ぎましょうよ
急いては事をし損じるなんて
言ってる場合じゃありません！","Captain, let's hurry up.
There's no time to waste by rushing.
We can't afford to be talking about it!"
"白竜様以外の竜の覚者と一緒に戦うなんて
こんな機会はもうないかもしれませんよね？","Isn't it unlikely to ever have the opportunity to fight alongside any dragon's Arisen other than the White Dragon?"
"隊長と一緒にいられるだけでも幸せなのに
その師匠筋のレオ統率の生き様まで
間近で見られて――俺、胸が熱いです","I am happy just being able to be with the captain,
And now, witnessing the way of life of Leo
up close... My heart is burning."
"耳を澄ますと、聞き慣れない音がしますね
空気が濃くて、ねっとりとまとわりつくような――","When you listen carefully, you can hear unfamiliar sounds. The air is thick and sticky, as if it is enveloping you."
"気にしすぎですかね――
やっぱり、ビビってるんですかね","Is it because I'm worrying too much - Am I just being scared after all?"
"ガルドリンは俺が見つけてみせますよ","Gurdolin will be found"
"あの人は認めないでしょうけど
俺たち、結構、心が通じ合っているような
気がするんですよね","That person might not admit it, but
I feel like our hearts are somewhat connected
you know"
"ロイグはどこでしょうね
ガルドリンも、はぐれたきりらしいですよ","Where can Loeg be? Gurdolin also seems to be lost."
"セシリーのお父さんは
それなりに強い戦士に育った娘の帰りを
待っていたのではないでしょうか？","I think Cecily's father was waiting for his daughter to return after she grew up to be a strong warrior in her own right."
"本当は娘と一緒に行きたかったけど
いつまでも待っているわけにはいかず――","I really wanted to go with my daughter, but I couldn't wait forever to--"
"とすれば、セシリーを早く帰してやれなかった
俺たちの責任も、あるのかもしれません","If that's the case, maybe it's our fault for not getting Cecily home sooner."
"族長が回復したらすぐに出発できるように
身体を温めておきましょう
電光石火の、雫奪回作戦です！","Once the clan chief has recovered, we can depart immediately, so let's keep our bodies warm. It's time for the lightning-fast operation to reclaim the drop!"
"あははは
なんだかセシリーが大きく見えますよね
ここで居心地悪そうにしてた時とは
別人のようです","Ahahahaha!
Somehow, Cecily looks bigger, doesn't she?
She seems like a completely different person from when she was feeling uncomfortable here."
"フィンダムの中心部に向かうんですよね
しかも、世界を救うために――
これって、凄いことだなあ","We're heading to the heart of Phindym,
And to save the world--
This is awesome!"
"さあ、まだ魔物はいますよ！
休んでいるヒマなんてありません","Well, there are still enemies here!
There is no time to rest."
"胸騒ぎが止まりません――
なんでしょう、これ","I can't stop the excitement--
What is this?"
"わははは！
隊長、もう感情を抑えられません
早く決めちゃいましょう！","Wahaha!
Captain, I can't contain my emotions anymore.
Let's decide quickly!"
"理というのは――
見方によっちゃあ、酷なものですね","Depending on how you look at it, order can be a cruel thing, you know."
"俺たちをここに連れてきた竜の思惑なんて
わかりませんけど、アッカーシェランには
俺たちの援助が必要です","I don't understand the intentions of the dragon that brought us here, but Acre Selund needs our assistance."
"俺は、そう確信しています！","I am convinced of that!"
"この状況、俺たちで変えて見せましょう！","Let's change this situation, and show what we can do!"
"王子はどこですかねえ","Where is the prince, I wonder?"
"聞くところによると西方はなかなか
厄介な地域らしいですよ","According to reports, the western region is said to be quite troublesome area."
"王家の威光もあまり届いていないとか","The royal family's authority does not seem to reach very far."
"隊長、アッカーシェランの歴史や政治とは
距離を置いた方が得策ですよね","Captain, it's in your best interest to keep your distance from Acre Selund's history and politics"
"王子救出に夢中になっていましけど
“悪しき竜”はどこにいるんでしょうね","I'm currently focused on rescuing the prince,
but where could the ""Evil Dragon"" be?"
"邪魔する気もないみたいですし","And they don't seem to want to interfere."
"王子はまだまだ子供で頼りないけど
そのおかげで解放軍は一丸となる――","The prince is still a child and unreliable, but thanks to that, the liberation army will unite as one."
"俺でさえ、守ってやりたいと
思いますからね","Even I, want to protect you."
"ネド王子、王子らしくあろうとして
無理してる気がするんですけど
隊長、どう思います？","Prince Nedo, I feel like he's trying to be more like a prince and forcing himself.
Captain, what do you think?"
"武器、防具――装備品、全ての手入れは
完璧です！","Weapons, armor--equipment, all taken care of perfectly!"
"“悪しき竜”の言葉を覚えていますか？","Do you remember the words of the ""Evil Dragon""?"
"絶望の大陸を楽しめって――
俺たち、挑発されてますよ？
乗ってやりましょうか！？","""Enjoy the Land of Despair"" - we are being provoked. Shall we ride?!"
"休める時には休む
これ、俺たちよく忘れちゃいますよね","Rest when you can.
We often forget this!"
"休める時には休む
これ、俺たちよく忘れちゃいますよね","Rest when you can.
We often forget this!"
"やっぱり覚者は戦ってこそ、ですね","After all, an Arisen should fight."
"これも広い意味で白竜様をお守りする
覚者ならではの戦いですから","This is also a battle in the broad sense of protecting the White Dragon, that only the Arisen can fight."
"ジョゼフ様じゃありませんが――
事がうまく運ぶほど“悪しき竜”の
動向が気になっちゃいますね","I'm not Joseph, but--
the more things go well, the more I wonder what the ""evil dragon"" is up to."
"解放軍が増員されれば俺たちの負担も
多少は減るでしょうから、黒い騎士のことは
その時に考えましょう","If the liberation army is increased, our burden will be
 reduced, so let's think about the black knight at that time!"
"鎧の中身が誰だろうと目の前に現れたら
俺は戦うだけですよ！","Whoever is in the armor, if they show up in front of me I'm just going to fight!"
"隊長、どうしましょう
何から手をつけていいのか――","Captain, what should we do
I don't even know where to start--"
"早くなんとかしないと俺たちまで
動けなくなりますね","If we don't do something soon, even we will become unable to move."
"やりましょう、隊長
俺、レスタニアもアッカーシェランも
全部引き受けますよ！","Let's do it, Captain.
I'll take care of Lestania, Acre Selund,
I'll take care of everything!"
"黒騎士を倒して白竜様の力と
メガドを取り戻しましょう！","Let's defeat the Black Knight and restore the power of the White Dragon and Megado!"
"いやー、なんか、鼻歌出ちゃいますよ
ついつい浮かれちゃうんです","Well, somehow, a song just slips out.
I can't help but get carried away."
"ネド王子が我々と離れたがっている――","Prince Nedo wants to leave us—"
"これまでの経緯を思うと
それは考えにくいですよね","Given what we've been through,
that's unlikely."
"この時間に何かできることが
あるかもしれませんね？","At this time, there may be something we can do, right?"
"体力増強とか地勢確認とか――
考えてみましょうか","Maybe we should think about increasing our strength, or checking the terrain--"
"俺はいつ、どんな時でも隊長の右腕です
頼りにしてくださいね","I'm the captain's right hand man whenever and however you need me.
You can count on me."
"大丈夫ですってば！
みんな心配しすぎですよ","I'm fine!
Everyone is worrying too much."
"あははは――
少し張り切り過ぎました","Ahahaha――
I got a little too carried away."
"落ち着いたらキノザのお湯に浸かって
養生するつもりです","Once I get settled down, I plan to soak in the Kinoza hot spring for recuperation."
