old,
"引き受けてくださるならば、
あらためて詳しくご説明いたします","If you accept, please contact us at
and we'll explain it to you in more detail."
"あなたこそまさに
白竜様が我々に遣わして下さった恵みです","You are truly
the blessing that the White Dragon has sent to us!"
"あなたさまからの数々お心遣いによって
この村は幾度となく救われております
感謝してもしきれません","Your kindness has saved our village many times
and we can never thank you enough
"
"まだまだ至りませんが
現時点で集めうる限りの支給品をご用意いたします
ジンゲンの民は、これからもあなたさまと共に","We're not quite there yet, but
will provide you with as many supplies as we can gather at this time.
The people of Jingen will continue to be with you."
このあたりはすでにごらん頂けましたか？,Have you already seen this area?
"ドリード城の城下として栄えたのは
はるか昔――","It flourished as the seat of Dorid Castle
a long time ago--"
"オークどもの台頭で今や住む者も
ごくわずか――","With the rise of the orcs, there are now very few people who live in
"
"よって、このジンゲンとその周辺は
見捨てられても仕方のない地区です","Therefore, this Gingen and the surrounding area is a district that should be
abandoned!"
"しかしながら、突き放すような厳しさ――
そして険しさ故の美が入り混じる風景に心ひかれ
訪ね来る人々も少なくありません","However, many people come to visit
because they are attracted by the landscape that combines the harshness of the place -
- and the beauty of its ruggedness."
"そんな人々に便宜を提供することで
白竜様のお役に立とうと
我々はここに暮らし、精進しております","We live here and devote ourselves to
helping the White Dragon by providing convenience to such people.
"
"わたくしはジンゲンの長――
ダウ渓谷のエリアマスター、ヘイデンと申します
どうぞお見知りおきを","I am the head of Gingen--
I am Hayden, Area Master of the Dow Valley
Please get to know me."
"村の依頼を引き受けて下さり
ありがとうございます",Thank you for accepting the village's request.
"今後は、覚者様を物資面にて
支援させていただきます",We will continue to support the Arisen with supplies.
"――覚者様にお知らせすべき
ことがあるのです",- There is something I should inform the esteemed Arisen about.
"村から降りた川べり、《白砂河原》で
このところ、凶暴で大きなラージサルファーの
目撃が相次いでおりまして","On the riverbank down from the village, the White Sand River,
there have been a number of sightings of large, ferocious large sulphurs
in recent days."
"《タイガーテール・サルファー》と呼び
警戒をしておりました","I was on guard against a ""Sulfur Tiger-Tail""."
"もし河原へ下りる時は、
十分注意なさることです","If you go down to the riverbank,
be very careful!"
"――地下墓地、《カタコンベ》
ドリード城近くにある地下墓地は旧時代
罪人を葬る場所であったと言われています",It is said that the underground catacombs near Dreed Castle were a burial place for sinners in ancient times.
"白竜様のお力が弱まり
近年妙に瘴気が溜まりやすくなって
しまっている様子――","The power of the White Dragon Master has weakened
and the strange miasma that has been accumulating
in recent years seems to have become--"
"そこで、危険ではありますが
一度入り口を開放することにいたしました","So we have decided to open the entrance once
although it is dangerous!"
"もし、探索をされるのでしたらどうぞ
積極的に私から勧めはいたしませんが","If you'd like to explore, please go to
I'm not going to actively encourage you to do so."
"ダウの西に、《ドリード監視塔》という
小塔があるのはご存知ですか","Did you know that there is a
small tower west of Dow called the ""Dorid Watchtower""?"
"一昔前までは、現役の騎士団詰め所でも
あった場所なのですが
今やスノーハーピーが縄張りとする危険地帯","一昔前までは、現役の騎士団詰め所でも
あった場所なのですが
今やスノーハーピーが縄張りとする危険地帯"
"この調子で増えられれば
いずれジンゲンにも彼女らが飛来するのは
明白です","この調子で増えられれば
いずれジンゲンにも彼女らが飛来するのは
明白です"
"どうか、群れの中核をなす
《スノーグーラー・ハーピー》を討伐して
くださいませんか","どうか、群れの中核をなす
《スノーグーラー・ハーピー》を討伐して
くださいませんか"
"あなた様が村に滞在されるようになって
民の表情も明るくなった気がいたします","あなた様が村に滞在されるようになって
民の表情も明るくなった気がいたします"
"大した支援品ではありませんが
改善の努力をしますので
今後もよろしくお願いいたします","It's not a great support item, but
we will try to improve it.
Thank you for your continued support!"
"覚者様は、いまや相当にダウ渓谷を
よく知る方――
以前お話したとおり、ある人物を紹介
したいのです","The Arisen now knows the Dowe Valley quite well--
As I told you before, I would like to introduce someone to you."
"その者の名はチェスター
神殿では伝えられていない職
《シーカー》の技術に長けた若者です","His name is Chester
a position not handed down in the Temple
a young man skilled in the art of the Seeker."
"ダガ―を駆使する素早い身ごなしと
ロープを用いた跳躍術","Quick gestures using daggers and
leaping techniques with ropes"
"その特性から、暗殺者や盗賊といった
ならず者が好む技術ではありますが
あなたであれば善く使うことができるはず","Because of its characteristics, it is a technique favored by
ruffians such as assassins and thieves, but
you can use it for good!"
"《シーカー》としてさらに腕を磨かれる時が来れば
《渓谷の一軒家》に居る青年、チェスターを
お訪ねください
きっと彼が力となってくれるでしょう","When the time comes for you to further hone your skills as a Seeker, please visit Chester, the young man in the ""House in the Valley"".

I'm sure he will be able to help you."
"覚者様についてはすでに話を通しておきました
住居の場所については、《スポット情報》で
確認されるとよいでしょう","I've already talked to you about the Arisen.
You may want to check 《Spot Information》
for the location of the Arisen's residence."
"そろそろ切り出そうと思っていたことが
ありまして――",There's something I've been meaning to bring up--
"あなたは相当の実力をお持ちです
それは、このダウを守るためではなく
より多くの人々のため活かされるべき――","You have considerable skills.
They should be put to use not only to protect Dowe,
but for the good of as many as possible."
"グリッテン砦の北、オークが占領する
バートランドの調査にこそ、覚者様の力が
必要であると思うようになったのです","I have come to believe that it is precisely to investigate the orc-occupied
Bertrand, north of Fort Gritten, that we need the help
of the Arisen!"
"もちろん、これは私の手前勝手
関所のノーメルに話を通し、バートランドへの
路を開けるよう伝えておきました
オーク侵入の危険と引き換えですが","Of course, this is my own selfish
I spoke to Nommel at the customs house and told him to open a
path to Bertrand
in exchange for the risk of an orc invasion."
"《バートランド東関所》、そして
《グリッテン砦の西側通路》どちらからでも
バートランドへ行く事ができるでしょう","From either the ""Betland East Side"" or ""The West Passage of Fort Gritten"",
you can get to Betland from either of them."
"先に行かれるかどうかは、お任せします
どうぞよき判断を","I'll leave it up to you to decide if you want to go ahead.
Please make a good decision."
"――恐れ入りますが覚者様
あなたにぜひお願いしたいことがあるのです","――I'm sorry, Lord Arisen, there's something I would like to ask of you."
"渓谷にある大きな自然洞
《風鳴り洞窟》のことはご存知でしょうか？","Have you heard about the large natural cave in the canyon
《Wind Sounding Cave》?"
"あそこはかつて、ある恐ろしい魔物の
住処でもあったのです
このジンゲンの民の多くが犠牲になりました","There, it was once the
lair of a terrifying
monster, in which many of Jingen's people fell victim to."
"撃退され姿を消していたのですが
かの魔物が再来したかもしれぬとの
報せがあり、事実であれば一大事","It was repulsed and disappeared, but
there are reports that the monster may have returned
and if true, that would be a big deal!"
"申し訳ありませんが覚者様
その真偽を確かめてはいただけないでしょうか
正式に依頼いたしますので――","I apologize, Arisen
would you be able to confirm its authenticity?
We will make a formal request for it ――"
"あなたさまがジンゲンに掛けて下さる
お心遣いの数々――
感謝してもしきれません","I can't thank you enough for all the
kindnesses that you hang on Jingen--
"
"あなたこそまさに
白竜様が我々に遣わして下さった恵みです","You are truly
the blessing that the White Dragon has sent to us!"
"比べられるものではありませんが
我々にできる精一杯の礼を用意しました
ジンゲンの民は、これからもあなたと共に","Although it cannot be compared
We have prepared our utmost gratitude that we can offer
The people of Jingen will continue to stand with you."
"おお、覚者様
《滅びの渦》の調査にいらしたのですか？","Oh, Arisen
, Did you come to investigate the 'Vortex of Destruction'?"
"数少ないジンゲンの民ですが
意外にも、あの空を恐れて
逃げだすものはおりませんでした","Even though there are only a few Seekers left in Jingen
, surprisingly, none of them were afraid of the sky and fled
"
"元より、このジンゲンを離れられぬ
愛着のある者が残っていたのでしょう","From the beginning, it seems that there were some who couldn't leave Jingen due to their attachment
"
"諦めた方が良いのやもしれません
しかし、此度もあなたさまならば
お救いくださるのではと
思わずにいられないのです","It may be better to give up
but again I can't help but think that you
can save us
"
あなたさまこそ、竜が遣わされた恵み,You are the blessing sent by the dragon
"どのような結果になろうとも
あなたを信じるという選択を
後悔はいたしません","Whatever the outcome,
I will not regret
my choice to believe in you!"
