"old","",""
"覚者よ――人の時代を記憶し――愛でるがいい","Arisen, remember the era of humans and cherish it with love.",""
"覚者よ、風となり大地を駆けよ――我が魂を運べ","Arisen, become the wind and race across the earth - carry my soul",""
"覚者よ――
自らの出自を忘れるな","O Arisen one--
Remember where you come from.",""
"あれから３００年以上の時が過ぎている――","More than 300 years have passed since then.",""
"我にとっても短くはない時間だ
いわんや、人間にとっては――","It's not a short time for me either.
For a man, no less...",""
"竜なき世界――","A world without dragons —",""
"このレスタニアを竜なき世界にすることだけは
避けねばならぬ――","We must not let Lestania become a land without dragons.
We must avoid--",""
"――どうした","--What's the matter?",""
"――いや、眠っていたわけではない
ただ、時折――意識が失せるのだ","-- no, I wasn't asleep
just occasionally -- I'd lose consciousness.",""
"覚者よ――何用だ","Arisen, what do you want?",""
"我が加護を、おまえたちの言葉に乗せて
民たちに運ぶのだ","My blessings in your words.
Carry my favor to your people.",""
"わたしには休息が必要だ","I need rest.",""
"覚者よ
我が目となり、耳となり――頼むぞ","O Arisen One,
Be my eyes and ears - I beseech you.",""
"常ならぬ気配は弱まるどころかさらに強くなる
あの娘が強い気を発してるが
それだけではない――","The unusual presence doesn't weaken, it grows stronger.
The girl emits a strong spirit, but that's not the only thing--",""
"漂う穢れた気は――
魔物どもが発するもののようだ","The impure aura emanating from them seems similar to what
monsters emit",""
"異国の娘から目を離すな――
罪はなくとも、災いを呼び寄せるのはあの娘だ","Do not take your eyes off the foreign girl――
Even though she is innocent, it is that girl who brings disaster upon us",""
"黒き鎧の災いは――厄介だぞ","The curse of the black armor is troublesome, indeed",""
"覚者よ
若い人間の不安定な心――","Arisen.
The unstable mind of a young human--",""
"その掌握は我が手に余る
目を離すなよ","It's out of my control.
Keep an eye on it.",""
"ふむ――
我が力、自覚以上に失われているようだ","Hmm.
I seem to have lost more of my power than I realized.",""
"しばし眠るが――
まどろみの中でも、気の変化はわかる
――案ずることはない","I sleep for a while, but--
even in slumber, I know when your spirit has changed.
--don't worry...",""
"去った者のことは忘れることだ
頼りたいと思った時――
おまえの負けが決まるだろう","Forget about those who have departed. 
The moment you think of depending on them...
is the moment you seal your defeat",""
"目下の敵の向こうに真の敵がいるはずだ
その姿を見逃すでないぞ","Beyond the enemy at hand, there must be a true enemy.
Don't lose sight of that.",""
"覚者よ――
レスタニアを巡り、民の力となれ
我が加護を、あまねく伝えるのだ","Arisen.
I call upon you to travel throughout the land of Lestania and help your people.
Spread my blessing far and wide.",""
"悪意は消えぬ――
そこかしこの闇に潜む黒き悪意――","The malice will not disappear —
The black malice that lurks in every corner of the darkness.",""
"覚者よ――
自らの闇を凝視せよ――","Arisen, 
Gaze upon your own darkness――",""
"覚者よ――
事を急げ――
邪気は日ごと強くなる――","Arisen ones――
Hasten your actions――
The malevolent energy grows stronger every day――",""
"邪気が少しばかり薄らいだようだ
おかしい――
いや、息を潜めているつもりだろうか――","It seems that the evil aura has slightly subsided.
Strange...
No, perhaps it's just hiding its presence...",""
"邪悪な気の流れ――
おまえたちも感ずることが
できればいいのだが――","The flow of evil energy--
If you could feel it...
If only you could sense it, too.",""
"後悔の渦に足を取られるな
前を見た者だけが川を渡ることができるのだ","Do not let yourself be dragged down by the whirlpool of regret.
Only those who look ahead can cross the river.",""
"ふん――
レオめ――","Oh...
Leo...",""
"ふむ――いいだろう――","Hmm... I see. Alright then...",""
"セシリーは覚者ではあるが
未だ途上の覚者――
我が覚者よ――その原因を探すのだ","Cecily is an Arisen,
but still an aspiring one――
Oh, my Arisen―― search for the cause of it.",""
"覚者よ――
我が力、レスタニアの外へは届かぬ
大地と人を味方にして力とするがいい","Arisen――
My power cannot reach beyond the borders of Lestania.
Let earth and man be your allies and your strength!",""
"フィンダムの竜への敬意――
けして忘れてはならぬ","In reverence to the dragons of Phindym,
never to be forgotten.",""
"敵意――悪意――我ら竜が最も鋭敏に
感じる意識だ","Arisen...
 Hostility - Malice - It is the sensation that we, the dragons, most keenly sense.",""
"ふむ――異郷の匂いがするぞ","Hm... I sense the scent of a foreign land.",""
"竜を救え――
竜だけが我々に真実を語ることができるだろう","Save the dragon--
Only the dragon will be able to tell us the truth.",""
"異変の原因は大地の病か――
ふむ――
覚者たちよ――これは根深いぞ――","Is the cause of the anomaly the illness of the land--?
Hmm-- 
Oh, Arisen-- this is deeply rooted--",""
"《原始の雫》――はて、知らぬわ","《Primeval Drops》 - Hm, I do not know.",""
"竜と大地と民――
崩れた均衡を調和の中に戻すのは
難しい――心して、事に当たれ","Dragons, the earth, and the people--
To restore the collapsed balance harmoniously is difficult
--approach with care and sincerity.",""
"人は竜と大地の下僕のように思えるかもしれない","One may appear to be a servant of the dragon and the earth",""
"しかし、覚者よ――学ぶがよい
人の思いは、時に、竜をも狂わせるのだ","However, Arisen, it is good to learn. 
The thoughts of man can sometimes drive even dragons mad.",""
"（目を閉じ、何かを考えているようだ）","(With their eyes closed, they seem to be deep in thought)",""
"フィンダムの竜を見よ
意識が途切れ――乱れているようだ","Behold the dragon of Phindym:
His consciousness is faltering - it appears to be in turmoil..",""
"竜に意識を向けろ
一時たりとも忘れるな","Direct your attention towards the dragon. Never forget, even for a moment.",""
"精霊竜は己を知っている
それ故、セシリーをここへ送り込んだのだ
――判断の正しさを見せてやれ","The spirit dragon knows itself.
That's why they sent Cecily here.
--Show them the truth of their decision.",""
"道理を外れた世界も、これで理の中に
戻るだろう","Worlds that stray from order, will return to order with this.",""
"過去に類無き空の火球――
理の盤石が揺らいでいるというのか――","A fireball in the sky like never before...
The very foundation of order is being shaken...",""
"理の揺らぎを感じる――
何が起こるというのか――","I feel a shifting of order--
What is going to happen--?",""
"ふむ――匂いが変わったな
彼の地の竜力は焼けた匂いがする","Hmm... The smell has changed. 
The dragon force of this land smells burnt.",""
"“悪しき竜”の気配はないか――
気の乱れを見逃すなよ","No sign of the evil dragon...
",""
"王子は、黒い竜に倒されたとする火竜と
如何ほどの時を過ごしたのだろうか――","How much time did the prince spend with the fire dragon, who was supposedly slain by the black dragon?",""
"“悪しき竜”からの接触はないのか？","No contact from the ""evil dragon""?",""
"アッカーシェランの習わしでは
王子が竜を継ぐはずだ","According to Acre Selund custom,
the prince is supposed to inherit the dragon.",""
"おまえが“悪しき竜”ならどうする
野放しにしておくだろうか――","What if you were an ""evil dragon""?
I wouldn't let it run wild.",""
"アッカーシェランの幼き覚者を守り
覚者の道を教えられるのは
おまえたちの他にはいない","To protect the young Arisen of Acre Selund,
and teach them the path of the Arisen,
there is no one else but you.",""
"“悪しき竜”の目的が見えぬ","The purpose of the ""evil dragon"" is unclear",""
"よもやとは思うが――
ネド王子の言動に気をつけるがよい","While it may seem unlikely, it is advisable to be wary of Prince Nedo's demeanor and actions.",""
"“悪しき竜”が竜力を手放すとは思えん
となれば力尽くで奪うことになるのだろうか
果たして可能だろうか――","I find it hard to believe that the ""evil dragon"" would willingly relinquish its power.
If that is the case, would it be possible to forcefully take it with all our strength?
Is it truly feasible...?",""
"“悪しき竜”が持つ竜力の行方が
アッカーシェランの未来を決めることに
なるだろう","The whereabouts of the ""Evil Dragon"" and its Dragon Force will determine the future of Acre Selund.",""
"“悪しき竜”の思惑がどうであれ
その竜力はネド王子が継承可能となれば
目指す道はひとつだな","Regardless of the motives of the ""Evil Dragon"",
if Prince Nedo becomes capable of inheriting the Dragon Force,
there is only one path to pursue.",""
"“悪しき竜”にはおごりがあるようだ
まるで人間のようだな
それがあやつの弱点かもしれない","It seems that the ""Evil Dragon"" is conceited,
just like a human
That could be its weakness",""
"“悪しき竜”にはおごりがあるようだ
まるで人間のようだな
それがあやつの弱点かもしれない","It seems that the ""Evil Dragon"" is conceited,
just like a human
That could be its weakness",""
"大きな戦いの時は“悪しき竜”の動向に
気を配るのだ","In the great battle, you must watch out for the ""evil dragon.""",""
"おまえたちの勝利は“悪しき竜”の思惑に
どう影響するのか――","How will your victory affect the evil dragon's agenda...",""
"そろそろ姿を現すかもしれないぞ","Maybe they'll show themselves soon.",""
"いよいよ“悪しき竜”の本拠を目指すと聞く
気の変化を見逃すなよ","I hear you're finally heading to the home of the ""evil dragons""
Keep an eye out for disturbances in nature.",""
"黒い鎧の騎士――
正体の見極めを急いでくれ","The knight in black armor--
I need you to hurry up and find out who he is.",""
"そうか――黒い鎧の騎士は
姿を見せぬか","Well--the knight in black armor is
nowhere to be seen.",""
"竜力を――取り返さねば――","We must take back the dragon's force.",""
"声が――聞こえる――","I hear... voices...",""
"ミシアル――","Mysial--",""
"あと少し――生かしてくれ――
やり残した――ことが――","I need you to let me live a little longer.
I've got... some unfinished business....",""
"我が奪われし竜力はまだか――","My stolen dragon force is not yet--",""
"幸い竜力はすべて戻ったようだ","Fortunately, all dragon force seems to have returned.",""
"我が肉体が潤えばじきに大地も
元に戻るだろう","If my body is nourished, 
soon the earth will also return to its original state.",""
"さあ、行くがよい
ここは――わたしはもう大丈夫だ","Go on, go on, go.
Here, I'm all right now.",""
"王子の行動は自信と確信に満ちている
そうは思わないか？","The prince's actions are filled with confidence and conviction.
Don't you think so?",""
"“悪しき竜”はまだ動かぬか――","The ""Evil Dragon"" has not yet moved.",""
"王子の持つ笛とはいかなる理が
はたらくものなのだろうか――","What logic is there in knowing that the prince has a flute...
I wonder if it works",""
"笛があれば竜に勝てると
王子は信じているようだが――","The prince seems to believe that with a flute, he can beat the dragon--",""
"敵の狙いが見えぬ――
理に傷を付け何を求めるのか――","The enemy's aim is unclear--
What do they seek by undermining order?--",""
"“悪しき竜”をよく見ておいてくれ
同じことがこの地に起こらないとは
言えないからな","Be sure to take a good look at the 'Evil Dragon,' as we cannot say for certain that the same thing will not happen in this land.",""
"大切な話がある
心身ともに健やかな時に――頼む","I have something important to tell you.
When you're healthy, both mentally and physically-- please.",""
