"old",""
"レスタニアの覚者――
王ゴルゴランが、あなたのようであったなら――","Arisen of Lestania, if only King Golgorran were like you..."
"いえ、それは言っても詮なきこと
今はあなたがここを訪れてくれた
その事に感謝いたしましょう","No, that is something not worth mentioning. 
I am grateful for you visiting here now.
Let us express our gratitude for that fact."
"私達も、あなたに何を返せるか考えねば","We also need to think about what we can give you."
"メルゴダにあなたが来られてしばらく――
もうこの地にも慣れられた頃では
ないでしょうか","Have you been able to get used to this land since you came to Mergoda a while ago?"
"もし、その気がおありでしたら覚者よ
より奥深き錬金の道を進むため
テオドール様から錬金術士《アルケミスト》の
手ほどきを受けられてはどうでしょう","If you are interested, Lord Arisen,
How about receiving guidance from Lord Theodor, to advance further on the profound path of Alchemy?"
"錬金術は、善く使えば人が理を
理解するための学問であり、技術です","Alchemized is a study and skill that, when used well, allows people to understand the order of things."
"地上の覚者であるあなたに
正しい姿を知って貰ってこそ
我らの想いも伝わるというもの","To you, who are an Arisen on surface,
Only by knowing the true form can our feelings be conveyed."
"――その意思があるのでしたら
テオドール様にお話を","If you have such intentions, please speak with Lord Theodore."
"地上の方よ――
あなたが私達のために貸して下さる力
どれほど励みとなりましょう","O surface one--
how encouraging is the strength you lend to us."
"贈り物を用意しております
どうか、これからもメルゴダを
助けて下さい","We have prepared a gift for you. Please continue to assist Mergoda."
"あなたにもお伝えしなければ
半壊しかけの《錬金研究室》にて
未完成の錬魔が暴走しているようです","I must inform you as well.

In the nearly destroyed ""Alchemy Laboratory"", an unfinished alchemized creature seems to be running amok."
"侵入者を感知、排除するために作られる
監視用錬魔――その素体となる
《合成用アイ》と《合成用ゴブリンアルケミー》
の２種ですね","It consists of two types of Guardian Familiars designed to detect and eliminate intruders:
a Synthetic Eye and a Synthetic Alchemized Goblin."
"もし研究室に向かわれる際は
十分に警戒を","If you are heading to the laboratory, Please exercise sufficient caution."
"地上の方よ、ありがとう
あなたの協力、嬉しく思います
私達からも、小さくはありますが贈り物です","Thank you, people of the surface. We appreciate your cooperation. We also have a small gift to offer from us."
"地上の覚者よ、ありがとう
あなたの協力嬉しく思います","Arisen of the surface, thank you. I appreciate your assistance."
"私達からも、小さくはありますが
物資面でのさらなる力添えを
させていただきます","We will also provide a small contribution in terms of material support.
Until further notice, we will lend a helping hand."
"レスタニアの覚者よ
あなたがメルゴダを訪れて下さったこと
一同感謝しております","Oh, great Arisen of Lestania,
We are grateful for your visit to Mergoda."
"限られたこの地にて用意できることは
知れておりますが、これであれば
多少はお役に立ちましょう","I understand that resources are limited in this land, but I hope that this will be somewhat helpful."
"いつでも私達はあなたを歓迎いたします","We always welcome you."
"困ったことになりました","I'm in trouble."
"《宮殿前広場》にて、ディアマンテス派の
メルガン技師達が強力な魔道兵器を
動かしているようです","At the ""Palace Plaza,"" it appears that the Mergan engineers of the Diamantes faction are operating powerful magical weapons."
"このままでは、物資の手配にも
メルゴダでの探索にも大きな障害に――","As it is, this will prove to be a significant obstacle to both the procurement of supplies and the exploration in Mergoda."
"非常に強力な相手です
可能な限り戦闘は避け、こちらにおいでに
なる時もリム転移をお使いください","They are a very formidable opponent. Avoid combat if possible and use Rift Teleport when coming to our location."
"地上の方の訪れは
私達にとって驚きであり、そして喜び","The arrival of those from the surface is both a surprise and a joy to us."
"これをどうぞ――
少しでも助けとなればよいのですが","Here you go - 
I hope this can be of some help."
"地上の覚者よ、あなたが私達のために
貸して下さる力、どれほど励みとなりましょう","O surface one--how encouraging is the strength you lend to us."
"よりあなたの助けとなるであろう物資を
見つくろいました","I have gathered supplies that will be of assistance to you."
"どうか、これからもメルゴダを
助けて下さい","Please, continue to assist Mergoda. We have prepared a gift for you."
"これをどうぞ――
訪れてくれたあなたへのささやかなる礼です","This is for you ――
It's a small gift for you who visited."
"前にも申し上げましたが
このメルゴダにはいくつか
ディアマンテスに与する者の住居が
残っています","As I mentioned before, there are several residences in this Mergoda that belong to those who served Diamantes."
"彼らメルガンの技師達は
このところ何やら不穏な企みを
進めている様子――","May I ask you to once again consider our proposal? 
If you are willing to take on this task, we will also prepare a token of appreciation."
"ことに、封鎖していたその一つ
《エリクシル精製室》が
彼らの手に戻ってしまったようなのです","It seems that one of the blocked Elixir Refining Chambers has fallen back into their hands."
"一度、中をあらためては
いただけないでしょうか？
引き受けてくださるのであれば
礼も用意いたしましょう","Could you please reconsider this matter? If you decide to accept, we would be prepared to offer our thanks."
"レスタニアの覚者よ――
王ゴルゴランが、あなたのようであったなら――","Arisen of Lestania――
If only King Golgorran were like you..."
"いえ、それは言っても詮なきこと
今はあなたがここを訪れてくれたその事に
感謝いたしましょう","No, that is something not worth mentioning. I am grateful for you visiting here now. Let us express our gratitude for that fact."
"私達も、あなたに何を返せるか考えねば
せめて今は補給面で、報いさせてください","We must also consider what we can pay you with. 
At least for now, please allow us to repay you on the supply front."
"深刻な事態です、地上の覚者よ","It is a profound situation, O Arisen of the surface."
"王宮内の広間――《メルガン・アルケミデア》
のあたりで、ただならぬ気配が
関知されました","In the grand hall of the royal palace, around the area of Mergan Alchemdia, an unusual presence was detected."
"胸騒ぎがしてなりません
どうか、あなたのお力をお貸しください","I have a feeling of unease in my chest. Please, may I ask for your assistance?"
"レスタニアの覚者よ
メルゴダへの来訪、歓迎しましょう","Welcome, Arisen of Lestania. Let us welcome your visit to Mergoda."
"あなたにお伝えしたいことがあるのです
《辺境の礎》が各地に設置されたことは
既にご存知でしょう","There is something I want to tell you.
You may already know that ""Sub Portcrystals"" have been set up in various places."
"ここメルゴダの王宮層に設置された礎も
このたび自動解放されたとのことです","The Keystone that was installed in the palace layer of Mergoda is said to have been automatically released."
"――礎が新たに設置されるということは
神殿は我々を見放してはいない
そう考えても、よいのでしょうか――","Is it alright to think that the establishment of a new Keystone means that the Temple has not abandoned us?"
"地上の覚者よ、力を貸してください","Arisen of the surface, please lend me your power."
"古き住居に、ディアマンテスの思想に
染まった者の残党が
密かに集まっているのです","Secretly gathering in an old dwelling are the remnants of those stained by the ideology of Diamantes."
"彼らが何かよからぬ企てをしていることに
まず間違いはないでしょう","There is no doubt that they are up to something nefarious."
"どうか、彼らの企てを
未然に防いでいただけないでしょうか","Could you please prevent their plot from happening in advance?"
"引き受けてくださるのであれば
礼も用意いたしましょう","If you are willing to take on the task, we will prepare tokens of appreciation."
"少し昔話をさせてください","Could you please allow me to share a little old tale?"
"かつて、とても優秀な女性技師がいたのです","There once was a very talented woman engineer."
"しかし、彼女はある日を境に
急速にディアマンテスに傾倒してゆき
周囲の人々とも距離を置きました","However, she gradually became obsessed with Diamantes and one day distanced herself from the people around her."
"今や行方も知れぬ彼女は
何故か、とある井戸に
頻繁に出入りしていたとのこと――","Now, she, whose whereabouts are unknown, for some reason, frequented a certain well."
"そこに何があるのかは誰も知りませんが
もしかすると有用なものも
あるかもしれません","Nobody knows what is there, but there might be something useful."
"あなたに場所を教えておきましょう
興味があれば覗いてみるも良いでしょう","Let me tell you the location. If you are interested, it would be good to take a look."
"地上の覚者よ、深刻な状況です","Surface's Arisen, it is a serious condition."
"《秘匿の実験場》にて
強力な何かの気配が感知されました
休眠状態にあった機関が
活動を再開したようなのです","At the ""Secret Proving Ground,"" a powerful presence has been detected.
It seems that the dormant facility has resumed its activity."
"正体まではわかりませんが
放置すれば災いの種となるでしょう
どうかあなたのお力をお貸しください","I don't understand the true nature, but if left alone, it will become a source of disaster.
Please lend me your assistance."
"地上の覚者よ、感謝します
あなたが訪れてくださるようになり
ここメルゴダも何かが変わり始めたように思います","Arisen of the surface, I am grateful. It seems that something has started to change here in Mergoda, as you have started visiting."
"あなたの訪れにより
全てから切り離された私達に
新たな流れが運ばれてきたのです","By your visit, to us who have been completely disconnected from everything, a new current has been brought."
"私達も、あなたに何を返せるか考えねば――
せめて補給面だけでも
一層の助けとなりますよう尽力いたしましょう","We must also think about what we can give back to you—
At least in terms of supplies,
We will do our best to be of further assistance."
"地上の覚者よ
私達にできる協力であれば
惜しむことはありません","Arisen of the surface,
If there is any aid we can provide, There is no need to hesitate."
"地上の覚者よ
深刻な事態となりましたね","Arisen of the surface.
A serious situation has occurred, hasn't it?"
"学びとは、理を追求すること――","The pursuit of order is what learning is all about."
"錬金","Alchemized"
"道を誤った私達ですが
常に理を追い求めてきたと自負しています
どうか、この世の理を破壊させないでください","We may have lost our way, but we have always prided ourselves on constantly pursuing order.
Please, do not destroy the order of this world."
"ここメルゴダにて長きを過ごしてきたのは
今考えてみると
むしろ喜ばしいことかもしれません","I spent a long time here in Mergoda, and now that I think about it, it might actually be something to be happy about."
"ここにいたからこそ、この事態に
あなたを支えられるのですから","Because I was here, that's why I am able to support you in this situation."
"体力の回復、物資の補給――
どうか協力させてください
存分に、このメルゴダをお使いください","Please cooperate with me in recovering our stamina and replenishing our supplies. 
Please use Mergoda to the fullest extent possible."
