old,
"猿達は、それぞれ
《唸り猿》《裂き猿》《豚喰い猿》って
呼ばれてるわ","The monkeys are called
""snarling monkeys,"" ""ripping monkeys,"" and ""pig-eating monkeys,""
respectively."
"森に３か所ある廃屋が彼らのねぐらだから
近くを通る時は注意して
村のみんなにも伝えなきゃ","There are three abandoned houses in the forest that serve as their nests, so be careful when passing by
, and make sure to let everyone in the village know
"
"――ちょっと聞いてくれる？
《ミスリウ鍾乳洞》っていう、この森で最も深く
危険な巨大洞窟があるんだけど","--Can I have your attention, please?
There is a huge cave called ""Mysree Limestone Cave"", the deepest and most dangerous cave in this forest."
"少し前からその周辺で、恐ろしい獣の
唸り声や地響きがするようになってね","Not long ago, I started hearing the
roar of a terrible beast in that neighborhood, and the earth shaking."
"調査に行ってくれた騎士団が
まだ戻らないのよ――","The Knights who went to investigate
still haven't come back--"
"神殿にも救援要請を出しているんだけど
覚者隊はオークとの戦いでなかなか
手が回らないらしくて","I've also sent a request for help to the Temple, but
the Sentinel Corps is having a hard time
fighting the orcs."
"そこで、相談なんだけど
貴方に確認を頼めないかしら
お願い――、力を貸してちょうだい","So, I was wondering if I could ask you to check

please--help me out."
"リンウッドの皆がこうしていられるのも
貴方のお陰よね","Everyone in Lynnwood is alive and well because of you
"
"私にできることなんてたかだか
知れてるだろうけど、何とか恩返しするわ
補給支援の仕入れ、張り込んだんだから！","There's not much I can do
you know, but I'll return the favor somehow.
I've stocked up on supply support and staked it out!"
"今後ともよろしくね
ミスリウの勇者さん","Keep up the good work.
Missouri's Braveheart"
貴方にお願いしたいことがあるの,I need you to do something for me.
"――《古の祭祀場》
あの遺跡に、森にいるのとは異なる
エントが出るようになったらしいの","――《Ancient Place of Rituals》
It seems that Ents have started appearing in that ancient ritual site, different from those in the forest."
"――悪いことの前兆でなければ
いいんだけど","-- if it's not a sign of bad things, it's fine."
"少し気になることがあるの
あなたに詳しい調査を頼めないかしら
準備ができたら、もう一度声をかけてちょうだい","I'm a little concerned about something
I wonder if I could ask you to do some further research
When you're ready, give me a shout again."
