"old",""
"さあ――、わたしに話しかけ直して
《エリア情報》を選び
エリアランクとその内容を確認してくれ","Come on-- please speak to me again and choose 
""Area Information."" 
Confirm the Area Rank and its contents for me."
"これで《狩人の抜け穴》は開放された
魔物が多いから気をつけてくれ","With this, 
the Hunters' Secret Passage has been opened.
Be careful, as there are many enemies."
"《狩人の抜け穴》に出る魔物やアイテムの
情報は、《エリア情報》の《スポット情報》
で確認していくといいだろう","It is recommended to check the information on the 
monsters and items that appear in 
Hunters' Secret Passage in the ""Area Information"" 
and ""Spot Information."""
"それから――
エリアポイントを貯めたら、また足を運んでくれ
話しかけてくれれば、ポイントを精査して
相応しい恩賞を与えよう","And then――
When you accumulate area points, 
please come back again.

If you talk to me, 
I will carefully examine the points
and give you a suitable reward."
"ああ――
恩賞はエリアの開放だけではない
ポイントの多寡によって様々な恩賞を考えている
励みになるだろう？","Ah-...
The reward is not only the opening of the area.
I am considering various rewards based on the 
number of points.
It will be encouraging, won't it?"
"狩人の抜け穴は開放してもらえた？","Was the Hunter's Secret Passage opened up for use?"
"だったらポーン郷へ行っちゃおう！","In that case, let's go to Pawn Cathedral!"
"これはこれは、新しき覚者さま
お待ち申しておりました
ここは我らポーンの民が集いし《ポーン郷》","Greetings, greetings, esteemed new Arisen.
We have been eagerly awaiting your arrival.
This is the gathering place of our Pawn 
community, the ""Pawn Cathedral""."
"里長アルヴァーさまは聖堂の奥におられます
――が、まずは左手にある《拠点の礎》を開放し
登録なさいませ","Master Alvar is located deep within the cathedral.
- First, unlock the Portcrystal on your left hand 
side and register it."
"契約の試練に行かれるにも準備をなさるにも
覚者さまの拠点としてきっとお役に立つでしょう","Whether you are going to the 
Trial of the Contract 
or preparing for it, I'm sure it will be useful 
as the base of the Arisen."
"《ポーン郷》へようこそ
わたしはここの管理人アルヴァー","Welcome to the Pawn Cathedral.
I am the caretaker of this place, Alvar."
"さて、覚者よ
貴君はまだポーンについて何も知るまい","Now, O Arisen,
you may not yet know anything about Pawns."
"――気にするな
最初は誰でも同じだ
そんなことで我々ポーンは貴君を
見限ったりはしない","Don't worry about it.
At first, everyone is the same.
We Pawns won't abandon you
just because of something like that."
"――いや、見限るなど、できないのだ
ポーンには己の意志や感情がない
欲望、野望――何もなく、ただ覚者の
意志に従うのみ","No, it's impossible to abandon them.
Pawns have no will or emotions of their own.
No desires, ambitions—nothing,
they simply follow the will of the Arisen."
"ポーンは異界から来た不倒の戦士だ","Pawns are unyielding warriors who have come 
from a different realm."
"けして死ぬことはなく――
ただ、異界に帰り、また復活する
その特性から我らを“異界渡り”と呼ぶ者もいる","There is no such thing as dying.
Instead, we return to the other world and revive.
Some even call us ""otherworld travelers"" 
because of this characteristic."
"そして、ポーンの能力が発揮されるのは
戦場だけではない","And it's not just on the
battlefield that the pawn's abilities come into play."
"《クラフト》の能力で貴君ら覚者のために
様々な装具を生み出すだろう","They will use their ability of ""Craft"" to create 
various equipment for you, noble Arisen."
"ポーンとの契約を望む者は
《異界の狭間》へ行かねばならぬが
それが許されるのは一時にただひとりだけ","Those who wish to make a contract with Pawns
must go to ""The Rift"".
But only one person is allowed to do so at a time."
"準備と覚悟ができているのなら
あらためて声をかけてくれ","If you are prepared and ready,
please reach out to me again."
"ん？　準備できたら教えてね
君に足りないのは経験だけだよ","Hmm?　Let me know when you're ready.
All you're missing is experience."
