"Jp","En"
"実戦の前に、まずは訓練だぜ！
試してみたいジョブがあるなら、声掛けてくれよ
いつでも歓迎だからさ！","Training comes first, then the real action!
Got a Vocation you wanna try out? Let me know.
You're welcome anytime!"
"よし、挨拶完了だな？","Introductions out of the way, yeah?"
"次は――覚者の基本、各地の問題解決だ
ほら、目の前に《クエストボード》があるだろ？","Next lesson, fixing people's problems.
It's the price to pay, being the Arisen.
See that Quest Board in front of you?"
"あそこには、神殿や住民から俺たち
覚者への依頼書が貼り出されている
魔物討伐や品物補給だな","On it, you'll find requests posted by locals
and the Temple meant for us Arisen.
Killing demons, supply runs, things of that sort."
"もちろん、報酬金も出る
生活のためにも旅の準備にも鍛えるにも
クエストボードの依頼をこなすのが
てっとり早いだろうな","Of course, it pays to do these Board Quests.
Whether it's to make a living, for travel expenses,
or honing your skills, knocking out those requests
is the best way to go, if you ask me."
"じゃあ、そういうわけで
自分が達成できそうな依頼を選んで
ひとつやってみな","Alright, with that said,
pick a quest you think you can pull off
and give it a go."
"クエストボードは見たか？
依頼書がいっぱいだっただろ？","Did you check the Quest Board?
There's loads to do, right?"
"じゃあ、そういうわけで
どれかひとつやってみるんだ
頑張れよ！","So with that said, pick one and give it a go.
Best of luck!"
"よし、上出来上出来
あんたなかなかいいセンスだよ
思ったとおり、仲良くなれそうだな！","Well, well. Nicely handled.
You've got some pretty good instincts.
Just as I thought, we'll get along just fine!"
"とにかくボードクエストの解決が
金や経験を稼ぐ基本さ、覚えときな
高望みして無茶な依頼を引き受けるなよ？","Bottom line, tackling Board Quests
is the basic way to earn coin and experience.
And don't bite off more than you can chew.
Know your limits, 'kay?"
"もう一つ
旅において大事なことを伝えておく","One more thing you should know when you travel."
"一度に持ち歩ける所持品には制限がある
そのため定期的に所持品を整理する必要がある","There's a limit to how much you can carry.
Best be sorting your items regularly."
"そこで目の前にあると思うが――","That’s where the thing right in front of you
will come into play..."
"この《保管ボックス》が便利なんだ
ここではいろんなクエストをクリアした時に
報酬として手に入るアイテムを受け取ったり――","This 《Storage Box》 is handy.
Here, you can receive Reward Items
from completed Quests..."
"装備品の変更やアイテム整理をして
旅支度をする事ができる
定期的に訪れて利用するといい","...And change your Equipment or sort your Items.
Use it regularly to prepare for your next outing."
"もしかしたらもう受け取ったかもしれないが
俺から旅に便利なアイテムをプレゼント
としていくつか入れておいた
報酬受け取り口ともども、確認してみてくれ","You've probably got them already,
but I left some useful items for you
as a little gift from me for your journeys.
Look in 'Rewards Received' for them."
"確認できたら
また俺に話しかけてくれ","Once you've checked it out,
come talk to me again."
"今回は特別に、俺から
旅に便利なアイテムをプレゼントとして
入れておいたから、保管ボックス内のプレゼントや
報酬がないかどうか、一度確認してみてくれ","This time, as a special treat,
I've left some useful travel items
in the Storage Box as a present.
Take a look and see if there are
any rewards waiting for you."
"確認できたら
また俺に話しかけてくれ","Once you've checked it out,
come talk to me again."
"保管ボックスの中身は確かめたようだな
ここじゃなくても神殿内の各所にあるから
上手く利用してくれ","Now you've checked out the Storage Box.
You'll find similar ones all over the Temple,
so make good use of them."
"最後に、覚者の冒険を全面的に
サポートしてくれるイイモノを紹介しよう
この世の中――便利なものは知らないより
知っておいた方が今どきの覚者ってやつだ","Finally, let me introduce something great
that fully supports the Arisen's adventure.
These days, it’s better to be in the know
about the useful things than to miss out."
"そうだな、期待の新人覚者を応援するため
俺がもう一肌ぬぐことにしよう
――こんな大盤振る舞いそうないぞ","Alright, since you've showed such promise,
I'll go the extra mile for you.
You won't find this kind of generosity often."
"まずはゲームメニューから
《オンラインショップ》に入り
俺からのプレゼントを探して手に入れるんだ
ん？　もちろん無料だから安心してくれ","First, go to the 《Online Shop》from the Game Menu,
look for my present and claim it for yourself.
Hm? Don't worry, it's on the house."
"ああ、待っていた
おまえに頼みたいことがあってな――","Ah, I've been waiting for you.
There's something I'd like to ask of you..."
"【ヒント：オンラインショップの利用方法】","【Hint: How to use the Online Shop】"
"①ゲームメニューから《オンラインショップ》選択","①Select 《Online Shop》 from the Game Menu."
"②メニューにある《ピックアップ》を選択し、《【新人覚者へ】ファビオからのプレゼント》を購入","②Select 《Pickup》 from the Menu
and purchase《【Present for New Arisen】From Fabio》"
"まずはゲームメニューから
《オンラインショップ》に入り
俺からのプレゼントを探して手に入れるんだ
ん？　もちろん無料だから安心してくれ","First, go to the 《Online Shop》from the Game Menu,
look for my present and claim it for yourself.
Hm? Don't worry, it's on the house."
"無事、プレゼントを手に入れたな
こいつのサポートを受けて冒険に出れば
みるみる覚者として成長できるぜ","You got the Present safe and sound.
With this one's support on your Adventure,
you'll grow rapidly as an Arisen."
"そうそう、ささやかだけど――
メールでおまけを送っておいたから
あとで忘れず確認してくれ","Oh yeah, I sent you a little bonus by mail.
Check it when you have a moment, yeah?"
"オンラインショップには
他にも便利なものが色々あるから
自分にあったサポートを
調べて使ってみるといいんじゃないか","There's lots of useful thing in the Online Shop.
Why not try to find the support
that suits you best? Won't hurt to look."
"これで俺からいうべき
旅に必要な基本知識は終わりだ","That's it from me.
You're set with the basics for the road ahead."
"さて――
少々改まってだな
今から、大切な話をする
知り合ってから、一番重要な話だ","Now then, what I'm about to say matters―
The most important thing I've got to tell you yet."
"覚者は年をとらない
心臓を白竜に預けてしまったからな","The Arisen do not age
as we've given our hearts to the White Dragon."
"だから、無茶さえしなければ
永遠に生きられる――かもしれない","So, as long as you don't push your luck,
you could live forever... perhaps."
"でもな、それも白竜あってこそだ","Nevertheless, that's only possible
because of the White Dragon."
"つまり白竜と俺たちは
持ちつ持たれつ――","In other words, the Dragon and our kind,
we're mutually dependent..."
"白竜が死んだり、あるいは、完全に
石の塊になってしまったら――","If the White Dragon were to die,
rather, die for good...
Or turn completely to stone..."
"覚者はどうなるのか？
誰も知らない――知らないが
幸福な結末になるとは思えない","What will become of us Arisen?
No one knows, but...
Don't think it'll end happily, though."
"俺たちには自由に生きる権利がある
でもな、イザって時は白竜のために
戦うと、俺は決めている
それが覚者ってもんだと、俺は思う","We have the right to live freely as individuals.
But if and when disaster should strike,
I've decided I will fight for the White Dragon.
That's what it means to be Arisen, in my book."
"――以上、真面目な話、終了だ","That's it, no more heavy talk.
I'm done."
