0,,"では、こちらをお持ちください
貴方様の旅に、理の導きがありますよう","Please bring this with you.
May the guidance of order be with you on your
journey, Ser.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,2
0,,"彼ら、そしてあの関所を築いたのは
《ザンドラ・バルバロイ》という者達です
古き時代より文化を捨て、蛮行を働き
生き続けてきた、人ならざるヒト――","They, as well as those who built the checkpoint,
are individuals known as the ""Zandora Barbarians.""
Since ancient times, they have forsaken culture
and committed atrocities, living on as inhuman
beings.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,50
0,,"その廃墟群に、巨人兵から逃れたためか
かの蛮族が集まり勢力を強めている様子","In that ruin, it seems that the savage tribes
have gathered and strengthened their forces,
perhaps to escape from the Giant Warriors.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,51
0,,"彼らに言葉は無意味
ゆめゆめ、お忘れなきよう","Words are meaningless to them.
Never, ever forget.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,52
0,,"覚者様、凶報にございます
レスタニアにとって新たな脅威の芽と
なりうる事案が発生したのです","Master Arisen, I bring grave news.
A new potential threat to Lestania is apparent.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,53
0,,"《黒淵谷》に古の悪しき魔獣が
姿を現しました","An ancient and evil demon beast has made its
appearance in the Black Abyss Valley!",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,54
0,,"《嘆きのモーラ》と呼ばれる
黒き翼のナイトメア――
３００年以上前、白竜様御自らが
追い払ったという魔鳥にございます","It is called ""Wailing Mora"", The Black-Winged
Nightmare...!
An evil winged creature that the White Dragon
himself drove away more than 300 years ago!",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,55
0,,"あの魔獣がハイデルへ飛来すること
あらば、騎士や覚者隊では足止めにすら
なりますまい","If that magical beast were to come flying to
Hidell, even the knights and the Arisen forces
would not be able to stop it.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,56
0,,"かの魔獣の討伐をお願いいたします
準備ができましたら、今一度お声掛けを――","I kindly request your assistance in slaying that
demonic beast.
Once you are ready, please talk to me once again.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,57
0,,"白竜様が貴方様を覚者としたは
レスタニアにとって大いなる僥倖――","It is a great fortune for Lestania that the White
Dragon has recognized you as an Arisen, my Lord.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,58
0,,"いえ、白竜様は見抜かれておいでだった
のかもしれませぬ
貴方様の、《理の器》たる可能性を――","No, perhaps Lord White Dragon had foreseen it all
along...
the possibility of you being the ""vessel of
order.""",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,59
0,,"補給面で私にできる最大の支援を
させていただきます","I shall provide you with the utmost support in
terms of supplies.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,60
0,,貴方様の旅に、理の導きがありますよう,"May Order guide you on your journey, Ser.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,61
0,,"《弱化の治療》でしたら、規定にて
<VAL PRICE_WEAK>をお支払いいただきます
よろしいでしょうか","If it's for the treatment of ""Weakness,""
according to regulations, you will be required to
pay <VAL PRICE_WEAK>.
Is that acceptable?",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,62
0,,はい,Yes,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,63
0,,いいえ,No,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,64
0,,"覚者様、ここは禁域における貴方様の住居
どうぞごゆるりとお体をお休め下さい","Dear Arisen, this is your residence in the
forbidden wasteland.
Please take some time to recuperate here.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,65
0,,はい,Yes,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,66
0,,いいえ,No,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,67
0,,"されど、貴方様に《弱化の治療》は
不要にございます","There is no need to ""Treat Weakness"" for you,
good ser.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,68
0,,"ようこそ標の祠へ
お待ち申し上げておりました、覚者様","Welcome to the Shrine.
We have been eagerly awaiting your arrival,
Master Arisen.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,69
0,,"覚者様、神殿よりの伝令がありました
ザンドラ禁域一帯の《辺境の礎》が
全て使用可能とされたそうです","Ser Arisen, we have received a message from the
Temple.
It seems that all the Sub Portcrystals in the
Zandora Wastelands are now functional.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,70
0,,"これも覚者様がこの地にて積み重ねられた成果が
神殿に認められてのこと――","This is also the result of the achievements that
Master Arisen has accumulated in this land,
recognized by the Temple.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,71
0,,"これからもどうぞ、任務に励んでくださるよう
お願いいたします","Please continue to do your best in fulfilling
your duties.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,72
0,,"覚者様、取り急ぎ
お願いしたき儀がございます","Ser Arisen, there is an urgent matter that
requires your immediate attention.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,73
0,,"《狂信者の潜伏地》と呼ばれていた場所に
黒大鷲が舞い降りたのです","A jet-black griffin descended upon the place
known as the Fanatic's Hiding Ground.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,74
0,,"かの地は錬金の秘術に傾倒した者が数名集まり
我流にて研究を繰り返していたという場所です","It is said that a group of individuals obsessed
with the arcane arts of alchemy once gathered in
that land, dedicating themselves to relentless
research.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,75
0,,"神殿からの調査が入るまで
あの地をそのままに残しておきたいのです","My deepest desire is to preserve that land in its
current state, undisturbed, until the
investigation from the Temple commences.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,76
0,,"なにとぞ、あの黒大鷲を追い払ってくださいませんか
ご準備が整いましたら、再び声をおかけください――","I beg of you, will you drive away that black
griffin?
When you are ready, please talk to me again -",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,77
0,,"覚者様、この場より北西の方角
《狂信者の潜伏地》にある井戸をご存知でしょうか","Ser Arisen, are you familiar with the well found
in the ""Fanatic's Hideout"" to the northwest of
this place?",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,78
0,,"《叫びの竪穴》と呼ばれるあの井戸は
中から恐ろしい魔物の叫び声が響いたので
封鎖していたのですが、近頃は静まり返っています","The well known as the ""Pit of Screams.""
'Twas sealed well off as terrifying shrieks of
monsters could be heard from within, but it has
fallen silent as of late.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,79
0,,"問題の魔物は立ち去ったようですので
封鎖を解くことにいたしました","The demon in question seems to have gone away, so
we've decided to release the blockade.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,80
0,,"叫び声の主は去ったようですが
中を魔物が徘徊していることは確実です
探索に向かわれる際は重々ご注意を――","It seems that the source of the screams has
departed, but it is certain that there are
monsters wandering inside.
Please take great care when heading out to
explore.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,81
0,,"覚者様、どうか今一度
お力をお貸しください――
《叫びの竪穴》に新たな魔物が巣食ったようなのです","Ser Arisen, please lend us your strength once
again.
It seems that new enemies have taken up residence
in the Pit of Screams.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,82
0,,"数日前の夜、あの井戸から
獣の断末魔のような声が何度も聞こえました
そして、魔物同士で争うような物音も――","A few days ago, in the night, I heard the sound
of a beast's dying screams multiple times.
And I also heard the sounds of creatures fighting
each other.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,83
0,,"このままでは、元々あの井戸に
棲みついていた魔物たちが
地上に溢れ出てくるやも知れませぬ","If things continue as they are, the demons that
originally inhabited that well may flee onto the
surface.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,84
0,,"中の様子を確認し、騒ぎを起こしている
魔物を退治していただきたいのです
準備が整いましたら、今一度お声掛けを――","I would like you to confirm the situation inside
and dispatch the monsters causing the disturbance.
Once you are ready, please speak to me again.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,85
0,,"白竜様が貴方様を覚者としたは
レスタニアにとって大いなる僥倖――","It is a great fortune for Lestania that the White
Dragon has recognized you as an Arisen, my Lord.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,86
0,,"いえ、白竜様は見抜かれておいでだった
のかもしれませぬ
貴方様の、《理の器》たる可能性を――","No, perhaps Lord White Dragon had foreseen it all
along...
the possibility of you being the ""vessel of
order.""",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,87
0,,"白竜様のご意志に従い
私も貴方様への支援を惜しむことはないでしょう","Following the will of Lord White Dragon, I will
spare no effort in supporting you as well.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,88
0,,貴方様の旅に、理の導きがありますよう,"May Order guide you on your journey, Ser.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,89
0,,"まったく、君には世話になりっぱなしだな
ここまで手助けしてもらったら
なんだか申し訳なくなってくるよ","Honestly, I've been relying on you for help all
this time.
It's starting to make me feel a little guilty.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,0
0,,"僕ら兄妹から、心を込めて礼をさせてもらう
君がこの森に来てくれて本当に良かった
ありがとう","We, as siblings, sincerely express our gratitude
to you.
It is truly wonderful that you came to this
forest.
Thank you.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,1
0,,"ああ、君にはずいぶん色々と任せてしまったね
それに手際もなかなかのものじゃないか
妹も喜んでいるよ","I've assigned you many responsibilities, haven't
I?
And you handle them quite efficiently.
My sister is happy about it too.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,2
0,,"さすがに言葉だけというわけにはいかないから
またお返しを用意したよ
気に入って貰えるといいんだけど","Naturally, I can't just leave it at words, so
I've prepared a little something for you.
I hope you'll enjoy it.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,3
0,,"いくつか僕らの仕事を片付けておいて
もらえたみたいだね、助かるよ
少ないけどお返しを用意したんだ","It seems like you were able to take care of some
of our work for us.
I really appreciate it.
I prepared a small token of gratitude, even
though it's not much.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,4
0,,"君が来てくれて嬉しいよ
好きなだけゆっくりしていってくれ","I'm glad you're here.
Take your time and relax as much as you like.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,5
0,,"あ、忘れるところだった
これ、リングディールと僕からさ
いつも世話になってるからね","Ah, I almost forgot.
This is from Ringdeel and me.
We're always grateful for your help, you know.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,6
0,,"君のお陰で少し暮らしが華やかになった
気がするよ
ここは静かすぎるから","Thanks to you, my life has become a little more
vibrant, I feel.
It's much too quiet here.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,7
0,,"よく来てくれたね
ああそうだ、君にこれをと思ってね","Glad you could make it.
Oh yeah, I thought I'd give you this.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,8
0,,"君がこうして訪ねてくれることで
僕らも人との接し方を思い出せるんだ","Your visits like this help us remember how to
interact with people.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,9
0,,"お客さん、遠いところ、せっかく来てくれたし
これを受け取ってくれ
またときおり訪ねてくれたら嬉しいな","Hey there traveler, you've made quite the
journey!
Take this as a token of appreciation.
I'd be happy to see you drop by occasionally.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,10
0,,"僕はロンドジール
このディナンの森でエリアマスターを
しているんだ","I am Rondejeel, working as an Area Master in this
forest of Deenan.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,11
0,,"どうだい？　ここは静かな所だろう
木々の声に耳を傾けながら
僕とリングディールは二人でエルフの
残した知識と技術を探し続けているのさ","How about this? It's a quiet place, isn't it?
While listening to the voices of the trees,
Ringdeel and I are searching for the knowledge and
techniques left behind by the elves.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,12
0,,"エルフがどう生き、何を考え、そして
生き続けていたのか――
彼らに少しでも近づきたくて、僕ら二人は
ここに移り住んだんだ","How the elves lived, what they thought, and what
kept them alive--
We both moved here to be a little closer to them.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,13
0,,"おかしいかい？
――いいさ、気にしないよ","Does it seem strange to you?
It's good, doesn't bother me.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,14
0,,"とにかく、覚者の君が来てくれて嬉しいよ
最近は以前より魔物が増えてね","Anyway, I'm glad you, the Arisen, are here.
Lately, there have been more monsters than before.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,15
0,,"僕らだけだと、手が足りなかったんだ
君が力を貸してくれるなら、僕らも相応の
礼はさせてもらうよ","It was just us, and we didn't have enough hands.
If you lend us your strength, we'll be glad to
thank you well.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,16
0,,"いくつか僕らの仕事を片付けておいて
もらえたみたいだね、助かるよ","It seems like you were able to take care of some
of our work for us.
I really appreciate it.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,17
0,,"お返しに、君に渡せそうなものを
考えてみたんだ
少しは喜んでもらえるといいんだけどね","In return for your assistance, I've been thinking
well on what I might offer you.
I hope it brings you some joy.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,18
0,,"そうそう、君にも伝えておこう
《グローン・ノス》――森の東にある淵辺は
エルフの言葉で""森の淀み""と呼ばれる
ところなんだけどね","Oh, by the way, I should also tell you; ""Groan
Nos"" is what the eastern edge of the forest is
called in the language of the elves.
It means ""still forest.""",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,19
0,,"そこに、淀みが原因で生まれた魔物が
たまに湧くんだよ","Occasionally, monsters borne from stagnation
emerge there.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,20
0,,"僕らも気が付いたら倒すようにしてるけど
最近増えてきたみたいなんだ
できれば君も手伝ってくれないかな","We've been trying to defeat them, but it seems
like they've been increasing lately.
If possible, could you lend your aid?",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,21
0,,"この間は遺跡の件、本当に助かったよ
ずいぶんこの森に慣れてきた君に
僕ら兄妹から提案があるんだ","I really appreciate your help with the ruins
incident the other day.
You've become quite accustomed to this forest,
haven't you?
My siblings and I have a proposal for you.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,22
0,,"君もリングディールと共に
《エレメントアーチャ―》として
研究を深めてみないかい？
失われつつあるエルフの戦闘術についてさ","Would you like to deepen your research on the
combat techniques of the dwindling elven warriors,
as an ""Element Archer,"" along with Ringdeel?",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,23
0,,"試す気になったら、リングディールに
声を掛けてくれ","If you feel like trying, please talk to Ringdeel
and let them know.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,24
0,,"きっと君と研鑽しあった方が
妹も得るものが大きいと思うんだ","I believe that surely, by mutually sharpening our
skills together, both you and my sister will gain
something great.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,25
0,,"そうだ、君にも伝えておこうかな
エルテ・ディナンへ続く路の脇に
《森民の地下道》っていう古い自然洞窟が
あるんだ","I suppose I should tell you too.
Beside the road leading to Erte Deenan, there is
an old natural cave called the ""Forest People's
Tunnel"".",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,26
0,,"かつて、エルフがミスリウ森林深部とディナンを
行き来するのに使っていた道さ","Once, the elves used it as a path to travel
between the deep parts of Mysree Grove and Deenan.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,27
0,,"だけど、彼らの都が滅んだ時かな――
昔のエリアマスターによって、その地下道は
ずっと封鎖され続けていたんだ
多分敵に道を利用されないためだろうね","That underground passage was permanently sealed
by an Area Master of old.
Perhaps it was around the time their city fell.
Likely, it was to prevent enemies from exploiting
the path.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,28
0,,"最近、その封鎖の解き方が分かってね
一応通れるようになったから、必要なら使うといい","I recently figured out how to break that blockade.
I've got a way through, so you can use it if you
need to.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,29
0,,もう、今は完全にただの洞窟だけど,"Now, it's just a mere cave.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,30
0,,"ああ、君にはずいぶん色々と任せてしまったね
それに手際もなかなかのものじゃないか
妹も喜んでいるよ","I've assigned you many responsibilities, haven't
I?
And you handle them with efficiency.
My sister is happy about it too.",ui\00_message\npc\base\n4508.gmd,\npc\n4508.arc,n4508.arc,31
