#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,身の証を立ててから出直してくるんだね,Come back after proving your worth.,ui\00_message\npc\base\n2513.gmd,\npc\n2513.arc,n2513.arc,7
0,,"皆が安全に眠れる
毎日食べられる
何かに襲われない――
これが大事、一番大事だ","Everyone being able to sleep safely, being able
to eat every day, not being attacked by anything――
This is important, the most important thing.",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,12
0,,"外に出ると魔物に襲われる
争いに巻き込まれる
病気にもなる――
なら、ここで仲間を守っていきたい","When you go outside, you will be attacked by
enemies.
You will be drawn into conflicts.
You can even fall ill--
So, I want to protect my comrades here.",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,13
0,,"お前も、大人しくしてるなら
ここにずっと居ていい
好きにしろ","If you're staying here quietly, you can stay here
as long as you like.
Do as you please.",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,14
0,,"オレ、コレ調べてる！
使い方ワカル！　仲間呼ぶなら手伝う！","I'm researching this!
I understand how to use it! If you call your
comrades, I'll help!",ui\00_message\npc\base\n2551.gmd,\npc\n2551.arc,n2551.arc,0
0,,"コレ青く光る――
キレイだろ？","This shines blue—
Isn't it beautiful?",ui\00_message\npc\base\n2551.gmd,\npc\n2551.arc,n2551.arc,1
0,,"コレ、昔からココにある
ずっとずっと前からある","This has been here since long, long ago.",ui\00_message\npc\base\n2551.gmd,\npc\n2551.arc,n2551.arc,2
0,,"オレ、一番コレに詳しい
分からないなら教える","I'm the most knowledgeable about this.
If you don't know, I'll teach you.",ui\00_message\npc\base\n2551.gmd,\npc\n2551.arc,n2551.arc,3
0,,"ナニ？
資材欲しい？","What?
Do you want materials?",ui\00_message\npc\base\n2552.gmd,\npc\n2552.arc,n2552.arc,0
0,,"資材、ゴールドと引き換え
ゴールド持ってるか？","Do you have any Gold?
We can exchange it for materials.",ui\00_message\npc\base\n2552.gmd,\npc\n2552.arc,n2552.arc,1
0,,"ゴールド集める
資材買える
――わかった？","Collect Gold.
Buy Materials.
- Got it?",ui\00_message\npc\base\n2552.gmd,\npc\n2552.arc,n2552.arc,2
0,,"ゴールドない？
なら、お前に資材ない","Don't you have any Gold?
If not, then you don't have any materials either.",ui\00_message\npc\base\n2552.gmd,\npc\n2552.arc,n2552.arc,3
0,,ム、何の用ダ！,"Hmm, what's your business!",ui\00_message\npc\base\n2553.gmd,\npc\n2553.arc,n2553.arc,0
0,,ココ、魔物来ないか見張ってる,"I am keeping watch here, in case enemies appear.",ui\00_message\npc\base\n2553.gmd,\npc\n2553.arc,n2553.arc,1
0,,"お前――魔物連れて来てないな？
後つけられたら、困ることなる","You... haven't brought any enemies, have you?
If you bring them later, it will become
troublesome.",ui\00_message\npc\base\n2553.gmd,\npc\n2553.arc,n2553.arc,2
0,,"見張ってないと、村、襲われる
――オレ忙しいだが、オマエひまなのか？","If we don't keep watch, the village will be
attacked.
- I'm busy, but are you free?",ui\00_message\npc\base\n2553.gmd,\npc\n2553.arc,n2553.arc,3
0,,えっと、あの、ナニ？,"Um, uh, what?",ui\00_message\npc\base\n2554.gmd,\npc\n2554.arc,n2554.arc,0
0,,"ココ、安心ヨ
眠れる、食べれる、怖いことナイ――","Here, you can rest easy.
You can sleep, eat, and there's nothing to fear.",ui\00_message\npc\base\n2554.gmd,\npc\n2554.arc,n2554.arc,1
0,,"ちゃんと幸せヨ
外出ようと思ワナイ","I want to be truly happy.
I don't want to go out.",ui\00_message\npc\base\n2554.gmd,\npc\n2554.arc,n2554.arc,2
0,,え、あの――外は怖いカラ――,"Um, well— it's scary outside—",ui\00_message\npc\base\n2554.gmd,\npc\n2554.arc,n2554.arc,3
0,,ハーイ、ナニ？,"Hello, what's up?",ui\00_message\npc\base\n2555.gmd,\npc\n2555.arc,n2555.arc,0
0,,"ネェネェ、手伝って！
クエストボードに
ミンナの“お願い”貼ってるダカラ！","Hey, hey, can you help me out?
I've posted everyone's ""requests"" on the Quest
Board, you see!",ui\00_message\npc\base\n2555.gmd,\npc\n2555.arc,n2555.arc,1
0,,"クエストボードの“お願い”やっつけてくれたら
お礼もあるヨー！","If you can help me with the ""requests"" on the
Quest Board, there will be a reward too!",ui\00_message\npc\base\n2555.gmd,\npc\n2555.arc,n2555.arc,2
0,,"クエストボードの“お願い”やっつけて減らす
でもまた“お願い”増える――
ダカラ、ミンナでやっつけよ！","Complete the requests on the quest board and
whittle them down.
But then, more requests keep coming— So let's all
take care of them together!",ui\00_message\npc\base\n2555.gmd,\npc\n2555.arc,n2555.arc,3
0,,"おお、お客人
ワシに何か聞きたいことでも？","Oh, esteemed customer.
Is there something you would like to ask me?",ui\00_message\npc\base\n2556.gmd,\npc\n2556.arc,n2556.arc,0
0,,"ワシは若い頃、一度この集落から出て
他の集落を旅して回ったことがありましてな","When I was young, I once left this village and
traveled to other villages.",ui\00_message\npc\base\n2556.gmd,\npc\n2556.arc,n2556.arc,1
0,,"外はどうだったか、ですか？
こうしてまたこの集落に戻り、この歳に
なるまで過ごしているのです
――もう、お分かりでしょう","How was it outside, you ask?
Well, I returned to this settlement, and I've
been here until this age.
— You probably understand by now.",ui\00_message\npc\base\n2556.gmd,\npc\n2556.arc,n2556.arc,2
0,,"この集落の者は他所と少し言葉が違うでしょう
交流が無いまま過ごすとね
こうなるんですよ","The people in this settlement might have slightly
different language compared to others.
When you spend your time without much
interaction, this is what happens.",ui\00_message\npc\base\n2556.gmd,\npc\n2556.arc,n2556.arc,3
0,,"フィンダム全体で見ても
ワシは年寄りの部類ですわな
この洞窟が外部の災厄から守ってくれるお陰です","Even in the whole Phindym, I suppose I belong to
the old folks category.
Thanks to this cave, it protects us from external
calamities.",ui\00_message\npc\base\n2556.gmd,\npc\n2556.arc,n2556.arc,4
0,,"ようこそ、異国の覚者様
モルフォールにご用でしょうか？","Welcome, esteemed Arisen.
Are you in need of assistance in Morfaul?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,0
0,,"かつて村を支えてくれていた大地が
突然我々に牙をむくというのは――
頭ではわかっていても、悲しさを覚えるものです","The fact that the land, which once supported our
village, suddenly shows its fangs towards us...
Even though we understand it in our heads, it
brings forth a sense of sadness.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,1
0,,"この村はまたも危機にさらされています
――異国の覚者様
再三で申し訳なく思う気持ちはあります
しかし、お力を貸していただけないでしょうか","This village is once again facing a crisis.
――Lord of a foreign land, I apologize for the
repeated inconvenience...
Would you lend us your power?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,2
0,,"ご協力いただける時に
また私にお声をかけていただければ
詳細を知る者にお取り次ぎいたします","When you are able to assist, please also reach
out to me and I will relay the details to someone
who can provide more information.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,3
0,,"おや、ここモルフォールの族長はガラダですよ
私は彼の信を得て、この地域を
切り盛りしているだけです","Oh, here in Morfaul, the chieftain is Gearóid.
I just manage this area with his trust.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,4
0,,"モルフォールは代々精霊竜の
守りをしてきた一族の村です","Morfaul is the village of a clan that has been
protecting the Spirit Dragons for generations.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,5
0,,"精霊竜の守番となったものは、ここから東に行った
《始まりの洞》にて過ごすことになります
村に残った者は彼らを全力で支えるのが務めです","Those who become guardians of the Spirit Dragon
will spend their time in the Hollow of Beginnings,
located to the east from here.
Those who stay in the village have the duty to
support them with all their might.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,6
0,,"侵食がはびこるこのような状況ですから
族長ガラダの補佐として
モードレッドが就いています","Given the prevalence of corruption in this
situation, Mordred has taken on the role of
assisting Chief Gearóid.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,7
0,,"彼も最初は精霊竜の守番として
竜のお傍にて務めるはずだったのですよ","He was also supposed to serve as the guardian of
the Spirit Dragon at first, by its side.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,8
0,,"はじめまして、私はアルトフェイル
このモロー樹林一帯を任されたエリアマスターです","Nice to meet you, I am Arthfael, the Area Master
entrusted with this entire Morrow Forest.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,9
0,,"モロー樹林はその呼び名の通り
フィンダム大陸の中でも深き森を
数多く有しています","The Morrow Forest, as its name suggests, is one
of the deep forests found in the continent of
Phindym.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,10
0,,"森の恩恵を受け、これまでは恵まれた
環境であったと言えるでしょう
そう、“侵食”が始まる前までは――","Thanks to the blessings of the forest, it can be
said that we have been fortunate to exist in a
favorable environment.
Yes, until the ""corruption"" began to spread...",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,11
0,,"現在は村の総力を挙げて
侵食の被害を食い止めるため尽力しています
ここで我々が屈することは、フィンダムが
屈することに等しいと考えています――","Currently, we are making every effort with the
combined strength of the village to halt the
spread of Corruption.
We believe that surrendering at this point would
be tantamount to Phindym's surrender.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,12
0,,"聞けば、覚者様たちは
セシリーを助けてくださっているとか――
彼女はこの村の出身なのですよ
同胞として感謝いたします","I've heard that you, as Arisen, are helping Lady
Cecily— She is from this village, you know.
We are grateful for your assistance as fellow
villagers.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,13
0,,"このモルフォールに滞在されている間
何かわからないことがあれば
気がねなく私にお聞きください","During your stay in Morfaul, if there is anything
you don't understand, please feel free to ask me.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,14
0,,"そうそう、こちらをお持ちください
モルフォールの平穏に貢献してくださった方に
お渡ししているのです","That's right. Please take this with you.
We give it to those who have contributed to the
peace of Morfaul.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,15
0,,"立ち寄ってくださってありがとうございます
よろしければこちらをお持ちください
日々の感謝の気持ちです","Thank you for stopping by.
If you don't mind, please take this.
It's a daily expression of gratitude.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,16
0,,"異なる竜に仕える身だというのに
このモルフォールのために日々尽力してくださり
ここを代表して感謝いたします
どうぞ、これをお役立てください","Even though I am serving a different dragon, I am
grateful for your daily efforts for Morfaul.
Please accept this, and may it be of use to you.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,17
0,,"白き竜の覚者様
実は折り入ってお願いがございます――","Arisen of the White Dragon, I have a favor to
ask, if I may...",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,18
0,,"《<SPOT 907>》の付近、森の南側に
侵食が拡がっていないかを
調査していただけないでしょうか","Could you please investigate if there is no
spreading of corruption or infected near the
vicinity of《<SPOT 907>》, on the south side of the
forest?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,19
0,,"もしも侵食が拡がっている形跡が認められれば
それらを排除してくださると幸いです","If there are any signs of the corruption
spreading, I would be grateful if you could
eliminate them.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,20
0,,"元より《<SPOT 907>》は侵食魔が潜むため
一時立ち入りを禁じていたのですが
どうやら出入り口を塞げばよいというものでも
なさそうなのです","Because the area around <SPOT 907> is infested
with the Corruption, entry was temporarily
prohibited.
However, it seems that simply blocking the
entrance is not a viable solution.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,21
0,,"この侵食という災いに対し
有効な対策を立てられていないというのは
実に不甲斐ないことです","It is truly disgraceful that we have not been
able to come up with effective measures against
this calamity of corruption.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,22
0,,"侵食について――
事態は悪くなる一方ですね","About the corruption—
The situation is only getting worse, isn't it?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,23
0,,"先日も、森へ入った者より
侵食魔が群れているところを見たと
報告が入ってきました――","We have received a report from someone who
recently entered the forest, saying that they saw
a swarm of Infected creatures.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,24
0,,"森へ入ってその恵みを得ることが
できなくなってしまえば
我々の生活は苦しいものとなるでしょう","If we are unable to enter the forest and obtain
its blessings, our lives will surely become
difficult.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,25
0,,"――森に入った者からの報告を
お聞きになりたいのですか？
ええ、いつでもお話しいたしますよ
私に再び声をおかけください","- you want to hear the reports from those who
entered the forest?
Yes, I'll be ready to talk whenever. Please call
on me again.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,26
0,,"やはり、侵食に対して“封鎖する”という手段は
気休め程度にしかならないようですね――","Indeed, ""blocking"" locations as a means to
counter corruption seems to be nothing more than a
mere illusion.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,27
0,,"封鎖した《<SPOT 906>》から
魔物が這い出てきているようなのです
どこかに抜け道でもあるのでしょう","It seems that enemies are crawling out from the
blocked spot <SPOT 906>. There must be some kind
of escape route somewhere.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,28
0,,"このまま封鎖し続けても後はありません
《<SPOT 906>》も調査の対象とできるよう
封鎖を解除いたしました","There is no future if we continue to keep it
blocked like this.
In order to include 《<SPOT 906>》 in the
investigation, we have released the blockade.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,29
0,,"覚者様も、もしよろしければ
一度現状を確認していただけないでしょうか","Ser Arisen, if you wouldn't mind, could you
please take a moment to review the current
situation?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,30
0,,"侵食についての調査進捗ですか？
――芳しいとはいえませんね","Is this regarding the progress of the
investigation on corruption?
- It's not going well, I'm afraid.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,31
0,,"やはり、侵食に対しては封鎖して時が過ぎるのを
待つという手は愚策となるようです","Indeed, it seems that blocking and waiting for
time to pass is a foolish strategy when it comes
to corruption.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,32
0,,"大地が侵食されている以上
侵食のひどいところを封鎖しても
いずれ侵食は他のところに拡がってしまいます","As long as the earth is being corrupted even if
we block the heavily infected areas the corruption
will eventually spread to other places.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,33
0,,"ここは《モルフォール北門》をも開放し
侵食への対策法を探ってゆこうと考えています","Here; we also plan to open the ""Morfaul Northern
Gate"" and explore ways to counter the Infected.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,34
0,,"白き竜の覚者様
異なる大陸の方にこのようなお願いをするのは
心苦しいのですが――どうか、この難局への
お力添えをいただけないでしょうか","Arisen of the White Dragon,
It pains my heart to make such a request to
someone from a different continent, but could you
please lend us your aid in this dire situation?
We humbly ask for your assistance in overcoming
this adversity.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,35
0,,"覚者様――
人間も侵食される、という話を
お聞きになったことはあるでしょうか","Oh, honorable Arisen, have you ever heard the
tale of humans being corrupted?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,36
0,,"侵食された人々によって
このモルフォールが危機に晒されているのです","Morfaul is being exposed to danger by the
infected people who have been corrupted.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,37
0,,"あまり大きな声では申し上げられません
詳しくは、もう一度私に話しかけてください","I have to speak quietly about this.
Please talk to me again for more details.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,38
0,,"この未曾有の危機はフィンダム全体に
降りかかっているとはいえ――
大変なことというのは重なるものですね","Yes, even though this unprecedented crisis is
weighing down on all of Phindym... it seems that
difficult times tend to pile up, don't they?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,39
0,,"村全体の落ち着かない空気を察したのか
《<SPOT 942>》に
狂侵ゴアサイクロプスが現れたのです","Perhaps sensing the unsettled atmosphere of the
entire village, a Severely Infected Gorecyclops
appeared at <<SPOT 942>>.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,40
0,,"狂侵ゴアサイクロプスは、侵食の犠牲となった
ゴアサイクロプスの成れの果て――
肉体が朽ちる前にさらに侵食が進んでしまった
非常に凶悪な魔物です","The Severely Infected Gorecyclops is the tragic
result of the corruption, the ultimate fate of a
Gore Cyclops.
The corruption has progressed even further before
its body decayed, making it an extremely vicious
creature.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,41
0,,"装備に不安がある状態で遭遇した際には
逃げることも必要となりましょう
常に冷静なご判断を――","When faced with a situation where there is
uncertainty about your equipment, it is also
necessary to consider retreating.
Always make calm judgments—",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,42
0,,"フィンダム中でも特に侵食の進んだ
このモロー樹林に、絶えず足を運んでくださり
感謝の気持ちしかありません","Among the lands of Phindym, the Morrow Forest has
been particularly ravaged by the Infected.
I have nothing but gratitude for those who
constantly venture into this heavily corrupted
forest.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,43
0,,"日々のお礼として、この辺りで
役にたちそうな情報をお教えいたしましょう","As a daily expression of gratitude, allow me to
provide you with some useful information in this
area.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,44
0,,"ここモロー樹林では
《ヘンルーダ》というハーブが採れるのです
小さな花を付ける、一見地味なハーブですので
草花を採取される際には少し注意してご覧ください","In Morrow Forest here, you can find a herb called
""Wijnruit"".
It's a seemingly plain herb that bears small
flowers.
When collecting herbs, please be wary and handle
with caution.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,45
0,,"《ヘンルーダ》は爽やかな香りで
虫を寄せ付けないという効果を持っています
魔物相手にその効果は無いでしょうが――
きっと覚者様のお役に立つことと思いますよ","""Wijnruit"" has a refreshing fragrance that repels
insects.
Its effects may not work against monsters, but
I'm sure it will be helpful to you, Arisen.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,46
0,,"覚者様のお力添えがあるおかげで
モルフォールも何とか持ちこたえられています","Thanks to the assistance of esteemed Arisen like
yourself, Morfaul has managed to hold on somehow.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,47
0,,"この村を、村人の日々を守ってくださって
ありがとうございます――","Thank you for protecting this village and its
villagers day by day.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,48
0,,"覚者様により良い支援品をお届けできるよう
村の者で力を合わせて手配しております
これからも、どうぞよろしくお願いいたします","To provide better support goods for esteemed
Arisen, the villagers are joining forces to make
arrangements.
We humbly ask for your continued support.
Thank you very much.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,49
0,,"覚者様がこの辺りの魔物討伐を進めて
くださったおかげで、奥地へ続く道を埋めていた
がれきを撤去することが叶いました","Thanks to the efforts of the esteemed Arisen in
defeating the nearby enemies, we were able to
remove the debris that was blocking the path to
the deeper regions.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,50
0,,"今回の整備によって
《<SPOT 909>》へ足を踏み入れることが
できるようになっています、が――","Thanks to this maintenance, you will now be able
to set foot into 《<SPOT 909>》, but...",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,51
0,,"かの地はこのモルフォール一帯においても
特に侵食の進んだ森のひとつ","That area is one of the forests in this entire
Morfaul region that has been particularly ravaged
by corruption.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,52
0,,"調査に行かれるときには
くれぐれも装備を揃え、細心の注意を――","When going on a survey, please make sure to
prepare your equipment properly and pay close
attention--",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,53
0,,"侵食の勢いはますます増すばかり――
先日は、村周辺の巡回に出た若者が
妙なものを見たと報告がありました","The momentum of corruption only continues to
grow--
Recently, a young adventurer who was patrolling
the village noticed something strange and reported
it.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,54
0,,"なんでも爆発のようなものと、侵食胞子が
大量に巻き上がるのを見た――というのです","I heard that they witnessed something like a
massive explosion, and an abundance of corroding
spores swirling around.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,55
0,,"すぐにでも調査に向かいたいところなのですが
新手の侵食魔が出現しており
危険度の高さから人が近寄ることを
制限せざるをえません","I would love to head to the investigation
immediately, but there is a new type of
corruption-infected monster appearing, and due to
its high level of danger, we have no choice but to
restrict people from approaching.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,56
0,,"覚者様、どうか危険度の高い
新手の侵食魔を排除していただけないでしょうか","Ser Arisen, could you please eliminate the highly
dangerous new infected enemies?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,57
0,,"我が村には戦える人員が少なく
覚者様のお力添えなくては
調査に向かうことができないのです――","In our village, we have a shortage of capable
personnel to fight.
We cannot proceed with the investigation without
the assistance of the Arisen's power.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,58
0,,"討伐に向かっていただけるのならば
再度私にお声をかけてください
今回の件を取りまとめている者に
取り次がせていただきます","If you are willing to head out for the
subjugation, please reach out to me again.
I will relay your voice to the person in charge
of handling this matter.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,59
0,,"覚者様、この度
崖崩れのあった《<SPOT 944>》付近を
復旧することに成功いたしました","Dear Arisen, We have successfully restored the
area near ""<SPOT 944>"" where the cliff collapsed.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,60
0,,"《<SPOT 910>》に入れるようになったので
早速、調査のために
何人か人を向かわせたのですが――","We've gained access to <SPOT 910> now, and we
immediately sent a few people there for
investigation, but—",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,61
0,,"なにやら、大地に大穴が――
クレーターというのでしょうか
そういったものができているとの
報告があったのです","It seems there's a massive hole in the ground— a
crater, you might call it.
We received reports that such a thing has formed.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,62
0,,"一体何が起こっているのか
見当もつきませんが――","I have no idea what's going on, but...",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,63
0,,"覚者様も、よろしければ
一度調査に向かってくださるよう
お願いいたします","If you are willing, Arisen, we would appreciate
it if you could head there for an investigation
when you have the time.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,64
0,,"ああ、白き竜の覚者様――
今一度、お力をお貸しいただけないでしょうか","Ah, esteemed Arisen of the white dragon.
Could you lend me your power once again, if you
please?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,65
0,,"先日見つかった謎のクレーター
その正体が判明したのです","The mysterious crater that was discovered the
other day...
Its true identity has been revealed.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,66
0,,"この願いを聞いていただけるのであれば
再び私に話しかけてください
――どうか、お願いいたします","If you are willing to grant this request, please
speak to me again.
— Please, we beseech you.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,67
0,,"今日もこのモルフォールに足を運んでくださり
ありがとうございます",Thank you for visiting Morfaul once again today.,ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,68
0,,"白き竜の覚者様
あなたのお力でモルフォールは
侵食の拡大を食い止めることができました","Lord of the White Dragon,
With your power, we were able to halt the spread
of corruption by Morfaul.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,69
0,,"これからも、フィンダムにいらした際には
ぜひモルフォールにお立ち寄りください","When you come to Phindym in the future, please
make sure to stop by Morfaul.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,70
0,,"より良い支援品もご用意して
いつでもお待ちしております","We also have better support goods prepared for
you.
We are always ready to assist you.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,71
0,,"自分の故郷にあなたが足を運んでくだされば
きっとセシリーも喜ぶことでしょう","If you would come visit my hometown, Cecily would
surely rejoice.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,72
0,,"《原始の雫》の効能に懐疑的な者もいます
しかし、今、他に何を信じれば良いというのでしょう","There are also those who are skeptical of the
effects of ""Primeval Drops"".
However, what else should we believe in now?",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,73
0,,"レスタニアの覚者たちよ
どうか、我々とともに歩んでください","Arisen of Lestania, please, walk with us.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,74
0,,"フィンダムに生きる我々は“さだめ”に忠実でした
大いなる流れに逆らって、一時、生きのびても
なんになるというのか――","We, who live in Phindym, remained faithful to
""destiny""
Even if it meant going against the great current
and surviving temporarily, what would we become――",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,75
0,,"こんな考え方の犠牲者が大勢いたのは事実
周囲の諦めが殺してしまった者も多い――
それは認めねばなりません","It is a fact that there were many victims of such
a way of thinking.
Many were killed by the resignation of those
around them -
That must be acknowledged.",ui\00_message\npc\base\n2600.gmd,\npc\n2600.arc,n2600.arc,76
