"#Index","Key","MsgJp","MsgEn","GmdPath","ArcPath","ArcName","ReadIndex"
"0","q40000124_00_124","森に潜む危機","In the Forest","ui\00_message\quest_info\q40000124_00.gmd","\quest\q40000124.arc","q40000124.arc","0"
"1","q40000134_00_134","任務の合間に一杯やるのが楽しみなんだが、最近<LQIM>をじっくり漬けた酒にはまっていてな
そろそろ手持ちが切れそうなんで、持ってる者がいたら<LQVA>個ほど送ってくれないか
独特のクセが移ってなかなかイケるぜ","I look forward to a drink between missions, 
and lately, I’ve been hooked on alcohol steeped 
in <LQIM>. 
My supply is running low, so if anyone has some, 
could you send <LQVA>? 
The unique flavor is quite good.","ui\00_message\quest_info\q40000134_00.gmd","\quest\q40000134.arc","q40000134.arc","1"
"0","q40000135_00_135","料理のアクセント","Allures of a Meal","ui\00_message\quest_info\q40000135_00.gmd","\quest\q40000135.arc","q40000135.arc","0"
"1","q40000135_00_135","料理に、<LQIM>を使って、意外なアクセントを加えてやろうかなと思ったわけ
でさ、手持ちがあったら<LQVA>つでいいから譲ってくれない？
お礼はちゃんとするから！
美味しくできるか楽しみだわ","I thought of adding a surprising accent to my 
cooking using <LQIM>. 
If you have some, could you spare <LQVA>? 
I’ll make sure to reward you! 
I’m looking forward to how it turns out.","ui\00_message\quest_info\q40000135_00.gmd","\quest\q40000135.arc","q40000135.arc","1"
"0","q40000136_00_136","魔法使いのおまもり","A Sorceress' Charm","ui\00_message\quest_info\q40000136_00.gmd","\quest\q40000136.arc","q40000136.arc","0"
"1","q40000136_00_136","魔法使いのおば――お姉さんに、じゅぐっていうやつの作り方を教わったの
でも、<LQIM>が足りなくって
<LQVA>こいるから、私にちょうだい！","I learned how to make a thing called 
""Jugu"" from a mage auntie. 
However, I’m short on <LQIM>. 
I need <LQVA>, so could you give them to me?","ui\00_message\quest_info\q40000136_00.gmd","\quest\q40000136.arc","q40000136.arc","1"
"0","q40000137_00_137","秘薬の材料依頼","Request for Elixir Ingredients","ui\00_message\quest_info\q40000137_00.gmd","\quest\q40000137.arc","q40000137.arc","0"
"1","q40000137_00_137","どなたか、薬の調合に必要な材料を手配していただけない？
品は<LQIM>を丁度<LQVA>個よ
届けてくれた方にはきちんとお礼させていただくわ
お互い、いい思いをしましょう。ふふふ――","Could someone arrange the materials needed for 
potion brewing? The ingredients required are 
<LQIM>, exactly <LQVA> pieces. 
I will make sure to properly reward those who deliver them.
Let's both benefit from this. Hehe――","ui\00_message\quest_info\q40000137_00.gmd","\quest\q40000137.arc","q40000137.arc","1"
"0","q40000138_00_138","白翼覚者隊・収集依頼　ミスリウ森林","White Wings: Collection (Mysree Forest)","ui\00_message\quest_info\q40000138_00.gmd","\quest\q40000138.arc","q40000138.arc","0"
"1","q40000138_00_138","現地滞在中の覚者様に、神殿より通達です
対応可能であれば、任地にて<LQIM>、<LQVA>個を神殿まで納品願います
他の任務がある場合、そちらを優先してください","Notice from the Temple to the Arisen
stationed locally. If feasible,
please deliver <LQVA> <LQIM> 
to the Temple from your location.
If you have other duties, please prioritize those.","ui\00_message\quest_info\q40000138_00.gmd","\quest\q40000138.arc","q40000138.arc","1"
"0","q40000139_00_139","白翼覚者隊・納品依頼　ミスリウ森林","White Wings: Delivery (Mysree Forest)","ui\00_message\quest_info\q40000139_00.gmd","\quest\q40000139.arc","q40000139.arc","0"
"1","q40000139_00_139","現地滞在中の覚者様に、神殿より通達です
任地にて入手可能な<LQIM>、<LQVA>個を神殿まで納品願います
現在神殿でも備蓄が少なくなっているため、よろしくお願いします","To the Arisen staying in the area, 
a notice from the temple. 
Please deliver <LQIM>,
 <LQVA> pieces 
as available in your area to the temple. 
The temple’s stock is currently low, 
so your cooperation is appreciated.","ui\00_message\quest_info\q40000139_00.gmd","\quest\q40000139.arc","q40000139.arc","1"
"0","q40000140_00_140","＜エリアオーダー＞ミスリウ補給","Area Order: Mysree Resupply","ui\00_message\quest_info\q40000140_00.gmd","\quest\q40000140.arc","q40000140.arc","0"
"1","q40000140_00_140","エリアマスターとして依頼させてもらうわ
リンウッドで今、<LQIM>不足が深刻なの。数で言うと<LQVA>個ほどなのだけど
どうかしら。協力してくれる人には、村を代表して十分なお礼を約束するわ","As the Area Master, I am requesting assistance. 
There is a serious shortage of 
<LQIM> 
in Lynwood. We need about <LQVA>. 
If you help, I promise a substantial 
reward on behalf of the village.","ui\00_message\quest_info\q40000140_00.gmd","\quest\q40000140.arc","q40000140.arc","1"
"0","q40000141_00_141","死ヌカと思ッタ！","An Inch from Death","ui\00_message\quest_info\q40000141_00.gmd","\quest\q40000141.arc","q40000141.arc","0"
"1","q40000141_00_141","ぎゃぎゃぎゃ～～！！　デ、出タ～～～！！
<LQEM>ガ！！　急二！！
ビックリして死ヌトコ、アブナイ！
<LQVA>匹ヤッツケル安心！","Gya gya gya~~!! I-It’s out~~!! 
<LQEM>!! Dangerous!! 
I'm so surprised I might die! 
<LQVA> should be defeated for safety!","ui\00_message\quest_info\q40000141_00.gmd","\quest\q40000141.arc","q40000141.arc","1"
"0","q40000142_00_142","仕返シシテクレ！","Avenge Me!","ui\00_message\quest_info\q40000142_00.gmd","\quest\q40000142.arc","q40000142.arc","0"
"1","q40000142_00_142","聞いテクレ！！
コナイダ、散歩シテタラ<LQEM>のぐるーぷにハチ会ッテ殴らレタ！　馬鹿二しテ、大勢デ！
コブマダ治ラナイ。仕返シに<LQVA>匹ヤッツケテクレ！","Listen!! I was out for a walk and got attacked 
and beaten by a group of 
<LQEM>! It was crazy, so many of them! 
My bruises haven’t healed. 
For revenge, could you take down <LQVA> of them!","ui\00_message\quest_info\q40000142_00.gmd","\quest\q40000142.arc","q40000142.arc","1"
"0","q40000143_00_143","アイツら嫌イ","Loathing","ui\00_message\quest_info\q40000143_00.gmd","\quest\q40000143.arc","q40000143.arc","0"
"1","q40000143_00_143","ニンゲン、嫌イ！
ダガ、今ハアイツらモット嫌イ！
セッカク付ケた飾リ、壊シた！　飾リブタ食っタ！！
アイツら、<LQEM>！
<LQVA>匹コロセ！","I hate humans! 
But right now, I hate those even more! 
They ruined the decorations I painstakingly put 
up and ate the decorative meat!! 
They are <LQEM>! 
Kill <LQVA> of them!","ui\00_message\quest_info\q40000143_00.gmd","\quest\q40000143.arc","q40000143.arc","1"
"0","q40000144_00_144","外ノ魔物ヤっパり怖イ","Terrifying Monsters Beyond","ui\00_message\quest_info\q40000144_00.gmd","\quest\q40000144.arc","q40000144.arc","0"
"1","q40000144_00_144","ジブン、弱イ、イジメラレル。外怖イ
コナイダ<LQEM>襲ッテキタ！
逃ゲタ、ケド、尻噛まれタ。イタイ――
誰カ<LQVA>匹、退治シテクれル、ウレシイ","I'm weak and get bullied. 
The outside is scary. 
The other day, <LQEM> attacked me! 
I escaped, but got my rear bitten. 
It hurts―― 
If someone could eliminate <LQVA> of them, 
I’d be so happy.","ui\00_message\quest_info\q40000144_00.gmd","\quest\q40000144.arc","q40000144.arc","1"
"0","q40000145_00_145","オデ、強イ！！","Shaken!!","ui\00_message\quest_info\q40000145_00.gmd","\quest\q40000145.arc","q40000145.arc","0"
"1","q40000145_00_145","オデ、強イ！！
ココ辺りでモ有名ノ奴、<LQEM>ト一対一デ戦ッタ！　ホント、ホント！
デモ逃げられタ。オデ、腕負傷。ダカラ誰カ<LQVA>匹代ワり倒ス。死体片ヅケテヤル、ゲへへ","I'm strong!! I fought a well-known 
<LQEM> one-on-one around here! 
Really, truly! But they managed to escape. 
I got a wound. 
So, if someone could take down <LQVA> of them in 
my place, I'll clean up the corpses. Hehe.","ui\00_message\quest_info\q40000145_00.gmd","\quest\q40000145.arc","q40000145.arc","1"
"0","q40000146_00_146","要チュウイ","A Notice","ui\00_message\quest_info\q40000146_00.gmd","\quest\q40000146.arc","q40000146.arc","0"
"1","q40000146_00_146","<LQEM>、要チュウイダ
ワレワレゴブリンの城ヲ乗っ取る気かも知レン
王ノ心配ト癇癪が高まル前二、手ヲ打たネバ
<LQVA>匹コロシ手柄ヲ上げタ者にハ、ソレなリ褒美デル","<LQEM> requires attention. 
They might be planning to take over 
our goblin fortress. Before the king’s worry and 
anger escalate, act quickly. 
The one who kills <LQVA> will receive a reward.","ui\00_message\quest_info\q40000146_00.gmd","\quest\q40000146.arc","q40000146.arc","1"
"0","q40000147_00_147","きけん、アブナイ","Danger, Danger","ui\00_message\quest_info\q40000147_00.gmd","\quest\q40000147.arc","q40000147.arc","0"
"1","q40000147_00_147","ココいる<LQEM>アブナイ
城入っテクルきけん。<LQVA>匹グライ倒シテオカナイト、そろそろアイツラ増えテくル
誰カ、行っテヤッツケてコイ！","The <LQEM> here is dangerous, 
They might enter the fortress soon. 
If you don’t take out around <LQVA>, 
they’ll increase in numbers. 
Someone, go deal with them!","ui\00_message\quest_info\q40000147_00.gmd","\quest\q40000147.arc","q40000147.arc","1"
"0","q40000148_00_148","王ノ命令　邪魔モノ排除","Royal Orders: Resolution","ui\00_message\quest_info\q40000148_00.gmd","\quest\q40000148.arc","q40000148.arc","0"
"1","q40000148_00_148","王ガ立腹されテいル
城ノ近く、<LQEM>がウロツき、王ノ食べ物をトり、宝を壊スのダ
<LQVA>匹コロシ、報告セヨ","The king is angry. 
Near the castle, <LQEM> 
has been roaming, stealing food and destroying 
treasures. Kill <LQVA> and report back.","ui\00_message\quest_info\q40000148_00.gmd","\quest\q40000148.arc","q40000148.arc","1"
"0","q40000149_00_149","王ノ命令　別勢力ノ排除","Royal Orders: Competition","ui\00_message\quest_info\q40000149_00.gmd","\quest\q40000149.arc","q40000149.arc","0"
"1","q40000149_00_149","王ガ憂慮されテいル
城ノ近く、<LQEM>が現レ、勢力ヲ伸ばシツツアルのダ。最悪、城を乗っ取ラレル危険もアル
<LQVA>匹コロシ、報告セヨ","The king is concerned. 
Near the castle, <LQEM> 
have appeared, 
and their influence is growing. 
At worst, they could take over the castle. 
Kill <LQVA> of them, then report back.","ui\00_message\quest_info\q40000149_00.gmd","\quest\q40000149.arc","q40000149.arc","1"
"0","q40000150_00_150","＜エリアオーダー＞危険ノ撃退","Area Order: Defense","ui\00_message\quest_info\q40000150_00.gmd","\quest\q40000150.arc","q40000150.arc","0"
"1","q40000150_00_150","おい――、おい、お前らかヒト！　――なぁ
城の近くに<LQEM>がうろつき、何やらオレの宝を狙っていルそうじゃないカ
<LQVA>匹撃退してこい！　そしてらまァ、よくしてやるヨ","Hey――, hey, are you the ones?―― 
Well, there's some <LQEM> 
lurking near the castle, 
seems like they're after my treasure. 
Drive <LQVA> away, will ya? 
And if you do, I'll reward ya.","ui\00_message\quest_info\q40000150_00.gmd","\quest\q40000150.arc","q40000150.arc","1"
"0","q40000151_00_151","王ノ好物","The King's Favorite","ui\00_message\quest_info\q40000151_00.gmd","\quest\q40000151.arc","q40000151.arc","0"
"1","q40000151_00_151","王、食事、<LQIM>ヲブタ肉と一緒に食ゥお気に入リラシイ
切れるト機嫌悪くナル。アト<LQVA>コ、急イでアツメロ！","The king loves eating <LQIM> 
with boar meat.
If it runs out, he gets cranky.
Hurry and gather <LQVA> more!","ui\00_message\quest_info\q40000151_00.gmd","\quest\q40000151.arc","q40000151.arc","1"
"0","q40000152_00_152","アレがナイ！！","Nowhere to Be Found!!","ui\00_message\quest_info\q40000152_00.gmd","\quest\q40000152.arc","q40000152.arc","0"
"1","q40000152_00_152","ドドドドウシヨウ！！！
王の大事なアレ、アレ、<LQIM>がどっかイッタ！　誰カ、何とかシロ！！
無くナッタのハ<LQVA>コダ！","W-W-What should we do!!!
The king's precious <LQIM> is gone!
Someone, do something!!!
There should be <LQVA> left!","ui\00_message\quest_info\q40000152_00.gmd","\quest\q40000152.arc","q40000152.arc","1"
"0","q40000153_00_153","ヨコセ、齧るド！！","Aggression!!","ui\00_message\quest_info\q40000153_00.gmd","\quest\q40000153.arc","q40000153.arc","0"
"1","q40000153_00_153","今スグ<LQIM>ヨコセ！！
<LQVA>コダ！！
アレがナイと落ちつかナイ、歯がゾワゾワスル！！
持っテ来タラ、ちゃんと礼ヤル！　齧らナイ！！","Give me <LQIM> right now!!
There should be <LQVA>!!
I can't calm down without it, 
my teeth are crawling!!
If you bring it, I'll reward you properly! 
I won’t bite!!","ui\00_message\quest_info\q40000153_00.gmd","\quest\q40000153.arc","q40000153.arc","1"
"0","q40000154_00_154","ニンゲンヨケ","Human Protection","ui\00_message\quest_info\q40000154_00.gmd","\quest\q40000154.arc","q40000154.arc","0"
"1","q40000154_00_154","ニンゲン、嫌イ！　最近ココ、ニンゲン臭イ
城の門、ニンゲンヨケの飾リ、モット付ケル！
ブタの死体に<LQIM>詰メル！
<LQVA>コ詰メル！　キットそレでカんペキ","I hate humans! Lately, it smells like humans here.
Add more human-repellent 
decorations to the castle gate!
Stuff <LQIM> 
into pig corpses!
Stuff <LQVA> of them! That should be perfect.","ui\00_message\quest_info\q40000154_00.gmd","\quest\q40000154.arc","q40000154.arc","1"
"0","q40000155_00_155","外ノ魔物怖イ","Monsters Beyond","ui\00_message\quest_info\q40000155_00.gmd","\quest\q40000155.arc","q40000155.arc","0"
"1","q40000155_00_155","ジブン、弱イ、イジメラレル、外怖イ
デモ<LQIM>欲しイ――
欲しイケド、取リ行ク――怖イ
誰カ<LQVA>コ、分ケてクれる、ウレシイ","I’m weak and bullied; the outside is scary.
But I want <LQIM>――
I want it, but going to get it is scary.
If someone could share <LQVA> of them, 
I'd be happy.","ui\00_message\quest_info\q40000155_00.gmd","\quest\q40000155.arc","q40000155.arc","1"
"0","q40000156_00_156","オデ、偉イ！！","Amazing!!","ui\00_message\quest_info\q40000156_00.gmd","\quest\q40000156.arc","q40000156.arc","0"
"1","q40000156_00_156","オデ、次二王が欲しイ言うモノ解ル、当タル！
ソレ、ズバリ<LQIM>！！
ダカラ今のウチ、集めテル
デモ数足らない！　<LQVA>コクレ！！
オデ、褒めラレル。オマエ、コレヤル","I understand what the king wants next; 
it's <LQIM>!
So I'm gathering them now.
But I’m short of them! I need <LQVA> more!!
If you bring them, I’ll praise you. You do this.","ui\00_message\quest_info\q40000156_00.gmd","\quest\q40000156.arc","q40000156.arc","1"
"0","q40000157_00_157","たくわえ、少ナイ","Running Out","ui\00_message\quest_info\q40000157_00.gmd","\quest\q40000157.arc","q40000157.arc","0"
"1","q40000157_00_157","<LQIM>たくわえ、少ナイ
<LQVA>ツハ必要。ロイが送ってクル、もっと先ナル
誰カ、外出テ取ってコイ！","We have a small supply of <LQIM>.
We need <LQVA> more. Roy will send more later.
Someone, go outside and get them!","ui\00_message\quest_info\q40000157_00.gmd","\quest\q40000157.arc","q40000157.arc","1"
"0","q40000158_00_158","今日ノ王へノ捧ゲ物　小遣イアリ","Royal Offering: Coin","ui\00_message\quest_info\q40000158_00.gmd","\quest\q40000158.arc","q40000158.arc","0"
"1","q40000158_00_158","王ガ<LQIM>、<LQVA>個を所望ダ
急イでそのアタリでトってコイ！
貢いダ者二は小遣イアリとの事ダ","The king desires <LQIM>, 
<LQVA> pieces.
Quickly gather them from around here!
Those who contribute will get a small reward.","ui\00_message\quest_info\q40000158_00.gmd","\quest\q40000158.arc","q40000158.arc","1"
"0","q40000159_00_159","今日ノ王へノ捧ゲ物　報酬アリ","Royal Offering: Toll","ui\00_message\quest_info\q40000159_00.gmd","\quest\q40000159.arc","q40000159.arc","0"
"1","q40000159_00_159","王ガ<LQIM>、<LQVA>個を所望ダ
マタどうしてカ解らんガ、ナルベク急ゲ！
貢いダ者二は何か報酬をトラスとの事ダ","The king desires <LQIM>, <LQVA> pieces.
For reasons unknown, hurry as much as possible!
Those who contribute will receive some reward.","ui\00_message\quest_info\q40000159_00.gmd","\quest\q40000159.arc","q40000159.arc","1"
"0","q40000160_00_160","＜エリアオーダー＞ホボリック蒐集","Area Order: Hobolic Gathering","ui\00_message\quest_info\q40000160_00.gmd","\quest\q40000160.arc","q40000160.arc","0"
"1","q40000160_00_160","あァ、お前ら――あと、ヒト！　ほら、アレだ
アレを集めてこい――<LQIM>ダ！
数はそうだナ、30――いや<LQVA>でイイ
それならまァ、できるダロ？","Ah, you guys— and humans too! Look, that thing.
Gather that— <LQIM>!
The amount? Well, 30— no, <LQVA> will do.
That’s doable, right?","ui\00_message\quest_info\q40000160_00.gmd","\quest\q40000160.arc","q40000160.arc","1"
"0","q40000161_00_161","ドラワン周辺の脅威","Threat Surrounding Drawan","ui\00_message\quest_info\q40000161_00.gmd","\quest\q40000161.arc","q40000161.arc","0"
"1","q40000161_00_161","オークの砦に近いこの地は危険が多くて――はぁあ
最近気になっているのは<LQEM>なんだ
貴重な家畜や民家への被害もあったし――
逗留中の戦士さん、頼むよ。<LQVA>体退治して助けてくれないかな？","This area near the orc stronghold 
is very dangerous―― 
Haah, what concerns me recently is 
<LQEM>. 
There has been damage to valuable livestock and 
houses―― 
Warrior staying here, please. 
Could you help by eliminating <LQVA> pieces?,","ui\00_message\quest_info\q40000161_00.gmd","\quest\q40000161.arc","q40000161.arc","1"
"0","q40000162_00_162","荒れ地の怪","A Wasteland Mystery","ui\00_message\quest_info\q40000162_00.gmd","\quest\q40000162.arc","q40000162.arc","0"
"1","q40000162_00_162","周囲で見かける魔物の中でも特に<LQEM>は厄介だ
戦える者は<LQVA>体ほど退治に協力してもらえるとありがたい
だが自信が無い者はやめておいた方がいい","Among the monsters seen around here, 
<LQEM> 
is particularly troublesome. 
It would be appreciated if those who can fight 
could help with <LQVA>. 
But those lacking confidence should avoid it.","ui\00_message\quest_info\q40000162_00.gmd","\quest\q40000162.arc","q40000162.arc","1"
"0","q40000163_00_163","オーク軍の斥候","Orc Scouts","ui\00_message\quest_info\q40000163_00.gmd","\quest\q40000163.arc","q40000163.arc","0"
"1","q40000163_00_163","たまに、ガルドノックの方から魔物の群れが来るんだよ
最近だと、<LQEM>が<LQVA>体やってきたって聞いたよ
ありゃ、オーク軍の斥候部隊じゃないかね
賞金を賭けるから誰か、倒しておくれ！","Occasionally, a swarm of monsters comes 
from the Gardnox area. 
Recently, I heard that <LQVA> <LQEM> attacked. 
Isn't that the orc army's scouting unit? 
I'm offering a bounty, so someone, take them down!","ui\00_message\quest_info\q40000163_00.gmd","\quest\q40000163.arc","q40000163.arc","1"
"0","q40000164_00_164","あんにゃろう！！","That Bastard!!","ui\00_message\quest_info\q40000164_00.gmd","\quest\q40000164.arc","q40000164.arc","0"
"1","q40000164_00_164","ちっくしょうまたかよ！！
<LQEM>の野郎のせいで、一張羅の鎧を台無しにされちまった！
腹の虫が収まらねぇ！
いくらか払うから、野郎<LQVA>匹ぶっ倒してくれ！","Damn it, not again!! 
That <LQEM> 
ruined my precious armor! I'm furious! 
I'll pay a bit, so take down <LQVA> of those bastards!","ui\00_message\quest_info\q40000164_00.gmd","\quest\q40000164.arc","q40000164.arc","1"
"0","q40000165_00_165","安全な採取のために","For a Safe Harvest","ui\00_message\quest_info\q40000165_00.gmd","\quest\q40000165.arc","q40000165.arc","0"
"1","q40000165_00_165","鉱石を掘るにも植物を採るにも、身の危険が近いと落ちついて作業できません。特に、この頃は<LQEM>が作業を妨害してきます
どうか<LQVA>体ほど撃退してください","Mining ores or gathering plants is difficult when 
danger is near. Especially lately, 
<LQEM> 
has been disrupting the work. 
Please drive away <LQVA> creatures.","ui\00_message\quest_info\q40000165_00.gmd","\quest\q40000165.arc","q40000165.arc","1"
"0","q40000166_00_166","家畜の天敵","Livestock's Natural Enemy","ui\00_message\quest_info\q40000166_00.gmd","\quest\q40000166.arc","q40000166.arc","0"
"1","q40000166_00_166","悔しいことに、夜中にまた家畜が襲われたのです。日中はゴートさんが目を光らせてくれてるけど――
多分<LQEM>にやられたんです
<LQVA>匹、村近くに来る前に退治してくれないでしょうか","Unfortunately, our livestock were attacked again 
in the middle of the night. During the day, Gort 
keeps watch, but it was probably the work of 
<LQEM>. 
Could you please eliminate <LQVA> of them 
before they come near the village?","ui\00_message\quest_info\q40000166_00.gmd","\quest\q40000166.arc","q40000166.arc","1"
"0","q40000167_00_167","討伐協力を頼む","Call for Extermination","ui\00_message\quest_info\q40000167_00.gmd","\quest\q40000167.arc","q40000167.arc","0"
"1","q40000167_00_167","戦える者がいれば、<LQEM>を<LQVA>体討伐してくれないか。わしの方でも見つけ次第、討伐はしてるのだが、さすがに村周囲の守りに近頃は手いっぱいだ
危険は承知だが、どうか頼む","If there are fighters available, could you defeat 
<LQVA> <LQEM>? 
I’m also dealing with them as I find them, but 
I’m currently overwhelmed with protecting the 
village. I understand the danger, but please help.","ui\00_message\quest_info\q40000167_00.gmd","\quest\q40000167.arc","q40000167.arc","1"
"0","q40000168_00_168","白翼覚者隊・協力要請　バートランド北部","White Wings: Cooperation (Northern Betland)","ui\00_message\quest_info\q40000168_00.gmd","\quest\q40000168.arc","q40000168.arc","0"
"1","q40000168_00_168","ドラワン滞在中の覚者様に、神殿より通達です
近年任地にて<LQEM>が増えつつあるとの報告が上がっております。可能であれば任務の合間で構いませんので、<LQVA>体ほどの討伐にご協力をお願いします","To the Arisen staying in Drawan, 
a notice from the temple. 
Reports indicate that <LQEM> 
have been increasing in the area. 
If possible, please assist with the elimination of 
<LQVA> during your missions.","ui\00_message\quest_info\q40000168_00.gmd","\quest\q40000168.arc","q40000168.arc","1"
