#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
8,GREAT_PURPOSE_9,エリアミッション《力に呑まれし王者》を攻略せよ！,"Clear Area Mission ""The Ruler Overwhelmed by
Power""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,8
0,,"遺跡の奥底に坐していたあの魔物――
レスタニアに生息しているそれと姿形は似ているけど
より凶暴で、俊敏だったように感じます","That demon dwelling within the depths of the
ruins...
It looks similar to those that inhabit Lestania,
but feels far more
ferocious and agile.",ui\00_message\clan_dungeon_clue\c0011_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"それとは別に、見知った魔物も見かけました
同様の進化を遂げたのか、何らかの手段で
向こうからこちらへ渡って来たのか――","That aside, I also saw a monster I recognized.
Have you evolved in a similar way by some means?
Did you cross over to here from there...?",ui\00_message\clan_dungeon_clue\c0011_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"しかし、我々の知っていた倒し方が通用したせいか
ベンジャミン様は少し興奮しておられるようでした","However, it seemed that Benjamin was a bit excited
because the method of killing we knew had worked.",ui\00_message\clan_dungeon_clue\c0011_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"ベンジャミン様の命でこの日記をつけるように
なってから、心の機微と出来事のつながりが
整理でき、人の感情が推測できるように
なってきた気がします――","Since I had begun to record Benjamin's life in
this diary,
I feel it is now possible to organize the link
between the subtleties of the mind,
and the events of one's life to better understand
how they feel...",ui\00_message\clan_dungeon_clue\c0011_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"この調子で、もう少し――
主人の心に寄り添えるポーンになりたいものです","In this manner, just a little further...
I'll become a pawn that is closer to my master's
heart.",ui\00_message\clan_dungeon_clue\c0011_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0011_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"本当にこのモロー樹林の侵食は、深刻なようです
侵食の治療はなんとか可能であるものの
根本的な原因が何か判明していない以上――
かからないに越したことはありません","It seems that the corruption of the ""Morrow
Forest"" has gotten
serious. Although the treatment of corruption is
somehow possible, I do not know
what has initially caused it to form...
It's best that I don't take anything from here.",ui\00_message\clan_dungeon_clue\c0011_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"今回の探索で、侵食には重度なものになると
より凶暴化し、感染力が上がる事が分かりました
相貌も変化し、正視に耐えられぬ姿になることも――","During this investigation, I've learned that the
corruption
seems to become more of an issue when it reaches
a severe level. Upon which,
the infectivity increases, and the appearance
changes to form a figure that one
could not bear to look at...",ui\00_message\clan_dungeon_clue\c0011_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"レスタニアとフィンダムの迷宮を巡り
希少素材を回収する旅も、もう長くなりますが――","Adventures through the labyrinths of Lestania
and Phindym to collect rare materials, have only
gotten longer...",ui\00_message\clan_dungeon_clue\c0011_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"ベンジャミン様は集めた素材を
すべて装備品に変え、ご友人が滞在していた地
滞在したであろう地の最奥に
納めていくことを続けておられます","Master Benjamin gathered all of the materials
collected thus far,
and used them to form equipment here in the land
where your friend had stayed.
In the most remote parts of this place, he
continuously offers up what he has created.
",ui\00_message\clan_dungeon_clue\c0011_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"4部位それぞれで行う――
ということは、残るはあと2ヶ所
真意は分かりかねますが、我々は付き従うのみです","""Do this in each of the four sites""...
That means there are two sites still remaining.
We may not understand the intention behind this,
but we tag along regardless.",ui\00_message\clan_dungeon_clue\c0011_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0011_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"この大陸は、その気候や生態、文化など
全てにおいて異なる点が多く見られます","On this continent, the climate, ecology, culture,
and etc,
are all so different than everything we knew.",ui\00_message\clan_dungeon_clue\c0011_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"特に、この水路で見たあのサルのような魔物――
姿形はレスタニアに生息しているものに
似ていますが、決定的に違うのは、そのトゲ――","Particularly, monsters like the ape we had seen
in this waterway..
Its appearance is similar to those inhabiting
Lestania,
but decisively different, because of those
thorns...",ui\00_message\clan_dungeon_clue\c0011_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"しかしこの魔物からも、レスタニアでは見る事の無い
希少な素材を回収できました
これで、水路に降りた目的を達成したはずです","However, from this demon we were able to recover
one of the rare materials that did not exist in
Lestania.
With this, we should have achieved the purpose of
why we came into this waterway.",ui\00_message\clan_dungeon_clue\c0011_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"――ベンジャミン様は
ご友人の遺体と日記を発見してから
以前にも増して寡黙になられたようです――","...Master Benjamin seems to become more withdrawn
the more we stumble upon the diaries of his
acquaintances who have likely
fallen...",ui\00_message\clan_dungeon_clue\c0011_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"時折、酷く悔しそうな表情をされます――
しかしその真意までは
ポーンの私には判らないのです","Occasionally, I will have a look of chagrin on my
face...
but the intention behind it, is one that my pawn
can't understand.",ui\00_message\clan_dungeon_clue\c0011_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""誰かの日記の１ページが落ちている""","""A page of someone's diary has fallen""",ui\00_message\clan_dungeon_clue\c0012_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"あの話は本当だったのか――
氷魔がごく稀に落とすという
強力な希少素材――","Was the story true?
The one about the ice demon that drops a powerful
rare material?",ui\00_message\clan_dungeon_clue\c0012_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"村の情報屋が言うことには
今までその姿かたちを見た者はいないらしい","The information broker in the village said that
there has been nobody that has seen the figure
until just now.",ui\00_message\clan_dungeon_clue\c0012_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"ならばなぜ、情報屋がその存在を知っているのか？
そんな怪しい話、どうせ戯言に違いないと
たかをくくっていたが――","So pray tell, how does the information broker
know of its existence?
Such a suspicious story, it must be a load of
crap...",ui\00_message\clan_dungeon_clue\c0012_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"まさか本当に存在していたとはな！
ああ、触れているだけで
手のひらがピリピリと痛むほどの冷気を感じる
どれほどの魔力を秘めているのか――","It certainly did exist, and must've existed for a
while now!
Oh, just touching it has made a painful tingling
chill linger in my palm.
Just how much magical power is hidden within
it...?",ui\00_message\clan_dungeon_clue\c0012_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"他にもこういった物が無いか
調べてみる価値はあるな――","Are there others like this?
It may be worth investigating further...",ui\00_message\clan_dungeon_clue\c0012_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""誰かの日記の１ページが落ちている""","""A page of someone's diary has fallen""",ui\00_message\clan_dungeon_clue\c0012_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"危ない所だった――
ただでさえ怪力で厄介なサイクロプスが
侵食によって、およそ生物とは
思えない力を発揮していた","It was a dangerous place...
Even a simple Cyclops, already troublesome due to
its sturdiness,
was demonstrating an unexpected strength when
corrupted by these strange
organisms.",ui\00_message\clan_dungeon_clue\c0012_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"まともに相手をしていたら、今頃命は無かっただろう
今こうして日記を書いている手も、震えが止まらない","If I did not have a decent partner, I would not
currently be alive.
Even as I write this, my hands cannot stop
trembling.",ui\00_message\clan_dungeon_clue\c0012_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"なんとか手に入れたこのおぞましい貴重素材――
見た目はひどいものだが、
祈祷師や好事家あたりが見れば大喜びするだろう","I did manage to acquire this valuable and hideous
material somehow...
Although it's a terrible sight to behold, you
would be delighted to see the prices the
shamans and dilettantes have offered for it.",ui\00_message\clan_dungeon_clue\c0012_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"しかし、金にするのが本当に正しい用途なのか？
もっと集めることで、何か作り出せるのかもしれない","But, is this really the right way to use it;
making money?
Perhaps by gathering more, something useful might
be made from it.",ui\00_message\clan_dungeon_clue\c0012_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"例えば、それが武器だとしたら――
大きな力を持つはずだ","For example, if formed into a weapon...it should
be imbued with great power.",ui\00_message\clan_dungeon_clue\c0012_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""誰かの日記の１ページが落ちている""","""A page of someone's diary has fallen""",ui\00_message\clan_dungeon_clue\c0012_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"俺も腕には自信があるつもりだが、
正直言って今回はヒヤリとさせられた――
侵食されたグリフィンとは、これほど凶暴なものか","I am confident in my weapons, but if I am honest,
this time I may have made a mistake...
Is this Infected Griffin as ferocious as they say?",ui\00_message\clan_dungeon_clue\c0012_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"さすがに今回ばかりは、落命すら覚悟した
まだ命がある事、感謝せねば――","As one would expect, even though I was prepared
to die,
I still live, and I must not take that for
granted...",ui\00_message\clan_dungeon_clue\c0012_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"ともあれ、そろそろ収集物も増えてきた――
持ち歩くにも動きづらいため
ひとまとまりにして保管しておくことにしよう","Anyway, my collection has recently grown in
size...
I've decided to keep it all in one place, as it
is getting hard
to carry it around everywhere with me.",ui\00_message\clan_dungeon_clue\c0012_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"魔物の巣になるばかりの
うち捨てられた建物があった
村に置き去るよりは、そこの方が安心だろう","There was an abandoned building nearby.
It would be much more secure to put it there,
than to leave it
in the village, only for it to become some
monster's nest.",ui\00_message\clan_dungeon_clue\c0012_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"印象的なその姿――
我がアジトを『塔』と名付けよう","What an impressive figure...
My own secret hideout, I'll call it the ""Tower"".",ui\00_message\clan_dungeon_clue\c0012_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""古い日記のページが落ちている""","""A page from an old diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0012_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"ベヘモットを倒し、宝を入手できたのは良かったが
それを塔まで持ち帰るのに苦労した――","It was satisfying to beat that behemoth and get
treasure from it,
but I had a hard time bringing it back to the
tower...",ui\00_message\clan_dungeon_clue\c0012_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"戦いの最中だけでなく、
帰り道にすらアイツに苦労させられるとは――
苦労した分、この素材が何に
使えるのかという期待は高まる一方だ","Not only during the battles,
but even on the way back to that guy I have
suffered hardships...
Due to these struggles, the expectations I have
for what this
material can be used for are rising.",ui\00_message\clan_dungeon_clue\c0012_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"ここしばらくの収穫は
我ながら好調すぎるほどだ
日頃の感謝もあり、例の情報屋に話してみたが――","The harvest here has been great for a while and
I've felt the need to show gratitude because of
it.
For example, I spoke to the information broker...",ui\00_message\clan_dungeon_clue\c0012_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"青い顔になって、そんなものを集めるのは
すぐ止めるようにと強く言われた
なんでも、“良くない運命”を引き寄せるとか――
嘘をついている表情ではないが――
にわかに信じがたい","They became pale in the face, and said that
collecting
such things must be stopped at once.
Doing anything else, would be inviting ""bad
fate""...
By the look on their face, they weren't lying...
It's still hard to believe though.",ui\00_message\clan_dungeon_clue\c0012_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,向かう所敵無し、これほどの絶好調だと言うのに――,"I'm unbeatable though, and would say this is
going to go perfectly well...",ui\00_message\clan_dungeon_clue\c0012_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""筆跡が新しい日記のページが落ちている""","""The handwriting is from a page that has fallen
out of a new diary.""",ui\00_message\clan_dungeon_clue\c0012_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"見た目は何ともおぞましく
邪悪な魔法は強力だったが
叩き落としてしまえば、たやすいものだった――","What a horrible sight.
Dark magic worked incredibly well against it,
and when it was knocked down, it was easy to slay
it...",ui\00_message\clan_dungeon_clue\c0012_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"こんな魔物に、数多の人々が言葉無き姿に
変えられたかと思うと、何ともやるせない","To think that many people were changed into
speechless statues
by such a demon, is deeply depressing...",ui\00_message\clan_dungeon_clue\c0012_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"ともあれ、希少素材は入手した
せめてメドゥーサの犠牲となった人々に
安らかな眠りが与えられるよう――祈るしかない","Anyway, as soon as we collect the rare material
from it,
we have to say a prayer for the souls that have
fell victim at the hands of the Medusa...
I have no choice but to pray...",ui\00_message\clan_dungeon_clue\c0012_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"この素材に、どれだけの
人間の怨念が込められているか
いや――今まで集めてきた全てが
同じ宿因にあるのだろう","This material...
Are there remnants of human grudges is trapped
within?
It's unpleasant...but it seems to be used for the
same purpose as
everything else we've collected up until now in
the inn.",ui\00_message\clan_dungeon_clue\c0012_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"――それを考えれば、集めると
“良くない運命”を引き寄せるという
いつか聞いた話も頷けるように思う","...Given that, if one collects things like these
they say it will invite a ""bad fate"".
I think the stories I've heard will someday
become true...",ui\00_message\clan_dungeon_clue\c0012_n04.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0013_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"侵食の進んだ、危険な土地ではありましたが――
退治した大型魔物に侵食の気配は無く
今まで同様強敵だったものの、少し安心しました","Although the land was highly corrupted and
dangerous -
there was no sign of infestation in the large
demons that we eliminated.
And although they were as powerful as ever, we
were a bit relieved.",ui\00_message\clan_dungeon_clue\c0013_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"しかし、このような土地で侵食されず生息するとは
移り住んだばかりなのか、抗体があるのか――","However, to live in a land like this without
being infected...
Is it because they just moved in, or do they have
antibodies?",ui\00_message\clan_dungeon_clue\c0013_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"ベンジャミン様はその美しい魔物からも素材を
回収すると、装備品をまた一つ作成されました
この装備もまた――塔に納めるおつもりなのでしょう","Master Benjamin collected materials from that
beautiful demon and created another piece of
equipment.
This equipment also intended to be stored in the
tower.",ui\00_message\clan_dungeon_clue\c0013_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"先日立ち寄った拠点で耳に入って来たのですが――
フィンダムには、偉大な人物が亡くなった際
装具や装飾品を副葬品として埋葬する文化が
あるそうなのです","I overheard at a stopover the other day-- that
there is a tradition in Phindym where when great
men die, they are buried with ornaments and
ornaments as burial accessories.",ui\00_message\clan_dungeon_clue\c0013_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"ベンジャミン様がご友人の足跡を巡りながら
作成した装備品を埋葬していくのは――
フィンダムの流儀に則った弔い、なのかもしれません","Perhaps Master Benjamin, while tracing the
footsteps of his friend, is burying the equipment
he created—an homage following the Phindym
tradition.",ui\00_message\clan_dungeon_clue\c0013_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0013_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"驚くべき発見です！
ピクシーが、これほど高度な社会的序列を築いて
いたとは――しかも、その強固さは
比較対象にされることの多いゴブリン以上です","It is a surprising discovery!
I had no idea that Pixies had built such a high
level of social hierarchy - and moreover, its
strength is greater than that of the commonly
compared Goblin.",ui\00_message\clan_dungeon_clue\c0013_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"ベンジャミン様はいつになくご機嫌が良いようで
なんと――ご自分のことを
少し話してくださいました！","Mr. Benjamin seemed to be in an unusually good
mood and, by golly--he told us a little about
himself!",ui\00_message\clan_dungeon_clue\c0013_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"まず、亡きご友人について
フィンダム人唯一の友人であること――
彼の志に敬意を表し、弔いの旅を続けていること――","First and foremost, I pay my respects to my late
comrade, the only friend of a Phindymian. I
continue my journey in tribute to his aspirations
and in mourning.",ui\00_message\clan_dungeon_clue\c0013_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"さらに、旅が終わったら二度と
このようなことが起きないよう
冒険者の集いを作り、助け合えるように
したいということ","Furthermore, once our journey concludes, I wish
to establish a gathering of adventurers to ensure
that such events never happen again, and to foster
mutual assistance.",ui\00_message\clan_dungeon_clue\c0013_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"そして最も感動したのは、我々にも
その一端を担わせてくださるということ――
ポーンでありながら、仲間として
認められたような気さえしました","And what moved me the most was that we were
allowed to play a part in it as well. Even as
pawns, it felt like we were recognized as
companions.",ui\00_message\clan_dungeon_clue\c0013_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0013_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"この森の最奥で待ち構えていた魔物は
一度対峙した記憶のある魔物――
その腕力は相変わらず脅威でしたが
危なげなく突破することができました","The creature that lay in wait at the deepest part
of this forest was a creature I had once faced
before. Its strength remained as formidable as
ever, but we were able to overcome it without much
trouble.",ui\00_message\clan_dungeon_clue\c0013_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"癒しの力を当てることで
あの奇妙な触手の威力を
一定時間抑えることができるようなのです","It seems that applying the power of healing can
temporarily suppress the strange tentacles' power.",ui\00_message\clan_dungeon_clue\c0013_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"ところで――
最近は侵食されている魔物と対峙することが多く
ベンジャミン様はよく咳き込み
どこか苦しそうなご様子です","By the way -
Recently, Master Benjamin has been facing many
infected enemies, and often coughs with a somewhat
painful appearance.",ui\00_message\clan_dungeon_clue\c0013_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"覚者は竜の力を得ているとはいえ
病には罹りますし、ごくゆっくりと老衰もする――
一言で申し上げるならば、心配です","While Arisen possess the power of the dragon,
they can still fall ill, and age gradually as
well. In a word, it is a cause for concern.",ui\00_message\clan_dungeon_clue\c0013_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"どうも、後ろ向きなことばかり考えてしまいます
「弔い」という目的を果たした時
あの方はどうなってしまわれるのでしょう
最悪の場合を想像してしまう私を、お許しください","I find myself constantly dwelling on negative
thoughts. When we achieve the ""mourning"" purpose,
I wonder what will become of that person. Please
forgive me for imagining the worst-case scenario.",ui\00_message\clan_dungeon_clue\c0013_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0013_n03.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
