5,q21000072_00_1229,新たに現れた魔物を即時討伐して危機を回避,Eliminate the newly emerged monster right away to prevent the crisis.,ui\00_message\quest_info\q21000072_00.gmd,\quest\q21000072.arc,q21000072.arc,5,
1,q21000080_00_399,"【納品クエスト】
依頼者の願いを聞き入れ
指定された物資を集めてくる","【Delivery Quest】
Listen to the requester's wishes
and gather the specified supplies.",ui\00_message\quest_info\q21000080_00.gmd,\quest\q21000080.arc,q21000080.arc,1,Theodor
2,q21000080_00_399,"物資を必要としている人物が
<NAME AREA>から協力を求めている","A person in need of supplies is seeking assistance
in <NAME AREA>.",ui\00_message\quest_info\q21000080_00.gmd,\quest\q21000080.arc,q21000080.arc,2,Theodor
3,q21000080_00_399,"感謝の心ってーのは、いつだって
忘れちゃいけねえもんだぜ
だから俺も、嫁にありがとうって言ってみたんだ
そしたら、予想に反して上機嫌だったんだよ
でも、ついつい忘れちゃうんだよ
身近にいればいるほどな","You should never forget the feeling of gratitude. 
So I tried telling my wife thanks. 
Unexpectedly, she was in a great mood afterward. 
But it's easy to forget, 
especially with those closest to you.",ui\00_message\quest_info\q21000080_00.gmd,\quest\q21000080.arc,q21000080.arc,3,Theodor
4,q21000080_00_1179,＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼先に届ける（残り:<SQDI DNUM>）,Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>),ui\00_message\quest_info\q21000080_00.gmd,\quest\q21000080.arc,q21000080.arc,4,Renton
0,q21000081_00_400,【高難度】封ぜられた闇,【High Difficulty】The Sealed Darkness,ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,0,Beatrix
1,q21000081_00_400,"【連続討伐クエスト】
エリアマスターの願いを聞き入れ
ダンジョン付近にて起きている問題を調査する","【Consecutive Subjugation Quest】
Grant the wish of the Area Master
and investigate the issues
occurring near the dungeon.",ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,1,Beatrix
2,q21000081_00_400,"<NAME AREA>のエリアマスターが
ダンジョン付近の不穏な空気を警戒しているようだ","The Area Master of <NAME AREA>
is wary to the unrest near the dungeon.",ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,2,Beatrix
3,q21000081_00_400,"メルゴダの魔物は想像を超える凶悪さだ
自分の力を少しでも過信したら最期
あの世送りになっちまう
自分を知りて相手を知る――
生き抜くために最も重要なことだぜ？","The beasts of Mergoda are beyond brutal. 
The moment you overestimate your own strength, 
you'll be sent to the afterlife. 
Know yourself, and know your foe― 
that's the key to staying alive, wouldn't you say?",ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,3,Beatrix
4,q21000081_00_1161,指定された場所を調べる,Investigate the specified location,ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,4,Beatrix
5,q21000081_00_1162,遭遇した魔物を討伐する,Defeat the encountered demons,ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,5,Beatrix
6,q21000081_00_1163,指定されたダンジョン内を捜索する,Search within the specified dungeon,ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,6,
7,q21000081_00_1164,ダンジョン内の各所の魔物を討伐する（残り３）,"Defeat the monsters at locations in the dungeon
(3 left)",ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,7,
10,q21000081_00_1165,エリアマスターに経緯を報告する,Report to the Area Master,ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,10,
8,q21000081_00_1184,ダンジョン内の各所の魔物を討伐する（残り２）,"Defeat the monsters at locations in the dungeon
(2 left)",ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,8,
9,q21000081_00_1185,ダンジョン内の各所の魔物を討伐する（残り１）,"Defeat the monsters at locations in the dungeon
(1 left)",ui\00_message\quest_info\q21000081_00.gmd,\quest\q21000081.arc,q21000081.arc,9,
0,q21000082_00_362,呪われし巨影,A Great Cursed Shadow,ui\00_message\quest_info\q21000082_00.gmd,\quest\q21000082.arc,q21000082.arc,0,
1,q21000082_00_362,"【討伐クエスト】
エリアに出現した怪しい魔物を探し
問題の原因となる敵を討伐する","【Subjugation Quest】
Search for suspicious monsters in the area
and defeat the enemy causing the problem.",ui\00_message\quest_info\q21000082_00.gmd,\quest\q21000082.arc,q21000082.arc,1,
2,q21000082_00_362,"<NAME AREA>には今、怪しい気配のする
魔物たちが出現しているらしい","In <NAME AREA> right now, 
there seems to be a suspicious presence
of enemy creatures.",ui\00_message\quest_info\q21000082_00.gmd,\quest\q21000082.arc,q21000082.arc,2,
3,q21000082_00_362,"魔物ごとの弱点は把握しているかしら
もし知らないならあそこには近づかないことね
きっと何もできずに、ただ死ぬのを待つだけになるわ
勇敢と無謀は似て非なるものだわ
いい？　無知は、身を滅ぼすのよ","Are you aware of each monster's weaknesses? 
If you aren't, then don't go near that place. 
You'll just end up waiting to die without doing anything. 
Courage and foolishness are two different things. 
Got it? Ignorance can destroy you.",ui\00_message\quest_info\q21000082_00.gmd,\quest\q21000082.arc,q21000082.arc,3,
4,q21000082_00_1171,遭遇した魔物を討伐する,Defeat the encountered demons,ui\00_message\quest_info\q21000082_00.gmd,\quest\q21000082.arc,q21000082.arc,4,
6,q21000082_00_1173,残る魔物を討伐する,Defeat the remaining demons,ui\00_message\quest_info\q21000082_00.gmd,\quest\q21000082.arc,q21000082.arc,6,
5,q21000082_00_1229,新たに現れた魔物を即時討伐して危機を回避,"Eliminate the newly emerged monster right away
to prevent the crisis.",ui\00_message\quest_info\q21000082_00.gmd,\quest\q21000082.arc,q21000082.arc,5,
0,q21000083_00_363,命知らずの地,Death-Defying Area,ui\00_message\quest_info\q21000083_00.gmd,\quest\q21000083.arc,q21000083.arc,0,Dian
1,q21000083_00_363,"【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【Mortality Check Quest】
Listen to the requester's wish.
Defeat the ferocious enemy
without reviving even once.",ui\00_message\quest_info\q21000083_00.gmd,\quest\q21000083.arc,q21000083.arc,1,Dian
2,q21000083_00_363,"<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","Someone in the <NAME AREA> 
appears to be testing their skills
in a battle against an enemy.",ui\00_message\quest_info\q21000083_00.gmd,\quest\q21000083.arc,q21000083.arc,2,Dian
3,q21000083_00_363,"ここ禁域にいれば、気味の悪い魔物に出くわすなんざ
日常茶飯事もいいとこさ
むしろ、その刺激がやめられない
そう、そういう馬鹿な奴が集まってくるのさ
――たまらないね","In this wasteland, running into eerie monsters 
is a daily routine. 
In fact, it's the thrill that keeps me coming back. 
That's right, it's the foolish ones who flock here. 
―It's simply irresistible.",ui\00_message\quest_info\q21000083_00.gmd,\quest\q21000083.arc,q21000083.arc,3,Dian
4,q21000083_00_1174,指定された場所へ行き、狂暴な魔物を見つける,"Go to the designated location
and find the rabid demon",ui\00_message\quest_info\q21000083_00.gmd,\quest\q21000083.arc,q21000083.arc,4,The White Dragon
5,q21000083_00_1175,遭遇した魔物を討伐する,Defeat the encountered demons,ui\00_message\quest_info\q21000083_00.gmd,\quest\q21000083.arc,q21000083.arc,5,The White Dragon
6,q21000083_00_1176,依頼者へ経緯を報告する,Report back to the requester,ui\00_message\quest_info\q21000083_00.gmd,\quest\q21000083.arc,q21000083.arc,6,The White Dragon
0,q21000084_00_364,放浪の果てに,At the End of One's Wandering,ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,0,Dian
1,q21000084_00_364,"【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【Delivery Hunt Quest】
Hand over a valuable item to the client
and locate the whereabouts of a rare enemy.",ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,1,Dian
2,q21000084_00_364,"<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","Someone in the <NAME AREA> is searching
for rare items that can be found within the area.",ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,2,Dian
3,q21000084_00_364,"本だの何かの器具だのが散らばってる気味の悪い
場所があるだろ？　少し前、あの辺りで金属音が
響く夜が続いたんだが、それがぴたりと収まったんだ
音の主はどこかに移動したのか、それともあの穴に
降りていったのか――","You know that eerie spot where books and strange tools 
are strewn about? A little while ago, 
metallic sounds echoed from that area at night, 
but now it has come to a complete stop. 
Did the sound's source relocate, 
or did it go down into that hole?",ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,3,Dian
4,q21000084_00_1166,＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）,Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>),ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,4,Dian
5,q21000084_00_1167,指定された場所へ魔物を探しに行く,Go to the designated location to search for enemy,ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,5,Dian
6,q21000084_00_1168,発見した魔物を討伐する,Defeat the found demons,ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,6,Dian
7,q21000084_00_1169,依頼者に報告する,Report to the requester,ui\00_message\quest_info\q21000084_00.gmd,\quest\q21000084.arc,q21000084.arc,7,Dian
0,q21000085_00_404,消えた貴重品,The Stolen Valuables,ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,0,Gunther
1,q21000085_00_404,"【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【Delivery Hunt Quest】
Hand over a valuable item to the client
and locate the whereabouts of a rare enemy.",ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,1,Gunther
2,q21000085_00_404,"<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","Someone in the <NAME AREA> is searching
for rare items that can be found within the area.",ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,2,Gunther
3,q21000085_00_404,"最近駐屯地の中で、置き引きみたいのが
流行ってるらしいの
ここにいる人間は限られてるし、そんなこと
する人は決していないと思うわ
だとしたら、魔物の仕業かしらね――不気味だわ","It seems that recently, there have been 
some thefts occurring in the garrison. 
Given the limited number of people here, 
I don't believe anyone would commit such acts. 
If that's the case, could it be the work of monsters? 
It's definitely eerie.",ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,3,Gunther
4,q21000085_00_1166,＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）,Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>),ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,4,Gunther
5,q21000085_00_1167,指定された場所へ魔物を探しに行く,Go to the designated location to search for enemy,ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,5,Gunther
6,q21000085_00_1168,発見した魔物を討伐する,Defeat the found demons,ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,6,Gunther
7,q21000085_00_1169,依頼者に報告する,Report to the requester,ui\00_message\quest_info\q21000085_00.gmd,\quest\q21000085.arc,q21000085.arc,7,Gunther
0,q21000086_00_405,【高難度】油断大敵,【High Difficulty】Don't Let Your Guard Down,ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,0,Bertrand
1,q21000086_00_405,"【連続討伐クエスト】
エリアマスターの願いを聞き入れ
ダンジョン付近にて起きている問題を調査する","【Consecutive Subjugation Quest】
Grant the wish of the Area Master
and investigate the issues
occurring near the dungeon.",ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,1,Bertrand
2,q21000086_00_405,"<NAME AREA>のエリアマスターが
ダンジョン付近の不穏な空気を警戒しているようだ","The Area Master of <NAME AREA>
is wary to the unrest near the dungeon.",ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,2,Bertrand
3,q21000086_00_405,"ここに呼ばれた部隊は皆精鋭揃い
なのに、毎日沢山のように負傷者が出るわ
そういう人たちが口を揃えて言うのが
油断していたってこと
いくら強くても、初心を忘れたらだめよ
相手を倒す前に自分に克たなくちゃ","The squad summoned here is made up of elites, 
yet every day there are numerous injuries. 
Those who are injured all say the same: 
they let their guard down. 
No matter how strong you are, 
you must never forget your roots. 
You have to master yourself before you can defeat your foe.",ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,3,Bertrand
4,q21000086_00_1161,指定された場所を調べる,Investigate the specified location,ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,4,
5,q21000086_00_1162,遭遇した魔物を討伐する,Defeat the encountered demons,ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,5,
6,q21000086_00_1163,指定されたダンジョン内を捜索する,Search within the specified dungeon,ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,6,
7,q21000086_00_1164,ダンジョン内の各所の魔物を討伐する（残り３）,"Defeat the monsters at locations in the dungeon
(3 left)",ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,7,
10,q21000086_00_1165,エリアマスターに経緯を報告する,Report to the Area Master,ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,10,
8,q21000086_00_1184,ダンジョン内の各所の魔物を討伐する（残り２）,"Defeat the monsters at locations in the dungeon
(2 left)",ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,8,
9,q21000086_00_1185,ダンジョン内の各所の魔物を討伐する（残り１）,"Defeat the monsters at locations in the dungeon
(1 left)",ui\00_message\quest_info\q21000086_00.gmd,\quest\q21000086.arc,q21000086.arc,9,
0,q21000087_00_406,【竜力の扉】巨魔との邂逅,【Door of Dragon Force】A Monstrous Encounter,ui\00_message\quest_info\q21000087_00.gmd,\quest\q21000087.arc,q21000087.arc,0,
1,q21000087_00_406,"【危険区域クエスト】
ダンジョン内の危険区域へ繋がる扉の鍵を作り
凶悪な魔物を討伐する","【Dangerous Area Quest】
Make a key to the door leading to the Dangerous 
Area in the dungeon and defeat Brutal monsters.",ui\00_message\quest_info\q21000087_00.gmd,\quest\q21000087.arc,q21000087.arc,1,
2,q21000087_00_406,"<NAME AREA>のダンジョン内部は、特別な
鍵を持った者だけが入れる場所があるらしい","Within the <NAME AREA> dungeon, 
there is a place that only those who possess
a special key can enter.",ui\00_message\quest_info\q21000087_00.gmd,\quest\q21000087.arc,q21000087.arc,2,
