#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
13,SPOT_NAME_,虚ろの小堂,Empty Chapel,ui\00_message\master\area11_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,13
1,SPOT_INFO_,"300年の昔に地上から失われた都
旧王都として錬金術師により統治され、栄華を
極めた。だが、白竜によりレスタニアから
切り離されて後、異界を漂い続けている
今なお僅かな民が生存している","300 years ago, the ancient capital that
disappeared from the earth's surface was ruled by
alchemists and flourished.
However, after being separated from Lestania by
the White Dragon, it continues to drift in the
otherworld.
Even now, only a few people survive.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,1
2,SPOT_INFO_,"錬金術師テオドールの工房
錬金術に関する様々な書物や研究資材が並ぶ
ディアマンテスに抵抗する者、そして
《アルケミスト》を志す者にとっては重要な
場所である","The workshop of alchemist Theodor.
Various books and research materials related to
alchemy are lined up.
It is an important place for those who resist
Diamantes and aspire to be Alchemists.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,2
3,SPOT_INFO_,"ディアマンテスが封じられた元・王の間
レスタニアからメルゴダが切り離されて後も
その影響力は大きく、力までも完全に
封じることはできなかった","The former king's space where Diamantes was
sealed.
Even after Mergoda was separated from Lestania,
its influence remained significant and its power
could not be completely sealed.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,3
4,SPOT_INFO_,"未完成状態の素材錬魔が暴走し、研究室に踏み
入った者に攻撃を加えるようになった
完成前とはいえ、監視索敵用に特別開発されるはず
だった魔物のようだ
小型の未完成品と侮ってはいけない","An incomplete material-altering creature has gone
berserk and started attacking anyone who enters
the laboratory. It was supposed to be specially
developed for surveillance and reconnaissance,
even though it is not yet complete. Do not
underestimate this small unfinished product.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,4
5,SPOT_INFO_,"護政区の研究者であった錬金術師の家
すでに主は不在だが、研究成果や遺物は
遺されているかもしれない
それが、どういった内容であるかは不明","The home of an alchemist who was a researcher in
the Security District.
The master is already absent, but there may be
alchemized research results and artifacts left
behind.
It is unclear what the contents are.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,5
6,SPOT_INFO_,"メルガン技師の研究室
技師の中にも、竜を排すという異端思想に傾倒
した者が少なからずいた。そういった思想の信徒が
使っていた研究室は封鎖、監視対象となっている
ここも、何らかの研究のため使われていたようだ","Laboratory of Engineer Mergan.
Here, there were some who were inclined towards
the heretical idea of rejecting dragons.
The research facility used by those who believed
in such ideas has been shut down and placed under
surveillance.
It seems that this place was also used for some
kind of research.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,6
7,SPOT_INFO_,"宮殿前広場に、ディアマンテス派メルガン技師が
魔道兵器ギガン・マキナを改造し配置している
この兵器はあまりに危険なため、広場を通る
際は周到な戦闘準備が必要となる","In front of the palace plaza, Diamantes faction
Melgan engineers have modified the magic weapon
Gigant Machina.
As this weapon is extremely dangerous, thorough
combat preparations are necessary when passing
through the plaza.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,7
8,SPOT_INFO_,"亡都メルゴダ　王宮層にある廃墟
元の住民のものと思しき大量の書籍もそのままに
打ち捨てられている。すっかり荒れ果ててはいるが
異端思想に傾倒する者たちが未だに集会所として
いるとの噂がある","Mergoda Ruins, located in the royal palace layer,
is a deserted place where the remnants of the
original residents, including a large number of
books, remain untouched. Although it is completely
in ruins, there are rumors that people who lean
towards heretical ideologies still use it as a
gathering place.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,8
9,SPOT_INFO_,"王宮内研究室、メルガン・アルケミデアで
あのズールと思しき魔物が目撃された
どうやら、錬金術師が複製体の創造
に成功したらしい。複製体が意思を持つ前に
どうにか食い止めなければならない","In the royal research laboratory, Mergan
Alchemdia, the enemy that appears to be Zuhl has
been sighted.
It seems that the alchemists have succeeded in
creating a duplicate.
We must somehow stop it before the duplicate
gains consciousness.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,9
10,SPOT_INFO_,"亡都メルゴダの元は市街地であった区画
整理され美しかったであろう街並みの
様子は、遺跡群からも見てとれる
今なおメルゴダの民が暮らす地でもある","The Mergoda Ruins was originally a district in
the city, which must have been organized and
beautiful. This can also be seen from the remnants
where the people of Mergoda still live.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,10
11,SPOT_INFO_,"亡都メルゴダの王ゴルゴラン、そして政権を握る
ディアマンテスら特別な錬金術師たちが集った
壮麗なる王宮
広い研究所や宮殿は現在も巨人兵が護りつづけ
ており、支配者の影響力を強く残している","The magnificent palace where Golgorran, the king
of the exiled city of Mergoda, and the special
alchemists led by Diamantes who hold political
power, gathered.
The large laboratories and palaces are still
guarded by Giant soldiers, preserving the strong
influence of the rulers.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,11
12,SPOT_INFO_,"<COL ffdc78>【昌石】の扉あり</COL>
女性錬金術師ペトラネアが、自宅の地下に密かに
併設した実験場。秘術によって錬魔や不死者に
特殊なエレメントを付与する研究や、人間を
魔物に変える残酷な実験がここで繰り返し行われた","<COL ffdc78>【Gemstone】 Door</COL>
Petranea, a female alchemist, secretly
established an experimental facility in the
basement of her home.
Research of bestowing special elements to
alchemized demons and immortals through secret
arts, as well as cruel experiments that transform
humans into monsters, were repeatedly conducted
here.",ui\00_message\master\area12_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,12
0,SPOT_NAME_,亡都メルゴダ,Secret Proving Ground,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,0
1,SPOT_NAME_,メルゴダ居住区,Mergoda Residential Area,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,1
2,SPOT_NAME_,テオドール錬金工房,Theodor's Alchemy Workshop,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,2
3,SPOT_NAME_,封じの玄室,Sealed Sepulcher,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,3
4,SPOT_NAME_,錬金研究室,Alchemy Laboratory,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,4
5,SPOT_NAME_,さる錬金術師の家,An Alchemist's Home,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,5
6,SPOT_NAME_,エリクシル精製室,Elixir Refining Chamber,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,6
7,SPOT_NAME_,宮殿前広場,Palace Plaza,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,7
8,SPOT_NAME_,メルゴダ民の住居,Mergodan Residence,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,8
9,SPOT_NAME_,メルガン・アルケミデア,Mergan Alchemdia,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,9
10,SPOT_NAME_,亡都メルゴダ　下層,Mergoda Ruins: Lower Level,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,10
11,SPOT_NAME_,亡都メルゴダ　王宮層,Mergoda Ruins: Royal Palace Level,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,11
12,SPOT_NAME_,秘匿の実験場,Secret Proving Ground,ui\00_message\master\area12_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,12
0,AREA_RANK_REWARD_246,支援品の配給,Distribution of support goods,ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,0
1,AREA_RANK_REWARD_247,封鎖エリア《不浄の掃き溜め》開放,"Unblock area ""Cesspool of Filth""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,1
2,AREA_RANK_REWARD_248,《滝を臨む蝕地》に新たな強敵が出現,"New powerful enemy at ""Corrupted Ground Facing
the Waterfall""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,2
3,AREA_RANK_REWARD_249,封鎖エリア《せせらぎの地下聖堂》開放,"Unblock area ""Crypt of Murmurs""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,3
4,AREA_RANK_REWARD_250,支援品ランクアップ,Rank up of support goods,ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,4
5,AREA_RANK_REWARD_251,封鎖エリア《小塔傍の枯れ井戸》開放,"Unblock area ""Dried Well by the Tower""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,5
6,AREA_RANK_REWARD_252,《捕食者たちの低地》に新たな強敵が出現,"New powerful enemy at ""Predators' Lowland""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,6
7,AREA_RANK_REWARD_253,封鎖エリア《侵食魔の巣窟 奥底》開放,"Unblock area ""Infected Den Depths""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,7
8,AREA_RANK_REWARD_254,《翼風高原》に新たな強敵が出現,"New powerful enemy at ""Wing Wind Plateau""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,8
9,AREA_RANK_REWARD_255,支援品ランクアップ,Rank up of support goods,ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,9
10,AREA_RANK_REWARD_256,封鎖エリア《橋向かいの坑道》開放,"Unblock area ""The Tunnel across the Bridge""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,10
11,AREA_RANK_REWARD_257,封鎖エリア《滝鳴洞穴》開放,"Unblock area ""Waterfall Echo Cavern""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,11
12,AREA_RANK_REWARD_258,封鎖エリア《菌糸の襲窟》開放,"Unblock area ""Fungal Colony Caves""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,12
13,AREA_RANK_REWARD_259,《菌糸の襲窟》に新たな強敵が出現,"New powerful enemy at ""Fungal Colony Caves""",ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,13
14,AREA_RANK_REWARD_336,支援品ランクアップ,Rank up of support goods,ui\00_message\master\area13_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,14
0,SPOT_INFO_,"突如レスタニアの沖合に出現したフィンダム
大陸の一部。レスタニアに出現した侵食魔も
ここから飛来しており、この絶海の孤島が
“侵食”という脅威に対抗するための手がかりを
秘めていると予測される","Phindym suddenly appeared off the coast of
Lestania.
The invading corrupted creatures from the
continent fly in from here.
It is predicted that this isolated island in the
vast sea holds clues to opposing the threat of
""corruption.""",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,0
1,SPOT_INFO_,"魔赤島の北西部、最も高い断崖に近い一帯
何層にも崖が重なったような複雑な地形を
しており、滑落には特に注意が必要","A complex terrain resembling layers of
overlapping cliffs found in the northwestern part
of Bloodbane Isle.
Special attention must be paid to the risk of
falling.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,1
2,SPOT_INFO_,"魔赤島の北東部、一際標高が高い一帯
空に渦巻く何らかのエネルギー体に
最も近く、赤く照らされている","In the northeastern part of Bloodbane Isle, there
is an especially high elevation area,
where some kind of energy body swirls in the sky
close to it and illuminating it in red.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,2
3,SPOT_INFO_,"魔赤島における調査のために自然洞窟を
整備して駐屯地とした
侵食が進む魔赤島において、状態が良く
広さも申し分ない洞窟を発見できたことは
調査隊にとってまさに奇跡的な幸運であった","A natural cave developed and turned into a base
camp for the investigation of Bloodbane Isle.
In the rapidly deteriorating island plagued by
Corruption, it was truly a miraculous stroke of
luck for the research team to discover a cave that
was not only in good condition but also spacious
enough to meet their needs.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,3
4,SPOT_INFO_,"《群像の岩屋》近くの広場
高所から流れ落ちる雄大な滝を見ることが
できる。ただし、日光を避ける傾向にある
はずの侵食魔や菌胞がその勢力を日向にまで
拡げている、侵食の勢いが強い場所でもある","Nearby the Picturesque Grotto, there is a plaza
where you can witness the majestic waterfall
cascading down from a high place. However, the
corruption and infected fungi, which are supposed
to avoid direct sunlight, have extended their
influence even to the sunny areas. It is a place
where the force of corruption is strong.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,4
5,SPOT_INFO_,"肉食の魔物が獲物を貯蓄しているらしく
おびただしい数の死肉が散乱している
死肉の臭いが新たなる魔物を呼ぶため
それを漁る魔物は増加の一路を辿って
いるようだ","It appears that the carnivorous monsters are
storing their prey.
An enormous amount of dead flesh is scattered
around.
The smell of the dead flesh is attracting new
monsters, and the monsters that are scavenging for
it seem to be increasing.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,5
6,SPOT_INFO_,"《聖遺の塔》付近にある広場
海から吹き込む風が周囲を囲む崖面に
当たることで複雑な気流を生み出している
気流に誘い込まれてか、風を好んでか
有翼の魔物の姿がよく確認される","Plaza near the Sage Tower Ruins
The wind blowing in from the sea creates complex
air currents as it hits the surrounding cliffs.
Winged Beasts are often seen in this area,
seemingly drawn by these air currents or perhaps
attracted to the wind.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,6
7,SPOT_INFO_,"魔赤島中心部に位置する侵食の進んだ洞窟
洞窟入口周辺には溢れ出したかのように大量の
菌胞がはびこっている。内部の侵食がかなり
進んでいることは確実であり、慎重を期した
調査が望まれる","Located in the central part of Bloodbane Isle,
the cave is heavily corrupted.
In the vicinity of the cave entrance, there is an
overwhelming amount of fungal spores spreading.
The internal infection is considerable, and a
cautious investigation is desired.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,7
8,SPOT_INFO_,"<COL ffdc78>【財宝】の扉あり</COL>
南部の海岸沿いの小道の先に発見された地下通路
内部の気温は地上と比べて数度低めである
単なる通路ではなく、遺跡のような造りになっており
崩れた人工物からは文化の一端が垣間見える","<COL ffdc78>【Treasure】Door</COL>
An underground passage was discovered at the end
of a small path along the southern coast.
The temperature inside is a few degrees lower
compared to the surface.
It is not just a simple passage but is
constructed like a ruin, and glimpses of a culture
can be seen from the collapsed artifacts.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,8
9,SPOT_INFO_,"魔赤島東部の海岸沿いに発見された洞窟
入口付近を調査した斥候隊により、微動だにしない
多数の人影を見たという報告が寄せられている
恐らく何らかの魔物による犠牲者の姿かと思われる
ため、軽率に足を踏み入れることは禁じられている","Cave discovered along the coast in the eastern
part of Bloodbane Isle
Reports have been received from the scouting
party who investigated the entrance area, saying
that they saw numerous figures that didn't move
even a bit.
It is likely that these are the victims of some
kind of enemy.
Therefore, it is forbidden to step inside without
caution.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,9
10,SPOT_INFO_,"魔赤島南部にある洞窟
斥候隊により、侵食ゴアサイクロプスがここを
ねぐらとしていることが判明している
残飯を狙ってか別種の魔物も多数棲みついているため
一定以上の戦力を持つ者のみが調査を許される","Located in the southern part of Bloodbane Isle,
there is a cave that has been discovered by the
scouts.
It has been confirmed that the Infected
Gorecyclops have made this place their lair.
Due to the presence of various other creatures,
possibly attracted by the leftovers, only those
with a certain level of strength are allowed to
conduct investigations.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,10
11,SPOT_INFO_,"魔赤島の自然洞窟
地盤が一部落ち窪んだようになっており
天井部分から青空が見える箇所もある
陽光が差し込む様は幻想的で美しい光景だが
内部は侵食魔が跋扈し、多数の菌胞も確認されている","The natural caves of Bloodbane Isle have
partially sunken and concave terrain, with some
areas where the ceiling reveals the blue sky.
The sunlight shining through creates a
fantastical and beautiful scene, but the interior
is infested with corruption, with numerous fungal
spores confirmed as well.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,11
12,SPOT_INFO_,"魔赤島中央部の海岸を辿った先に入口が発見された
地下施設。内部では水のせせらぎが絶えず響き
神聖さを感じさせる造りになっていることから
聖堂であると判断された。彫刻などの人工物が多数
残されており、異郷の文化を感じることができる","An entrance was discovered at the coast in the
central part of Bloodbane Isle.
Inside the underground facility, the sound of
flowing water constantly echoes, giving a sense of
holiness.
It was determined to be a sanctuary due to its
construction.
Many artificial objects, such as sculptures, have
been left behind, allowing one to experience a
foreign culture.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,12
13,SPOT_INFO_,"魔赤島に唯一存在する塔《聖遺の塔》の傍にある
枯れ井戸。長らく人の手が入らなかったようで
井戸蓋が錆び付いており、中々内部の様子を
探ることができなかった","Next to the Tower of the Holy Relics, the only
tower that exists on Bloodbane Isle, there is a
dried-up well. It seems that no one has touched it
for a long time, as the well cover is rusted and
it is difficult to examine the interior.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,13
14,SPOT_INFO_,"<COL ffdc78>【竜力】の扉あり</COL>
《侵食魔の巣窟》のさらに奥に存在する空間
侵食魔は日光を避ける傾向にあることが判明
しているため、光の届かない内部にはさらに
侵食の進んだ魔物が潜んでいる可能性がある","<COL ffdc78>【Dragon Force】Door</COL>
A space that exists further inside the Infected
Den.
It has been determined that the Infected
creatures tend to avoid sunlight.
Therefore, there is a possibility that further
inside the area where light does not reach, there
are more infected enemies lurking.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,14
15,SPOT_INFO_,"<COL ffdc78>【竜力】の扉あり</COL>
魔赤島の絶崖側と山頂側を繋ぐ橋の付近にある坑道
橋から見える滝の裏側に、ひっそりと隠れるように
存在していたため、発見と初期調査が遅れた","<COL ffdc78>【Dragon Force】Door</COL>
There is a tunnel near the bridge that connects
the cliff side and the summit side of Bloodbane
Isle.
It was hidden quietly on the back of the
waterfall visible from the bridge, which caused
the discovery and initial investigation to be
delayed.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,15
16,SPOT_INFO_,"《異邦の岬》の一部から崖下に降りた先に発見
された洞窟。内部からは激しい水音が響き
通常の洞窟と比べてはるかに大量の水を湛えた
洞窟であることが確認されている","Discovered at the bottom of the cliff after
descending from a part of the ""Foreign Cape,"" a
cave where intense water sounds resonate inside
has been confirmed to hold a significantly larger
amount of water compared to a typical cave.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,16
17,SPOT_INFO_,"魔赤島・絶崖側の西端に見つかった洞窟
入口付近にも大きく成長した菌胞が張り付き
内部の侵食が激しく進んでいることが一目見て
わかるほどになっている。危機に対処可能な
実力を持つと認められた者のみが調査を許される","Cave found on the western edge of Bloodbane Isle
Precipice, known for its intense corruption and
infected fungal growth covering the entrance. Only
those recognized as having the ability to handle
the crisis are permitted to investigate it.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,17
18,SPOT_INFO_,"<COL ffdc78>【竜力】の扉あり</COL>
魔赤島・絶崖側に発見された小聖堂
入口の扉は開閉されるごとに施錠される仕組みと
なっており、特殊な鍵を用いることでしか
開くことができない","<COL ffdc78>【Dragon Force】Door</COL>
A small chapel discovered on the Bloodbane Isle -
Cliffside.
The entrance door is equipped with a locking
mechanism that locks every time it is opened and
closed, and can only be opened by using a special
key.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,18
19,SPOT_INFO_,"魔赤島中央部にそびえる海を臨む小塔
外壁の様子から、かなり古くも丁寧に手入れをされ
てきたことがうかがえる。用途は不明だが、すぐ傍に
井戸があることから塔内部あるいはその地下にも水が
流れている可能性がある","A small tower overlooks the sea towering in the
central part of Bloodbane Isle.
From the appearance of the outer wall, it can be
inferred that it has been quite old but carefully
maintained.
The purpose is unknown, but there is a well
nearby, suggesting that there may be water inside
the tower or underground.",ui\00_message\master\area13_spot_info.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,19
0,SPOT_NAME_,魔赤島,Bloodbane Isle,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,0
1,SPOT_NAME_,魔赤島・絶崖,Bloodbane Isle Precipice,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,1
2,SPOT_NAME_,魔赤島・山頂,Bloodbane Isle Summit,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,2
3,SPOT_NAME_,調査隊駐屯地,Expedition Garrison,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,3
4,SPOT_NAME_,滝を臨む蝕地,Corrupted Ground Facing the Waterfall,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,4
5,SPOT_NAME_,捕食者たちの低地,Predators' Lowland,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,5
6,SPOT_NAME_,翼風高原,Wing Wind Plateau,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,6
7,SPOT_NAME_,侵食魔の巣窟,Infected Den,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,7
8,SPOT_NAME_,氷気の遺路,Frigid Ancient Passage,ui\00_message\master\area13_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,8
