"#Index","Key","MsgJp","MsgEn","GmdPath","ArcPath","ArcName","ReadIndex"
"2","q21017023_00_619","<NAME AREA>のエリアマスターは
覚者へ相談したい事があるらしい","The Area Master of <NAME AREA>
would like to seek counsel from the Arisen.","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","2"
"3","q22018004_00_644","みんな本当は、明日が来るのも恐れているが
無理矢理笑顔で隠しているのさ
特に、後方支援者は
それが仕事みたいなもんでもある
戦うより楽な仕事だとでも思っていたか？","Everyone is really afraid of tomorrow,
but they hide it with fake smiles.
Especially those in support roles,
it's almost their job to do so.
Did you think it's easier task than fighting?","ui\00_message\quest_info\q22018004_00.gmd","\quest\q22018004.arc","q22018004.arc","3"
"4","q22018004_00_1179","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼先に届ける（残り:<SQDI DNUM>）","Deliver <SQDI NUM> <SQDI NAME> to the requester
(need: <SQDI DNUM>)","ui\00_message\quest_info\q22018004_00.gmd","\quest\q22018004.arc","q22018004.arc","4"
"0","q22018005_00_645","高みの奉仕家","Superior Service Provider","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","0"
"1","q22018005_00_645","【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する","【Enemy Horde Extermination Quest】
Listen to the client's request.
Exterminate the horde of enemies.","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","1"
"2","q22018005_00_645","<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという","According to reports from <NAME AREA>, 
enemy forces have temporarily increased, 
and the situation is quite dangerous.","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","2"
"3","q22018005_00_645","最前線のこの村には
慈善活動家ぶった奴らがよく来るんだが
最近来た、治療師だか貴族だかよく分からん女
アイツはなんだか鼻持ちならねえよ
全く、怪我人は貴族のオモチャじゃねえっての","This front-line village frequently attracts
self-proclaimed philanthropists to our doors.
Recently, an insufferable woman has arrived.
We are unsure if she is a healer or a noble,
but one thing is certain; the wounded
aren't playthings for nobles!","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","3"
"10","q22018005_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","10"
"4","q22018005_00_1222","指定された場所で魔物の群れを探す(残り３)","Search for a group of monsters
at the designated location (3 remaining)","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","4"
"6","q22018005_00_1223","残る魔物の群れを探す(残り２)","Search for the remaining groups of monsters
(2 remaining)","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","6"
"8","q22018005_00_1224","残る魔物の群れを探す(残り１)","Find the group of monsters that remain
(1 remaining)","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","8"
"5","q22018005_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","5"
"7","q22018005_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","7"
"9","q22018005_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018005_00.gmd","\quest\q22018005.arc","q22018005.arc","9"
"0","q22018006_00_646","日和見の魔物捕り","Waiting to Catch Monsters","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","0"
"1","q22018006_00_646","【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する","【Enemy Horde Extermination Quest】
Listen to the client's request.
Exterminate the horde of enemies.","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","1"
"2","q22018006_00_646","<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという","According to reports from <NAME AREA>, 
enemy forces have temporarily increased, 
and the situation is quite dangerous.","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","2"
"3","q22018006_00_646","ちょっと、聞いた？
オーク共が、魔物に鎧を付けて従わせてるの
頭の悪いオーク達だけならまだしも
あんなに大きくて力の強い魔物なんて――
私たちに、どうしろっていうの","Did you hear?
The orcs are putting armor on monsters
and making them serve in their army.
It’s bad enough with the dumb orcs,
but with those huge, powerful monsters—
What are we to do?","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","3"
"10","q22018006_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","10"
"4","q22018006_00_1222","指定された場所で魔物の群れを探す(残り３)","Search for a group of monsters
at the designated location (3 remaining)","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","4"
"6","q22018006_00_1223","残る魔物の群れを探す(残り２)","Search for the remaining groups of monsters
(2 remaining)","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","6"
"8","q22018006_00_1224","残る魔物の群れを探す(残り１)","Find the group of monsters that remain
(1 remaining)","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","8"
"5","q22018006_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","5"
"7","q22018006_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","7"
"9","q22018006_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018006_00.gmd","\quest\q22018006.arc","q22018006.arc","9"
"0","q22018007_00_679","【時限採取】暮夜の採草道","Time Restriction: Evening Harvest","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","0"
"1","q22018007_00_679","【時限採取クエスト：18時から4時（GT）】
エリアマスターから話を聞き
特定条件の間に採取を行い納品する","【Time Restriction Quest: 18:00 to 04:00 (GT)】
Listen to the Area Master's story.
Collect and deliver within the specified time.","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","1"
"2","q22018007_00_679","<NAME AREA>のエリアマスターは
覚者へ相談したい事があるらしい","The Area Master of <NAME AREA>
would like to seek counsel from the Arisen.","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","2"
"3","q22018007_00_679","覚者さんらの登場が、最後の希望だと
皆、信じていますよ
聞けばレスタニアとは、随分地理が異なるようで
アッカ―シェランにあるものはなんでも
覚者さまの戦いに役立てば、と思っています","Everyone is counting on the Arisen
as their last hope.
I hear that the geography here
differs greatly from Lestania,
but anything found in Acre Selund
would surely aid in your fight.","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","3"
"7","q22018007_00_1233","エリアマスターに《<SQDI NAME>》を＜<SQDI NUM>＞つ納品する","Deliver <SQDI NUM> <SQDI NAME> to the Area Master","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","7"
"6","q22018007_00_1289","＜18時から4時＞の間に<AREA 18>で《<SQDI NAME>》を採取し＜<SQDI NUM>＞つ納品","Between 18:00 and 04:00 GT,
gather <SQDI NAME> in <AREA 18>
and deliver <SQDI NUM> pieces.","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","6"
"4","q22018007_00_1290","＜18時から4時＞の間にパーティメンバーを拠点内に集める","Gather party members in the camp
from 18:00 to 04:00 (GT)","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","4"
"5","q22018007_00_1291","＜18時から4時＞の間に依頼者から詳細を聞く","Inquire details from the requester
between 18:00 to 04:00 (GT)","ui\00_message\quest_info\q22018007_00.gmd","\quest\q22018007.arc","q22018007.arc","5"
"0","q22018008_00_648","騒乱の野獣たち","Rioting Beasts","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","0"
"1","q22018008_00_648","【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する","【Enemy Horde Extermination Quest】
Listen to the client's request.
Exterminate the horde of enemies.","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","1"
"2","q22018008_00_648","<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという","According to reports from <NAME AREA>, 
enemy forces have temporarily increased, 
and the situation is quite dangerous.","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","2"
"3","q22018008_00_648","わたしのお父さんが、ロスギルに逃げようとしたの
だけど、門を開けてもらえなかった
人が集まりすぎると、暮らせないからだって
それから大砲の大きな音がして
お父さんは帰ってこない","My dad tried to flee to Rothgill,
but the gate wouldn’t open for him.
They said they couldn’t let more people in
or our living conditions would worsen.
Then there was a loud cannon shot,
and my father never returned.","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","3"
"10","q22018008_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","10"
"4","q22018008_00_1222","指定された場所で魔物の群れを探す(残り３)","Search for a group of monsters
at the designated location (3 remaining)","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","4"
"6","q22018008_00_1223","残る魔物の群れを探す(残り２)","Search for the remaining groups of monsters
(2 remaining)","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","6"
"8","q22018008_00_1224","残る魔物の群れを探す(残り１)","Find the group of monsters that remain
(1 remaining)","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","8"
"5","q22018008_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","5"
"7","q22018008_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","7"
"9","q22018008_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018008_00.gmd","\quest\q22018008.arc","q22018008.arc","9"
"0","q22018009_00_649","異邦の隣人愛","Love Thy Neighbor","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","0"
"1","q22018009_00_649","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【Swift Rescue Quest】
Search for the person the client is seeking
and rescue them.","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","1"
"2","q22018009_00_649","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","It seems that a voice requesting swift assistance 
has come from <NAME AREA>.","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","2"
"3","q22018009_00_649","こういうご時世だからこそ
人と人との温かい繋がりを大切にしたいんです
村の大人たちは、年若い解放軍兵士たちを
子供や孫のように温かく見守っています
みんな、親や子供を失った人たちばかりですから","Especially in times like these, we should
treasure the warm bonds between people.
The adults in the village freely care
for the young soldiers like their own
children or grandchildren. After all,
everyone here has lost family.","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","3"
"7","q22018009_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","7"
"4","q22018009_00_1226","依頼者の求める人物を捜索する","Search for the person the client is seeking.","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","4"
"5","q22018009_00_1227","魔物を迅速に討伐し捜索対象を救助する","Defeat the demon quickly and rescue your charge","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","5"
"6","q22018009_00_1228","捜索対象の安否を確認する","Confirm the safety of your charge","ui\00_message\quest_info\q22018009_00.gmd","\quest\q22018009.arc","q22018009.arc","6"
"0","q22018010_00_650","武装鬼軍の奇襲","Demon Army's Surprise Attack","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","0"
"1","q22018010_00_650","【偶発討伐クエスト】
出現した危険な魔物を追い詰め
討伐する","【Chance Encounter: Subjugation Quest】
Track down the dangerous enemy
that has appeared and defeat it.","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","1"
"2","q22018010_00_650","不確実な情報だが、<NAME AREA>から
狂暴な魔物のしわざと思われる被害報告があった","Although the information is uncertain,
there have been reports of damage
believed to be caused by violent creatures
in <NAME AREA>.
","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","2"
"3","q22018010_00_650","先日、行商に邪魔な魔物を片付けたんだ
そうしたらなんと、そいつらは
オーク共の飼い犬だったみたいでよ
周りからワラワラと援軍が集まりやがった
多勢に無勢だったから、潔く退散したよ","I took care of some troublesome monsters recently
while peddling goods. It turns out those monsters
were somehow the pet beasts of the Orcs.
Soon, more orcs came swarming in.
Outnumbered, I decided to retreat.","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","3"
"4","q22018010_00_1254","出現した魔物を討伐する","Defeat the appeared demons","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","4"
"6","q22018010_00_1256","魔物の行方を追う","Track down the demons","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","6"
"7","q22018010_00_1257","危険な魔物を追い詰め、止めを刺す","Hunt down and stop the dangerous monsters","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","7"
"5","q22018010_00_1274","魔物が落とした痕跡を調べる","Examine the traces left by the demon","ui\00_message\quest_info\q22018010_00.gmd","\quest\q22018010.arc","q22018010.arc","5"
"0","q22018011_00_651","暗躍者の露払い","Expose The One in the Shadows","ui\00_message\quest_info\q22018011_00.gmd","\quest\q22018011.arc","q22018011.arc","0"
"1","q22018011_00_651","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【Mortality Check Quest】
Listen to the requester's wish.
Defeat the ferocious enemy
without reviving even once.","ui\00_message\quest_info\q22018011_00.gmd","\quest\q22018011.arc","q22018011.arc","1"
"2","q22018011_00_651","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","Someone in the <NAME AREA> 
appears to be testing their skills
in a battle against an enemy.","ui\00_message\quest_info\q22018011_00.gmd","\quest\q22018011.arc","q22018011.arc","2"
"3","q22018011_00_651","盗賊たちは、戦時中でもたくましく
解放された遺跡なんかの火事場泥棒を
狙っているようなんだ
協力してもらう手前、強くは言えねえけど
なんだかなぁ、って感じだよな","Thieves remain resilient even in wartime,
targeting disaster-struck ruins like vultures.
I can't speak too harshly, given our need for help,
but it’s really disheartening.","ui\00_message\quest_info\q22018011_00.gmd","\quest\q22018011.arc","q22018011.arc","3"
"4","q22018011_00_1174","指定された場所へ行き、狂暴な魔物を見つける","Go to the designated location
and find the rabid demon","ui\00_message\quest_info\q22018011_00.gmd","\quest\q22018011.arc","q22018011.arc","4"
"5","q22018011_00_1175","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q22018011_00.gmd","\quest\q22018011.arc","q22018011.arc","5"
"6","q22018011_00_1176","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q22018011_00.gmd","\quest\q22018011.arc","q22018011.arc","6"
"0","q22018012_00_652","【時限採取】鬼の居ぬ間の採石道","Time Restriction: Mining Free of Demons","ui\00_message\quest_info\q22018012_00.gmd","\quest\q22018012.arc","q22018012.arc","0"
"1","q22018012_00_652","【時限採取クエスト：特殊】
エリアマスターから話を聞き
特定条件の間に採取を行い納品する","【Time Restriction Quest: Special】
Listen to the Area Master's story.
Gather and deliver within the specified time.","ui\00_message\quest_info\q22018012_00.gmd","\quest\q22018012.arc","q22018012.arc","1"
