#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"どうしたらいいのかしら
こんなはずじゃなかったわ
幸せってどうやって見つけるものだったかしら","What should I do? This isn't how it was supposed
to be.
I wonder how you're supposed to find happiness.",ui\00_message\npc\base\n3146.gmd,\npc\n3146.arc,n3146.arc,3
0,,"覚者様、ご無礼を承知で申し上げますが
見たところ、覚者様の武具はこの地の魔物には
少々不向きなご様子――","Dear Arisen, please forgive my impoliteness, but
it seems that your equipment may be a little
unsuitable for the creatures of this land...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,21
0,,"良い素材が採れる場をご案内いたしましょう
魔物が徘徊する薄暗き水路ではありますが
覚者様であれば問題にはならないはずです","Allow me to guide you to a place where you can
gather good materials.
It is a dimly lit waterway where monsters wander,
but it should not be a problem for an Arisen like
yourself.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,22
0,,"実は、悪しき竜による襲撃があった日――
同時にメガド市街に大勢のオークが姿を現したのです
城壁の外と内からの攻撃に、メガドは
一日と持ちませんでした","On the day of the evil dragon's attack, a large
horde of Orcs simultaneously appeared in the
streets of Megado.
The city fell within a day, overwhelmed by
attacks from both inside and outside the walls.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,23
0,,"今思い返しても、それが妙でして――
悪しき竜の襲撃こそ突然だったものの、それまで
街の防衛に問題はなかったのです","Even looking back on it now, it was strange—
The attack of the Evil Dragon was sudden, but
until then, there were no problems with the
defense of the town.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,24
0,,"いえ、仮に何者かが魔軍の侵入を手引きしたとして
それを察知できなかった近衛隊の落ち度ということに
変わりはありませんが――","Even if someone aided the Demon Army's
infiltration, the fact remains that it was a lapse
in judgment on the part of the Royal Guard that
they failed to detect it.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,25
0,,"しかし、我々の情報収集能力とて
低くはないと自負しています
この規模となった今も、魔物が集まりつつある場は
把握しているのですから","However, we take pride in our ability to gather
information.
Even now, at this scale, we are aware of the
areas where monsters are gathering.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,26
0,,"――我々は""メガド王宮近衛隊""
この都市と、王族をお守りするため編成されました
自力での奪還こそ叶いませんでしたが
再びここに立つことができ、感慨無量です","We are the 'Megado Royal Palace Royal Guard',
organized to protect this city and the Royal
Family.
Although we were unable to recapture it on our
own, being able to stand here once again fills us
with overwhelming emotions.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,27
0,,"近衛隊元隊長ベイジル
そしてこれまでに散っていった隊員たちの魂も
我々と共に、今ここにあることでしょう","Former Captain of the Royal Guard, Basil.
And the souls of the noble departed here with us,
now, in this very moment.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,28
0,,"時に――メガドには、王家の命により封鎖している
隠し扉がいくつか存在します","By the way—Megado has several hidden doors sealed
by the orders of the Royal Family.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,29
0,,"しかし、この非常事態です
覚者様のお力無しに状況を打開できぬことは明白
王宮近衛隊隊長の名に於いて、全てを解放いたします","However, in this state of emergency, it's clear
that we cannot overcome the situation without the
Arisen's power.
In the name of the Royal Guard's Captain, I
hereby release everything to you.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,30
0,,"城塞都市メガドが完全に""王都""として戻るまで
どうかお力をお貸しください","Until the fortress city of Megado returns
completely to the ""Royal Capital,"" please lend us
your strength.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,31
0,,"先日覚者様もご覧になったメガド回廊には
さらなる深部が存在します","In the Megado Corridor, which the esteemed Arisen
has recently witnessed, there exists even deeper
sections.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,32
0,,"脅威となる魔物が跋扈していますが
それだけ、今まで調査の手が入らなかった
場でもあります――
つまり、それだけ貴重な素材が手に入るのです","There are rampant threats from dangerous
monsters, which is why there hasn't been much
investigation in these areas until now.
In other words, it's an opportunity to obtain
valuable materials.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,33
0,,"異国の覚者様
これよりお話することは
他言無用にお願いいたします","Master Arisen of a foreign land.
I implore you to keep what I am about to divulge
to you, a secret.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,34
0,,"王家――アッカー家の方々は
代々アッカーシェランを守護してこられました
しかし、輝かしき統治には――
陰となる部分があるのです","The royal family, the Acres, have protected Acre
Selund from generation to generation.
However, even in the midst of their glorious
rule, there exists a shadow.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,35
0,,"無事のご帰還、お喜び申し上げます
アッカー家の統治無くしてアッカーシェランは無し
王家を守ることは、我らの国を守ることに
他なりません","We are delighted to welcome your safe return.
Without the rule of House Acre, there would be no
Acre Selund.
Protecting the Royal Family is tantamount to
protecting our nation, nothing less.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,36
0,,"過去の古き傷ともいうべき魔物の征伐
王家に仕える者として最大の感謝を――","Conquering the ancient wounds, so to speak, of
the monsters.
As a servant of the Royal Family, I am most
grateful--",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,37
0,,"覚者様――我々も、再び困難に
立ち向かう覚悟はできています","Master Arisen, we too are prepared to face
difficulties once again.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,38
0,,"悲観する者もいるでしょうが
ネド王子がご健在です","There may be some pessimism about, but Prince
Nedo is alive and well.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,39
0,,"それに、我々兵士とて数は減ったものの
厳戒態勢を解いたわけではありません
すぐに動くことができますから","Furthermore, although the number of soldiers may
have decreased, we have not lifted our state of
high alert. We can still move quickly.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,40
0,,"この世には、理解も及ばぬほどの
圧倒的な力があるのでしょうね
あの渦を見ていると、そう思わされます","In this world, there is an overwhelming power
that eludes comprehension.
When I behold at that vortex, that's all I can
say.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,41
0,,"メガドの民は強いものです
――不安はあるでしょうが
生きようとしています","The people of Megado are strong.
――Though they may have fears, they fight to
survive.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,42
0,,"ここまでよく来てくれた
薄暗いところだが、今のところは安全だ
少し足を休めていくといい","You've come here quite far.
It's dimly lit, but for now, it's safe.
Take a moment to rest your legs.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,0
0,,"こんなことを言うのも気が引けるが
隠れ潜むのも楽なことではない――
寝床の代価として<VAL PRICE_INN>を
貰えないだろうか","While I may be hesitant to say such things, it is
also not easy to beat around the bush—
Could I receive <VAL PRICE_INN> as compensation
for the use of my sleeping quarters?",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,1
0,,はい,Yes,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,2
0,,いいえ,No,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,3
0,,"魔軍だらけのなか、よくぞ無事で
エリ警備塔まで辿り着いてくれた――
我々も数が減って寝床が余っている状態だ
自由に休んでいってくれ","Amidst the sea of demon soldiers, it is truly
remarkable that you have safely made it to the Eli
Guard Tower.
We, too, have fewer numbers and more empty beds.
Please feel free to rest.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,4
0,,はい,Yes,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,5
0,,いいえ,No,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,6
0,,"《弱化の治療》か――
治療には物資を使わねばならない
<VAL PRICE_WEAK>あれば
準備できるが、それでもいいのか？","""Treat Weakness?""
Alas, the procedure requires resources.
If <VAL PRICE_WEAK> is available we can prepare,
but is that acceptable?",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,7
0,,はい,Yes,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,8
0,,いいえ,No,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,9
0,,"《弱化の治療》は必要ないな
ここへ来るまでに治ったんだろう","There is no need to ""Treat Weakness.""
You must have recovered before coming here.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,10
0,,"――シッ
外は魔物だらけだ
少し声を落としてくれ","Shh, there be demons out there.
Lower your voice a little.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,11
0,,"王宮が――メガドが魔軍の手に堕ちた時――
一刻も早く周辺領の諸侯たちに伝えなければと
ひたすらに走ったんだ","The Royal Palace—when Megado—fell into the hands
of the demon army, I ran tirelessly, knowing that
I had to inform the feudal lords of the
surrounding territories as soon as possible.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,12
0,,"だが、そうする必要も無いことに
すぐに気付いた",But soon I realized that I didn't have to.,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,13
0,,"危機にあったのはメガドだけではなく――
戦火はアッカーシェラン全土から
上がっていたからな","It was not just Megado that was in crisis -
the flames of war were rising from all over Acre
Selund.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,14
0,,"何が起ころうとも
メガドを見放さないと決めたのは
ドリス副隊長だ
――俺も同じ気持ちだった","No matter what happens, Vice Captain Doris made
the decision to never abandon Megado.
I felt the same way.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,15
0,,"必要な物があれば手配しますよ
ここで手に入るものに限りますがね","If there's anything you need, I can arrange it
for you.
It's limited to what we can get here, though.",ui\00_message\npc\base\n3202.gmd,\npc\n3202.arc,n3202.arc,0
0,,"メガドが襲撃された際の戦闘で
足を負傷しまして――
未だに立っていられないんです
歩く時も支え無しでは難しいですね","During the battle of Megado, I sustained an
injury to my leg--
I still can't stand, and even walking is
difficult without support.",ui\00_message\npc\base\n3202.gmd,\npc\n3202.arc,n3202.arc,1
0,,"――私がいなければ
皆もっと身軽に動けるのかもしれません
こんなところでじっとしていなくても――","...If I weren't here, everyone might be able to
move more freely.
We wouldn't have to stay still in a place like
this...",ui\00_message\npc\base\n3202.gmd,\npc\n3202.arc,n3202.arc,2
0,,"王宮近衛隊の隊士として
選ばれた日のことは忘れません
――今後剣を持って戦える日は来ないでしょう","As a member of the Royal Guard, I won't forget
the day I was chosen.
—But, it seems the day to wield a sword and fight
won't come again.",ui\00_message\npc\base\n3202.gmd,\npc\n3202.arc,n3202.arc,3
0,,"体調が悪けりゃ隣のおばちゃんな
で、戦技についての相談なら俺だ","If you're not feeling well, you can talk to the
lady next door.
And if you need advice on combat techniques, I'm
your guy.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,0
0,,"おっと、勘違いするなよ
一応俺も癒しの術は使えるんだ
これでもプリーストの端くれだからな","Oops, I should clarify.
I can also use healing magic, you know.
After all, I'm still a priest, in a way.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,1
0,,"だけど、メガドまで帰ってきたんなら
ごちゃごちゃやるより
一眠りすりゃいいんだよ、何かと","But if you've made it back to Megado, instead of
messing around, just take a nap or something.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,2
0,,"危険な任務に同行させられることが多くてさ
こうやってメガド守ってればいいってなると
逆にどうしていいかわからなくなるんだよなぁ","I end up being sent off on dangerous missions a
lot.
When it comes to simply guarding Megado like
this, I start to feel lost, not knowing what to do
instead.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,3
0,,"――ってわけで
とりあえず戦技の相談に乗ってるんだ
まぁこれはこれで楽しいけど","--For now, I'm just helping with tactics
discussions.
Well, it's fun in its own way though.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,4
0,,"まさかとは思うけど
同じアビリティを
いつでもどこでも付けっぱなし――
なんてしてないよな？","I don't think so, but you're not constantly
keeping the same Augment on at all times, right?",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,5
0,,"状況に合わせて付け替える！　これが鉄則！
じゃないと前線で生き残れないぞ","Change it according to the situation! This is the
ironclad rule!
Otherwise, you won't survive on the front line.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,6
0,,"大変なことになっちまったよな
空が歪むなんて――","It's become rather dire, hasn't it?
The sky distorting like this...",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,7
0,,"俺もまた戦闘部隊に配属されるのかな
ここの手伝いも慣れてきたところなんだけど","I guess I'll be assigned to a combat unit again.
I'm just getting used to helping out here.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,8
0,,"――ま、俺なんかが考えて
どうこうなるわけじゃない","--Well, it's not like thinking about it will
change anything.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,9
0,,"俺は従うよ
あんたとか、うちの隊長とか
王家の人とかにさ","I will obey, whether it's you, our captain, or
someone from the Royal Family.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,10
0,,"そこのおばちゃんが全然気にしてないっぽいから
なんか俺も気楽でいられるよ","That old lady over there doesn't seem to be
bothered at all.
Somehow, that puts me at ease.",ui\00_message\npc\base\n3250.gmd,\npc\n3250.arc,n3250.arc,11
0,,"覚者さま――
防具をお探しなら
いくつか見立てましょうか？","Dear Arisen,
If you are looking for armor, shall we consider a
few options?",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,0
0,,"メガドが王家の元に戻ったとはいえ
まだ、一般市民の生活を
取り戻すとまではいきませんね","Although Megado has returned to the Royal Family,
we still have a long way to go before we can
restore the lives of our citizens.",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,1
0,,"覚者さまも、居住層をぐるりと
散策されてはいかがでしょう
店も一通りは開いているようです","How about taking a stroll around the Residential
Level, Ser Arisen?
It seems that most of the shops are open as well.",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,2
0,,"私の他にもロスギルから
派兵されている兵士がいるはずです
何人残っているのかはわかりませんが","There should be other soldiers deployed from
Rothgill besides me.
I don't know how many are left, though.",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,3
0,,"あ、覚者さま――
やはり、空の渦のことで
アッカーシェランに――？","Ah, Master Arisen...
So, it's about the vortex in the sky.
To Acre Selund, then?",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,4
0,,"わからないことがありすぎて――
信じるしか、ありませんよね","There are too many things that I don't
understand...
I have no choice but to believe, right?",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,5
0,,"ロスギルからは、何の指示もありません
きっとこれまで通りメガドの再興に
協力せよとのことなのでしょう","We've received no instructions from Rothgill.
I suppose it means that we should continue to
support the revival of Megado as we have been
doing.",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,6
0,,"空の渦、少しずつ広がっていると聞きます
いずれ全てを飲み込むつもりなのでしょうか","I hear that the vortex in the sky is slowly
spreading...
Will it soon engulf all that we know?",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,7
0,,"――誰か詳しく説明してくれたら
いくぶんかは安心できると思うのですけど","If someone could tell me what's going on, I think
I'd be able to relax.",ui\00_message\npc\base\n3251.gmd,\npc\n3251.arc,n3251.arc,8
0,,"やぁ、覚者さんじゃないですか
僕にできることあればお手伝いしますよ
例えば人を集めてくるとか――","Hey, are you not Arisen?
If there's anything I can do, I'll help you out.
For example, I'm good at getting people together!",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,0
0,,"ふふ、いいですよねメガド
お姉さんもお兄さんも可愛がってくれるし
何かと――便利だし","Hehe, Megado is really great, isn't it?
Everyone dotes on me and it's really convenient.",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,1
0,,"覚者さんと話してみたいって人
多いんですよ――知ってました？
メガドを取り戻せたのも覚者さんの
お陰って、皆知ってますから！","Did you know that there are many people who want
to talk to an Arisen?
It's because everyone knows that it's thanks to
Arisen like you that we were able to reclaim
Megado!",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,2
0,,"覚者さんも飲みます？
何か取ってきましょうか？","Something to drink, Arisen?
Shall I get you something?",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,3
0,,"すみません、あの空の渦見てると
イライラしてきちゃうんです
大変なのに、僕なんかじゃ何もできないから――","Sorry, but looking at that swirling vortex in the
sky just makes me feel frustrated.
It's so daunting, and I feel like I can't do
anything about it...",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,4
0,,"メガドはどうなっちゃうんでしょう
――いや、メガドというより
アッカーシェランはどうなっちゃうんでしょう","What will happen to Megado?
--No, nevermind Megado, what will happen to Acre
Selund?",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,5
0,,"はぁ、せっかくここまで来たのに
あの渦に全部吸い込まれて
何もかもなくなって――なんて
ごめんですよ！","Ah, even though we've come all this way, to be
sucked into that vortex and lose everything...
Ah, sorry!",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,6
0,,"変な魔物、増えてるらしいですね
知り合いのお兄さんたちも
討伐に駆り出されていきましたよ","I've heard that strange monsters are increasing
in number.
Even my friends' older brothers have been sent
out to defeat them.",ui\00_message\npc\base\n3252.gmd,\npc\n3252.arc,n3252.arc,7
0,,"やっ、こんにちは
何か売る？　それとも買う？","Oh, hello there!
Looking to trade?",ui\00_message\npc\base\n3253.gmd,\npc\n3253.arc,n3253.arc,0
0,,"「あっ、アレが１個足りない！」なんて時に
わざわざ自力で調達しにいくなんて
ばからしいでしょ
買えばいいんだよ、買えば","When you find yourself saying, ""Oh, I'm missing
one of those!""
Why go to the trouble of procuring it yourself?
That's ridiculous, right?
Just buy it, that's all you have to do, just buy
it.",ui\00_message\npc\base\n3253.gmd,\npc\n3253.arc,n3253.arc,1
0,,"あーうんうん、なるほど
ちょっと手持ちが足りないって顔してるね
そんなら売ろう、何か要らない物あるでしょ
それをバザーで売っちゃえばいいよ","Ah, I see. You're making a face like you're a bit
short on funds.
If that's the case, why not sell something?
I'm sure you have something you don't need.
You can just sell it at the Bazaar.",ui\00_message\npc\base\n3253.gmd,\npc\n3253.arc,n3253.arc,2
0,,"倉庫の整理にもバザー活用！
半端に残ったものはサクッと売っちゃってさ
必要な時に買えばいいんだよ","Utilize the bazaar for organizing your storage!
Quickly sell off the leftover items, then just
buy what you need when necessary.",ui\00_message\npc\base\n3253.gmd,\npc\n3253.arc,n3253.arc,3
0,,"なぁ、何か知ってたら教えてくれよ
怖い噂ばっか聞くんだよなぁ","Hey, if you know anything, let me know.
All I hear are these fearful rumors.",ui\00_message\npc\base\n3253.gmd,\npc\n3253.arc,n3253.arc,4
0,,"大丈夫だよ、きっと大丈夫
あ、倉庫の整理とかしとく？
ほら、万が一の時に――
ってすべてが滅んだらそれも意味ないか――","It's okay, I'm sure everything will work out.
Ah, should I take care of organizing the storage?
You know, just in case something happens.
Although it wouldn't really matter if everything
is destroyed...",ui\00_message\npc\base\n3253.gmd,\npc\n3253.arc,n3253.arc,5
