0,TUTORIAL_STEP_686,"カスタムメイド工房での<COL ffdc78>《武具のリミット解除》</COL>は
下記の２つを揃えることで
何度でも行うことができます

　①★４まで強化された武器や防具
　②素材やリムなどの必要な費用

また、付与される性能は
<COL ffdc78>リミット解除を試すたびに上書きされる</COL>ため
成功時に付与される性能例を
確認しながら行いましょう","In the <COL ffdc78> ""Limit Breaking Arms"" </COL> at the Custom-Made Workshop, you can perform it as many times as you want by obtaining the following two things:

① Weapons and armor enhanced up to ★4
② Required costs such as materials and Rift Crystals

Also, the <COL ffdc78>granted abilities are overwritten every time you attempt the Limit Break</COL>, so let's proceed while confirming examples of granted abilities upon success.",ui\00_message\tutorial_guide\steps\tutorial_guide_step384.gmd,\tguide\tutorial_guide_384.arc,tutorial_guide_384.arc,0
0,TUTORIAL_STEP_725,"フィールドには、<COL ffdc78>プレイヤーが操作可能な大砲</COL>が
設置されていることがあります

砲身に<COL ffdc78>《王家の紋章》</COL>が装飾されているので
見つけた際には積極的に活用しましょう","On the field, there may be an <COL ffdc78>artillery that players can operate</COL>, decorated with the <COL ffdc78>Royal Coat of Arms</COL>. 

When you find it, make sure to use it!",ui\00_message\tutorial_guide\steps\tutorial_guide_step391.gmd,\tguide\tutorial_guide_391.arc,tutorial_guide_391.arc,0
1,TUTORIAL_STEP_726,"大砲では、砲弾による強力な攻撃が可能です

＜基本操作＞
【<PADM>右スティック<KEYM>マウス移動</KEYM>】　照準を合わせる
【<KC TOUCH>】　砲弾を発射する

※発射後、砲弾は自動でリロードされます

また、砲弾による攻撃は、戦甲種の《戦甲》や
破壊可能な扉、敵陣の旗の破壊に
有効な手段となります","Cannon allows powerful attacks with artillery shells

＜Basic Operation＞
【<PADM>Right stick<KEYM>Mouse movement</KEYM>】 Aiming
【<KC TOUCH>】 Firing artillery shells

※After firing, the shells are reloaded automatically

In addition, artillery shell attacks are an effective way to destroy 《War Ready》armor types, destructible doors, and flags in enemy positions.",ui\00_message\tutorial_guide\steps\tutorial_guide_step391.gmd,\tguide\tutorial_guide_391.arc,tutorial_guide_391.arc,1
2,TUTORIAL_STEP_773,"大砲には<COL ffdc78>耐久力</COL>があります
耐久力はゲージで表示されています

敵から攻撃を受けることで耐久力が減少し、
耐久力がなくなると大砲が壊れて使用ができなくなります","The cannon has <COL ffdc78>Durability.</COL>

Durability is displayed as a gauge.

Durability decreases when attacked by enemies.

When Durability runs out, the cannon breaks and cannot be used.",ui\00_message\tutorial_guide\steps\tutorial_guide_step391.gmd,\tguide\tutorial_guide_391.arc,tutorial_guide_391.arc,2
0,TUTORIAL_STEP_727,"<COL 78f5ff>絶望の大陸 第三節：「王都の決戦」到達！</COL>

　“ひととき目覚めた精霊竜の力に支えられ
　　覚者は黒き刃を退けた

　　展望城に引き続き奪還したは
　　王家の栄華そのものである城塞都市メガド

　　しかし巨大な都の全てを守るには
　　彼の腕はまだか弱く小さい――”","<COL 78f5ff>The Land of Despair, Part 3：""The Final Battle of the Royal Capital"" is reached!</COL>

""Supported by the power of the spirit dragon that awakened for a moment,
the Arisen repelled the black blade.

Following the Lookout Castle, they recaptured the Fortress City Megado, the very glory of the royal family.

But to protect all of the huge city, their arms are still too weak and small-- """,ui\00_message\tutorial_guide\steps\tutorial_guide_step392.gmd,\tguide\tutorial_guide_392.arc,tutorial_guide_392.arc,0
1,TUTORIAL_STEP_728,"精霊竜セシリー、そしてミシアルの導きにより
あなたは黒騎士に奪われた竜力を
取り戻すことに成功

さらには巨大な城塞都市メガド、その居住層の
奪還をも果たしました

かつては王都として栄華を誇った壮麗なるメガド
住民すらも全てを知らぬという広い都市には
まばゆい光に照らされ出でた影すらも
暗躍しているようです","With the guidance of Cecily, the spirit dragon, and Mysial,
you succeeded in regaining the Dragon Force stolen by the black knight and even succeeded in recapturing the huge Fortress City Megado and its residential layer.

Megado, once a magnificent royal capital, is a large city where even the residents do not know everything,
and shadows appear even in the dazzling light. 

Even the shades that once were seem to be lurking in the shadows!",ui\00_message\tutorial_guide\steps\tutorial_guide_step392.gmd,\tguide\tutorial_guide_392.arc,tutorial_guide_392.arc,1
0,TUTORIAL_STEP_733,"<COL 78f5ff>《ポーンの特技》が解放されました！</COL>

ポーンの特技とは
<COL ffdc78>ポーンの活躍の場を増やす、新しいサポート技</COL>です

その技の種類は多様です
自身の能力を引き上げたり、体力を回復したり
時には、覚者を蘇生してくれたりもするでしょう

あなたのポーンは既に１つ特技を覚えているので
一緒に冒険して確かめてみて下さい！","<COL 78f5ff>""Pawn Special Skills"" unlocked!</COL>

What are Pawn Special Skills?
<COL ffdc78>These are a new type of support skill
for pawns.</COL>
There are several types of skills.
Such as increasing ones own abilities or
recovering health.
Occasionally, they can even revive the Arisen!
Your pawn already has 1 special skill
learned, so be sure to check that out.",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,0
1,TUTORIAL_STEP_735,"特技は、ポーンと共に冒険することで<COL ffdc78>《閃き》</COL>ます

閃いた特技は、自室のベル(※)にてセットが可能です
セット数が多いほど、特技が発動しやすくなるので
閃いた特技は忘れずにセットしましょう

(※)パーソナルクエスト＜不思議な呼び鈴＞を
　  クリアすると手に入ります","While adventuring with your pawns 
they will become <COL ffdc78>""Inspired""</COL>.

You can set inspired skills with the
bell (※) in your room.
The more skills you set, the easier they
are to activate so be sure to set them.

　※Acquired by completing Personal Quest
　　""Mysterious Summoning Bell"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,1
2,TUTORIAL_STEP_734,"特技には<COL ffdc78>《特技ランク》</COL>があり
高いほどより強力な効果で特技が発動しやすくなります

　天：もっとも高いランク
　空：高いランク
　地：通常のランク

特技は閃いた時に
<COL ffdc78>《取得》</COL>か<COL ffdc78>《破棄》</COL>を選択できます
破棄すると、次の機会に
より高ランクな特技を閃きやすくなります","There are different <COL ffdc78>""Skill Ranks""</COL>.
The higher the rank, the stronger the effect.

　Heaven: Highest Rank
　Sky: High Rank
　Earth: Normal Rank

When inspired with a skill you have the
choice to <COL ffdc78>""Acquire""</COL> or <COL ffdc78>""Discard""</COL>.
If you discard it, the next time they're inspired
there is a better chance for a higher rank.",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,2
3,TUTORIAL_STEP_736,"《閃き》はサポートポーンの影響を
受けることもあります

サポートポーンを一緒に連れて冒険すると
サポートポーンが覚えている特技をポーンが
閃きやすくなります

狙いたい特技がある時には
すでにその特技を覚えているサポートポーンを
探して雇用してみましょう！","Support pawns also have an
effect on ""Inspiration"".

If you bring a support pawn along on
an adventure, your pawn has a higher
chance of learning their Special Skills.

If there is a specific skill you want,
go hire a support pawn that has
already learned it!",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,3
0,TUTORIAL_STEP_737,"<COL 78f5ff>パーティーメンバーの
自室へ訪問できるようになりました！</COL>

パーティーメンバーがいる状態で
白竜神殿にいる宿屋のバートンに話しかけ
<COL ffdc78>《他人の自室訪問》</COL>を選択することで訪問できます

また、<COL ffdc78>《自室訪問設定》</COL>を選択すると
自室への訪問を許可するかどうかの設定を
行うことができます","<COL 78f5ff>You can now visit Party members rooms!</COL>

While party members are present, speak to Barton at the inn in the White Dragon Temple, and select <COL ffdc78>""Visit Another's Room""</COL> to visit their rooms.

Alternatively, you can select <COL ffdc78>""My Room Visit Setup""</COL> to determine whether visits to your own room are allowed.",ui\00_message\tutorial_guide\steps\tutorial_guide_step394.gmd,\tguide\tutorial_guide_394.arc,tutorial_guide_394.arc,0
0,TUTORIAL_STEP_729,"アッカーシェランの火山地帯には<COL ffdc78>《マグマ》</COL>があり
触れると一定間隔でダメージを受けてしまいます

深い場所に入るほどダメージ量も増え
覚者の移動速度も低下します

あまりにも深い場所に入ると
燃え尽きてしまい、死亡状態となります
　※その場合は、最後にいた陸地に戻されます","In the volcanic region of Acre Selund, there is <COL ffdc78>《Magma》</COL>, which will cause damage at regular intervals if touched.
 
The deeper you go, the greater the amount of damage and the slower the movement speed of the Arisen.

If you go too deep, you will burn out and enter a dead state, and in that case, you will be returned to the last solid ground you were on.",ui\00_message\tutorial_guide\steps\tutorial_guide_step395.gmd,\tguide\tutorial_guide_395.arc,tutorial_guide_395.arc,0
0,TUTORIAL_STEP_738,"エリアランク到達により、各地に存在する
<COL ffdc78>《王家によって封印されていた扉》</COL>が解放されます

扉の先には
貴重な宝物やそれを守る強敵など
さまざまな試練が待ち構えています

※扉は人目に付きにくい場所にあるので
　注意深く探索しましょう","By reaching the Area Rank, the <COL ffdc78>""Doors Sealed by the Royal Family""</COL> that exists in various locations will be opened.

Beyond the door, various trials await, such as valuable treasures and formidable enemies that protect them.

※ The doors are located in inconspicuous places, so let's search carefully.",ui\00_message\tutorial_guide\steps\tutorial_guide_step396.gmd,\tguide\tutorial_guide_396.arc,tutorial_guide_396.arc,0
0,TUTORIAL_STEP_740,"一部のエピタフロードでは
<COL ffdc78>全ての試練を解放することで挑戦できる
《大試練》をクリアすると、初回報酬として
貴重な装備の素材が入手できます</COL>
※初回報酬の受け取りは毎週リセットされます

大試練クリア後は
同じ区画の試練をクリアした際にも
素材がドロップするようになります","In some parts of the Epitaph Road,
<COL ffdc78>you can challenge the ""Great Trials"" by unlocking all trials. 
When you clear the ""Great Trials"", you can receive valuable equipment materials as a first-time reward</COL>.
Please note that the first-time rewards are reset every week.

After clearing the ""Great Trials"", you will also receive materials when you clear trials in the same section.",ui\00_message\tutorial_guide\steps\tutorial_guide_step397.gmd,\tguide\tutorial_guide_397.arc,tutorial_guide_397.arc,0
1,TUTORIAL_STEP_800,"＜試練報酬の確認＞

《報酬を確認する》では
試練クリア時に入手できるアイテム一覧と
入手数の確認ができます","<Rewards>

In ""Rewards,"" you can see a list of items that can be obtained when clearing a trial and check the number of items obtained.",ui\00_message\tutorial_guide\steps\tutorial_guide_step397.gmd,\tguide\tutorial_guide_397.arc,tutorial_guide_397.arc,1
2,TUTORIAL_STEP_793,"＜新しい区画＞

エピタフロードの入口を守っている
NPCに話しかけることで
新しい区画の解放が可能です

<COL ffdc78>パーティプレイでは、リーダーの
解放状況がメンバーに反映されます</COL>","<New Area>

By speaking to the NPC guarding the entrance of Epitaph Road, you can unlock a new area.

<COL ffdc78>In party play, the leader's unlocking status will be reflected for the members.</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step397.gmd,\tguide\tutorial_guide_397.arc,tutorial_guide_397.arc,2
0,TUTORIAL_STEP_741,"<COL ffdc78>《黒呪の迷宮》</COL>は
探索のたびに、出現する敵や
入手できるアイテムが変わる
特殊なダンジョンを攻略するコンテンツです

1度手に入れた報酬や特別な宝箱は
《黒呪の迷宮リセット券》を使用する事で
再び入手が可能になり、繰り返し挑戦できます

※《黒呪の迷宮リセット券》は1週間に1度
　　黒呪の迷宮を訪れると補充されます","<COL ffdc78>""Bitterblack Maze""</COL> is a special dungeon
where the enemies and treasure change each
time you enter.

You can use a ""Bitterblack Maze Reset Ticket""
to reset chests and rewards, allowing you to
collect them again.

※""Bitterblack Maze Reset Ticket"" will restock
　each week after visiting Bitterblack Maze.",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,0
1,TUTORIAL_STEP_742,"黒呪の迷宮は、隔絶された世界ゆえに
レスタニアでの容姿とは違う姿で
冒険することができます

容姿は<COL ffdc78>黒呪の迷宮へと足を踏み入れる際
1度だけ変更可能</COL>です

※覚者の名前は変更できません","Bitterblack Maze is isolated from the
world, so you can travel it with a different
appearance.
	
Your appearance <COL ffdc78>can only be
changed upon your  first entrance to
Bitterblack Maze.</COL>

※You cannot change the name of the Arisen.",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,1
2,TUTORIAL_STEP_743,"コンテンツの進行状況は
キャラクターデータとして保存され
<COL ffdc78>いつでも進行の途中から始めることが可能</COL>です

<COL ffdc78>特定のエリアをクリアすることで
進行が保存される</COL>ので、最後まで諦めずに
クリアを目指して頑張りましょう！","Your character data is saved during
progression, <COL ffdc78>so you can resume
progress at any time</COL>.

<COL ffdc78>Progress is saved when you clear a specific area</COL>,
so try to reach all the way to the end!",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,2
3,TUTORIAL_STEP_798,"案内人リュカに《探索結果の報告》を行うことで
《金竜の印》、《銀竜の印》、《赤竜の印》を
報酬として受け取ることができます

・金竜の印　<COL ffdc78>所持上限 30個</COL>
　　《黒呪アイテムの持ち帰り》に使用します
・銀竜の印　<COL ffdc78>所持上限 150個</COL>
　　集めることで黒呪アイテムと交換できます
・赤竜の印　<COL ffdc78>所持上限 99999個</COL>
 　《黒呪装具の効果封印》に使用します","When you ""Report Search Results"" to the
guide Lyka you will recieve ""Gold Dragon Marks"",
""Silver Dragon Marks"", and ""Red Dragon Marks"".

・Gold Dragon Marks: <COL ffdc78>maximum amount x30</COL>
　Used for ""Bitterblack Item Takeaway"".
・Silver Dragon Marks: <COL ffdc78>maximum amount x150</COL>
　Can be exchanged for Bitterblack Items.
・Red Dragon Marks: <COL ffdc78>maximum amount x99999</COL>
　Used for ""Bitterblack Maze Effect Seal"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,3
4,TUTORIAL_STEP_788,"黒呪の迷宮については
チュートリアルガイドのカテゴリ<COL ffdc78>《黒呪の迷宮》</COL>に
まとまっています

プレイしていて分からないことや
気になることがあった時は
まずチュートリアルガイドを確認してみましょう","Bitterblack Maze tutorials are gathered in
the ""Bitterblack Maze"" tutorial guide category.

If there is something you don't understand
consult the tutorial guide.",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,4
0,TUTORIAL_STEP_744,"黒呪の迷宮にある《黒呪の宝箱》からは
様々な効果の付与されたジュエリーを
入手することができます

また、《黒呪のディードボックス》を
鑑定交換することでも
それらのジュエリーを入手できます","You can acquire jewelry with various
effects from the ""Bitterblack Chests"" inside
Bitterblack Maze.

You can also acquire jewelry from appraising
""Bitterblack Deed Boxes"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step399.gmd,\tguide\tutorial_guide_399.arc,tutorial_guide_399.arc,0
1,TUTORIAL_STEP_799,"鑑定交換する前に
《黒呪装具の効果封印》をしておくことで
<COL ffdc78>自分にとって不要な効果をあらかじめ封印できます</COL>

不要な効果を封印すると
その効果が発動することがなくなるため
<COL ffdc78>自分の欲しい効果が付与される確率が上がります</COL>","Before appraising, if you use
""Bitterblack Maze Effect Seal"" <COL ffdc78>you can seal
unwanted effects</COL>.

If you seal an unwanted effect it will no longer
show up, <COL ffdc78>so desired effects will become more
frequent</COL>.",ui\00_message\tutorial_guide\steps\tutorial_guide_step399.gmd,\tguide\tutorial_guide_399.arc,tutorial_guide_399.arc,1
0,TUTORIAL_STEP_100,"<COL ffdc78>《レスタニアニュース》は、
現在各地で起こっているさまざまなトピックが
掲載される、この世界の冒険ガイドです</COL>

神殿のセネカや、【<KC UI_GAME_MENU>】ゲームメニュー
<COL ffdc78>《クエスト》</COL>から読むことができます

配信中のワールドクエストやイベントなど
開催情報はここをチェックしましょう","<COL ffdc78>""Lestania News""
Things happening in all of Lestania are published here,
this is the guide to adventure of this world.</COL>

You can read it by talking to Seneka or from the [<KC UI_GAME_MENU>]
<COL ffdc78>""Quest""</COL> menu.

You can check information about 
available ""World Quests"" and ""Grand Quests"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step40.gmd,\tguide\tutorial_guide_40.arc,tutorial_guide_40.arc,0
1,TUTORIAL_STEP_99,"<COL ffdc78>掲載されているクエストを遊びたい人
同士のクイックパーティーや、最寄り拠点への
リム転移も可能です</COL>

また地域メニュー上の<COL ffdc78>《本日のパーティーボーナス》</COL>
対象のクエストは、他のプレイヤーとパーティーを
組んでクリアするとボーナス報酬が
得られるもので、内容はデイリーで変化します

レスタニアニュースは日々チェックしましょう","<COL ffdc78>You can do a ""Quick Party""
if you want to play a quest with other people,
You can also teleport near the Quest Area.</COL>

Also on the menu there is <COL ffdc78>""Today's Party Bonus"".</COL>
This is a bonus gained when you clear a quest with a party.
The bonus changes every day!
   	
Be sure to check the ""Lestania News"" daily!",ui\00_message\tutorial_guide\steps\tutorial_guide_step40.gmd,\tguide\tutorial_guide_40.arc,tutorial_guide_40.arc,1
