0,3,"Maybe I should take a short rest. Since no one is
lending a hand.",\npc\n0591.arc,n0591.arc,ui\00_message\npc\base\n0591.gmd,"少し休もうかしら
誰も手を貸してくれないんだもの",
0,2,"You see, I once tried to become a swordsman!
Well, that was when I was a kid.",\npc\n0602.arc,n0602.arc,ui\00_message\npc\base\n0602.gmd,"こう見えても俺、前に
剣士を目指したこともあるんだぜ！
まぁ、子供の頃の話だけど",
0,3,"Shields are also heavy when you hold them all the
time. I guess I should have bought a lighter one.",\npc\n0602.arc,n0602.arc,ui\00_message\npc\base\n0602.gmd,"盾もずっと持ってると重いんだよな
もうちょっと軽い盾を買えばよかったかなぁ",
0,0,Huh!? Is there something you need—,\npc\n0603.arc,n0603.arc,ui\00_message\npc\base\n0603.gmd,ぬっ！？　何かご用でも――,
0,1,"To reflect on oneself, I am wandering around
various places that have been disturbed by war.",\npc\n0603.arc,n0603.arc,ui\00_message\npc\base\n0603.gmd,"己自身を見つめ直すため
戦に乱れた各地を行脚しておるのです",
0,2,"The devastated landscape, what wells up in my
heart when I see it—I want to find out what it is.",\npc\n0603.arc,n0603.arc,ui\00_message\npc\base\n0603.gmd,"荒廃した景色、それを見て己が心に
湧きあがるもの――
私はそれを見極めたい",
0,3,"I even left the world for a time and went into
seclusion
- and I didn't see anything!",\npc\n0603.arc,n0603.arc,ui\00_message\npc\base\n0603.gmd,"一時は世を捨て、隠遁生活を送ったことも
ありますがね――そうしたところで
私には何も見えてこなかったのです",
0,0,What? You're staring at me.,\npc\n0604.arc,n0604.arc,ui\00_message\npc\base\n0604.gmd,何？　じろじろ見ちゃって,
0,1,"I don't want to be a bother— that is, I'll be
polite and respectful, but other than that, I
mean.",\npc\n0604.arc,n0604.arc,ui\00_message\npc\base\n0604.gmd,"面倒事はごめんよ
――そりゃ、義理や礼儀は通すけどさ
それ以外でってこと",
0,2,"What's wrong, are you looking for someone? No, it
only seemed that way.",\npc\n0604.arc,n0604.arc,ui\00_message\npc\base\n0604.gmd,"どうしたの、誰か探してるの？
いえ、そんな風に見えたってだけなんだけど",
0,3,"--I feel like I get into trouble a lot.
I don't know why.",\npc\n0604.arc,n0604.arc,ui\00_message\npc\base\n0604.gmd,"――あたし、どうも面倒事に
まきこまれやすい気がするのよね
どうしてだろう",
0,0,"Well, what happened?",\npc\n0605.arc,n0605.arc,ui\00_message\npc\base\n0605.gmd,まあ、どうなさいました？,
0,1,"If there is anything I can assist you with, I
would be delighted to lend a hand.",\npc\n0605.arc,n0605.arc,ui\00_message\npc\base\n0605.gmd,"私でお力になれることなら
よろこんで手をお貸ししますわ",
0,2,"My hometown is far away. And even though it is
small, it is a securely fortified castle, So my
family is safe.",\npc\n0605.arc,n0605.arc,ui\00_message\npc\base\n0605.gmd,"私の故郷は離れていますし
小さいながらも守りの固い城に
住んでおりますから、家族も無事ですよ",
0,3,"It is at times like this that we should reach out
to those around us--
That's why I came all the way here!",\npc\n0605.arc,n0605.arc,ui\00_message\npc\base\n0605.gmd,"このような時こそ
周りの方に手を差し伸べるべきだと――
そう思って、はるばるこちらへ参りましたの",
0,0,"There are many legends about the ""Heroic Spirit
Sleeping Path,"" and even children are familiar
with it through fairy tales.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"《英霊眠りし道》についての伝承は多いのです
子供もおとぎ話を通して知っていますよ",
0,1,"The inside is filled with earth and sand, so the
so-called ""grave robbers"" won't come here either!",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"中は土砂で埋まっているので
いわゆる“墓場荒らし”もここにはやってきません",
0,2,"It's a place associated with the royal family,
but that's why there's only one guardian.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"王家ゆかりの地であるのに、番人が
自分一人なのはそのせいですね――",
0,3,"I've stepped inside a few times myself because of
the management-- Well, I've only peeked in to
where there's no sediment.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"自分も中には何度か足を踏み入れています
管理のこともありますから――
まぁ、土砂が無いところまで覗く程度ですが",
0,4,"Hah, Ser Arisen! Welcome, please come in",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"はっ、覚者様！
ようこそおいでくださいました",
0,5,"The Heroic Spirit Sleeping Path is different from
a normal dungeon. It may be difficult to conquer
without equipping a certain level of weapons and
armor.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"英霊眠りし道は普通のダンジョンとは異なります
ある程度の武具を揃えて挑まなければ
踏破は難しいのではと――",
0,6,"Furthermore, there are also passageways that are
filled with sediment internally. There will no
longer be any inflow of sediment, so it would be
good to remove it just once.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"また、内部は土砂で埋まっている通路もあります
もう土砂が流れ込むことはありませんから
一度でも撤去できればいいのですが",
0,7,"Arisen, please be careful-- If you feel any
danger, Please come back immediately.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"覚者様、お気をつけて――
危険を感じられたら
すぐに戻ってきてくださいね",
0,8,"You can now re-enter from your pioneering
location! I thought this would help us make more
progress in our investigation of the interior.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"開拓後の場所から
再突入できるようになりましたよ！
これで内部の調査がより捗るかと",
0,9,"Do you want to re-enter the place after
development?",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,開拓後の場所から再突入しますか？,
0,10,Yes,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,はい,
0,11,No,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,いいえ,
0,12,"Please wait a moment while the party leader
selects the destination.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"パーティーリーダーが行き先を
選ぶまで、少々お待ちください",
0,13,"The party leader is waiting.
Will you enter the Heroic Spirit Sleeping Path?",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"パーティーリーダーが待っていらっしゃいますよ
《英霊眠りし道》へ突入しますか？",
0,14,Yes,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,はい,
0,15,No,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,いいえ,
0,16,"Please be careful when heading inside.
How about a status check first?",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？",
0,17,Enter Dungeon,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,ダンジョンに入る,
0,18,Check Reclamation Status,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,開拓状況確認,
0,19,Check Acquired Rewards Status,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,報酬取得状況確認,
0,20,"I can't believe all the roads have been opened
up—!",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,まさか、全ての道を拓かれるとは――！,
0,21,"Actually, in the legend, it is said that by
opening up all paths, one can receive the final
trial.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"実は――伝承では
全ての道を拓くことで
最後の試練が受けられると言われているんです",
0,22,"At the same time that the Arisen paved the way
for everything, a change occurred in the unopened
door, as if it were resonating!",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"覚者様が全ての道を拓いたと同時刻に、
開かずの扉に変化が起きました
まるで、共鳴するみたいにです",
0,23,"The final trial is surely waiting beyond the
sealed door. When you're ready to face the last
trial, please don't hesitate to contact me.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"最後の試練が待ち受けるのは
きっと開かずの扉の先なのでしょうね
――最後の試練に向かわれる時は
ぜひ声をかけてください",
0,24,"Please be careful when heading inside.
How about a status check first?",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？",
0,25,Enter Dungeon,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,ダンジョンに入る,
0,26,Check Reclamation Status,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,開拓状況確認,
0,27,Check Acquired Rewards Status,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,報酬取得状況確認,
0,28,Challenge Final Ordeal,\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,最後の試練に挑む,
0,29,"I see that you are heading for the final ordeal.
I will now unseal the door.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"最後の試練に向かわれるのですね
それでは、扉の封印を解除しておきます",
0,30,"Beyond that point, more difficult challenges than
ever before may await you!",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"あの先には、今までより困難な試練が
待ち受けているかもしれません",
0,31,"Please proceed with caution. We pray for your
success. We believe in the return of the Arisen!",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"心して向かってください
ご武運をお祈りします
――覚者様のお戻りを信じておりますので！",
0,32,"Ser Arisen, I'm sorry but it is quite dangerous
to proceed inside with such weaponry.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"覚者様、申し訳ありませんが
そのような武具で内部に進まれるのは
かなり危険かと――",
0,33,"As a guardian, I cannot simply expose the
esteemed Arisen to danger. Please come again after
preparing your equipment.",\npc\n0606.arc,n0606.arc,ui\00_message\npc\base\n0606.gmd,"番人として、覚者様をみすみす危険に
晒すわけにはいきません
武具を整えてから、もう一度いらしてください",
0,0,"Hey, are you the Arisen of the White Dragon?",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,やあ、あんたが白き竜の覚者さんか,
0,1,"Can you gather the power scattered at this shrine
and bring it here?",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"このほこらに分散している
私の力を集めて
ここまで持ってきてくれないかい？",
0,2,"If you do that, then I can lend you my
strength—after all, I don't have any power right
now.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"そうすれば、あんたに力を貸してやれる――
何せ今は何の力も無くってね",
0,3,"Thanks, you've done a great job collecting them.
It's made me feel like I'm on to something.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"ありがとう、よく集めてきたね
おかげで何かといい感じだよ",
0,4,"From what I can see, you could probably delve
even deeper -",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"見たところ、あんたなら
もっと深くまで潜ることもできそうだし――",
0,5,"Now, look here.
Just some earth and sand.
If only I regain my strength, it's nothing.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"さぁ、見てな
土砂ごとき、力さえ戻ればこんなもんさ",
0,6,"How about it? I cleared away the debris and made
a path. You should be able to proceed now.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"どうだい？
土砂をどけて、道を作っておいたよ
これで先に進めるだろう",
0,7,"If you're as good as you say you are,
you'll get to the treasures that lie ahead, won't
you?",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"あんたほどの実力があるなら
この先に眠る宝物にもたどり着けるんじゃない？",
0,8,"I'm counting on you— Ah, I haven't had this much
fun in a while.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"期待してるよ――
ああ、久しぶりに楽しかった",
0,9,"Sorry, it's more packed with sediment than I
thought. It's taking longer than expected.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"すまないけど、思ったより
土砂が詰まっててね
さすがに時間がかかってしまってるんだ",
0,10,"Can you give me a little more time? No, I've got
a plan.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"もう少しだけ時間をくれない？
なに、目途は立ってるからさ",
0,11,"Hahaha, don't make such a bewildered face. I just
want to support you.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"ふふふ、そう怪訝な顔をしないで
あんたの力になりたいだけさ",
0,12,"The prince is still young, right? Yes, Prince
Nedo—",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"まだ王子は幼いんだろ？
そうそう、ネド王子――",
0,13,"You don't have to worry about it because I'm not
that extraordinary either. In the past, it was
just that I was strong physically - Hahaha.",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"そう気を遣わなくていいさ
私だってそんな大層な人間じゃないからさ
昔ね、腕っぷしが強かっただけだよ――ハハハ",
0,14,"Oh, your companions, aren't they already carving
their own path?",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"あれ、あんたの仲間は
すでに道を拓いてるんじゃない？",
0,15,"If you follow the power of your companions
you may be able to temporarily open the path",\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,"これなら仲間の力をたどって
一時的に道を開くことができそうだよ",
0,16,Explore normally.,\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,通常開拓する,
0,17,Follow the power of your companion,\npc\n0607.arc,n0607.arc,ui\00_message\npc\base\n0607.gmd,仲間の力をたどる,
0,0,"Ah, good day. You, the Arisen who has come from a
distant place.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"ふふ、ごきげんよう
遠いところからやってきた覚者さん",
0,1,"Hey, you already know the answer to that, don't
you?
You're going to gather all the power scattered
around here and give it to me.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"ねぇ、もうわかってるんでしょう？
この辺りに散らばった力を集めて
わたしにくれないかしら",
0,2,"Right now we're doing our best just showing up
like this--
but we want to help you!",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"今のわたしたちは
こうして姿を現すだけで精一杯――
だけど、あなたに協力したいのよ",
0,3,"Thanks, if it works for a little while, this
should be enough.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"ありがとう、少しの間動くなら
これで十分よ",
0,4,"Now, I need you to go deeper—",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"さて、あなたにはもっと深くまで
行ってもらわないとね――",
0,5,"It should be beneficial for the royal family for
me to assist you. Now, let's blow away that
obstruction.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"あなたに協力することが
王家のためになるはずですもの
さぁ、邪魔な土砂は吹っ飛ばしてしまいましょう",
0,6,"I've cleared away the debris. This should be
passable, right?",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"土砂を片付けたわよ
これなら通れるでしょう？",
0,7,"I'll say this, counting on your strength, go
deeper without giving up.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"あなたの力を見込んで言うわ
もっと深くまで、諦めずに進んでね",
0,8,"Call me egotistical, but-- I don't want to see
the end of this country just yet.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"エゴといわれても仕方ないけど――
まだ、この国の終わりをみたくは無いの",
0,9,"I'm sorry, but I'm in a hurry, so it might take a
little longer...",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"ごめんね、急いではいるんだけど
もう少しかかりそう――",
0,10,"But I'm sure we'll get it done.
Helping you will be for the good of the royal
family.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"だけど、きっとやり遂げるわ
あなたに協力することが
王家のためになるはずですもの",
0,11,"The reason we can exist like this is essentially
because of the Dragon Force that pervades this
place. It's easy for that kind of power to
accumulate here.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"わたしたちがこうしていられるのも
ようするに、この地に充満した
竜力みたいなモノのお陰――
そういう力が溜まりやすいのよね、ここって",
0,12,"If we could go, we would also venture out of
here— but we can only maintain our presence here.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"出られるものなら、わたしたちだって
ここを飛び出して行くわ――
でも、ここでしか姿を保てないんですもの",
0,13,I am Isel-- You probably don't know my name.,\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"わたしはイゼル――
あなたはきっと、私の名をご存じないだろうけど",
0,14,"Worrying is not in my nature. Let me go where the
fighting is.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"この弓で何度、王家を狙う不届き者を射抜いたことか
でも、今はそうすることもできないのよね
歯がゆいわ",
0,15,"Oh, looks like your fellow is already blazing a
trail.",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"あら、あなたのお仲間さんは
もう道を拓いているようね",
0,16,"We can temporarily open a path by following the
power of your comrades. What do you want to do?",\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,"お仲間さんの力をたどって
一時的に道を開くこともできるわよ
どうする？",
0,17,Explore normally,\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,通常開拓する,
0,18,Follow the power of your companion,\npc\n0608.arc,n0608.arc,ui\00_message\npc\base\n0608.gmd,仲間の力をたどる,
0,0,"I have served the Acre royal family.
My name is Damad.
I will guide you from now on.",\npc\n0609.arc,n0609.arc,ui\00_message\npc\base\n0609.gmd,"私はアッカー王家に仕えてきた
ダーマードという――
貴殿をこの先へ導こう",
0,1,"Gather the power that lies within the dust and
come to me, and I will sweep away the sediment
that fills this place!",\npc\n0609.arc,n0609.arc,ui\00_message\npc\base\n0609.gmd,"ほこらの中にただよう力を
私の元まで集めてきてくれないか
さすれば、ここを埋める土砂を一掃してみせよう",
0,2,"You did well. If only this much strength can
return, we should be able to clear this path.",\npc\n0609.arc,n0609.arc,ui\00_message\npc\base\n0609.gmd,"――よくやってくれた
これだけの力が戻れば
この道を拓く程度のことはできるだろう",
0,3,"Let's clear away the debris and do our best to
ensure this path won't be blocked again. I swear
it on the soul of the sword that once belonged to
the king.",\npc\n0609.arc,n0609.arc,ui\00_message\npc\base\n0609.gmd,"土砂を一掃し、二度とこの道が
埋まらぬよう力を尽くそう
かつて王の剣であったこの魂にかけても",
0,4,"Go ahead, White Dragon's Arisen, and dispel the
fog that hangs over Acre Selund.",\npc\n0609.arc,n0609.arc,ui\00_message\npc\base\n0609.gmd,"先へ進むといい、白き竜の覚者よ
アッカーシェランにかかる霧を払ってくれ",
0,5,"Until the road is cleared, it is necessary to
wait for a while, O Arisen of the White Dragon.",\npc\n0609.arc,n0609.arc,ui\00_message\npc\base\n0609.gmd,"道を通すまでの間
しばし待つことだ、白き竜の覚者よ",
0,6,"I will definitely open up this path.
I swear on the soul that once belonged to the
king's sword.",\npc\n0609.arc,n0609.arc,ui\00_message\npc\base\n0609.gmd,"この道は必ず拓いてみせる
かつて王の剣であったこの魂にかけても",
