0,,"少し休もうかしら
誰も手を貸してくれないんだもの","Maybe I should take a short rest. Since no one is
lending a hand.",ui\00_message\npc\base\n0591.gmd,\npc\n0591.arc,n0591.arc,3
0,,"前を向いて走るのに必死で―ー
後ろにいたお母さんがいつの間にか
いなくなってたのに気付かなかったんです","I was running desperately, facing forward, and I
didn't even realize when my mother, who was behind
me, disappeared.",ui\00_message\npc\base\n0594.gmd,\npc\n0594.arc,n0594.arc,2
0,,"どこに、行けばいいんでしょう
しくしく――","Where should I go, sob sob...",ui\00_message\npc\base\n0594.gmd,\npc\n0594.arc,n0594.arc,3
0,,むぅ、なんだなんだ！？,"What is it, what is it!?",ui\00_message\npc\base\n0595.gmd,\npc\n0595.arc,n0595.arc,0
0,,"この剣は王家へ捧げたもの！
今に名を残す英雄のように
それは勇ましく振るってみせよう","This sword is dedicated to the royal family! Just
like the renowned hero who will be remembered,
let's swing it valiantly.",ui\00_message\npc\base\n0595.gmd,\npc\n0595.arc,n0595.arc,1
0,,"いつかは王都メガドの護衛に
選ばれるツワモノにと夢見てきたが
今は手の届く範囲で戦うのに必死！
――だが、それも悪くない","I once dreamt of being one of the elite chosen to
guard the capital, Megado. But now, I'm just
struggling to fight within my reach. But even that
isn't so bad.",ui\00_message\npc\base\n0595.gmd,\npc\n0595.arc,n0595.arc,2
0,,"ん？　この盾が気になるのですかな？
素晴らしいデザインでしょう","Hm? Are you interested in this shield?
It has a splendid design.",ui\00_message\npc\base\n0595.gmd,\npc\n0595.arc,n0595.arc,3
0,,うん、話なら聞くよ,"Yeah, I'll listen if you want to talk.",ui\00_message\npc\base\n0596.gmd,\npc\n0596.arc,n0596.arc,0
0,,"魔物は私たちよりも鼻が利くし
もちろん耳だっていい
――まぁ、だから人間を
甘くみてるところもあるんだろうね","Enemies have a better sense of smell than us, and
of course, their hearing is also good. Well,
that's why they might underestimate humans
sometimes.",ui\00_message\npc\base\n0596.gmd,\npc\n0596.arc,n0596.arc,1
0,,"臨機応変に対処できるってのが
人間の一番の強みなんじゃないかな","The ability to adapt to different situations is
probably the greatest strength of a human, don't
you think?",ui\00_message\npc\base\n0596.gmd,\npc\n0596.arc,n0596.arc,2
0,,"魔物を追う時は
マズい場所に誘いこまれてないか
気を付けた方がいいよ","When pursuing enemies, it's better to be careful
and make sure you're not being led into dangerous
places.",ui\00_message\npc\base\n0596.gmd,\npc\n0596.arc,n0596.arc,3
0,,ああ、少し話すか？,"Ah, would you like to talk for a bit?",ui\00_message\npc\base\n0597.gmd,\npc\n0597.arc,n0597.arc,0
0,,"もう少しいい装備が欲しいところだが
贅沢は言ってられないか","I would like to have better equipment, but I
can't afford to be extravagant.",ui\00_message\npc\base\n0597.gmd,\npc\n0597.arc,n0597.arc,1
0,,"――なんだって？
すまない、大砲の音のせいか
ここのところ耳が遠くなったみたいだ","— What did you say? I'm sorry, it might be
because of the sound of the cannons. I think I'm
going deaf these days.",ui\00_message\npc\base\n0597.gmd,\npc\n0597.arc,n0597.arc,2
0,,"ここのところ戦いに出る日が続いて
なかなか武具の手入れができないのが、な――
戦場で壊れでもしたら、終わりだ","Lately, I have been going out to battle for
consecutive days and it's been difficult to
maintain my equipment, ah— If it were to break on
the battlefield, it would be the end.",ui\00_message\npc\base\n0597.gmd,\npc\n0597.arc,n0597.arc,3
0,,はい、どうかしました？,"Um, what's wrong?",ui\00_message\npc\base\n0598.gmd,\npc\n0598.arc,n0598.arc,0
0,,"あなたも、きっとお強いんでしょうね
私はまだまだで――","I'm sure you must be very strong, too. I'm not
ready to--",ui\00_message\npc\base\n0598.gmd,\npc\n0598.arc,n0598.arc,1
0,,"もっとがんばらないといけませんね
今度こそ、人を支えられるように
なりたいんです","I have to work harder. This time, I want to
become someone who can support others.",ui\00_message\npc\base\n0598.gmd,\npc\n0598.arc,n0598.arc,2
0,,"解放軍には入ったばかりなんです
――元から剣を持っていた人たちとは
やっぱり実力の差を感じますね","I have just joined the Liberation Army. Compared
to those who already had swords, I can definitely
feel the difference in skill.",ui\00_message\npc\base\n0598.gmd,\npc\n0598.arc,n0598.arc,3
0,,はっ、任務中ですので手短にお願いします！,"Uh, please keep it brief as I am on a mission!",ui\00_message\npc\base\n0599.gmd,\npc\n0599.arc,n0599.arc,0
0,,"オークとの戦いに散った者も数知れず――
遺された家族のことを想うと
胸が潰れそうになります","Countless others have scattered in the battle
against the orcs--
My heart breaks for the families left behind.",ui\00_message\npc\base\n0599.gmd,\npc\n0599.arc,n0599.arc,1
0,,"オークは、仲間が死んでも
何とも思わないのでしょうか？
――それとも――","Do orcs think nothing of when their friends die?
Or--or--don't they?",ui\00_message\npc\base\n0599.gmd,\npc\n0599.arc,n0599.arc,2
0,,"はっ、気弱になってはいけないと
自分に言い聞かせております","H-hold on, I mustn't lose heart—- I keep
reminding myself",ui\00_message\npc\base\n0599.gmd,\npc\n0599.arc,n0599.arc,3
0,,よう、元気か？,"Hey, how are you doing?",ui\00_message\npc\base\n0600.gmd,\npc\n0600.arc,n0600.arc,0
0,,"まぁ、お互い身構えずに行こうぜ
俺も盗賊になったばっかりだけど
君が腕の立つ人だってことは、見りゃわかるよ","Well, let's go without being too cautious—- I've
only just become a bandit. But I can tell that
you're skilled, just by looking at you.",ui\00_message\npc\base\n0600.gmd,\npc\n0600.arc,n0600.arc,1
0,,"人生何が起こるかわからないものだよな
起こっちまってから「まさか」と思うんだよ","You never know what can happen in life—You think
""it couldn't possibly happen,"" but then it does.",ui\00_message\npc\base\n0600.gmd,\npc\n0600.arc,n0600.arc,2
0,,"家族はいるのか？
はぁ、ポーンがいる――
なんか哲学的な答えだな","Do you have a family? Huh, there's a Pawn――
That's quite a philosophical answer.",ui\00_message\npc\base\n0600.gmd,\npc\n0600.arc,n0600.arc,3
0,,"ん、なになに？
呼んだ？","Hmm, what is it? Did you call me?",ui\00_message\npc\base\n0601.gmd,\npc\n0601.arc,n0601.arc,0
0,,さーて、どうしよっかな,"Well, what should I do?",ui\00_message\npc\base\n0601.gmd,\npc\n0601.arc,n0601.arc,1
0,,"ねぇねぇ～
何かおいしい話、知らない？","Hey, hey~ Do you know any interesting stories?",ui\00_message\npc\base\n0601.gmd,\npc\n0601.arc,n0601.arc,2
0,,"あーあ
どっかにすんごいお宝、転がってないかなぁ
そしたらセルマの姐さんに見直してもらえるのに","Oh dear. I wonder if there might be an amazing
treasure hidden somewhere. If so, Sister Selma
could take another look at it for me.",ui\00_message\npc\base\n0601.gmd,\npc\n0601.arc,n0601.arc,3
0,,おお、どうかしたかい？,"Oh, is something wrong?",ui\00_message\npc\base\n0602.gmd,\npc\n0602.arc,n0602.arc,0
0,,"いやぁ、久しぶりに持つ剣は重いな
前はもうちょっと、こう――","Oh, it's been a while since I held a sword. It
feels heavy now. It used to be a little lighter,
like...",ui\00_message\npc\base\n0602.gmd,\npc\n0602.arc,n0602.arc,1
0,,"こう見えても俺、前に
剣士を目指したこともあるんだぜ！
まぁ、子供の頃の話だけど","You see, I once tried to become a swordsman!
Well, that was when I was a kid.",ui\00_message\npc\base\n0602.gmd,\npc\n0602.arc,n0602.arc,2
0,,"盾もずっと持ってると重いんだよな
もうちょっと軽い盾を買えばよかったかなぁ","Shields are also heavy when you hold them all the
time. I guess I should have bought a lighter one.",ui\00_message\npc\base\n0602.gmd,\npc\n0602.arc,n0602.arc,3
0,,ぬっ！？　何かご用でも――,Huh!? Is there something you need—,ui\00_message\npc\base\n0603.gmd,\npc\n0603.arc,n0603.arc,0
0,,"己自身を見つめ直すため
戦に乱れた各地を行脚しておるのです","To reflect on oneself, I am wandering around
various places that have been disturbed by war.",ui\00_message\npc\base\n0603.gmd,\npc\n0603.arc,n0603.arc,1
0,,"荒廃した景色、それを見て己が心に
湧きあがるもの――
私はそれを見極めたい","The devastated landscape, what wells up in my
heart when I see it—I want to find out what it is.",ui\00_message\npc\base\n0603.gmd,\npc\n0603.arc,n0603.arc,2
0,,"一時は世を捨て、隠遁生活を送ったことも
ありますがね――そうしたところで
私には何も見えてこなかったのです","I even left the world for a time and went into
seclusion
- and I didn't see anything!",ui\00_message\npc\base\n0603.gmd,\npc\n0603.arc,n0603.arc,3
0,,何？　じろじろ見ちゃって,What? You're staring at me.,ui\00_message\npc\base\n0604.gmd,\npc\n0604.arc,n0604.arc,0
0,,"面倒事はごめんよ
――そりゃ、義理や礼儀は通すけどさ
それ以外でってこと","I don't want to be a bother— that is, I'll be
polite and respectful, but other than that, I
mean.",ui\00_message\npc\base\n0604.gmd,\npc\n0604.arc,n0604.arc,1
0,,"どうしたの、誰か探してるの？
いえ、そんな風に見えたってだけなんだけど","What's wrong, are you looking for someone? No, it
only seemed that way.",ui\00_message\npc\base\n0604.gmd,\npc\n0604.arc,n0604.arc,2
0,,"――あたし、どうも面倒事に
まきこまれやすい気がするのよね
どうしてだろう","--I feel like I get into trouble a lot.
I don't know why.",ui\00_message\npc\base\n0604.gmd,\npc\n0604.arc,n0604.arc,3
0,,まあ、どうなさいました？,"Well, what happened?",ui\00_message\npc\base\n0605.gmd,\npc\n0605.arc,n0605.arc,0
0,,"私でお力になれることなら
よろこんで手をお貸ししますわ","If there is anything I can assist you with, I
would be delighted to lend a hand.",ui\00_message\npc\base\n0605.gmd,\npc\n0605.arc,n0605.arc,1
0,,"私の故郷は離れていますし
小さいながらも守りの固い城に
住んでおりますから、家族も無事ですよ","My hometown is far away. And even though it is
small, it is a securely fortified castle, So my
family is safe.",ui\00_message\npc\base\n0605.gmd,\npc\n0605.arc,n0605.arc,2
0,,"このような時こそ
周りの方に手を差し伸べるべきだと――
そう思って、はるばるこちらへ参りましたの","It is at times like this that we should reach out
to those around us--
That's why I came all the way here!",ui\00_message\npc\base\n0605.gmd,\npc\n0605.arc,n0605.arc,3
0,,"《英霊眠りし道》についての伝承は多いのです
子供もおとぎ話を通して知っていますよ","There are many legends about the ""Heroic Spirit
Sleeping Path,"" and even children are familiar
with it through fairy tales.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,0
0,,"中は土砂で埋まっているので
いわゆる“墓場荒らし”もここにはやってきません","The inside is filled with earth and sand, so the
so-called ""grave robbers"" won't come here either!",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,1
0,,"王家ゆかりの地であるのに、番人が
自分一人なのはそのせいですね――","It's a place associated with the royal family,
but that's why there's only one guardian.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,2
0,,"自分も中には何度か足を踏み入れています
管理のこともありますから――
まぁ、土砂が無いところまで覗く程度ですが","I've stepped inside a few times myself because of
the management-- Well, I've only peeked in to
where there's no sediment.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,3
0,,"はっ、覚者様！
ようこそおいでくださいました","Hah, Ser Arisen! Welcome, please come in",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,4
0,,"英霊眠りし道は普通のダンジョンとは異なります
ある程度の武具を揃えて挑まなければ
踏破は難しいのではと――","The Heroic Spirit Sleeping Path is different from
a normal dungeon. It may be difficult to conquer
without equipping a certain level of weapons and
armor.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,5
0,,"また、内部は土砂で埋まっている通路もあります
もう土砂が流れ込むことはありませんから
一度でも撤去できればいいのですが","Furthermore, there are also passageways that are
filled with sediment internally. There will no
longer be any inflow of sediment, so it would be
good to remove it just once.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,6
0,,"覚者様、お気をつけて――
危険を感じられたら
すぐに戻ってきてくださいね","Arisen, please be careful-- If you feel any
danger, Please come back immediately.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,7
0,,"開拓後の場所から
再突入できるようになりましたよ！
これで内部の調査がより捗るかと","You can now re-enter from your pioneering
location! I thought this would help us make more
progress in our investigation of the interior.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,8
0,,開拓後の場所から再突入しますか？,"Do you want to re-enter the place after
development?",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,9
0,,はい,Yes,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,10
0,,いいえ,No,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,11
0,,"パーティーリーダーが行き先を
選ぶまで、少々お待ちください","Please wait a moment while the party leader
selects the destination.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,12
0,,"パーティーリーダーが待っていらっしゃいますよ
《英霊眠りし道》へ突入しますか？","The party leader is waiting.
Will you enter the Heroic Spirit Sleeping Path?",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,13
0,,はい,Yes,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,14
0,,いいえ,No,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,15
0,,"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？","Please be careful when heading inside.
How about a status check first?",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,16
0,,ダンジョンに入る,Enter Dungeon,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,17
0,,開拓状況確認,Check Reclamation Status,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,18
0,,報酬取得状況確認,Check Acquired Rewards Status,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,19
0,,まさか、全ての道を拓かれるとは――！,"I can't believe all the roads have been opened
up—!",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,20
0,,"実は――伝承では
全ての道を拓くことで
最後の試練が受けられると言われているんです","Actually, in the legend, it is said that by
opening up all paths, one can receive the final
trial.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,21
0,,"覚者様が全ての道を拓いたと同時刻に、
開かずの扉に変化が起きました
まるで、共鳴するみたいにです","At the same time that the Arisen paved the way
for everything, a change occurred in the unopened
door, as if it were resonating!",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,22
0,,"最後の試練が待ち受けるのは
きっと開かずの扉の先なのでしょうね
――最後の試練に向かわれる時は
ぜひ声をかけてください","The final trial is surely waiting beyond the
sealed door. When you're ready to face the last
trial, please don't hesitate to contact me.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,23
0,,"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？","Please be careful when heading inside.
How about a status check first?",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,24
0,,ダンジョンに入る,Enter Dungeon,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,25
0,,開拓状況確認,Check Reclamation Status,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,26
0,,報酬取得状況確認,Check Acquired Rewards Status,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,27
0,,最後の試練に挑む,Challenge Final Ordeal,ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,28
0,,"最後の試練に向かわれるのですね
それでは、扉の封印を解除しておきます","I see that you are heading for the final ordeal.
I will now unseal the door.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,29
0,,"あの先には、今までより困難な試練が
待ち受けているかもしれません","Beyond that point, more difficult challenges than
ever before may await you!",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,30
0,,"心して向かってください
ご武運をお祈りします
――覚者様のお戻りを信じておりますので！","Please proceed with caution. We pray for your
success. We believe in the return of the Arisen!",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,31
0,,"覚者様、申し訳ありませんが
そのような武具で内部に進まれるのは
かなり危険かと――","Ser Arisen, I'm sorry but it is quite dangerous
to proceed inside with such weaponry.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,32
0,,"番人として、覚者様をみすみす危険に
晒すわけにはいきません
武具を整えてから、もう一度いらしてください","As a guardian, I cannot simply expose the
esteemed Arisen to danger. Please come again after
preparing your equipment.",ui\00_message\npc\base\n0606.gmd,\npc\n0606.arc,n0606.arc,33
0,,やあ、あんたが白き竜の覚者さんか,"Hey, are you the Arisen of the White Dragon?",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,0
0,,"このほこらに分散している
私の力を集めて
ここまで持ってきてくれないかい？","Can you gather the power scattered at this shrine
and bring it here?",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,1
0,,"そうすれば、あんたに力を貸してやれる――
何せ今は何の力も無くってね","If you do that, then I can lend you my
strength—after all, I don't have any power right
now.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,2
0,,"ありがとう、よく集めてきたね
おかげで何かといい感じだよ","Thanks, you've done a great job collecting them.
It's made me feel like I'm on to something.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,3
0,,"見たところ、あんたなら
もっと深くまで潜ることもできそうだし――","From what I can see, you could probably delve
even deeper -",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,4
0,,"さぁ、見てな
土砂ごとき、力さえ戻ればこんなもんさ","Now, look here.
Just some earth and sand.
If only I regain my strength, it's nothing.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,5
0,,"どうだい？
土砂をどけて、道を作っておいたよ
これで先に進めるだろう","How about it? I cleared away the debris and made
a path. You should be able to proceed now.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,6
0,,"あんたほどの実力があるなら
この先に眠る宝物にもたどり着けるんじゃない？","If you're as good as you say you are,
you'll get to the treasures that lie ahead, won't
you?",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,7
0,,"期待してるよ――
ああ、久しぶりに楽しかった","I'm counting on you— Ah, I haven't had this much
fun in a while.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,8
0,,"すまないけど、思ったより
土砂が詰まっててね
さすがに時間がかかってしまってるんだ","Sorry, it's more packed with sediment than I
thought. It's taking longer than expected.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,9
0,,"もう少しだけ時間をくれない？
なに、目途は立ってるからさ","Can you give me a little more time? No, I've got
a plan.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,10
0,,"ふふふ、そう怪訝な顔をしないで
あんたの力になりたいだけさ","Hahaha, don't make such a bewildered face. I just
want to support you.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,11
0,,"まだ王子は幼いんだろ？
そうそう、ネド王子――","The prince is still young, right? Yes, Prince
Nedo—",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,12
0,,"そう気を遣わなくていいさ
私だってそんな大層な人間じゃないからさ
昔ね、腕っぷしが強かっただけだよ――ハハハ","You don't have to worry about it because I'm not
that extraordinary either. In the past, it was
just that I was strong physically - Hahaha.",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,13
0,,"あれ、あんたの仲間は
すでに道を拓いてるんじゃない？","Oh, your companions, aren't they already carving
their own path?",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,14
0,,"これなら仲間の力をたどって
一時的に道を開くことができそうだよ","If you follow the power of your companions
you may be able to temporarily open the path",ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,15
0,,通常開拓する,Explore normally.,ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,16
0,,仲間の力をたどる,Follow the power of your companion,ui\00_message\npc\base\n0607.gmd,\npc\n0607.arc,n0607.arc,17
0,,"ふふ、ごきげんよう
遠いところからやってきた覚者さん","Ah, good day. You, the Arisen who has come from a
distant place.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,0
0,,"ねぇ、もうわかってるんでしょう？
この辺りに散らばった力を集めて
わたしにくれないかしら","Hey, you already know the answer to that, don't
you?
You're going to gather all the power scattered
around here and give it to me.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,1
0,,"今のわたしたちは
こうして姿を現すだけで精一杯――
だけど、あなたに協力したいのよ","Right now we're doing our best just showing up
like this--
but we want to help you!",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,2
0,,"ありがとう、少しの間動くなら
これで十分よ","Thanks, if it works for a little while, this
should be enough.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,3
0,,"さて、あなたにはもっと深くまで
行ってもらわないとね――","Now, I need you to go deeper—",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,4
0,,"あなたに協力することが
王家のためになるはずですもの
さぁ、邪魔な土砂は吹っ飛ばしてしまいましょう","It should be beneficial for the royal family for
me to assist you. Now, let's blow away that
obstruction.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,5
0,,"土砂を片付けたわよ
これなら通れるでしょう？","I've cleared away the debris. This should be
passable, right?",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,6
0,,"あなたの力を見込んで言うわ
もっと深くまで、諦めずに進んでね","I'll say this, counting on your strength, go
deeper without giving up.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,7
0,,"エゴといわれても仕方ないけど――
まだ、この国の終わりをみたくは無いの","Call me egotistical, but-- I don't want to see
the end of this country just yet.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,8
0,,"ごめんね、急いではいるんだけど
もう少しかかりそう――","I'm sorry, but I'm in a hurry, so it might take a
little longer...",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,9
0,,"だけど、きっとやり遂げるわ
あなたに協力することが
王家のためになるはずですもの","But I'm sure we'll get it done.
Helping you will be for the good of the royal
family.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,10
0,,"わたしたちがこうしていられるのも
ようするに、この地に充満した
竜力みたいなモノのお陰――
そういう力が溜まりやすいのよね、ここって","The reason we can exist like this is essentially
because of the Dragon Force that pervades this
place. It's easy for that kind of power to
accumulate here.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,11
0,,"出られるものなら、わたしたちだって
ここを飛び出して行くわ――
でも、ここでしか姿を保てないんですもの","If we could go, we would also venture out of
here— but we can only maintain our presence here.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,12
0,,"わたしはイゼル――
あなたはきっと、私の名をご存じないだろうけど",I am Isel-- You probably don't know my name.,ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,13
0,,"この弓で何度、王家を狙う不届き者を射抜いたことか
でも、今はそうすることもできないのよね
歯がゆいわ","Worrying is not in my nature. Let me go where the
fighting is.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,14
0,,"あら、あなたのお仲間さんは
もう道を拓いているようね","Oh, looks like your fellow is already blazing a
trail.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,15
0,,"お仲間さんの力をたどって
一時的に道を開くこともできるわよ
どうする？","We can temporarily open a path by following the
power of your comrades. What do you want to do?",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,16
0,,通常開拓する,Explore normally,ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,17
0,,仲間の力をたどる,Follow the power of your companion,ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,18
0,,"私はアッカー王家に仕えてきた
ダーマードという――
貴殿をこの先へ導こう","I have served the Acre royal family.
My name is Damad.
I will guide you from now on.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,0
0,,"ほこらの中にただよう力を
私の元まで集めてきてくれないか
さすれば、ここを埋める土砂を一掃してみせよう","Gather the power that lies within the dust and
come to me, and I will sweep away the sediment
that fills this place!",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,1
0,,"――よくやってくれた
これだけの力が戻れば
この道を拓く程度のことはできるだろう","You did well. If only this much strength can
return, we should be able to clear this path.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,2
0,,"土砂を一掃し、二度とこの道が
埋まらぬよう力を尽くそう
かつて王の剣であったこの魂にかけても","Let's clear away the debris and do our best to
ensure this path won't be blocked again. I swear
it on the soul of the sword that once belonged to
the king.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,3
0,,"先へ進むといい、白き竜の覚者よ
アッカーシェランにかかる霧を払ってくれ","Go ahead, White Dragon's Arisen, and dispel the
fog that hangs over Acre Selund.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,4
0,,"道を通すまでの間
しばし待つことだ、白き竜の覚者よ","Until the road is cleared, it is necessary to
wait for a while, O Arisen of the White Dragon.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,5
0,,"この道は必ず拓いてみせる
かつて王の剣であったこの魂にかけても","I will definitely open up this path.
I swear on the soul that once belonged to the
king's sword.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,6
0,,"貴殿が力を求め、《英霊眠りし道》を
訪れたこと――我らにとって僥倖であった","Your visit to the Heroic Spirit Sleeping Path, in
search of power, was fortunate for us.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,7
