#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
246,ABILITY_INFO_197,風圧の影響を受けなくなる,You are unaffected by wind pressure.,ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,246
150,ABILITY_INFO_199,"獣系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Decrease damage received from
beast-type enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,150
150,ABILITY_INFO_199,"獣系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Decrease damage received from
beast-type enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,150
150,ABILITY_INFO_199,"獣系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Decrease damage received from
beast-type enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,150
150,ABILITY_INFO_199,"獣系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Decrease damage received from
beast-type enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,150
150,ABILITY_INFO_199,"獣系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Decrease damage received from
beast-type enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,150
150,ABILITY_INFO_199,"獣系の敵から受けるダメージ量が減少する
<COL ffdc78>LV UP毎にダメージさらに軽減</COL>","Decrease damage received from
beast-type enemies.
<COL ffdc78>LV UP: Decreases damage further.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,150
114,ABILITY_INFO_200,"獣系の敵に与えるダメージ量が増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","Increases the damage you deal towards
beast-type enemies.
<COL ffdc78>LV UP: Further increases damage.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,114
114,ABILITY_INFO_200,"獣系の敵に与えるダメージ量が増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","Increases the damage you deal towards
beast-type enemies.
<COL ffdc78>LV UP: Further increases damage.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,114
114,ABILITY_INFO_200,"獣系の敵に与えるダメージ量が増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","Increases the damage you deal towards
beast-type enemies.
<COL ffdc78>LV UP: Further increases damage.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,114
114,ABILITY_INFO_200,"獣系の敵に与えるダメージ量が増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","Increases the damage you deal towards
beast-type enemies.
<COL ffdc78>LV UP: Further increases damage.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,114
114,ABILITY_INFO_200,"獣系の敵に与えるダメージ量が増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","Increases the damage you deal towards
beast-type enemies.
<COL ffdc78>LV UP: Further increases damage.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,114
114,ABILITY_INFO_200,"獣系の敵に与えるダメージ量が増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","Increases the damage you deal towards
beast-type enemies.
<COL ffdc78>LV UP: Further increases damage.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,114
235,ABILITY_INFO_201,"攻撃時に、敵に与える錬成値が上昇する
<COL ffdc78>LV UP毎に錬成値がより増加</COL>","Increases the rate at which you alchemize enemies
with your attacks.
<COL ffdc78>LV UP: Further increases alchemize
rate.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,235
235,ABILITY_INFO_201,"攻撃時に、敵に与える錬成値が上昇する
<COL ffdc78>LV UP毎に錬成値がより増加</COL>","Increases the rate at which you alchemize enemies
with your attacks.
<COL ffdc78>LV UP: Further increases alchemize
rate.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,235
235,ABILITY_INFO_201,"攻撃時に、敵に与える錬成値が上昇する
<COL ffdc78>LV UP毎に錬成値がより増加</COL>","Increases the rate at which you alchemize enemies
with your attacks.
<COL ffdc78>LV UP: Further increases alchemize
rate.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,235
235,ABILITY_INFO_201,"攻撃時に、敵に与える錬成値が上昇する
<COL ffdc78>LV UP毎に錬成値がより増加</COL>","Increases the rate at which you alchemize enemies
with your attacks.
<COL ffdc78>LV UP: Further increases alchemize
rate.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,235
235,ABILITY_INFO_201,"攻撃時に、敵に与える錬成値が上昇する
<COL ffdc78>LV UP毎に錬成値がより増加</COL>","Increases the rate at which you alchemize enemies
with your attacks.
<COL ffdc78>LV UP: Further increases alchemize
rate.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,235
235,ABILITY_INFO_201,"攻撃時に、敵に与える錬成値が上昇する
<COL ffdc78>LV UP毎に錬成値がより増加</COL>","Increases the rate at which you alchemize enemies
with your attacks.
<COL ffdc78>LV UP: Further increases alchemize
rate.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,235
163,ABILITY_INFO_202,"エリクシル発動時、変換する状態異常値が上昇する
<COL ffdc78>LV UP毎に状態異常値がより増加</COL>","Increases the effectiveness of your chosen status
when activating Elixir.
<COL ffdc78>LV UP: Further increases status
effectiveness.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,163
163,ABILITY_INFO_202,"エリクシル発動時、変換する状態異常値が上昇する
<COL ffdc78>LV UP毎に状態異常値がより増加</COL>","Increases the effectiveness of your chosen status
when activating Elixir.
<COL ffdc78>LV UP: Further increases status
effectiveness.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,163
163,ABILITY_INFO_202,"エリクシル発動時、変換する状態異常値が上昇する
<COL ffdc78>LV UP毎に状態異常値がより増加</COL>","Increases the effectiveness of your chosen status
when activating Elixir.
<COL ffdc78>LV UP: Further increases status
effectiveness.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,163
163,ABILITY_INFO_202,"エリクシル発動時、変換する状態異常値が上昇する
<COL ffdc78>LV UP毎に状態異常値がより増加</COL>","Increases the effectiveness of your chosen status
when activating Elixir.
<COL ffdc78>LV UP: Further increases status
effectiveness.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,163
163,ABILITY_INFO_202,"エリクシル発動時、変換する状態異常値が上昇する
<COL ffdc78>LV UP毎に状態異常値がより増加</COL>","Increases the effectiveness of your chosen status
when activating Elixir.
<COL ffdc78>LV UP: Further increases status
effectiveness.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,163
163,ABILITY_INFO_202,"エリクシル発動時、変換する状態異常値が上昇する
<COL ffdc78>LV UP毎に状態異常値がより増加</COL>","Increases the effectiveness of your chosen status
when activating Elixir.
<COL ffdc78>LV UP: Further increases status
effectiveness.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,163
55,ABILITY_INFO_203,"アルケム・フーガで配置される錬成物質の
持続時間が延長される
<COL ffdc78>LV UP毎に持続時間がより延長</COL>","Extends the duration of the catalyst left by
Alchem Fuga.
<COL ffdc78>LV UP: Further extends duration.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,55
55,ABILITY_INFO_203,"アルケム・フーガで配置される錬成物質の
持続時間が延長される
<COL ffdc78>LV UP毎に持続時間がより延長</COL>","Extends the duration of the catalyst left by
Alchem Fuga.
<COL ffdc78>LV UP: Further extends duration.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,55
55,ABILITY_INFO_203,"アルケム・フーガで配置される錬成物質の
持続時間が延長される
<COL ffdc78>LV UP毎に持続時間がより延長</COL>","Extends the duration of the catalyst left by
Alchem Fuga.
<COL ffdc78>LV UP: Further extends duration.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,55
55,ABILITY_INFO_203,"アルケム・フーガで配置される錬成物質の
持続時間が延長される
<COL ffdc78>LV UP毎に持続時間がより延長</COL>","Extends the duration of the catalyst left by
Alchem Fuga.
<COL ffdc78>LV UP: Further extends duration.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,55
55,ABILITY_INFO_203,"アルケム・フーガで配置される錬成物質の
持続時間が延長される
<COL ffdc78>LV UP毎に持続時間がより延長</COL>","Extends the duration of the catalyst left by
Alchem Fuga.
<COL ffdc78>LV UP: Further extends duration.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,55
55,ABILITY_INFO_203,"アルケム・フーガで配置される錬成物質の
持続時間が延長される
<COL ffdc78>LV UP毎に持続時間がより延長</COL>","Extends the duration of the catalyst left by
Alchem Fuga.
<COL ffdc78>LV UP: Further extends duration.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,55
91,ABILITY_INFO_204,"エリクシル発動の予備動作が短縮される
<COL ffdc78>LV UP毎に予備動作さらに短縮</COL>","Decreases the time required to prepare your
Elixir.
<COL ffdc78>LV UP: Further decreases preparation
time.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,91
91,ABILITY_INFO_204,"エリクシル発動の予備動作が短縮される
<COL ffdc78>LV UP毎に予備動作さらに短縮</COL>","Decreases the time required to prepare your
Elixir.
<COL ffdc78>LV UP: Further decreases preparation
time.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,91
91,ABILITY_INFO_204,"エリクシル発動の予備動作が短縮される
<COL ffdc78>LV UP毎に予備動作さらに短縮</COL>","Decreases the time required to prepare your
Elixir.
<COL ffdc78>LV UP: Further decreases preparation
time.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,91
91,ABILITY_INFO_204,"エリクシル発動の予備動作が短縮される
<COL ffdc78>LV UP毎に予備動作さらに短縮</COL>","Decreases the time required to prepare your
Elixir.
<COL ffdc78>LV UP: Further decreases preparation
time.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,91
91,ABILITY_INFO_204,"エリクシル発動の予備動作が短縮される
<COL ffdc78>LV UP毎に予備動作さらに短縮</COL>","Decreases the time required to prepare your
Elixir.
<COL ffdc78>LV UP: Further decreases preparation
time.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,91
91,ABILITY_INFO_204,"エリクシル発動の予備動作が短縮される
<COL ffdc78>LV UP毎に予備動作さらに短縮</COL>","Decreases the time required to prepare your
Elixir.
<COL ffdc78>LV UP: Further decreases preparation
time.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,91
7,ABILITY_INFO_205,"アルケム・フーガ成功時にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers your stamina upon a successful Alchem
Fuga.
<COL ffdc78>LV UP: Further increases stamina
recovery.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,7
7,ABILITY_INFO_205,"アルケム・フーガ成功時にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers your stamina upon a successful Alchem
Fuga.
<COL ffdc78>LV UP: Further increases stamina
recovery.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,7
7,ABILITY_INFO_205,"アルケム・フーガ成功時にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers your stamina upon a successful Alchem
Fuga.
<COL ffdc78>LV UP: Further increases stamina
recovery.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,7
7,ABILITY_INFO_205,"アルケム・フーガ成功時にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers your stamina upon a successful Alchem
Fuga.
<COL ffdc78>LV UP: Further increases stamina
recovery.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,7
7,ABILITY_INFO_205,"アルケム・フーガ成功時にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers your stamina upon a successful Alchem
Fuga.
<COL ffdc78>LV UP: Further increases stamina
recovery.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,7
7,ABILITY_INFO_205,"アルケム・フーガ成功時にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers your stamina upon a successful Alchem
Fuga.
<COL ffdc78>LV UP: Further increases stamina
recovery.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,7
19,ABILITY_INFO_206,"攻撃時に、より敵の注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases threat generation when attacking.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,19
19,ABILITY_INFO_206,"攻撃時に、より敵の注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases threat generation when attacking.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,19
19,ABILITY_INFO_206,"攻撃時に、より敵の注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases threat generation when attacking.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,19
19,ABILITY_INFO_206,"攻撃時に、より敵の注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases threat generation when attacking.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,19
19,ABILITY_INFO_206,"攻撃時に、より敵の注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases threat generation when attacking.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,19
19,ABILITY_INFO_206,"攻撃時に、より敵の注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases threat generation when attacking.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,19
127,ABILITY_INFO_207,"回復行動を行うと
より敵から注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,127
127,ABILITY_INFO_207,"回復行動を行うと
より敵から注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,127
127,ABILITY_INFO_207,"回復行動を行うと
より敵から注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,127
127,ABILITY_INFO_207,"回復行動を行うと
より敵から注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,127
127,ABILITY_INFO_207,"回復行動を行うと
より敵から注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,127
127,ABILITY_INFO_207,"回復行動を行うと
より敵から注目を集めるようになる
<COL ffdc78>LV UP毎に敵からの注目度がより増加</COL>","Increases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further increases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,127
67,ABILITY_INFO_208,"攻撃をヒットさせても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases your threat generation even
when attacking enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,67
67,ABILITY_INFO_208,"攻撃をヒットさせても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases your threat generation even
when attacking enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,67
67,ABILITY_INFO_208,"攻撃をヒットさせても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases your threat generation even
when attacking enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,67
67,ABILITY_INFO_208,"攻撃をヒットさせても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases your threat generation even
when attacking enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,67
67,ABILITY_INFO_208,"攻撃をヒットさせても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases your threat generation even
when attacking enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,67
67,ABILITY_INFO_208,"攻撃をヒットさせても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases your threat generation even
when attacking enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,67
175,ABILITY_INFO_209,"回復行動を行っても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,175
175,ABILITY_INFO_209,"回復行動を行っても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,175
175,ABILITY_INFO_209,"回復行動を行っても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,175
175,ABILITY_INFO_209,"回復行動を行っても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,175
175,ABILITY_INFO_209,"回復行動を行っても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,175
175,ABILITY_INFO_209,"回復行動を行っても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases the threat generation of healing
actions.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,175
199,ABILITY_INFO_210,"しがみつき時に敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases threat generation while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,199
199,ABILITY_INFO_210,"しがみつき時に敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases threat generation while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,199
199,ABILITY_INFO_210,"しがみつき時に敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases threat generation while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobMaster.arc,uGUIJobMaster.arc,199
199,ABILITY_INFO_210,"しがみつき時に敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases threat generation while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIJobOrbTree.arc,uGUIJobOrbTree.arc,199
199,ABILITY_INFO_210,"しがみつき時に敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases threat generation while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopDetail01.arc,uGUIPopDetail01.arc,199
199,ABILITY_INFO_210,"しがみつき時に敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>","Decreases threat generation while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases threat
generation.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIPopSkillInfo.arc,uGUIPopSkillInfo.arc,199
103,ABILITY_INFO_211,"敵からの注目度が時間経過で
下がりにくくなる
<COL ffdc78>LV UP毎に敵からの注目度をさらに維持</COL>","Reduces loss of enemy attention from over time.
<COL ffdc78>LV UP: Further reduces loss of enemy
attention.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,103
103,ABILITY_INFO_211,"敵からの注目度が時間経過で
下がりにくくなる
<COL ffdc78>LV UP毎に敵からの注目度をさらに維持</COL>","Reduces loss of enemy attention from over time.
<COL ffdc78>LV UP: Further reduces loss of enemy
attention.</COL>",ui\00_message\skill\ability_info.gmd,\ui\uGUIDogmaOrb.arc,uGUIDogmaOrb.arc,103
