,救助対象が疲れてきたようだ――,Your rescue target seems to be getting tired...
,救助対象はかなり辛そうだ――,Your rescue target seems to be struggling...
,救助対象が戦線離脱した――,Your rescue target has left the battlefield...
,"<COL ffdc78>迅速な救助に成功しました
クリア時のボーナス報酬が追加されます</COL>","<COL ffdc78>Quick Rescue successful!
Bonus Rewards gained!</COL>"
,"<COL ffdc78>迅速な救助に失敗しました
クリア時のボーナス報酬は追加されません</COL>","<COL ffdc78>Quick Rescue has failed!
Bonus Rewards are lost.</COL>"
,"鍵がかかっている――
開くには<COL ffdc78>《<NAME ITEM>》</COL>が必要だ","It is locked.
<COL ffdc78>""<NAME ITEM>""</COL> is needed to open."
,今は転移の力を失っているようだ――,It seems to have lost the power to teleport...
,"イベントを進行しますか？
※パーティー要請中の場合はキャンセルされます","Are you sure you want to proceed with
the event?
※ If there is a party request, it will be
canceled."
,準備開始,Start Preparation
,キャンセル,Cancel
,イベント進行確認,Confirm Event Progress
,進行する,Proceed
,準備解除,Cancel Preparation
,キャンセル,Cancel
,新たな証拠品を手に入れた！,Got a new piece of evidence!
,誰かの話し声が聞こえる――,Someone's voice can be heard――
,憲兵が見張っている――この先には行けなさそうだ,The Military Police are on the lookout-- I don't think we can go any further.
,誰かが襲われている！　助けなければ――,Someone is being attacked!　We have to help--
,遠くから悲鳴が聞こえた――,I heard a scream in the distance--
,どこからか剣戟の音が聞こえる――,I hear the sound of a swordfight coming from somewhere--
,レジスタンスに新たな仲間が加わった！,A new friend joins the resistance!
,諜報活動領域外へ移動したため、クエストを終了しました,Quest terminated due to movement outside the area.
,諜報任務が進行した――,Intelligence mission in progress--
,ハントターゲットを討伐した！,Hunt target subjugated!
,ボーナスターゲットを討伐した！,Bonus target subjugated!
,闇の力によって封じられている,Sealed by the power of darkness.
,ハントターゲットを発見した！,Hunt target found!
,ボーナスターゲットを発見した！,Bonus target found!
,封鎖されたエリアが解放された――,The blocked area was opened up--
,"メインクエストが進行可能になりました
一度パーティーを解散してからトラバースに話しかけて下さい","The main quest is now ready to proceed.
Please talk to Travers once you break up the party."
