0,,"おっと、商品をみたいかい？
申し訳ない、今は準備しきれて
いないものも多くてね","Oh, do you want to see the goods? I'm sorry,
there are many things that haven't been fully
prepared yet.",ui\00_message\npc\base\n0509.gmd,\npc\n0509.arc,n0509.arc,2,Peddler
0,,"わたしは各地を旅して回ってんの
まぁ、一応これでも
トレジャーハンターのはしくれよ","I am traveling around different places, Well, for
now, I guess you could say I'm a bit of a treasure
hunter.",ui\00_message\npc\base\n0519.gmd,\npc\n0519.arc,n0519.arc,1,Freya
0,,お宝情報があったら交換しましょ,"If you have information on a treasure, let's
exchange it!",ui\00_message\npc\base\n0519.gmd,\npc\n0519.arc,n0519.arc,2,Freya
0,,"まだまだ行った事のない洞窟や遺跡は
たくさんあるのよね","There are still plenty of caves and ruins that I
have never been to, you know.",ui\00_message\npc\base\n0519.gmd,\npc\n0519.arc,n0519.arc,3,Freya
0,,獲物になりそうなのは、あまりいないな,Not a lot of potential prey out there.,ui\00_message\npc\base\n0520.gmd,\npc\n0520.arc,n0520.arc,0,Lent
0,,なんだ？　お前は何狙いだ？,What? What are you aiming for?,ui\00_message\npc\base\n0520.gmd,\npc\n0520.arc,n0520.arc,1,Lent
0,,厄介な魔物は遠くから狙うに限る,"Troublesome enemies are best attacked from a
distance.",ui\00_message\npc\base\n0520.gmd,\npc\n0520.arc,n0520.arc,2,Lent
0,,フン、話しかけるな,"Hmph, don't talk to me.",ui\00_message\npc\base\n0521.gmd,\npc\n0521.arc,n0521.arc,0,Kiefer
0,,よそへ行け,Go away,ui\00_message\npc\base\n0521.gmd,\npc\n0521.arc,n0521.arc,1,Kiefer
0,,話すことなどない,There is nothing to say anymore.,ui\00_message\npc\base\n0521.gmd,\npc\n0521.arc,n0521.arc,2,Kiefer
0,,あぁ、なんだてめぇ,"Ah, what the hell.",ui\00_message\npc\base\n0522.gmd,\npc\n0522.arc,n0522.arc,0,Bandit
0,,やめろよ、今は話しかけるんじゃねぇよ,"Stop it, don't talk to me right now.",ui\00_message\npc\base\n0522.gmd,\npc\n0522.arc,n0522.arc,1,Bandit
0,,ちっ、懐が厳しいぜ,"Well, my wallet is light.",ui\00_message\npc\base\n0522.gmd,\npc\n0522.arc,n0522.arc,2,Bandit
0,,アァ――,Ah――,ui\00_message\npc\base\n0523.gmd,\npc\n0523.arc,n0523.arc,0,Lingering Skeleton
0,,ウゥ――,Ugh--,ui\00_message\npc\base\n0523.gmd,\npc\n0523.arc,n0523.arc,1,Lingering Skeleton
0,,カラダ――ガ――アァ――,Body...ga...aah.,ui\00_message\npc\base\n0523.gmd,\npc\n0523.arc,n0523.arc,2,Lingering Skeleton
0,,――ギギ,-- Gigi.,ui\00_message\npc\base\n0524.gmd,\npc\n0524.arc,n0524.arc,0,Skeleton
0,,ア――？,Ah...?,ui\00_message\npc\base\n0524.gmd,\npc\n0524.arc,n0524.arc,1,Skeleton
0,,ウウウ――,Uuu...,ui\00_message\npc\base\n0524.gmd,\npc\n0524.arc,n0524.arc,2,Skeleton
0,,我々は、いつまで――,How much longer will we...,ui\00_message\npc\base\n0525.gmd,\npc\n0525.arc,n0525.arc,0,Skeleton
0,,帰りたい――,I want to go home--,ui\00_message\npc\base\n0525.gmd,\npc\n0525.arc,n0525.arc,1,Skeleton
0,,どうして、こんな姿に――,"Will Cecily be saved? There is no need to worry
because you guys are taking action. I keep telling
myself that, but...",ui\00_message\npc\base\n0525.gmd,\npc\n0525.arc,n0525.arc,2,Skeleton
0,,"ん――？
ああ、攻撃しないでくださいね
たたかう気はありませんので","Hm-?
Oh, please don't attack me.
I don't have any intention to fight.",ui\00_message\npc\base\n0526.gmd,\npc\n0526.arc,n0526.arc,0,Weary Harpy
0,,"――あら
魔物のわたしが話すのが珍しいですか？","Oh, do you find it unusual for a monster like me
to speak?",ui\00_message\npc\base\n0526.gmd,\npc\n0526.arc,n0526.arc,1,Weary Harpy
0,,"ハーピーは歌が命ですから声は出せるのですが
人間の言葉を覚えるかどうかは、それぞれですね
わたしはジンゲンに近い所で育ちましたから","I grew up near Jingen, so I know Harpies can
sing, so they can have a voice.
I'm not sure if they can learn human language or
not.",ui\00_message\npc\base\n0526.gmd,\npc\n0526.arc,n0526.arc,2,Weary Harpy
0,,"お腹――減ってきちゃった
あとで狩りにいかないと",I'm getting hungry. I have to go hunting later.,ui\00_message\npc\base\n0526.gmd,\npc\n0526.arc,n0526.arc,3,Weary Harpy
0,,やあ、調子はどうだい,"Hey, how are you doing?",ui\00_message\npc\base\n0527.gmd,\npc\n0527.arc,n0527.arc,0,Dubois
0,,今日があるのも、白竜さまのおかげだよ,"Today's existence is also thanks to The White
Dragon",ui\00_message\npc\base\n0527.gmd,\npc\n0527.arc,n0527.arc,1,Dubois
0,,こう魔物が増えちゃ、たまらないな,"These enemies are multiplying, it's really
overwhelming.",ui\00_message\npc\base\n0527.gmd,\npc\n0527.arc,n0527.arc,2,Dubois
0,,やあ、調子はどうだい,"Hey, how are you doing?",ui\00_message\npc\base\n0528.gmd,\npc\n0528.arc,n0528.arc,0,Morten
0,,今日があるのも、白竜さまのおかげだよ,"Today's existence is also thanks to The White
Dragon",ui\00_message\npc\base\n0528.gmd,\npc\n0528.arc,n0528.arc,1,Morten
0,,こう魔物が増えちゃ、たまらないな,"These enemies are multiplying, it's really
overwhelming.",ui\00_message\npc\base\n0528.gmd,\npc\n0528.arc,n0528.arc,2,Morten
0,,おお、調子はどうだ？,"Oh, how are you doing?",ui\00_message\npc\base\n0529.gmd,\npc\n0529.arc,n0529.arc,0,Arisen Corps Regimental Soldier
0,,今日があるのも、白竜様あってこそだ,Today exists because of The White Dragon exists.,ui\00_message\npc\base\n0529.gmd,\npc\n0529.arc,n0529.arc,1,Arisen Corps Regimental Soldier
0,,任務ではよろしく頼む,I kindly ask for your assistance with the task.,ui\00_message\npc\base\n0529.gmd,\npc\n0529.arc,n0529.arc,2,Arisen Corps Regimental Soldier
0,,お互い気が抜けんな,Don't let your guard down.,ui\00_message\npc\base\n0530.gmd,\npc\n0530.arc,n0530.arc,0,Arisen Corps Regimental Soldier
0,,気合を入れろよ,Get pumped up!,ui\00_message\npc\base\n0530.gmd,\npc\n0530.arc,n0530.arc,1,Arisen Corps Regimental Soldier
0,,魔物は増える一方だ,The monsters keep increasing.,ui\00_message\npc\base\n0530.gmd,\npc\n0530.arc,n0530.arc,2,Arisen Corps Regimental Soldier
0,,やあ、そっちはどうだい,"Hey, how are you doing?",ui\00_message\npc\base\n0531.gmd,\npc\n0531.arc,n0531.arc,0,Arisen Corps Regimental Soldier
0,,白竜さまのために、だな――,For the sake of the White Dragon.,ui\00_message\npc\base\n0531.gmd,\npc\n0531.arc,n0531.arc,1,Arisen Corps Regimental Soldier
0,,こう魔物が増えちゃ、たまらないな,"I can't stand it when these monsters increase
like this.",ui\00_message\npc\base\n0531.gmd,\npc\n0531.arc,n0531.arc,2,Arisen Corps Regimental Soldier
0,,まぁ、体には気をつけろよ,"Well, be careful with your body.",ui\00_message\npc\base\n0532.gmd,\npc\n0532.arc,n0532.arc,0,Arisen Corps Regimental Soldier
0,,いいな、気は抜くなよ,"That's nice, don't let your guard down.",ui\00_message\npc\base\n0532.gmd,\npc\n0532.arc,n0532.arc,1,Arisen Corps Regimental Soldier
0,,お前はポーン持ちなのか？　羨ましいよ,Are you a pawn bearer? I'm envious.,ui\00_message\npc\base\n0532.gmd,\npc\n0532.arc,n0532.arc,2,Arisen Corps Regimental Soldier
0,,ふう、なかなか気が休まらないよ,"Phew, it's hard to relax.",ui\00_message\npc\base\n0533.gmd,\npc\n0533.arc,n0533.arc,0,Arisen Corps Regimental Soldier
0,,任務は任務だからな,"It's a mission, after all.",ui\00_message\npc\base\n0533.gmd,\npc\n0533.arc,n0533.arc,1,Arisen Corps Regimental Soldier
0,,もっと鍛えないとな――,I need to train more...,ui\00_message\npc\base\n0533.gmd,\npc\n0533.arc,n0533.arc,2,Arisen Corps Regimental Soldier
0,,ん、調子はどうだ？,"Hmm, how are you feeling?",ui\00_message\npc\base\n0534.gmd,\npc\n0534.arc,n0534.arc,0,Arisen Corps Regimental Soldier
0,,白竜さまの加護を！,Under the protection of The White Dragon!,ui\00_message\npc\base\n0534.gmd,\npc\n0534.arc,n0534.arc,1,Arisen Corps Regimental Soldier
0,,物資補給も魔物討伐も終わりがみえんよ,"Supplies replenishment and enemy extermination
have no end in sight.",ui\00_message\npc\base\n0534.gmd,\npc\n0534.arc,n0534.arc,2,Arisen Corps Regimental Soldier
0,,ご機嫌いかがかしら？,How are you feeling?,ui\00_message\npc\base\n0535.gmd,\npc\n0535.arc,n0535.arc,0,Arisen Corps Regimental Soldier
0,,お互い、油断せずいきましょう,Let's both be careful and not let our guard down.,ui\00_message\npc\base\n0535.gmd,\npc\n0535.arc,n0535.arc,1,Arisen Corps Regimental Soldier
0,,"覚者も騎士も、苦労は同じだと
思うのよね","Both the Arisen and the Knights face the same
hardships, I believe.",ui\00_message\npc\base\n0535.gmd,\npc\n0535.arc,n0535.arc,2,Arisen Corps Regimental Soldier
0,,あぁ、調子はどうだ？,"Yeah, how's it going?",ui\00_message\npc\base\n0536.gmd,\npc\n0536.arc,n0536.arc,0,Soldier
0,,魔物どもは増える一方だな,The number of monsters is increasing.,ui\00_message\npc\base\n0536.gmd,\npc\n0536.arc,n0536.arc,1,Soldier
0,,ん、何か用か？,"Hmm, what can I do for you?",ui\00_message\npc\base\n0536.gmd,\npc\n0536.arc,n0536.arc,2,Soldier
0,,――装備の点検はこまめにな,"- The inspection of the equipment should be done
regularly.",ui\00_message\npc\base\n0537.gmd,\npc\n0537.arc,n0537.arc,0,Soldier
0,,準備はいつも整えておけよ,Always be prepared.,ui\00_message\npc\base\n0537.gmd,\npc\n0537.arc,n0537.arc,1,Soldier
0,,道具類はまさかの時に必要だぞ,Tools are necessary in case of emergencies.,ui\00_message\npc\base\n0537.gmd,\npc\n0537.arc,n0537.arc,2,Soldier
0,,ふう、まったくお互い大変そうね,"Phew, both of us seem to be going through a tough
time, don't we?",ui\00_message\npc\base\n0538.gmd,\npc\n0538.arc,n0538.arc,0,Female Soldier
0,,"魔物に食われるくらいなら
逃げるよ、わたしは",I'd rather run away than be eaten by demons.,ui\00_message\npc\base\n0538.gmd,\npc\n0538.arc,n0538.arc,1,Female Soldier
0,,さぁ、次はどうしようか,"So, what should we do next?",ui\00_message\npc\base\n0538.gmd,\npc\n0538.arc,n0538.arc,2,Female Soldier
0,,調子はどうだ？,How's it going?,ui\00_message\npc\base\n0539.gmd,\npc\n0539.arc,n0539.arc,0,Lightly-Equipped Soldier
0,,"装備はできるだけ軽くしておけよ
足の差はでかいぞ","Try to keep your equipment as light as possible.
The difference in mobility is significant.",ui\00_message\npc\base\n0539.gmd,\npc\n0539.arc,n0539.arc,1,Lightly-Equipped Soldier
0,,"大型魔物に登るときは、奴らの動きを
よく観察しろよ","When climbing on large monsters, observe their
movements well.",ui\00_message\npc\base\n0539.gmd,\npc\n0539.arc,n0539.arc,2,Lightly-Equipped Soldier
0,,うん、何？,"Yeah, what?",ui\00_message\npc\base\n0540.gmd,\npc\n0540.arc,n0540.arc,0,Lightly-Equipped Female Soldier
0,,ごめんね、今ちょっと話しかけないで,"I'm sorry, please don't talk to me right now",ui\00_message\npc\base\n0540.gmd,\npc\n0540.arc,n0540.arc,1,Lightly-Equipped Female Soldier
0,,特に用はないんでしょ？,"You don't have any special purpose, right?",ui\00_message\npc\base\n0540.gmd,\npc\n0540.arc,n0540.arc,2,Lightly-Equipped Female Soldier
0,,――ああ、なんだ？,"Oh, what is it?",ui\00_message\npc\base\n0541.gmd,\npc\n0541.arc,n0541.arc,0,Hunter
0,,どうした、何か聞きたいのか？,"What's wrong, do you want to ask something?",ui\00_message\npc\base\n0541.gmd,\npc\n0541.arc,n0541.arc,1,Hunter
0,,敵はいつくるかわからんぞ,You never know when the enemy will strike.,ui\00_message\npc\base\n0541.gmd,\npc\n0541.arc,n0541.arc,2,Hunter
0,,ご機嫌いかが？,How are you feeling?,ui\00_message\npc\base\n0542.gmd,\npc\n0542.arc,n0542.arc,0,Traveling Female Hunter
0,,ここには何しにきたの？,What did you come here for?,ui\00_message\npc\base\n0542.gmd,\npc\n0542.arc,n0542.arc,1,Traveling Female Hunter
0,,さ、そろそろ別のところへいこうかな,"Well, it's time to go somewhere else.",ui\00_message\npc\base\n0542.gmd,\npc\n0542.arc,n0542.arc,2,Traveling Female Hunter
0,,ふむ――なにかね？,"Hmm, what is it?",ui\00_message\npc\base\n0543.gmd,\npc\n0543.arc,n0543.arc,0,Sorcerer
0,,近頃はなかなか厄介な事件が増えてきたな,"Lately, there have been quite a few troublesome
incidents.",ui\00_message\npc\base\n0543.gmd,\npc\n0543.arc,n0543.arc,1,Sorcerer
0,,魔物の活性を抑える術があればいいのだが,"If there is a way to suppress the enemy's
activity, that would be great.",ui\00_message\npc\base\n0543.gmd,\npc\n0543.arc,n0543.arc,2,Sorcerer
0,,あら、ご機嫌いかがですか？,"Oh, how are you feeling?",ui\00_message\npc\base\n0544.gmd,\npc\n0544.arc,n0544.arc,0,Sorcerer
0,,癒し手の需要は増える一方です,The demand for healers continues to increase.,ui\00_message\npc\base\n0544.gmd,\npc\n0544.arc,n0544.arc,1,Sorcerer
0,,あなたの旅によき導きがありますように,May you have a good guidance on your journey,ui\00_message\npc\base\n0544.gmd,\npc\n0544.arc,n0544.arc,2,Sorcerer
0,,あなたの旅によき導きがありますように,May you have a good guidance on your journey,ui\00_message\npc\base\n0545.gmd,\npc\n0545.arc,n0545.arc,0,Priest
0,,今日があるのも、白竜さまのおかげでございます,"Today's existence is also thanks to The White
Dragon",ui\00_message\npc\base\n0545.gmd,\npc\n0545.arc,n0545.arc,1,Priest
0,,任務、ご苦労様です覚者様,"Thank you for your hard work, Arisen.",ui\00_message\npc\base\n0545.gmd,\npc\n0545.arc,n0545.arc,2,Priest
0,,あなたの旅によき導きがありますように,May you have a good guidance on your journey,ui\00_message\npc\base\n0546.gmd,\npc\n0546.arc,n0546.arc,0,Female Priest
0,,今日があるのも、白竜さまのおかげですね,"Today's existence is also thanks to The White
Dragon, isn't it",ui\00_message\npc\base\n0546.gmd,\npc\n0546.arc,n0546.arc,1,Female Priest
0,,お仕事頑張ってくださいませ、覚者さま,"Good luck with your work, Arisen",ui\00_message\npc\base\n0546.gmd,\npc\n0546.arc,n0546.arc,2,Female Priest
0,,よし、その調子で修練を重ねろよ！,"Okay, keep up the practice!",ui\00_message\npc\base\n0547.gmd,\npc\n0547.arc,n0547.arc,0,Wilson
0,,"技は一日にしてならず！
ひとつひとつ身に付けていくんだ","Skill does not come in a day! You have to learn
each one step by step.",ui\00_message\npc\base\n0547.gmd,\npc\n0547.arc,n0547.arc,1,Wilson
0,,"訓練にやりすぎはないぞ
じっくり実戦前に稽古していけ！","There's no such thing as too much training. Take
your time and practice before the actual battle!",ui\00_message\npc\base\n0547.gmd,\npc\n0547.arc,n0547.arc,2,Wilson
0,,おう、訓練について質問か？,"Oh, do you have any questions about the training?",ui\00_message\npc\base\n0547.gmd,\npc\n0547.arc,n0547.arc,3,Wilson
0,,"白竜に選ばれし覚者様――
古の武器についてであれば、お力になれるかと","Master Arisen, chosen by the White Dragon - If
it's about ancient weapons, I can be of
assistance.",ui\00_message\npc\base\n0548.gmd,\npc\n0548.arc,n0548.arc,0,Luca
0,,"人が武器を選ぶばかりではなく――
時として、武器が人を選ぶこともありましょう","It's not only humans who choose weapons -
Sometimes, weapons also choose their wielders.",ui\00_message\npc\base\n0548.gmd,\npc\n0548.arc,n0548.arc,1,Luca
0,,どうか貴方様も、それをお忘れなく,Please do not forget that,ui\00_message\npc\base\n0548.gmd,\npc\n0548.arc,n0548.arc,2,Luca
0,,"武器とは、討つべきものの数だけ
それに相応しき""かたち""があるもの――","A weapon has as many forms as there are things to
kill.",ui\00_message\npc\base\n0548.gmd,\npc\n0548.arc,n0548.arc,3,Luca
0,,"竜の敵となりうるおそろしき魔を退けるには
手に持つ刃もまた、特別でなければなりません","To repel the fearsome demons that can become
enemies of the dragon, the blades we wield must
also be special.",ui\00_message\npc\base\n0548.gmd,\npc\n0548.arc,n0548.arc,4,Luca
0,,"遠き古より流れ伝わる智――
覚者の、そしてポーンの民の――","From ancient times, the wisdom that has been
passed down continues to flow— Of the Arisen, and
the people known as Pawns—",ui\00_message\npc\base\n0548.gmd,\npc\n0548.arc,n0548.arc,5,Luca
0,,"戦徒が、自ら主の剣となり鎧となるために
より良き剣や鎧を生まんとするは
必然ではないでしょうか――","Is it not necessary for a Myrmidion to seek
better weapons and armor, to become their own
Masters sword and shield?",ui\00_message\npc\base\n0548.gmd,\npc\n0548.arc,n0548.arc,6,Luca
0,,おう、調査の進捗はどうだ？,"Oh, how's the investigation going?",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,0,Bertrand
0,,"辺りをぐるっと歩いてみたが
この島の生態系はレスタニアとは
えらく違うようだな","I walked around the area and the ecosystem of
this island seems to be very different from
Lestania.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,1,Bertrand
0,,"いつ、どんな魔物が飛び出してくるかわからんぞ
とっさの状況にも対処できるよう
装備や持ち物は常に見直しておけよ
調査探索の基本だ！","You never know when and what kind of creatures
will come at you. Always review your equipment and
items so you can handle any situation that arises.
It's the fundamentals of exploration and
investigation!",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,2,Bertrand
0,,"この魔赤島調査隊は精鋭揃いだ
難しい任務ではあるが、士気も高い
――俺か？　俺も久しぶりに勇み立ってるな！","This Bloodbane Isle expedition team is comprised
of elite members. Although it is a difficult
mission, their morale is high. ――As for me? I'm
also feeling a surge of courage after a long time!",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,3,Bertrand
0,,"前はグリッテン砦の防衛戦に参加していたんだが
モゴックの奴が墜ちてからは
いまいち張り合いが無くてな――","I used to be involved in the defense of Fort
Gritten, but since that Mogok guy went down, I
haven't had the same level of excitement--the
competition has really been lacking.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,4,Bertrand
0,,"ここのエリアマスター就任の打診を受けた時は
これぞ、と思ったものだ！","When I received the offer to become an Area
Master here, I thought, ""This is it!""",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,5,Bertrand
0,,"見ての通り、この駐屯地は臨時のものだ
だが、調査のために必要なものについては
それなりの質のものを集めている","As you can see, this base is temporary but we
have gathered the necessary equipment for the
investigation.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,6,Bertrand
0,,"質だけじゃなく、数もきっちり揃えてあるぞ！
お前の部下たちにも遠慮なく使うよう
言っておいてくれ","Not only the quantity, but also the quality is
meticulous! Please tell your subordinates to use
it without hesitation.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,7,Bertrand
0,,"おう、来たな！
あらためて自己紹介しておこうか
魔赤島調査隊、隊長のベルトランだ
この島のエリアマスターも兼任している","Oh, you've arrived! Let me introduce myself
again. I'm Bertrand, the captain of the Bloodbane
Isle research team. I'm also the Area Master of
this island.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,8,Bertrand
0,,"エリアマスターとは言っても
こんな状況だ
まだ何一つわからんがな！
まずは拠点を一通り設営したところだ","Even though I say I'm an Area Master, the
situation is like this. I still don't understand
anything! First, I have to set up the base.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,9,Bertrand
0,,"――そう不安そうな顔をするな！
島の全体像を早期に探るべく
身軽な人員を俺直属の斥候隊として
連れてきたから安心してくれ！","Don't look so worried! I've brought a team of
agile individuals as my direct reconnaissance unit
to swiftly explore the entire island. So, rest
assured!",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,10,Bertrand
0,,"彼らにはなるべく戦闘を避けさせ
島の地形や魔物の生息状況を
重点的に探らせていく予定だ","We'll have them avoid combat as much as possible,
and focus on exploring the island's terrain and
demonic inhabitants.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,11,Bertrand
0,,"そして、斥候隊を始めとする
各部隊からの情報を統括したり
調査の方向性を監督するのが俺の仕事ってわけだ","And so, my job involves overseeing information
from various units, including the scout team, and
supervising the direction of the investigation.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,12,Bertrand
0,,"監督といっても
お前たちはそれぞれの判断で
調査を進めてくれて構わん！
ジョゼフ様直々のお達しだ","Speaking of the overseer, each of you can proceed
with the investigation based on your own judgment!
This is a direct order from Joseph himself.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,13,Bertrand
0,,"俺もこの拠点で大人しくしているつもりは無いぞ！
この未知の状況、己の実力を計るには
絶好のチャンスだ！　腕が鳴るな！","I don't intend to sit still at this base either!
In this unknown situation, it's the perfect
opportunity to test my abilities. I'm itching to
go!",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,14,Bertrand
0,,"調査の進捗はどうだ？
支援品を割り当てておいたから
持っていくといい
今後の働きに期待してるぞ！","How is the progress of the investigation? I have
allocated support items, so it would be good to
bring them along. I am expecting great work from
you in the future!",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,15,Bertrand
0,,"調査の成果が出始めているな
厳しい状況に変わりはないが
この調子で進めていこう","The results of the investigation are beginning to
show, but the situation remains severe. Let's
continue in this way.",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,16,Bertrand
0,,"お前の隊もいつも頑張ってくれている
支援品を少し大目に持っていくといい
今後も期待してるぞ！","Your squad always does a great job, too.
You can take a little extra support supplies with
you!
I'm looking forward to seeing more of you in the
future!",ui\00_message\npc\base\n0549.gmd,\npc\n0549.arc,n0549.arc,17,Bertrand
