key,old
uGUI_Credits_9789,Tsutomu DNA Urago
uGUI_Credits_9790,YOSHITAKA NAKATANI
uGUI_Credits_9791,LONG WANG
uGUI_Credits_9792,KEITA KONNO
uGUI_Credits_9793,YASUHARU TAKAHASHI
uGUI_Credits_9794,Lead Quest Programmer
uGUI_Credits_9795,NAOKI UEMATSU
uGUI_Credits_9796,Quest Programmers
uGUI_Credits_9797,TATSUMU ICHIKAWA
uGUI_Credits_9798,YUKI MATSUURA
uGUI_Credits_9799,Lead UI Programmer
uGUI_Credits_9800,KAZUHITO NARITA
uGUI_Credits_9801,UI Programmers
uGUI_Credits_9802,NOBUHITO SHIMIZU
uGUI_Credits_9803,SEIJI HAMAJIMA
uGUI_Credits_9804,YUTA KAWAMURA
uGUI_Credits_9805,Lead System Programmer
uGUI_Credits_9806,TAKESHI ENOMOTO
uGUI_Credits_9807,System Programmers
uGUI_Credits_9808,YUKI KAJIWARA
uGUI_Credits_9809,KAZUCHIKA SHINAGAWA
uGUI_Credits_9810,JUNWEI NG
uGUI_Credits_9811,Sound Programmer
uGUI_Credits_9812,MIKIO UEDA
uGUI_Credits_9813,Web Programmer
uGUI_Credits_9814,YUYA MATSUI
uGUI_Credits_9815,@ Server Programming @
uGUI_Credits_9816,Server Programmers
uGUI_Credits_9817,MINAMI.O
uGUI_Credits_9818,Masahito Oh!Ya!
uGUI_Credits_9819,MASAKI NISHIMASU
uGUI_Credits_9820,MITSUNORI SAKANO
uGUI_Credits_9821,TAKAHIRO YAMAMOTO
uGUI_Credits_9822,AKIRA TAMURA
uGUI_Credits_9823,TATSUYA TANIUCHI
uGUI_Credits_9824,TAKANORI UEHARA
uGUI_Credits_9825,YUMA YOSHIDA
uGUI_Credits_9826,KAZUYUKI MORIMOTO
uGUI_Credits_9827,HITOSHI YOKOTA
uGUI_Credits_9828,@ Art Design @
uGUI_Credits_9829,Lead Monster Designer
uGUI_Credits_9830,YOSHINORI MATSUSHITA
uGUI_Credits_9831,Lead Weapon Designer
uGUI_Credits_9832,KAORU ARAKI
uGUI_Credits_9833,Armor Designer
uGUI_Credits_9834,HARUKI SUETSUGU
uGUI_Credits_9835,@ Modeling @
uGUI_Credits_9836,Character Modelers
uGUI_Credits_9837,RYOHEI MURO
uGUI_Credits_9838,RYO HANAWA
uGUI_Credits_9839,YOSHIKAZU KOZONO
uGUI_Credits_9840,Weapon Modelers
uGUI_Credits_9841,MANAE MORI
uGUI_Credits_9842,YUMI NAKANO
uGUI_Credits_9843,Monster Modelers
uGUI_Credits_9844,TOMOKAZU KADOUE
uGUI_Credits_9845,YURIE NOGUCHI
uGUI_Credits_9846,@ Animation @
uGUI_Credits_9847,Lead Player Animator
uGUI_Credits_9848,YO-HE-
uGUI_Credits_9849,Enemy Animators
uGUI_Credits_9850,YOKO KINOSHITA
uGUI_Credits_9851,KENICHI F UEDA
uGUI_Credits_9852,SHINYA MIYAMOTO
uGUI_Credits_9853,SEIKA KORI
uGUI_Credits_9854,MAYUKO MIZUNO
uGUI_Credits_9855,MASATO FUJIURA
uGUI_Credits_9856,MACHI YODA
uGUI_Credits_9857,MAKOTO TSUKAHARA
uGUI_Credits_9858,Animation Manager
uGUI_Credits_9859,SHINYA KOBAYASHI
uGUI_Credits_9860,@ Environments @
uGUI_Credits_9861,Environment Modelers
uGUI_Credits_9862,HIDETO NAKATA
uGUI_Credits_9863,AYAKA KAWAJIRI
uGUI_Credits_9864,MASATOSHI MATSUSHITA
uGUI_Credits_9865,KANA KIOI
uGUI_Credits_9866,KEIKO HIGASHI
uGUI_Credits_9867,CHIMING LIN
uGUI_Credits_9868,MIYUKI DEGUCHI
uGUI_Credits_9869,MIWAKO GODA
uGUI_Credits_9870,@ VFX @
uGUI_Credits_9871,VFX Artists
uGUI_Credits_9872,ATSUSHI TAKAI
uGUI_Credits_9873,TAKUYA KOMATSU
uGUI_Credits_9874,@ UI Design @
uGUI_Credits_9875,UI Designers
uGUI_Credits_9876,YASUKO SHIMODA
uGUI_Credits_9877,MAKOTO SHIMOJO
uGUI_Credits_9878,KEITARO SHINMI
uGUI_Credits_9879,Companion App UI Designer
uGUI_Credits_9880,DAISUKE OKADA
uGUI_Credits_9881,@ Cinematics @
uGUI_Credits_9882,Lead In-game Cinematics Artist
uGUI_Credits_9883,IZUMI OBATA
uGUI_Credits_9884,In-game Cinematics Artist
uGUI_Credits_9885,EIJI KURATANI
uGUI_Credits_9886,@ Audio @
uGUI_Credits_9887,Composers
uGUI_Credits_9888,AZUSA KATO
uGUI_Credits_9889,SATOSHI HORI
uGUI_Credits_9890,Sound Designer
uGUI_Credits_9891,RYO YOSHII
uGUI_Credits_9892,Cinematic Sound Designers
uGUI_Credits_9893,ARATA IWASHINA
uGUI_Credits_9894,SAYAKA YAEGASHI
uGUI_Credits_9895,WATARU HAMA
uGUI_Credits_9896,Sound Manager
uGUI_Credits_9897,RYO KANAYA
uGUI_Credits_9898,@ Project Manager @
uGUI_Credits_9899,NAOTO NISHIMORI
uGUI_Credits_9900,@ Submission Section Staff @
uGUI_Credits_9901,Release Managers
uGUI_Credits_9902,SHUHEI YAMAMOTO
uGUI_Credits_9903,MOTOTAKA IDO
uGUI_Credits_9904,Submission Coordinators
uGUI_Credits_9905,NOBUYA YOSHIZUMI
uGUI_Credits_9906,KOTARO FUJIOKA
uGUI_Credits_9907,TAKUYA KAMIURA
uGUI_Credits_9908,@ Motion Capture @
uGUI_Credits_9909,Mo-cap Operators
uGUI_Credits_9910,IKUO NAKAYAMA
uGUI_Credits_9911,TSUNENORI SHIRAHAMA
uGUI_Credits_9912,NAOKI FUJISAWA
uGUI_Credits_9913,MASAHIRO NAKANO
uGUI_Credits_9914,TAKESHI NOSE
uGUI_Credits_9915,TSUYOSHI NAGAE
uGUI_Credits_9916,Actors
uGUI_Credits_9917,YOSHIAKI YUASA
uGUI_Credits_9918,MASATOSHI FUKIDOME
uGUI_Credits_9919,HIROMI SARUWATARI
uGUI_Credits_9920,@ MT FRAMEWORK Development Team @
uGUI_Credits_9921,MOTOKI NISHIKURA
uGUI_Credits_9922,CHESTER LEE
uGUI_Credits_9923,HIDEYUKI SAKANE
uGUI_Credits_9924,JUNJI OZEKI
uGUI_Credits_9925,KOICHI KUBO
uGUI_Credits_9926,LI MUZHI
uGUI_Credits_9927,TAKAKIMI HASHIMOTO
uGUI_Credits_9928,TOMOHISA MARUTANI
uGUI_Credits_9929,YOSHIHIRO KIMURA
uGUI_Credits_9930,KAZUSHI SANO
uGUI_Credits_9931,@ Special Thanks @
uGUI_Credits_9932,YOSHIHIRO KURA
uGUI_Credits_9933,GORO TOKUDA
uGUI_Credits_9934,YUTAKA TOMOSADA
uGUI_Credits_9935,TAKAYUKI SHINOHARA
uGUI_Credits_9936,KENJI GOTO
uGUI_Credits_9937,"@ NEURON・AGE CO., LTD. @"
uGUI_Credits_9938,Modelers
uGUI_Credits_9939,ARISA SHINOHARA
uGUI_Credits_9940,KEIKO SHIOTSUKI
uGUI_Credits_9941,KOJI AOKI
uGUI_Credits_9942,RYUJI SHIMATANI
uGUI_Credits_9943,Animators
uGUI_Credits_9944,SHINJI ISHII
uGUI_Credits_9945,TETSUYA TATEISHI
uGUI_Credits_9946,TAKAYUKI NAKAMURA
uGUI_Credits_9947,MIZUKI KOYAMA
uGUI_Credits_9948,Cinematics Artists
uGUI_Credits_9949,KANAE ONISHI
uGUI_Credits_9950,YUI KADA
uGUI_Credits_9951,@ Himawari Theatre Group Inc. @
uGUI_Credits_9952,Motion capture Actor
uGUI_Credits_9953,SAHO TANAKA
uGUI_Credits_9954,@ Baca the Bacca Co. Ltd. @
uGUI_Credits_9955,Director
uGUI_Credits_9956,DAISUKE KOUCHI
uGUI_Credits_9957,Producer
uGUI_Credits_9958,YUKO SHIMIZU
uGUI_Credits_9959,"@ T's MUSIC Co., Ltd. @"
uGUI_Credits_9960,Voice Director
uGUI_Credits_9961,CHIHARU KAMIO
uGUI_Credits_9962,Recording Engineers
uGUI_Credits_9963,HIROHITO MORIOCA (InPlan Inc.)
uGUI_Credits_9964,NOZOMI AOKI (studio GONG)
uGUI_Credits_9965,SYOHEI NIIGAWA
uGUI_Credits_9966,KAZUKI NANSEKI (EXA INTERNATIONAL)
uGUI_Credits_9967,Editor
uGUI_Credits_9968,MASAKO ISHII
uGUI_Credits_9969,Coordinator
uGUI_Credits_9970,TOMOMITSU MATSUSHITA
uGUI_Credits_9971,Studio
uGUI_Credits_9972,InPlan Inc.
uGUI_Credits_9973,studio GONG
uGUI_Credits_9974,T's MUSIC STUDIO
uGUI_Credits_9975,EXA INTERNATIONAL
uGUI_Credits_9976,@ Quality Assurance @
uGUI_Credits_9977,Lead Tester
uGUI_Credits_9978,RYUJI IWASAKI
uGUI_Credits_9979,Assistant Lead Testers
uGUI_Credits_9980,MAKO FUJIMOTO
uGUI_Credits_9981,ISSEI UEDA
uGUI_Credits_9982,CHIHIRO SAKAKIBARA
uGUI_Credits_9983,TOMOKAZU KUDO
uGUI_Credits_9984,MASATO NAMBA
uGUI_Credits_9985,ERI NAKAGAWA
uGUI_Credits_9986,Network Tester
uGUI_Credits_9987,MANABU KIYOMOTO
uGUI_Credits_9988,Compliance Tester
uGUI_Credits_9989,YUSUKE NAKAZAWA 
uGUI_Credits_9990,Senior Testers
uGUI_Credits_9991,KOKI KOJIMA
uGUI_Credits_9992,SHO ISHIHARA
uGUI_Credits_9993,KENTO MATSUKURA
uGUI_Credits_9994,NOBUHIKO UEMURA
uGUI_Credits_9995,TETSUNORI MATSUOKA
uGUI_Credits_9996,Testers
uGUI_Credits_9997,MAKI FUJITA
uGUI_Credits_9998,TAKAAKI TSUJII 
uGUI_Credits_9999,YUUJI IMANISHI
uGUI_Credits_10000,RUI FUMITA
uGUI_Credits_10001,QA Manager
uGUI_Credits_10002,FUMIHIKO BANNO
uGUI_Credits_10003,"@ Pole To Win Co., Ltd. @"
uGUI_Credits_10004,@ Operations @
uGUI_Credits_10005,Game Service Designers
uGUI_Credits_10006,KEIICHI SUZUKI
uGUI_Credits_10007,TOSHIAKI MATSUDA
uGUI_Credits_10008,HIDEAKI KOMINAMI
uGUI_Credits_10009,SUGURU MAESAWA
uGUI_Credits_10010,MASASHI NAKAMURA
uGUI_Credits_10011,SHISUMI KAGEYAMA
uGUI_Credits_10012,HIROAKI OSHIRO
uGUI_Credits_10013,SADATAKA INOUE
uGUI_Credits_10014,TAKASHI NOMURA
uGUI_Credits_10015,MAIKO KOGA
uGUI_Credits_10016,TERUHISA NAMBA
uGUI_Credits_10017,MASAYUKI HAYAKAWA
uGUI_Credits_10018,ARATA UMEMURA
uGUI_Credits_10019,DAI HASEGAWA
uGUI_Credits_10020,MAIKO OKAWA
uGUI_Credits_10021,REIKO KITA
uGUI_Credits_10022,ATSUSHI TOBITA
uGUI_Credits_10023,MEGUMI SHIMURA
uGUI_Credits_10024,HARUKA YAMADA
uGUI_Credits_10025,JUNICHI ICHIKURA
uGUI_Credits_10026,YUSUKE TSUCHIYA
uGUI_Credits_10027,SATOSHI KOBAYASHI
uGUI_Credits_10028,YUKO TAGATA
uGUI_Credits_10029,TAKAKO ITO
uGUI_Credits_10030,SHINJIRO YASHIKI
uGUI_Credits_10031,GEN OTSUKA
uGUI_Credits_10032,YUKI NAKADA
uGUI_Credits_10033,NOBUHITO SHINODA
uGUI_Credits_10034,AIKO SHIMOZAKI
uGUI_Credits_10035,TETSUTO TAKIZAWA
uGUI_Credits_10036,TAKAHIKO UMEZAKI
uGUI_Credits_10037,YUKISUKE MAKI
uGUI_Credits_10038,KIIKO TAKAGI
uGUI_Credits_10039,HIROSHI TAMURA
uGUI_Credits_10040,Service infrastructure Engineers
uGUI_Credits_10041,MEGUMU MEGURO
uGUI_Credits_10042,SATOSHI HIRAYAMA
uGUI_Credits_10043,SUNGTAE RIM
uGUI_Credits_10044,HANAKI HIROKAZU
uGUI_Credits_10045,TAKESHI KOSHIZUKA
uGUI_Credits_10046,YUICHI CHIAKI
uGUI_Credits_10047,HITOMI MASANORI
uGUI_Credits_10048,YUYA ONIZUKA
uGUI_Credits_10049,MIHO NIHEI
uGUI_Credits_10050,Event Planners
uGUI_Credits_10051,SHUNSUKE SHINODA
uGUI_Credits_10052,HIROAKI NUMAGUCHI
uGUI_Credits_10053,SATORU SAKAI
uGUI_Credits_10054,KENTA NISHIMURA
uGUI_Credits_10055,NAOKI MATSUDA
uGUI_Credits_10056,Publicity
uGUI_Credits_10057,ASAKO TOYODA
uGUI_Credits_10058,TAKASHI YAMANAKA
uGUI_Credits_10059,Promotion
uGUI_Credits_10060,KAZUO CHOUYA
uGUI_Credits_10061,SATOSHI TANAKA
uGUI_Credits_10062,YUKA YAMASHITA
uGUI_Credits_10063,Assistant Producers
uGUI_Credits_10064,AKIHISA KITAMURA
uGUI_Credits_10065,TAKESHI KANEYASU
uGUI_Credits_10066,AKIHIRO TAIRA
uGUI_Credits_10067,Director
uGUI_Credits_10068,YUICHI TAKEUCHI
uGUI_Credits_10069,Sound Design by Soundelux Design Music Group
uGUI_Credits_10070,Font Design by Fontworks Inc.
uGUI_Credits_10071,Artbeats Digital Film Library
uGUI_Credits_10072,Getty Images
uGUI_Credits_10073,@ Executive @
uGUI_Credits_10074,TERUKI MIYASHITA
uGUI_Credits_10075,@ Executive Producer @
uGUI_Credits_10076,HIROYUKI KOBAYASHI
uGUI_Credits_10077,@ Producer @
uGUI_Credits_10078,MINAE MATSUKAWA
uGUI_Credits_10079,@ Director @
uGUI_Credits_10080,KENT KINOSHITA
