"0","","閉じられていた壁が無くなった！","閉じられていた壁が無くなった！","ui\00_message\examine_message\quest\quest_examine_q29999999.gmd","\quest\q29999999.arc","q29999999.arc","2"
"0","0","【高難度】緊急補給要請","【高難度】緊急補給要請","ui\00_message\quest_info\q30200038_00.gmd","\quest\q30200038.arc","q30200038.arc","0"
"1","eqenhance_title_sub","<LQIM>を<LQVA>個集めよとの命令よ
あなたに任せたいのだけれど、いいかしら","<LQIM>を<LQVA>個集めよとの命令よ
あなたに任せたいのだけれど、いいかしら","ui\00_message\quest_info\q30200038_00.gmd","\quest\q30200038.arc","q30200038.arc","1"
"0","0","【高難度】物資確保のため","【高難度】物資確保のため","ui\00_message\quest_info\q30200039_00.gmd","\quest\q30200039.arc","q30200039.arc","0"
"1","eqenhance_title_sub","<LQIM>を<LQVA>個集めよとの命令よ
あなたに任せたいのだけれど、いいかしら","<LQIM>を<LQVA>個集めよとの命令よ
あなたに任せたいのだけれど、いいかしら","ui\00_message\quest_info\q30200039_00.gmd","\quest\q30200039.arc","q30200039.arc","1"
"0","0","【高難度】物資調達命令","【高難度】物資調達命令","ui\00_message\quest_info\q30200040_00.gmd","\quest\q30200040.arc","q30200040.arc","0"
"1","eqenhance_title_sub","<LQIM>を<LQVA>個集めよとの命令よ
あなたに任せたいのだけれど、いいかしら","<LQIM>を<LQVA>個集めよとの命令よ
あなたに任せたいのだけれど、いいかしら","ui\00_message\quest_info\q30200040_00.gmd","\quest\q30200040.arc","q30200040.arc","1"
"0","0","街道の安全確保","街道の安全確保","ui\00_message\quest_info\q40000001_00.gmd","\quest\q40000001.arc","q40000001.arc","0"
"1","eqenhance_title_sub","近年、街道付近で<LQEM>による被害が相次いでいる。これ以上の被害拡大を防ぐため、<LQVA>体の討伐を任務として発布する
覚者、ならびに白騎団は対処にあたること","近年、街道付近で<LQEM>による被害が相次いでいる。これ以上の被害拡大を防ぐため、<LQVA>体の討伐を任務として発布する
覚者、ならびに白騎団は対処にあたること","ui\00_message\quest_info\q40000001_00.gmd","\quest\q40000001.arc","q40000001.arc","1"
"0","0","害獣駆除","Dangerous Beasts","ui\00_message\quest_info\q40000002_00.gmd","\quest\q40000002.arc","q40000002.arc","0"
"1","eqenhance_title_sub","近隣から<LQEM>による家畜や作物の被害がたびたび寄せられている。緊急性はそれほど高くないが放置できぬため、手の空いた者は対応にあたれ
覚者、ならびに白騎団は少なくとも<LQVA>匹は駆除すること","近隣から<LQEM>による家畜や作物の被害がたびたび寄せられている。緊急性はそれほど高くないが放置できぬため、手の空いた者は対応にあたれ
覚者、ならびに白騎団は少なくとも<LQVA>匹は駆除すること","ui\00_message\quest_info\q40000002_00.gmd","\quest\q40000002.arc","q40000002.arc","1"
"0","0","周辺治安維持","On the Outskirts","ui\00_message\quest_info\q40000003_00.gmd","\quest\q40000003.arc","q40000003.arc","0"
"1","eqenhance_title_sub","憂うべき事に、<LQEM>により往来の商人が脅かされる事件が多発している
治安維持のため、各自速やかに<LQVA>体以上討伐し、対処にあたれ","憂うべき事に、<LQEM>により往来の商人が脅かされる事件が多発している
治安維持のため、各自速やかに<LQVA>体以上討伐し、対処にあたれ","ui\00_message\quest_info\q40000003_00.gmd","\quest\q40000003.arc","q40000003.arc","1"
"0","0","魔物の増加傾向に関して","Growing Number of Monsters","ui\00_message\quest_info\q40000004_00.gmd","\quest\q40000004.arc","q40000004.arc","0"
"1","eqenhance_title_sub","統計によると<LQEM>が近年増加しているようです。民の脅威となる前に、対策を講じるべきと神官のご判断がありました
発見し次第、白騎団ならびに覚者隊の皆さまは<LQVA>体は討伐するよう願います","統計によると<LQEM>が近年増加しているようです。民の脅威となる前に、対策を講じるべきと神官のご判断がありました
発見し次第、白騎団ならびに覚者隊の皆さまは<LQVA>体は討伐するよう願います","ui\00_message\quest_info\q40000004_00.gmd","\quest\q40000004.arc","q40000004.arc","1"
"0","0","白騎団　往来の安全確保","White Knights: Protection of Travelers","ui\00_message\quest_info\q40000005_00.gmd","\quest\q40000005.arc","q40000005.arc","0"
"1","eqenhance_title_sub","先日、旅人らしき者の遺体が発見された
近くにあった痕跡から、どうやら被害は<LQEM>によるものとのことだ。これを<LQVA>体討伐し、白騎団の誇りに懸けて往来の安全を確保せよ","先日、旅人らしき者の遺体が発見された
近くにあった痕跡から、どうやら被害は<LQEM>によるものとのことだ。これを<LQVA>体討伐し、白騎団の誇りに懸けて往来の安全を確保せよ","ui\00_message\quest_info\q40000005_00.gmd","\quest\q40000005.arc","q40000005.arc","1"
"0","0","白騎団　討伐任務","White Knights: Elimination","ui\00_message\quest_info\q40000006_00.gmd","\quest\q40000006.arc","q40000006.arc","0"
"1","eqenhance_title_sub","<LQEM>・<LQVA>体が確認されたと報告があった
神殿や村への接近も懸念されるため、白騎団の誇りにかけ危機となる前に見つけ出し、これを討伐せよ","<LQEM>・<LQVA>体が確認されたと報告があった
神殿や村への接近も懸念されるため、白騎団の誇りにかけ危機となる前に見つけ出し、これを討伐せよ","ui\00_message\quest_info\q40000006_00.gmd","\quest\q40000006.arc","q40000006.arc","1"
"0","0","白騎団　緊急討伐指令","White Knights: Emergency Elimination","ui\00_message\quest_info\q40000007_00.gmd","\quest\q40000007.arc","q40000007.arc","0"
"1","eqenhance_title_sub","緊急連絡！
<LQEM>・<LQVA>体の目撃情報あり
神殿付近出現した場合甚大な被害に繋がる恐れがあるため、急ぎ討伐にあたれ","緊急連絡！
<LQEM>・<LQVA>体の目撃情報あり
神殿付近出現した場合甚大な被害に繋がる恐れがあるため、急ぎ討伐にあたれ","ui\00_message\quest_info\q40000007_00.gmd","\quest\q40000007.arc","q40000007.arc","1"
"0","0","白翼覚者隊・駆除任務　ハイデル平原","White Wings: Extermination (Hidell Plains)","ui\00_message\quest_info\q40000008_00.gmd","\quest\q40000008.arc","q40000008.arc","0"
"1","eqenhance_title_sub","神殿滞在中の覚者様に通達です
近年任地にて<LQEM>が増えつつあるとの報告が上がっております。可能であれば任務の合間で構いませんので、<LQVA>体ほどの討伐にご協力お願いします","神殿滞在中の覚者様に通達です
近年任地にて<LQEM>が増えつつあるとの報告が上がっております。可能であれば任務の合間で構いませんので、<LQVA>体ほどの討伐にご協力お願いします","ui\00_message\quest_info\q40000008_00.gmd","\quest\q40000008.arc","q40000008.arc","1"
"0","0","白翼覚者隊・討伐任務　ハイデル平原","White Wings: Elimination (Hidell Plains)","ui\00_message\quest_info\q40000009_00.gmd","\quest\q40000009.arc","q40000009.arc","0"
"1","eqenhance_title_sub","神殿滞在中の覚者様に通達です
任地にて<LQEM>を確認した場合、地域安全維持のため各自<LQVA>体以上の討伐を願いします","神殿滞在中の覚者様に通達です
任地にて<LQEM>を確認した場合、地域安全維持のため各自<LQVA>体以上の討伐を願いします","ui\00_message\quest_info\q40000009_00.gmd","\quest\q40000009.arc","q40000009.arc","1"
"0","0","＜エリアオーダー＞神殿近郊魔物征伐","Area Order: Temple Outskirts Demon Extermination","ui\00_message\quest_info\q40000010_00.gmd","\quest\q40000010.arc","q40000010.arc","0"
"1","eqenhance_title_sub","神殿滞在中の覚者達へ緊急依頼だ
神殿付近にて危険性の高い<LQEM>が多数確認されたとの報告があった
重大な危機に繋がる可能性があるので、<LQVA>体の討伐にご協力頼む！","神殿滞在中の覚者達へ緊急依頼だ
神殿付近にて危険性の高い<LQEM>が多数確認されたとの報告があった
重大な危機に繋がる可能性があるので、<LQVA>体の討伐にご協力頼む！","ui\00_message\quest_info\q40000010_00.gmd","\quest\q40000010.arc","q40000010.arc","1"
"0","0","本当は自分で行くんだが――","Would've Gone There","ui\00_message\quest_info\q40000011_00.gmd","\quest\q40000011.arc","q40000011.arc","0"
"1","eqenhance_title_sub","誰でもいい、この辺りで採れる<LQIM>を<LQVA>個ばかり集めて来てくれないか
本当だったら自分で行くんだが、神殿の外は危険だってんで騎士様に止められてな","誰でもいい、この辺りで採れる<LQIM>を<LQVA>個ばかり集めて来てくれないか
本当だったら自分で行くんだが、神殿の外は危険だってんで騎士様に止められてな","ui\00_message\quest_info\q40000011_00.gmd","\quest\q40000011.arc","q40000011.arc","1"
"0","0","クラフトルーム備品補充のお願い","For the Crafting Room","ui\00_message\quest_info\q40000012_00.gmd","\quest\q40000012.arc","q40000012.arc","0"
"1","eqenhance_title_sub","クラフトルームの備品素材、<LQIM>が現在不足しているのです
どなたか、<LQVA>個の手配をお願いできますでしょうか
どうかよろしくお願いします","クラフトルームの備品素材、<LQIM>が現在不足しているのです
どなたか、<LQVA>個の手配をお願いできますでしょうか
どうかよろしくお願いします","ui\00_message\quest_info\q40000012_00.gmd","\quest\q40000012.arc","q40000012.arc","1"
"0","0","武具の手入れ用品お願い","Dents in Armor","ui\00_message\quest_info\q40000013_00.gmd","\quest\q40000013.arc","q40000013.arc","0"
"1","eqenhance_title_sub","ちょっとばかり商品の手入れに<LQIM>が要り用でね
素材屋でも入荷がなかったんで、こっちで頼むことにしたんだよ。<LQVA>個ほど手に入れちゃくれないか？","ちょっとばかり商品の手入れに<LQIM>が要り用でね
素材屋でも入荷がなかったんで、こっちで頼むことにしたんだよ。<LQVA>個ほど手に入れちゃくれないか？","ui\00_message\quest_info\q40000013_00.gmd","\quest\q40000013.arc","q40000013.arc","1"
"0","0","クラフト材料譲ってくれよ","A Plea for Craft Materials","ui\00_message\quest_info\q40000014_00.gmd","\quest\q40000014.arc","q40000014.arc","0"
"1","eqenhance_title_sub","<LQIM>を<LQVA>個、融通してくれないか？
クラフトに必要なんだが、仕入れに出る時間が無くってさ
悪ぃ、頼むよ！","<LQIM>を<LQVA>個、融通してくれないか？
クラフトに必要なんだが、仕入れに出る時間が無くってさ
悪ぃ、頼むよ！","ui\00_message\quest_info\q40000014_00.gmd","\quest\q40000014.arc","q40000014.arc","1"
"0","0","あのヒトを虜に","Capitivated","ui\00_message\quest_info\q40000015_00.gmd","\quest\q40000015.arc","q40000015.arc","0"
