"1","q40200160_00_498","この塔、そして我々の存続のために資材の備蓄には注意しておきたいところ
最近は<LQIM>が残り少なくなっているとギルロイから聞いています
手が空いている者で協力し、一気に<LQVA>つ集めてしまいましょう","この塔、そして我々の存続のために資材の備蓄には注意しておきたいところ
最近は<LQIM>が残り少なくなっているとギルロイから聞いています
手が空いている者で協力し、一気に<LQVA>つ集めてしまいましょう","ui\00_message\quest_info\q40200160_00.gmd","\quest\q40200160.arc","q40200160.arc","1"
"0","0","【週期要請】ボルド鉱山：物資供給","【週期要請】ボルド鉱山：物資供給","ui\00_message\quest_info\q40201008_00.gmd","\quest\q40201008.arc","q40201008.arc","0"
"1","eqenhance_title_sub","ここキノザに長期ご滞在の覚者様がた！
温泉をお楽しみになる合間で結構です、<LQIM>を<LQVA>つほど集めていただけませんかね
特産品を使った趣向を考えておりまして――","ここキノザに長期ご滞在の覚者様がた！
温泉をお楽しみになる合間で結構です、<LQIM>を<LQVA>つほど集めていただけませんかね
特産品を使った趣向を考えておりまして――","ui\00_message\quest_info\q40201008_00.gmd","\quest\q40201008.arc","q40201008.arc","1"
"0","0","【週期要請】ミスリウ森林深部：治安維持討伐","【週期要請】ミスリウ森林深部：治安維持討伐","ui\00_message\quest_info\q40201009_00.gmd","\quest\q40201009.arc","q40201009.arc","0"
"1","eqenhance_title_sub","この森に長期滞在をお考えの覚者様
実は、このところ頻繁に<LQEM>の襲撃を受けているのです
今後のことも考慮し、<LQVA>体の討伐にご協力いただけないでしょうか
数が数ですので、日数をかけてご対応くださって構いません","この森に長期滞在をお考えの覚者様
実は、このところ頻繁に<LQEM>の襲撃を受けているのです
今後のことも考慮し、<LQVA>体の討伐にご協力いただけないでしょうか
数が数ですので、日数をかけてご対応くださって構いません","ui\00_message\quest_info\q40201009_00.gmd","\quest\q40201009.arc","q40201009.arc","1"
"0","0","【週期要請】ミスリウ森林深部：物資供給","【週期要請】ミスリウ森林深部：物資供給","ui\00_message\quest_info\q40201010_00.gmd","\quest\q40201010.arc","q40201010.arc","0"
"1","eqenhance_title_sub","標の祠にご滞在中の覚者様
ここミスリウ深部にて入手可能な<LQIM>の備蓄を進めております
可能であれば<LQVA>個をこの祠へ納めていただけないでしょうか
急ぎではございません、お時間のある時にご対応いただければ――","標の祠にご滞在中の覚者様
ここミスリウ深部にて入手可能な<LQIM>の備蓄を進めております
可能であれば<LQVA>個をこの祠へ納めていただけないでしょうか
急ぎではございません、お時間のある時にご対応いただければ――","ui\00_message\quest_info\q40201010_00.gmd","\quest\q40201010.arc","q40201010.arc","1"
"0","0","【週期要請】バートランド平原：治安維持討伐","【週期要請】バートランド平原：治安維持討伐","ui\00_message\quest_info\q40201011_00.gmd","\quest\q40201011.arc","q40201011.arc","0"
"1","eqenhance_title_sub","エリアマスターとして、長期討伐の依頼だ
近頃<LQEM>の群れが何度も確認されている
すぐさま神殿に襲来する恐れは無いと見えるが、
これを機に掃討作戦を実施したい。<LQVA>体の討伐に協力してくれ","エリアマスターとして、長期討伐の依頼だ
近頃<LQEM>の群れが何度も確認されている
すぐさま神殿に襲来する恐れは無いと見えるが、
これを機に掃討作戦を実施したい。<LQVA>体の討伐に協力してくれ","ui\00_message\quest_info\q40201011_00.gmd","\quest\q40201011.arc","q40201011.arc","1"
"0","0","【週期要請】バートランド平原：物資供給","【週期要請】バートランド平原：物資供給","ui\00_message\quest_info\q40201012_00.gmd","\quest\q40201012.arc","q40201012.arc","0"
"1","eqenhance_title_sub","グリッテン砦の備蓄量を安定させるため、
一度まとまった数の物資を集めたいと思う
というわけで、<LQIM>を<LQVA>個手配してほしい
急ぎはしないから、対応可能な者は力を貸してくれ","グリッテン砦の備蓄量を安定させるため、
一度まとまった数の物資を集めたいと思う
というわけで、<LQIM>を<LQVA>個手配してほしい
急ぎはしないから、対応可能な者は力を貸してくれ","ui\00_message\quest_info\q40201012_00.gmd","\quest\q40201012.arc","q40201012.arc","1"
"0","0","【週期要請】ダウ渓谷：治安維持討伐","【週期要請】ダウ渓谷：治安維持討伐","ui\00_message\quest_info\q40201013_00.gmd","\quest\q40201013.arc","q40201013.arc","0"
"1","eqenhance_title_sub","ジンゲンに長期滞在される覚者様へ
最近<LQEM>が増えているようです
ご滞在の間に<LQIM>体ほどの討伐をお願いできぬでしょうか
自然と共生するこの地ではありますが、だからこそ村周辺の魔物の数には気を配っているのです","ジンゲンに長期滞在される覚者様へ
最近<LQEM>が増えているようです
ご滞在の間に<LQIM>体ほどの討伐をお願いできぬでしょうか
自然と共生するこの地ではありますが、だからこそ村周辺の魔物の数には気を配っているのです","ui\00_message\quest_info\q40201013_00.gmd","\quest\q40201013.arc","q40201013.arc","1"
"0","0","【週期要請】ダウ渓谷：物資供給","【週期要請】ダウ渓谷：物資供給","ui\00_message\quest_info\q40201014_00.gmd","\quest\q40201014.arc","q40201014.arc","0"
"1","eqenhance_title_sub","ジンゲンに長期滞在される覚者様へ
現在この村では<LQIM>が慢性的に不足しております
叶うことならば<LQVA>個ほど集めていただければ幸いです
急ぎはしません、どうかお願いします","ジンゲンに長期滞在される覚者様へ
現在この村では<LQIM>が慢性的に不足しております
叶うことならば<LQVA>個ほど集めていただければ幸いです
急ぎはしません、どうかお願いします","ui\00_message\quest_info\q40201014_00.gmd","\quest\q40201014.arc","q40201014.arc","1"
"0","0","【週期要請】ディナン深層林：治安維持討伐","【週期要請】ディナン深層林：治安維持討伐","ui\00_message\quest_info\q40201015_00.gmd","\quest\q40201015.arc","q40201015.arc","0"
"1","eqenhance_title_sub","近頃<LQEM>の姿をよく見かける
ここらで数を減らしておくべきかな
<LQVA>体くらい倒しておきたいから、時間をかけて取り組もう","近頃<LQEM>の姿をよく見かける
ここらで数を減らしておくべきかな
<LQVA>体くらい倒しておきたいから、時間をかけて取り組もう","ui\00_message\quest_info\q40201015_00.gmd","\quest\q40201015.arc","q40201015.arc","1"
"0","0","【週期要請】ディナン深層林：物資供給","【週期要請】ディナン深層林：物資供給","ui\00_message\quest_info\q40201016_00.gmd","\quest\q40201016.arc","q40201016.arc","0"
"1","eqenhance_title_sub","エルフ族が使っていた染料の再現を試みているが、
どうやらまとまった数の<LQIM>が必要なんだ
少しずつで構わないから<LQVA>個くらい集めてきてくれ
彼らが身にまとっていた色彩を見てみたくないか？","エルフ族が使っていた染料の再現を試みているが、
どうやらまとまった数の<LQIM>が必要なんだ
少しずつで構わないから<LQVA>個くらい集めてきてくれ
彼らが身にまとっていた色彩を見てみたくないか？","ui\00_message\quest_info\q40201016_00.gmd","\quest\q40201016.arc","q40201016.arc","1"
"0","0","【週期要請】バートランド平原北部：治安維持討伐","【週期要請】バートランド平原北部：治安維持討伐","ui\00_message\quest_info\q40201017_00.gmd","\quest\q40201017.arc","q40201017.arc","0"
"1","eqenhance_title_sub","エリアマスターのサニーだけど、ちょっと長期で依頼したいことがあってさ
<LQEM>が最近やたらと村の近くにやってくるんだよ
<LQVA>匹くらい退治してくれれば皆も安心できると思うんだ
ゆっくりでいいからさ、頼まれてくれると嬉しいよ","エリアマスターのサニーだけど、ちょっと長期で依頼したいことがあってさ
<LQEM>が最近やたらと村の近くにやってくるんだよ
<LQVA>匹くらい退治してくれれば皆も安心できると思うんだ
ゆっくりでいいからさ、頼まれてくれると嬉しいよ","ui\00_message\quest_info\q40201017_00.gmd","\quest\q40201017.arc","q40201017.arc","1"
"0","0","【週期要請】バートランド平原北部：物資供給","【週期要請】バートランド平原北部：物資供給","ui\00_message\quest_info\q40201018_00.gmd","\quest\q40201018.arc","q40201018.arc","0"
"1","eqenhance_title_sub","エリアマスターのサニーだよ
しばらくこの村にいるなら<LQIM>を<LQVA>つほど集めてきてくれないかな
最近は物騒だから、中々採りに行けなくて困ってるんだ
急ぎじゃないから、無理しなくていいからね","エリアマスターのサニーだよ
しばらくこの村にいるなら<LQIM>を<LQVA>つほど集めてきてくれないかな
最近は物騒だから、中々採りに行けなくて困ってるんだ
急ぎじゃないから、無理しなくていいからね","ui\00_message\quest_info\q40201018_00.gmd","\quest\q40201018.arc","q40201018.arc","1"
"0","0","【週期要請】ザンドラ東部：治安維持討伐","【週期要請】ザンドラ東部：治安維持討伐","ui\00_message\quest_info\q40201019_00.gmd","\quest\q40201019.arc","q40201019.arc","0"
"1","eqenhance_title_sub","エリアマスターのナディアよ
ゾマの近くに<LQEM>が増えてきているって噂が流れているでしょう
せっかく活気付いてきたこの町を守りたいのよ
時間はかかってもいいから、<LQVA>体ほど討伐して噂の元を断ってくれない？","エリアマスターのナディアよ
ゾマの近くに<LQEM>が増えてきているって噂が流れているでしょう
せっかく活気付いてきたこの町を守りたいのよ
時間はかかってもいいから、<LQVA>体ほど討伐して噂の元を断ってくれない？","ui\00_message\quest_info\q40201019_00.gmd","\quest\q40201019.arc","q40201019.arc","1"
"0","0","【週期要請】ザンドラ東部：物資供給","【週期要請】ザンドラ東部：物資供給","ui\00_message\quest_info\q40201020_00.gmd","\quest\q40201020.arc","q40201020.arc","0"
"1","eqenhance_title_sub","エリアマスターのナディアだけど、お願いしたいことがあるの
最近<LQIM>が中々手に入りにくくて困ってるの
時間をかけてもいいから、<LQVA>個ほど集めてきてくれるとありがたいわ","エリアマスターのナディアだけど、お願いしたいことがあるの
最近<LQIM>が中々手に入りにくくて困ってるの
時間をかけてもいいから、<LQVA>個ほど集めてきてくれるとありがたいわ","ui\00_message\quest_info\q40201020_00.gmd","\quest\q40201020.arc","q40201020.arc","1"
"0","0","【週期要請】ザンドラ禁域：治安維持討伐","【週期要請】ザンドラ禁域：治安維持討伐","ui\00_message\quest_info\q40201021_00.gmd","\quest\q40201021.arc","q40201021.arc","0"
"1","eqenhance_title_sub","ザンドラ禁域に長期滞在せんとする者へ
滞在中、<LQEM>なる適正存在を<LQVA>体討伐した際は、神殿まで報告を――
急務では無いため、安全を第一に考えた行動を望む","ザンドラ禁域に長期滞在せんとする者へ
滞在中、<LQEM>なる適正存在を<LQVA>体討伐した際は、神殿まで報告を――
急務では無いため、安全を第一に考えた行動を望む","ui\00_message\quest_info\q40201021_00.gmd","\quest\q40201021.arc","q40201021.arc","1"
"0","0","【週期要請】ザンドラ禁域：物資供給","【週期要請】ザンドラ禁域：物資供給","ui\00_message\quest_info\q40201022_00.gmd","\quest\q40201022.arc","q40201022.arc","0"
"1","eqenhance_title_sub","ここ禁域に滞在される覚者様への依頼でございます
この付近にて入手可能な<LQIM>を<LQVA>個納品いただけませぬでしょうか
ご滞在中、お時間がございましたらで構いません","ここ禁域に滞在される覚者様への依頼でございます
この付近にて入手可能な<LQIM>を<LQVA>個納品いただけませぬでしょうか
ご滞在中、お時間がございましたらで構いません","ui\00_message\quest_info\q40201022_00.gmd","\quest\q40201022.arc","q40201022.arc","1"
"0","0","【週期要請】亡都メルゴダ：治安維持討伐","【週期要請】亡都メルゴダ：治安維持討伐","ui\00_message\quest_info\q40201023_00.gmd","\quest\q40201023.arc","q40201023.arc","0"
"1","eqenhance_title_sub","居住区管理者として、覚者様に依頼がございます
近頃、活性化した<LQEM>の姿が頻繁に目撃されるようになりました
まだ居住区へは接近しておりませんが、念のため<LQEM>体ほど退けていただけないでしょうか
無理にとは申しません、こちらにいらっしゃる間にご対応くださればと――","居住区管理者として、覚者様に依頼がございます
近頃、活性化した<LQEM>の姿が頻繁に目撃されるようになりました
まだ居住区へは接近しておりませんが、念のため<LQEM>体ほど退けていただけないでしょうか
無理にとは申しません、こちらにいらっしゃる間にご対応くださればと――","ui\00_message\quest_info\q40201023_00.gmd","\quest\q40201023.arc","q40201023.arc","1"
"0","0","【週期要請】亡都メルゴダ：物資供給","【週期要請】亡都メルゴダ：物資供給","ui\00_message\quest_info\q40201024_00.gmd","\quest\q40201024.arc","q40201024.arc","0"
"1","eqenhance_title_sub","ここメルゴダでは資材の確保が困難であり、常に枯渇の危機にさらされています
少しでも<LQIM>の備蓄に余裕ができれば、皆の生活も楽になるかと思うのですが――
火急の用ではございませんので、お気の向かれた時にでも<LQVA>個ほど手に入れていただけないでしょうか","ここメルゴダでは資材の確保が困難であり、常に枯渇の危機にさらされています
少しでも<LQIM>の備蓄に余裕ができれば、皆の生活も楽になるかと思うのですが――
火急の用ではございませんので、お気の向かれた時にでも<LQVA>個ほど手に入れていただけないでしょうか","ui\00_message\quest_info\q40201024_00.gmd","\quest\q40201024.arc","q40201024.arc","1"
"0","0","【週期要請】魔赤島①：定点調査討伐","【週期要請】魔赤島①：定点調査討伐","ui\00_message\quest_info\q40201025_00.gmd","\quest\q40201025.arc","q40201025.arc","0"
"1","eqenhance_title_sub","調査隊各員へ
<LQEM>の行動調査として、<LQVA>体の討伐および戦果の報告をしてくれ
今回は討伐目標数も多いからな、時間をかけて対応してくれて構わん","調査隊各員へ
<LQEM>の行動調査として、<LQVA>体の討伐および戦果の報告をしてくれ
今回は討伐目標数も多いからな、時間をかけて対応してくれて構わん","ui\00_message\quest_info\q40201025_00.gmd","\quest\q40201025.arc","q40201025.arc","1"
"0","0","【週期要請】魔赤島①：物資供給","【週期要請】魔赤島①：物資供給","ui\00_message\quest_info\q40201026_00.gmd","\quest\q40201026.arc","q40201026.arc","0"
"1","eqenhance_title_sub","隊の備蓄量を調整するため、<LQIM>を重点的に補充するぞ
各々<LQVA>個ずつ集めれば、しばらくはもつだろう
とはいえ、焦る必要は無いからな
腰を据えて取り組んでくれて構わん！","隊の備蓄量を調整するため、<LQIM>を重点的に補充するぞ
各々<LQVA>個ずつ集めれば、しばらくはもつだろう
とはいえ、焦る必要は無いからな
腰を据えて取り組んでくれて構わん！","ui\00_message\quest_info\q40201026_00.gmd","\quest\q40201026.arc","q40201026.arc","1"
"0","0","【週期要請】魔赤島②：定点調査討伐","【週期要請】魔赤島②：定点調査討伐","ui\00_message\quest_info\q40201027_00.gmd","\quest\q40201027.arc","q40201027.arc","0"
"1","eqenhance_title_sub","<LQEM>への効果的な対策を練るため、<LQVA>体ほどを討伐の上、
やつらの戦闘時の行動について報告してくれ！
なお、この件については長期的に見ていく必要があると考えている
急ぐ必要は無いから、無理はするなよ","<LQEM>への効果的な対策を練るため、<LQVA>体ほどを討伐の上、
やつらの戦闘時の行動について報告してくれ！
なお、この件については長期的に見ていく必要があると考えている
急ぐ必要は無いから、無理はするなよ","ui\00_message\quest_info\q40201027_00.gmd","\quest\q40201027.arc","q40201027.arc","1"
"0","0","【週期要請】魔赤島②：物資供給","【週期要請】魔赤島②：物資供給","ui\00_message\quest_info\q40201028_00.gmd","\quest\q40201028.arc","q40201028.arc","0"
"1","eqenhance_title_sub","備蓄している資材だが、時期によって減り方にかなり差があるようだ
もう少しすれば<LQIM>が減り始めことが予測される
それまでに<LQVA>個の補給を頼みたい
急ぎはしないが、減り始めるまでには頼むぞ！","備蓄している資材だが、時期によって減り方にかなり差があるようだ
もう少しすれば<LQIM>が減り始めことが予測される
それまでに<LQVA>個の補給を頼みたい
急ぎはしないが、減り始めるまでには頼むぞ！","ui\00_message\quest_info\q40201028_00.gmd","\quest\q40201028.arc","q40201028.arc","1"
"0","0","＜ウィークリー＞長期魔物討伐：テル村","＜ウィークリー＞長期魔物討伐：テル村","ui\00_message\quest_info\q40201039_00.gmd","\quest\q40201039.arc","q40201039.arc","0"
"1","eqenhance_title_sub","テルに長期滞在する覚者の諸君にお願いがある
最近村周辺に<LQEM>が増えていてな
急を要するわけではないが、ここにいる間に<LQVA>体ほど討伐を頼みたい","テルに長期滞在する覚者の諸君にお願いがある
最近村周辺に<LQEM>が増えていてな
急を要するわけではないが、ここにいる間に<LQVA>体ほど討伐を頼みたい","ui\00_message\quest_info\q40201039_00.gmd","\quest\q40201039.arc","q40201039.arc","1"
"0","0","＜ウィークリー＞物資供給：テル村","＜ウィークリー＞物資供給：テル村","ui\00_message\quest_info\q40201040_00.gmd","\quest\q40201040.arc","q40201040.arc","0"
"1","eqenhance_title_sub","ここ最近、テルでは資源不足が続いていてな
特に<LQIM>が不足していると住民の間で不満が漏れている
いかがだろうか？　<LQVA>個ほど集めてきてくれたら助かるのだが
焦ることはない、じっくりできる者にお願いしたい","ここ最近、テルでは資源不足が続いていてな
特に<LQIM>が不足していると住民の間で不満が漏れている
いかがだろうか？　<LQVA>個ほど集めてきてくれたら助かるのだが
焦ることはない、じっくりできる者にお願いしたい","ui\00_message\quest_info\q40201040_00.gmd","\quest\q40201040.arc","q40201040.arc","1"
"0","0","【週期要請】ミスリウ森林（リンウッド）：治安維持討伐","【週期要請】ミスリウ森林（リンウッド）：治安維持討伐","ui\00_message\quest_info\q40201041_00.gmd","\quest\q40201041.arc","q40201041.arc","0"
"1","eqenhance_title_sub","最近、この森も物騒になってきてね
徐々にだけど魔物の数を減らしていきたいと思っているの
そこでなんだけど、<LQEM>を<LQVA>体ほど討伐してほしいのよ
あくまで長期目標だから、焦ることはないわ","最近、この森も物騒になってきてね
徐々にだけど魔物の数を減らしていきたいと思っているの
そこでなんだけど、<LQEM>を<LQVA>体ほど討伐してほしいのよ
あくまで長期目標だから、焦ることはないわ","ui\00_message\quest_info\q40201041_00.gmd","\quest\q40201041.arc","q40201041.arc","1"
"0","0","【週期要請】ミスリウ森林（リンウッド）：物資供給","【週期要請】ミスリウ森林（リンウッド）：物資供給","ui\00_message\quest_info\q40201042_00.gmd","\quest\q40201042.arc","q40201042.arc","0"
"1","eqenhance_title_sub","リンウッドに長期滞在する人がいたらお願いしたいの
村人の間で<LQIM>が不足しているって報告があったの
備蓄に必要だから数が多いけど<LQVA>ほど納品できないかしら？
急を要する案件ではないから、コツコツお願いね","リンウッドに長期滞在する人がいたらお願いしたいの
村人の間で<LQIM>が不足しているって報告があったの
備蓄に必要だから数が多いけど<LQVA>ほど納品できないかしら？
急を要する案件ではないから、コツコツお願いね","ui\00_message\quest_info\q40201042_00.gmd","\quest\q40201042.arc","q40201042.arc","1"
"0","0","【週期要請】ボルド鉱山（ホボリック）：治安維持討伐","【週期要請】ボルド鉱山（ホボリック）：治安維持討伐","ui\00_message\quest_info\q40201043_00.gmd","\quest\q40201043.arc","q40201043.arc","0"
"1","eqenhance_title_sub","おい――お前ら、ヒトか？　ヒトだな？
最近城の近くで<LQEM>がうろついテ目障りなんダヨ
<LQVA>体倒してこい！　多イか？　まあ焦らずやってミロ
そうだナ――ちゃんとやったらまァ、よくしてやるヨ","おい――お前ら、ヒトか？　ヒトだな？
最近城の近くで<LQEM>がうろついテ目障りなんダヨ
<LQVA>体倒してこい！　多イか？　まあ焦らずやってミロ
そうだナ――ちゃんとやったらまァ、よくしてやるヨ","ui\00_message\quest_info\q40201043_00.gmd","\quest\q40201043.arc","q40201043.arc","1"
"0","0","【週期要請】ボルド鉱山（ホボリック）：物資供給","【週期要請】ボルド鉱山（ホボリック）：物資供給","ui\00_message\quest_info\q40201044_00.gmd","\quest\q40201044.arc","q40201044.arc","0"
"1","eqenhance_title_sub","ヒト――あァ、お前ら――ヒトだな！
アレが欲しいんだ――アレが――<LQIM>を持ってこイ！
数はざっと<LQVA>ほどだ　まあすぐとは言わン
とにかく集めてきてクレ","ヒト――あァ、お前ら――ヒトだな！
アレが欲しいんだ――アレが――<LQIM>を持ってこイ！
数はざっと<LQVA>ほどだ　まあすぐとは言わン
とにかく集めてきてクレ","ui\00_message\quest_info\q40201044_00.gmd","\quest\q40201044.arc","q40201044.arc","1"
"0","0","＜ウィークリー＞長期魔物討伐：テル村","＜ウィークリー＞長期魔物討伐：テル村","ui\00_message\quest_info\q40201045_00.gmd","\quest\q40201045.arc","q40201045.arc","0"
"1","eqenhance_title_sub","神殿に長期滞在予定の覚者達への依頼だ
神殿付近に増えつつある<LQEM>、<LQVA>体の討伐協力を頼みたい
長い目で見て個体数を調整していく予定だ","神殿に長期滞在予定の覚者達への依頼だ
神殿付近に増えつつある<LQEM>、<LQVA>体の討伐協力を頼みたい
長い目で見て個体数を調整していく予定だ","ui\00_message\quest_info\q40201045_00.gmd","\quest\q40201045.arc","q40201045.arc","1"
"0","0","＜ウィークリー＞物資供給：テル村","＜ウィークリー＞物資供給：テル村","ui\00_message\quest_info\q40201046_00.gmd","\quest\q40201046.arc","q40201046.arc","0"
"1","eqenhance_title_sub","ハイデル平原エリアに長期滞在予定の覚者達への依頼だ
<LQIM>の流通量を安定させるべく<LQVA>個の備蓄を目指している
急ぎではないので、気が向いた時に協力を頼む","ハイデル平原エリアに長期滞在予定の覚者達への依頼だ
<LQIM>の流通量を安定させるべく<LQVA>個の備蓄を目指している
急ぎではないので、気が向いた時に協力を頼む","ui\00_message\quest_info\q40201046_00.gmd","\quest\q40201046.arc","q40201046.arc","1"
"0","0","＜ウィークリー＞長期魔物討伐：テル村","＜ウィークリー＞長期魔物討伐：テル村","ui\00_message\quest_info\q40201047_00.gmd","\quest\q40201047.arc","q40201047.arc","0"
"1","eqenhance_title_sub","神殿に長期滞在予定の覚者達への依頼だ
神殿付近に増えつつある<LQEM>、<LQVA>体の討伐協力を頼みたい
長い目で見て個体数を調整していく予定だ","神殿に長期滞在予定の覚者達への依頼だ
神殿付近に増えつつある<LQEM>、<LQVA>体の討伐協力を頼みたい
長い目で見て個体数を調整していく予定だ","ui\00_message\quest_info\q40201047_00.gmd","\quest\q40201047.arc","q40201047.arc","1"
"0","0","＜ウィークリー＞物資供給：テル村","＜ウィークリー＞物資供給：テル村","ui\00_message\quest_info\q40201048_00.gmd","\quest\q40201048.arc","q40201048.arc","0"
"1","eqenhance_title_sub","ハイデル平原エリアに長期滞在予定の覚者達への依頼だ
<LQIM>の流通量を安定させるべく<LQVA>個の備蓄を目指している
急ぎではないので、気が向いた時に協力を頼む","ハイデル平原エリアに長期滞在予定の覚者達への依頼だ
<LQIM>の流通量を安定させるべく<LQVA>個の備蓄を目指している
急ぎではないので、気が向いた時に協力を頼む","ui\00_message\quest_info\q40201048_00.gmd","\quest\q40201048.arc","q40201048.arc","1"
"0","0","失意の矢不足","失意の矢不足","ui\00_message\quest_info\q40300001_00.gmd","\quest\q40300001.arc","q40300001.arc","0"
"1","eqenhance_title_sub","くそっ、もう少しで<LQEM>の群れを
全滅させられるところだったのに
矢が切れて<LQVA>匹逃がしてきてしまった！
誰か、ヤツらの後を追ってくれ！","くそっ、もう少しで<LQEM>の群れを
全滅させられるところだったのに
矢が切れて<LQVA>匹逃がしてきてしまった！
誰か、ヤツらの後を追ってくれ！","ui\00_message\quest_info\q40300001_00.gmd","\quest\q40300001.arc","q40300001.arc","1"
"0","0","小さな隠れ村の警備事情","小さな隠れ村の警備事情","ui\00_message\quest_info\q40300002_00.gmd","\quest\q40300002.arc","q40300002.arc","0"
