"0","","お、お前、助ケタ――？
感謝スル――
ファーガル、動けない――置いてイケ","消えた足音に気付く時","ui\00_message\quest\q21015012.gmd","\quest\q21015012.arc","q21015012.arc","21"
"0","","あまり長くは戦えなさそうなんだ
できる限りのサポートはするが――
急いで、片づけてしまおう","あまり長くは戦えなさそうなんだ
できる限りのサポートはするが――
急いで、片づけてしまおう","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","3"
"0","","あぁ――やっぱりあなたに頼んで良かった！
獣の主の時ほどではなかったと思うけど
なかなか大変だったでしょ？","あぁ――やっぱりあなたに頼んで良かった！
獣の主の時ほどではなかったと思うけど
なかなか大変だったでしょ？","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","4"
"0","","やっぱり、どんな性質の魔物が出ても
あなたにお願いすれば、退治できるのね
その力と、私の知識が組み合わされば
最強なんじゃないかしら！","やっぱり、どんな性質の魔物が出ても
あなたにお願いすれば、退治できるのね
その力と、私の知識が組み合わされば
最強なんじゃないかしら！","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","5"
"0","","そっか、動けなくなっちゃったんだ――
まぁこの村では、危険は付き物だからね
命があっただけでも十分、そう気を落とさないで","そっか、動けなくなっちゃったんだ――
まぁこの村では、危険は付き物だからね
命があっただけでも十分、そう気を落とさないで","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","6"
"0","","――はぁ、獣の主を倒した人ですら
手こずるレベルの魔物が、どんどん出てくるんだよね","――はぁ、獣の主を倒した人ですら
手こずるレベルの魔物が、どんどん出てくるんだよね","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","7"
"0","","ああ！　こうしちゃいられない！
私も、もっと魔物の勉強しなきゃ！","ああ！　こうしちゃいられない！
私も、もっと魔物の勉強しなきゃ！","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","8"
"0","","あ、覚者さん！
覚者さんが獣の主を倒した後、村では
すごい騒ぎだったよ
――まぁ、話を触れて回ったのは私なんだけど","あ、覚者さん！
覚者さんが獣の主を倒した後、村では
すごい騒ぎだったよ
――まぁ、話を触れて回ったのは私なんだけど","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","9"
"0","","――ねえ白竜の覚者って、皆そんなに強いの？
さっきも――いかにも歴戦の戦士、って感じの
覚者さん達のお仲間を見かけたけど――
冒険に出てから、ずっと姿を見てないの","――ねえ白竜の覚者って、皆そんなに強いの？
さっきも――いかにも歴戦の戦士、って感じの
覚者さん達のお仲間を見かけたけど――
冒険に出てから、ずっと姿を見てないの","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","10"
"0","","とても強そうだから平気だと思ったんだけど
さすがに心配になってきたところ――
だけど、覚者がそんなに強いのなら
心配しなくてよかったかな？","とても強そうだから平気だと思ったんだけど
さすがに心配になってきたところ――
だけど、覚者がそんなに強いのなら
心配しなくてよかったかな？","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","11"
"0","","あの人は、《<STG 860>》へ向かったけど
気になるなら、様子を見てきてくれないかな――
なんだか嫌な予感がするの","あの人は、《<STG 860>》へ向かったけど
気になるなら、様子を見てきてくれないかな――
なんだか嫌な予感がするの","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","12"
"0","","もしあの人を見つけたら、
できるだけ早く安全を確保してあげてね
元気に帰って来られたら――
その分、ちゃんとお礼はするつもりよ","もしあの人を見つけたら、
できるだけ早く安全を確保してあげてね
元気に帰って来られたら――
その分、ちゃんとお礼はするつもりよ","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","13"
"0","","冒険に出てから帰って来ない覚者なら
《<STG 860>》へ向かったけど――
覚者がそんなに強いなら、無用の心配だったかな","冒険に出てから帰って来ない覚者なら
《<STG 860>》へ向かったけど――
覚者がそんなに強いなら、無用の心配だったかな","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","14"
"0","","だけど、万が一ってこともあるし――
一応、様子を見てきてくれるかな
覚者さんなら、私を助けてくれたように
その人のことも助けてくれるよね？","だけど、万が一ってこともあるし――
一応、様子を見てきてくれるかな
覚者さんなら、私を助けてくれたように
その人のことも助けてくれるよね？","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","15"
"0","","俺も、ヴァネッサ副隊長の元で
日々腕を磨いているんだからな！","俺も、ヴァネッサ副隊長の元で
日々腕を磨いているんだからな！","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","16"
"0","","クッ――ま、まだ平気だ！","クッ――ま、まだ平気だ！","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","17"
"0","","うわぁ！
もうダメだ――少し休みたい――","うわぁ！
もうダメだ――少し休みたい――","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","18"
"0","","はぁ――助けられたな、礼を言う――
正直、この大陸はなかなか厳しいな
覚者隊としても、気が引き締まる思いだ――","はぁ――助けられたな、礼を言う――
正直、この大陸はなかなか厳しいな
覚者隊としても、気が引き締まる思いだ――","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","19"
"0","","ところで、こんな場所で何してたんだ？
偶然通りかかったって訳でもなさそうだし","ところで、こんな場所で何してたんだ？
偶然通りかかったって訳でもなさそうだし","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","20"
"0","","――え？　エトナって――
ああ、あの女の子に聞いたのか","――え？　エトナって――
ああ、あの女の子に聞いたのか","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","21"
"0","","魔物のことをいろいろ教えてくれただけじゃなくて
命まで救われたってことか――
うーん、フィンダムにこんな大きな借りを
作っちまうとはな","魔物のことをいろいろ教えてくれただけじゃなくて
命まで救われたってことか――
うーん、フィンダムにこんな大きな借りを
作っちまうとはな","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","22"
"0","","クソ、動けねえ――
こんな遠い――辺境の地で俺は死ぬのか――
ああ、ヴァネッサ副隊長――","クソ、動けねえ――
こんな遠い――辺境の地で俺は死ぬのか――
ああ、ヴァネッサ副隊長――","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","23"
"0","","あれ――俺は――助かったのか？
良かっ――イテテ！","あれ――俺は――助かったのか？
良かっ――イテテ！","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","24"
"0","","恥ずかしながら、しばらく動けそうにない
俺は少しここで休んでいくよ――
お前は先に戻ってていいぞ","恥ずかしながら、しばらく動けそうにない
俺は少しここで休んでいくよ――
お前は先に戻ってていいぞ","ui\00_message\quest\q21015013.gmd","\quest\q21015013.arc","q21015013.arc","25"
"0","q21015013_00_601","惑いし砦守","惑いし砦守","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","0"
"1","q21015013_00_601","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","1"
"2","q21015013_00_601","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","2"
"3","q21015013_00_601","全く、最近は村の者を助けることより
よそ者を助けに行くことの方が多いぞ！
フィンダムを調査すると言っても
我々に迷惑ばかりかけるのはいかがなものか！","全く、最近は村の者を助けることより
よそ者を助けに行くことの方が多いぞ！
フィンダムを調査すると言っても
我々に迷惑ばかりかけるのはいかがなものか！","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","3"
"4","q21015013_00_1226","依頼者の求める人物を捜索する","依頼者の求める人物を捜索する","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","4"
"5","q21015013_00_1227","魔物を迅速に討伐し捜索対象を救助する","魔物を迅速に討伐し捜索対象を救助する","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","5"
"6","q21015013_00_1228","捜索対象の安否を確認する","捜索対象の安否を確認する","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","6"
"7","q21015013_00_1169","依頼者に報告する","依頼者に報告する","ui\00_message\quest_info\q21015013_00.gmd","\quest\q21015013.arc","q21015013.arc","7"
"0","","救出対象が怪我を負ってしまったようだ――","救出対象が怪我を負ってしまったようだ――","ui\00_message\examine_message\quest\quest_examine_q21015013.gmd","\quest\q21015013.arc","q21015013.arc","0"
"0","","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","ui\00_message\examine_message\quest\quest_examine_q21015013.gmd","\quest\q21015013.arc","q21015013.arc","1"
"0","","よその覚者が、こんな場所へ何しに来た？","よその覚者が、こんな場所へ何しに来た？","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","0"
"0","","なに？　私を助けに来ただと？
無用だ、必要無い
――と言いたいところだが","なに？　私を助けに来ただと？
無用だ、必要無い
――と言いたいところだが","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","1"
"0","","修業とは極限まで身を追い込むもの――
しかし、少々追い込み過ぎたようでな
かなり消耗している所に、強敵が現れたのだ
いつもならあの程度、一人でいなせるのだが――","修業とは極限まで身を追い込むもの――
しかし、少々追い込み過ぎたようでな
かなり消耗している所に、強敵が現れたのだ
いつもならあの程度、一人でいなせるのだが――","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","2"
"0","","申し訳ないが、手伝ってもらえると助かる
私もできるだけ戦うが――
あまり長くはもたないだろう
急いで片付けるよう、協力し合おうぞ","申し訳ないが、手伝ってもらえると助かる
私もできるだけ戦うが――
あまり長くはもたないだろう
急いで片付けるよう、協力し合おうぞ","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","3"
"0","","そうか――本当に安心した、感謝の言葉も無い
それにしても、あいつが素直に認める相手なんて――
この村でも数えるくらいしかいないだろう","そうか――本当に安心した、感謝の言葉も無い
それにしても、あいつが素直に認める相手なんて――
この村でも数えるくらいしかいないだろう","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","4"
"0","","いや、当然か――タラスクを打ち倒した戦士だ
そんな偉大な戦士にこんな頼みを聞いてもらったとは
――今考えてみれば、なんと恐れ多い","いや、当然か――タラスクを打ち倒した戦士だ
そんな偉大な戦士にこんな頼みを聞いてもらったとは
――今考えてみれば、なんと恐れ多い","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","5"
"0","","コランタンめ、そんな事になっても
まだ憎まれ口を――ヤツらしいな
人より少し勝気なだけで、悪気があるのではない","コランタンめ、そんな事になっても
まだ憎まれ口を――ヤツらしいな
人より少し勝気なだけで、悪気があるのではない","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","6"
"0","","そんなやつでも、友人としては悪い奴ではないのだ
命だけでも、助けてくれて感謝する","そんなやつでも、友人としては悪い奴ではないのだ
命だけでも、助けてくれて感謝する","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","7"
"0","","これは、白き竜の覚者殿――
この度のご活躍、誠に敬服いたした
もし良ければ、近いうちに
ぜひ稽古でもつけていただきたい","これは、白き竜の覚者殿――
この度のご活躍、誠に敬服いたした
もし良ければ、近いうちに
ぜひ稽古でもつけていただきたい","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","8"
"0","","ところで、私に何か――
たしかに困り事は、無くも無いが
しかし、貴殿にそれを聞いていただくなど――
――いや、聞かれた手前、甘えさせていただくべきか","ところで、私に何か――
たしかに困り事は、無くも無いが
しかし、貴殿にそれを聞いていただくなど――
――いや、聞かれた手前、甘えさせていただくべきか","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","9"
"0","","実は、昨晩からコランタンの姿が見当たらない
周辺警備任務の後別れてから、今この時まで一度もだ
《<STG 827>》の方で見かけたという
目撃証言はあるようだが――","実は、昨晩からコランタンの姿が見当たらない
周辺警備任務の後別れてから、今この時まで一度もだ
《<STG 827>》の方で見かけたという
目撃証言はあるようだが――","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","10"
"0","","こういったことは、村とは関係の薄い貴殿に頼みたい
コランタンも腕は立つが、万一タラスクと
鉢合わせでもしたら――
と、とにかく――急いで見つけて来てくれないか","こういったことは、村とは関係の薄い貴殿に頼みたい
コランタンも腕は立つが、万一タラスクと
鉢合わせでもしたら――
と、とにかく――急いで見つけて来てくれないか","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","11"
"0","","コランタンのやつが、昨晩あたりから見当たらないんだ
《<STG 827>》の方で
見たという証言もある――
貴殿に頼むのも筋違いかもしれぬが、探してきてほしい","コランタンのやつが、昨晩あたりから見当たらないんだ
《<STG 827>》の方で
見たという証言もある――
貴殿に頼むのも筋違いかもしれぬが、探してきてほしい","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","12"
"0","","村とは関係の薄い貴殿だからこそ、自由に動けて
ピサル殿や皆に迷惑がかかるような事も無い
戦士仲間としてだけでなく、友人として心配して
いるのだ、ヤツに会ったらそう伝えてくれ","村とは関係の薄い貴殿だからこそ、自由に動けて
ピサル殿や皆に迷惑がかかるような事も無い
戦士仲間としてだけでなく、友人として心配して
いるのだ、ヤツに会ったらそう伝えてくれ","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","13"
"0","","ずいぶんと腕が立つと思ったら――
墓守や獣の王を倒したという覚者ではないか！
なるほど、飲み込めた――
ワイニが貴殿を寄越したのだな？","ずいぶんと腕が立つと思ったら――
墓守や獣の王を倒したという覚者ではないか！
なるほど、飲み込めた――
ワイニが貴殿を寄越したのだな？","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","14"
"0","","ヤツめ――余計なことを","ヤツめ――余計なことを","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","15"
"0","","――いや、誰よりも村に尽くしてくれている相手に
こんな口を利くべきではなかった――お詫びする
危ない所を救ってくれたこと――ありがとう","――いや、誰よりも村に尽くしてくれている相手に
こんな口を利くべきではなかった――お詫びする
危ない所を救ってくれたこと――ありがとう","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","16"
"0","","実は、ワイニの奴がメキメキと最近腕を上げていてな
これではいかんと修行に来たのだ
村の力になりたくてやった事が
逆に迷惑になるとはな――面目ない","実は、ワイニの奴がメキメキと最近腕を上げていてな
これではいかんと修行に来たのだ
村の力になりたくてやった事が
逆に迷惑になるとはな――面目ない","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","17"
"0","","ぐっ――動けないとは、なんと情けない
よそ者にこんな姿を晒すことになるとは――
ピサル殿に合わせる顔が無い――","ぐっ――動けないとは、なんと情けない
よそ者にこんな姿を晒すことになるとは――
ピサル殿に合わせる顔が無い――","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","18"
"0","","――なんだと、ワイニがお前をここへ？
余計な事を――だが命だけは助かった
今、村に余計な動揺を与えるのは避けたいからな
――フン、礼はしよう","――なんだと、ワイニがお前をここへ？
余計な事を――だが命だけは助かった
今、村に余計な動揺を与えるのは避けたいからな
――フン、礼はしよう","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","19"
"0","","このような奴ら、
普段なら一捻りなのだが――","このような奴ら、
普段なら一捻りなのだが――","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","20"
"0","","ぐっ――助太刀、感謝する
私はまだ動けるぞ――","ぐっ――助太刀、感謝する
私はまだ動けるぞ――","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","21"
"0","","くそ――力及ばず、ここまでか――","くそ――力及ばず、ここまでか――","ui\00_message\quest\q21015014.gmd","\quest\q21015014.arc","q21015014.arc","22"
"0","q21015014_00_602","消えた僚友","消えた僚友","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","0"
"1","q21015014_00_602","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","1"
"2","q21015014_00_602","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","2"
"3","q21015014_00_602","腕に自信がある戦士は、
一人で洞窟や迷宮に籠って修行することがある
稀にそのまま行方不明になる事があるから
必ず居所を伝えてから行くんだけど
誰もそれを聞いていないとなると――","腕に自信がある戦士は、
一人で洞窟や迷宮に籠って修行することがある
稀にそのまま行方不明になる事があるから
必ず居所を伝えてから行くんだけど
誰もそれを聞いていないとなると――","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","3"
"4","q21015014_00_1226","依頼者の求める人物を捜索する","依頼者の求める人物を捜索する","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","4"
"5","q21015014_00_1227","魔物を迅速に討伐し捜索対象を救助する","魔物を迅速に討伐し捜索対象を救助する","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","5"
"6","q21015014_00_1228","捜索対象の安否を確認する","捜索対象の安否を確認する","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","6"
"7","q21015014_00_1169","依頼者に報告する","依頼者に報告する","ui\00_message\quest_info\q21015014_00.gmd","\quest\q21015014.arc","q21015014.arc","7"
"0","","救出対象が怪我を負ってしまったようだ――","救出対象が怪我を負ってしまったようだ――","ui\00_message\examine_message\quest\quest_examine_q21015014.gmd","\quest\q21015014.arc","q21015014.arc","0"
"0","","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","ui\00_message\examine_message\quest\quest_examine_q21015014.gmd","\quest\q21015014.arc","q21015014.arc","1"
"0","q21015015_00_571","かの日の強者","かの日の強者","ui\00_message\quest_info\q21015015_00.gmd","\quest\q21015015.arc","q21015015.arc","0"
"1","q21015015_00_571","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","ui\00_message\quest_info\q21015015_00.gmd","\quest\q21015015.arc","q21015015.arc","1"
"2","q21015015_00_571","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","ui\00_message\quest_info\q21015015_00.gmd","\quest\q21015015.arc","q21015015.arc","2"
"3","q21015015_00_571","この村の戦士は、腕に自信があるからといって
少し、魔物の脅威を軽んじている節があるな
魔物は好敵手などではないというのに
――いつか、それを身を持って知らされる時が
くるのではないだろうか","この村の戦士は、腕に自信があるからといって
少し、魔物の脅威を軽んじている節があるな
魔物は好敵手などではないというのに
――いつか、それを身を持って知らされる時が
くるのではないだろうか","ui\00_message\quest_info\q21015015_00.gmd","\quest\q21015015.arc","q21015015.arc","3"
"4","q21015015_00_1174","指定された場所へ行き、狂暴な魔物を見つける","指定された場所へ行き、狂暴な魔物を見つける","ui\00_message\quest_info\q21015015_00.gmd","\quest\q21015015.arc","q21015015.arc","4"
"5","q21015015_00_1175","遭遇した魔物を討伐する","遭遇した魔物を討伐する","ui\00_message\quest_info\q21015015_00.gmd","\quest\q21015015.arc","q21015015.arc","5"
"6","q21015015_00_1176","依頼者へ経緯を報告する","依頼者へ経緯を報告する","ui\00_message\quest_info\q21015015_00.gmd","\quest\q21015015.arc","q21015015.arc","6"
"0","","聞いたわよ、あなた大活躍なんだってね！
ねぇ、あなたの実力ならヤツにも
勝てるかもしれないわ","聞いたわよ、あなた大活躍なんだってね！
ねぇ、あなたの実力ならヤツにも
勝てるかもしれないわ","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","0"
"0","","ヤツも昔は、村の若者の腕試し相手として
愛されていた魔物だったんだけど――
数々の戦士と戦ったおかげで鍛えられちゃって
――もう手に負えないのよね","ヤツも昔は、村の若者の腕試し相手として
愛されていた魔物だったんだけど――
数々の戦士と戦ったおかげで鍛えられちゃって
――もう手に負えないのよね","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","1"
"0","","腕に覚えがあるのなら、ぜひ挑んでみてちょうだい
――せっかくだし、村の腕試しの習慣に従って
一度も膝をつかずに倒してきてよ！
とびきりの報酬を用意するわ","腕に覚えがあるのなら、ぜひ挑んでみてちょうだい
――せっかくだし、村の腕試しの習慣に従って
一度も膝をつかずに倒してきてよ！
とびきりの報酬を用意するわ","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","2"
"0","","ヤツは、昔から《<STG 827>》に
暮らしているの
良い結果を期待しているわね","ヤツは、昔から《<STG 827>》に
暮らしているの
良い結果を期待しているわね","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","3"
"0","","もう村には、ヤツを倒せるほどの戦士がいないの
腕に覚えがあるのなら、ぜひ挑んでみてちょうだい
《<STG 827>》がヤツの住処よ","もう村には、ヤツを倒せるほどの戦士がいないの
腕に覚えがあるのなら、ぜひ挑んでみてちょうだい
《<STG 827>》がヤツの住処よ","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","4"
"0","","村の腕試しの習慣に従って
一度も膝をつかずに倒してきてくれたら
とびきりの報酬を用意するわよ！","村の腕試しの習慣に従って
一度も膝をつかずに倒してきてくれたら
とびきりの報酬を用意するわよ！","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","5"
"0","","本当にやりとげてくれたのね！
あなた――やっぱりダナに腰を落ち着けたら？
村のみんなに稽古でもつけてあげてよ","本当にやりとげてくれたのね！
あなた――やっぱりダナに腰を落ち着けたら？
村のみんなに稽古でもつけてあげてよ","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","6"
"0","","子供の頃から親しんだものが無くなっていって
村の状況がどんどん変わっていくのは悲しいけど――
あなたのような変化なら大歓迎だわ
ね、今度墓守との死闘の話を聞かせてよ！","子供の頃から親しんだものが無くなっていって
村の状況がどんどん変わっていくのは悲しいけど――
あなたのような変化なら大歓迎だわ
ね、今度墓守との死闘の話を聞かせてよ！","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","7"
"0","","そう――やられてしまったの――
まぁ、倒せただけでも十分よね！
そう気を落とすことないわ","そう――やられてしまったの――
まぁ、倒せただけでも十分よね！
そう気を落とすことないわ","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","8"
"0","","パーティメンバーが死亡状態になりました","パーティメンバーが死亡状態になりました","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","9"
"0","","依頼者からの報酬が下がります","依頼者からの報酬が下がります","ui\00_message\quest\q21015015.gmd","\quest\q21015015.arc","q21015015.arc","10"
"0","q21015016_00_631","水路を焦がす稲妻","水路を焦がす稲妻","ui\00_message\quest_info\q21015016_00.gmd","\quest\q21015016.arc","q21015016.arc","0"
"1","q21015016_00_631","【偶発討伐クエスト】
出現した危険な魔物を追い詰め
討伐する","【偶発討伐クエスト】
出現した危険な魔物を追い詰め
討伐する","ui\00_message\quest_info\q21015016_00.gmd","\quest\q21015016.arc","q21015016.arc","1"
