"2","q21000083_00_363","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","ui\00_message\quest_info\q21000083_00.gmd","\quest\q21000083.arc","q21000083.arc","2"
"0","0","なぜ異音の主は《叫びの竪穴》に
わざわざ降りていったのでしょうか――
何か、不穏なものを感じます","なぜ異音の主は《叫びの竪穴》に
わざわざ降りていったのでしょうか――
何か、不穏なものを感じます","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","8"
"0","0","ご無事でのお戻り、何よりです","ご無事でのお戻り、何よりです","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","9"
"0","0","音の主は造魔だったのですか
――もしかすると、居なくなった主を探して
《叫びの竪穴》内に降りたのかも知れませんね","音の主は造魔だったのですか
――もしかすると、居なくなった主を探して
《叫びの竪穴》内に降りたのかも知れませんね","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","10"
"0","0","この祠に到達する前に
動きを止めていただけたことは幸運でした
感謝いたします、覚者様","この祠に到達する前に
動きを止めていただけたことは幸運でした
感謝いたします、覚者様","ui\00_message\quest\q21000084.gmd","\quest\q21000084.arc","q21000084.arc","11"
"0","0","消えた貴重品","The Stolen Valuables","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","0"
"1","1","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","1"
"2","2","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","2"
"3","3","最近駐屯地の中で、置き引きみたいのが
流行ってるらしいの
ここにいる人間は限られてるし、そんなこと
する人は決していないと思うわ
だとしたら、魔物の仕業かしらね――不気味だわ","最近駐屯地の中で、置き引きみたいのが
流行ってるらしいの
ここにいる人間は限られてるし、そんなこと
する人は決していないと思うわ
だとしたら、魔物の仕業かしらね――不気味だわ","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","3"
"4","4","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","4"
"5","5","指定された場所へ魔物を探しに行く","指定された場所へ魔物を探しに行く","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","5"
"6","6","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21000085_00.gmd","\quest\q21000085.arc","q21000085.arc","7"
"0","0","ち――
どこにやったのか全然思い出せねえ","ち――
どこにやったのか全然思い出せねえ","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","0"
"0","0","貴重な品が手に入ったんで、こっちに
しまっといたんだがどうにも見当たらねえ――","貴重な品が手に入ったんで、こっちに
しまっといたんだがどうにも見当たらねえ――","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","1"
"0","0","なぁ、お前、心当たりねぇか？
ったく、どこにいっちまったんだか――","なぁ、お前、心当たりねぇか？
ったく、どこにいっちまったんだか――","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","2"
"0","0","誰かが持って行ったのか――
いや、この調査隊に貴重品を
勝手に持っていくようなヤツいるわけねぇ
となると魔物の仕業か――？","誰かが持って行ったのか――
いや、この調査隊に貴重品を
勝手に持っていくようなヤツいるわけねぇ
となると魔物の仕業か――？","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","3"
"0","0","おお、これだこれだ！","おお、これだこれだ！","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","4"
"0","0","どこにあったんだ？
俺がうっかり置き忘れたのか――？","どこにあったんだ？
俺がうっかり置き忘れたのか――？","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","5"
"0","0","まぁいい、それはそうと
ついでに魔物の退治を頼まれてくれねぇか？
礼は用意してあるからよ","まぁいい、それはそうと
ついでに魔物の退治を頼まれてくれねぇか？
礼は用意してあるからよ","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","6"
"0","0","さっきは探し物してて慌てちまったが
本当はこっちの件を頼みたかったんだ","さっきは探し物してて慌てちまったが
本当はこっちの件を頼みたかったんだ","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","7"
"0","0","ついで、なんていうのも気軽すぎたか？
ちょうどお前が良いタイミングで来たから
頼んじまったが――","ついで、なんていうのも気軽すぎたか？
ちょうどお前が良いタイミングで来たから
頼んじまったが――","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","8"
"0","0","探し物さえしてなきゃ、まず魔物退治を
頼みたかったんだ","探し物さえしてなきゃ、まず魔物退治を
頼みたかったんだ","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","9"
"0","0","やっぱりお前は大した腕を持ってるみてぇだな
こいつは約束の礼の品だ
お前の役に立つといいんだがな","やっぱりお前は大した腕を持ってるみてぇだな
こいつは約束の礼の品だ
お前の役に立つといいんだがな","ui\00_message\quest\q21000085.gmd","\quest\q21000085.arc","q21000085.arc","10"
"0","0","【高難度】油断大敵","【高難度】油断大敵","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","0"
"1","1","【連続討伐クエスト】
エリアマスターの願いを聞き入れ
ダンジョン付近にて起きている問題を調査する","【連続討伐クエスト】
エリアマスターの願いを聞き入れ
ダンジョン付近にて起きている問題を調査する","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","1"
"2","2","<NAME AREA>のエリアマスターが
ダンジョン付近の不穏な空気を警戒しているようだ","<NAME AREA>のエリアマスターが
ダンジョン付近の不穏な空気を警戒しているようだ","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","2"
"3","3","ここに呼ばれた部隊は皆精鋭揃い
なのに、毎日沢山のように負傷者が出るわ
そういう人たちが口を揃えて言うのが
油断していたってこと
いくら強くても、初心を忘れたらだめよ
相手を倒す前に自分に克たなくちゃ","ここに呼ばれた部隊は皆精鋭揃い
なのに、毎日沢山のように負傷者が出るわ
そういう人たちが口を揃えて言うのが
油断していたってこと
いくら強くても、初心を忘れたらだめよ
相手を倒す前に自分に克たなくちゃ","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","3"
"4","4","指定された場所を調べる","Investigate the specified location","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","4"
"5","5","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","5"
"6","6","指定されたダンジョン内を捜索する","Search within the specified dungeon","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","6"
"7","7","ダンジョン内の各所の魔物を討伐する（残り３）","Defeat the monsters at locations in the dungeon (3 left)","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","7"
"8","8","ダンジョン内の各所の魔物を討伐する（残り２）","Defeat the monsters at locations in the dungeon (2 left)","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","8"
"9","9","ダンジョン内の各所の魔物を討伐する（残り１）","Defeat the monsters at locations in the dungeon (1 left)","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","9"
"10","10","エリアマスターに経緯を報告する","Report to the Area Master","ui\00_message\quest_info\q21000086_00.gmd","\quest\q21000086.arc","q21000086.arc","10"
"0","0","そろそろこの島にも慣れてきた頃か？
だが、そういう時期が一番恐ろしいのだ！
お前は腕は確かだが――慢心がないか心配だ","そろそろこの島にも慣れてきた頃か？
だが、そういう時期が一番恐ろしいのだ！
お前は腕は確かだが――慢心がないか心配だ","ui\00_message\quest\q21000086.gmd","\quest\q21000086.arc","q21000086.arc","0"
"0","0","腕試しと言うのも妙だが――
今、島内にいる魔物を討伐してきて欲しい
初心忘れるべからず！　大切なことだぞ","腕試しと言うのも妙だが――
今、島内にいる魔物を討伐してきて欲しい
初心忘れるべからず！　大切なことだぞ","ui\00_message\quest\q21000086.gmd","\quest\q21000086.arc","q21000086.arc","1"
"0","0","真の強者とは常に生まれ変わり続ける
昨日より今日、今日より明日とな","真の強者とは常に生まれ変わり続ける
昨日より今日、今日より明日とな","ui\00_message\quest\q21000086.gmd","\quest\q21000086.arc","q21000086.arc","2"
"0","0","よくやったな！　さすがだ
より高みを目指すなら常に初心を忘れず
鍛錬を続けることだ
お前なら、大丈夫そうだな！","よくやったな！　さすがだ
より高みを目指すなら常に初心を忘れず
鍛錬を続けることだ
お前なら、大丈夫そうだな！","ui\00_message\quest\q21000086.gmd","\quest\q21000086.arc","q21000086.arc","3"
"0","0","【竜力の扉】巨魔との邂逅","Door of Dragon Force: A Monstrous Encounter","ui\00_message\quest_info\q21000087_00.gmd","\quest\q21000087.arc","q21000087.arc","0"
"1","1","【危険区域クエスト】
ダンジョン内の危険区域へ繋がる扉の鍵を作り
凶悪な魔物を討伐する","【危険区域クエスト】
ダンジョン内の危険区域へ繋がる扉の鍵を作り
凶悪な魔物を討伐する","ui\00_message\quest_info\q21000087_00.gmd","\quest\q21000087.arc","q21000087.arc","1"
"2","2","<NAME AREA>のダンジョン内部は、特別な
鍵を持った者だけが入れる場所があるらしい","<NAME AREA>のダンジョン内部は、特別な
鍵を持った者だけが入れる場所があるらしい","ui\00_message\quest_info\q21000087_00.gmd","\quest\q21000087.arc","q21000087.arc","2"
"3","3","うーい！　だから俺が倒したって言ってんだろう
でっけー怪物がいたからよーう
俺のこの鉄拳でぶっ倒してやったのさ！
うえ？　頭の包帯は何かって？　勲章だよ、勲章
鉄拳を食らわした後の記憶はまったくないんだがな","うーい！　だから俺が倒したって言ってんだろう
でっけー怪物がいたからよーう
俺のこの鉄拳でぶっ倒してやったのさ！
うえ？　頭の包帯は何かって？　勲章だよ、勲章
鉄拳を食らわした後の記憶はまったくないんだがな","ui\00_message\quest_info\q21000087_00.gmd","\quest\q21000087.arc","q21000087.arc","3"
"4","4","遭遇した凶悪な魔物を討伐する","Defeat the encountered fiendish demons","ui\00_message\quest_info\q21000087_00.gmd","\quest\q21000087.arc","q21000087.arc","4"
"0","0","そうだ、君にお願いがあってね","そうだ、君にお願いがあってね","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","0"
"0","0","外で暴れている、騒がしい魔物を
始末してきて欲しいんだ
僕一人だと時間がかかりそうだからね","外で暴れている、騒がしい魔物を
始末してきて欲しいんだ
僕一人だと時間がかかりそうだからね","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","1"
"0","0","君なら上手くやれると思うけど
自分の命の重みは常々忘れないように――
そうだ、一度も倒れずに討伐してきてくれたら
お礼の品を奮発しようじゃないか","君なら上手くやれると思うけど
自分の命の重みは常々忘れないように――
そうだ、一度も倒れずに討伐してきてくれたら
お礼の品を奮発しようじゃないか","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","2"
"0","0","魔物を始末したら、ここに集合して
首尾を聞かせてくれ
それじゃ、頼んだよ","魔物を始末したら、ここに集合して
首尾を聞かせてくれ
それじゃ、頼んだよ","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","3"
"0","0","敵との戦闘で一度も死亡状態になりませんでした","敵との戦闘で一度も死亡状態になりませんでした","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","4"
"0","0","依頼者からの報酬が多くなります","依頼者からの報酬が多くなります","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","5"
"0","0","パーティメンバーが死亡状態になりました","パーティメンバーが死亡状態になりました","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","6"
"0","0","依頼者からの報酬が下がります","依頼者からの報酬が下がります","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","7"
"0","0","君なら上手くやれると思うけど
自分の命の重みは常々忘れないようにね
いや――","君なら上手くやれると思うけど
自分の命の重みは常々忘れないようにね
いや――","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","8"
"0","0","別に説教をしたいわけじゃないんだ
ただ、君を見ていると
懐かしき日々のことを思い出す――","別に説教をしたいわけじゃないんだ
ただ、君を見ていると
懐かしき日々のことを思い出す――","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","9"
"0","0","さ、魔物を始末したら
ここに集合して首尾を聞かせてくれ
それじゃ、頼んだよ","さ、魔物を始末したら
ここに集合して首尾を聞かせてくれ
それじゃ、頼んだよ","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","10"
"0","0","忠告通り完璧にやってくれたようだね
いや――君なら当然といったところか","忠告通り完璧にやってくれたようだね
いや――君なら当然といったところか","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","11"
"0","0","最高のお礼を用意しておいた
ぜひ、活用してほしい","最高のお礼を用意しておいた
ぜひ、活用してほしい","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","12"
"0","0","言ったはずだよ、命は大事にしろと――
悪いが、今回の報酬はわずかなものだよ","言ったはずだよ、命は大事にしろと――
悪いが、今回の報酬はわずかなものだよ","ui\00_message\quest\q21000088.gmd","\quest\q21000088.arc","q21000088.arc","13"
"0","0","敵との戦闘で一度も死亡状態になりませんでした
クリア時のボーナス報酬が多くなります","敵との戦闘で一度も死亡状態になりませんでした
クリア時のボーナス報酬が多くなります","ui\00_message\examine_message\quest\quest_examine_q21000088.gmd","\quest\q21000088.arc","q21000088.arc","0"
"0","0","q210000088ハズレメッセージ","q210000088ハズレメッセージ","ui\00_message\examine_message\quest\quest_examine_q21000088.gmd","\quest\q21000088.arc","q21000088.arc","1"
"0","0","パーティメンバーが死亡状態になりました
クリア時のボーナス報酬が少なくなります","パーティメンバーが死亡状態になりました
クリア時のボーナス報酬が少なくなります","ui\00_message\examine_message\quest\quest_examine_q21000088.gmd","\quest\q21000088.arc","q21000088.arc","2"
"0","0","懐かしき日","懐かしき日","ui\00_message\quest_info\q21000088_00.gmd","\quest\q21000088.arc","q21000088.arc","0"
"1","1","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","ui\00_message\quest_info\q21000088_00.gmd","\quest\q21000088.arc","q21000088.arc","1"
"2","2","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","ui\00_message\quest_info\q21000088_00.gmd","\quest\q21000088.arc","q21000088.arc","2"
"3","3","地上が懐かしいかと言われれば、そうでもありません
ここの民は皆、それぞれ覚悟を持ってここにいます
ですが――我が物顔で魔物が跋扈しているを見ると
平穏だった頃が、もうずっと遠い日のように感じます","地上が懐かしいかと言われれば、そうでもありません
ここの民は皆、それぞれ覚悟を持ってここにいます
ですが――我が物顔で魔物が跋扈しているを見ると
平穏だった頃が、もうずっと遠い日のように感じます","ui\00_message\quest_info\q21000088_00.gmd","\quest\q21000088.arc","q21000088.arc","3"
"4","4","指定された場所へ行き、狂暴な魔物を見つける","指定された場所へ行き、狂暴な魔物を見つける","ui\00_message\quest_info\q21000088_00.gmd","\quest\q21000088.arc","q21000088.arc","4"
"5","5","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q21000088_00.gmd","\quest\q21000088.arc","q21000088.arc","5"
"6","6","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q21000088_00.gmd","\quest\q21000088.arc","q21000088.arc","6"
"0","0","亡者の誘い声","亡者の誘い声","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","0"
"1","1","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","1"
"2","2","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","2"
"3","3","不気味なんだ――
外を歩いているとね、どこからともなく
かすれたうめき声が聞こえてくるんだ
それが本当に薄気味悪くてねぇ――
生きているのに、死んでいるかのような
気持ちになったよ――","不気味なんだ――
外を歩いているとね、どこからともなく
かすれたうめき声が聞こえてくるんだ
それが本当に薄気味悪くてねぇ――
生きているのに、死んでいるかのような
気持ちになったよ――","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","3"
"4","4","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NAME> x<SQDI NUM> to the requester (need: <SQDI DNUM>)","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","4"
"5","5","指定された場所へ魔物を探しに行く","指定された場所へ魔物を探しに行く","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","5"
"6","6","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","6"
"7","7","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q21000089_00.gmd","\quest\q21000089.arc","q21000089.arc","7"
"0","0","最近、亡者の魔物による被害が相次いでいる
との噂を耳にしました","最近、亡者の魔物による被害が相次いでいる
との噂を耳にしました","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","0"
"0","0","危険度が高いとのこと、易々と
情報を与えることはできません――
指定の物品をご持参いただけるほどの
お力がある方ならば、あるいは――","危険度が高いとのこと、易々と
情報を与えることはできません――
指定の物品をご持参いただけるほどの
お力がある方ならば、あるいは――","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","1"
"0","0","貴方様の力を疑っているわけでありません
ですが、万全を期したいのです","貴方様の力を疑っているわけでありません
ですが、万全を期したいのです","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","2"
"0","0","やはり持ってきてくださいましたか――
ええ、約束です。情報をお伝えしましょう","やはり持ってきてくださいましたか――
ええ、約束です。情報をお伝えしましょう","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","3"
"0","0","《秘匿の実験場》はご存知ですね？
あそこから不気味な亡者のうめき声が聞こえると
噂になっているのです","《秘匿の実験場》はご存知ですね？
あそこから不気味な亡者のうめき声が聞こえると
噂になっているのです","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","4"
"0","0","討伐に向かうのであれば、お気をつけて――","討伐に向かうのであれば、お気をつけて――","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","5"
"0","0","あそこは本当に薄気味悪い場所です
何せ、特殊な事情がある場所ですので――
十分に警戒してください","あそこは本当に薄気味悪い場所です
何せ、特殊な事情がある場所ですので――
十分に警戒してください","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","6"
"0","0","ありがとうございます
これで我々メルゴダの民にも
わずかばかりの安息が戻ることでしょう","ありがとうございます
これで我々メルゴダの民にも
わずかばかりの安息が戻ることでしょう","ui\00_message\quest\q21000089.gmd","\quest\q21000089.arc","q21000089.arc","7"
"0","0","悔恨の地","A Place of Regrets","ui\00_message\quest_info\q21000090_00.gmd","\quest\q21000090.arc","q21000090.arc","0"
"1","1","【討伐クエスト】
エリアに出現した怪しい魔物を探し
問題の原因となる敵を討伐する","【討伐クエスト】
エリアに出現した怪しい魔物を探し
問題の原因となる敵を討伐する","ui\00_message\quest_info\q21000090_00.gmd","\quest\q21000090.arc","q21000090.arc","1"
"2","2","<NAME AREA>には今、怪しい気配のする
魔物たちが出現しているらしい","<NAME AREA>には今、怪しい気配のする
魔物たちが出現しているらしい","ui\00_message\quest_info\q21000090_00.gmd","\quest\q21000090.arc","q21000090.arc","2"
"3","3","あそこには決して近づくでないぞ――
魔物蔓延る忌まわしい場所じゃ
かつて興味本位で探索を試み
何人もの若人が命を落とした
悲しき場所なのじゃ――","あそこには決して近づくでないぞ――
魔物蔓延る忌まわしい場所じゃ
かつて興味本位で探索を試み
何人もの若人が命を落とした
悲しき場所なのじゃ――","ui\00_message\quest_info\q21000090_00.gmd","\quest\q21000090.arc","q21000090.arc","3"
"4","4","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q21000090_00.gmd","\quest\q21000090.arc","q21000090.arc","4"
"5","5","新たに現れた魔物を即時討伐して危機を回避","新たに現れた魔物を即時討伐して危機を回避","ui\00_message\quest_info\q21000090_00.gmd","\quest\q21000090.arc","q21000090.arc","5"
