"0","","異質なる大石塊、アーク
おそらくこれは、この地にあってはならぬもの","異質なる大石塊、アーク
おそらくこれは、この地にあってはならぬもの","ui\00_message\pawn\talk\stage\feature3014\persona04.gmd","\pw_talk\pt_feature3014_persona04.arc","pt_feature3014_persona04.arc","4"
"0","0","外から見た感じとこの内部――
規模も構造もずいぶん違うわね
どうなっているのかしら","外から見た感じとこの内部――
規模も構造もずいぶん違うわね
どうなっているのかしら","ui\00_message\pawn\talk\stage\feature3014\persona08.gmd","\pw_talk\pt_feature3014_persona08.arc","pt_feature3014_persona08.arc","0"
"0","0","マスター、注意して
例の飾り付きがいるわ
前のよりも強化されているんじゃないかしら","マスター、注意して
例の飾り付きがいるわ
前のよりも強化されているんじゃないかしら","ui\00_message\pawn\talk\stage\feature3014\persona08.gmd","\pw_talk\pt_feature3014_persona08.arc","pt_feature3014_persona08.arc","1"
"0","0","大理石？　――じゃないのかしら
不思議な素材ね、壁も照明も","大理石？　――じゃないのかしら
不思議な素材ね、壁も照明も","ui\00_message\pawn\talk\stage\feature3014\persona08.gmd","\pw_talk\pt_feature3014_persona08.arc","pt_feature3014_persona08.arc","2"
"0","0","ん――
幽かな声が頭に響くみたい――
マスターにも聞こえました？","ん――
幽かな声が頭に響くみたい――
マスターにも聞こえました？","ui\00_message\pawn\talk\stage\feature3014\persona08.gmd","\pw_talk\pt_feature3014_persona08.arc","pt_feature3014_persona08.arc","3"
"0","0","マスター、慎重に進みましょう
複雑な構造だし、敵も外とは違いますし","マスター、慎重に進みましょう
複雑な構造だし、敵も外とは違いますし","ui\00_message\pawn\talk\stage\feature3014\persona08.gmd","\pw_talk\pt_feature3014_persona08.arc","pt_feature3014_persona08.arc","4"
"0","0","古い民の家屋――
廃墟となっても十分な強度ですね","古い民の家屋――
廃墟となっても十分な強度ですね","ui\00_message\pawn\talk\stage\feature3015\persona01.gmd","\pw_talk\pt_feature3015_persona01.arc","pt_feature3015_persona01.arc","0"
"0","0","このような遺跡が、ザンドラやメルゴダには
多く残っているようです","このような遺跡が、ザンドラやメルゴダには
多く残っているようです","ui\00_message\pawn\talk\stage\feature3015\persona01.gmd","\pw_talk\pt_feature3015_persona01.arc","pt_feature3015_persona01.arc","1"
"0","0","石づくりの家屋ですが
今のレスタニアのものとはまるで違います","石づくりの家屋ですが
今のレスタニアのものとはまるで違います","ui\00_message\pawn\talk\stage\feature3015\persona01.gmd","\pw_talk\pt_feature3015_persona01.arc","pt_feature3015_persona01.arc","2"
"0","0","凄く古い家なのに――
まったく古くみえませんね","凄く古い家なのに――
まったく古くみえませんね","ui\00_message\pawn\talk\stage\feature3015\persona02.gmd","\pw_talk\pt_feature3015_persona02.arc","pt_feature3015_persona02.arc","0"
"0","0","大陸の北側は、こういう昔の家が
たくさん遺跡になってるみたいです","大陸の北側は、こういう昔の家が
たくさん遺跡になってるみたいです","ui\00_message\pawn\talk\stage\feature3015\persona02.gmd","\pw_talk\pt_feature3015_persona02.arc","pt_feature3015_persona02.arc","1"
"0","0","少し調べてみますね
古い道具が見つかるかもしれません","少し調べてみますね
古い道具が見つかるかもしれません","ui\00_message\pawn\talk\stage\feature3015\persona02.gmd","\pw_talk\pt_feature3015_persona02.arc","pt_feature3015_persona02.arc","2"
"0","0","遺跡とは思えぬ頑丈さ！
レスタニアでよく見る木造家屋より
しっかりしてそうですよ","遺跡とは思えぬ頑丈さ！
レスタニアでよく見る木造家屋より
しっかりしてそうですよ","ui\00_message\pawn\talk\stage\feature3015\persona03.gmd","\pw_talk\pt_feature3015_persona03.arc","pt_feature3015_persona03.arc","0"
"0","0","ううむ、遺跡とはいえ家探しのようで
気が引けますが――この際です！
使えるものは遠慮なく貰っておきましょう！","ううむ、遺跡とはいえ家探しのようで
気が引けますが――この際です！
使えるものは遠慮なく貰っておきましょう！","ui\00_message\pawn\talk\stage\feature3015\persona03.gmd","\pw_talk\pt_feature3015_persona03.arc","pt_feature3015_persona03.arc","1"
"0","0","この石材、錬成鉱石でしょうか
いや、それよりも硬度が高いか！？","この石材、錬成鉱石でしょうか
いや、それよりも硬度が高いか！？","ui\00_message\pawn\talk\stage\feature3015\persona03.gmd","\pw_talk\pt_feature3015_persona03.arc","pt_feature3015_persona03.arc","2"
"0","0","石材、構造ともに現在のレスタニアと
異なる建築様式
強度はかなりのもの","石材、構造ともに現在のレスタニアと
異なる建築様式
強度はかなりのもの","ui\00_message\pawn\talk\stage\feature3015\persona04.gmd","\pw_talk\pt_feature3015_persona04.arc","pt_feature3015_persona04.arc","0"
"0","0","旧時代の家屋の多くは、すでに廃墟化
一部はゾマのように住居として再利用されている","旧時代の家屋の多くは、すでに廃墟化
一部はゾマのように住居として再利用されている","ui\00_message\pawn\talk\stage\feature3015\persona04.gmd","\pw_talk\pt_feature3015_persona04.arc","pt_feature3015_persona04.arc","1"
"0","0","有用な遺物がないか、周辺の捜索を","有用な遺物がないか、周辺の捜索を","ui\00_message\pawn\talk\stage\feature3015\persona04.gmd","\pw_talk\pt_feature3015_persona04.arc","pt_feature3015_persona04.arc","2"
"0","0","古き民の家――廃墟とはいえ
まったく立派なものです
掃除すれば、すぐにでも住めるのでは？","古き民の家――廃墟とはいえ
まったく立派なものです
掃除すれば、すぐにでも住めるのでは？","ui\00_message\pawn\talk\stage\feature3015\persona05.gmd","\pw_talk\pt_feature3015_persona05.arc","pt_feature3015_persona05.arc","0"
"0","0","バンデッドに占拠されている遺跡や
その他の空き屋を、ゾマのように村として
活用できれば辺境も賑わいそうですが","バンデッドに占拠されている遺跡や
その他の空き屋を、ゾマのように村として
活用できれば辺境も賑わいそうですが","ui\00_message\pawn\talk\stage\feature3015\persona05.gmd","\pw_talk\pt_feature3015_persona05.arc","pt_feature3015_persona05.arc","1"
"0","0","なかなかいい石材を使っているようです
あまりレスタニアの中部や南部では
見ない色ですね","なかなかいい石材を使っているようです
あまりレスタニアの中部や南部では
見ない色ですね","ui\00_message\pawn\talk\stage\feature3015\persona05.gmd","\pw_talk\pt_feature3015_persona05.arc","pt_feature3015_persona05.arc","2"
"0","0","廃墟っていっても、そんなに古そうに
見えませんね！
ドラワンやジンゲンの家よりずっと立派です","廃墟っていっても、そんなに古そうに
見えませんね！
ドラワンやジンゲンの家よりずっと立派です","ui\00_message\pawn\talk\stage\feature3015\persona06.gmd","\pw_talk\pt_feature3015_persona06.arc","pt_feature3015_persona06.arc","0"
"0","0","結構細工とか凝ってるし
綺麗な遺跡ですね","結構細工とか凝ってるし
綺麗な遺跡ですね","ui\00_message\pawn\talk\stage\feature3015\persona06.gmd","\pw_talk\pt_feature3015_persona06.arc","pt_feature3015_persona06.arc","1"
"0","0","何か、使えそうな物落ちてないかなぁ","何か、使えそうな物落ちてないかなぁ","ui\00_message\pawn\talk\stage\feature3015\persona06.gmd","\pw_talk\pt_feature3015_persona06.arc","pt_feature3015_persona06.arc","2"
"0","0","廃墟にしちゃ、片付いてますね
そこまで古いもんにゃ見えませんよ","廃墟にしちゃ、片付いてますね
そこまで古いもんにゃ見えませんよ","ui\00_message\pawn\talk\stage\feature3015\persona07.gmd","\pw_talk\pt_feature3015_persona07.arc","pt_feature3015_persona07.arc","0"
"0","0","ここに住んでたもんも居たんでしょうね
３００年か、それより前の時代にゃあ","ここに住んでたもんも居たんでしょうね
３００年か、それより前の時代にゃあ","ui\00_message\pawn\talk\stage\feature3015\persona07.gmd","\pw_talk\pt_feature3015_persona07.arc","pt_feature3015_persona07.arc","1"
"0","0","ちゃっと遺跡ん中を見ておきますか","ちゃっと遺跡ん中を見ておきますか","ui\00_message\pawn\talk\stage\feature3015\persona07.gmd","\pw_talk\pt_feature3015_persona07.arc","pt_feature3015_persona07.arc","2"
"0","0","しっかりした遺跡ですね
まるで、少し前まで使われていたみたい","しっかりした遺跡ですね
まるで、少し前まで使われていたみたい","ui\00_message\pawn\talk\stage\feature3015\persona08.gmd","\pw_talk\pt_feature3015_persona08.arc","pt_feature3015_persona08.arc","0"
"0","0","なかなかお洒落な遺跡ね
確かに、昔の方がレスタニアの人々は
豊かだったのかも","なかなかお洒落な遺跡ね
確かに、昔の方がレスタニアの人々は
豊かだったのかも","ui\00_message\pawn\talk\stage\feature3015\persona08.gmd","\pw_talk\pt_feature3015_persona08.arc","pt_feature3015_persona08.arc","1"
"0","0","マスター、廃墟探索も楽しいですね
どんな暮らしがあったのかしら","マスター、廃墟探索も楽しいですね
どんな暮らしがあったのかしら","ui\00_message\pawn\talk\stage\feature3015\persona08.gmd","\pw_talk\pt_feature3015_persona08.arc","pt_feature3015_persona08.arc","2"
"0","0","水の音が聞こえますね――
地上に比べるとひんやりします","水の音が聞こえますね――
地上に比べるとひんやりします","ui\00_message\pawn\talk\stage\feature3016\persona01.gmd","\pw_talk\pt_feature3016_persona01.arc","pt_feature3016_persona01.arc","0"
"0","0","近くに鉱石を採掘できる場所が
あるかもしれません
ピッケルの予備はお持ちですか？","近くに鉱石を採掘できる場所が
あるかもしれません
ピッケルの予備はお持ちですか？","ui\00_message\pawn\talk\stage\feature3016\persona01.gmd","\pw_talk\pt_feature3016_persona01.arc","pt_feature3016_persona01.arc","1"
"0","0","侵食の度合は洞窟によって違うのでしょうか
棲みつく魔物の数や種類、地質、構造――
一体何の要素が影響しているのか――","侵食の度合は洞窟によって違うのでしょうか
棲みつく魔物の数や種類、地質、構造――
一体何の要素が影響しているのか――","ui\00_message\pawn\talk\stage\feature3016\persona01.gmd","\pw_talk\pt_feature3016_persona01.arc","pt_feature3016_persona01.arc","2"
"0","0","突然魔物が飛びだしてくるかもしれませんよ
ほら、その岩の後とか――！","突然魔物が飛びだしてくるかもしれませんよ
ほら、その岩の後とか――！","ui\00_message\pawn\talk\stage\feature3016\persona01.gmd","\pw_talk\pt_feature3016_persona01.arc","pt_feature3016_persona01.arc","3"
"0","0","はやく洞窟から抜けたいですね","はやく洞窟から抜けたいですね","ui\00_message\pawn\talk\stage\feature3016\persona01.gmd","\pw_talk\pt_feature3016_persona01.arc","pt_feature3016_persona01.arc","4"
"0","0","――水が流れているみたいです
そのせいか、少し涼しいですね","――水が流れているみたいです
そのせいか、少し涼しいですね","ui\00_message\pawn\talk\stage\feature3016\persona02.gmd","\pw_talk\pt_feature3016_persona02.arc","pt_feature3016_persona02.arc","0"
"0","0","こういう場所ですし、ピッケルがあれば
鉱石を掘れるかも――","こういう場所ですし、ピッケルがあれば
鉱石を掘れるかも――","ui\00_message\pawn\talk\stage\feature3016\persona02.gmd","\pw_talk\pt_feature3016_persona02.arc","pt_feature3016_persona02.arc","1"
"0","0","し、侵食魔は暗いところが好きなんでしょうか――","し、侵食魔は暗いところが好きなんでしょうか――","ui\00_message\pawn\talk\stage\feature3016\persona02.gmd","\pw_talk\pt_feature3016_persona02.arc","pt_feature3016_persona02.arc","2"
"0","0","す、少しずつ、慎重に――","す、少しずつ、慎重に――","ui\00_message\pawn\talk\stage\feature3016\persona02.gmd","\pw_talk\pt_feature3016_persona02.arc","pt_feature3016_persona02.arc","3"
"0","0","洞窟は特に、魔獣や鬼の住処になることが
多いそうです――","洞窟は特に、魔獣や鬼の住処になることが
多いそうです――","ui\00_message\pawn\talk\stage\feature3016\persona02.gmd","\pw_talk\pt_feature3016_persona02.arc","pt_feature3016_persona02.arc","4"
"0","0","地下水脈の跡でしょうか
マスター、頭上と足元にご注意を","地下水脈の跡でしょうか
マスター、頭上と足元にご注意を","ui\00_message\pawn\talk\stage\feature3016\persona03.gmd","\pw_talk\pt_feature3016_persona03.arc","pt_feature3016_persona03.arc","0"
"0","0","おお、鉱脈があるかもしれませんね！
ピッケルがあれば掘れそうです","おお、鉱脈があるかもしれませんね！
ピッケルがあれば掘れそうです","ui\00_message\pawn\talk\stage\feature3016\persona03.gmd","\pw_talk\pt_feature3016_persona03.arc","pt_feature3016_persona03.arc","1"
"0","0","こういった暗いところは侵食魔が多いように思います
暗闇を好む性質があるのかも知れませんね","こういった暗いところは侵食魔が多いように思います
暗闇を好む性質があるのかも知れませんね","ui\00_message\pawn\talk\stage\feature3016\persona03.gmd","\pw_talk\pt_feature3016_persona03.arc","pt_feature3016_persona03.arc","2"
"0","0","鬼が出るか、蛇が出るか――！","鬼が出るか、蛇が出るか――！","ui\00_message\pawn\talk\stage\feature3016\persona03.gmd","\pw_talk\pt_feature3016_persona03.arc","pt_feature3016_persona03.arc","3"
"0","0","洞窟探検、望むところです！！","洞窟探検、望むところです！！","ui\00_message\pawn\talk\stage\feature3016\persona03.gmd","\pw_talk\pt_feature3016_persona03.arc","pt_feature3016_persona03.arc","4"
"0","0","近くに水脈の形跡あり","近くに水脈の形跡あり","ui\00_message\pawn\talk\stage\feature3016\persona04.gmd","\pw_talk\pt_feature3016_persona04.arc","pt_feature3016_persona04.arc","0"
"0","0","採掘ポイントにはピッケルが必要
特に坑道や洞窟では、多めの準備を","採掘ポイントにはピッケルが必要
特に坑道や洞窟では、多めの準備を","ui\00_message\pawn\talk\stage\feature3016\persona04.gmd","\pw_talk\pt_feature3016_persona04.arc","pt_feature3016_persona04.arc","1"
"0","0","土そのものも侵食されている様子
この毒の対象は生物だけにあらず","土そのものも侵食されている様子
この毒の対象は生物だけにあらず","ui\00_message\pawn\talk\stage\feature3016\persona04.gmd","\pw_talk\pt_feature3016_persona04.arc","pt_feature3016_persona04.arc","2"
"0","0","入り組んだ洞窟では
地図での定期的な場所把握を勧める","入り組んだ洞窟では
地図での定期的な場所把握を勧める","ui\00_message\pawn\talk\stage\feature3016\persona04.gmd","\pw_talk\pt_feature3016_persona04.arc","pt_feature3016_persona04.arc","3"
"0","0","洞窟にも有用なアイテムは多数存在
鉱石のみならず各種素材は入手を","洞窟にも有用なアイテムは多数存在
鉱石のみならず各種素材は入手を","ui\00_message\pawn\talk\stage\feature3016\persona04.gmd","\pw_talk\pt_feature3016_persona04.arc","pt_feature3016_persona04.arc","4"
"0","0","おや、水が流れているようです
天井からも水滴が――","おや、水が流れているようです
天井からも水滴が――","ui\00_message\pawn\talk\stage\feature3016\persona05.gmd","\pw_talk\pt_feature3016_persona05.arc","pt_feature3016_persona05.arc","0"
"0","0","手ごろな鉱脈があるかもしれませんね
覚者殿、ピッケルはお持ちですか？","手ごろな鉱脈があるかもしれませんね
覚者殿、ピッケルはお持ちですか？","ui\00_message\pawn\talk\stage\feature3016\persona05.gmd","\pw_talk\pt_feature3016_persona05.arc","pt_feature3016_persona05.arc","1"
"0","0","侵食の原因は一体何なのでしょうね？
土すら汚染し、生き物を蝕むものとは――","侵食の原因は一体何なのでしょうね？
土すら汚染し、生き物を蝕むものとは――","ui\00_message\pawn\talk\stage\feature3016\persona05.gmd","\pw_talk\pt_feature3016_persona05.arc","pt_feature3016_persona05.arc","2"
"0","0","入り組んだ通路や曲がり角はご注意を
何が潜んでいるやら――です","入り組んだ通路や曲がり角はご注意を
何が潜んでいるやら――です","ui\00_message\pawn\talk\stage\feature3016\persona05.gmd","\pw_talk\pt_feature3016_persona05.arc","pt_feature3016_persona05.arc","3"
"0","0","さて――、この洞窟をねぐらにしている
敵はどれくらいいるのでしょうね","さて――、この洞窟をねぐらにしている
敵はどれくらいいるのでしょうね","ui\00_message\pawn\talk\stage\feature3016\persona05.gmd","\pw_talk\pt_feature3016_persona05.arc","pt_feature3016_persona05.arc","4"
"0","0","わ、冷たい！
ここ、結構水っけが多いですね。覚者さま","わ、冷たい！
ここ、結構水っけが多いですね。覚者さま","ui\00_message\pawn\talk\stage\feature3016\persona06.gmd","\pw_talk\pt_feature3016_persona06.arc","pt_feature3016_persona06.arc","0"
"0","0","ピッケル多めに持ってきました？
きっとここ、鉱石がたくさん採れますよ！","ピッケル多めに持ってきました？
きっとここ、鉱石がたくさん採れますよ！","ui\00_message\pawn\talk\stage\feature3016\persona06.gmd","\pw_talk\pt_feature3016_persona06.arc","pt_feature3016_persona06.arc","1"
"0","0","侵食魔も痛かったり苦しかったりするのかな――","侵食魔も痛かったり苦しかったりするのかな――","ui\00_message\pawn\talk\stage\feature3016\persona06.gmd","\pw_talk\pt_feature3016_persona06.arc","pt_feature3016_persona06.arc","2"
"0","0","この洞窟には、何がいるんでしょうね！
まだ見てない魔物はいないかなぁ","この洞窟には、何がいるんでしょうね！
まだ見てない魔物はいないかなぁ","ui\00_message\pawn\talk\stage\feature3016\persona06.gmd","\pw_talk\pt_feature3016_persona06.arc","pt_feature3016_persona06.arc","3"
"0","0","洞窟探検、張り切っていきましょう！！","洞窟探検、張り切っていきましょう！！","ui\00_message\pawn\talk\stage\feature3016\persona06.gmd","\pw_talk\pt_feature3016_persona06.arc","pt_feature3016_persona06.arc","4"
"0","0","かなり湿ってやがる
もともと地下水脈だったんですかね","かなり湿ってやがる
もともと地下水脈だったんですかね","ui\00_message\pawn\talk\stage\feature3016\persona07.gmd","\pw_talk\pt_feature3016_persona07.arc","pt_feature3016_persona07.arc","0"
"0","0","採掘しがいのありそうな洞窟ですね
さーて、どこかに鉱脈は――","採掘しがいのありそうな洞窟ですね
さーて、どこかに鉱脈は――","ui\00_message\pawn\talk\stage\feature3016\persona07.gmd","\pw_talk\pt_feature3016_persona07.arc","pt_feature3016_persona07.arc","1"
"0","0","壁にも侵食キノコがくっついてたりするでしょう
傍を通る時につい息を止めちまうんですよ","壁にも侵食キノコがくっついてたりするでしょう
傍を通る時につい息を止めちまうんですよ","ui\00_message\pawn\talk\stage\feature3016\persona07.gmd","\pw_talk\pt_feature3016_persona07.arc","pt_feature3016_persona07.arc","2"
"0","0","油断は禁物ですぜ、覚者さま
洞窟の奥には、普段見ねぇ思わぬ大物が
居やがったりもしますから","油断は禁物ですぜ、覚者さま
洞窟の奥には、普段見ねぇ思わぬ大物が
居やがったりもしますから","ui\00_message\pawn\talk\stage\feature3016\persona07.gmd","\pw_talk\pt_feature3016_persona07.arc","pt_feature3016_persona07.arc","3"
"0","0","まずは内部をきっちり検めましょう
後のことは、出てからで","まずは内部をきっちり検めましょう
後のことは、出てからで","ui\00_message\pawn\talk\stage\feature3016\persona07.gmd","\pw_talk\pt_feature3016_persona07.arc","pt_feature3016_persona07.arc","4"
"0","0","すごい湿気ね――
地下水が溜まっているせいかしら","すごい湿気ね――
地下水が溜まっているせいかしら","ui\00_message\pawn\talk\stage\feature3016\persona08.gmd","\pw_talk\pt_feature3016_persona08.arc","pt_feature3016_persona08.arc","0"
"0","0","ねぇマスター、宝石が採れるかもしれないわ
ピッケルは十分持ってきています？","ねぇマスター、宝石が採れるかもしれないわ
ピッケルは十分持ってきています？","ui\00_message\pawn\talk\stage\feature3016\persona08.gmd","\pw_talk\pt_feature3016_persona08.arc","pt_feature3016_persona08.arc","1"
"0","0","こんなふうに水が流れるようなところでも
侵食は広がっているのね","こんなふうに水が流れるようなところでも
侵食は広がっているのね","ui\00_message\pawn\talk\stage\feature3016\persona08.gmd","\pw_talk\pt_feature3016_persona08.arc","pt_feature3016_persona08.arc","2"
"0","0","洞窟か――マスターと二人きりなら
少しロマンチックかも","洞窟か――マスターと二人きりなら
少しロマンチックかも","ui\00_message\pawn\talk\stage\feature3016\persona08.gmd","\pw_talk\pt_feature3016_persona08.arc","pt_feature3016_persona08.arc","3"
"0","0","危険な魔物が現れたら逃げるのも手です
退路を間違えば、追い詰められてしまうけど","危険な魔物が現れたら逃げるのも手です
退路を間違えば、追い詰められてしまうけど","ui\00_message\pawn\talk\stage\feature3016\persona08.gmd","\pw_talk\pt_feature3016_persona08.arc","pt_feature3016_persona08.arc","4"
"0","0","木の根によって崩されているところもあるようです
植物の力というのはすごいですね","木の根によって崩されているところもあるようです
植物の力というのはすごいですね","ui\00_message\pawn\talk\stage\feature3017\persona01.gmd","\pw_talk\pt_feature3017_persona01.arc","pt_feature3017_persona01.arc","0"
"0","0","長くのこるのも頷ける堅牢な造りですね
これならそう簡単には崩れないでしょう","長くのこるのも頷ける堅牢な造りですね
これならそう簡単には崩れないでしょう","ui\00_message\pawn\talk\stage\feature3017\persona01.gmd","\pw_talk\pt_feature3017_persona01.arc","pt_feature3017_persona01.arc","1"
"0","0","こういった場所は必ず魔物やならず者が
潜んでいます
覚者さま、周囲にご注意を","こういった場所は必ず魔物やならず者が
潜んでいます
覚者さま、周囲にご注意を","ui\00_message\pawn\talk\stage\feature3017\persona01.gmd","\pw_talk\pt_feature3017_persona01.arc","pt_feature3017_persona01.arc","2"
"0","0","昔の遺物なども、探せばあるかもしれませんね","昔の遺物なども、探せばあるかもしれませんね","ui\00_message\pawn\talk\stage\feature3017\persona01.gmd","\pw_talk\pt_feature3017_persona01.arc","pt_feature3017_persona01.arc","3"
"0","0","先が暗く見通しが悪いです
十分にご注意を","先が暗く見通しが悪いです
十分にご注意を","ui\00_message\pawn\talk\stage\feature3017\persona01.gmd","\pw_talk\pt_feature3017_persona01.arc","pt_feature3017_persona01.arc","4"
"0","0","あ――木の根っこ――
いえ、別になんでもないです――","あ――木の根っこ――
いえ、別になんでもないです――","ui\00_message\pawn\talk\stage\feature3017\persona02.gmd","\pw_talk\pt_feature3017_persona02.arc","pt_feature3017_persona02.arc","0"
"0","0","こんなに昔のものなのに、まだ十分使えそうですね
ちょっと崩れてるところもあるけど
ほんの一部だけですし――","こんなに昔のものなのに、まだ十分使えそうですね
ちょっと崩れてるところもあるけど
ほんの一部だけですし――","ui\00_message\pawn\talk\stage\feature3017\persona02.gmd","\pw_talk\pt_feature3017_persona02.arc","pt_feature3017_persona02.arc","1"
"0","0","か、覚者さま
十分周囲に警戒を――","か、覚者さま
十分周囲に警戒を――","ui\00_message\pawn\talk\stage\feature3017\persona02.gmd","\pw_talk\pt_feature3017_persona02.arc","pt_feature3017_persona02.arc","2"
"0","0","何か役に立ちそうなものがあれば――","何か役に立ちそうなものがあれば――","ui\00_message\pawn\talk\stage\feature3017\persona02.gmd","\pw_talk\pt_feature3017_persona02.arc","pt_feature3017_persona02.arc","3"
"0","0","き、気を付けていきましょう
何が出るか――！","き、気を付けていきましょう
何が出るか――！","ui\00_message\pawn\talk\stage\feature3017\persona02.gmd","\pw_talk\pt_feature3017_persona02.arc","pt_feature3017_persona02.arc","4"
"0","0","木の根が天井や壁を
崩しているところがあります――
岩を崩すとは、植物の力もあなどれませんね！","木の根が天井や壁を
崩しているところがあります――
岩を崩すとは、植物の力もあなどれませんね！","ui\00_message\pawn\talk\stage\feature3017\persona03.gmd","\pw_talk\pt_feature3017_persona03.arc","pt_feature3017_persona03.arc","0"
"0","0","マスター、ここは元々長くのこすために
造られた場所のようです
壁もレンガではなく切り出した岩石を
積んでありますよ！","マスター、ここは元々長くのこすために
造られた場所のようです
壁もレンガではなく切り出した岩石を
積んでありますよ！","ui\00_message\pawn\talk\stage\feature3017\persona03.gmd","\pw_talk\pt_feature3017_persona03.arc","pt_feature3017_persona03.arc","1"
