"id","old","new"
"162","オーク軍少将","Orc Major General"
"163","番兵","Guard"
"164","オーク兵","Orc Soldier"
"165","オーク精鋭兵","Orc Elite"
"166","黒鉄の巨人兵","Black Iron Giant Warrior"
"167","錬魔スケルトン","Alchemized Skeleton"
"168","氷竜","Ice Dragon"
"169","オーク残存兵","Orc Remnant"
"170","錬魔ゴブリン","Alchemized Goblin"
"171","紫銅の巨人兵","Copper Giant Warrior"
"172","炎練","Flame training"
"173","錬成強化グリフィン","Reinforcement Griffin"
"174","錬魔ハーピー","Alchemized Harpy"
"175","錬成強化グリフィン","Reinforcement Griffin"
"176","錬魔ハーピー","Alchemized Harpy"
"181","時番","Time Bonus"
"182","鍵守り","Key Keeper"
"187","兎喰らいの","Rabbit-Eating"
"188","ビンシャの手下","Binsha's Henchman"
"189","橋守のビンシャ","Binsha the Bridge-Keeper"
"190","変種","Variant"
"191","大喰いのラージリザード","Gluttonous Giant Saurian"
"192","黒狼団のローグ","Black Wolf Rogue"
"193","黒狼団の首領","Black Wolf Leader"
"195","隠れ浜のならず者","Hidden Beach Rogue"
"200","マーテル・ハーピー","Mother Harpy"
"201","棘角のギョームル","Gyumul the Spiked Horn"
"202","ギョームルの手下","Gyumul's Minion"
"203","ルフローの亡霊","Specter of Ruflow"
"204","村民の成れの果て","Former Villager"
"205","青爪浜の","Blue Claw Beach"
"206","グリッガの手下","Gurigga's Minion"
"207","緑鬼グリッガ","Gurigga the Green Demon"
"208","唸り猿","Howler Ape"
"209","裂き猿","Ripper Ape"
"210","豚喰い猿","Pig-Eating Ape"
"212","オールドグロウ・エント","Old Grown Ent"
"213","古代種","Ancient"
"214","古代種","Ancient"
"215","坑道荒らし","Tunnel Thief"
"216","宝狩りのグリフィン","Treasure Seeking Griffon"
"217","盗掘種","Grave Robber"
"218","奇種","Strange"
"219","タイガーテール・サルファー","Sulfur Tiger-Tail"
"220","スノーグーラー・ハーピー","Snow Gura Harpy"
"221","妖歌のローレライ","Demon Songtress Lorelei"
"222","剛腕のコロッサス","Gowan the Colossus"
"223","オッドの精鋭","Odd's Elite"
"224","盾破りのオッド","Odd the Shield-Breaker"
"225","レイクニュート","Lake Newt"
"226","セラー湖の水竜","Water Dragon of Cellar Lake"
"227","葉影の密猟者","Shadow Poacher"
"228","密猟者の護衛","Poacher Guard"
"229","忘れられた亡霊","Forgotten Specter"
"230","目覚めし亡者","Enlightened Undead"
"231","さまよう亡者","Wandering Undead"
"232","帰還のヨトン","Yoton the Returned"
"233","コバルトニュート","Cobalt Newt"
"234","遠征準備の小隊長","Battle-Ready Platoon Leader"
"235","オーク遊撃兵","Orc Spy"
"236","オーク偵察兵","Orc Spy"
"237","強化養成ワーグ","Strength Training Warg"
"238","魔犬飼育担当兵長","Kennel Keeper"
"239","魔犬飼育担当兵","Dog Catcher"
"240","双牙の軍竜ベヘモット","Bifang Military Dragon Behemoth"
"241","淀みの泥人形","Clay Doll of Stagnation"
"242","淀みの水精","Crystal of Stagnation"
"243","泉の徘徊霊","Wandering Spirit of the Spring"
"245","泉の徘徊霊","Wandering Spirit of the Spring"
"246","泉の徘徊霊","Wandering Spirit of the Spring"
"247","泉の徘徊霊","Wandering Spirit of the Spring"
"248","エルフイーター・","Elf Eater"
"249","錆鉄の巨人兵","Rusted Iron Giant Warrior"
"250","錆鉄の錬魔ゴブリン","Rusted Alchemized Goblin"
"251","メルゴダ巡視兵団","Mergoda Patrol Corps"
"252","メルゴダ女守官","Mergoda Female Officer"
"253","ザンドラ・バルバロイ","Zandora Barbarian"
"254","ザンドラ・バルバロイ","Zandora Barbarian"
"255","ザンドラ・バルバロイ","Zandora Barbarian"
"256","ザンドラ・バルバロイ","Zandora Barbarian"
"257","ザンドラ・バルバロイ","Zandora Barbarian"
"258","ザンドラ・バルバロイ","Zandora Barbarian"
"259","ザンドラ・バルバロイ","Zandora Barbarian"
"260","大将級オーク残党頭","Orc General Remnant"
"261","オーク残党兵","Orc Remnants"
"262","オーク残党兵","Orc Remnants"
"263","嘆きのモーラ","Wailing Mora"
"264","白獅子アルバス","White Lion Albus"
"265","斥候のコロッサス","Colossus Patrol"
"267","強襲用コロッサス","Assault Colossus"
"269","不浄の土人形","Foul Earth Figure"
"270","不浄の肉塊虫","Foul Meat Lump"
"271","炎熱のジオゴーレム","Torrid Geo Golem"
"272","テイムド・","Tamed"
"273","テイマー・バルバロイ","Tamer Barbarian"
"274","虚ろの処刑人","Hollow Executioner"
"276","祠の守兵","Shrine Guard"
"277","合成用ゴブリンアルケミー","Synthetic Alchemized Goblin"
"278","合成用アイ","Synthetic Eye"
"279","メルガン・エンジニア","Mergan Engineer"
"280","ギガン・マキナ・カスタム","Giga Machina Custom"
"282","クローン・ズール","Clone Zuhl"
"283","先発隊長","Vanguard Commander"
"284","切込隊長","Raid Commander"
"285","先発兵","Vanguard Soldier"
"298","呪われた骸","Cursed Skeleton"
"299","呪われた魔女","Cursed Witch"
"300","呪われた女帝","Cursed Empress"
"303","討伐対象","Suppression Target"
"304","レイド・","Raid"
"305","路番の","Path-Guard"
"306","路番の","Path-Guard"
"307","穢れの助神官","Defiled Assistant Priest"
"308","穢れの土人形","Defiled Earth Figure"
"309","穢れの信徒","Defiled Follower"
"310","亡者司祭メンヴィル","Menvili the Undead Priest"
"311","疫呪の使徒","Plague Apostle"
"312","ムジナ団狼使い","Badger Wolf Tamer"
"313","テイムド・ダイアウルフ","Tamed Direwolf"
"314","ブリア宝奪団","Breya Treasure Bandit"
"316","財宝守りの海竜","Sea Dragon the Treasure Guardian"
"319","水路の大猿","Dread Ape of the Aqueduct"
"321","魔獅子シンガ","Magic Lion Singa"
"322","ピット・","Pit"
"324","ボルドバンガー・","Volden Banger"
"325","強炭性","Charcoal Sludgeman"
"327","ムジナ団頭領","Badger Chieftain"
"328","ムジナ団員","Badger Member"
"329","ケイブ・","Cave"
"331","カタコンベ・プリースト","Catacombs Priest"
"332","カタコンベの守兵","Catacombs Guard"
"341","いびき鳴り","Snoring"
"342","魔女の従僕","Witch's Servant"
"343","魔女マリヴェラ","Maribel the Witch"
"344","魔女の従僕","Witch's Servant"
"345","死体齧りの","Corpse-Eating"
"346","グレイブワーグ","Gravewarg"
"347","戦鬼ゲソム","Gesomu the War Demon"
"348","戦鬼の副官","War Demon's Lieutenant"
"349","蒼葉の","Blue Leaf"
"350","蒼葉の","Blue Leaf"
"351","“白い災厄”エルダーアングルス","""White Calamity"" Elder Angules"
"352","影穴の軍狼","Wolf of Shadows"
"353","影穴の部隊兵","Troop of Shadows"
"354","神花の","God Flower"
"357","ケイブ・","Cave"
"358","テゴル不死兵","Tegol the Immortal"
"359","納骨堂の屍食鬼","Ossuary Ghoul"
"360","ドラワン不死兵","Dolan the Immortal"
"361","ピット・","Pit"
"362","魔女ノシュギア","Witch Noshgear"
"363","ピット・","Pit"
"364","分隊","Squad"
"365","封呪の","Runed"
"366","封呪の","Runed"
"367","高輝度","Bright"
"378","冥土の黒騎士","Black Knight of the Underworld"
"379","呪われし番兵","Accursed Guard"
"380","呪われし女官","Accursed Court Lady"
"381","不死薬被検者","Immortal Drug Test Subject"
"382","セラーケイブ・","Cellar Cave"
"383","セラーケイブ・","Cellar Cave"
"384","錬魔士ヒエニムス","Hieronymus the Alchemist"
"385","高純度ストーンアイ","High Purity Stone Eye"
"386","霊薬師セルギウス","Sergius the Apothecary"
"387","キーテイカー・","Key Bearer"
"390","キーテイカー・","Key Bearer"
"391","キーテイカー・","Key Bearer"
"400","さまよえる戦徒","Corrupted Myrmidon"
"401","ポーンクラッシャー","Pawn Crusher"
"403","はぐれ","Stray"
"406","侵攻兵","Invader"
"407","精鋭兵","Elite"
"408","総大将","Supreme Commander"
"409","大隊長","Battalion Commander"
"410","強襲兵","Assault Soldier"
"413","？？？","???"
"414","破砦用","Wall-Breaker"
"415","召喚されし","Summoned"
"416","部隊長","Commanding Officer"
"417","小隊長","Platoon Leader"
"418","急襲の","Raid"
"419","？？？","???"
"420","？？？","???"
"421","瘴気の魔獣","Miasmic Demon"
"423","第１守備隊 ","1st Garrison"
"424","第２守備隊","2nd Garrison"
"425","第３守備隊 ","3rd Garrison"
"426","第３守備隊 ","3rd Garrison"
"427","第５守備隊 ","5th Garrison"
"428","第６守備隊 ","6th Garrison"
"431","幻影牙竜","Phantom Tusk Dragon"
"432","幻影魔竜","Phantom Devil Dragon"
"433","製造番号1017 ゴリアテ改","Serial No. 1017 Goliath"
"434","リターン・ズール","Return Zuhl"
"435","天上の幽姫","Heavenly Ghost Princess"
"436","虚無の騎士","Noble Knight"
"437","無より生み出されし","From Nothingness"
"438","製造番号1020 ゴリアテ改","Serial No. 1020 Goliath"
"439","・デスペアー","(Despair)"
"440","黄金竜","The Golden Dragon"
"446","強襲の","Assault"
"447","特攻の","Kamikaze"
"448","血珠の","Blood Orb"
"449","時番","Time Bonus"
"450","珍種","Rare"
"451","",""
"454","穢れの術師","Corrupter"
"455","異界の邪霊","Wraith of the Underworld"
"456","骨噛み","Bone-Eating"
"457","ゴブリンイーター・","Goblin-Eating"
"458","賞金首","Bounty"
"459","ヤング・","Young"
"460","ララバイ・クイーン","Lullaby Queen"
"462","魔壁の時番","Time Bonus Magic-Shell"
"463","鉄壁の時番","Time Bonus Iron-Clad"
"464","強激の時番","Time Bonus Herculean"
"465","魔激の時番","Time Bonus Mystical"
"466","竜族？","Dragon Race?"
"467","賞金首","Bounty"
"468","賞金首","Bounty"
"469","賞金首","Bounty"
"470","賞金首","Bounty"
"471","賞金首","Bounty"
"472","賞金首","Bounty"
"473","賞金首","Bounty"
"474","賞金首","Bounty"
"475","賞金首","Bounty"
"476","賞金首","Bounty"
"477","賞金首","Bounty"
"478","賞金首","Bounty"
"483","賞金首","Bounty"
"484","",""
"485","賞金首","Bounty"
"488","賞金首","Bounty"
"489","賞金首","Bounty"
"490","賞金首","Bounty"
"491","賞金首","Bounty"
"492","賞金首","Bounty"
"493","賞金首","Bounty"
"494","賞金首","Bounty"
"495","ディナン・ピアサー","Deenan Piercer"
"497","賞金首","Bounty"
"498","金装のスケルトン","Gold Clothed Skeleton"
"499","錬術の女守官","Alchemized Amazon"
"500","テイムド・","Tamed"
"501","",""
"502","",""
"506","穢れの大魔像","Impure Giant Demon"
"507","ケイブレイダー","Cave Raider"
"508","大騒音の主","Lord of Rock"
"510","錬魔グリフィンNo.04","Alchemized Griffin No.04"
"511","煉獄の幽姫","Ghost Princess of Purgatory"
"512","賞金首","Bounty"
"513","賞金首","Bounty"
"514","賞金首","Bounty"
"515","ブラックウィング","Black Wing"
"516","ディープレイク・リンドブルム","Deep Lake Lindwurm"
"517","烈翼の禽獅子","Fierce Winged Lion"
"518","猛牙の銀獅子","Fierce Silver Lion"
"519","幽姫の従士","Ghost Princess' Squire"
"520","幽姫の騎士","Ghost Princess' Squire"
"522","石呪を振りまく魔","Demon wielding a stone curse"
"524","闇呪をもたらす魔","Demon wielding curses"
"525","強装巨人兵-Ⅱ型","Titan Soldier - Type II"
"526","強装巨人兵-試作型","Titan Soldier - Prototype"
"527","穢れの大魔像","Impure Giant Demon"
"528","大騒音の主","Lord of Rock"
"529","ケイブレイダー","Cave Raider"
"530","ララバイ・クィーン","Lullaby Queen"
"531","ラウドネス・","Loudness"
"532","ディナン・ピアサー","Deenan Piercer"
"541","呪われた魔鳥","Cursed Demon Bird"
"542","総大将・鬼神","Demon General"
"543","呪われた巨鳥","Cursed Large Bird"
"544","呪われた騎士","Cursed Knight"
"545","",""
"546","",""
"547","",""
"548","",""
"549","",""
"550","？？？","???"
"551","危機的","Dangerous"
"552","危機的","Dangerous"
"553","危機的","Dangerous"
"554","危機的","Dangerous"
"555","危機的","Dangerous"
"556","危機的","Dangerous"
"557","危機的","Dangerous"
"559","",""
"560","魔壁の護衛隊","Devil's Wall Guard"
"561","鉄壁の護衛隊","Devil's Wall Guard"
"563","ダンジョンキーボス","Dungeon Key Boss"
"564","レスタライト・確率大","Lestalite ・High Probability"
"567","ハイレスタライト・確率大","High Lestalite ・High Probability"
"569","鱗砂・確率大","Scale Dust ・High Probability"
"570","大粒の鱗砂・確率大","Large-Grained Sand ・High Probability"
"571","輸送番","Transport"
"572","輸送番","Transport"
"573","輸送番","Transport"
"574","Cダンジョンボスドロップ","C dungeon boss drop"
"575","・ブレイズ","(Blaze)"
"576","護衛隊 ","Convoy"
"581","レスタライト・確率小","Lestalite ・Low Probability"
"582","ハイレスタライト・確率小","High Lestalite ・Low Probability"
"583","侵食アイテム確定ドロップ","Corruption item guaranteed drop"
"584","獄炎の大魔像","Great Demon Statue of Hellfire"
"585","汚泥の傀儡","Sludge Puppet"
"586","賞金首","Bounty"
"587","賞金首","Bounty"
"588","賞金首","Bounty"
"589","賞金首","Bounty"
"590","頑鋼の","Stubborn"
"591","要警戒","Vigilant"
"592","ディープミスト・ウィルム","Deep Mist Wyrm"
"593","ディープニュート","Deep Newt"
"594","艶羽根","Plume"
"595","太牙の","Big Fang"
"596","賞金首","Bounty"
"597","虹眼の","Rainbow-eyed Alchemy Eye"
"598","賞金首","Bounty"
"599","賞金首","Bounty"
"600","賞金首","Bounty"
"601","剛皮の","Hardy"
"602","ケイブレイダー・ドレイク","Cave Raider Drake"
"603","ケイブレイダー・エンプレス","Cave Raider Empress"
"604","光角の","Angules of Light"
"605","ブラックウィドウ","Black Widow"
"606","エントアンガー","Entanger"
"607","活枝の","Live Branch Ent"
"608","凶悪","Brutal"
"609","威容の","Majestic Chimera"
"610","蒼氷のウィルム","Pale Ice Wyrm"
"611","赤熱のギガン・マキナ","Red-Hot Giga Machina"
"612","石影の","Stone Shadow"
"613","恐声の","Fearful Voice"
"614","黒艶の","Glossy Black Griffin"
"615","業火の","Hellfire"
"616","賞金首","Bounty"
"617","朱炎の","Vermilion Flame"
"618","白亜の","Chalk"
"619","グリフィン・ノワール","Griffin Noir"
"620","デスナイト・ノワール","Death Knight Noir"
"621","暗鉄の","Dark Iron"
"622","石呪をもたらす魔鶏","Demon Cockerel that wields a Stone Curse"
"623","暴虐の一つ目","One-Eyed Tyrant"
"624","凶牙の霧竜","Sharp Fang Mist Dragon"
"625","凶爪の白獅子","Wicked Clawed White Lion"
"626","氷結の","Frozen Wyrm"
"627","賞金首","Bounty"
"628","強装巨人兵-Ⅲ型","Titan Soldier - Type 3"
"629","炎装造魔兵-実戦型","Fire-armed Magickal Construct - Combat Type"
"631","冥き深奥の主","Master of Dark Depths"
"632","ディアマンテスの影","Shadow of Diamantes"
"633","灼けつく竜力","Scorching Dragon Force"
"634","凍てつく竜力","Freezing Dragon Force"
"635","クローン・ズール","Clone Zuhl"
"636","ダムドデストロイヤー","Damned Destroyer"
"637","ギガンブレイカー","Giga Breaker"
"638","デモリッションファング","Demolition Fang"
"639","死を呼ぶ闇騎士","Death Calling Dark Knight"
"640","カラミティコーラ","Calamity Caller"
"641","死を招く魔姫","Death Courting Demon Princess"
"642","霜竜フロストウィルム","Frost Wyrm"
"643","灼竜ファイアドレイク","Fire Drake"
"644","大角の戦鬼将","Great Horned War Demon"
"645","オーク軍精鋭隊","Orc Elite Force"
"646","戦鬼覇王モゴック","Mogok, the Supreme Warrior"
"647","軍獣サヴェッジキメラ","War Beast Savage Chimera"
"648","オーク軍近衛隊","Orcish Kingsguard"
"649","スカルサージェント","Skill Sergeant"
"650","メイルサージェント","Mail Sergeant"
"653","大鴉ハーピー","The Crow Harpy"
"654","賞金首","Bounty"
"655","要警戒","Vigilant"
"656","賞金首","Bounty"
"657","賞金首","Bounty"
"658","賞金首","Bounty"
"659","賞金首","Bounty"
"660","賞金首","Bounty"
"661","凶悪","Brutal"
"662","賞金首","Bounty"
"663","賞金首","Bounty"
"664","賞金首","Bounty"
"665","賞金首","Bounty"
"666","賞金首","Bounty"
"667","賞金首","Bounty"
"668","賞金首","Bounty"
"670","",""
"672","復讐の戦鬼","Vengeful Warrior"
"678","孤高の凶獣 ","Solitary beast, Mistwyrm "
"680","モゴック親衛隊長 ","Mogok Elite Guard Captain "
"682","力に魅かれし","Enchanted by Power"
"683","霊炎の","Ghost Flame"
"684","霊氷の","Ghost Ice"
"691","",""
"692","",""
"693","",""
"694","",""
"695","",""
"696","",""
"697","白の獅子王","The White Lion King"
"698","百戦鬼将","Lord of a Hundred Battles"
"699","",""
"700","鍵守り","Key Keeper"
"701","鍵守り","Key Keeper"
"702","鍵守り","Key Keeper"
"703","鍵守り","Key Keeper"
"704","鍵守り","Key Keeper"
"705","深奥の従者","Servant of the Deep"
"706","深奥の魔女","The Witch of the Deep"
"707","虚無の追跡者","Chaser of Emptiness"
"708","対の紅竜","Paired Red Dragon"
"709","対の蒼竜","Paired Blue Dragon"
"710","第２守備隊","2nd Garrison"
"711","",""
"712","",""
"713","",""
"714","",""
"715","",""
"716","",""
"717","第１守備隊","1st Garrison"
"718","",""
"719","",""
"720","",""
"721","第１守備隊 ","1st Garrison"
"722","練習","Practice"
"768","",""
"812","",""
"813","",""
"814","",""
"815","",""
"816","",""
"817","",""
"818","",""
"819","",""
"820","",""
"821","",""
"822","",""
"823","",""
"824","",""
"825","",""
"826","",""
"827","",""
"828","",""
"829","",""
"830","",""
"831","",""
"832","",""
"833","",""
"834","",""
"835","",""
"836","",""
"837","",""
"838","",""
"839","",""
"840","",""
"841","",""
"842","",""
"843","",""
"844","",""
"845","",""
"846","",""
"847","",""
"848","",""
"849","",""
"850","",""
"851","",""
"852","",""
"853","",""
"854","",""
"855","ダークビショップ","Dark Bishop"
"856","（仮）封印の","(Tentative) Seal"
"857","はぐれ","Stray"
"858","",""
"859","最終練磨","Final Test"
"860","最終練磨","Final Test"
"861","最終練磨","Final Test"
"862","最終練磨","Final Test"
"863","最終練磨","Final Test"
"864","最終練磨","Final Test"
"865","最終練磨","Final Test"
"866","最終練磨","Final Test"
"867","最終練磨","Final Test"
"868","最終練磨","Final Test"
"869","最終練磨","Final Test"
"870","最終練磨","Final Test"
"871","最終練磨","Final Test"
"872","最終練磨","Final Test"
"873","最終練磨","Final Test"
"874","最終練磨","Final Test"
"875","最終練磨","Final Test"
"876","最終練磨","Final Test"
"877","",""
"890","残党","Remnant"
"891","徘徊","Wandering"
"892","スパーク・ブルー","Spark Blue"
"893","子攫いのメリーティア","Maritia the Kidnapper"
"894","坑道の骸骨騎士","Skeleton Knight of the Tunnel"
"895","霧に揺らぐ人影","Figure Fluctuating in the Mist"
"896","ディスターブ・","Disturbed"
"897","木立の石像鬼","Grove Statue Demon"
"898","異端の","Heretic"
"899","侵食に抗う戦鬼","Infection Resisting War Demon"
"900","虚ろの騎士","Hollow Knight"
"901","跡地荒らしの黒大鷲","Black Sea Eagle of the Ruined Site"
"902","蝕まれし狂鷲","Corrupted and Berserk Eagle"
"903","目覚めし氷騎士","Awakening Ice Knight"
"904","製造番号1056 強襲型ゴリアテ","Assault-Type Goliath #1056"
"905","ルインズ・","Ruins"
"906","墓守の獣","Gravekeep's Beast"
"907","ボルディック・","Voldic"
"908","忘却の","Oblivion"
"909","怨姫ヴィルヘルミーナ","Malice Princess Wilhelmina"
"910","ディープウェル・ミストレス","Deep Well Mistress"
"911","テラス・ガーディアン","Terrace Guardian"
"912","廃水路の奇獣","Strange Beast of the Abandoned Waterway"
"913","眠らずの冥騎士","Restless Death Knight"
"914","魔獣喰いの","Beast Devourer"
"915","異形化","Variant"
"917","墓所の","Tomb"
"919","哀惜の幽鬼","Specter of Lament"
"920","未知の魔物？","Unknown Beast?"
"921","ズール","Zuhl"
"922","討伐対象","Suppression Target"
"923","討伐対象","Suppression Target"
"924","討伐対象","Suppression Target"
"925","巣窟の主","Den Master"
"926","手負いの","Wounded"
"927","手負いの","Wounded"
"928","牙剥く","Bare Fangs"
"929","ズール","Zuhl"
"930","襲来","Invading"
"931","襲来","Invading"
"932","襲来","Invading"
"933","侵食されし有翼","Infected Wings"
"934","強襲","Assault"
"935","嗅ぎつけた","Sniffing Manticore"
"936","囁き惑わす魔女","Luring Witch"
"937","招き寄せる魔女","Beckoning Witch"
"938","石息吹きの魔女","The Stone-Breathing Witch"
"939","行く手をはばむ傀儡","Obstructing Puppet"
"940","淀みの衛士人形","Guard Doll of Stagnation"
"941","淀みの衛士傀儡","Guard Puppet of Stagnation"
"942","淀みし大竜力","Phantasmic Great Dragon"
"943","アルタード・ズール","Altered Zuhl"
"957","宝魔主","Treasure Guardian Lord"
"958","宝魔主","Treasure Guardian Lord"
"959","宝魔主","Treasure Guardian Lord"
"960","宝魔主","Treasure Guardian Lord"
"961","宝魔主","Treasure Guardian Lord"
"962","宝魔主","Treasure Guardian Lord"
"963","宝魔主","Treasure Guardian Lord"
"964","宝魔主","Treasure Guardian Lord"
"965","宝魔主","Treasure Guardian Lord"
"966","宝魔主","Treasure Guardian Lord"
"967","宝魔主","Treasure Guardian Lord"
"969","マイセリウム・ベヘモット","Mycelium Behemoth"
"970","宝魔主","Treasure Guardian Lord"
"971","宝守","Treasure Guard"
"972","宝守","Treasure Guard"
"973","宝守","Treasure Guard"
"974","宝守","Treasure Guard"
"975","宝守","Treasure Guard"
"976","宝守","Treasure Guard"
"977","宝守","Treasure Guard"
"978","宝守","Treasure Guard"
"983","宝守","Treasure Guard"
"984","宝魔主","Treasure Guardian Lord"
"985","宝魔主","Treasure Guardian Lord"
"986","宝守","Treasure Guard"
"987","宝魔主","Treasure Guardian Lord"
"988","宝魔主","Treasure Guardian Lord"
"989","宝魔主","Treasure Guardian Lord"
"990","宝魔主","Treasure Guardian Lord"
"991","宝魔主","Treasure Guardian Lord"
"992","宝魔主","Treasure Guardian Lord"
"993","宝魔主","Treasure Guardian Lord"
"994","宝魔主","Treasure Guardian Lord"
"997","宝魔主","Treasure Guardian Lord"
"999","宝魔主","Treasure Guardian Lord"
"1000","宝魔主","Treasure Guardian Lord"
"1001","",""
"1002","",""
"1003","",""
"1004","",""
"1005","",""
"1006","",""
"1007","",""
"1008","",""
"1009","",""
"1010","",""
"1011","",""
"1012","",""
"1013","",""
"1014","",""
"1015","",""
"1016","",""
"1017","",""
"1018","",""
"1019","",""
"1020","",""
"1021","",""
"1022","",""
"1023","",""
"1024","",""
"1025","",""
"1026","",""
"1027","",""
"1028","",""
"1029","",""
"1030","",""
"1031","",""
"1032","",""
"1033","",""
"1034","",""
"1035","",""
"1036","",""
"1037","",""
"1038","",""
"1039","",""
"1040","",""
"1041","",""
"1042","",""
"1043","",""
"1044","",""
"1045","",""
"1046","・エクストラ","(Extra)"
"1047","",""
"1048","・エクストラ","(Extra)"
"1049","",""
"1050","・エクストラ","(Extra)"
"1051","",""
"1052","・エクストラ","(Extra)"
"1053","",""
"1054","・エクストラ","(Extra)"
"1055","",""
"1056","・エクストラ","(Extra)"
"1057","",""
"1058","・エクストラ","(Extra)"
"1059","",""
"1060","・エクストラ","(Extra)"
"1061","",""
"1062","・エクストラ","(Extra)"
"1063","",""
"1064","・エクストラ","(Extra)"
"1065","",""
"1066","・エクストラ","(Extra)"
"1067","",""
"1068","・エクストラ","(Extra)"
"1069","",""
"1070","・エクストラ","(Extra)"
"1071","",""
"1072","・エクストラ","(Extra)"
"1073","",""
"1074","・エクストラ","(Extra)"
"1075","",""
"1076","・エクストラ","(Extra)"
"1077","",""
"1078","・エクストラ","(Extra)"
"1079","",""
"1080","・エクストラ","(Extra)"
"1081","",""
"1082","・エクストラ","(Extra)"
"1083","",""
"1084","・エクストラ","(Extra)"
"1085","",""
"1086","・エクストラ","(Extra)"
"1087","・エクストラ","(Extra)"
"1088","・エクストラ","(Extra)"
"1089","・エクストラ","(Extra)"
"1090","",""
"1091","・エクストラ","(Extra)"
"1092","",""
"1093","",""
"1094","",""
"1095","",""
"1096","",""
"1097","",""
"1098","",""
"1099","",""
"1100","",""
"1101","",""
"1102","",""
"1103","",""
"1104","",""
"1105","",""
"1106","",""
"1107","",""
"1108","",""
"1109","",""
"1110","",""
"1111","",""
"1112","",""
"1113","",""
"1114","",""
"1115","",""
"1116","",""
"1117","",""
"1118","昌石を秘めた","Hidden Gemstones"
"1119","財宝を秘めた","Hidden Treasures"
"1120","竜力を秘めた","Hidden Dragon Force"
"1121","宝飾を秘めた","Hidden Jewelry"
"1126","昌石を秘めた","Hidden Gemstones"
"1127","財宝を秘めた","Hidden Treasures"
"1128","竜力を秘めた","Hidden Dragon Force"
"1129","宝飾を秘めた","Hidden Jewelry"
"1130","宝飾を秘めた","Hidden Jewelry"
"1131","宝飾を秘めた","Hidden Jewelry"
"1132","召喚士","Summoner"
"1133","甦生した","Revived"
"1134","甦生した","Revived"
"1135","黒闇より甦りし","Raised from the Darkness"
"1136","甦生した","Revived"
"1137","異界の","of the Other World"
"1138","狭間の","Between"
"1139","隷下部隊","Subordinate Troop"
"1140","隷下部隊長","Subordinate Commanding Officer"
"1141","隷下部大隊長","Subordinate Commanding Officer"
"1142","甦生したボルドバンガー・","Resurrected Lindwurm"
"1143","第一練磨","First Test"
"1144","第二練磨","Second Test"
"1145","",""
"1146","礎の番人","Foundation Guardian"
"1147","",""
"1149","甦生した","Revived"
"1151","召喚士","Summoner"
"1152","甦生した","Revived"
"1155","",""
"1156","淀みの戦徒","Myrmidon of Stagnation"
"1157","甦生した","Revived"
"1158","賞金首","Bounty"
"1159","賞金首","Bounty"
"1160","賞金首","Bounty"
"1161","",""
"1162","",""
"1163","",""
"1164","",""
"1165","",""
"1166","",""
"1167","",""
"1168","",""
"1170","ストレングス・","[Strength]"
"1171","テンパランス・","[Temperance]"
"1173","ハイエロファント・","[The Hierophant]"
"1175","マジシャン・","[The Magician]"
"1178","",""
"1179","大竜力の精兵","Great Dragon Force Elite Soldier"
"1180","ＨＰ２倍だよ！","Double HP!"
"1181","のけぞりぶっとび２倍だよ！","Double Stagger/Knockback!"
