Identifier,Source string,Translation,Context,Labels,Max. length
EDIT_MSG_DIALOG_PC_SAVEDATA_LOADWORD,ロードするスロットを選択してください,Please select the slot to load,"EDIT_MSG_DIALOG_PC_SAVEDATA_LOADWORD
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVEDATA_DATE,作成日時,Creation Time,"EDIT_MSG_DIALOG_PC_SAVEDATA_DATE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVEDATA_AUTHOR,作成者,Author,"EDIT_MSG_DIALOG_PC_SAVEDATA_AUTHOR
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVEDATA_SEX,性別,Gender,"EDIT_MSG_DIALOG_PC_SAVEDATA_SEX
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVEDATA_COMMENT,コメント,Comment,"EDIT_MSG_DIALOG_PC_SAVEDATA_COMMENT
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVE_OVERWRITE,"既存のセーブデータに
上書きしてもよろしいですか？",Are you sure you want to overwrite your existing saved data?,"EDIT_MSG_DIALOG_PC_SAVE_OVERWRITE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVING,"保存しています
PC本体の電源を
切らないでください","Saving
Do not turn off the power of the PC","EDIT_MSG_DIALOG_PC_SAVING
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_SAVE_FINISH,セーブが終了しました,Saving is finished.,"EDIT_MSG_DIALOG_PC_SAVE_FINISH
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_ERROR_HDD_NOSPACE,"記憶デバイスの
空き容量が不足しています
空き容量を確保してください","Insufficient free space on storage device
Please free up space","EDIT_MSG_DIALOG_PC_ERROR_HDD_NOSPACE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_ERROR_SAVE_FAILED,"セーブデータの保存に
失敗しました",Failed to save.,"EDIT_MSG_DIALOG_PC_ERROR_SAVE_FAILED
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_LOADING,"ロードしています
PC本体の電源を
切らないでください","Loading
Do not turn off the power to the PC","EDIT_MSG_DIALOG_PC_LOADING
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_LOAD_FINISH,ロードが終了しました,Loading Complete,"EDIT_MSG_DIALOG_PC_LOAD_FINISH
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_ERROR_LOAD_CRASH_DATA,"セーブデータが破損しているため
ロードできません",Unable to load due to corrupted save data,"EDIT_MSG_DIALOG_PC_ERROR_LOAD_CRASH_DATA
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_ERROR_LOAD_FAILED,"セーブデータのロードに
失敗しました",Loading saved data failed,"EDIT_MSG_DIALOG_PC_ERROR_LOAD_FAILED
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_DELETE_DATA,セーブデータを削除してもよろしいですか？,Are you sure you want to delete your saved data?,"EDIT_MSG_DIALOG_PC_DELETE_DATA
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_DELETING,"削除しています
PC本体の電源を
切らないでください","Deleting
Do not turn off the PC itself","EDIT_MSG_DIALOG_PC_DELETING
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_DELETE_FINISH,削除しました,Deleted successfully,"EDIT_MSG_DIALOG_PC_DELETE_FINISH
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_ERROR_DELETE_FAILED,"セーブデータの削除に
失敗しました",Deletion of saved data failed,"EDIT_MSG_DIALOG_PC_ERROR_DELETE_FAILED
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_TUTORIAL_SEX,"《便利な機能を紹介》

【<COL FFFFFF><KC UI_START></COL>】
エディット情報のセーブ/ロードがおこなえます

【<COL FFFFFF><KC UI_LB></COL> / <COL FFFFFF><KC UI_RB></COL>】
一つ前の設定に戻したり、やり直したりできます
（性別を変更すると履歴はリセットされます）

その他の機能は、画面下のガイドをご覧ください","《Introducing useful functions》

[<COL FFFFFF><KC UI_START></COL>]
Save and load edit information

[<COL FFFFFF><KC UI_LB></COL> / <COL FFFFFF><KC UI_RB></COL>]
Revert to previous settings and start over
(history will be reset if you change gender)

See the guide at the bottom of the screen for additional features.","EDIT_MSG_DIALOG_TUTORIAL_SEX
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_TUTORIAL_PRESET,"《デザイナープリセットとは》

予め用意されたサンプルモデルです
エディットが苦手な方にオススメです

より高度なエディットをしたい方は
顔の輪郭や目、眉などで詳細な設定ができます","《What is a Designer Preset?》

A sample model prepared in advance
Recommended for those who are not good at editing

For those who want to do more advanced editing
You can make detailed settings with facial contours, eyes, eyebrows, etc.","EDIT_MSG_DIALOG_TUTORIAL_PRESET
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_TUTORIAL_RANDOM,"《ワンポイントアドバイス》

ランダムを選ぶと、髪の毛や目、眉などの
各種パーツをランダム設定します

元に戻る/やり直すの履歴機能を使ったり
こまめにセーブ/ロードをおこなって
理想のキャラクターモデルに近づけていきましょう","《Tip》

If you select ""Random"", you can set various parts such as hair, eyes, eyebrows, etc.


Use the undo/redo history function or save/load frequently
to get closer to your ideal character model","EDIT_MSG_DIALOG_TUTORIAL_RANDOM
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_CANCEL_LOADDATA,ロードをキャンセルしますか？,Are you sure you want to cancel the load?,"EDIT_MSG_DIALOG_PC_CANCEL_LOADDATA
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_PC_CANCEL_SAVEDATA,セーブをキャンセルしますか？,Are you sure you want to cancel the save?,"EDIT_MSG_DIALOG_PC_CANCEL_SAVEDATA
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SAVE_NODATA,NO DATA,NO DATA,"EDIT_MSG_DIALOG_SAVE_NODATA
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SAVE_SEX_F,女性,Female,"EDIT_MSG_DIALOG_SAVE_SEX_F
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SAVE_SEX_M,男性,Male,"EDIT_MSG_DIALOG_SAVE_SEX_M
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_FIRST_PUSH_DEFAULT,"【<COL FFFFFF><KC UI_X></COL>】はデフォルトに戻す機能です

（次回の操作から、この確認は表示されません）","【<COL FFFFFF><KC UI_X></COL>】 is the function to restore the default

(From the next use, this confirmation will not appear.)","EDIT_MSG_DIALOG_FIRST_PUSH_DEFAULT
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_EDIT_RETURN_TITLE,"タイトル画面に戻ります
よろしいですか？

(エディット情報のセーブは済ませましたか？)","Return to the title screen.
Do you wish to proceed?

(Have you saved the edit information?)","EDIT_MSG_DIALOG_EDIT_RETURN_TITLE
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_EDIT_RETURN_LAUNCHER,"ゲームを終了してランチャーに戻ります
よろしいですか？

(エディット情報のセーブは済ませましたか？)","Exit the game and go back to the launcher
OK?

(Have you saved the edit information?)","EDIT_MSG_DIALOG_EDIT_RETURN_LAUNCHER
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SALON_2_ERR_01,"名前、もしくは性別が変更されていません
容姿だけを変更する場合は、美容院をご利用ください","Name or gender has not been changed
If you only want to change your appearance, please use a beauty salon","EDIT_MSG_DIALOG_SALON_2_ERR_01
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SALON_CHOICE_PAY,支払い方法を選んでください,Please select a payment method,"EDIT_MSG_DIALOG_SALON_CHOICE_PAY
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SALON_2_CANCEL,"転生をキャンセルします
よろしいですか？","Canceling reincarnation
Do you wish to proceed??","EDIT_MSG_DIALOG_SALON_2_CANCEL
ui\00_message\ui\character_edit_dialog_win.gmd",,
EDIT_MSG_DIALOG_SALON_2_ERR_02,"性別が変更されていません
容姿だけを変更する場合は、美容院をご利用ください","Gender has not been changed
If you only want to change your appearance, please use a beauty salon","EDIT_MSG_DIALOG_SALON_2_ERR_02
ui\00_message\ui\character_edit_dialog_win.gmd",,
FURNITURE_GROUP_NAME_14,広場,Plaza,"FURNITURE_GROUP_NAME_14
ui\00_message\common\clan_furniture_group_name.gmd",,
FURNITURE_GROUP_NAME_15,白竜像,White Dragon Statue,"FURNITURE_GROUP_NAME_15
ui\00_message\common\clan_furniture_group_name.gmd",,
FURNITURE_GROUP_NAME_16,大広間,Great Hall,"FURNITURE_GROUP_NAME_16
ui\00_message\common\clan_furniture_group_name.gmd",,
FURNITURE_GROUP_NAME_20,ボード前ラウンジ,Board Front Lounge,"FURNITURE_GROUP_NAME_20
ui\00_message\common\clan_furniture_group_name.gmd",,
FURNITURE_LAYOUT_NAME_50,広場オブジェ,Plaza Object,"FURNITURE_LAYOUT_NAME_50
ui\00_message\common\clan_furniture_layout_name.gmd",,
FURNITURE_LAYOUT_NAME_52,白竜像,White Dragon Statue,"FURNITURE_LAYOUT_NAME_52
ui\00_message\common\clan_furniture_layout_name.gmd",,
FURNITURE_LAYOUT_NAME_57,食卓,Dining Table,"FURNITURE_LAYOUT_NAME_57
ui\00_message\common\clan_furniture_layout_name.gmd",,
FURNITURE_LAYOUT_NAME_58,大絨毯,Large Carpet,"FURNITURE_LAYOUT_NAME_58
ui\00_message\common\clan_furniture_layout_name.gmd",,
FURNITURE_LAYOUT_NAME_59,ボード前ラウンジ,Board before Lounge,"FURNITURE_LAYOUT_NAME_59
ui\00_message\common\clan_furniture_layout_name.gmd",,
FURNITURE_LAYOUT_NAME_60,装飾,Decoration,"FURNITURE_LAYOUT_NAME_60
ui\00_message\common\clan_furniture_layout_name.gmd",,
FURNITURE_LAYOUT_NAME_62,食事,Meal,"FURNITURE_LAYOUT_NAME_62
ui\00_message\common\clan_furniture_layout_name.gmd",,
,"我が主殿――そう慌てないで
まずはクランショップから≪ポーン遠征隊≫を
購入することが、スポットを探索するための
輝かしき第一歩なのですよ","――うむ
これで各地のエリアとおまえの結び付きは
より強固なものとなるだろう","
ui\00_message\pawn\clan\ppm005.gmd",,
,"残念ながら、クラフト中のポーンは
ポーン遠征隊として探索に参加できないのです
まぁ、当然と言えば当然ですね","Unfortunately, pawns that are crafting cannot participate in the search as a pawn expedition.
It is only natural.","
ui\00_message\pawn\clan\ppm005.gmd",,
,麗しき我が主よ、本日はいずこへ探索に？,"My beautiful Lord, where are you going to explore today?","
ui\00_message\pawn\clan\ppm005.gmd",,
,"おや！　主殿、今日は
スポット探索に派遣済みですから
これ以上は探索に参加できないようです――が
その前のめりな姿勢、嫌いではありませんよ","Oy! My Lord, I've already sent you to spot search today, so
it seems that you can't participate in the search anymore 
- but I don't dislike that forward-thinking attitude!","
ui\00_message\pawn\clan\ppm005.gmd",,
,それでは、この私が探索に行って参りましょう,"Well, then, let me go explore.","
ui\00_message\pawn\clan\ppm005.gmd",,
,"おやおや、覚者殿
お手持ちに<VAL>個の空きがありませんね
遠征成果をお渡しすることができませんよ","Oh dear, Lord Arisen
you don't have any<VAL>pieces available
I'm afraid I can't give you the results of the expedition.","
ui\00_message\pawn\clan\ppm005.gmd",,
,"覚者殿、《<VAL SPOT>》へ
探索に行って参りましたよ
ええ、それから<VAL EMNAME>
<VAL>体などの討伐をこなしました","Dear Lord Arisen, I went to 《<VAL SPOT>》to explore.
Yeah, and then to <VAL EMNAME>.
<VAL>I completed a subjugation of the enemy and such.","
ui\00_message\pawn\clan\ppm005.gmd",,
,"《<VAL SPOT>》からただいま戻りましたよ
<VAL EMNAME><VAL>体などの
討伐を行いました
――これでよろしいのでしょう？","I just got back from<VAL SPOT>
<VAL EMNAME><VAL>I subjugated some enemies
-- is that okay?","
ui\00_message\pawn\clan\ppm005.gmd",,
,"この私の《<VAL SPOT>》探索を
<VAL EMNAME>どもが
少々邪魔でしたので――
<VAL>体程度討伐してやりましたよ、我が主","The <VAL EMNAME>were a bit of a distraction
from my search at <VAL SPOT>for them, so I killed about
<VAL>of them, my Lord.","
ui\00_message\pawn\clan\ppm005.gmd",,
,"《<VAL SPOT>》を探索して
参りました
宝物を発見し――もちろん入手しましたとも
さて、我々の次なる獲物はどちらです？","We searched<VAL SPOT>
and came across
a treasure--of course we got it.
Now, which is our next prey?","
ui\00_message\pawn\clan\ppm005.gmd",,
,"《<VAL SPOT>》にて入手した
この素晴らしい宝物をお受け取りください
必ずや、貴方を陶酔の境地へ
お連れすること請け合いです","Please receive this wonderful treasure from<VAL SPOT>.
We are sure that it will take you to
a state of euphoria.","
ui\00_message\pawn\clan\ppm005.gmd",,
,"主殿――先のご命令通り
《<VAL SPOT>》探索を行いました
道中にて発見したこの宝物――少々入手に代償を
払いましたが――成果としてお受け取りください","My Lord--As per your earlier order, I have searched
<VAL SPOT>
for this treasure that I found along the way--though I paid a bit of a price
to obtain it--as an achievement. Please accept it.","
ui\00_message\pawn\clan\ppm005.gmd",,
,"ああそれから、《<VAL SPOT>》に
異変が起きているようですね
クランメンバーの方たちとご一緒に
探索を行ってはいかがでしょう？","Oh, and there seems to be an
anomaly in the 《<VAL SPOT>》
Why don't you and your clan members go and explore?","
ui\00_message\pawn\clan\ppm005.gmd",,
,"聡明なる我が主殿――
遠征成果の取り忘れはありませんね？","My Lord, my wise Lord--
You did not forget to take the results of the expedition, did you?","
ui\00_message\pawn\clan\ppm005.gmd",,
,"さぁ主殿――この私に語りかけて来たからには
さぞかし重大な使命をお持ちになられたのでしょう
――してご用件は？","Now, my Lord -- since you have spoken to me here
you must have a very important mission
-- and how can I help you?","
ui\00_message\pawn\clan\ppm005.gmd",,
,本日も、怪我の無きよう――,We wish you a safe and healthy day...,"
ui\00_message\pawn\clan\ppm005.gmd",,
,"素晴らしい拠点ですね――
覚者殿の栄光を刻むに
ふさわしい場ではないですか","It's a great base--
It's a place where the glory of the Lord of the Arisen is engraved","
ui\00_message\pawn\clan\ppm005.gmd",,
,"これだけ広い拠点です――
もしも隠し部屋があったら、と空想してしまいます
いつもと違う場所を進んだり
童心に帰ってみるのも悪くないでしょう","This is such a large base--
I fantasize about what if there was a hidden room...
It wouldn't be a bad idea to go explore or
go back to your childhood!","
ui\00_message\pawn\clan\ppm005.gmd",,
,"あー、覚者さま！
クランショップから≪ポーン遠征隊≫を買わないと
スポットを探索できないんだよ！","Ah, Lord Arisen!
I can't explore the
spot unless I buy a ""Pawn Expedition"" from the clan store!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"ごめんね、覚者さま――
クラフト中のポーンはクラフトをしているから、
ポーン遠征隊の探索にいけないんです","Sorry, Arisen--
Pawns that are crafting can't go
to explore the pawn expedition!","
ui\00_message\pawn\clan\ppm006.gmd",,
,覚者さま！　今日はどこに探索しにいきますか？,Lord Arisen!　Where would you like to explore today?,"
ui\00_message\pawn\clan\ppm006.gmd",,
,"今日はもう、スポット探索に派遣したみたいだから
これ以上探索にはいけないんです――ごめんなさい","It looks like I've already explored a spot today, so I can't go exploring any more--sorry!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"行ってきまーす！
覚者さま、お土産期待しててくださいね","I'm off!
Please expect some souvenirs from me, Lord Arisen!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"あれ、覚者さま
手持ちを<VAL>個空けてくれないと
遠征成果を渡せませんよ！","Oh, Arisen, if you don't
empty<VAL>spots, I can't give you
the results of the expedition!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"《<VAL SPOT>》を探索してきましたよ！
なんと<VAL EMNAME><VAL>体とかの
討伐をしてきちゃいました
へへ、どうですか？　嬉しいですか？","I've been exploring<VAL SPOT>!
I've been killing some
<VAL EMNAME>, <VAL> of them.
Hehe, how do you like it?　Are you happy?","
ui\00_message\pawn\clan\ppm006.gmd",,
,"《<VAL SPOT>》を探索してきました
<VAL EMNAME><VAL>体とかの
討伐をやってきましたよ！
ああ、もう、どうなることかと思いました――","I've been exploring 《<VAL SPOT>》
I took down<VAL EMNAME><VAL>!
Oh, my God, I was afraid of what would happen--","
ui\00_message\pawn\clan\ppm006.gmd",,
,"覚者さまのご命令通り
《<VAL SPOT>》に探索に行って
<VAL EMNAME>たちと戦ってきましたよ！
ちゃんと<VAL>体倒してきたんですから！","I went to
《<VAL SPOT>》 to search for them and fought against
<VAL EMNAME>, as ordered by My Lord!
I've successfully defeated <VAL>!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"《<VAL SPOT>》を探索してきましたよ！
それから、お宝を見つけたんです
これ――覚者さまにあげますね
きっと、すーっごく貴重なものですよ！","I've been exploring<VAL SPOT>!
And I found a treasure.
I'm going to give it to you.
I'm sure it's very valuable!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"ただいま戻りました、覚者さま！
《<VAL SPOT>》の探索中に
お宝を見つけたから、お土産にあげますね！","I'm back, Master!
During my search for<VAL SPOT>
I found a treasure, so I'll give it to you as a souvenir!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"ふぅ、《<VAL SPOT>》から戻りました
ちょっと無茶しちゃったけど――
お宝を見つけたから、持って帰ってきたんです
覚者さまが喜んでくれるといいなって","Phew, I'm back from 《<VAL SPOT>》
I was a bit reckless, but--
I found a treasure, so I brought it back
I hope the Master will be pleased.","
ui\00_message\pawn\clan\ppm006.gmd",,
,"そういえば、覚者さま！
《<VAL SPOT>》に異変が
起きているみたいですよ
クランメンバーのみんなで一緒に探索しましょうよ！","Oh, by the way, Master!
<VAL SPOT>It seems that there is something strange
happening in 《COPY00》
Let's explore it together with all the clan members!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"覚者さま、遠征成果の取り忘れはないですか？
ぼくらのがんばり、ちゃんと受け取ってくださいね！","Dear Arisen, did you forget to get the results of the expedition?
Please accept our efforts!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"はーい！　ぼくだよ、覚者さまのポーンですよー！
それで、何かご用ですか？","Hi, it's me!　It's me, the Masters pawn!
So, what can I do for you?","
ui\00_message\pawn\clan\ppm006.gmd",,
,今日も怪我なく、元気に戻ってきてくださいね！,Please come back today with no injuries and in good spirits!,"
ui\00_message\pawn\clan\ppm006.gmd",,
,"覚者さま――ぼく――
迷子になっちゃったかと思いました","Master -- me --
I thought I got lost!","
ui\00_message\pawn\clan\ppm006.gmd",,
,"なんだか、広くて大きくてわくわくするなぁ！
隠し部屋があったりして――
ねぇ、覚者さま！　あの上までどっちが
早く登れるか、ぼくと競争しませんか？","It's kind of big and spacious and exciting!
There may be a hidden room or something...
Hey, Master!　Wanna race me to see who can get to the top
faster?","
ui\00_message\pawn\clan\ppm006.gmd",,
,"覚者様、申し訳ねぇんですが
クランショップから≪ポーン遠征隊≫を買わねえと
スポットを探索できるようにならないみてぇで――
サクッと買っちまいましょうや","Sorry, Master, but
you have to buy a ""Pawn Expedition"" from the clan store
or you won't be able to explore the spot--
let's buy it quickly and easily!","
ui\00_message\pawn\clan\ppm007.gmd",,
,"おっと、覚者さま――クラフト中のポーンは
ポーン遠征隊として探索に参加できねぇんです
何せ我々ポーンの体は一つしか無いもんでして","Oops, Arisen - pawns in crafting cannot participate in the search as a
pawn expedition.
We pawns have only one body, after all.","
ui\00_message\pawn\clan\ppm007.gmd",,
,さぁ、今日はどこを探索しに行けばいいんですかい？,"Now, where should I go to explore today?","
ui\00_message\pawn\clan\ppm007.gmd",,
,"おっと覚者様、
今日はスポット探索に派遣済みなんで
探索に参加できねぇようですぜ","Oh, Arisen,
I've already explored a spot today, so I can't go exploring any more--sorry!","
ui\00_message\pawn\clan\ppm007.gmd",,
,そんじゃ、ちょっくら探索に行くとするか！,"Well, let's go exploring for a bit!","
ui\00_message\pawn\clan\ppm007.gmd",,
,"覚者様、手持ちに<VAL>個の空きがねえんじゃ
この遠征成果は受け取ってもらえませんや","Dear Master, I don't have <VAL> free slots
on hand, so I won't be able to receive the results of this expedition.","
ui\00_message\pawn\clan\ppm007.gmd",,
,"ご命令通り《<VAL SPOT>》へ
行ってきましたぜ
きっちり<VAL EMNAME><VAL>体
ぶちのめしてきてやりましたよ","I went to<VAL SPOT>
as you ordered me to
and beat the shit out of<VAL EMNAME><VAL>","
ui\00_message\pawn\clan\ppm007.gmd",,
,"《<VAL SPOT>》へ行ったんですがね
<VAL EMNAME>の奴ら
<VAL>体くれぇは討伐できましたぜ
覚者様、次はもっと期待しててくださいよ","I went to<VAL SPOT>
and took down a few of them. <VAL><VAL EMNAME>;
Well, remember, you can expect more next time.","
ui\00_message\pawn\clan\ppm007.gmd",,
,"覚者様――《<VAL SPOT>》へ
探索に行き、なんとか<VAL EMNAME>
<VAL>体くれぇは討伐してきましたぜ――
イテテ、ちょっと無理しちまったみたいだ","Dear Master-- I went to [<VAL SPOT>]
to search and managed to kill<VAL><VAL EMNAME>--
I think I pushed myself a little too hard.","
ui\00_message\pawn\clan\ppm007.gmd",,
