"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"""Do this in each of the four sites""...
That means there are two sites still remaining.
We may not understand the intention behind this, but we tag along regardless.",,,"4部位それぞれで行う――
ということは、残るはあと2ヶ所
真意は分かりかねますが、我々は付き従うのみです",,
"Close to Fire",,,親炎,,
Regulus,,,レグルス,,
"For NPC_wp301021",,,NPC用_wp301021,,
"""Dragon Slayer"" added.",,,対敵特効【竜族】を付加する,,
Reich,,,ライシュ,,
"Close to Holy",,,親聖,,
Thin_Male_3-2,,,薄着_男_3-2,,
"Lacerta Shooter",,,ラケルタシューター,,
"Close to Ice",,,親氷,,
Thin_Male_3-3,,,薄着_男_3-3,,
"For NPC_wp301028",,,NPC用_wp301028,,
"Lady of the Night",,,夜の女,,
Reincarnation,,,転生,,
"""Evil Dragon""",,,“悪しき竜”,,
"Lady's Corset",,,淑女のコルセット,,
"Close to Thunder",,,親雷,,
Thin_Male_4-1,,,薄着_男_4-1,,
"For NPC_wp302000",,,NPC用_wp302000,,
"Reincarnation of the Flames",,,炎の転生者,,
"""Falling Damage"".
When you fall, the damage you take
depends on the height which you fell.
	
Fall from too high and you may die.
Be careful around cliffs.",,,"＜高所からの落下＞
　高所から落下すると、高さに応じて
　ダメージを受けてしまいます

　あまりに高いと死亡の危険もあるため
　崖ぎわなどは特に注意が必要です",,
"Reindeer's Coif",,,トナカイのコイフ,,
"For NPC_wp302004",,,NPC用_wp302004,,
Thin_Male_4-2,,,薄着_男_4-2,,
"Closed with a sturdy lock.",,,頑丈な鍵で閉じられている,,
"Laid-back play",,,まったり遊ぼう,,
"""For I cannot yet cease away,""",,,『まだ消えるわけにはいかない』,,
"For NPC_wp302011",,,NPC用_wp302011,,
"""Formless Slayer"" added.",,,対敵特効【軟体】を付加する,,
Closet,,,クローゼット,,
Thin_Male_4-3,,,薄着_男_4-3,,
"Reindeer's Coif (White)",,,トナカイのコイフ【白】,,
"""Giant Slayer"" added.",,,対敵特効【巨人】を付加する,,
"Lair of the Holy Beast",,,聖獣の間,,
Cloth,,,布,,
Thin_Male_Special_Frame1,,,薄着_男_特殊枠1,,
"For NPC_wp302014",,,NPC用_wp302014,,
"Reindeer's Costume (Brown)",,,トナカイのコスチューム【茶】,,
"""Golem Slayer"" added.",,,対敵特効【造魔】を付加する,,
"Reindeer's Costume (White)",,,トナカイのコスチューム【白】,,
"Cloth of Ambition",,,覇気のクロス,,
Thin_Women_1-1,,,薄着_女_1-1,,
"For NPC_wp303000",,,NPC用_wp303000,,
"For NPC_wp303009",,,NPC用_wp303009,,
"Reindeer's Ears (Brown)",,,トナカイの付け耳【茶】,,
"Cloth of Fighting Spirit",,,闘気のクロス,,
"""Great Highway"" (Normal)",,,《大きな街道》（ふつう）,,
Thin_Women_1-2,,,薄着_女_1-2,,
"Lake Cera",,,セラー湖,,
"""Human Slayer"" added.",,,対敵特効【人間】を付加する,,
"Reindeer's Ears (White)",,,トナカイの付け耳【白】,,
"Cloudburst Volley",,,降らし射ち,,
"For NPC_wp304000",,,NPC用_wp304000,,
Thin_Women_1-3,,,薄着_女_1-3,,
"Clue List",,,手がかり一覧,,
"""I shall make you Arisen,""",,,『おまえたちを覚者にしてやろう』,,
"Lake Cera Detached Pavillion Key",,,セラー湖離殿の鍵,,
"Reindeer's Mouton Boots (Brown)",,,トナカイのムートンブーツ【茶】,,
Thin_Women_2-1,,,薄着_女_2-1,,
"For NPC_wp304001",,,NPC用_wp304001,,
"For NPC_wp305000",,,NPC用_wp305000,,
"Lake Cera Ship Graveyard",,,セラー湖船墓場,,
"""Memo""

You can create a <COL ffdc78>Memo</COL>,
a note that can only be seen by you, it will be
saved in the <COL ffdc78>Memo Log</COL>.

The memo log is the leftmost tab in the channel tab.
Apart from notes you can also save specific messages
that appear in the chat log into the Memo Log.",,,"＜メモ機能＞
宛先を<COL ffdc78>Memo</COL>に合わせて
テキストを入力し、発言すると
相手に発信されず<COL ffdc78>メモログ</COL>に記録されます

メモログは、チャンネルタブを
一番左に合わせることで確認できます
また、チャットログから任意のテキストを選んで
「メモする」ことでメモログに記録できます",,
"Reindeer's Mouton Boots (White)",,,トナカイのムートンブーツ【白】,,
Thin_Women_2-2,,,薄着_女_2-2,,
"Clunky Beak",,,クランキービーク,,
"Reines Herz",,,ライネスヘルツ,,
Thin_Women_2-3,,,薄着_女_2-3,,
Cluster,,,クラスター,,
"For NPC_wp305005",,,NPC用_wp305005,,
"Cluster Magis",,,クラスター・マギス,,
"""Note:
If you've come all this way to find me,
I want to see you.
I'll be waiting at the ruined church on top of the hill.""",,,"“書き置き”
もし――ここまで探しに来てくれたなら
会いたいな
丘の上、崩れた教会で待ってるから",,
Thin_Women_3-1,,,薄着_女_3-1,,
"Lake Inias",,,イニアス湖,,
"Reinforced Battle Armor",,,強化型戦甲,,
"For NPC_wp305010",,,NPC用_wp305010,,
"For NPC_wp305014",,,NPC用_wp305014,,
"Co-op NPC",,,共闘セット用NPC,,
"Reinforcement Griffin",,,錬成強化グリフィン,,
Thin_Women_3-2,,,薄着_女_3-2,,
"""Ogre Slayer"" added.",,,対敵特効【鬼人】を付加する,,
"Co-op pawn",,,共闘ポーン1,,
"For NPC_wp305015",,,NPC用_wp305015,,
"Lake Newt",,,レイクニュート,,
"""Order must be""",,,『秩序をなくしたこの地を――』,,
"Reinforcements! Steel yourself!",,,増援だ！　気を引きしめろ！,,
Thin_Women_3-3,,,薄着_女_3-3,,
"Coarse Sand",,,粗砂,,
"Reize Hoffnung",,,レイゼホフヌン,,
"Lakebottom Connecting Passage",,,湖底連絡路,,
Thin_Women_4-1,,,薄着_女_4-1,,
"""Outskirts Checkpoint"" (Danger)",,,《外れにある関所》（危険）,,
"For NPC_wp306000",,,NPC用_wp306000,,
Thin_Women_4-2,,,薄着_女_4-2,,
"Coat multiple arrows in gunpowder and send them
skyward to rain down on a broad area.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases arrows fired (3→5).</COL>",,,"火薬を巻きつけた複数の矢を、
渾身の力で空に放ち、敵の頭上に降らせる
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で矢の発射数増加（３→５）</COL>",,
"For NPC_wp306006",,,NPC用_wp306006,,
"""Pig Oinking Hill"" (Easy)",,,《ブタの鳴く丘》（かんたん）,,
Rejoice,,,喜ぶ,,
"Lakeside Cellar",,,湖岸地下室,,
"For NPC_wp306008",,,NPC用_wp306008,,
"""Possibly Valuable Flotsam"" found.",,,「高価そうな漂流物」を発見した,,
"Coat of Arms",,,紋章,,
"Rejoice, Arisen. My power for your sake has become complete.",,,"覚者殿、お喜びください
あなたのための私の力が、
完全なものとなりました",,
Thin_Women_4-3,,,薄着_女_4-3,,
"""Public Quests"": gives normal rewards.
The location of the enemy and the quest rewards
can be seen by all players.

""Hidden Quests"": gives bonus rewards.
You need to search for yourself how to complete it,
you can also pay the ""Area Master"" for hints.
<COL ffdc78>Know that you can only get the bonus rewards once.</COL>",,,"＜公開クエスト＞：通常報酬
　…全てのプレイヤーに発生場所や報酬、敵などが
　　公開されているクエストです
＜未公開クエスト＞：ボーナス報酬追加
　…自力で探索し見つけ出すか、エリアマスターに
　　情報料を払う必要があるクエストです
　<COL ffdc78>クリア時１度のみ、未公開ボーナス報酬が付きます</COL>",,
Relax,,,くつろぐ,,
"For NPC_wp306018",,,NPC用_wp306018,,
"Coat of Certainty",,,コートオブサーテンティ,,
Thin_Women_Special_Frame1,,,薄着_女_特殊枠1,,
"Relax your blocking, allowing recovery
of Stamina upon performing perfect blocks.
<COL ffdc78>LV UP: Increases Stamina recovery further.</COL>",,,"盾弾きの発動時にスタミナが一定量回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>",,
"For NPC_wp306019",,,NPC用_wp306019,,
Thin_Women_Special_Frame2,,,薄着_女_特殊枠2,,
"Lakeside Grotto",,,湖畔の洞窟,,
"Coat of Duelist",,,コートオブデュエリスト,,
"Coat of Gloom",,,陰影のコート,,
"""Scraps of a paper note seem to have fallen down.""",,,“手記と思われる紙の切れ端が落ちている”,,
"Relax your blocking, allowing recovery of Stamina upon performing perfect blocks.
<COL ffdc78>LV UP: Increases Stamina recovery further.</COL>",,,"盾弾きの発動時にスタミナが一定量回復する
<COL ffdc78>LV毎にスタミナ回復量がより増加</COL>",,
"For NPC_wp306037",,,NPC用_wp306037,,
"Thinking of a Friend ",,," 友を思う",,
"Coat of Keen Insight",,,慧眼のコート,,
"Lakeside Grotto Inner Depths",,,"湖畔の洞窟 深層部",,
"""Skeleton Slayer"" added.",,,対敵特効【骸骨】を付加する,,
"Third Evil Dragon Army Main Unit",,,第三悪しき竜軍本隊,,
"For NPC_wp307000",,,NPC用_wp307000,,
"Relaxed Cure",,,緩療,,
"For NPC_wp307003",,,NPC用_wp307003,,
"Third Reinforcement Unit",,,第三増援部隊,,
"""Someone's note 1: For the next person in charge.""",,,“誰かの覚え書き1：次の担当者へ”,,
"Coat of Plates",,,コートオブプレート,,
"Relaxed Cure LV.3",,,"緩療 LV.3",,
"Relaxed Cure LV.4",,,"緩療 LV.4",,
"Coat of the Covenant",,,誓約のコート,,
"Third Step to Restoring the Great Dining Hall: Water Well",,,大食堂復旧への第三歩　―井戸―,,
"Lakeside Grotto: Limestone Cave",,,"湖畔の洞窟 鍾乳洞",,
"""Someone's note 2: For the next person in charge.""",,,“誰かの覚え書き2：次の担当者へ”,,
"For NPC_wp308000",,,NPC用_wp308000,,
"Relaxed Cure LV.5",,,"緩療 LV.5",,
"Coat yourself in gold and deflect enemy attacks. Enemies
that attack will build up the ""Gilded"" status abnormality.
Can be activated even while in the air.
<COL ffdc78>LV UP: Increases rate of Gilding build-up.
LV.6: Can activate the skill at anytime except when grabbed.</COL>",,,"自身の体を金で覆い、敵の攻撃を遮断する
さらに攻撃した敵に対し黄金化の異常値を与える
空中でも発動可能
<COL ffdc78>LV UP毎に黄金化の異常値上昇
LV.６でダウン、拘束中を除きいつでも発動可能</COL>",,
"This ""Tower"" of his, where the heck is it?",,,“塔”とは一体、どこにあるのだろう？,,
"""Someone's note 3: For the next person in charge.""",,,“誰かの覚え書き3：次の担当者へ”,,
"For NPC_wp308002",,,NPC用_wp308002,,
"Cobalt Alloy Ingot",,,コバルト合金のインゴット,,
"This Week",,,今週,,
"Lakeside Grotto: Passage",,,"湖畔の洞窟 通路",,
"For NPC_wp308007",,,NPC用_wp308007,,
"Relaxed Cure LV.6",,,"緩療 LV.6",,
"""Someone's note 4: For the next person in charge.""",,,“誰かの覚え書き4：次の担当者へ”,,
Relaxedness,,,快動,,
"For NPC_wp310000",,,NPC用_wp310000,,
"Cobalt Heliotrope",,,コバルトヘリオトロープ,,
"This accomplishment is wonderful!",,,この達成感、素晴らしい！,,
"""Someone's note 5: For the next person in charge.""",,,“誰かの覚え書き5：次の担当者へ”,,
"For NPC_wp310010",,,NPC用_wp310010,,
"""Spirit Slayer"" added.",,,対敵特効【霊体】を付加する,,
"Lakeside Ruins",,,湖岸の廃墟,,
"Cobalt Newt",,,コバルトニュート,,
"Relaxedness LV.1",,,"快動 LV.1",,
"This base is - spacious, mysterious and
exciting, Master!
It's a building with lots of beams and bumps, perfect for moving around.
How about you join us in our search for a hidden room?",,,"この拠点は――広い上に謎めいていて
ワクワクしますね、マスター！
身体を動かすのに最適な梁や凸凹の多い建物です
どうです、共に隠し部屋探しでも？",,
"Relaxedness LV.2",,,"快動 LV.2",,
"This can't be!",,,そんな、まさか――！,,
"""Steep Mountain Path"" (Hard)",,,険しい山道（難しい）,,
Cobblestone,,,石畳,,
"For NPC_wp310025",,,NPC用_wp310025,,
Cockatrice,,,コカトリス,,
"This concludes this escort.",,,これにて此度の護衛を終了,,
"For NPC_wp311000",,,NPC用_wp311000,,
"Lamellar Jacket",,,ラメラージャケット,,
"Relaxedness LV.3",,,"快動 LV.3",,
"For NPC_wp311002",,,NPC用_wp311002,,
"This content has not been participated in.",,,このコンテンツには未参加です。,,
"Lamp Type",,,ランプの種類,,
"Cockatrice Gastrolith",,,コカトリスの魔石,,
"""Sweet"" Food for Piremoth",,," ピレモスに食糧を―《甘口》",,
"Relaxedness LV.4",,,"快動 LV.4",,
"Lance Sword",,,ランスソード,,
"""Sweet"" Food for the Bandit Group Hideout",,," 盗賊団のアジトに食糧を―《甘口》",,
"For NPC_wp311003",,,NPC用_wp311003,,
"This encounter--!
I feel a bond between me and the Arisen.",,,"この出会い――！
私と覚者様との絆を感じます",,
