NORMAL_SKILL_INFO_07_110,"空中から多段ヒット性能を持つ振り下ろし攻撃を放つ
高所から行うことで威力が上昇する","Slam the blade downward while in the air,
delivering multiple hits.
Damage rises when performed from high altitudes."
NORMAL_SKILL_INFO_07_111,転倒を回避し体勢を立て直す,Recover from being knocked away while in the air.
NORMAL_SKILL_INFO_07_112,"しがみついた状態から力を溜め、
破壊力のある一撃を放つ","While clinging to an enemy, the user readies the
blade briefly, and delivers a single devastating blow."
NORMAL_SKILL_INFO_08_113,"闘波の矢を生成し、魔道弓を前方に向けて構える
空中でも発動可能","Hold the Magick Bow forward, and create Seeker Arrows.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_114,"魔道弓を敵に向け、対象を捉える
捉える敵が多いほど、闘波の矢の威力上昇速度が
速くなる。空中でも発動可能","Face the Magick Bow towards the enemy, and
capture them within its sights. The more enemies that are targeted,
the higher the rate at which the Seeker Arrow charges.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_115,"捉えた敵に向けて闘波の矢を放ち、攻撃を与える
空中でも発動可能","Fire the Seeker Arrow towards the
targeted enemy.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_116,"闘波の矢の威力を強化する
空中でも発動可能","Increases damage of the Seeker Arrow.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_117,"助真の矢を生成し、魔道弓を前方に向けて構える
空中でも発動可能","Hold the Magick Bow forward, and create True Aid Arrows.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_118,"魔道弓を味方に向け、対象を捉える
捉える味方が多いほど、助真の矢の回復力
上昇速度が速くなる。空中でも発動可能","Face the Magick Bow towards an ally, and
capture them within its sights. The more allies that are targeted,
the higher the rate at which the True Aid Arrow charges.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_119,"捉えた味方に向けて助真の矢を放ち、味方の傷を癒す
空中でも発動可能","Fire the True Aid Arrow at a targeted ally
and heal their wounds.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_120,"助真の矢の威力を強化する
空中でも発動可能","Enhances the recovery power of the True Aid Arrow.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_121,"前方に蹴りを放つ
空中でも発動可能","Kicks forward.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_122,"自身の傷を癒す
空中でも発動可能","Heal your wounds.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_123,"照準をより多数の目標に合わせ、狙いを定める
空中でも発動可能","Increase the maximum number of targets
that can be locked on while aiming.
Can be activated even while in the air."
NORMAL_SKILL_INFO_08_135,"しがみついた状態から、魔矢を放ち
スタミナを癒す魔法陣を発現させる","While climbing an enemy, release a magickal
arrow that restores the stamina of party members near it."
NORMAL_SKILL_INFO_08_178,"複数の魔矢を放つ攻撃スキルの捕捉対象を
単体を捉えるシングルロックオンと
複数を捉えるマルチロックオンに切り替える
空中でも発動可能",
NORMAL_SKILL_INFO_09_136,錬成物質を生みだし前方に放つ,"Create an alchemical substance
and fire it forward."
NORMAL_SKILL_INFO_09_137,錬成物質を生みだし広範囲に放つ,"Create alchemical substances
and release them over a wide area."
NORMAL_SKILL_INFO_09_143,空中で錬成物質を生みだし下方に放つ,"Create an alchemical substance while in the air,
and fire it downward."
NORMAL_SKILL_INFO_09_144,空中で錬成物質を生みだし前方に放つ,"Create an alchemical substance while in the air,
and launch it spinning forward."
NORMAL_SKILL_INFO_09_138,"錬成物質を一点集中して成長させる
タイミングよくボタンを押すと攻撃回数が増加
空中でも発動可能
<COL ffdc78>LV UPで攻撃回数が増加し、錬成物質を
より成長させる＜クラスター・マギス＞に進化</COL>","Create an alchemical substance that expands outward.
Pressing the set button with correct timing increases number of attacks.
Can be activated even while in the air.
<COL ffdc78>LV UP: Becomes Cluster Magis, increasing maximum number
of attacks and expansion radius.</COL>"
NORMAL_SKILL_INFO_09_139,"錬成物質を一点集中して、さらに成長させる
タイミングよくボタンを押すと攻撃回数が増加
空中でも発動可能","Concentrate an alchemical substance on one point
and expand it outwards. Pressing the set button with correct timing
increases the number of attacks.
Can be activated even while in the air."
NORMAL_SKILL_INFO_09_142,"エリクシルが秘めた性質を解放する
空中でも発動可能","Unleash the Elixir's hidden potential.
Can be activated even while in the air."
NORMAL_SKILL_INFO_09_141,"装備しているエリクシルを切替える
エリクシルの種類により、エリクシル
発動時に発生する状態異常が変化する
空中でも発動可能","Switch the currently equipped elixir.
Depending on the Elixir's type, the status abnormality
inflicted upon Elixir activation changes.
Can be activated even while in the air."
NORMAL_SKILL_INFO_09_140,"錬成物質を生みつつ、素早く後方に身を逸らす
錬成物質に敵の攻撃が接触すると、自動で
攻撃が繰り出される","Create a mass of alchemical substances that
quickly propels you backward. When an enemy's attack comes into
contact with the mass, it will explode outward and damage them."
NORMAL_SKILL_INFO_09_145,"空中に錬成式で足場を生成し
それを蹴ることでより遠くまで跳ぶ","Generate a temporary foothold while in the air
and propel yourself by kicking off of it."
NORMAL_SKILL_INFO_09_147,"しがみついた状態で
錬成物質を一点集中して、さらに成長させる
タイミングよくボタンを押すと攻撃回数が増加
<COL ffdc78>LV UPで攻撃回数が増加し、錬成物質を
より成長させる＜コンクラスター・マギス＞に進化</COL>","While climbing an enemy,
concentrate an alchemical substance on one point and expand it 
outwards. Pressing the set button with correct timing increases
the number of attacks.
<COL ffdc78>LV UP: Becomes Concluster Magis, increasing maximum number
of attacks and expansion radius.</COL>"
NORMAL_SKILL_INFO_09_148,"しがみついた状態で
錬成物質を一点集中して、さらに成長させる
タイミングよくボタンを押すと攻撃回数が増加","While climbing an enemy,
concentrate an alchemical substance on one point and expand it 
outwards. Pressing the set button with correct timing increases
the number of attacks."
NORMAL_SKILL_INFO_09_164,"敵の攻撃に対してタイミングよく自身のスキルを
放つことで、敵の攻撃を防いで錬成物質を
付着させる。また、自身に金を纏って一定時間
敵の攻撃を遮断する
一部の回避／防御スキルでは発動不可","When timely unleashing your skills while an enemy attacks,
coat yourself in a protective layer of gold to prevent further attacks
for a period of time, and attach alchemical stakes to them in the process.
Cannot be used in conjuction with some avoidance/defense skills."
NORMAL_SKILL_INFO_10_149,槍による連撃を繰り出す,Stab continuously with the lance.
NORMAL_SKILL_INFO_10_150,槍を振り払う広範囲攻撃を繰り出す,Swing the lance continuously over a wide range.
NORMAL_SKILL_INFO_10_158,"空中から槍を地面に突き立てる
高所から行うことで威力が上昇する","Stab the lance into the ground from above.
The power of the attack increases when performed from higher altitudes."
NORMAL_SKILL_INFO_10_159,空中で槍を振り払う,Swing the lance in mid-air.
NORMAL_SKILL_INFO_10_151,"体力回復効果のある霊球を展開する
敵に接近して使用すると敵に吸着させることが可能
空中発動可能
<COL ffdc78>LV UPで展開時間が延長される
＜エイド・モール＞に進化</COL>","Deploy a spiritual sphere that recovers health.
The sphere will stick to enemies when cast nearby them.
Can be used mid-air.
<COL ffdc78>LV UP: Becomes Aid More and sphere duration is
extended.</COL>"
NORMAL_SKILL_INFO_10_152,"体力回復効果のある霊球を
より長時間展開する
敵に接近して使用すると敵に吸着させることが可能
空中でも発動可能","Deploy a spiritual sphere that recovers health.
The sphere will stick to enemies when cast nearby them.
The duration of the sphere is extended.
Can be used mid-air."
NORMAL_SKILL_INFO_10_161,敵に吹き飛ばされた際に転倒を回避する,Avoid falls when knocked away by enemies.
NORMAL_SKILL_INFO_10_153,"身を屈めて敵の攻撃を避ける
直前で回避することで霊力を溜めることも可能
アタックブースト／ヒールブーストで
移動距離上昇","Duck and avoid enemy attacks.
It is possible to increase the Spirit Gauge by
avoiding attacks with decent timing.
Evasive distance is increased while in
Attack Boost/Heal Boost."
NORMAL_SKILL_INFO_10_155,一時的に自身の攻撃スキルの性能を強化する,Temporarily enhance attack skills.
NORMAL_SKILL_INFO_10_156,"一時的に自身の支援スキルに
攻撃力強化の効果を上乗せする
また、発動すると味方全員の体力を回復すると
同時に全状態異常耐性を大幅に強化する","Temporarily enhance support skills.
Also, when activated, it will restore the health of allies
and significantly strengthen their resistance toward all
status abnormalities."
NORMAL_SKILL_INFO_10_162,霊力を一定量消費し、ブーストを解除する,"Consume a portion of the Spirit Gauge,
and cancel the active boost."
NORMAL_SKILL_INFO_10_160,"しがみついた状態から、槍を突き刺す
ボタン連打で攻撃回数が増加する","While climbing an enemy, pierce them with
the lance. Pressing the button repeatedly increases the 
number of attacks."
NORMAL_SKILL_INFO_10_163,霊力を一定量消費し、ブーストを解除する,"Consume a portion of the Spirit Gauge,
and cancel the active boost."
NORMAL_SKILL_INFO_11_165,剣による連撃を繰り出す,Perform a continuous attack with your magick sword.
NORMAL_SKILL_INFO_11_166,剣による強力な連撃を繰り出す,Perform a strong continuous attack with your magick sword.
NORMAL_SKILL_INFO_11_175,"空中で敵に剣を叩きつけ飛翔し
追加入力で空中から地面へ剣を叩きつける
高所から行うことで威力が上昇する","Attack an enemy in the air and further push yourself up.
Perform a falling hit with additional input.
Damage increases from high place."
NORMAL_SKILL_INFO_11_174,空中で剣による連続攻撃を繰り出す,Perform continuous attacks on air with your magick sword.
NORMAL_SKILL_INFO_11_167,"敵に向かう魔弾を放つ
ボタン連打で弾数が増加する","Shoot a magick bullet toward an enemy.
Number of bullets increase with additional input."
NORMAL_SKILL_INFO_11_171,敵の攻撃を避けつつ、剣による攻撃を繰り出す,"Attack nearby enemies with your sword
while dodging at the same time."
NORMAL_SKILL_INFO_11_169,"狙いをつけ、敵の力の在り処を探る
空中でも発動可能","Target and explore an enemy's magickal strength.
Can be activated in the air."
NORMAL_SKILL_INFO_11_168,"狙いを付けた敵に魔印を付与する
付与された敵を剣で攻撃することで
魔印が成長し、持続的に多くの魔力を得る
攻撃を行わないと徐々に減退する","Put a Magick Glyph on an enemy.
Attacking the Glyph with your sword quickly increases
your magick gauge.
Glyph will diminish if not attacked."
NORMAL_SKILL_INFO_11_172,"敵に密着した状態で使用することで
後方に高速で移動する","Instantly move yourself away from an enemy by
activating this skill at close range."
NORMAL_SKILL_INFO_11_170,"バック・リープを接触させた敵に高速で接近する
空中でも発動可能","Quickly approach the enemy touched by Back Leap.
Can be used in the air."
NORMAL_SKILL_INFO_11_173,"大量の魔力を剣に込め
射属性を持つ魔力の矢として敵に放つ
着弾するまでの飛距離が長い程、威力が上昇する","Channel a large amount of magick to your sword
and launch your sword to an enemy. The longer distance
it travels, the more damage increases."
NORMAL_SKILL_INFO_11_177,敵に吹き飛ばされた際に転倒を回避する,Recover quickly from being knocked down by an enemy.
NORMAL_SKILL_INFO_11_176,"しがみついた状態から
剣による連続攻撃を繰り出す
ボタン連打で攻撃回数が増加する","When climbing, attack an enemy continously
with your sword. The number of attacks increases with
additional input."
NORMAL_SKILL_NAME_01_4,連撃,Onslaught
NORMAL_SKILL_NAME_01_5,強連撃,Dire Onslaught
NORMAL_SKILL_NAME_01_13,斬り崩し,Guard Break
NORMAL_SKILL_NAME_01_14,強斬り崩し,Strong Guard Break
NORMAL_SKILL_NAME_01_18,跳び斬り,Jump Slash
NORMAL_SKILL_NAME_01_19,兜割り,Helm Splitter
NORMAL_SKILL_NAME_01_15,ガード,Guard
NORMAL_SKILL_NAME_01_16,盾弾き,Deflect
NORMAL_SKILL_NAME_01_17,連係投げ,Linking Throw
NORMAL_SKILL_NAME_01_22,受け身,Controlled Fall
NORMAL_SKILL_NAME_01_23,えぐり突き,Gouge
NORMAL_SKILL_NAME_02_24,連斬,Carve
NORMAL_SKILL_NAME_02_25,回し蹴り,Roundhouse Kick
NORMAL_SKILL_NAME_02_26,百裂斬り,Scarlet Kisses
NORMAL_SKILL_NAME_02_27,阿修羅斬り,Hundred Kisses
NORMAL_SKILL_NAME_02_32,三連斬,Triple Cut
NORMAL_SKILL_NAME_02_33,断頭台,Helm Splitter
NORMAL_SKILL_NAME_02_28,ロープ構え,Rope Stance
NORMAL_SKILL_NAME_02_29,ロープ投げ,Throw Rope
NORMAL_SKILL_NAME_02_30,転身,Forward Roll
NORMAL_SKILL_NAME_02_31,連係投げ,Linking Throw
NORMAL_SKILL_NAME_02_36,空壁跳び,Sky Wall Jump
NORMAL_SKILL_NAME_02_37,二段跳び,Double Jump
NORMAL_SKILL_NAME_02_38,乱斬り,Scarlet Slashes
NORMAL_SKILL_NAME_02_39,大乱斬り,Hundred Slashes
NORMAL_SKILL_NAME_03_40,弓構え,Aim
NORMAL_SKILL_NAME_03_41,弓射ち,Loose
NORMAL_SKILL_NAME_03_42,速弓の型,Quick Bow Style
NORMAL_SKILL_NAME_03_46,しじま射ち,Keen Sight
NORMAL_SKILL_NAME_03_43,<PADM>爆矢構え<KEYM>構え変更,<PADM>Explosive Stance<KEYM>Change Stance
NORMAL_SKILL_NAME_03_44,仕込み爆矢射ち,Prepare Explosive Arrow
NORMAL_SKILL_NAME_03_45,<PADM>速仕込みの型<KEYM>速構え変更,<PADM>Quick Charge Style<KEYM>Fast Change Stance
NORMAL_SKILL_NAME_03_47,前蹴り,Front Kick
NORMAL_SKILL_NAME_03_48,矢の装填,Reload Arrows
NORMAL_SKILL_NAME_03_49,達人装填,Adept Reload
NORMAL_SKILL_NAME_03_50,矢の切替え,Switch Arrows
NORMAL_SKILL_NAME_03_60,矢じり斬り,Arrowhead Strike
NORMAL_SKILL_NAME_04_61,ブラストビット,Blast Bit
NORMAL_SKILL_NAME_04_62,ヒールオーラ,Heal Aura
NORMAL_SKILL_NAME_04_63,ヒールオーラエクス,Great Heal Aura
NORMAL_SKILL_NAME_04_64,セイントオーラ,Holy Aura
NORMAL_SKILL_NAME_04_65,セイントオーラエクス,Great Holy Aura
NORMAL_SKILL_NAME_04_66,フィールドシフト,Field Shift
NORMAL_SKILL_NAME_04_68,フローティング,Floating
NORMAL_SKILL_NAME_04_69,ライドヒールオーラ,Ride Heal Aura
NORMAL_SKILL_NAME_04_146,ライドセイントオーラ,Ride Holy Aura
NORMAL_SKILL_NAME_05_70,シールドブロウ,Shield Blow
NORMAL_SKILL_NAME_05_83,シールドストライク,Shield Strike
NORMAL_SKILL_NAME_05_72,エレメントチェンジ,Element Change
NORMAL_SKILL_NAME_05_73,ペンタエレメントチェンジ,Penta Element Change
NORMAL_SKILL_NAME_05_74,フォースガード,Force Guard
NORMAL_SKILL_NAME_05_75,シールドロック,Shield Lock
NORMAL_SKILL_NAME_05_76,フォースゲイン,Force Gain
NORMAL_SKILL_NAME_05_77,フォースバースト,Force Burst
NORMAL_SKILL_NAME_05_78,アトラクト,Attract
NORMAL_SKILL_NAME_05_79,モアアトラクト,More Attract
NORMAL_SKILL_NAME_05_80,フォースエンチャント,Force Enchantment
NORMAL_SKILL_NAME_05_81,シールドシーケンス,Shield Sequence
NORMAL_SKILL_NAME_05_91,ウィークライト,Weak Light
NORMAL_SKILL_NAME_06_92,マジックボール,Magick Bolts
NORMAL_SKILL_NAME_06_93,マジックトラップ,Magick Trap
NORMAL_SKILL_NAME_06_94,マジックブースト,Magick Boost
NORMAL_SKILL_NAME_06_95,スペリング,Chanting
NORMAL_SKILL_NAME_06_96,バックムーブ,Back Move
NORMAL_SKILL_NAME_06_101,フローティング,Floating
NORMAL_SKILL_NAME_06_102,マジッククラッカー,Magick Cracker
NORMAL_SKILL_NAME_07_103,破斬,Hack
NORMAL_SKILL_NAME_07_104,広角斬,Devastate
NORMAL_SKILL_NAME_07_105,魔人斬り,Savage Lash
NORMAL_SKILL_NAME_07_106,真・魔人斬り,Indomitable Lash
NORMAL_SKILL_NAME_07_107,耐魔の身構え,Brace
NORMAL_SKILL_NAME_07_108,連係投げ,Linking Throw
NORMAL_SKILL_NAME_07_109,空破斬,Aerial Hack
NORMAL_SKILL_NAME_07_110,叩き割り,Sever
NORMAL_SKILL_NAME_07_111,受け身,Controlled Fall
NORMAL_SKILL_NAME_07_112,魔倒斬り,Inverse Slash
NORMAL_SKILL_NAME_08_113,<PADM>闘波の構え<KEYM>構えの変更（闘波の構え）,<PADM>Seeker Stance<KEYM>Change Stance (Seeker Stance)
NORMAL_SKILL_NAME_08_114,闘波の魔眼,Magick Eye: Seeker
NORMAL_SKILL_NAME_08_115,闘波の矢,Seeker Arrow
NORMAL_SKILL_NAME_08_116,闘波の集中,Concentration: Seeker
NORMAL_SKILL_NAME_08_117,<PADM>助真の構え<KEYM>構えの変更（助真の構え）,<PADM>True Aid Stance<KEYM>Change Stance (True Aid Stance)
NORMAL_SKILL_NAME_08_118,助真の魔眼,Magick Eye: True Aid
NORMAL_SKILL_NAME_08_119,助真の矢,True Aid Arrow
NORMAL_SKILL_NAME_08_120,助真の集中,Concentration: True Aid
NORMAL_SKILL_NAME_08_121,前蹴り,Front Kick
NORMAL_SKILL_NAME_08_122,癒しの装,Healing Shroud
NORMAL_SKILL_NAME_08_123,狙いの神眼,God's Eye: Aim
NORMAL_SKILL_NAME_08_135,奮わせ直魔矢,Invigorating Magick Arrow
NORMAL_SKILL_NAME_08_178,魔眼転移,
NORMAL_SKILL_NAME_09_136,アルケム,Alchemy
NORMAL_SKILL_NAME_09_137,アルケム・ラディウス,Alchemical Radius
NORMAL_SKILL_NAME_09_143,アルケム・デミト,Alchemical Demitto
NORMAL_SKILL_NAME_09_144,アルケム・アンテ,Alchemical Ante
NORMAL_SKILL_NAME_09_138,クラスター,Cluster
NORMAL_SKILL_NAME_09_139,クラスター・マギス,Cluster Magis
NORMAL_SKILL_NAME_09_142,エリクシル,Elixir
NORMAL_SKILL_NAME_09_141,エリクシル・チェンジ,Change Elixir
NORMAL_SKILL_NAME_09_140,アルケム・フーガ,Alchemical Fuga
NORMAL_SKILL_NAME_09_145,レクス・リープ,Rex Leap
NORMAL_SKILL_NAME_09_147,コンクラスター,Concluster
NORMAL_SKILL_NAME_09_148,コンクラスター・マギス,Concluster Magis
NORMAL_SKILL_NAME_09_164,カウンテラ・アウルム,Counterra Aurum
NORMAL_SKILL_NAME_10_149,スラスト,Thrust
NORMAL_SKILL_NAME_10_150,スラスト・モール,Thrust More
NORMAL_SKILL_NAME_10_158,フォル・スラスト,Fall Thrust
NORMAL_SKILL_NAME_10_159,エア・スラスト,Air Thrust
NORMAL_SKILL_NAME_10_151,エイド,Aid
NORMAL_SKILL_NAME_10_152,エイド・モール,Aid Mór
NORMAL_SKILL_NAME_10_161,フォル・ムーヴ,Fall Move
NORMAL_SKILL_NAME_10_153,スカー・ムーヴ,Scáth Move
NORMAL_SKILL_NAME_10_155,アタックブースト,Attack Boost
NORMAL_SKILL_NAME_10_156,ヒールブースト,Heal Boost
NORMAL_SKILL_NAME_10_162,ブースト解除,Boost Cancel
NORMAL_SKILL_NAME_10_160,イラー・スラスト,Iolar Thrust
NORMAL_SKILL_NAME_10_163,ブースト解除,Boost Cancel
NORMAL_SKILL_NAME_11_165,四連斬,Quadruple Slash
NORMAL_SKILL_NAME_11_166,弧連斬,Arc Slash
NORMAL_SKILL_NAME_11_175,昇墜斬,Falling Slash
NORMAL_SKILL_NAME_11_174,空叉斬,Sky Slash
NORMAL_SKILL_NAME_11_167,ルイン・ショット,Ruin Shot
NORMAL_SKILL_NAME_11_171,避翻斬,Dodge Counter Slash
NORMAL_SKILL_NAME_11_169,ウィル・スタンス,Will Stance
NORMAL_SKILL_NAME_11_168,ウィル・マーカー,Will Marker
NORMAL_SKILL_NAME_11_172,バック・リープ,Back Leap
NORMAL_SKILL_NAME_11_170,リターン・シフト,Return Shift
NORMAL_SKILL_NAME_11_173,ルイン・ブレード,Ruin Blade
NORMAL_SKILL_NAME_11_177,受け身,Controlled Fall
NORMAL_SKILL_NAME_11_176,握把斬,Gripping Slash
NORMAL_SKILL_INFO_01_4,剣による連続攻撃を繰り出す,Perform a continuous attack with your sword.
NORMAL_SKILL_INFO_01_5,剣による連続一点集中攻撃を繰り出す,"Pausing after your first swing allows you to follow
up with a powerful concentrated attack."
NORMAL_SKILL_INFO_01_13,"剣による一撃で敵のガード状態を崩し気絶を誘う
ボタンの長押しで威力が増し
敵を転倒させることができる
<COL ffdc78>LV UPで攻撃威力が上昇し
長押しなしで敵を転倒させる＜強斬り崩し＞に進化</COL>","Perform a strong overhead swing, holding down longer
for increased power that's capable of breaking an enemies 
guard. It is also possible to topple the enemy.
<COL ffdc78>LV UP Increase attack power
Evolve into ""Strong Guard Break"" allowing you to guard
break without max power.</COL>"
NORMAL_SKILL_INFO_01_14,"剣による渾身の一撃で敵のガード状態を崩し
転倒させる。さらに気絶させやすくなる
ボタンの長押しで威力が増す","Perform a stronger overhead swing capable of breaking
an enemies guard, holding down longer for increased power. 
A longer hold has a better chance to topple."
NORMAL_SKILL_INFO_01_18,空中で剣を振り払う,Swing your sword while in the air.
NORMAL_SKILL_INFO_01_19,"空中で剣を縦に振り下ろす
高所から行うことで威力が上昇する","Slash downwards while airborne, falling down onto the
enemy. Increased power at an increased height."
NORMAL_SKILL_INFO_01_15,"盾を構え敵の攻撃を防ぐ
空中でも発動可能","Hold your shield strong to block enemy attacks.
Can also be activated while in the air."
NORMAL_SKILL_INFO_01_16,"盾を素早く構え敵の攻撃をはじき返す
空中でも発動可能","Timing your block just as the enemy attacks you,
will deflect their attack.
Can also be activated while in the air."
NORMAL_SKILL_INFO_01_17,"腰を落とした姿勢で構え、
近接してきた仲間を上方に放りあげる","Hold yourself in a crouched position, and toss
nearby allies into the air."
NORMAL_SKILL_INFO_01_22,敵に吹き飛ばされた際に転倒を回避する,Recover quickly from being knocked down by an enemy.
NORMAL_SKILL_INFO_01_23,"しがみついた状態から、剣を突き刺し連続してえぐる
ボタンの連打で攻撃回数が増加する","While clinging onto an enemy, thrust your sword into
them. Continuous presses increase attack count."
NORMAL_SKILL_INFO_02_24,ダガーによる連撃を繰り出す,Perform consecutive dagger attacks.
NORMAL_SKILL_INFO_02_25,攻撃範囲の広い回し蹴りを連続して繰り出す,Perform a wide range of consecutive kicks.
NORMAL_SKILL_INFO_02_26,"ダガーによる素早い連続斬りを繰り出す
ボタンの連打で攻撃回数が増加する
<COL ffdc78>LV UPでより攻撃回数が増加する
＜阿修羅斬り＞に進化</COL>","Perform a series of quick dagger slashes.
The number of attacks rises with consecutive button presses.
<COL ffdc78>LV UP: Further increases the number of attacks.
Evolves into (Hundred Kisses).</COL>"
NORMAL_SKILL_INFO_02_27,"ダガーによるさらに高速の連続斬りを繰り出す
ボタンの連打で攻撃回数が増加する","Perform a faster series of quick dagger slashes.
The number of attacks rises with consecutive button presses."
NORMAL_SKILL_INFO_02_32,空中でダガーによる連撃を繰り出す,Perform consecutive dagger slashes while in the air.
NORMAL_SKILL_INFO_02_33,"空中でダガーによる回転攻撃を繰り出す
高所から行うことで威力が上昇し気絶させやすくなる","Perform a continuous somersault in the air with daggers
extended. When performed from a high place, the damage increases and it is
easier to stagger enemies."
NORMAL_SKILL_INFO_02_28,"シーカーロープを構えて狙いをつける
空中でも発動可能","Hold the Seeker Rope and take aim.
Can be activated even while in the air."
NORMAL_SKILL_INFO_02_29,"構えたシーカーロープを狙った対象に放つ
空中でも発動可能","Throw the seeker rope towards the target aimed at.
Can be activated even while in the air."
NORMAL_SKILL_INFO_02_30,身を跳び退かせ、敵の攻撃を避ける,Duck and roll to avoid an enemy attack.
NORMAL_SKILL_INFO_02_31,"腰を落とした姿勢で構え、
近接してきた仲間を上方に放りあげる","Hold yourself in a crouched position, and toss
nearby allies into the air."
NORMAL_SKILL_INFO_02_36,空中で壁蹴りを行い、より遠方にジャンプする,"Kick off the wall while airbone, propelling yourself
to further distances."
NORMAL_SKILL_INFO_02_37,ジャンプ中、再度ジャンプを行う,"While jumping, perform a double jump."
NORMAL_SKILL_INFO_02_38,"しがみついた状態から、素早い連続斬りを繰り出す
ボタンの連打で攻撃回数が増加する
<COL ffdc78>LV UPでより攻撃回数が増加する
＜大乱斬り＞に進化</COL>","While climbing an enemy, perform a series of quick dagger slashes.
The number of attacks rises with consecutive button presses.
<COL ffdc78>LV UP: Further increases the number of attacks.
Evolves into (Hundred Kisses).</COL>"
NORMAL_SKILL_INFO_02_39,"しがみついた状態から、
より素早い連続斬りを繰り出す
ボタンの連打で攻撃回数が増加する","While climbing an enemy, perform a series of quick dagger slashes.
The number of attacks rises with consecutive button presses."
NORMAL_SKILL_INFO_03_40,"前方に向け弓を構える
空中でも発動可能","Hold the bow forward.
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_41,"弓構えの状態から矢を放つ
空中でも発動可能","Loose arrows while in a bow stance.
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_42,"矢を放った後、次の矢をつがえる速度が速くなる
空中でも発動可能","After landing a hit with an arrow, the speed
of the next arrow is increased.
Can be activated even while in the air."
NORMAL_SKILL_INFO_03_46,狙撃照準に切り替わり、正確に敵を狙い射てる,"Hone your sight, and precisely aim at the enemy."
