最早、話すことなどない,There is nothing to say anymore.,
"ふむ、君のアルケミストとしての研鑽には
目を見張るものがある
十分応用を学べるレベルになっているようだね","Hmm, your dedication to studying as an Alchemist is truly remarkable. It seems you have reached a level where you can learn and apply skills extensively.",
"もしも、君が錬金の道の奥深くへと
歩みを進めようというならば
わたしが直接手ほどきしたいところだが――
そうするべきかどうか、判断が難しい","If you are willing to take a step deeper into the path of alchemy, I would love to teach you directly--
but it's hard to decide if I should.",
"神殿で君の訓練や戦いぶりを見てきた者
が賛成するなら、わたしは構わないが","If those who have witnessed your training and battles at the temple agree, I have no objections.",
なるほど、覚者か――,"I see, an Arisen, huh?",
予断を許さない状況のようだね,It seems like a situation that doesn't allow for any speculation.,
"君のことは気になるが――
余計な詮索は止めにしておこう――互いにね","I'm curious about you--
but let's not pry too much into each other's affairs--we're both here for each other.",
"生きていればこんな体験ができる
ああ、やはり人生は素晴らしいね","If you are alive, you can have such experiences,
Ah, indeed life is wonderful.",
過ぎたるは及ばざるがごとし、か,Excessive is as bad as useless.,
"なぜ、こうなってしまったのか――
いつか明らかにしてみせよう
ああ、もちろん、楽しみで仕方がないよ","How did this happen--
I'll reveal it to you one day.
Oh, and of course, I'm looking forward to it!",
"あの日――黄金竜と白竜の戦い以来
我々が過ごしてきたこの時間を――
わたしが解き明かしてみせよう","Since that day - the battle between the Golden Dragon and hours.
This time we have spent, I will unravel it for you.",
"過ちは、誰にでもある
それを正す勇気こそ、尊いのだ","Everyone makes mistakes.
It is the courage to correct them that is precious.",
"すべてを知りつくしたつもりでも
まだこうして予測不能な出来事が起こる
うれしくもあり――恐ろしくもあり――だね","Even if you think you know everything, unexpected events can still happen. It's both exciting and terrifying, isn't it?",
ああ、クラウスの友達か、どうしたんだい？,"Ah, Klaus's friend, what's up?",
"錬金術師が始めたことは
錬金術師が終わらせる","What the alchemist started, the alchemist will finish.",
それが我々の覚悟だ,That is our Arisen's resolve.,
ディアマンテスは錬金術師の面汚し――,Diamantes is a disgrace to the alchemists.,
"奴を倒せる日が来ようとは
ああ、堪え忍んだ甲斐があったというものだ","I never thought I'd see the day he'd be defeated. Oh, it's been worth it.",
"神殿の連中によろしく伝えてくれ
心の準備ができたら、わたしの方から
挨拶に行きたいと思う","Please convey my regards to the temple personnel.
Once I am mentally prepared, I would like to go and greet them.",
さあ、今は早く帰った方がいい,"Now, it's better to go home quickly.",
"ああ、その話だな
いいだろう","Ah, that story, right? That's fine.",
"立場上、ひいきするわけにはいかないが
私が最も愛するジョブは当然《ファイター》だ","On principle, I cannot show favoritism, but my most beloved job is, of course, ""Fighter.""",
"己が身を敵前にさらし、盾と剣を巧みに操り
それはまるで舞の如く――",Exposing oneself to the enemy and deftly wielding shield and sword. It's like a dance—.,
"突破口を開いて敵陣深く入り込み
本陣をかく乱する――
ふふ、敵が驚き、呆ける顔を間近で見られるのは
《ファイター》だけだ！","Opening a breakthrough and infiltrating deep into enemy territory
Disrupting their main force -
Hehe, being able to see the surprised and bewildered faces up close
Is something only a Fighter can do!",
"おまえもなかなか腕を上げ、《ファイター》と
しての自覚を身に付けつつあるようだな",You have also been improving quite a bit and seem to be gaining a sense of being a Fighter.,
"――よし、私から修練を課してやろう
そして今以上に技を磨き、一流の剣士となれ！","Alright, I will impose training upon you And thus, polish your skills even more, become a first-class swordsman!",
"よし、いいだろう
《ファイター》を名乗ることを許そう","Okay, fine. I'll allow you to call yourself a Fighter.",
"まぁいい
新たな剣技を教えてやる","Well, never mind. I will teach you a new sword technique.",
"今以上に強くなりたければ、修練を重ね
さらに技を会得するのだな","If you want to become stronger than you are now, train harder and further hone your skills.",
"ほう――、かなり腕を上げたようだな
今のおまえなら、あの技も使い
こなせるだろう","Well, you've really improved your skills, haven't you?
With your current ability, you should be able to use that technique and master it.",
"剣の役割とは相手を斬ること
だが、それは道具としての役目であって
剣の本質ではない","The role of a sword is to slash the opponent.
However, that is only its function as a tool.
It is not the essence of a sword.",
"敵を削ぎ己を活かす
それこそが本質だ
勝敗、生死は全て、その結果
付いてくるものにすぎない","Reduce your enemy and make the most of yourself; 
That's the essence.
Winning and losing, life and death, are all just the result of what comes with it.",
それを心に留め、この技を修得するがいい,"Remember that in your heart, you should strive to master this technique.",
"知っての通り《ファイター》の武器は剣と盾
そして己自身の肉体だ","As you know, the weapon of a Fighter is a sword and a shield
and their own body.",
"敵を討つ、それがファイターに課された最大の
役割だが、ただ攻撃をすればよいというわけではない
自身を守り、先陣に居続けることが仲間を救い
ひいては勝利につながるのだ","The greatest role imposed on a Fighter is to defeat enemies, but it's not simply about attacking. Protecting oneself and staying at the forefront can save comrades and ultimately lead to victory.",
"攻守どちらをおろそかにしても、一流のファイター
とは言えないというわけだ","Regardless of whether you neglect offense or defense, it means that you cannot be called a first-class Fighter.",
"敵と斬り結ぶ中、技術は後からでも付いてくる
ファイターとなるなら、まずは剣と盾が身体の一部と
思えるようになるまで振るい、感覚をなじませろ","With cutting with the enemy, the skill comes later.
If you want to be a fighter, first swing your sword and shield until you feel like they are part of your body
and familiarize yourself with them.",
"それ以上のことは、おまえが一人前のファイターに
なった頃に教えてやる",I will teach you more when you become a full-fledged Fighter.,
"盾は、身を守るだけのものではないぞ
使いようによっては敵の攻撃をいなし
反撃の足掛かりとすることもできる","The shield is not just for self-defense. Depending on how it is used, it can block the enemy's attacks and serve as a foothold for counterattacks.",
"攻撃を受ける直前、敵の体重がかかる
わずかな瞬間を見定めろ","Just before receiving an attack, determine the moment when the enemy's weight is applied.",
"そこを捉えれば反動はそっくり相手に
返り、態勢を崩すことができるだろう","If you seize that moment, the recoil will be completely returned to the opponent
, and you will be able to disrupt their stance.",
"《クリティカルタイミング》――
ちまたではそんな呼び方をしているらしい
覚えておくことだ","《Critical Timing》――
It seems that is what they call it.
Remember that.",
"ほう――
私に稽古をつけてもらいたいのか？",Oh... Do you want me to teach you a lesson?,
"なら少なくとも《ファイター》となり
ジョブレベル１８以上の経験を
積むことだな","Then you should at least become a 《Fighter》
and have at least 18 job levels of experience",
"その後、訓練官レンテンの許可が
出たなら考えてやろう
話はそれからだ","After that, I'll think about it if the Training Officer Renton gives the green light.
Then we'll talk about it.",
"あぁ――
私に稽古をつけてもらいたいのか？
なるほど確かに相応の腕になったようだ","Oh--
you want me to train you?
Well, you certainly look like you're up to snuff.",
"だが何事にも順序がある
まずは神殿の訓練官レンテンに
ジョブの基本を修めた報告くらいはしてこい","But there's an order to everything.
First, you should at least report to Lenten, the temple trainer,
that you've mastered the basics of the job.",
"正式に教えを請いにきたならば
稽古に付き合ってやろう","If you have come to formally seek knowledge,
I shall accompany you in your training.",
"戦術を指南してほしいのか？
ならば実戦に勝る教えはないぞ","You want me to teach you tactics?
Then there's no better way to learn than through combat.",
"戦いは勝つためにするのだ
そのための努力、怠るな",We fight in order to win. Do not neglect the effort required for that.,
"すまないな
世間話というものが苦手なんだ","I'm sorry,
but I'm not good at small talk",
"集中だ！
戦闘態勢は寝所でも解くな！",Concentration! Don't let your guard down even in your sleeping quarters!,
"覚者とは何か――
いろいろな考えがあるだろうが
自分は、戦人（いくさびと）だと信じている","What is an Arisen? There may be various thoughts, but I believe I am a warrior.",
"こう戦闘続きでは疲れもたまるな――
キノザでゆっくりしたいものだ",I'm getting tired after all these battles-- I'd like to relax in Kinoza.,
"魔物より恐ろしい敵の名を教えてやろう
それは――油断、慢心、怠慢だ","I will teach you the name of an enemy more frightening than monsters. It is--carelessness, complacency, and negligence.",
"どれほどの敵を倒せば
この地に平穏が訪れるのか――
こんなことを思うとは――老いたか",How many enemies must I defeat for peace to come to this land? To think such a thing... have I grown old?,
"勝利の秘策？
そんなものがあるなら、そもそも戦争など起こらない","The secret strategy for victory?
If such a thing exists, wars wouldn't happen in the first place.",
"価値を問う前に、黙って守れ
失って後悔したくなければな","Before you question the value, shut up and protect
unless you want to lose it and regret it.",
何？　拠点防衛に関する提案？,What? A proposal regarding base defense?,
"オークどもをぶっ倒し、追いだしても
臭いはしばらく残るんだ
たまらん――くそっ！","Even if you knock the orcs off and drive them out
the smell lingers for a while.
I can't stand it -- damn it!",
魔物掃除に来たのか？,Did you come to exterminate the enemy?,
"だったら遠慮はいらない
砦の外でひと暴れしてきてくれ","Then you don't need to hold back.
Please go wild outside the fortress.",
"アルヴァーと会ったらしいな
だったら、こんなところにいないで
さっさと契約をすませたらどうだ？","I heard you met Alvar.
If that's the case, why don't you finish the contract quickly?
You shouldn't be here instead.",
"どうした？
レオの話し相手は退屈か？","What's the matter?
Bored of talking to Leo?",
"だったら遠慮することはない
思う存分魔物と戦ってくれ","In that case, there's no need to hold back.
Fight monsters to your heart's content.",
おや――また来たのか,"Oh, you've come back again.",
"ひまだと言うなら、遠慮はいらない
このあたりの魔物を片っ端から倒してくれ
まったくどこからわいてくるのやら――だな","If you say you have free time, there's no need to hold back.
Please defeat all the enemies around here one by one.
I wonder where they're coming from.",
"オークどもの行動様式が明らかに変化している
そちらも警戒を怠るなとレオとゲルト団長に
伝えてくれ",The behavior patterns of the Orcs have clearly changed. Please also inform Captain Leo and Gerd to stay alert.,
"アークとやらが出現してから
オークの様子がおかしい――","Since The Ark appeared, the Orcs seem strange.",
そう感じたのは自分の勘違いか――,Did I misunderstand it -,
神殿の様子はどうだ？,How is the temple?,
"ひまそうな覚者がいたら
訓練がてら顔を出すように伝えてくれ","If there are any idle Arisen, please tell them to come and train with me as a practice session.",
"そう焦るな
まずはレオ統率と話してからだ","Don't rush like that. First, talk to Leo for guidance.",
"モゴックの様子を覚えているか？
あいつが持っていたものは――なんだ？",Do you remember what Mogok looked like? What that guy had--what was it?,
"オークはズールとかいう魔物と手を組んだ
このところ感じていた違和感の正体は
それだったようだ",The Orc has formed an alliance with a creature called Zuhl. The true identity of the discomfort I had been feeling lately seems to be that.,
"わたしはバカなオークと毎日戦っているのが
嫌いじゃなかった
正直、生きている実感があった","I didn't mind fighting against stupid orcs every day. Honestly, it made me feel alive.",
"ところがあのズールがオークを変えてしまった
小賢しい――薄汚い魔物め――
もう憎しみしかない","However, that Zuhl changed the orcs into a cunning, filthy enemy... There is only hatred left.",
"憎しみを抱えながら戦うのは――
きっと悲しいぞ？
だが、これからはそういう時代なのかもな","Fighting with hate-- sure is sad, isn't it? But maybe that's the way it's going to be from now on.",
"イリスに会ったらたまには顔を出すように
伝えてくれ","If you meet Iris, please tell her to show her face once in a while.",
もしやおまえはわたしと同類ではないのか？,Are you not like me?,
"小ぎれいな神殿よりも最前線の砦が好き――
着飾った街の住人よりも
薄汚れた鎧カブトの戦士を愛おしく思う――","I prefer the frontline fortress over the tidy temple――
I cherish the dirty armored soldier more than the well-dressed residents of the city――",
ならば遠慮せず、いつでもここに来い,Then you don't need to hold back. Please go wild outside the fortress.,
不覚だ――面目ない――,I am not Arisen - I am ashamed -,
"しかし、案ずるな
わたしはもう未来を見ている
もうオークの好きにはさせないさ","But don't fret.
I've already seen the future.
I won't let the orcs have their way anymore.",
"神殿はどうだ？
ここの体制の立て直しが一段落ついたら
顔を出そうと思っているんだ","How's the temple going?
I'm thinking of showing up when I'm done rebuilding this place.",
うわさでは神殿の雰囲気が変わったのだとか,Rumor has it that the atmosphere of the temple has changed.,
"悲壮感に満ちているらしいな
正直、行く気が失せる","It seems filled with a sense of tragedy.
Honestly, I lose my motivation to go.",
"ここにいても白竜の目覚めは感じられるんだ
だから、わたしもおまえと同じ時に
竜力を受け取っている","I can feel the awakening of the White Dragon even here.
So I also receive Dragon Force at the same time as you.",
"そして、その恩に報いることを考える
ああ――いつも考えている","And think about repaying the favor.
Oh--I think about it all the time!",
"ミシアルが謁見の間から出たらしいな
もっと引っ張り出してやるといい",Mysial seems to have come out of the Audience Chamber. It would be good to get them out even more.,
"――いや、誘っても無理か
――うん、無理だな","――No, it would be impossible to invite her.
――Yeah, it's impossible.",
"最前線だったこの砦も
今では時折小競り合いが起こる程度だ","This fort, which used to be the front line,
now sees only occasional skirmishes.",
"殺気で肌がヒリヒリ傷むような戦場――
そんな場所を探して旅に出ようか
――最近、そんなことを思うんだ","A battlefield where the skin stings with a killing intent -
Should I search for such a place and embark on a journey?
Lately, I've been thinking about such things.",
"イリスの行方を知っているか？
身を隠すように言ってやった方が
いいかもしれないぞ？","Do you know where Iris is?
It might be better to tell her to hide.",
"ふん――そうか
さすがレオだ","Hmph――so that's it.
As expected of Leo.",
"神殿が大変だと聞いているが――
おまえは戻った方が良くはないか？",I heard that the temple is in trouble— Wouldn't it be better for you to come back?,
ここの指揮は部下に任せようと思う,I think I'll leave the command here to my subordinates.,
"引き継ぎが終わり次第わたしも神殿へ行く
向こうで会おうではないか","Once the handover is complete, I will also go to the temple.
Let's meet there, shall we?",
"レオのことは心配するな
すべて良かれと思ってしていることだろう","Don't worry about Leo.
I'm sure he's doing everything for the best.",
行動が愚かだが――昔からだ,"My actions may be foolish, but it has always been this way.",
"くそっ――
このあたりの魔物が騒がしくなってな
なかなか離れることができないのだ","Damn it――
The enemies around here are getting noisy.
I can't seem to get away easily.",
"ここにはわたしがいる
――わかるか？",Here I am --you know what I mean?,
"ここの守りは堅い――そういうことだ
思う存分、戦ってこい","The defense here is strong--that's what I'm talking about.
Go ahead and fight to your heart's content.",
"報せを聞いて駆けつけたぞ
おまえは最前線にいたのだろう？
ご苦労だったな","I rushed over upon hearing the report.
Were you at the front line?
You've worked hard.",
"今度手柄話を聞かせてくれ
盛大にうらやましがってやろう",Tell me your achievements next time. I'll celebrate them with great envy.,
"ん？
俺と仲良くなりたいっての？",Hmm? You want to be friends with me?,
"世間話ねえ
そんな気分じゃないんだよな――",Chatting is not on my mind right now—,
"なああんた、ひまなら俺と――
あ、ひまじゃない？　そりゃ失礼","Hey, if you're free, how about spending some time with me... Oh, you're not? Well, that was rude.",
"自由に生きるってのは
思ったほど楽じゃないんだな、これが",Living free is not as easy as I thought it would be.,
"あんた、この世界がどうなるのが理想？
なーんて、俺も考えたことないけどな","What would you like the world to be like?
I've never really thought about it.",
"苦難の時代だなんて言うやつもいるけど
俺は結構楽しんでるよ","Some say it's a hard time.
I'm having a pretty good time.",
"まいったまいった――
次から次へと魔物がよぉ","I'm in trouble, I'm in trouble--
Enemies keep coming one after another.",
"覚者のことを便利屋みたいに
思ってる奴、いるよな――","There are people who think of Arisen as a handyman, right?",
"俺、聞き流すの得意でさ――
それでもいいなら、どうぞ
――さあ、話せ！","I'm good at just listening, you know-- If that's really okay, then go ahead. Now, speak up!",
"昨日と違う今日、今日と違う明日――
世界はその繰り返しでできてるんだ
――てな","Today is different from yesterday, and tomorrow will be different from today―― The world is made up of such repetitions ―― That's what it means.",
"一期一会――いい言葉だね
俺、商品、客――
すべての出会いが、そうなんだな","Once-in-a-lifetime encounter――That's a nice phrase
Me, the product, the client――
Every encounter is like that",
"あんたもいっぱしの覚者を気取るなら
身につけるモノは厳選しなよ
どうだい、ひとつ見繕ってやろうか？","If you're going to pretend to be an Arisen, be selective about what you wear. How about I pick something for you?",
"こんな時代なのに商品が行き来しているのは
凄いことだ――
俺たち、誇っていいと思うぞ",It's amazing how much product is coming and going in these times-- I think we should all be proud!,
"金なら、余ってるんじゃないのか？
安くするぜ、取引していきなよ",I'm sure you've got plenty of money. I'll give you a discount. Make a deal with me.,
よぉ、調子はどうだ？,"Hey, how are you doing?",
"その臭い――戦う覚者という感じで
悪くはないが、日常も大切にな","Wow, you stink. You certainly smell the part, Arisen, but it couldn't hurt to take a bath every now and then.",
"時間があるなら世のため人のために
駆け回るのも悪くないぞ
金にもなるしな","If you have time, it's not a bad idea to run around for the sake of the world and for others. It can even bring you money as well.",
"いろんな覚者がいる
いろんな生き方がある
とても自然なことだと思うね","There are various Arisen.
There are various ways of living.
I think it's a very natural thing.",
"へえ――なんだか見違えたな
一皮むけたってやつだ","Oh, wow――something about you has really changed. It's like you've shed a whole new skin.",
"珍しいものを見つけたら声をかけてくれよな
場合によっては高値で引き取って
やれるかもしれないぜ？","If you find something rare, please let me know. Depending on the situation, I might be able to take it off your hands for a high price, you know?",
"アークでは、いや、参った――
でも、探せば珍品があったかもな","The Ark, no, I give up――
But if you look, there might be rare items.",
"遠出したのか？
このあたりにはない花とか素材とか――",Did you go far? Maybe you found flowers or materials that aren't found around here.,
"損をすることはないから
目についたら持ち帰るといい","You've got nothing to lose, so take it home if you see it.",
"戦っても空しい――金を儲けても空しい――
だが、どんな時でも続く覚者人生――
楽しまなくちゃ損だぜ？","Even if you fight, it's in vain―― even if you make money, it's in vain――
But the life of the Arisen continues no matter what――
You have to enjoy it, or else it's a loss, you know?",
"心配してくれる友達がいるなんて幸せ者だ
――イリスがそれを忘れていなければ
何も問題は起こらないさ","I am a lucky person to have friends who worry about me.
- As long as Iris doesn't forget that,
nothing will go wrong.",
"謁見の間の様子はどうだ？
俺はしばらく距離を置くことにするよ",How is the situation in the Audience Chamber? I'm going to keep my distance for a while.,
"凄いことが始まるらしいな
ひさしぶりに大階段を登ろうか――","I hear great things are about to begin.
Let's climb the grand staircase for the first time in a while--",
"戦うだけが覚者じゃない――
とはいえ、かつてないほど戦いの機運が
盛りあがっている――","Being an Arisen is not just about fighting--
However, the momentum for battle has never been higher--",
どんな立ち位置をとるべきか――悩むね,I'm not sure what position I should take.,
イリスの顔を見ないけど何か知ってるか？,"I don't see Iris around, do you know anything?",
"イリスのことは聞いた
友達ではあるが――","I heard about Iris. She is a friend, but - -",
"彼女との付き合いが長い
レオに任せるのが一番だな","It'd be best to leave it to Leo, who has a long history with her.",
"これまでになかったことが立て続けに起こると
何に対しても集中できなくなる
我ながら修行が足りないぜ","When unprecedented events continue to occur, I cannot concentrate on anything.
I am lacking in self-discipline!",
長命のエルフが持つ知識は値千金――,The knowledge that long-lived Elves possess is invaluable.,
"なんてな
損得抜きで、仲良くしたかった","What a pity.
I wanted to get along with you, no gain or loss.",
"白竜が元気だったら、俺は覚者じゃなかった
たとえエルフが死のうが――
なんとも思わなかっただろう","If the white dragon had been healthy, I wouldn't have been an Arisen.
Even if the elf had died--
I wouldn't have cared.",
――人生の巡り合わせは不思議だよな,"Life's encounters are strange, aren't they?",
"新たなアーク――
ほとぼりがさめたら個人的に調査もいいな",A new Ark... It would be nice to personally investigate once the heat dies down.,
"見たぞ――
巫女と歩くなんてどんな気分だ？","I saw it--
How does it feel to walk with a priestess?",
覚者のことは覚者が始末をつける――,The Arisen has to take care of the Arisen's business.,
"昔からの習慣だ
覚悟だけはしておこう","It's an old habit.
Let's just be prepared.",
"しばらくここにいる
同志に向ける武器は持っていないからな","I'll be here for a while, as I don't have any weapons to aim at comrades.",
同志に向ける武器はない――,There are no weapons for comrades-in-arms -,
"甘いことを言っている場合じゃないのか
くそっ！",You can't be so naive. Damn!,
《謁見の間》はどんな様子だ？,What's going on in the audience chamber?,
"さぞ――いや、やめておこう
想像が当たったところでうれしくもなんともない","Surely - No, let's leave it. Even if my imagination was correct, it wouldn't make me happy.",
"みんな遠征に夢中になっているようだが
ここの安全が保証されたわけではあるまい？",Everyone seems to be preoccupied with the expedition. How can we be assured of the safety of this place?,
"というわけで、こんな言い方はらしくないが――
俺に任せてくれ","So, although it may not be the most appropriate way to say it—Leave it to me.",
"メルゴダの様子はどうなんだ？
戦いで忙しいかもしれないが
逸品珍品を見逃すなよ？","How's it going in Mergoda? You may be busy fighting the battle, but don't miss the gems and curiosities, okay?",
"結局これは過去との戦いだったというわけか――
いや、ずっと続いていたわけだから
まだ過去にはなっていない――","In the end, this was a battle with the past, so to speak―― No, because it has been continuing for a long time, it has not become the past yet――",
"面倒だな――おまえの手で
過去にしてやるといい",It's troublesome... It would be good for you to make a thing of the past with your own hands.,
"あちこちで言われて聞き飽きただろうが
俺からも言わせてくれ","You must have heard it said everywhere by now,
But let me say it too.",
"逞しくなったな――貫禄すら漂うよ
さあ、報告があるんだろう？
早くすませて土産話を聞かせてくれ","You've grown strong--even dignified.
Now, you have a report to give, don't you?
Get it over with and tell me about your souvenirs.",
呑ませてくれ――,Let me drink—,
"今は呑んで――呑んで――
明日からちゃんとするからさ","Right now, I'm drinking - drinking - I'll properly do it starting from tomorrow.",
ブ、ブラッドオーブ――探さなくちゃ――,B-Blood Orb... I have to find it...,
"俺はここで白竜様と倒れた覚者のために
やれることをやるよ",I will do what I can here for the Arisen who fell with the White Dragon.,
あんたたち、黒騎士を頼むぞ,I entrust you with the Black Knight.,
"一時はどうなることかと思ったよ
もしあのまま――","For a moment, I thought I was done for. If things had stayed that way -",
"――やーめた！　楽しいことだけ
考えるわ",- Never mind! Just think about the fun parts.,
"ふう――覚者でいることは大変だけど
お互い、がんばりましょう","Phew - being an Arisen is tough, but
we both just have to do our best.",
"遠くへ行きたいのよ
誰も行ったことがない地へね","I want to go far away.
To a place no one has ever been before.",
"覚者っぽくないって言われるけど――
やっぱり、わかっちゃうよね","I'm told that I don't seem like an Arisen, but... 
I still understand, you know.",
"覚者だからって戦いばかりの人は
正直、どうかと思うな","A person who only seeks constant battles just because they are an Arisen,
honestly, I think that's questionable.",
"レスタニア中のきれいな風景を見たいけど
そういう場所は魔物が集まりがちだよね","I want to see the beautiful scenery throughout Lestania, but those kinds of places tend to attract enemies.",
"魔物を倒したら
白竜様が毎回ほめてくれる――
そんなのだったら、やりがいあると思わない？","If you defeat the enemy,
the White Dragon will praise you every time--
If that's the case, don't you think it's rewarding?",
"ごきげんよう
さあ、今日はどこへ行こうかな","Hello. Well, where shall we go today?",
