"21787","
","
"7783","羽根系のクラフト用素材
ハーピーの特に長く発達した羽根","Feather Crafting Material: Particularly long and developed feathers from Harpies."
"7784","角系のクラフト用素材
トロール族のイボつきの角","Horn Crafting Material: Troll Tribe's Spiked Horn"
"7785","角系のクラフト用素材
強力なキメラ族（ＬＶ．35～）のヤギ角","Horn Crafting Material:
Powerful Goat Horns from a Chimera species (Lv. 35 and above)."
"7787","爪牙系のクラフト用素材
ダイアウルフなど大型肉食獣の牙","Fang Crafting Material: Fangs of large carnivorous animals such as Direwolves."
"7788","爪牙系のクラフト用素材
なんでも噛み砕く大猿の乱杭歯","Fang Crafting Material. 
Wrenching Fangs of the Rampaging Ape, capable of crushing anything."
"7798","爪牙系のクラフト用素材
オオカミなど小型肉食獣の牙","Fang Crafting Material: Fangs of small carnivorous animals like wolves."
"7799","爪牙系のクラフト用素材
ベヘモットの半月状の巨大牙","Fang Crafting Material:
Giant fang in the shape of a crescent moon from the Behemoth."
"7800","爪牙系のクラフト用素材
シャドーキメラの不気味な鉤爪","Fang Crafting Material: Eerie Claw of the Shadow Chimera."
"7801","爪牙系のクラフト用素材
グリムワーグの恐ろしい爪","Fang Crafting Material: Terrifying Fangs of the Grimwarg"
"7802","爪牙系のクラフト用素材
霊竜の結晶化した透明の爪。希少品","Fang Crafting Material
A transparent fang crystallized from a spirit dragon. 
A rare item."
"7803","骨系のクラフト用素材
スケルトン上位種の艶のある骨","Bone Crafting Material: Glossy bones from high-ranking Skeleton variants."
"7804","骨系のクラフト用素材
魔道スケルトンの魔力が宿る骨","Bone Crafting Material. 
Bones imbued with the magic of the Mage Skeleton."
"7806","骨系のクラフト用素材
竜族のきわめて大きな骨の塊","Bone Crafting Material.
A large cluster of bones from the Dragonkin."
"7807","骨系のクラフト用素材
キメラの異頭接合部の骨塊。希少品","Bone Crafting Material.
A bone mass from the fused head of a Chimera. 
A rare item."
"7808","魔道書系のクラフト用素材
幽姫が手にする黒革張りの魔道書","Grimoire Crafting Material: A black leather-bound grimoire held by the Ghost Princess."
"7809","毛系のクラフト用素材
トロールの捻じれて長く伸びた毛髪","Fur Crafting Material: Troll's twisted and elongated hair."
"7810","毛系のクラフト用素材
艶とハリのあるスフィンクスの毛髪","Fur Crafting Material: Glossy and sturdy Sphinx hair."
"7811","羽根系のクラフト用素材
運用法はさまざま","Feather Crafting Material.
Various ways to use it."
"7812","羽根系のクラフト用素材
キラービーの透き通った薄い羽根","Feather Crafting Material: Killer Bee's translucent, medium-thin feather."
"7813","羽根系のクラフト用素材
ハーピーの翼から抜けた羽根","Feather Crafting Material: Feathers obtained from the wings of Harpies."
"7814","羽根系のクラフト用素材
巨鷲の翼から抜けた大きな羽根","Feather Crafting Material.
Large feathers that have fallen from the wings of a giant eagle."
"7815","羽根系のクラフト用素材
鮮やかな青が美しいスフィンクスの羽根","Feather Crafting Material: Vibrant blue Sphinx feathers"
"7816","羽根系のクラフト用素材
黒緑色でぎざついた石鶏の羽根","Feather Crafting Material.
Feathers from a speckled stone chicken, black and green in color."
"7818","羽根系のクラフト用素材
妖しく毒で艶めいた黒巨鷲の羽根","Feather Crafting Material: The enigmatic, poisonous, and lustrous black feathers of a giant black eagle."
"7819","羽根系のクラフト用素材
ナイトメアの白黒ツートンの大きな羽毛","Feather Crafting Material: Nightmare's large black and white two-tone feathers."
"7820","羽根系のクラフト用素材
薄く強靭なリンドブルムのヒレ","Feather Crafting Material: Lindwurm's Thin and Resilient Fin."
"7822","羽根系のクラフト用素材
錬魔ハーピーの金色に光る羽毛","Feather Crafting Material: Feathers obtained from the wings of Alchemized Harpies that shine with a golden color."
"7823","羽根系のクラフト用素材
錬魔グリフィンの金色に光る大羽根","Feather Crafting Material:
Large feather that shines with golden color of an alchemized Griffin."
"7824","液体系のクラフト用素材
さまざまなものに使えるきれいな水","Liquid Crafting Material.
Clear water that can be used for various things."
"7825","液体系のクラフト用素材
特に純粋で清らかな水","Liquid Crafting Material:
Especially pure and pristine water."
"7826","液体系のクラフト用素材
通常の水より比重の重い濁った水","Liquid Crafting Material: Heavy, cloudy water with a higher density than regular water."
"7827","液体系のクラフト用素材
果実から作られた酒種液。ワインの元","Liquid Crafting Material: Alcohol starter made from fruits. The base for wine."
"7828","液体系のクラフト用素材
穀物などから作られた酒種液。エールの元","Liquid Crafting Material.
A alcohol starter made from grains and other crops. 
The base for ale."
"7829","液体系のクラフト用素材
わずかな生命力の宿る不思議な雫","Liquid Crafting Material.
A mysterious droplet imbued with a faint life force."
"7830","液体系のクラフト用素材
エネルギーに満ちた不思議な雫","Liquid Crafting Material.
Mysterious droplets imbued with a faint energy."
"7831","液体系のクラフト用素材
豊かな生命力に満ちた不思議な雫","Liquid Crafting Material.
A mysterious droplet brimming with abundant life force."
"7832","液体系のクラフト用素材
魔女が用いたといわれる謎の水液","Liquid Crafting Material: Mysterious liquid said to be used by witches."
"7833","液体系のクラフト用素材
錬金術で生み出された謎の液体","Liquid Crafting Material: 
A mysterious liquid created through alchemy."
"7834","液体系のクラフト用素材
スライム種の粘液","Liquid Crafting Material: Slime Type Slime Mucus"
"7836","液体系のクラフト用素材
羽虫や地蟲が持つ危険な毒液","Liquid Crafting Material: Dangerous venom extracted from winged insects and ground-dwelling creatures."
"7837","液体系のクラフト用素材
ウ―ズの酸を帯びたゼリー状の欠片","Liquid Crafting Material: Gelatinous Shard with traces of Wurm's acid."
"7838","液体系のクラフト用素材
アンデッド（ＬＶ．25～）の不死成分液","Liquid Crafting Material: Undead (LV. 25+) Immortal Essence"
"7839","液体系のクラフト用素材
濁った酒液。そのままでは飲用に向かない","Liquid Crafting Material: Cloudy liquor. Not suitable for consumption as is."
"7840","液体系のクラフト用素材
軟体種の体から出た粘着性の強い液","Liquid Crafting Material: A sticky, viscous liquid that is expelled from the body of a soft-bodied creature."
"7841","液体系のクラフト用素材
スラッジマンが稀に分泌する炭液。希少品","Liquid Crafting Material: A rare liquid secreted by Sludgeman. A rare item."
"7842","液体系のクラフト用素材
石化耐性を持つコカトリスの体液","Liquid Crafting Material: Cockatrice's bodily fluid with petrification resistance."
"7843","砂系のクラフト用素材
きめの粗いざらついた砂","Sand Crafting Material: Coarse, rough sand."
"7844","砂系のクラフト用素材
きめの揃った白く小粒の砂","Sand Crafting Material: Fine, white, small grains of sand with a smooth texture."
"7845","砂系のクラフト用素材
絹のようになめらかで細かい砂","Sand Crafting Material: Smooth and fine sand, like silk."
"7846","砂系のクラフト用素材
森の奥地で採れる柔らかい土","Sand Crafting Material: Soft soil that can be found in the depths of the forest."
"7847","砂系のクラフト用素材
赤みのある鉄分を含んだ硬い砂","Sand Crafting Material: Hard sand containing iron with a reddish hue."
"7848","砂系のクラフト用素材
青みがかった金属を含んだ細かい砂","Sand Crafting Material: Fine sand containing a metallic blue tint."
"7849","砂系のクラフト用素材
マッドマン（ＬＶ．25～）が分泌する泥","Sand Crafting Material: Mud secreted by Mudman (LV. 25~)"
"7850","砂系のクラフト用素材
特に強力なスケルトンから剥離した骨粉","Sand Crafting Material: Bone Powder obtained from particularly strong skeletons."
"7851","砂系のクラフト用素材
白く輝く非常にきめの細かい砂","Sand Crafting Material: A very fine sand that shines white."
"7852","砂系のクラフト用素材
水晶が砕けてできた透明の粒子","Sand Crafting Material: Transparent particles formed by crushed crystals."
"7853","鉱石系のクラフト用素材
鉄鉱石の小片","Ore Crafting Material: Iron Ore Fragments"
"7854","鉱石系のクラフト用素材
銅（カッパー）製品の元となる鉱石","Ore Crafting Material: Copper ore, which is used as a raw material for crafting copper products."
"7855","鉱石系のクラフト用素材
鉄（アイアン）製品の元となる鉱石","Ore Crafting Material:
The ore that serves as the foundation for iron products."
"7856","鉱石系のクラフト用素材
しっとりと重い斑模様の入った石","Ore Crafting Material: Stone with a moist and heavy texture, adorned with subtle, intricate patterns."
"7857","鉱石系のクラフト用素材
銀（シルバー）製品の元となる鉱石","Ore Crafting Material: Silver ore, which is used as a raw material for crafting silver products."
"7858","鉱石系のクラフト用素材
青銅（ブロンズ）製品の元となる鉱石","Ore Crafting Material:
The ore that serves as the foundation for bronze products."
"7859","鉱石系のクラフト用素材
金（ゴールド）を含んだ貴重な鉱石","Ore Crafting Material: Precious ore that contains gold."
"7860","鉱石系のクラフト用素材
非常に重く硬質な漆黒の金属鉱石","Ore Crafting Material:
An extremely heavy and hard, jet-black metal ore."
"7861","鉱石系のクラフト用素材
赤みを帯びた金属を含む頑丈な鉱石","Ore Crafting Material: Sturdy ore containing reddish metal."
"7862","鉱石系のクラフト用素材
白銀色の輝きを放つ貴重な鉱石","Ore Crafting Material: A precious ore that emits a shining silver color."
"7863","鉱石系のクラフト用素材
幾何学模様の金属を含む不思議な鉱石","Ore Crafting Material: Mysterious ore containing metallic geometric patterns."
"7864","鉱石系のクラフト用素材
岩トカゲから取れるウロコ状の石。希少品","Ore Crafting Material: A scale-like stone obtained from Rock Lizards. A rare item."
"7865","鉱石系のクラフト用素材
魔物の体内で発生した硬質な石","Ore Crafting Material:
A hard stone formed inside the body of a monster."
"7866","鉱石系のクラフト用素材
ゴーレムを構成する魔力を帯びた岩。希少品","Ore Crafting Material: Magick-infused stone that constitutes the magic of a Golem. A rare item."
"7867","鉱石系のクラフト用素材
ゴーレムの動力用に作られた魔道器石","Ore Crafting Material: Magic Stone crafted for Golem powering."
"7868","鉱石系のクラフト用素材
蒼白い輝きを帯びた不思議な石","Ore Crafting Material:
A mysterious stone imbued with a pale, shimmering glow."
"7869","鉱石系のクラフト用素材
溶熱でさまざまな金属が混ざった鉱石","Ore Crafting Material: 
Ores that contain various metals mixed together through smelting."
"7870","鉱石系のクラフト用素材
特に上質のゴーレム動力魔道器石。希少品","Ore Crafting Material: Particularly high-quality Golem Powering Magic Device Stone. 
A rare item."
"7871","鉱石系のクラフト用素材
錬金術で合成された超硬度の鉱石","Ore Crafting Material: Alchemized ore with an extremely hard texture."
"7872","金属系のクラフト用素材
鉛と鉄を精製し作られた合金の塊","Metal Crafting Material: A lump of alloy refined from lead and iron."
"7873","金属系のクラフト用素材
銅鉱石から精製された銅の塊","Metal Crafting Material:
A chunk of copper refined from copper ore."
"7874","金属系のクラフト用素材
鉄鉱石から精製された鉄の塊","Metal Crafting Material:
A chunk of iron refined from iron ore."
"7875","金属系のクラフト用素材
銀鉱石から精製された銀の塊","Metal Crafting Material:
A chunk of silver refined from silver ore."
"7876","金属系のクラフト用素材
青銅鉱から精製された青銅の塊","Metal Crafting Material:
A chunk of bronze refined from bronze ore."
"7877","金属系のクラフト用素材
金鉱石から精製された金の塊","Metal Crafting Material:
A chunk of gold refined from gold ore."
"7878","金属系のクラフト用素材
黒鉱石から精製された黒鉄の塊","Metal Crafting Material:
A chunk of black iron refined from black ore."
"7879","金属系のクラフト用素材
赤鋼石をベースに強化された金属の塊","Metal Crafting Material: 
A chunk of metal strengthened with a base of Hematite."
"7880","金属系のクラフト用素材
ミスリル鉱から精製されたミスリルの塊","Metal Crafting Material:
A chunk of mithril refined from mithril ore."
"7881","金属系のクラフト用素材
金属杭を合成した特殊な金属板","Metal Crafting Material: 
A special metal plate synthesized from metal stakes."
"7882","金属系のクラフト用素材
黄鉄鉱に斑石の成分を加えた金属の塊","Metal Crafting Material: A chunk of metal made by adding components of ore to pyrite."
"7883","金属系のクラフト用素材
ウロコ岩が含む緑銅を加えた金属の塊","Metal Crafting Material: A lump of metal containing green copper, which is found in rock scales."
"7884","金属系のクラフト用素材
銀塊に幽幻石を合成した神秘的な金属の塊","Metal Crafting Material:
A mysterious metal lump synthesized from silver ingots and Phantom Ore."
"7885","金属系のクラフト用素材
さまざまな種の青い輝石と鋼から
精製された特殊合金","Metal Crafting Material: 
A special alloy refined from various types of blue gemstones and steel."
"7886","金属系のクラフト用素材
金に強い魔力を加え圧縮した金属塊","Metal Crafting Material: A compressed metal mass infused with powerful magic."
"7887","金属系のクラフト用素材
ギガン・マキナの装甲に含まれる
漆黒超硬度の金属塊","Metal Crafting Material:
A solid mass of jet-black ultra-hard metal, contained in the armor of Gigant Machina."
"7888","金属系のクラフト用素材
レッドクロムに灼溶岩を合成した紅色の金属塊","Metal Crafting Material: Red metal ingot synthesized with lava rock to create a crimson-colored metal."
"7889","鉱石系のクラフト用素材
ゴーストメイルの霊気を帯びた鎧片","Ore Crafting Material:
Ghost Mail-infused Armor Fragment"
"7890","金属系のクラフト用素材
霊鉄石の欠片を精製した神秘の金属","Metal Crafting Material: Mysterious metal refined from fragments of Spirit Iron Stone."
"7891","金属系のクラフト用素材
エレクトラムをさらに錬金具で加工した秘金属","Metal Crafting Material: A secret metal that is further processed with alchemized electrum."
"7892","金属系のクラフト用素材
希少金属から精製した淡い琥珀色の金属塊","Metal Crafting Material: A pale amber-colored metal ingot refined from rare metals."
"7893","宝石系のクラフト用素材
比較的多くみられる薄緑の宝石","Gem Crafting Material: A relatively common pale green gem."
"7894","宝石系のクラフト用素材
不透明な朱の縞目模様がある宝石","Gem Crafting Material: A gem with opaque stripes of deep red."
"7895","宝石系のクラフト用素材
守護の力があるという黄緑色の宝石","Gem Crafting Material: A yellow-green gem that is said to possess the power of protection."
"7896","宝石系のクラフト用素材
深い赤色が美しい宝石","Gem Crafting Material.
A beautiful gem with a deep red color."
"7897","宝石系のクラフト用素材
魔力を宿しやすい紫色の宝石","Gem Crafting Material.
A purple gem that easily contains magic."
"7898","宝石系のクラフト用素材
緑色に輝く美しい宝石","Gem Crafting Material.
A beautiful gem that shines green."
"7899","宝石系のクラフト用素材
青く輝く美しい宝石","Gem Crafting Material.
A beautiful gem that shines blue."
"7900","宝石系のクラフト用素材
赤く輝く美しい宝石","Gem Crafting Material.
A beautiful gem that shines red."
"7901","宝石系のクラフト用素材
さまざまな用途のある無色透明の宝石","Gem Crafting Material: Colorless transparent gems with various uses."
"7902","宝石系のクラフト用素材
青に金の縞目がある魔力を宿す宝石","Gem Crafting Material:
A gem that holds magic, blue with golden stripes."
"7903","宝石系のクラフト用素材
黒く艶やかな魅力をもつ宝石","Gem Crafting Material: 
A gem with a glossy black charm."
"7904","宝石系のクラフト用素材
橙色に輝く美しい宝石","Gem Crafting Material.
A beautiful gem that shines orange."
"7907","宝石系のクラフト用素材
薄紅色の宝石。岩トカゲの体に生えることも","Gem Crafting Material: A pale pink gem. It can also grow on the body of a rock lizard."
"7908","宝石系のクラフト用素材
エンプレスゴーストの魔力を宿す黒い水晶球","Gem Crafting Material: Black Crystal Orb imbued with the magic of the Empress Ghost."
"7909","宝石系のクラフト用素材
デスナイト（ＬＶ．56～）が魂を封じた宝石","Gem Crafting Material: Gems sealed with the souls of Death Knights (Lv. 56 and above)."
"7910","宝石系のクラフト用素材
ルビーの中でも血のように鮮やかなもの","Gem Crafting Material: A vivid ruby that looks like blood."
"7911","宝石系のクラフト用素材
黒い霧と呪いを宿す深い紫の宝石","Gem Crafting Material: A deep purple gem imbued with black mist and curses."
"7912","宝石系のクラフト用素材
白い霧を帯びた乳白色の霊石","Gem Crafting Material:
A milky white spirit stone tinged with a pale mist."
"7913","宝石系のクラフト用素材
炎魔像の動力となる灼熱の宝石","Gem Crafting Material: A scorching gem that serves as the power source for the Flame Golem."
"7914","宝石系のクラフト用素材
見る角度によりさまざまな色を放つ
星のような煌めきを宿す宝石","Gem Crafting Material: 
A gem that emits various colors depending on the viewing angle. 
It holds a shimmering sparkle like that of a star."
"7916","宝石系のクラフト用素材
リザード（ＬＶ．15～）の体内で生成される石","Gem Crafting Material: Stones generated inside the body of Lizards (Level 15 and above), suitable for crafting."
"7917","皮革系のクラフト用素材
一般的な獣の皮。運用法はさまざま","Pelt Crafting Material: Common animal skins. Various ways to use them."
"7918","皮革系のクラフト用素材
ダイアウルフなどの丈夫な獣皮","Pelt Crafting Material: Durable animal pelts such as Direwolf."
"7919","皮革系のクラフト用素材
リザードマンのウロコに覆われた皮","Pelt Crafting Material: Skin covered in the scales of a Saurian."
"7920","皮革系のクラフト用素材
サルファーリザードの頑丈な皮","Pelt Crafting Material: Sturdy skin of a Sulfur Saurian."
"7921","皮革系のクラフト用素材
ブルーニュートのなめらかで強靭な皮","Pelt Crafting Material: Smooth and resilient skin of the Blue Newt."
"7922","皮革系のクラフト用素材
霊竜の霊気を帯びた半透明の鱗","Pelt Crafting Material: Semi-transparent scales imbued with the spiritual energy of a spirit dragon."
"7923","皮革系のクラフト用素材
強力な魔狼（ＬＶ．41～）の毛皮","Pelt Crafting Material: Fur from a powerful magic Wolf (Lv. 41~)."
"7924","皮革系のクラフト用素材
サイクロプスのごつごつした灰色の皮","Pelt Crafting Material: Rough, gray skin of a Cyclops."
"7925","皮革系のクラフト用素材
巨人族の特に分厚く剛い皮","Pelt Crafting Material: Giants' especially thick and sturdy skin"
"7927","皮革系のクラフト用素材
一角竜の腹部のなめらかな皮。希少品","Pelt Crafting Material:
Smooth skin from the abdomen of a one-horned dragon. A rare item."
"7928","皮革系のクラフト用素材
ドラゴン族の強くしなやかなウロコ皮","Pelt Crafting Material: Dragon Tribe's strong and supple Lizardscale Pelt"
"7929","皮革系のクラフト用素材
地竜の背の分厚い層になった鱗。希少品","Pelt Crafting Material: Thick layers of scales that have formed on the back of an earth dragon. A rare item."
"7930","皮革系のクラフト用素材
炎竜の熱を帯びた琥珀色に輝く鱗。希少品","Pelt Crafting Material: Scales that shimmer in a glowing amber color, imbued with the heat of a Flame Dragon. A rare item."
"7931","皮革系のクラフト用素材
氷竜の冷気を帯びた瑠璃色に輝く鱗。希少品","Pelt Crafting Material: Scales that shimmer in a radiant azure color, imbued with the chill of an Ice Dragon. A rare item."
"7932","皮革系のクラフト用素材
海竜（ＬＶ．41～）の薄く強い灰鱗","Pelt Crafting Material: Thin and strong Ashen Scales from Sea Dragons (LV. 41~)"
"7934","布系のクラフト用素材
一般的な衣服などに使われる布","Cloth Crafting Material: A type of material used for crafting in the cloth-based category, commonly used for regular clothing and such."
"7935","布系のクラフト用素材
獣皮から作られた汎用性の高い布","Cloth Crafting Material: Versatile cloth made from animal pelts."
"7936","布系のクラフト用素材
ハーブの繊維を織り込んだ布","Cloth Crafting Material: Herb-infused fabric"
"7937","布系のクラフト用素材
丈夫な獣革をさらに合わせた強い革布","Cloth Crafting Material: Strong animal leather, a sturdy leather cloth made by combining tough animal hides."
"7938","布系のクラフト用素材
分厚く丈夫な防具向きの布","Cloth Crafting Material: Thick and durable cloth suitable for heavy armor."
"7939","布系のクラフト用素材
すべらかな肌触りの高級革布","Cloth Crafting Material.
High-quality leather cloth with a smooth texture"
"7940","布系のクラフト用素材
強い加護力を秘めた特殊な布","Cloth Crafting Material: Special cloth imbued with Divine Protection."
"7941","布系のクラフト用素材
竜革から作られた非常に高級な革布","Cloth Crafting Material: A highly luxurious cloth made from dragon hide."
"7942","布系のクラフト用素材
強い衝撃も吸収する頑丈で打たれ強い布","Cloth Crafting Material: Sturdy and resilient fabric that can absorb strong impacts."
"7943","布系のクラフト用素材
強い加護力を秘めた聖なる布","Cloth Crafting Material:
Sacred cloth imbued with a powerful Divine Protection."
"7944","布系のクラフト用素材
アンデッドが身にまとう穢れた衣","Cloth Crafting Material.
Undead-worn tainted clothes."
"7945","布系のクラフト用素材
オーク族が身に付ける荒々しい布","Cloth Crafting Material: Rough cloth worn by Orcs."
"7946","布系のクラフト用素材
レッドキャップ（ＬＶ．20～）の頭巾布","Cloth Crafting Material: Redcap (Level 20~) Headcloth"
"7947","布系のクラフト用素材
ウィッチ（ＬＶ．41～）が纏う黒い魔布","Cloth Crafting Material.
Black Magic Cloth worn by Witch (LV. 41~)."
"7948","布系のクラフト素材
禍々しい呪力を秘めた布","Crafting Material: Cloth for crafting
Cloth imbued with sinister curse power."
"7949","布系のクラフト用素材
エンプレスゴーストのドレスの一部","Cloth Crafting Material: Part of the Empress Ghost's dress."
"7950","布系のクラフト用素材
メルゴダの錬金術を応用し織られた術布","Cloth Crafting Material: Alchemized cloth woven using Mergoda's alchemy."
"7951","糸系のクラフト用素材
クモ糸と鳥羽根で紡いだ細い糸","String Crafting Material: Thin threads spun from spider thread and bird feathers."
"7952","糸系のクラフト用素材
獣毛で紡がれた一般的な紐","Translation: String Crafting Material: A common string spun from animal fur."
"7953","糸系のクラフト用素材
獣皮から作られた切れにくい紐","Translation: String Crafting Material:
Durable rope made from animal pelts."
"7954","糸系のクラフト用素材
細糸に丈夫な素材を足して紡いだ糸","String Crafting Material:
Thread spun by adding a strong material to fine filament."
"7955","糸系のクラフト用素材
巨人の毛と鉄粉を合わせた防具用糸","String Crafting Material: String material for crafting, made from a combination of Giant fur and iron powder, used for armor."
"7956","糸系のクラフト用素材
大型魔物の毛と革紐を捩った強靭な糸","String Crafting Material:
A resilient string twisted from the fur of large monsters and leather cords."
"7957","糸系のクラフト用素材
強い魔力を秘めた素材で紡がれた糸","String Crafting Material: Strong thread woven from a material imbued with powerful magic."
