key,old
EVENT_NAME_st0110ev000,絶海の孤島
EVENT_NAME_st0110ev005,侵食魔紹介デモ
EVENT_NAME_st0110ev010,生きた侵食魔との遭遇
EVENT_NAME_st0110ev015,黒騎士との遭遇
EVENT_NAME_st0201ev110,覚者隊の結成
EVENT_NAME_st0213ev000,記憶を無くした娘
EVENT_NAME_st0100ev110,女を探すズール
EVENT_NAME_st0100ev115,黒騎士のポーン
EVENT_NAME_st0100ev120,記憶の手掛かり
EVENT_NAME_st0201ev115,白竜との拝謁
EVENT_NAME_st0100ev125,騎士団と侵食魔
EVENT_NAME_st0100ev130,レスタニアの覚者
EVENT_NAME_st0201ev120,道筋
EVENT_NAME_st0800ev000,記憶の断片
EVENT_NAME_st0403ev020,追い込まれた魔物
EVENT_NAME_st0403ev025,レオとの再会
EVENT_NAME_st0100ev135,ロイグ登場
EVENT_NAME_st0100ev140,不吉な警告
EVENT_NAME_st0201ev125,侵食魔の襲来
EVENT_NAME_st0201ev130,メルゴダ救援
EVENT_NAME_st0410ev020,メルゴダを襲う魔物
EVENT_NAME_st0410ev025,黒騎士の暗躍
EVENT_NAME_st0201ev135,久しぶりの大勝利
EVENT_NAME_st0201ev140,魔赤島での異変
EVENT_NAME_st0110ev020,新たな魔物との遭遇
EVENT_NAME_st0110ev025,ガルドリンの救出
EVENT_NAME_st0940ev000,レオのアジトにて魔物と遭遇
EVENT_NAME_st0940ev005,レオの迎え
EVENT_NAME_st0213ev005,ロイグの病気
EVENT_NAME_st0213ev010,ロイグの感謝
EVENT_NAME_st0201ev145,セシリーの覚悟
EVENT_NAME_st0112ev000,セシリー討たれる
EVENT_NAME_st0100ev145,レオの心の内
EVENT_NAME_st0408ev015,竜力の淀みへ
EVENT_NAME_st0430ev000,白竜の姿をした魔物
EVENT_NAME_st0430ev005,それぞれの道
EVENT_NAME_st0213ev015,セシリー目覚める
EVENT_NAME_st0201ev150,黒騎士との決戦
EVENT_NAME_st0112ev005,アルタード・ズール出現
EVENT_NAME_st0112ev010,レオ、散る
EVENT_NAME_st0201ev155,黒騎士討伐その後・前半
EVENT_NAME_st0112ev015,黒騎士討伐その後・後半
EVENT_NAME_st0112ev020,新大陸へ
EVENT_NAME_st0120ev000,フィンダムへ降り立つ
EVENT_NAME_st0121ev000,フィンダムの魔物との遭遇
EVENT_NAME_st0121ev005,礎を探す
EVENT_NAME_st0121ev010,礎の発見
EVENT_NAME_st0120ev005,廃村と化した故郷
EVENT_NAME_st0120ev010,精霊竜の来襲
EVENT_NAME_st0120ev015,ダナ村での再会
EVENT_NAME_st0123ev000,セシリーの故郷
EVENT_NAME_st0123ev005,セシリーの気持ち
EVENT_NAME_st0432ev000,瀕死のガラダ
EVENT_NAME_st0914ev000,ガラダを襲った犯人
EVENT_NAME_st0120ev020,ロイグの復讐
EVENT_NAME_st0120ev025,ロイグ逃亡
EVENT_NAME_st0120ev030,フィンダムの未来を託す
EVENT_NAME_st0120ev035,開門
EVENT_NAME_st0880ev000,始まりの洞
EVENT_NAME_st0880ev005,治療のためには
EVENT_NAME_st0884ev000,樹内の魔物との遭遇
EVENT_NAME_st0884ev005,精霊竜の咆哮
EVENT_NAME_st0880ev010,浄化を試みる
EVENT_NAME_st0122ev000,原始の雫を守る魔物との遭遇
EVENT_NAME_st0434ev000,原始の雫の入手
EVENT_NAME_st0880ev015,黒騎士現れる
EVENT_NAME_st0880ev020,浄化のはじまり
EVENT_NAME_st0120ev040,間に合わない竜
EVENT_NAME_st0881ev025,精霊竜との決戦
EVENT_NAME_st0435ev000,精霊竜ウィルミア
EVENT_NAME_st0435ev005,消えゆくセシリー
EVENT_NAME_st0881ev030,精霊竜セシリー
EVENT_NAME_st0120ev045,未来の予告
EVENT_NAME_st0120ev017,精霊槍の使い手
EVENT_NAME_st0201ev103,更なる厄災の兆し(ジョゼフ）
EVENT_NAME_st0113ev000,EX2.0導入デモ1
EVENT_NAME_st0201ev160,EX2.0導入デモ2
EVENT_NAME_st0113ev005,EX2.0スカージ登場開始デモ
EVENT_NAME_st0113ev010,EX2.0スカージ討伐デモ
EVENT_NAME_st0437ev000,GM2.0開始デモ
EVENT_NAME_st0437ev005,GM2.0カースドラゴン討伐デモ
EVENT_NAME_st0100ev150,EX2.1導入デモ1
EVENT_NAME_st0201ev165,EX2.1導入デモ2
EVENT_NAME_st0431ev000,EX2.1淀みし大竜力登場開始デモ
EVENT_NAME_st0431ev005,EX2.1淀みし大竜力討伐デモ
EVENT_NAME_st0114ev010,GM2.1開始デモ
EVENT_NAME_st0114ev005,GM2.1アルタード・ズール討伐デモ
EVENT_NAME_st0438ev000,EX1.1タイムアタックデモ
EVENT_NAME_st0122ev005,原始の雫を守る魔物を討伐
EVENT_NAME_st0200ev015,１ｓｔシーズン振り返り
EVENT_NAME_st0114ev000,GM2.1開始デモ8人揃いスタート
EVENT_NAME_st0124ev000,EX2.2導入デモ
EVENT_NAME_st0124ev005,EX2.2アドタラスク登場開始デモ
EVENT_NAME_st0124ev010,EX2.2アドタラスク討伐デモ
EVENT_NAME_st0433ev000,GM2.2開始デモ
EVENT_NAME_st0888ev000,EX2.3導入デモ
EVENT_NAME_st0889ev000,EX2.3黒騎士登場デモ
EVENT_NAME_st0889ev005,EX2.3黒騎士討伐デモ
EVENT_NAME_st0436ev000,GM2.3精霊竜ウィルミア開始デモ
EVENT_NAME_st0436ev005,GM2.3精霊竜ウィルミア討伐デモ
EVENT_NAME_st0201ev157,ゲート開通
EVENT_NAME_st0813ev000,モローへの小路にて魔物と遭遇
EVENT_NAME_st0813ev005,モローへの小路にて魔物を撃破
EVENT_NAME_st0201ev170,精霊の地へ
EVENT_NAME_st0890ev000,EX2.3メガダンジョン攻略開始
EVENT_NAME_st0201ev175,村を荒らせし盗賊
EVENT_NAME_st0517ev000,隊長の右腕は誰か？
EVENT_NAME_st0511ev000,財宝を奪いし者
EVENT_NAME_st0511ev005,見つかった財宝
EVENT_NAME_st0201ev180,エリオットの気持ち
EVENT_NAME_st0213ev020,鳥の報せ
EVENT_NAME_st0404ev010,モゴックの計画
EVENT_NAME_st0404ev015,メイリーフの守り手
EVENT_NAME_st0201ev185,クラウスとジョゼフ
EVENT_NAME_st0914ev005,採取した植物を調べる
EVENT_NAME_st0201ev190,ジョゼフの薬
EVENT_NAME_st0400ev020,残されたメモ
EVENT_NAME_st0100ev155,レオの残せし物
EVENT_NAME_st0200ev020,燃える神殿・前半
EVENT_NAME_st0201ev195,燃える神殿・後半
EVENT_NAME_st0130ev000,戦場の只中へ
EVENT_NAME_st0130ev005,ジリアンとの出遭い
EVENT_NAME_st0130ev010,絶望の大地
EVENT_NAME_st0130ev015,捕虜奪還
EVENT_NAME_st0130ev020,探し人
EVENT_NAME_st0130ev025,襲われた村
EVENT_NAME_st0130ev030,老将軍メイロワ
EVENT_NAME_st0440ev000,敵の将登場
EVENT_NAME_st0440ev005,ティネス砦奪還
EVENT_NAME_st0131ev000,閉ざされた門
EVENT_NAME_st1001ev000,湖畔の洞窟の盗賊アジト
EVENT_NAME_st0441ev000,獣の将登場
EVENT_NAME_st0441ev005,王子との再会
EVENT_NAME_st0201ev200,新たな局面
EVENT_NAME_st0131ev005,王子は覚者か？
EVENT_NAME_st1021ev000,王家の秘蹟
EVENT_NAME_st0631ev000,内密話し
EVENT_NAME_st0444ev000,狙われるネド
EVENT_NAME_st0444ev005,ジリアンの報告
EVENT_NAME_st0132ev000,魔軍への奇襲
EVENT_NAME_st0132ev005,悪しき竜との対峙
EVENT_NAME_st0443ev000,ティネス砦での会合
EVENT_NAME_st0132ev010,ジリアンを残す
EVENT_NAME_st1091ev000,秘密の扉
EVENT_NAME_st0443ev005,駐留軍動く
EVENT_NAME_st0450ev000,骸の将登場
EVENT_NAME_st0450ev005,骸の将を倒す
EVENT_NAME_st0201ev205,王都メガド奪回へ
EVENT_NAME_st0451ev000,使役獣
EVENT_NAME_st0133ev000,北の大地を望む
EVENT_NAME_st0133ev005,メガド守護兵との再会
EVENT_NAME_st0451ev005,メガド侵攻の作戦会議
EVENT_NAME_st0460ev000,姦計
EVENT_NAME_st0201ev210,白竜神殿の死闘
EVENT_NAME_st0201ev215,白竜の救済
EVENT_NAME_st0430ev010,いない擬竜
EVENT_NAME_st0213ev025,衰弱する覚者たち
EVENT_NAME_st0881ev035,精霊竜の目覚め
EVENT_NAME_st0451ev010,襲われる展望城
EVENT_NAME_st0468ev005,攻防戦の勝利
EVENT_NAME_st0460ev005,王都の決戦
EVENT_NAME_st0464ev000,メガド王宮層にて黒騎士登場
EVENT_NAME_st0464ev005,黒騎士を追い闇の中へ
EVENT_NAME_st0467ev000,黒騎士を打ち破る
EVENT_NAME_st0464ev010,闇からの帰還
EVENT_NAME_st0201ev220,白竜に剣を捧げる
EVENT_NAME_st0201ev225,リズからの言伝
EVENT_NAME_st0465ev000,秘策
EVENT_NAME_st0134ev002,王家の墓
EVENT_NAME_st1102ev000,王子の決意
EVENT_NAME_st0134ev005,立ち塞がる恐ろしい魔物
EVENT_NAME_st0134ev010,仲間との絆
EVENT_NAME_st0451ev020,それぞれの想い
EVENT_NAME_st1103ev000,望みの果て
EVENT_NAME_st1103ev005,事の顛末
EVENT_NAME_st0201ev230,竜を継ぐ者
EVENT_NAME_st0470ev000,闇の中で
EVENT_NAME_st0451ev017,姿を消した王子
EVENT_NAME_st0131ev010,EX3.0導入デモ
EVENT_NAME_st0136ev000,EX3.0限界域開始デモ
EVENT_NAME_st0136ev005,EX3.0限界域カトブレパス討伐デモ
EVENT_NAME_st0445ev000,GM3.0開始デモ
EVENT_NAME_st1063ev000,EX3.1導入デモ
EVENT_NAME_st1063ev005,EX3.1限界域開始デモ
EVENT_NAME_st1063ev010,EX3.1限界域イービルアイ討伐デモ
EVENT_NAME_st0442ev000,GM3.1開始デモ
EVENT_NAME_st0138ev000,EX3.2導入デモ
EVENT_NAME_st0138ev005,EX3.2限界域開始デモ
EVENT_NAME_st0138ev010,EX3.2限界域イフリート討伐デモ
EVENT_NAME_st0135ev000,WM3.2開始デモ
EVENT_NAME_st1100ev000,EX3.3導入デモ
EVENT_NAME_st1104ev000,WM3.3開始デモ
EVENT_NAME_st1104ev005,WM3.3悪しき竜討伐デモ
EVENT_NAME_st0200ev025,２ｎｄシーズン振り返り
EVENT_NAME_st0130ev022,迫る魔軍戦車
EVENT_NAME_st0445ev005,GM3.0獣の将討伐デモ外
EVENT_NAME_st0445ev010,GM3.0獣の将討伐デモ内
EVENT_NAME_st0442ev005,GM3.1骸の将討伐デモ外
EVENT_NAME_st0442ev010,GM3.1骸の将討伐デモ内
EVENT_NAME_st0468ev000,戦の将登場
EVENT_NAME_st0448ev000,キャリーの回想
EVENT_NAME_st0472ev000,尋問１
EVENT_NAME_st0140ev000,WM3.2闇の将討伐デモ
EVENT_NAME_st2000ev000,黒呪島導入デモ
EVENT_NAME_st0472ev005,尋問2
EVENT_NAME_st0473ev000,暗部との対峙
EVENT_NAME_st3000ev000,水竜大陸
EVENT_NAME_st0201ev240,大陸の異変
EVENT_NAME_st3111ev000,ゲートの門番
EVENT_NAME_st3111ev005,レオとの再会
EVENT_NAME_st3111ev010,黒騎士とレオ
EVENT_NAME_st0451ev025,アッカーシェランの異変
EVENT_NAME_st3212ev000,数多の覚者
EVENT_NAME_st3300ev000,闇の世界
EVENT_NAME_st3300ev005,黒騎士の最期
EVENT_NAME_st3411ev000,ミシアルの登場
EVENT_NAME_st3500ev000,レオの覚悟
EVENT_NAME_st3500ev005,レオとの別れ
EVENT_NAME_st3400ev000,黒竜の登場
EVENT_NAME_st3400ev005,黒竜の最期
EVENT_NAME_st0201ev245,未来への歩み・前半
EVENT_NAME_st0100ev160,新たな時代の幕開け
EVENT_NAME_st0120ev050,滅びの渦
EVENT_NAME_st0134ev001,追いし者たち
EVENT_NAME_st0200ev030,未来への歩み・後半
EVENT_NAME_st3100ev000,EX3.4アバドーン開始デモ
EVENT_NAME_st3100ev005,EX3.4アバドーン討伐デモ
EVENT_NAME_st3200ev000,EX3.4バフォメット開始デモ
EVENT_NAME_st3200ev005,EX3.4バフォメット討伐デモ
EVENT_NAME_st3300ev010,EX3.4黒騎士開始デモ
EVENT_NAME_st3300ev015,EX3.4黒騎士討伐デモ
EVENT_NAME_st3400ev010,EX3.4黒竜４人開始デモ
EVENT_NAME_st3400ev015,EX3.4限界域黒竜８人開始デモ
EVENT_NAME_st3400ev020,EX3.4黒竜４人、８人共通討伐デモ
EVENT_NAME_st0201ev250,EX3.4限界域黒竜８人導入デモ
EVENT_NAME_st1103ev010,WM3.3開始デモ４人
EVENT_NAME_st0201ev100,１ｓｔシーズンスタッフロール
EVENT_NAME_st0201ev172,２ｎｄシーズンスタッフロール
EVENT_NAME_st0201ev235,３ｒｄシーズンスタッフロール
EVENT_NAME_st0101ev071,オープニング絵巻　語り：男性
EVENT_NAME_st3600ev000,EX3.5-SP1
EVENT_NAME_st3602ev000,EX3.5-SP2
EVENT_NAME_st3601ev000,EX3.5-SP3
EVENT_NAME_st0408ev090,禊の神殿
