2,q60200004_00_3139,<STG 202>に向かい<NPC 1026>から詳細を確認する,"Head to <STG 202> and confirm details
from <NPC 1026>",ui\00_message\quest_info\q60200004_00.gmd,\quest\q60200004.arc,q60200004.arc,2,Renton
0,q60200009_00_144,辺境に眠りし宝４,The Treasure Lying in the Frontier 4,ui\00_message\quest_info\q60200009_00.gmd,\quest\q60200009.arc,q60200009.arc,0,Isaac
1,q60200009_00_144,"アイザックの依頼で、「滝鳴洞穴」「菌糸の襲窟」
「飛天のテラス」「見捨てられた井戸」
「秘匿の実験場」
のどれか1か所へ向かい、最奥の宝箱を調べてくる","On Isaac's request, head to either
the Echo Cascade Cavern
, Fungal Colony Caves,
Soaring Sky Terrace, Forsaken Well,
or Hidden Observatory, and investigate
the treasure chest at the deepest part.",ui\00_message\quest_info\q60200009_00.gmd,\quest\q60200009.arc,q60200009.arc,1,Isaac
2,q60200009_00_1985,指定されたダンジョンのうち1か所で、最奥の宝箱を調べる,"Examine the innermost treasure chest
in one designated dungeon.",ui\00_message\quest_info\q60200009_00.gmd,\quest\q60200009.arc,q60200009.arc,2,Isaac
3,q60200009_00_1986,アイザックに報告する,Report to Isaac,ui\00_message\quest_info\q60200009_00.gmd,\quest\q60200009.arc,q60200009.arc,3,Isaac
0,q60200010_00_147,ざわめきし大地,The Stirring Ground,ui\00_message\quest_info\q60200010_00.gmd,\quest\q60200010.arc,q60200010.arc,0,Joseph
1,q60200010_00_147,新たな任務を受けるため、再びアイザックを訪ねる,Visit Isaac again to receive a new mission,ui\00_message\quest_info\q60200010_00.gmd,\quest\q60200010.arc,q60200010.arc,1,Joseph
2,q60200010_00_2134,覚者隊の隊士から詳細を確認する,"Confirm the details from the Arisen Corps
Regimental Soldier.",ui\00_message\quest_info\q60200010_00.gmd,\quest\q60200010.arc,q60200010.arc,2,Joseph
3,q60200010_00_2135,白竜神殿のアイザックを訪ねる,Visit Isaac in the White Dragon Temple,ui\00_message\quest_info\q60200010_00.gmd,\quest\q60200010.arc,q60200010.arc,3,Joseph
0,q60200011_00_148,蠢きし影,The Squirming Shadow,ui\00_message\quest_info\q60200011_00.gmd,\quest\q60200011.arc,q60200011.arc,0,Joseph
1,q60200011_00_148,新たな任務を受けるため、再びアイザックを訪ねる,Visit Isaac again to receive a new mission,ui\00_message\quest_info\q60200011_00.gmd,\quest\q60200011.arc,q60200011.arc,1,Joseph
2,q60200011_00_2136,覚者隊の隊士から詳細を確認する,"Confirm the details from the Arisen Corps
Regimental Soldier.",ui\00_message\quest_info\q60200011_00.gmd,\quest\q60200011.arc,q60200011.arc,2,Joseph
3,q60200011_00_2137,白竜神殿のアイザックを訪ねる,Visit Isaac in the White Dragon Temple,ui\00_message\quest_info\q60200011_00.gmd,\quest\q60200011.arc,q60200011.arc,3,Joseph
0,q60200012_00_145,アークに眠りし宝,The Treasure Sleeping in the Ark,ui\00_message\quest_info\q60200012_00.gmd,\quest\q60200012.arc,q60200012.arc,0,Isaac
1,q60200012_00_145,新たに見つかったダンジョンの調査,Investigate newly discovered dungeons,ui\00_message\quest_info\q60200012_00.gmd,\quest\q60200012.arc,q60200012.arc,1,Isaac
2,q60200012_00_1994,調査地についてテル村のアルフレドから話を聞く,"Hear what Alfred in Tel village has to say
about the investigation area",ui\00_message\quest_info\q60200012_00.gmd,\quest\q60200012.arc,q60200012.arc,2,Isaac
3,q60200012_00_1995,アーク裏層を開放し、ダンジョン内へ入る,"Open the Lower Level of the Ark
and enter the dungeon",ui\00_message\quest_info\q60200012_00.gmd,\quest\q60200012.arc,q60200012.arc,3,Isaac
4,q60200012_00_1996,最奥にある宝箱を調査する,Investigate the treasure chest at the deepest part,ui\00_message\quest_info\q60200012_00.gmd,\quest\q60200012.arc,q60200012.arc,4,Isaac
5,q60200012_00_1997,アイザックに報告する,Report to Isaac,ui\00_message\quest_info\q60200012_00.gmd,\quest\q60200012.arc,q60200012.arc,5,Isaac
0,q60200013_00_146,歌い継がれし勇姿,Singing Praises of Success,ui\00_message\quest_info\q60200013_00.gmd,\quest\q60200013.arc,q60200013.arc,0,Seneka
1,q60200013_00_146,"風の噂になっている新たな試練について
シーベルから話を聞く",Speak with Seabell regarding the new trial whispered about in rumors.,ui\00_message\quest_info\q60200013_00.gmd,\quest\q60200013.arc,q60200013.arc,1,Seneka
2,q60200013_00_2074,宿場区にいる吟遊詩人シーベルから話を聞く,"Hear what the minstrel Seabell has to say
in the Relay Station",ui\00_message\quest_info\q60200013_00.gmd,\quest\q60200013.arc,q60200013.arc,2,Seneka
0,q60200014_00_188,道を極めんがため,Road to Mastery,ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,0,Archibald
1,q60200014_00_188,"新たな成長要素であるプレイポイントについて
白竜神殿のアーチボルトから話を聞く","Talk to Archibald at the White Dragon Temple
about the new growth element, Play Points",ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,1,Archibald
2,q60200014_00_2489,ジョブ転職画面でプレイポイント入手モードに切替える,"Switch to Play Point Acquisition Mode
on the Job Change Screen",ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,2,Archibald
4,q60200014_00_2490,プレイポイントを獲得するため<STG 870>へ向かう,"Head to <STG 870> to acquire Play Points",ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,4,Archibald
5,q60200014_00_2491,敵を倒してプレイポイントを1以上獲得する,Defeat enemies to earn 1 or more Play Points,ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,5,Archibald
6,q60200014_00_2492,白竜神殿のアーチボルトに報告する,Report to Archibald in the White Dragon Temple,ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,6,Archibald
7,q60200014_00_2493,レンテンからプレイポイントショップについて聞く,Hear about the Play Point Shop from Renton,ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,7,Archibald
8,q60200014_00_2494,プレイポイントショップのラインナップを確認する,Check out the Play Point Shop lineup,ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,8,Archibald
9,q60200014_00_2495,レンテンに報告する,Report to Renton,ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,9,Archibald
3,q60200014_00_2496,白竜神殿のアーチボルトに報告する,Report to Archibald in the White Dragon Temple,ui\00_message\quest_info\q60200014_00.gmd,\quest\q60200014.arc,q60200014.arc,3,Archibald
0,q60200015_00_192,パンプキンランタンが照らすのは？,Light a Pumpkin Lantern?,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,0,Angelo
1,q60200015_00_192,依頼人の求める物を探して手に入れる,Search for and obtain what the client desires.,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,1,Angelo
8,q60200015_00_2606,依頼人に報告する,Report to the requester,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,8,Angelo
2,q60200015_00_2607,＜テルの枯れ井戸＞へむかう,Head to Tel's Withered Well,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,2,Angelo
3,q60200015_00_2608,お化けのような魔物を探す,Find the ghosts,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,3,Angelo
4,q60200015_00_2609,魔物を倒す,Defeat the demons,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,4,Angelo
5,q60200015_00_2610,依頼人の落としたお菓子を探す,Find the candy the requester dropped,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,5,Angelo
6,q60200015_00_2611,依頼人に報告する,Report to the requester,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,6,Angelo
7,q60200015_00_2612,商業区のグレゴリーに相談する,Consult Gregory in the Shopping District,ui\00_message\quest_info\q60200015_00.gmd,\quest\q60200015.arc,q60200015.arc,7,Angelo
0,q60200016_00_193,パンプキンランタンが照らすのは？,Light a Pumpkin Lantern?,ui\00_message\quest_info\q60200016_00.gmd,\quest\q60200016.arc,q60200016.arc,0,Angelo
1,q60200016_00_193,集めたお菓子を交換する,Exchange the collected sweets.,ui\00_message\quest_info\q60200016_00.gmd,\quest\q60200016.arc,q60200016.arc,1,Angelo
0,q60200017_00_204,奇蹟者への道＜１＞,Path to Miracles (1),ui\00_message\quest_info\q60200017_00.gmd,\quest\q60200017.arc,q60200017.arc,0,Nicholas
1,q60200017_00_204,ニコラスの依頼を叶える,Grant Nicholas's request,ui\00_message\quest_info\q60200017_00.gmd,\quest\q60200017.arc,q60200017.arc,1,Nicholas
3,q60200017_00_2732,ニコラスに報告する,Report to Nicholas,ui\00_message\quest_info\q60200017_00.gmd,\quest\q60200017.arc,q60200017.arc,3,Nicholas
2,q60200017_00_2733,マルコとミーアから話を聞く,Hear what Marco and Mia have to say,ui\00_message\quest_info\q60200017_00.gmd,\quest\q60200017.arc,q60200017.arc,2,Nicholas
0,q60200018_00_205,奇蹟者への道＜２＞,Path to Miracles (2),ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,0,Nicholas
1,q60200018_00_205,ニコラスの依頼を叶える,Grant Nicholas's request,ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,1,Nicholas
2,q60200018_00_2734,赤い染料装備かシーズンロット装備をする,Equip red-dyed equipment or seasonal lot equipment,ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,2,Nicholas
3,q60200018_00_2735,ニコラスに着たものを見せる,Show what you wore to Nicholas,ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,3,Nicholas
4,q60200018_00_2736,マルコから幸せの言葉を聞く,Listen to Marco's words of happiness,ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,4,Nicholas
5,q60200018_00_2737,マルコに＜メリークリスマス＞とチャットで話かける,,ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,5,Marco
6,q60200018_00_2738,ミーアから幸せのあいさつを聞く,Listen to Mia's greetings,ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,6,Marco
7,q60200018_00_2739,ミーアに＜あいさつ２＞のエモートをする,"Use the emote ""Greet 2"" to Mia",ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,7,Mia
8,q60200018_00_2740,ニコラスに報告する,Report to Nicholas,ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,8,Mia
9,q60200018_00_2760,(ﾒ|メ|め)(ﾘ|リ|り)(ｰ|ー).*(ｸ|ク|く)(ﾘ|リ|り)(ｽ|ス|す)(ﾏ|マ|ま)(ｽ|ス|す),(M|m)(e)(r)(r)(y).*(C|c)(h)(r)(i)(s)(t)(m)(a)(s),ui\00_message\quest_info\q60200018_00.gmd,\quest\q60200018.arc,q60200018.arc,9,Mia
0,q60200019_00_206,奇蹟者への道＜３＞,Path to Miracles (3),ui\00_message\quest_info\q60200019_00.gmd,\quest\q60200019.arc,q60200019.arc,0,Nicholas
1,q60200019_00_206,ニコラスの依頼を叶える,Grant Nicholas's request,ui\00_message\quest_info\q60200019_00.gmd,\quest\q60200019.arc,q60200019.arc,1,Nicholas
2,q60200019_00_2741,セネカにチャットでクリスマスの挨拶をする,Give a Christmas Greeting to Seneka in chat,ui\00_message\quest_info\q60200019_00.gmd,\quest\q60200019.arc,q60200019.arc,2,Nicholas
3,q60200019_00_2742,セネカに＜あいさつ・２＞のエモートをする,"Use the emote ""Greet 2"" to Seneka",ui\00_message\quest_info\q60200019_00.gmd,\quest\q60200019.arc,q60200019.arc,3,Nicholas
4,q60200019_00_2743,セネカと記念撮影をする,Take a commemorative photo with Seneka,ui\00_message\quest_info\q60200019_00.gmd,\quest\q60200019.arc,q60200019.arc,4,Nicholas
5,q60200019_00_2744,ニコラスに報告する,Report to Nicholas,ui\00_message\quest_info\q60200019_00.gmd,\quest\q60200019.arc,q60200019.arc,5,Nicholas
6,q60200019_00_2761,(ﾒ|メ|め)(ﾘ|リ|り)(ｰ|ー).*(ｸ|ク|く)(ﾘ|リ|り)(ｽ|ス|す)(ﾏ|マ|ま)(ｽ|ス|す),(M|m)(e)(r)(r)(y).*(C|c)(h)(r)(i)(s)(t)(m)(a)(s),ui\00_message\quest_info\q60200019_00.gmd,\quest\q60200019.arc,q60200019.arc,6,Nicholas
0,q60200020_00_207,贈り物に願いをこめて＜上＞,With Great Desire to Gift (Upper),ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,0,Marco
1,q60200020_00_207,マルコの依頼を叶える,Grant Marco's request,ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,1,Marco
2,q60200020_00_2745,酒場のナンシーにおすすめの美酒を訪ねる,Find out what drink Nancy at the Tavern recommends,ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,2,Marco
3,q60200020_00_2746,マルコに「レスタニアワイン」とチャットで教える,,ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,3,Nancy
4,q60200020_00_2747,マルコから話を聞く,Listen to Marco,ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,4,Marco
5,q60200020_00_2748,＜レスタニアワイン＞を入手する,"Obtain ""Lestania Wine""",ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,5,Marco
7,q60200020_00_2749,3人と一緒に記念撮影をする,Take a commemorative photo with three people,ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,7,Marco
8,q60200020_00_2750,ニコラスと話をする,Speak to Nicholas,ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,8,Nicholas
6,q60200020_00_2755,レスタニアワインをマルコに見せる,Show the Lestania Wine to Marco,ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,6,Marco
9,q60200020_00_2762,(ﾚ|レ|れ)(ｽ|ス|す)(ﾀ|タ|た)(ﾆ|ニ|に)(ｱ|ア|あ)(ﾜ|ワ|わ)(ｲ|イ|い)(ﾝ|ン|ん),(L|l)(e)(s)(t)(a)(n)(i)(a).*(W|w)(i)(n)(e),ui\00_message\quest_info\q60200020_00.gmd,\quest\q60200020.arc,q60200020.arc,9,Nicholas
0,q60200021_00_208,贈り物に願いをこめて＜下＞,With Great Desire to Gift (Lower),ui\00_message\quest_info\q60200021_00.gmd,\quest\q60200021.arc,q60200021.arc,0,Mia
1,q60200021_00_208,ミーアの依頼を叶える,Grant Mia's request,ui\00_message\quest_info\q60200021_00.gmd,\quest\q60200021.arc,q60200021.arc,1,Mia
2,q60200021_00_2751,神殿内でリトル・フロストを見つけ撮影する（残り3）,Take a photo of Little Frost in the Temple (3 left),ui\00_message\quest_info\q60200021_00.gmd,\quest\q60200021.arc,q60200021.arc,2,Mia
5,q60200021_00_2752,ミーアに報告する,Report to Mia,ui\00_message\quest_info\q60200021_00.gmd,\quest\q60200021.arc,q60200021.arc,5,Mia
6,q60200021_00_2753,ニコラスと話をする,Speak to Nicholas,ui\00_message\quest_info\q60200021_00.gmd,\quest\q60200021.arc,q60200021.arc,6,Mia
3,q60200021_00_2769,神殿内でリトル・フロストを見つけ撮影する（残り2）,Take a photo of Little Frost in the Temple (2 left),ui\00_message\quest_info\q60200021_00.gmd,\quest\q60200021.arc,q60200021.arc,3,Mia
4,q60200021_00_2770,神殿内でリトル・フロストを見つけ撮影する（残り1）,Take a photo of Little Frost in the Temple (1 left),ui\00_message\quest_info\q60200021_00.gmd,\quest\q60200021.arc,q60200021.arc,4,Mia
0,q60200022_00_198,クリスマスイベントNPCセット用,Npc sets for Christmas,ui\00_message\quest_info\q60200022_00.gmd,\quest\q60200022.arc,q60200022.arc,0,Nicholas
1,q60200022_00_198,,,ui\00_message\quest_info\q60200022_00.gmd,\quest\q60200022.arc,q60200022.arc,1,Marco
2,q60200022_00_2756,メリークリスマス,Merry Christmas,ui\00_message\quest_info\q60200022_00.gmd,\quest\q60200022.arc,q60200022.arc,2,Mia
3,q60200022_00_2763,(ﾒ|メ|め)(ﾘ|リ|り)(ｰ|ー).*(ｸ|ク|く)(ﾘ|リ|り)(ｽ|ス|す)(ﾏ|マ|ま)(ｽ|ス|す),(M|m)(e)(r)(r)(y).*(C|c)(h)(r)(i)(s)(t)(m)(a)(s),ui\00_message\quest_info\q60200022_00.gmd,\quest\q60200022.arc,q60200022.arc,3,Nicholas
0,q60200024_00_216,想い人への愛の形＜１＞,Shape of Love for Someone (1),ui\00_message\quest_info\q60200024_00.gmd,\quest\q60200024.arc,q60200024.arc,0,Shelly
1,q60200024_00_216,シェリーの求めるものを手に入れる,Obtain what Shelly seeks.,ui\00_message\quest_info\q60200024_00.gmd,\quest\q60200024.arc,q60200024.arc,1,Shelly
2,q60200024_00_2804,カカオを入手する,Obtain Cacao,ui\00_message\quest_info\q60200024_00.gmd,\quest\q60200024.arc,q60200024.arc,2,Shelly
3,q60200024_00_2805,シェリーに報告する,Report to Shelly,ui\00_message\quest_info\q60200024_00.gmd,\quest\q60200024.arc,q60200024.arc,3,Shelly
0,q60200025_00_217,想い人への愛の形＜２＞,Shape of Love for Someone (2),ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,0,Gurdolin
1,q60200025_00_217,シェリーの導きで意中の相手にお菓子を渡す,"Guided by Shelly, give sweets to the person you want to be with.",ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,1,Gurdolin
6,q60200025_00_2764,(ﾁ|チ|ち)(ｮ|ョ|ょ)(ｺ|コ|こ)(ﾚ|レ|れ)(ｰ|ー)(ﾄ|ト|と),(C|c)(H|h)(O|o)(C|c)(O|o)(L|l)(A|a)(T|t)(E|e),ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,6,Mayleaf
7,q60200025_00_2765,(ｴ|エ|え)(ﾘ|リ|り)(ｵ|オ|お)(ｯ|ッ|っ)(ﾄ|ト|と),(E|e)(l)(l)(i)(o)(t),ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,7,Mayleaf
8,q60200025_00_2766,(ｸ|ク|く)(ﾗ|ラ|ら)(ｳ|ウ|う)(ｽ|ス|す),(K|k)(l)(a)(u)(s),ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,8,Lise
9,q60200025_00_2767,(ﾒ|メ|め)(ｲ|イ|い)(ﾘ|リ|り)(ｰ|ー)(ﾌ|フ|ふ),(M|m)(a)(y)(l)(e)(a)(f),ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,9,Lise
10,q60200025_00_2768,(ﾘ|リ|り)(ｽﾞ|ズ|ず),(L|l)(i)(s)(e),ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,10,Shelly
11,q60200025_00_2782,(ｶﾞ|ガ|が)(ﾙ|ル|る)(ﾄﾞ|ド|ど)(ﾘ|リ|り)(ﾝ|ン|ん),(G|g)(u)(r)(d)(o)(l)(i)(n),ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,11,Shelly
2,q60200025_00_2806,貰ったレシピでチョコレートを作る,Make chocolate with the recipe you were given,ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,2,Elliot
3,q60200025_00_2807,シェリーに報告する,Report to Shelly,ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,3,Elliot
4,q60200025_00_2808,好きなNPCにチョコレートを渡す,Give chocolate to your favorite NPC,ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,4,Klaus
5,q60200025_00_2809,シェリーに報告する,Report to Shelly,ui\00_message\quest_info\q60200025_00.gmd,\quest\q60200025.arc,q60200025.arc,5,Klaus
0,q60200026_00_218,想い人への愛の形,Shape of Love for Someone,ui\00_message\quest_info\q60200026_00.gmd,\quest\q60200026.arc,q60200026.arc,0,Shelly
1,q60200026_00_218,,,ui\00_message\quest_info\q60200026_00.gmd,\quest\q60200026.arc,q60200026.arc,1,Shelly
3,q60200026_00_2769,(ﾊ|ハ|は)(ｯ|ッ|っ)(ﾋﾟ|ピ|ぴ)(ｰ|ー).*(ﾊﾞ|バ|ば)(ﾚ|レ|れ)(ﾝ|ン|ん)(ﾀ|タ|た)(ｲ|イ|い)(ﾝ|ン|ん).*(ｶﾞ|ガ|が)(ﾙ|ル|る)(ﾄﾞ|ド|ど)(ﾘ|リ|り)(ﾝ|ン|ん),(H|h)(a)(p)(p)(y).*(V|v)(a)(l)(e)(n)(t)(i)(n)(e)(s).*(G|g)(u)(r)(d)(o)(l)(i)(n),ui\00_message\quest_info\q60200026_00.gmd,\quest\q60200026.arc,q60200026.arc,3,Angelo
4,q60200026_00_2770,(ﾊ|ハ|は)(ｯ|ッ|っ)(ﾋﾟ|ピ|ぴ)(ｰ|ー).*(ﾊﾞ|バ|ば)(ﾚ|レ|れ)(ﾝ|ン|ん)(ﾀ|タ|た)(ｲ|イ|い)(ﾝ|ン|ん).*(ｴ|エ|え)(ﾘ|リ|り)(ｵ|オ|お)(ｯ|ッ|っ)(ﾄ|ト|と),(H|h)(a)(p)(p)(y).*(V|v)(a)(l)(e)(n)(t)(i)(n)(e)(s).*(E|e)(l)(l)(i)(o)(t),ui\00_message\quest_info\q60200026_00.gmd,\quest\q60200026.arc,q60200026.arc,4,Angelo
5,q60200026_00_2771,(ﾊ|ハ|は)(ｯ|ッ|っ)(ﾋﾟ|ピ|ぴ)(ｰ|ー).*(ﾊﾞ|バ|ば)(ﾚ|レ|れ)(ﾝ|ン|ん)(ﾀ|タ|た)(ｲ|イ|い)(ﾝ|ン|ん).*(ｸ|ク|く)(ﾗ|ラ|ら)(ｳ|ウ|う)(ｽ|ス|す),(H|h)(a)(p)(p)(y).*(V|v)(a)(l)(e)(n)(t)(i)(n)(e)(s).*(K|k)(l)(a)(u)(s),ui\00_message\quest_info\q60200026_00.gmd,\quest\q60200026.arc,q60200026.arc,5,Angelo
6,q60200026_00_2772,(ﾊ|ハ|は)(ｯ|ッ|っ)(ﾋﾟ|ピ|ぴ)(ｰ|ー).*(ﾊﾞ|バ|ば)(ﾚ|レ|れ)(ﾝ|ン|ん)(ﾀ|タ|た)(ｲ|イ|い)(ﾝ|ン|ん).*(ﾒ|メ|め)(ｲ|イ|い)(ﾘ|リ|り)(ｰ|ー)(ﾌ|フ|ふ),(H|h)(a)(p)(p)(y).*(V|v)(a)(l)(e)(n)(t)(i)(n)(e)(s).*(M|m)(a)(y)(l)(e)(a)(f),ui\00_message\quest_info\q60200026_00.gmd,\quest\q60200026.arc,q60200026.arc,6,Angelo
