0,,"不思議な力で封鎖されている
英霊の協力<COL ffdc78>《大開拓》</COL>が必要そうだ――","It is sealed with a mysterious power.
The cooperation of the heroic spirit 
<COL ffdc78>《Great Frontier Development》</COL> 
seems necessary.",ui\00_message\examine_message\stage\stage_examine_st1150.gmd,\stage\st1150\st1150.arc,st1150.arc,0,
0,HISTORY_STEP_37,"　ゴブリンから手に入れた古文書は智の宝庫、ドリー
ド城から盗み出されたもので、記されていたのは「命
の器」に関することだった
　器に収められた命は様々な用途に供することが可能
となる
　当然、わたしはその器の存在を知っていた。しか
し、白竜のためとは言え、器を使うことは許されない
と考えていた。器は禁じられた知識と技の結晶なの
だ。選択の余地はない
　３２４年前、当時の神殿に集う知者たちはその一連
の知識を封じることにした。以来、レスタニアはその
忌まわしい知識に頼ることなく年月を重ねてきたの
だ。その決断と３００年以上従ってきた意志は尊重さ
れなくてはならない
　一方、クラウスたちは器を持ち帰るために多大なる
犠牲を払った。多くの騎士たちの命が失われてしまっ
たのだ
　弟子かわいさに騎士団の派遣を依頼したのはわたし
自身だ。責任を感じずにはいられない
　器には騎士の身体から流れ出た命が納められてい
た。命を白竜に捧げるというレオに強く反対する資格
は、わたしにはない
　黙認することで道を踏み外したとのそしりがあれば
甘んじて受ける覚悟だ","The ancient document
that the goblins stole from Dreed Castle
contains a wealth of knowledge
regarding the ""Vessel of Life.""

Naturally, I was aware of its existence,
though for the sake of the White Dragon,
I believed it to be forbidden.
The vessel is the crystallization of forbidden arts.
I was without choice.

324 years afore, the Scholars at the Temple
sealed away that knowledge.
Since then, Lestania continued on
without such damnable academe.
The decision that has been maintained
for over three centuries must be enforced.

Klaus paid a great price to retrieve it.
The lives of many a noble knight were lost,
now they are contained within the vessel.",ui\00_message\history\001\q00000010.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_39,"　思えば、はじめて白竜の前に立ったのは物心がつい
た頃だった
　竜はただ眠っているように見えた。呼んでも、応え
はなく、ただ生暖かい呼気が顔を撫でた
　生きているのに応えてもらえない。それがとても悲
しく――わたしは泣いた。白竜の側に仕えて、いつか
言葉を交わしたいと思ったのはその時だったはずだ
　以来、眠りと覚醒の狭間からレスタニアを見守る白
竜とともに、わたしは、あった。白竜の完全なる回
復、そしてその場に居合わせることは長年の願いだ
　「命の器」と命がそれを可能にするのだろう。しか
し方策を見つけたことを喜ぶことができない
　我々は禁忌に触れてしまった。幸せな結末が待って
いるとは思えないのだ。我々はどんな代償を払うこと
になるのだろう","Looking back, the first time I beheld the Dragon
was when I was a child.
The Dragon slept deeply, unresponsive to me,
only its warm breath flowing over my being.
'Twas woeful... and I wept, and wished to serve
by the side of the White Dragon
and one day exchange words with it.

Since then, I have been with the Dragon,
watching over Lestania from the limerant space
between sleep and awakening.
It has been my long-standing wish
to witness the Dragon's complete recovery.

The vessel of life, and life itself,
make such a thing possible.
However, I cannot celebrate.
We have touched upon a taboo.
I do not believe a happy ending awaits us.
What price will be paid, in due?",ui\00_message\history\001\q00000011.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_41,"　メイリーフがまた行方不明になり、前回と同じ覚者
に捜索を依頼した。あの子の正体を知る者を増やすわ
けにはいかなかったのだ
　クラウスも行かせたのは禁じられた古文書から引き
離すためだった。同時に、メイリーフと覚者、覚者と
クラウス。彼らは意気投合しているように見えてい
た
　わたしが退場した後の神殿はあの三人が中心にある
のだろうという予感が漠然とあったのだ。三人の組み
合わせは、わたしの中では自然なことだった
　さて、捜索から戻った覚者は、メイリーフをエルフ
の青年に託してきたという
　怒りと困惑があった。怒りは、わたしの危機感がま
ったく伝わっていなかったことが原因で、困惑したの
はメイリーフがわたしに黙って、自分の意志で神殿を
出たことを知ったから
　いや、困惑にあらず。悲しみだったかもしれない。
ともあれ、今はただ、メイリーフの無事を祈るのみで
ある","Mayleaf has gone missing again.
The Arisen from afore aids in our search.
Her true identity must be kept with great secrecy.
We sent Klaus, too, in order to separate him
from the forbidden ancient documents.

Seems all three get along well.
Intuitively, I felt that happenings in the Temple
would revolve around them.

The Arisen returned from the search
and said that Mayleaf
has been entrusted to a young elf.

There was much anger and confusion.
The anger, from my urgency ignored,
and the confusion from learning that Mayleaf
had left the Temple of her own accord.

Fie, perhaps it wasn't confusion, but sadness.
In any case, for now,
all I can do is pray for Mayleaf's safety.",ui\00_message\history\001\q00000012.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_43,"　長すぎるメイリーフの不在に何か行動を起こすべき
だと考えた頃、クラウスとレオもまた行動を起こした
ようだ
　その結果、メイリーフは無事に戻ったが、ゆゆしき
問題が発覚した。メイリーフをここから連れ出したの
がイリスであったこと。彼女は明らかに敵の手先とし
て行動したこと。レオたちは知っていたにもかかわら
ずわたしに黙っていたこと
　さて、イリスの裏切り行為とその始末に関してはレ
オに任せるしかあるまい。彼女の関与を隠そうとした
ことも、悪気があってのことではなかろう
　訓戒の後、不問とすることが分別ある者としての正
しい態度に違いない。となれば事はわたしの問題だ","When I was pressed to take action
about Mayleaf's prolonged absence,
Klaus and Leo took initiative.
Seemingly as a result, Mayleaf returned safely,
but a troubling problem emerged.

'Twas Iris who took Mayleaf out of here.
She clearly acted as an agent of the enemy. 
Despite Leo and others knowing this damnable fact,
they kept it a secret from me.
Well, when it comes to Iris' betrayal
and how to handle it,
there is no choice but to leave it to Leo.
Trying to hide her involvement 
was not out of malice.

After the reprimand,
it falls on the wisest person
to consider the matter closed.
So, it becomes my problem.",ui\00_message\history\001\q00000013.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_44,"　ハイデル平原にこれほど多くの敵が入り込んだの
は、長い戦争の歴史の中でも初めてのことだ
　これまでグリッテン砦を落とすことに執着していた
オークどもが方針を変えてダウ渓谷から入り込んだの
だ
　この方針の転換が意味するものは何か。ヴァネッサ
は、オークと手を組んだズールと呼ばれる魔物が軍師
の役割を果たしていると推測しているようだ。となれ
ばズールの狙いが問題だ
　また、敵の戦いぶりについても様々な報告を受けて
いる。特に気になるのは、奴らの目的は作物や財宝で
はなく、我々の命そのものだったのではないかという
推測だ
　命の使い道を今や、我々はよく知っている。では、
我々にとっての白竜に相当する者が彼らにもいるのだ
ろうか。その存在、不在を我々はどのようにして知る
ことができるだろうか
　有識者の意見を求め、じっくりと考える必要があ
る","'Tis a first in the history of the long war
that such a great number of enemies
have infiltrated Hidell Plains.
Previously preoccupied with Fort Gritten,
the Orcs changed their aim
and have infiltrated Dowe Valley.
What does this shift in strategy signal?

Vanessa speculates that a creature called Zuhl
has joined the Orcs as their strategist.
In that case, Zuhl is a grave issue.

The enemy's objective, it seems,
was not crops or treasures, but our very lives.
We now know well what our lives are used for.
Is there an agent on their side
who is equivalent to our White Dragon?
How can we determine their existence?
It is imperative to seek the opinions of experts
and think carefully.",ui\00_message\history\001\q00000014.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_46,"　メイリーフが世話になったエルフの青年（名はキー
スヒルト）が死んだ
　レオたちが救出に向かったが間に合わなかったの
だ。レスタニアの智がこうむった損失は計り知れな
い
　長命のエルフが身のうちに蓄えた記憶は、そのまま
レスタニアの歴史であったはずだ。いつかじっくり話
を聞きたいと思っていたが叶わず。無念としか言いよ
うがない
また、報告によればキースヒルトの命は敵の手で器に
納められ、持ち去られた
　敵がメイリーフを執拗に狙った理由、あっさりと標
的をメイリーフからキースヒルトに切り替えた理由が
わかるというものだ
　彼らの目的はやはり命。長命のエルフの命が持つ力
は、我々の命の比ではないはずだ。して、その命を奴
らは何に使うのか。判明してからでは遅い、奪還の可
能性を模索することが急務だ","Kieshildt, who took care of Mayleaf,
has sadly passed away.
Leo and the others went to rescue him
but didn't make it in time.
Lestania's wisdom suffers immeasurably.
The memories he carried
are as old as the land itself.
I had hoped to hear his tale one day,
but that wish couldn't come true.
I've nothing but regret.

According to the report, Kieshildt's life
was taken into the vessel by the enemy.
The reason for Mayleaf being targeted,
and then suddenly Kieshildt, is clear,
their target is indeed life itself.
A long-lived life is beyond comparison to our own.
Therefore, it is urgent to explore the possibility
of recovering the vessel before it becomes clear
how they plan to use it.",ui\00_message\history\001\q00000015.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_48,"　白竜の前に集いし者たちの心がひとつになったのは
久しくなかった
　今回、我々はキースヒルトの仇を打ち、彼の命を奪
還するという目的で一丸となることができたのだ。戦
果は華々しいものだった
　エルフの青年の命は我々の手にあり、オークの総大
将モゴックには大きな痛手を与えることに成功した
　同時に、仇討ちという熱狂の中で無視された幾つか
の意見があったことを記しておかねばならない。ガル
ドノック砦、即ち敵の本拠に攻め込むのは時期尚早で
あるとの意見だ
　敵がエルフの命を使ってしまう前に奪還する必要が
あったことはわたしも認めるし、賛同したが、だから
こそ慎重になるべきではなかったか
　敵の目的が命の収集であるならば、尚更だ。目的達
成のために過程の不備には目をつぶる。これは大変に
危険な兆候なのだ
　勝利の直後だからこそ真摯な態度で省みなくてはな
らない","The hearts of those gathered at the White Dragon
have become one, a rare case.
This time, we united with the goal
of avenging Kieshildt and reclaiming his life.
We are victorious.

We have the life of the young Elf in our hands
and we dealt a major blow to Mogok,
the Supreme Commander of the Orcs.
Even so, the frenzy of revenge
led us to prematurely to launch an attack
on Gardnox Fortress, the enemy's stronghold.

If the enemy's goal is to collect lives,
this is even more reason to be cautious.
We should not overlook any flaws in the process
for the sake of achieving the objective.
This is a very dangerous sign.
We must reflect solemnly after victory.",ui\00_message\history\001\q00000016.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_50,"　エルフの青年の命は白竜に捧げられた。結果、目覚
めた白竜の口から、忌まわしきディアマンテスの名が
出たのだ
　３００年以上前にレスタニアを混乱に陥れた錬金術
師。アークの出現以来、わたしが何度も思い浮かべた
名だ
　しかし、敵の真意は相変わらず不明だ。かつてと同
じレスタニアの支配が最終目的だと仮定した場合、で
は、今現在起こっていることの意味はなんだろう。ど
う繋がるのだろう
　神殿の上を第二のアークが横切り、落ちていった。
彼らの計画は未だ進行中ということだろう。謎は増え
るばかりだ
　わたしは大会議の召集を求めることにした。末席
で、神殿の知恵者を自認しながらも何も見通せない不
明を恥じ入る他はない","The life of the young elf
was offered to the White Dragon.
As a result, the awakened Dragon
uttered the vile name of Diamantes,
the alchemist who caused chaos in Lestania
over 300 years ago.
Ever since the appearance of the Ark,
that name that surfaced in my mind.

However, the true intentions of our adversary
remain unknown.
If we assume that their ultimate goal
continues to be the domination of Lestania,
then how do the current events connect?

A Second Ark flew over the Temple and landed.

I have decided to request a Grand Council.
Sitting at the end, ashamed of my inability
to see through the uncertainty,
despite considering myself
a wise person of the Temple.",ui\00_message\history\001\q00000017.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_53,"　第二のアークがバートランド平原に落下しているこ
とが判明し、今回はわたし自身が調査に行った
　魔物に阻まれて、短時間観察しただけだが、戻り、
記憶がまだ鮮明なうちに古文書の記述や図版と照らし
合わせた。すると、アークの奥底にあった装置の機能
が把握できたのだ
　それは命をエネルギーに変換する装置だった。我々
が「竜力」と呼ぶものとほとんど同じものを、あの装
置は作ることができる
　人が竜と同等の力を手に入れることができるのだ。
けして人間が所有してはいけない代物だ
　ディアマンテスやその息のかかった者どもが装置で
何をしようと企てているのかなど問題ではない。この
レスタニアに存在が許されない装置は今すぐにでも破
壊されねばならないのだ
　案の定クラウスが反対したが、今回ばかりは従って
もらわねばならない。それが彼のためでもあるのだ","The Second Ark has fallen in the Betland Plains,
so I went to investigate it myself.
I was hindered by foes and observed only briefly,
but I was able to compare my memories
to the ancient documents.

I came to understand the function of the device
found at the bottom of the Ark.
It converts energy into life force,
something akin to what we call ""Dragon Force.""
Humans will be able to obtain the power
equivalent to that of a dragon.
It matters not what Diamantes and his followers
are planning to do with the device,
it is not allowed to exist in Lestania
and must be destroyed immediately.

As expected, Klaus opposed it,
but he must comply this time.
It is also for his own sake.",ui\00_message\history\001\q00000018.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_55,"　わたしは一同にアークの破壊を提言し、その方法を
検討することを約束した
　レオが賛成したせいかクラウスも表向きは従ってい
る。レオはどちらかと言えばクラウスにくみすると想
像していたので意外ではあったが、ありがたいこと
だ
　まだ知る者は少ないがクラウスは錬金術師の末裔
だ。ちょっとした誤解が誤解を呼び、神殿での立場を
失う可能性がある
　まだ未熟とはいえ、わたしの次にここに立つのはク
ラウス以外に考えられない。今は反感しかないだろう
が、いつか真意が伝わると信じよう
　追記：レオはイリスをどこかに匿っているらしい。
胸騒ぎがしたが、わたしとてあの子を憎く思っている
わけではない。この件に関しては知らないふりが賢明
だろう","I proposed the destruction of The Ark
to the assembly and vowed to consider the methods.
Thanks to Leo's agreement, Klaus acquiesced.
Nonetheless, I am grateful for it.

Not many know of this yet,
but Klaus is a descendant of alchemists.
A small misunderstanding could lead to him to lose
his position in the Temple.
Although still inexperienced,
I cannot fathom anyone other than Klaus
who could be my successor.
There may be only resentment for now,
but I believe that someday,
true intentions will be understood.

Addendum: It seems Leo is hiding Iris somewhere.
I had a bad feeling, but I do not harbor hatred.
It would be wise to feign igorance on this matter.",ui\00_message\history\001\q00000019.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
