0,,"覚者さんじゃないですか！
城内の散策ですか？","You are an Arisen, aren't you?
Enjoying a stroll around the castle?",ui\00_message\npc\base\n3119.gmd,\npc\n3119.arc,n3119.arc,0,Tanel
0,,"私の地元？
まだ無事なはずだけど――
便りが無いからわからないわ","My hometown? It should still be safe, but... I
don't know because there's no news.",ui\00_message\npc\base\n3141.gmd,\npc\n3141.arc,n3141.arc,2,Harriet
0,,"村人が生きた状態で囚われていたのは
本当に幸運だったわ","It is truly fortunate that the captured villagers
are still alive.",ui\00_message\npc\base\n3141.gmd,\npc\n3141.arc,n3141.arc,3,Harriet
0,,ん、どうも,"Aye, many thanks.",ui\00_message\npc\base\n3142.gmd,\npc\n3142.arc,n3142.arc,0,Liam
0,,"解放された村人もだけど
最近は軍の雰囲気もちょっと変わったよ","Not only among the liberated villagers, but even
the atmosphere within the army has changed
recently.",ui\00_message\npc\base\n3142.gmd,\npc\n3142.arc,n3142.arc,1,Liam
0,,"暇なら俺の
""なんでもないものコレクション""でも見てく？","If you're not busy, why don't you check out my
""Collection of insignificant things""?",ui\00_message\npc\base\n3142.gmd,\npc\n3142.arc,n3142.arc,2,Liam
0,,"あんたに希望っての？
そういうのを見つけたんだよな
それでちょっと落ち着いて眠れるように
なったってやつも多いと思うぜ","You, do you have hope? That's what I have found.
I think it's made a lot of people able to sleep a
little more peacefully.",ui\00_message\npc\base\n3142.gmd,\npc\n3142.arc,n3142.arc,3,Liam
0,,やぁ、変わりないかい？,"Hi there, how goes it?",ui\00_message\npc\base\n3143.gmd,\npc\n3143.arc,n3143.arc,0,Jasper
0,,"ここら辺も少し落ち着いたからか
たまに小鳥を見かけるようになったよ
オークに怯えて隠れてたんだろうね","It may be due to things calming down around here,
but I've started to see small birds again.
They must have been hiding, scared of the Orcs.",ui\00_message\npc\base\n3143.gmd,\npc\n3143.arc,n3143.arc,1,Jasper
0,,"朝早い時間に、クラッカーやパンを
少し砕いて小鳥にあげてるんだ
癒されるよ","Early in the morning, I crumble some crackers or
bread and feed the little birds.
It's deeply soothing.",ui\00_message\npc\base\n3143.gmd,\npc\n3143.arc,n3143.arc,2,Jasper
0,,"周辺の警備やら鍛練やら――
毎日緊張することも多いからね
その合間に楽しみは持っておきたいんだ","Security around the area and training, you
know...
There are many things to be tense about every
day, you know.
So I want to have something enjoyable in between.",ui\00_message\npc\base\n3143.gmd,\npc\n3143.arc,n3143.arc,3,Jasper
0,,"これは覚者様
ご用はなんでしょうかね？","Ah, Arisen.
What can I do for you?",ui\00_message\npc\base\n3144.gmd,\npc\n3144.arc,n3144.arc,0,Beza
0,,"一度潰された村ですからね
これから急いで立て直して、覚者さんや
兵士の皆さんのお役に立てるようにしますよ","It's a village that's been pillaged once before,
you see.
We'll hurry to rebuild it and make ourselves
useful to Ser Arisen and all the soldiers.",ui\00_message\npc\base\n3144.gmd,\npc\n3144.arc,n3144.arc,1,Beza
0,,"この村が元通りになったら
行き場の無い人たちに住まいを
用意することもできるでしょう
ここからはあたしたちが頑張らないとね","Once this village is restored to its former
state, we will be able to provide housing for
those who have nowhere else to go.
We'll have to work hard from here on out.",ui\00_message\npc\base\n3144.gmd,\npc\n3144.arc,n3144.arc,2,Beza
0,,"もうあたしも年なもんだから
後は若い人たちに任せようかと
思ってたけど――","Since I'm getting older now, I thought I should
leave it to the young ones, but...",ui\00_message\npc\base\n3144.gmd,\npc\n3144.arc,n3144.arc,3,Beza
0,,"休めるのはもう少し先みたいですよ
やることがたくさんありますからね","It seems rest will have to wait a little longer.
There's plenty to do, you see.",ui\00_message\npc\base\n3144.gmd,\npc\n3144.arc,n3144.arc,4,Beza
0,,"これはこれは
まだ何も無い村ですが
ゆっくりしていってください","Well, well, this village may not have much yet,
but please, make yourself at home and take it
easy.",ui\00_message\npc\base\n3145.gmd,\npc\n3145.arc,n3145.arc,0,Gallip
0,,"魔軍に囚われていた時は
もう自分に明日は無いんだと
毎晩思ってましたよ――","When I was captured by the demon army, I used to
think every night that tomorrow might not come...",ui\00_message\npc\base\n3145.gmd,\npc\n3145.arc,n3145.arc,1,Gallip
0,,"どうにか私も覚者さんたちの
お力になりたいものです","I hope to somehow be of assistance to you,
esteemed Arisen.",ui\00_message\npc\base\n3145.gmd,\npc\n3145.arc,n3145.arc,2,Gallip
0,,"――今はまだ、身の回りのことを
どうにかするので精一杯ですけどね","But right now, I'm doing my best to care for my
personal affairs.",ui\00_message\npc\base\n3145.gmd,\npc\n3145.arc,n3145.arc,3,Gallip
0,,"猟師をやってたんですが
狩りと戦いは違いますから
私が兵士として戦えるかは――","I used to be a hunter, but hunting and fighting
are different.
Whether I can fight as a soldier...",ui\00_message\npc\base\n3145.gmd,\npc\n3145.arc,n3145.arc,4,Gallip
0,,ああ、覚者さま――,"Oh, Ser Arisen...",ui\00_message\npc\base\n3146.gmd,\npc\n3146.arc,n3146.arc,0,Geren
0,,"囚われて思ったんです
わたしみたいに、戦うこともできない者は
ただ殺されるのを待つしかできないんだって","Being captured made me realize that someone like
me, who can't even fight, can only wait to be
killed.",ui\00_message\npc\base\n3146.gmd,\npc\n3146.arc,n3146.arc,1,Geren
0,,"わたしの人生も燃え溶けていくみたい
解放はされたけど、戦が終わったわけじゃないもの
これからもきっとたくさんの辛いことが――","It seems like my life is also burning away, I may
be liberated, but the war is not over yet.
Surely, there will be many more hardships to
come...",ui\00_message\npc\base\n3146.gmd,\npc\n3146.arc,n3146.arc,2,Geren
0,,"どうしたらいいのかしら
こんなはずじゃなかったわ
幸せってどうやって見つけるものだったかしら","What should I do? This isn't how it was supposed
to be.
I wonder how you're supposed to find happiness.",ui\00_message\npc\base\n3146.gmd,\npc\n3146.arc,n3146.arc,3,Geren
0,,"覚者様は僕たちのこと
いつまで助けてくれるの――？","Master Arisen, how long will you continue to help
us?",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,0,Ted
0,,"もうずっと体の具合がよくないんだ
ううん、戦争が始まる前からだけどね","My physical condition hasn't been good for a
while now.
Not since before the war started, indeed.",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,1,Ted
0,,"きっとこれから大変だよね
村を作り直すんだもん
僕の居場所はあるのかな","I'm sure it's going to be tough from now on,
since we have to rebuild the village.
I wonder if there's a place for me.",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,2,Ted
0,,"魔軍から生きて解放されたし
兵士さんもたくさん来てくれたけど――","I was released from the demon army, and many
soldiers came to help, but...",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,3,Ted
0,,こんにちは・仮,"Hello, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,0,Yuiato
0,,雑談１・仮,"Small talk 1, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,1,Yuiato
0,,雑談２・仮,"Small talk 2, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,2,Yuiato
0,,雑談３・仮,"Small talk 3, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,3,Yuiato
0,,こんにちは・仮,"Hello, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,0,Ira
0,,雑談１・仮,"Small talk 1, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,1,Ira
0,,雑談２・仮,"Small talk 2, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,2,Ira
0,,雑談３・仮,"Small talk 3, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,3,Ira
0,,こんにちは・仮,"Hello, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,0,Kemal
0,,雑談１・仮,"Small talk 1, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,1,Kemal
0,,雑談２・仮,"Small talk 2, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,2,Kemal
0,,雑談３・仮,"Small talk 3, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,3,Kemal
0,,はい、何か,"Aye, what is it?",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,0,Doris
0,,"地下に隠れ潜んでいても
情報収集は怠っておりません
この地区のことであれば、何なりと","Even while hiding underground, I haven't
neglected to gather information.
If it's about this area, feel free to ask
anything.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,1,Doris
0,,"新たな情報でしょうか、それとも
何かお困りのことでも――？","Is there any new information, or is there
something troubling you?",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,2,Doris
0,,"メガドシスにおいて
アッカー家と覚者様をお支えすることが
第一の使命と考えております","In Megado, our first and foremost mission is to
support the Acre family and the esteemed Arisen.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,3,Doris
0,,"まったく頭が痛くなることばかりですね
――いえ、頭痛持ちというわけでは
ありませんが","Seems like nothing but headaches, doesn't it?
—Well, I don't mean I suffer from headaches, but
you get the idea.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,4,Doris
0,,"残念ながら、この状況です
十分な情報を提供できないのは
私も遺憾に思っています","Unfortunately, this is the current situation.
Regretfully, I've naught else to provide.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,5,Doris
0,,"やるべきことをやるのみ
兵士とはそういったものです","We do what we have to do.
That's what being a soldier is all about.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,6,Doris
0,,"メガドを取り戻せたのは僥倖です
――はやく王宮を奪還したいものです
私たちは、本来あそこにいるべきなのです","It is a stroke of luck that we were able to
reclaim Megado.
I hope we can retake the Royal Palace soon.
That's where we should be, where we truly belong.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,7,Doris
0,,"王族を、王都をお守りするのが
我らメガド王宮近衛隊の使命――
一度その名が折れた悔しさを糧に
明日を切り開くのみです","Our mission as the Megado Royal Guard is to
protect the Royal Family and the capital.
We must use the regret of our past failures as
fuel to carve out a path towards a brighter
future.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,8,Doris
0,,"王子を守りぬかねばなりません
何としても――","We must protect the prince.
At all costs...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,9,Doris
0,,"覚者様のお噂、この北の地まで響いてまいりました
王子を――ネド王子を救い出してくださったとのこと
我々近衛隊一同、心よりの感謝を――","Word has reached us, esteemed Arisen, that you
have come to this northern land and rescued Prince
Nedo.
The entirety of the Royal Guard expresses our
heartfelt gratitude for your noble deed.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,10,Doris
0,,"何かお力となりたいのですが、負傷者が多く
この場を動くことが叶わないのです","I would like to be of assistance, but there are
many injured individuals, and I am unable to leave
this location.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,11,Doris
0,,"くっ――
倉庫から日用品の類をかき集めてまいります
せめてもの支給品とさせていただきたく――","Hngh...
I shall gather some supplies from the warehouse
and provide them as at least some form of
support...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,12,Doris
0,,"無いよりはまし、といった程度かも
しれませんが――これが今お渡しできる品々です
どうかご武運を","It may be little better than nothing, but this is
the extent of what I can offer you at the moment.
Please accept these items and may you have good
fortune in battle!",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,13,Doris
0,,"ちょうど良いところにおいでくださいました
今週の支援品を準備していたのです
まだ十分とはいえませんが
ある程度は使えるかと――","You have come at just the right time.
I was preparing this week's supplies.
It may not be enough, but should be useful to
some extent...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,14,Doris
0,,"覚者様、ぜひこちらをお持ちください
微力ながら、日々貴方を支援することが
王家の再興に繋がるとかたく信じております","Dear Arisen, please take this with you.
I firmly believe that supporting you every day,
to the best of my abilities, will contribute to
the revival of the Royal Family.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,15,Doris
0,,"ハァ――各地にて苦境にある者からの
報告が絶えず舞い込んでくるのです
とはいえ、我々もこの有様――","Haah... We are constantly receiving reports of
distress in various regions.
But even we are in this predicament...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,16,Doris
0,,"覚者様、どうか彼らにも
手を差し伸べてはいただけませんか？
その代わりにという訳ではありませんが、
稀少な素材が採れる場所をお伝えしましょう","Dear esteemed Arisen, would you kindly extend a
helping hand to them as well?
It is not meant as compensation, but allow me to
share with you a location where rare materials can
be found.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,17,Doris
0,,"メガドを奪還するのであればニルビリス大橋を
確保すべきでしょう
この橋は城塞都市としての要の一つでもあります","If we are to reclaim Megado, we should secure the
Great Nilviris Bridge.
This bridge is also one of the key points in our
fortress city.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,18,Doris
0,,"しかし、魔軍の連中もそのことは承知の上と見え
橋の防衛を強化しているようです
我々の戦力では突破は叶いませんが
覚者様であれば、あるいは――！","However, it seems that the demon army is well
aware of this and has strengthened the defense of
the bridge.
With our current forces, breaking through is
impossible.
But if it's the Arisen, perhaps...!",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,19,Doris
0,,"戦場にて共に戦えず、申し訳ありません
少しでも支援品を増やせるよう
兵たちにも物資の節約を呼びかけている次第です","We regret that we cannot fight with you on the
battlefield.
We are also asking our soldiers to conserve
supplies so that we can increase our relief
supplies as much as possible!",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,20,Doris
0,,"覚者様、ご無礼を承知で申し上げますが
見たところ、覚者様の武具はこの地の魔物には
少々不向きなご様子――","Dear Arisen, please forgive my impoliteness, but
it seems that your equipment may be a little
unsuitable for the creatures of this land...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,21,Doris
0,,"良い素材が採れる場をご案内いたしましょう
魔物が徘徊する薄暗き水路ではありますが
覚者様であれば問題にはならないはずです","Allow me to guide you to a place where you can
gather good materials.
It is a dimly lit waterway where monsters wander,
but it should not be a problem for an Arisen like
yourself.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,22,Doris
0,,"実は、悪しき竜による襲撃があった日――
同時にメガド市街に大勢のオークが姿を現したのです
城壁の外と内からの攻撃に、メガドは
一日と持ちませんでした","On the day of the evil dragon's attack, a large
horde of Orcs simultaneously appeared in the
streets of Megado.
The city fell within a day, overwhelmed by
attacks from both inside and outside the walls.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,23,Doris
0,,"今思い返しても、それが妙でして――
悪しき竜の襲撃こそ突然だったものの、それまで
街の防衛に問題はなかったのです","Even looking back on it now, it was strange—
The attack of the Evil Dragon was sudden, but
until then, there were no problems with the
defense of the town.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,24,Doris
0,,"いえ、仮に何者かが魔軍の侵入を手引きしたとして
それを察知できなかった近衛隊の落ち度ということに
変わりはありませんが――","Even if someone aided the Demon Army's
infiltration, the fact remains that it was a lapse
in judgment on the part of the Royal Guard that
they failed to detect it.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,25,Doris
0,,"しかし、我々の情報収集能力とて
低くはないと自負しています
この規模となった今も、魔物が集まりつつある場は
把握しているのですから","However, we take pride in our ability to gather
information.
Even now, at this scale, we are aware of the
areas where monsters are gathering.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,26,Doris
0,,"――我々は""メガド王宮近衛隊""
この都市と、王族をお守りするため編成されました
自力での奪還こそ叶いませんでしたが
再びここに立つことができ、感慨無量です","We are the 'Megado Royal Palace Royal Guard',
organized to protect this city and the Royal
Family.
Although we were unable to recapture it on our
own, being able to stand here once again fills us
with overwhelming emotions.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,27,Doris
0,,"近衛隊元隊長ベイジル
そしてこれまでに散っていった隊員たちの魂も
我々と共に、今ここにあることでしょう","Former Captain of the Royal Guard, Basil.
And the souls of the noble departed here with us,
now, in this very moment.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,28,Doris
0,,"時に――メガドには、王家の命により封鎖している
隠し扉がいくつか存在します","By the way—Megado has several hidden doors sealed
by the orders of the Royal Family.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,29,Doris
0,,"しかし、この非常事態です
覚者様のお力無しに状況を打開できぬことは明白
王宮近衛隊隊長の名に於いて、全てを解放いたします","However, in this state of emergency, it's clear
that we cannot overcome the situation without the
Arisen's power.
In the name of the Royal Guard's Captain, I
hereby release everything to you.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,30,Doris
0,,"城塞都市メガドが完全に""王都""として戻るまで
どうかお力をお貸しください","Until the fortress city of Megado returns
completely to the ""Royal Capital,"" please lend us
your strength.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,31,Doris
0,,"先日覚者様もご覧になったメガド回廊には
さらなる深部が存在します","In the Megado Corridor, which the esteemed Arisen
has recently witnessed, there exists even deeper
sections.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,32,Doris
0,,"脅威となる魔物が跋扈していますが
それだけ、今まで調査の手が入らなかった
場でもあります――
つまり、それだけ貴重な素材が手に入るのです","There are rampant threats from dangerous
monsters, which is why there hasn't been much
investigation in these areas until now.
In other words, it's an opportunity to obtain
valuable materials.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,33,Doris
0,,"異国の覚者様
これよりお話することは
他言無用にお願いいたします","Master Arisen of a foreign land.
I implore you to keep what I am about to divulge
to you, a secret.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,34,Doris
0,,"王家――アッカー家の方々は
代々アッカーシェランを守護してこられました
しかし、輝かしき統治には――
陰となる部分があるのです","The royal family, the Acres, have protected Acre
Selund from generation to generation.
However, even in the midst of their glorious
rule, there exists a shadow.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,35,Doris
0,,"無事のご帰還、お喜び申し上げます
アッカー家の統治無くしてアッカーシェランは無し
王家を守ることは、我らの国を守ることに
他なりません","We are delighted to welcome your safe return.
Without the rule of House Acre, there would be no
Acre Selund.
Protecting the Royal Family is tantamount to
protecting our nation, nothing less.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,36,Doris
0,,"過去の古き傷ともいうべき魔物の征伐
王家に仕える者として最大の感謝を――","Conquering the ancient wounds, so to speak, of
the monsters.
As a servant of the Royal Family, I am most
grateful...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,37,Doris
0,,"覚者様――我々も、再び困難に
立ち向かう覚悟はできています","Master Arisen, we too are prepared to face
difficulties once again.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,38,Doris
0,,"悲観する者もいるでしょうが
ネド王子がご健在です","There may be some pessimism about, but Prince
Nedo is alive and well.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,39,Doris
0,,"それに、我々兵士とて数は減ったものの
厳戒態勢を解いたわけではありません
すぐに動くことができますから","Furthermore, although the number of soldiers may
have decreased, we have not lifted our state of
high alert. We can still move quickly.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,40,Doris
0,,"この世には、理解も及ばぬほどの
圧倒的な力があるのでしょうね
あの渦を見ていると、そう思わされます","In this world, there is an overwhelming power
that eludes comprehension.
When I behold at that vortex, that's all I can
say.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,41,Doris
0,,"メガドの民は強いものです
――不安はあるでしょうが
生きようとしています","The people of Megado are strong.
—Though they may have fears, they fight to
survive.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,42,Doris
0,,"ここまでよく来てくれた
薄暗いところだが、今のところは安全だ
少し足を休めていくといい","You've come here quite far.
It's dimly lit, but for now, it's safe.
Take a moment to rest your legs.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,0,Lucas
0,,"こんなことを言うのも気が引けるが
隠れ潜むのも楽なことではない――
寝床の代価として<VAL PRICE_INN>を
貰えないだろうか","While I may be hesitant to say such things, it is
also not easy to beat around the bush—
Could I receive <VAL PRICE_INN> as compensation
for the use of my sleeping quarters?",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,1,Lucas
0,,はい,Yes,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,2,Lucas
0,,いいえ,No,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,3,Lucas
0,,"魔軍だらけのなか、よくぞ無事で
エリ警備塔まで辿り着いてくれた――
我々も数が減って寝床が余っている状態だ
自由に休んでいってくれ","Amidst the sea of demon soldiers, it is truly
remarkable that you have safely made it to the Eli
Guard Tower.
We, too, have fewer numbers and more empty beds.
Please feel free to rest.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,4,Lucas
0,,はい,Yes,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,5,Lucas
0,,いいえ,No,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,6,Lucas
0,,"《弱化の治療》か――
治療には物資を使わねばならない
<VAL PRICE_WEAK>あれば
準備できるが、それでもいいのか？","""Treat Weakness?""
Alas, the procedure requires resources.
If <VAL PRICE_WEAK> is available we can prepare,
but is that acceptable?",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,7,Lucas
0,,はい,Yes,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,8,Lucas
0,,いいえ,No,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,9,Lucas
0,,"《弱化の治療》は必要ないな
ここへ来るまでに治ったんだろう","There is no need to ""Treat Weakness.""
You must have recovered before coming here.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,10,Lucas
0,,"――シッ
外は魔物だらけだ
少し声を落としてくれ","Shh, there be demons out there.
Lower your voice a little.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,11,Lucas
0,,"王宮が――メガドが魔軍の手に堕ちた時――
一刻も早く周辺領の諸侯たちに伝えなければと
ひたすらに走ったんだ","The Royal Palace—when Megado—fell into the hands
of the demon army, I ran tirelessly, knowing that
I had to inform the feudal lords of the
surrounding territories as soon as possible.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,12,Lucas
0,,"だが、そうする必要も無いことに
すぐに気付いた",But soon I realized that I didn't have to.,ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,13,Lucas
0,,"危機にあったのはメガドだけではなく――
戦火はアッカーシェラン全土から
上がっていたからな","It was not just Megado that was in crisis -
the flames of war were rising from all over Acre
Selund.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,14,Lucas
0,,"何が起ころうとも
メガドを見放さないと決めたのは
ドリス副隊長だ
――俺も同じ気持ちだった","No matter what happens, Vice Captain Doris made
the decision to never abandon Megado.
I felt the same way.",ui\00_message\npc\base\n3201.gmd,\npc\n3201.arc,n3201.arc,15,Lucas
0,,"必要な物があれば手配しますよ
ここで手に入るものに限りますがね","If there's anything you need, I can arrange it
for you.
It's limited to what we can get here, though.",ui\00_message\npc\base\n3202.gmd,\npc\n3202.arc,n3202.arc,0,Umit
0,,"メガドが襲撃された際の戦闘で
足を負傷しまして――
未だに立っていられないんです
歩く時も支え無しでは難しいですね","During the battle of Megado, I sustained an
injury to my leg—
I still can't stand, and even walking is
difficult without support.",ui\00_message\npc\base\n3202.gmd,\npc\n3202.arc,n3202.arc,1,Umit
0,,"――私がいなければ
皆もっと身軽に動けるのかもしれません
こんなところでじっとしていなくても――","...If I weren't here, everyone might be able to
move more freely.
We wouldn't have to stay still in a place like
this...",ui\00_message\npc\base\n3202.gmd,\npc\n3202.arc,n3202.arc,2,Umit
