0,,"でも、いくらあなたが強くても
魔物がいっぱいいるところを木材かついで
歩くわけだから――
気を付けていってきてね","But no matter how strong you are, you're going to 
be walking through a place full of monsters with 
a load of lumber on your back...
So... take care of yourself.",ui\00_message\quest\q10300200.gmd,\quest\q10300200.arc,q10300200.arc,20,Carrie
0,,"この辺りに落ちてる物のこと
詳しそうな人っていないかな――","Could there be anyone nearby who knows more 
about the items scattered around here――?",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,9,Carrie
0,,"あれっ、<COL ff2600>《水はけの良い石》</COL>――！
またあなたが見つけてくれたの！？","Oh! <COL ff2600>《Highland Akadama》</COL>! 
You found it again, Ser?!",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,10,Carrie
0,,"アタシも今回はちゃんと覚えてたんだけどなぁ
魔物を警戒するあまり、視野が
狭くなってたのかしら","I made sure to remember this time, but... 
Maybe I became so wary of the monsters 
that my vision became narrower than usual.",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,11,Carrie
0,,"ともあれ、これで井戸が直せそう
やっぱりあなたに言っておいてよかったわ！","Well, I think we can fix the well now. 
I'm so glad I told you!",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,12,Carrie
0,,"次にあなたが来てくれる頃には
きっともっと食堂らしくなってるはずよ
ありがとう！","By the time you come again, 
the dining hall should definitely 
feel more like one. 
Thank you!",ui\00_message\quest\q10300202.gmd,\quest\q10300202.arc,q10300202.arc,13,Carrie
0,,"調理台に棚、釜戸に井戸――
一通り料理できるようになったし
ガレキも大方片付いたわ！","Kitchen equipment, a hearth, and a well. 
Now I can cook a full meal, 
and most of the rubble is cleared away!",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,0,Carrie
0,,"どう？
もうすっかり「大食堂！」って
感じがするでしょ？","How is it? 
Doesn't it feel like a Great Dining Hall already?",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,1,Carrie
0,,"でも、ここまで来たら
あと何か一つくらい欲しくなっちゃって――","Now that we've come this far, 
I kind of want to add just one more thing...",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,2,Carrie
0,,"そう、目玉になるようなものがあればなって
来てくれるみんなが喜んでくれそうな何か――","Yeah, I think something really special would be nice... 
something that would make 
everyone who comes here happy.",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,3,Carrie
0,,"ううん、今に不満があるってわけじゃないんだよ！
――人間、ちょっと上手くいくと
欲が出ちゃってダメだね","No, I'm not dissatisfied with what we have! 
It's just... people, when things go well, 
sometimes want even more.",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,4,Carrie
0,,"ううん――
戦いに疲れてここに来るみんなが
ちょっと気分をほぐせるような――","No, no―― 
Those who arrive here, 
tired from their battles, 
ought to relax a bit...",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,5,Carrie
0,,"お酒、かな？
温かい食事に、ちょっとしたお酒が楽しめたら
きっと日々の活力にもなるよね","Drinks, maybe?
A little drink to go with the warm meals... 
It would certainly give people 
energy for their daily lives.",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,6,Carrie
0,,"この大食堂にはたくさんの人に
集まって欲しいから――
とにかくでっかい酒樽が欲しいな！","I want a lot of people to gather in this 
Great Dining Hall... 
So I really want a huge keg of wine!",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,7,Carrie
0,,"そうなると相当<COL ff2600>《巨大な木材》</COL>が
必要になるけど――
あったかな、そんなの――","That means we'll need a ton of <COL ff2600> 《Giant Lumber》 </COL>...
So, where can we get 
something like that...	",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,8,Carrie
0,,"――あ、今回は自分で見つけるから
大丈夫だよ！","--Oh, don't worry, 
I'll find it myself this time!",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,9,Carrie
0,,"酒樽が欲しいっていうのは
何ていうか、アタシの贅沢みたいなものだから
あなたにお願いしちゃいけないと思うの","Wanting a barrel of wine is, how can I say, 
something like a little indulgence for me.
I think I shouldn't ask you 
for something like that.",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,10,Carrie
0,,"う～ん――
<COL ff2600>《巨大な木材》</COL>さえあれば
後は気合いで作ってもらうんだけどなぁ、酒樽","I wonder... 
If I could just get my hands on <COL ff2600>《Giant Lumber》 </COL>... Then I could have someone craft a keg, 
you know, with a little extra effort.",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,11,Carrie
0,,"――あ、今回は自分で見つけるから
大丈夫だよ！","--Oh, don't worry, 
I'll find it myself this time!",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,12,Carrie
0,,"ええっ！
また見つけておいてくれたの！？","Eh!
You found it again!?",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,13,Carrie
0,,"今回こそは自分で見つけようと思ってたんだけど
やっぱり余裕が違うのかな","I was hoping to find it myself this time, 
but I guess there's a difference in our abilities.",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,14,Carrie
0,,"<COL ff2600>《巨大な木材》</COL>、ありがとうね――！
これで酒樽が手に入りそう
みんなの喜ぶ顔が今から目に浮かぶわ！","<COL ff2600>《Giant Lumber》 </COL>! 
Thank you so much! Now I can get a keg. 
I can already see everyone's happy faces!",ui\00_message\quest\q10300203.gmd,\quest\q10300203.arc,q10300203.arc,15,Carrie
0,,"見てみて、大食堂としての設備が
だいぶ整ったと思わない？","Look around, don't you think the dining hall 
is coming along nicely?",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,0,Carrie
0,,"まだまだやらなきゃいけないことはあるけど
ここまでやってこれて、本当に嬉しくって！","There's still more work to be done, but
I'm really happy to have made it this far!",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,1,Carrie
0,,"いつも本当にありがとう！
お世話になってばっかりだから
今日はちょっとお礼がしたいな","Thank you so much for everything! 
Since you've been taking care of me, 
I'd like to do something nice for you today.",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,2,Carrie
0,,"解放軍の人たちも手を貸してくれるし
あなたにもとってもお世話になってるし――
ひとりでどうしようかって
悩み込んでた頃とは大違い！","The Liberation Army is helping me, too, and I've 
been getting so much help from you... 
It's so different from how I struggled to figure 
things out on my own.",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,3,Carrie
0,,"ブラッドとローナも
たくさん協力してくれたんだ
解放軍の人たちを取りまとめてくれたり――","Brad and Lorna helped a lot too. 
They've done things like coordinating 
the Liberation Army people...",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,4,Carrie
0,,"ここの設備が整ってきたことも
すごく喜んでくれて――
二人とも、本当に良い人だよね","They were also quite happy 
the facilities here were so well-equipped...
Both of them are really nice people",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,5,Carrie
0,,"それでね、本当にささやかなんだけど
今日はお礼をしたいと思うんだ","Well, it isn't much but,
I wanted to say thank you today",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,6,Carrie
0,,"はい、コレ！
ブラッドとローナにも分けてあげてね","Here, take it!
Please share some with Brad and Lorna too.",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,7,Carrie
0,,"さて、作業を手伝ってくれた解放軍の人たちに
配る分も作らなきゃ――","Well, I also have to distribute a portion
to people in the Liberation Army who 
helped with the work...",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,8,Carrie
0,,"キャリーからの差し入れだって？
ちょうど腹が減ってたんだ
こういう気遣いは嬉しいな――
ありがたくいただくよ！","Carrie sent you?
I was just getting hungry.
That's very considerate of you...
I appreciate it!",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,9,Brad
0,,"やっといくつかの設備が揃っただけなのに
嬉しがりなんだね、あの子","We finally got a few of the facilities set up,
she looks happy, doesn't she?",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,10,Lorna
0,,"ふふ、それにしてもわざわざ
「お礼」だなんて可愛いじゃない
それじゃあ休憩する時にでもいただこうかな","Heh, well, it's cute of them 
going out of their way to say ""thank you""
maybe I'll have it later when I take a break.",ui\00_message\quest\q10300204.gmd,\quest\q10300204.arc,q10300204.arc,11,Lorna
0,,"ねぇ！
ピレモスへ運ぶ食料
準備できたから行きたいな！","Hey!
The food to be transported to Piremoth
is ready, I'd like to come with!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,0,Carrie
0,,"よーし！
そうこなくっちゃね！","Nice!
Just as expected!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,1,Carrie
0,,"アタシはいつでも大丈夫だから
準備できたら声かけてね！","I am always prepared, so call on me when ready!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,2,Carrie
0,,"今回は無事に運べてよかったね！
食料！","The food!
I'm glad it arrived safely this time!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,3,Carrie
0,,"ピレモスの人たち
まだ困ってるから
また手伝ってね！","Piremoth's people
are still in trouble,
please aide them again!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,4,Carrie
0,,"こんな辺境の村まで
食料運んでくれてありがとう","Thank you for bringing
food to such a remote village.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,5,Andrea
0,,"今は少しでも助けが欲しい時だから
遠慮せず頼らせてもらうよ","I could use a little help right now, so
I won't hesitate to accept assistance.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,6,Andrea
0,,"キャリーにも
お礼言っておいて","Tell Carrie
thank you, for me?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,7,Andrea
0,,"あ！
もう準備できた？","Ah!
Have you prepared yourself?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,8,Carrie
0,,"それじゃあさっそく出発！
とりあえず――どっち行く？","Well then, let's go!
But first... which direction?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,9,Carrie
0,,穏やかな野原（かんたん）,"""Calm Field"" (Easy)",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,10,Carrie
0,,険しい山道（難しい）,"""Steep Mountain Path"" (Hard)",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,11,Carrie
0,,"砦の近くだし
ここはまだ安心だね！","We're close to the fort,
so it's still safe here!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,12,Carrie
0,,散歩気分でフラっと出発！,"I felt like taking a walk
and set off on a whim!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,13,Carrie
0,,"あまり行かない場所だから
ちょっと心配だな...","Since it's a place I don't visit often, 
I'm a bit worried...",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,14,Carrie
0,,"あなたの後ろ
ピタっと貼り付いてくからヨロシクね！","I'm going to stick
right behind you!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,15,Carrie
0,,"ここはもう何もなさそうね
じゃあ～次行こっか","There doesn't seem to be anything left here.
Okay... let's move on.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,16,Carrie
0,,"ふぅー
なんとかピレモスまでたどり着いたねー","Phew...
We managed to make it all the way to Piremoth.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,17,Carrie
0,,"運んできた食料は村の人に渡しておくから
アンドレアに一声かけてきてね！","I'll deliver the food we brought to the villagers,
so please find Andrea!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,18,Carrie
0,,"さてと！
無事にピレモスに食料運べたし
アタシたちは砦に帰ろっか！","Well then!
We got the food safely to Piremoth,
shall we go back to the fort?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,19,Carrie
0,,丘に向かいます（仮）,Head for the hill (tentative),ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,20,Carrie
0,,川辺に向かいます（仮）,Head to the riverside (tentative),ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,21,Carrie
0,,ピレモスに向かいます（仮）,Head to Piremoth (tentative),ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,22,Carrie
0,,山道から丘に向かいます（仮）,Head to the hill from the mountain path (tentative),ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,23,Carrie
0,,"なんかさ
水辺に来るとゾワっっとするんだよね","Something about the waters edge,
gives me the creeps...",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,24,Carrie
0,,"たぶん""アイツ""がいそうだからかな
苦手なんだよねー
あのなんかシメっぽい感じが！","I get a weird feeling ""It"" is around.
I hate the feeling of unease, you know?
Something feels off!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,25,Carrie
0,,"ああ　想像しただけで
なんだかムズムズしてきた...","Ah... Just imagining it
makes me uneasy...",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,26,Carrie
0,,"水辺にいる""アイツ""？","Is ""It"" by the water?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,27,Carrie
0,,警戒は必要だ,We should be vigilant.,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,28,Carrie
0,,えっと...大丈夫？,Um...is everything okay?,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,29,Carrie
0,,"ダメ！アイツが今出てきたらやばい！
もうがまんできない！","This is bad!
If it shows up now we're finished!
I can't take it anymore!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,30,Carrie
0,,"ここに埋める！埋めるわ食料！
緊急事態に備えないとっ！","Bury it here! I'll stockpile the food!
We must prepare for an emergency!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,31,Carrie
0,,"このあたり...
い...いないよね
いたらすでに大惨事だもんね","There's no one around here, right? 
If there was, we'd already be in trouble.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,32,Carrie
0,,"落ち着けアタシ！
スーハー！スーハー！
深呼吸！","I need to calm down!
Breathe, breathe.
Just...breathe.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,33,Carrie
0,,"あ...アイツが来る前に
隠れるための穴掘らないと！","Ah...I need to dig a hole to hide in
before that thing comes!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,34,Carrie
0,,（ザクザクザクザク！！）,"*Crunch, Crunch, Crunch!*",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,35,Carrie
0,,...って、あっ！,"Oh, ah!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,36,Carrie
0,,"これってアタシの大好物！
ラッキー！
もらっとこう♪","This is my favorite food!
Lucky! I'll take that♪",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,37,Carrie
0,,"ねぇ
このあたりあやしそうだから
ちょっと掘ってみようかと思うんだけど...","Hmm,
This place looks fishy,
I think I'll try digging here...",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,38,Carrie
0,,どのへん掘るのがいいかなー？,"Now, where should I dig?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,39,Carrie
0,,足元まっすぐ！,Keep those feet straight!,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,40,Carrie
0,,もう少し右...かな,Maybe a little further to the right?,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,41,Carrie
0,,う～ん　じゃあ気持ち左で！,"Hmm, actually a bit to the left!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,42,Carrie
0,,"やっぱりこういう時は
まっすぐ真下がセオリーよね！","In times like these, sometimes the best theory
is digging straight down!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,43,Carrie
0,,（ザクザクザクザク！！）,"*Crunch, Crunch, Crunch!*",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,44,Carrie
0,,おおおおおおおおっ！,Oh? Ohh!!,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,45,Carrie
0,,"見て！
こんなにたくさん食べれそうなものが！
まさに宝の山だね！","Look at this!
So many things to eat!
It's a treasure trove!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,46,Carrie
0,,"よし！
少し右だね！
任せて！","Okay!
Just a little to the right!
I'm on it!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,47,Carrie
0,,（ザクザクザクザク............）,"*Crunch, Crunch, Crunch!*",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,48,Carrie
0,,おっ！,Hm!?,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,49,Carrie
0,,"少しだけだけど
食べられそうなものあったよ！","I didn't find much but 
looks edible!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,50,Carrie
0,,"よし！
少し左掘ってみるね！","Alright!
I'll try digging slightly to the left!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,51,Carrie
0,,（ザクザク......ザク......ザク......）,"*Crunch, Crunch, Crunch!*",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,52,Carrie
0,,"うーん
何もないかぁ
残念！","Hmm...
Nothing here.
That's too bad.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,53,Carrie
0,,"みてみて！
かわいいでしょ？この子たち","Take a look!
Aren't they cute?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,54,Carrie
0,,"アタシがいっつも
おいしいごはんあげてるの！","I always give you
delicious food!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,55,Carrie
0,,"あ――でも
恥ずかしがり屋の次男坊
""ミディ""がいないんだよねー","Ah...but
the shy little one
""Midi"" isn't here?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,56,Carrie
0,,"近くにいるはずだから
代わりにごはん
あげてきてくれないかな？","He should be nearby,
Could you bring me some food for him?",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,57,Carrie
0,,"あ　ミディ見つかった？
ブタさんの一心不乱にユルい感じ
なんだか癒されるよねー","Ah, did you find Midi?
That pig's Easy-going,
relaxed look always puts me at ease.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,58,Carrie
0,,う～ん　食べられそうなものは...,Hmm... something edible...,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,59,Carrie
0,,何かないかなぁ？,I wonder if there's anything?,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,60,Carrie
0,,ねぇ！,Hey!,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,61,Carrie
0,,えぇ！？,Eh!?,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,62,Carrie
0,,こっち来ないでってば！,Don't come over here!,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,63,Carrie
0,,これは食べられそうだね！,This looks edible!,ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,64,Carrie
0,,"あ！見て見て！
ウサギがこんなにたくさん！","Ah! Look, Look!
There are so many rabbits!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,65,Carrie
0,,"これだけいれば
それなりの食料になるね！","This should be plenty to make
a decent meal!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,66,Carrie
0,,"よーし！
この調子で
""秘密のスポット""に行っちゃうんだからっ！","Alrighty!
Keep going this way and we'll
be at the ""secret spot"" in no time!",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,67,Carrie
0,,"なんか――やたらデカいネズミ
いるね――","I think... there's a
really big rat here...",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,68,Carrie
0,,"さすがにこれは
ちょっと食べられないかなぁ","This might be too much for me,
I can't eat this.",ui\00_message\quest\q10300300.gmd,\quest\q10300300.arc,q10300300.arc,69,Carrie
