0,q40200005_00_305,物資運搬路の安全確保,Securing Transport Routes,ui\00_message\quest_info\q40200005_00.gmd,\quest\q40200005.arc,q40200005.arc,0,
1,q40200011_00_311,"まだはっきりとは言えないものの
<LQIM>を加工すれば医薬品として使えるかもしれないわ
効果を検証したいから、<LQVA>個調達をお願い","Although it's not confirmed yet, 
<LQIM> might be usable as medicine. 
I want to test its effects, 
so please procure <LQVA> of them.",ui\00_message\quest_info\q40200011_00.gmd,\quest\q40200011.arc,q40200011.arc,1,
0,q40200012_00_312,土産の材料,Supplies for a Souvenir,ui\00_message\quest_info\q40200012_00.gmd,\quest\q40200012.arc,q40200012.arc,0,
1,q40200012_00_312,"急ぎの用ではないのですが、
<LQIM>を<LQVA>個ほどいただけないでしょうか
小さなおもちゃでも作って、レスタニアの子供たちへの土産としたいのです","It's not urgent, but could you get <LQVA> of 
<LQIM>? 
I'd like to make small toys for the children in 
Lestania as souvenirs.",ui\00_message\quest_info\q40200012_00.gmd,\quest\q40200012.arc,q40200012.arc,1,
0,q40200013_00_313,仕事終わりの一風呂,A Bath After Work,ui\00_message\quest_info\q40200013_00.gmd,\quest\q40200013.arc,q40200013.arc,0,
1,q40200013_00_313,"<LQIM>を持ってないか？　<LQVA>個ほどでいいんだが――
あれを刻んで風呂の湯に入れると、不思議とコリがほぐれるんだ
キノザの湯ほどじゃねぇが中々だぜ","Do you have any <LQIM>? 
Just <LQVA> would be fine. 
If you add it to the bathwater, 
it oddly helps with muscle soreness. 
It's not as good as Kinoza's hot springs, 
but it's pretty decent.",ui\00_message\quest_info\q40200013_00.gmd,\quest\q40200013.arc,q40200013.arc,1,
0,q40200014_00_314,どこにあるんだ,Where Is It,ui\00_message\quest_info\q40200014_00.gmd,\quest\q40200014.arc,q40200014.arc,0,
1,q40200014_00_314,"任務の合間に<LQIM>を探しているが、中々見つからない
<LQVA>個ほど融通してもらえないだろうか","I'm looking for <LQIM> between missions, 
but it's hard to find. 
Could you help me out with <LQVA>?",ui\00_message\quest_info\q40200014_00.gmd,\quest\q40200014.arc,q40200014.arc,1,
0,q40200015_00_315,裏マーケット需要,Back Alley Market Demand,ui\00_message\quest_info\q40200015_00.gmd,\quest\q40200015.arc,q40200015.arc,0,
1,q40200015_00_315,"魔赤島で採れたものとなれば、その珍しさから裏のマーケットで値段が吊り上がるのは必然――
率直に申し上げます、我らの商会へ<LQIM>を<LQVA>個送っていただけませんか
ええ、お礼はいたしますとも――","Due to their rarity, items from
Bloodbane Isle naturally
fetch higher prices on the
black market. To be straightforward,
could you send <LQVA> 
<LQIM> to our trading company?
We will certainly provide a
reward.",ui\00_message\quest_info\q40200015_00.gmd,\quest\q40200015.arc,q40200015.arc,1,
0,q40200016_00_316,調査を手伝いたくて,Wanting to Help Investigate,ui\00_message\quest_info\q40200016_00.gmd,\quest\q40200016.arc,q40200016.arc,0,
1,q40200016_00_316,"やあ、魔赤島の調査は進んでいるかい？
もしよかったら<LQIM>を<LQVA>つ送ってくれないかな
採取物を解析することで、その島について何かわかることがあるんじゃないかと思うんだ","Hey, how's the Bloodbane Isle research going? 
If possible, could you send <LQVA> of 
<LQIM>? Analyzing these samples might 
reveal something about the island.",ui\00_message\quest_info\q40200016_00.gmd,\quest\q40200016.arc,q40200016.arc,1,
0,q40200017_00_317,魔赤島調査隊のモノ好き仲間へ,For the Bloodbane Isle Scouts With Strange Tastes,ui\00_message\quest_info\q40200017_00.gmd,\quest\q40200017.arc,q40200017.arc,0,
1,q40200017_00_317,"魔赤島にはそっちでしか手に入らないようなものも多いんだろ？
これは珍品コレクターとしては黙っちゃいられない！
そこで、魔赤島調査隊に選ばれしお前さんに頼みごとだ
<LQIM>ってやつを<LQVA>個送ってくれないか","Bloodbane Isle has many
items that can only be found there,
right? As a rare item collector,
I can't stay silent about this!
So, I'm asking you, who's
been chosen for the Bloodbane Isle 
exploration team,
to send <LQVA> <LQIM>.",ui\00_message\quest_info\q40200017_00.gmd,\quest\q40200017.arc,q40200017.arc,1,
0,q40200018_00_318,礼はするって話だぜ,My Thanks,ui\00_message\quest_info\q40200018_00.gmd,\quest\q40200018.arc,q40200018.arc,0,
1,q40200018_00_318,"<LQIM>を<LQVA>個都合してくれって依頼されたが、
あいにく俺はレスタニアからの物資を管理するので手一杯だ
誰か持ってる奴がいたら分けてやってくれねぇか","I was asked to procure <LQVA> of 
<LQIM>, but unfortunately, 
I'm swamped managing supplies from Lestania. 
If anyone has some, could you share?",ui\00_message\quest_info\q40200018_00.gmd,\quest\q40200018.arc,q40200018.arc,1,
0,q40200019_00_319,魔赤島の珍味,Bloodbane Isle Delicacy,ui\00_message\quest_info\q40200019_00.gmd,\quest\q40200019.arc,q40200019.arc,0,
1,q40200019_00_319,"魔赤島の調査をしている皆さんにお願いがある
とある筋から知ったのだが――そちらで<LQIM>というものが採れるじゃないか
それを是非とも食したいのだ！
<LQVA>つほど送ってはもらえないだろうか","I have a request for those researching 
Bloodbane Isle. I heard from a reliable source 
that <LQIM> can be found there. 
I really want to try it! 
Could you send <LQVA> of them?",ui\00_message\quest_info\q40200019_00.gmd,\quest\q40200019.arc,q40200019.arc,1,
0,q40200020_00_320,＜エリアオーダー＞魔赤島補給,Area Order: Bloodbane Isle Resupply,ui\00_message\quest_info\q40200020_00.gmd,\quest\q40200020.arc,q40200020.arc,0,
1,q40200020_00_320,"エリアマスターとしての補給依頼だ！
この拠点の手入れに必要な<LQIM>を<LQVA>個頼む
意外かもしれんが、ここは基盤こそ自然洞窟を利用しているものの
居住性の向上や補修、今後の拡張のために常に手を入れているからな","As the Area Master, I'm requesting
<LQVA> <LQIM> for maintaining
this base. It may be unexpected,
but although we use natural caves
as our foundation, we're always
working on enhancing living conditions
and planning for future expansion.",ui\00_message\quest_info\q40200020_00.gmd,\quest\q40200020.arc,q40200020.arc,1,
0,q40200021_00_322,静かな休息時間のため,For A Quiet Rest,ui\00_message\quest_info\q40200021_00.gmd,\quest\q40200021.arc,q40200021.arc,0,
1,q40200021_00_322,"拠点のそばで<LQEM>が騒ぐことがあるでしょう
隊員の大切な休息の時間を邪魔されたくないのよね
<LQVA>匹討伐をお願いするわ","<LQEM> sometimes causes 
disturbances near the base. I don't want to 
disrupt the important rest time of the 
team members. Please defeat <LQVA> of them.",ui\00_message\quest_info\q40200021_00.gmd,\quest\q40200021.arc,q40200021.arc,1,
0,q40200022_00_323,歯型付きのふくらはぎ,Teeth Marks on the Calf,ui\00_message\quest_info\q40200022_00.gmd,\quest\q40200022.arc,q40200022.arc,0,
1,q40200022_00_323,"<LQEM>を<LQVA>匹、退治しといてくれ
理由は聞くなよ
噛まれたふくらはぎが傷むんでな","Please deal with <LQEM>—
<LQVA> of them. Don't ask why. 
My calf, which was bitten, is aching.",ui\00_message\quest_info\q40200022_00.gmd,\quest\q40200022.arc,q40200022.arc,1,
0,q40200023_00_324,散歩道での遭遇,A Run-In on the Path,ui\00_message\quest_info\q40200023_00.gmd,\quest\q40200023.arc,q40200023.arc,0,
1,q40200023_00_324,"どなたか<LQEM>を<LQVA>匹ほど倒していただけないでしょうか
何かと遭遇することが多いのですが、
自分は単独での戦闘には向かないもので――","Could someone defeat <LQVA> of 
<LQEM>? 
I frequently encounter them, 
but I'm not suited for solo combat.",ui\00_message\quest_info\q40200023_00.gmd,\quest\q40200023.arc,q40200023.arc,1,
0,q40200024_00_325,たまには手伝ってほしい,I Could Use a Hand Sometimes,ui\00_message\quest_info\q40200024_00.gmd,\quest\q40200024.arc,q40200024.arc,0,
1,q40200024_00_325,"俺以外に<LQEM>を討伐している隊員はいるのか？
一向に数が減らず、俺一人で立ち向かっているような気がしてきた――
たまには他の隊員にも<LQVA>匹ほど討伐してほしいもんだが――","Is there anyone other than me fighting 
<LQEM>? 
The numbers don't seem to be decreasing, and I 
feel like I'm the only one facing them. 
I'd appreciate it if other team members could 
defeat <LQVA> as well.",ui\00_message\quest_info\q40200024_00.gmd,\quest\q40200024.arc,q40200024.arc,1,
0,q40200025_00_326,良心の呵責,Pang of Conscience,ui\00_message\quest_info\q40200025_00.gmd,\quest\q40200025.arc,q40200025.arc,0,
1,q40200025_00_326,"この前、<LQEM>の群れに襲われたのです
とっさにその群れを蹴散らして拠点に走ってしまったのですが
その後どうなったのか気になって――
<LQVA>匹ほどの群れを見かけたら、様子を見てきてくださいませんか","Recently, I was attacked by a group of 
<LQEM>. 
I fled to the base in a hurry, leaving the group 
behind. I'm concerned about what happened after 
that. If you come across a
group of <LQVA>, could you investigate?",ui\00_message\quest_info\q40200025_00.gmd,\quest\q40200025.arc,q40200025.arc,1,
0,q40200026_00_327,大掃除の準備,Preparing for Major Cleanup,ui\00_message\quest_info\q40200026_00.gmd,\quest\q40200026.arc,q40200026.arc,0,
1,q40200026_00_327,"近々、この拠点内を大掃除するわ
その間はベッドも机も外に出しておくのだけど
目が届かないうちに<LQEM>なんかに壊されたら事でしょう
そうならないように、今のうちから<LQVA>匹くらい倒しておいてほしいの","I will be doing a thorough cleaning
of the base soon. The beds and
tables will be left outside during
this period. It would be trouble
if <LQEM> were to damage them
while I'm not watching.
Please deal with about <LQVA> of them
beforehand.",ui\00_message\quest_info\q40200026_00.gmd,\quest\q40200026.arc,q40200026.arc,1,
0,q40200027_00_328,腰痛の原因,Cause of My Back Pain,ui\00_message\quest_info\q40200027_00.gmd,\quest\q40200027.arc,q40200027.arc,0,
1,q40200027_00_328,"イッテテ――
道具をこの拠点まで運搬してる最中に<LQEM>に体当たりされてよ
咄嗟にかばった荷物は無事だったが、腰をひねって傷めちまった
こんなことが続くようじゃ、いつか道具をダメにしちまう
<LQVA>匹ほど討伐しといてくれねぇか","Ouch—
While moving tools to the base,
I was charged by a <LQEM>.
I managed to save the cargo,
but I twisted my back and hurt myself.
If this continues, I might end up
damaging the tools.
Could you handle around <LQVA> of them?",ui\00_message\quest_info\q40200027_00.gmd,\quest\q40200027.arc,q40200027.arc,1,
0,q40200028_00_329,息抜きも必要,We All Need Rest,ui\00_message\quest_info\q40200028_00.gmd,\quest\q40200028.arc,q40200028.arc,0,
1,q40200028_00_329,"これを読んだ隊員へ
<LQEM>を<LQVA>体討伐してみないか
たまには何も考えずに暴れてみるのも気分転換になると思うんだが、どうだ？
達成できた者には先着順で俺から賞金を出そう","To those who read this: 
How about hunting down <LQVA> <LQEM>?
It might be refreshing to let off some steam
without thinking for once.
Those who succeed will be rewarded
by me on a first-come, first-served basis.",ui\00_message\quest_info\q40200028_00.gmd,\quest\q40200028.arc,q40200028.arc,1,
0,q40200029_00_330,努力を無にしたくない,Efforts Shall Not Go to Waste,ui\00_message\quest_info\q40200029_00.gmd,\quest\q40200029.arc,q40200029.arc,0,
1,q40200029_00_330,"昨日は白騎団の誇りにかけ、自由時間に<LQEM>を<LQVA>体討伐した
しかし今日は任務の都合上、外に出られそうにないのだ
討伐を休むとまた個体数が増えてしまう
すまないが、誰か同じ分だけ討伐しておいてくれないだろうか","Yesterday, in the name of the White Knights' honor,
I took down <LQVA> <LQEM> during my free time.
However, due to mission constraints,
I won't be able to go outside today.
If I skip the hunt, the number of them
will increase again.
I'm sorry, but could someone please
take down the same number for me?",ui\00_message\quest_info\q40200029_00.gmd,\quest\q40200029.arc,q40200029.arc,1,
0,q40200030_00_331,＜エリアオーダー＞魔赤島魔物征伐,Area Order: Bloodbane Isle Demon Extermination,ui\00_message\quest_info\q40200030_00.gmd,\quest\q40200030.arc,q40200030.arc,0,
1,q40200030_00_331,"魔赤島調査隊隊長として<LQEM>討伐令を出す！
特定の魔物を集中して討伐することで、島の生態系への影響を調査する計画だ
手が空いた者は<LQVA>匹、討伐してきてくれ","As the leader of the Bloodbane Isle Survey Team,
I issue a <LQEM> extermination order!
The plan is to investigate the impact
on the island's ecosystem by focusing
on the elimination of specific monsters.
Anyone with free time, please take down
<LQVA> of them.",ui\00_message\quest_info\q40200030_00.gmd,\quest\q40200030.arc,q40200030.arc,1,
0,q40200031_00_332,自給自足も健康のため,Self-Sufficiency for Health,ui\00_message\quest_info\q40200031_00.gmd,\quest\q40200031.arc,q40200031.arc,0,
1,q40200031_00_332,"<LQIM>をうまく加工すると調理に使えるのよ
使い勝手はまぁそこそこって程度だけど、自給自足を心がけるのも調査隊の健康のため――
<LQVA>個ほど採ってきてくれるとありがたいわね","If <LQIM> is processed well, 
it can be used for cooking.
While its effectiveness is only average,
self-sufficiency is important for 
the survey team's health.
I'd appreciate it if you could collect
<LQVA> of them.",ui\00_message\quest_info\q40200031_00.gmd,\quest\q40200031.arc,q40200031.arc,1,
0,q40200032_00_333,余っていたらでいい,If There's Any Left Over,ui\00_message\quest_info\q40200032_00.gmd,\quest\q40200032.arc,q40200032.arc,0,
1,q40200032_00_333,"しまった――
白騎団の代表として、こちらでの採集物を部下たちに送ったのだが少々送りすぎたようだ
道具を作ろうと思っていたのに、材料が足りなくなってしまうとは
余らせている<LQIM>があれば<LQVA>つほど譲ってもらえないだろうか","Oh no――
As a representative of the White Knights, I sent
too much of the gathered 
items to my subordinates.
I was planning to make some tools,
but now I'm short on materials.
If you have any surplus <LQIM>,
could you possibly spare <LQVA> of them?",ui\00_message\quest_info\q40200032_00.gmd,\quest\q40200032.arc,q40200032.arc,1,
0,q40200033_00_334,今回は仕方ねぇな,Just This Once,ui\00_message\quest_info\q40200033_00.gmd,\quest\q40200033.arc,q40200033.arc,0,
1,q40200033_00_334,"俺が確保しておいた<LQIM>を勝手に持っていったヤツは誰だ？
アレは売り物じゃねぇんだぞ
今回はまぁ許すが、次は一声かけろ
てことで、<LQIM>があったら<LQVA>個買い取るからよ","Who took the <LQIM> I had secured? 
That wasn't for sale! 
I'll let it pass this time, 
but next time, ask first. 
So, if you have any, I'll buy <LQVA> from you.",ui\00_message\quest_info\q40200033_00.gmd,\quest\q40200033.arc,q40200033.arc,1,
0,q40200034_00_335,報告に添えるサンプル分,The Sample is Just as Reported,ui\00_message\quest_info\q40200034_00.gmd,\quest\q40200034.arc,q40200034.arc,0,
1,q40200034_00_335,"神殿へサンプルとして送ろうとしていた<LQIM>が、荷物の中で潰されていた
急ぎとはいえ、潰れたものを送るわけにはいかん
誰か<LQVA>個持っていないか？","The <LQIM> I was about to send as a 
sample to the temple was crushed in the shipment. 
Even though it's urgent, 
I can't send crushed items. 
Does anyone have <LQVA>?",ui\00_message\quest_info\q40200034_00.gmd,\quest\q40200034.arc,q40200034.arc,1,
0,q40200035_00_336,湿布の代用品,Substitute for a Poultice,ui\00_message\quest_info\q40200035_00.gmd,\quest\q40200035.arc,q40200035.arc,0,
1,q40200035_00_336,"最近、怪我をして帰ってくる隊員が多くて湿布が足りないわ
軟膏に<LQIM>をすり潰したものを加えて代用品を作るから
<LQVA>個ほど調達してきてもらえない？","Lately, there have been many injured members returning, 
and we're running out of compresses. 
I make a substitute by mixing crushed 
<LQIM> into ointment. 
Could you gather <LQVA> for me?",ui\00_message\quest_info\q40200035_00.gmd,\quest\q40200035.arc,q40200035.arc,1,
0,q40200036_00_337,買い取り強化中,Buyback Prices Up,ui\00_message\quest_info\q40200036_00.gmd,\quest\q40200036.arc,q40200036.arc,0,
1,q40200036_00_337,"魔赤島での生活も何かとご入り用でしょう
心ばかりのご支援として、<LQIM>を<LQVA>個買い取らせていただけませんか
レスタニアに送っていただければすぐにお代をお支払いたします","Life on the Magic Red Island likely 
needs many supplies.
As a gesture of support,
may I purchase <LQVA> <LQIM>?
Send them to Lestania, 
and I'll arrange immediate payment.",ui\00_message\quest_info\q40200036_00.gmd,\quest\q40200036.arc,q40200036.arc,1,
0,q40200037_00_338,魔赤島での楽しみ,Fun at Bloodbane Isle,ui\00_message\quest_info\q40200037_00.gmd,\quest\q40200037.arc,q40200037.arc,0,
1,q40200037_00_338,"ここらへんで採れる物を漬け込んだ酒で一杯やるのが最近の楽しみでな
他のやつらに分けてやることもあるが、中々好評だぜ
<LQIM>が<LQVA>つほどあれば予備を作れるんだがな","Lately, I've been enjoying a drink made with
local ingredients. I occasionally share it with
others, and it's well-received. If I had
<LQVA> <LQIM>, 
I could make some more.",ui\00_message\quest_info\q40200037_00.gmd,\quest\q40200037.arc,q40200037.arc,1,
0,q40200038_00_339,クセになる味,An Addictive Flavor,ui\00_message\quest_info\q40200038_00.gmd,\quest\q40200038.arc,q40200038.arc,0,
1,q40200038_00_339,"以前、とあるルートで送ってもらった<LQIM>の味が忘れられんのだ――
もう一度、あの複雑な風味を味わいたい！
今度は<LQVA>つほど手に入れて、別の調理法も試してみたい！
さて、私の言いたいことはわかったな？　なるべく急いで頼むぞ","I can't forget the taste of the 
<LQIM> sent
through a certain route before. I want to
experience that complex flavor again! This time,
I want to get <LQVA> and try different cooking
methods. You understand what I'm asking for,
right? Please hurry.",ui\00_message\quest_info\q40200038_00.gmd,\quest\q40200038.arc,q40200038.arc,1,
0,q40200039_00_340,内密に調達してほしい,Please Procure This Privately,ui\00_message\quest_info\q40200039_00.gmd,\quest\q40200039.arc,q40200039.arc,0,
1,q40200039_00_340,"これを見た君へ――
サンプルとして神殿に送られてきた<LQIM>、あれは興味深いものだね
個人的にも調べてみたいから<LQVA>個くらい送ってくれないかな
できればジョゼフ様のお耳に入らないように、こっそりお願いするよ","To whom it may concern—
The <LQIM> sent as a sample to 
the temple is quite interesting. 
I would like to examine it personally, so could 
you send me about <LQVA>? 
Please do it discreetly so Joseph doesn't find out.",ui\00_message\quest_info\q40200039_00.gmd,\quest\q40200039.arc,q40200039.arc,1,
0,q40200040_00_321,＜エリアオーダー＞魔赤島補給,Area Order: Bloodbane Isle Resupply,ui\00_message\quest_info\q40200040_00.gmd,\quest\q40200040.arc,q40200040.arc,0,
1,q40200040_00_321,"魔赤島調査隊隊長として<LQIM>収集令を出す！
隊の備蓄を確認していて気付いたのだが、かなり蓄えが少なくなってきているようだ
調査中に目についたら採取を頼む！
<LQVA>個あればひとまず十分だろう","As the leader of the Bloodbane Isle
expedition team, I issue a 
<LQIM> collection order! 
I noticed that our reserves are running
low while checking the stock. Please gather
<LQVA> if you come across any during your
investigation. That should be enough for now.",ui\00_message\quest_info\q40200040_00.gmd,\quest\q40200040.arc,q40200040.arc,1,
0,q40200041_00_379,旅人たちへの注意勧告,A Warning to Travelers,ui\00_message\quest_info\q40200041_00.gmd,\quest\q40200041.arc,q40200041.arc,0,
1,q40200041_00_379,"最近<LQEM>が増えている気がします
また<LQVA>体ほど見かけました
これ以上増えるなら、旅人たちへも注意するよう言わなくちゃいけませんね","Lately, it feels like there are more 
<LQEM>. 
I've seen about <LQVA>. 
If they increase any more, 
I'll have to warn travelers too.",ui\00_message\quest_info\q40200041_00.gmd,\quest\q40200041.arc,q40200041.arc,1,
0,q40200042_00_380,洗濯物泥棒,The Laundry Thief,ui\00_message\quest_info\q40200042_00.gmd,\quest\q40200042.arc,q40200042.arc,0,
1,q40200042_00_380,"川で洗濯をしていたら、<LQEM>が
お姉様のストールを盗んでいったの！
<LQVA>匹、懲らしめないと気が済まないわ","While doing laundry by the river, 
<LQEM> stole my sister's stole! 
I won't be satisfied until I punish <LQVA>.",ui\00_message\quest_info\q40200042_00.gmd,\quest\q40200042.arc,q40200042.arc,1,
0,q40200043_00_381,ちょっと気になってさ,I've Been Wondering,ui\00_message\quest_info\q40200043_00.gmd,\quest\q40200043.arc,q40200043.arc,0,
1,q40200043_00_381,"ミューセルへ
この前言っていた<LQEM>についてだけど、どうなった？
そっちに寄る時にまだウロついていたら
私が<LQVA>匹ほど始末するよ","To Mucel,
About the <LQEM> 
we discussed earlier, what's the
status? If they're still lurking around when I
come by, I'll take care of <LQVA> of them.",ui\00_message\quest_info\q40200043_00.gmd,\quest\q40200043.arc,q40200043.arc,1,
0,q40200044_00_382,住まいを追われて,Driven From Their Homes,ui\00_message\quest_info\q40200044_00.gmd,\quest\q40200044.arc,q40200044.arc,0,
1,q40200044_00_382,"近くで<LQEM>を見かけたよ
ここもいつか、住めなくなっちまうのかね――
たしか<LQVA>匹くらいの群れだったけど――","I saw <LQEM> nearby. 
Will we eventually be unable to live here too? 
It was a group of about <LQVA>.",ui\00_message\quest_info\q40200044_00.gmd,\quest\q40200044.arc,q40200044.arc,1,
0,q40200045_00_383,木陰から飛び出すもの,Springing Out From the Shade of a Tree,ui\00_message\quest_info\q40200045_00.gmd,\quest\q40200045.arc,q40200045.arc,0,
1,q40200045_00_383,"先日、ディリスが<LQEM>に追われて帰ってきました
今回は何とか逃げ切れましたが、危険性が高まっていることは確かです
<LQVA>体の討伐をお願いします","Recently, Dirith came back chased by 
<LQEM>. 
Though they managed to escape this time, 
the danger is clearly increasing. 
Please defeat <LQVA>.",ui\00_message\quest_info\q40200045_00.gmd,\quest\q40200045.arc,q40200045.arc,1,
0,q40200046_00_384,手負いの魔物,The Wounded Demon,ui\00_message\quest_info\q40200046_00.gmd,\quest\q40200046.arc,q40200046.arc,0,
1,q40200046_00_384,"すまない、<LQEM><LQVA>匹と遭遇したんだが
仕留める前に逃げられてしまった
気が立っているだろうから、くれぐれも気を付けて","Apologies, I encountered <LQVA> <LQEM>,
but they escaped before I could finish them. 
They're likely very agitated, so please be careful.",ui\00_message\quest_info\q40200046_00.gmd,\quest\q40200046.arc,q40200046.arc,1,
0,q40200047_00_385,不穏な視線,An Unsettled Gaze,ui\00_message\quest_info\q40200047_00.gmd,\quest\q40200047.arc,q40200047.arc,0,
1,q40200047_00_385,"何だか視線を感じたからさ、後ろを振り返ってみたら
裏手に<LQEM>が隠れるのが見えたんだ！
<LQVA>匹いたはずだよ
なんとかしないと、ここも住めなくなっちゃうよ！","I felt like I was being watched, so I looked
behind and saw <LQEM> 
hiding in the back! 
There were <LQVA> of them. If we don't do
something, this place won't be livable!",ui\00_message\quest_info\q40200047_00.gmd,\quest\q40200047.arc,q40200047.arc,1,
0,q40200048_00_386,書物荒らしを懲らしめて,Punishment for Ransacking Books,ui\00_message\quest_info\q40200048_00.gmd,\quest\q40200048.arc,q40200048.arc,0,
1,q40200048_00_386,"書物を虫干ししていたら<LQEM>に踏み荒らされてしまいました
足跡から見て<LQVA>体いたようですね
ずっと見張っている訳にも行きませんから、困ったものです","While airing out the books, 
<LQEM> trampled them.
The tracks suggest there were <LQVA> of them.
It's troublesome since we can't keep watch all the time.",ui\00_message\quest_info\q40200048_00.gmd,\quest\q40200048.arc,q40200048.arc,1,
0,q40200049_00_387,風の噂で,Rumors on the Wind,ui\00_message\quest_info\q40200049_00.gmd,\quest\q40200049.arc,q40200049.arc,0,
1,q40200049_00_387,"風の噂で耳にしたが、最近<LQEM>に凶暴な個体が出ているらしい
そちらは大丈夫だろうか？
たまには<LQVA>体ほど駆除しておくのをすすめるよ","I've heard rumors that recently <LQEM> 
are showing increased aggression. Are you okay?
It's advisable to eliminate around <LQVA> of them.",ui\00_message\quest_info\q40200049_00.gmd,\quest\q40200049.arc,q40200049.arc,1,
0,q40200050_00_388,＜エリアオーダー＞エラン魔物征伐,Area Order: Elan Demon Extermination,ui\00_message\quest_info\q40200050_00.gmd,\quest\q40200050.arc,q40200050.arc,0,
1,q40200050_00_388,"この庵の主として、そしてエラン水林の管理者としてお願いいたします
最近増えすぎた傾向にある<LQEM>について――
生態系のバランスを守るため、<LQVA>体ほど討伐していただける方を募集しています","As the master of this retreat and the 
Elan Water Grove administrator, 
I ask for your help.
<LQEM> have been increasing lately. 
To keep the ecosystem balanced, 
we need someone to cull about <LQVA> of them.",ui\00_message\quest_info\q40200050_00.gmd,\quest\q40200050.arc,q40200050.arc,1,
0,q40200051_00_389,次回買い物メモ,A Shopping List for Next Time,ui\00_message\quest_info\q40200051_00.gmd,\quest\q40200051.arc,q40200051.arc,0,
1,q40200051_00_389,"メモ――次に商人が来たら<LQIM>を<LQVA>個お願いしましょう
用途は伏せておくこと","Memo: Request <LQVA> <LQIM> from the merchant
when they come next. Keep the usage undisclosed.",ui\00_message\quest_info\q40200051_00.gmd,\quest\q40200051.arc,q40200051.arc,1,
