16,BTL_CONTENT_RESET_SUCCESS_PROGRESS_REWARD_EX,"進行と報酬のリセットが完了しました
黄金石リセットにより以下の効果が発動しました
16,char_sel_bonus,Course,Course,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,16,,Character Select Screen
23,char_sel_button_clan_notice,クランへの通知設定,Clan Notification Setting,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,23,,Character Select Screen
22,char_sel_button_rota,カメラ操作,Camera Control,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,22,,Character Select Screen
21,char_sel_button_zoom,モデル回転<PADM> / ズーム</PADM>,Rotate<PADM>  / Zoom</PADM>,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,21,,Character Select Screen
10,char_sel_cancel,キャンセル,Cancel,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,10,,Character Select Screen
28,char_sel_clan_notice_conf,"クランメンバーへ自分のステータスを通知しますか？
※この項目はゲーム設定からいつでも変更できます","Would you like to send your status to clan
members?
※This can be changed any time from the game
settings.",ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,28,,Character Select Screen
30,char_sel_clan_notice_conf_no,通知を行わない,Do not notify,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,30,,Character Select Screen
29,char_sel_clan_notice_conf_yes,通知を行う,Notify,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,29,,Character Select Screen
25,char_sel_clan_notice_info,クランメンバーへ自分のステータスを通知する,Provide Status to Your Clan,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,25,,Character Select Screen
8,char_sel_code,確認コード：,Confirmation Code:,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,8,,Character Select Screen
7,char_sel_code_text,確認コード <COL AA1414><VAL></COL> を入力してください,Please enter the confirmation code: <COL AA1414><VAL></COL>,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,7,,Character Select Screen
9,char_sel_decide,決定,Confirm,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,9,,Character Select Screen
11,char_sel_del,削除,Delete,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,11,,Character Select Screen
13,char_sel_del_alert,を削除します,Will Delete,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,13,,Character Select Screen
5,char_sel_del_chara_select,"削除するキャラクターを選択してください
削除したキャラクターは二度と復活できません","Please select the character to be deleted.
The deleted character cannot be restored.",ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,5,,Character Select Screen
15,char_sel_del_error,確認コードが間違っています,The confirmation code is incorrect.,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,15,,Character Select Screen
14,char_sel_del_finish,キャラクターの削除が完了しました,Character deletion is complete.,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,14,,Character Select Screen
6,char_sel_del_info,"
<COL ffdc78>未使用の黄金石や<OPCS>等もすべて失われます</COL>","
<COL ffdc78>All unused Golden Gemstones and
<OPCS>, etc., will be lost.</COL>",ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,6,,Character Select Screen
4,char_sel_delete,キャラクターの削除,Delete,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,4,,Character Select Screen
18,char_sel_fourwords,（半角英数4文字）,(4 alphanumeric chars),ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,18,,Character Select Screen
0,char_sel_index_en,Character Select,Character Select,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,0,,Character Select Screen
1,char_sel_index_jp,キャラクター選択, ,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,1,,Character Select Screen
17,char_sel_no_bonus,発動中の<OPCS>はありません,There is no <OPCS> currently active.,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,17,,Character Select Screen
27,char_sel_off,OFF,OFF,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,27,,Character Select Screen
26,char_sel_on,ON,ON,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,26,,Character Select Screen
12,char_sel_plz_wait,しばらくお待ちください,Please wait.,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,12,,Character Select Screen
3,char_sel_profile,Profile,Profile,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,3,,Character Select Screen
2,char_sel_status,Status,Status,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,2,,Character Select Screen
17,CHAT_MSG_INPUTMODE_JP,あ,Jp,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,17,,Chatbox Option
17,CHAT_MSG_INPUTMODE_JP,あ,Jp,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,17,,Chatbox Option
18,MSG_ADDCH,チャンネルの追加,Add Channel,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,18,,Chatbox Option
18,MSG_ADDCH,チャンネルの追加,Add Channel,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,18,,Chatbox Option
23,MSG_ADDRESS_MEMO,Memo,Memo,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,23,,Chatbox Option
23,MSG_ADDRESS_MEMO,Memo,Memo,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,23,,Chatbox Option
19,MSG_CHANGE_TO,宛て先の変更,Change Destination,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,19,,Chatbox Option
19,MSG_CHANGE_TO,宛て先の変更,Change Destination,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,19,,Chatbox Option
16,MSG_CHATMODE,チャットモード,Chat Mode,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,16,,Chatbox Option
16,MSG_CHATMODE,チャットモード,Chat Mode,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,16,,Chatbox Option
15,MSG_CHEDIT,チャンネルの編集,Edit Channel,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,15,,Chatbox Option
15,MSG_CHEDIT,チャンネルの編集,Edit Channel,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,15,,Chatbox Option
5,MSG_DELCH,チャンネルの削除,Delete Channel,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,5,,Chatbox Option
5,MSG_DELCH,チャンネルの削除,Delete Channel,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,5,,Chatbox Option
4,MSG_EDIT,再編集,Edit,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,4,,Chatbox Option
4,MSG_EDIT,再編集,Edit,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,4,,Chatbox Option
7,MSG_EDITCH,チャンネルの設定変更,Edit Channel,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,7,,Chatbox Option
7,MSG_EDITCH,チャンネルの設定変更,Edit Channel,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,7,,Chatbox Option
0,MSG_EDITCHNAME,チャンネル名を入力してください,Enter channel name,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,0,,Chatbox Option
0,MSG_EDITCHNAME,チャンネル名を入力してください,Enter channel name,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,0,,Chatbox Option
2,MSG_FLTRDEL,このチャンネルを削除しますか？,Are you sure you want to delete this channel?,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,2,,Chatbox Option
2,MSG_FLTRDEL,このチャンネルを削除しますか？,Are you sure you want to delete this channel?,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,2,,Chatbox Option
6,MSG_GUIDE_EDTICH_J,チャンネルの編集,Edit Channel,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,6,,Chatbox Option
6,MSG_GUIDE_EDTICH_J,チャンネルの編集,Edit Channel,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,6,,Chatbox Option
24,MSG_HASHTAG_001,＃,#,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,24,,Chatbox Option
24,MSG_HASHTAG_001,＃,＃,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,24,,Chatbox Option
14,MSG_INPUTSTART,入力,Input,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,14,,Chatbox Option
14,MSG_INPUTSTART,入力,Input,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,14,,Chatbox Option
12,MSG_NONAME,名前が入力されていません,You must enter a channel name.,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,12,,Chatbox Option
12,MSG_NONAME,名前が入力されていません,You must enter a channel name.,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,12,,Chatbox Option
3,MSG_NOTABLEADDCH,これ以上チャンネルを追加できません,You cannot add anymore channels,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,3,,Chatbox Option
3,MSG_NOTABLEADDCH,これ以上チャンネルを追加できません,You cannot add anymore channels,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,3,,Chatbox Option
22,MSG_NOT_SPEAK_A_FEW_SECONDS,発言できません あと<VAL>秒,Cannot speak for <VAL> seconds.,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,22,,Chatbox Option
22,MSG_NOT_SPEAK_A_FEW_SECONDS,発言できません あと<VAL>秒,Cannot speak for <VAL> seconds.,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,22,,Chatbox Option
21,MSG_NOT_SPEAK_A_WHILE,しばらく発言できません,Cannot speak for a while.,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,21,,Chatbox Option
21,MSG_NOT_SPEAK_A_WHILE,しばらく発言できません,Cannot speak for a while.,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,21,,Chatbox Option
11,MSG_RECORD_J,履歴,History,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,11,,Chatbox Option
11,MSG_RECORD_J,履歴,History,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,11,,Chatbox Option
1,MSG_RESIZE_J,ウィンドウ拡縮,Resize,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,1,,Chatbox Option
1,MSG_RESIZE_J,ウィンドウ拡縮,Resize,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,1,,Chatbox Option
9,MSG_SELECT_J,選択,Select,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,9,,Chatbox Option
9,MSG_SELECT_J,選択,Select,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,9,,Chatbox Option
10,MSG_SENDMSG_J,発言,Send,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,10,,Chatbox Option
10,MSG_SENDMSG_J,発言,Send,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,10,,Chatbox Option
8,MSG_SETFILTER,フィルターを設定してください,Set channel filter,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,8,,Chatbox Option
8,MSG_SETFILTER,フィルターを設定してください,Set channel filter,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,8,,Chatbox Option
20,MSG_SWITCH_CH,チャンネルの切り替え,Switch Channel,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,20,,Chatbox Option
20,MSG_SWITCH_CH,チャンネルの切り替え,Switch Channel,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,20,,Chatbox Option
13,MSG_VIEWLOG,ログ参照,View Log,ui\00_message\ui\Chat_res.gmd,\ui\GUIGame.arc,GUIGame.arc,13,,Chatbox Option
13,MSG_VIEWLOG,ログ参照,View Log,ui\00_message\ui\Chat_res.gmd,\ui\uGUIChat.arc,uGUIChat.arc,13,,Chatbox Option
2,about_clue,探検の書棚について,About the Expedition bookshelf,ui\00_message\ui\ClanDungeonClue.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2,,Clan Dungeon-related
1,about_clue_detail,"発見した探検家の軌跡は
書棚にしまっておくように致します
この棚に古い書物が戻る度
宝殿への道が拓かれることでしょう　","We will keep track of clues discovered while on
an expedition, inside of the bookshelf.
When all of the ancient books are returned to
this shelf, the path to the treasure hoard will
be opened.",ui\00_message\ui\ClanDungeonClue.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1,,Clan Dungeon-related
0,clue_list,手がかり一覧,Clue List,ui\00_message\ui\ClanDungeonClue.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0,,Clan Dungeon-related
14,COMLIST_MSG_ACTIVE_LIST,オンラインメンバー,Online,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,14,,Community Window
17,COMLIST_MSG_ANA_0_ACTIVE,オンライン中のフレンド、クランメンバーがいません,No online friends or clanmates,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,17,,Community Window
19,COMLIST_MSG_ANA_0_BLACK,ブラックリストに登録されている人はいません,Nobody has been blacklisted,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,19,,Community Window
16,COMLIST_MSG_ANA_0_FRIEND,フレンドがいません,No friends,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,16,,Community Window
18,COMLIST_MSG_ANA_0_RECENT,最近遊んだ人はいません,No recent players,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,18,,Community Window
4,COMLIST_MSG_BETWEEN_APPLICATION,申請中,Pending,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,4,,Community Window
0,COMLIST_MSG_BLACK_LIST,ブラックリスト,Blacklist,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,0,,Community Window
2,COMLIST_MSG_CLAN,クラン,Clan,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,2,,Community Window
10,COMLIST_MSG_COMMENT,コメント,Comment,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,10,,Community Window
11,COMLIST_MSG_COMMUNITY_LIST,Community List,Community List,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,11,,Community Window
12,COMLIST_MSG_COMM_LIST_JP,コミュニティリスト, ,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,12,,Community Window
1,COMLIST_MSG_FRIEND,フレンド,Friends,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,1,,Community Window
13,COMLIST_MSG_FRIEND_LIST,フレンドリスト,Friends only,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,13,,Community Window
7,COMLIST_MSG_JOB_LV,ジョブレベル,Vocation LV.,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,7,,Community Window
8,COMLIST_MSG_LOBBY_ID,ワールド,World,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,8,,Community Window
9,COMLIST_MSG_PARTY_PL_NUM,Party,Party Members,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,9,,Community Window
6,COMLIST_MSG_PLAYER_NAME,名前,Name,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,6,,Community Window
15,COMLIST_MSG_RECENT_LIST,最近遊んだプレイヤー,Recent,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,15,,Community Window
3,COMLIST_MSG_REGIST_NUMOFPEAPLE,登録人数,Number,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,3,,Community Window
5,COMLIST_MSG_WAIT_APPROVAL,承認待,Pending,ui\00_message\ui\CommunityList_res.gmd,\ui\uGUICommunityList.arc,uGUICommunityList.arc,5,,Community Window
230,ANALYZE_ALWAYS_GREAT_SUCCESS,高品質装備の作成が、特定条件で必ず大成功,"Creation of high-quality equipment always results
in a Great Success under specific conditions.",ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,230,,Crafting Related
230,ANALYZE_ALWAYS_GREAT_SUCCESS,高品質装備の作成が、特定条件で必ず大成功,"Creation of high-quality equipment always results
in a Great Success under specific conditions.",ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,230,,Crafting Related
230,ANALYZE_ALWAYS_GREAT_SUCCESS,高品質装備の作成が、特定条件で必ず大成功,"Creation of high-quality equipment always results
in a Great Success under specific conditions.",ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,230,,Crafting Related
230,ANALYZE_ALWAYS_GREAT_SUCCESS,高品質装備の作成が、特定条件で必ず大成功,"Creation of high-quality equipment always results
in a Great Success under specific conditions.",ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,230,,Crafting Related
230,ANALYZE_ALWAYS_GREAT_SUCCESS,高品質装備の作成が、特定条件で必ず大成功,"Creation of high-quality equipment always results
in a Great Success under specific conditions.",ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,230,,Crafting Related
231,ANALYZE_ALWAYS_INCREASE,消耗品の生産が必ず大成功,"Consumables' production always results in great
success.",ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,231,,Crafting Related
231,ANALYZE_ALWAYS_INCREASE,消耗品の生産が必ず大成功,"Consumables' production always results in great
success.",ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,231,,Crafting Related
231,ANALYZE_ALWAYS_INCREASE,消耗品の生産が必ず大成功,"Consumables' production always results in great
success.",ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,231,,Crafting Related
231,ANALYZE_ALWAYS_INCREASE,消耗品の生産が必ず大成功,"Consumables' production always results in great
success.",ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,231,,Crafting Related
231,ANALYZE_ALWAYS_INCREASE,消耗品の生産が必ず大成功,"Consumables' production always results in great
success.",ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,231,,Crafting Related
235,ANALYZE_BUTTON,パフォーマンス分析,Performance Analysis,ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,235,,Crafting Related
235,ANALYZE_BUTTON,パフォーマンス分析,Performance Analysis,ui\00_message\ui\Craft_res.gmd,\ui\uGUICraft.arc,uGUICraft.arc,235,,Crafting Related
235,ANALYZE_BUTTON,パフォーマンス分析,Performance Analysis,ui\00_message\ui\Craft_res.gmd,\ui\uGUIPopCraftDetail.arc,uGUIPopCraftDetail.arc,235,,Crafting Related
235,ANALYZE_BUTTON,パフォーマンス分析,Performance Analysis,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubList.arc,uGUISubList.arc,235,,Crafting Related
235,ANALYZE_BUTTON,パフォーマンス分析,Performance Analysis,ui\00_message\ui\Craft_res.gmd,\ui\uGUISubRecipe.arc,uGUISubRecipe.arc,235,,Crafting Related
229,ANALYZE_COST_CUT,費用<VAL>%OFF,Cost <VAL>% OFF,ui\00_message\ui\Craft_res.gmd,\ui\uGUICharacter.arc,uGUICharacter.arc,229,,Crafting Related
