#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
0,,"覚者よ
新たな力を受け入れる器となったか――
我が元へ来るがいい","覚者よ
新たな力を受け入れる器となったか――
我が元へ来るがいい",ui\00_message\quest\q60200001.gmd,\quest\q60200001.arc,q60200001.arc,5
0,,"うーん、ちょっと細かく説明しすぎたかな――
まぁ、足りないよりはいいだろう
説明は以上だ、彼に伝えてやってくれ
頼んだよ","うーん、ちょっと細かく説明しすぎたかな――
まぁ、足りないよりはいいだろう
説明は以上だ、彼に伝えてやってくれ
頼んだよ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,13
0,,"うーん――彼、さっきの説明でわかるかな
もしもわかっていないようなら
直接わたしのところまで連れてきてくれ","うーん――彼、さっきの説明でわかるかな
もしもわかっていないようなら
直接わたしのところまで連れてきてくれ",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,14
0,,"いや、ココに来てもらうよりも
クランのメンバーに聞いてもらった方が
早いかもしれないな","いや、ココに来てもらうよりも
クランのメンバーに聞いてもらった方が
早いかもしれないな",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,15
0,,"ん？　何か用か？
――キビザからの使いだと？","ん？　何か用か？
――キビザからの使いだと？",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,16
0,,"これはちょうどいい――
実は、この先にクラン拠点が新設されたんだが
施設の連中から資格がないと門前払いされたんだ！","これはちょうどいい――
実は、この先にクラン拠点が新設されたんだが
施設の連中から資格がないと門前払いされたんだ！",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,17
0,,"確かにそそっかしいところはあるが
俺だって白竜に仕える覚者だ！
覚者なら自由に《クラン拠点》を
使えるんじゃないのか！？","確かにそそっかしいところはあるが
俺だって白竜に仕える覚者だ！
覚者なら自由に《クラン拠点》を
使えるんじゃないのか！？",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,18
0,,"何――ふむふむ――
――そうだったのか！","何――ふむふむ――
――そうだったのか！",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,19
0,,"俺が所属するクランの
《クランレベル》は十分なはず――
さっそく、クランマスターに
《クラン拠点》の利用申請をするよう頼みに行くか！","俺が所属するクランの
《クランレベル》は十分なはず――
さっそく、クランマスターに
《クラン拠点》の利用申請をするよう頼みに行くか！",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,20
0,,"伝言、ありがとよ！
そういえば、お前は《クラン拠点》を使ってるのか？
まだなら――早目に使い始めた方がいいぜ
何でも、色んな恩恵が受けられるらしいからな","伝言、ありがとよ！
そういえば、お前は《クラン拠点》を使ってるのか？
まだなら――早目に使い始めた方がいいぜ
何でも、色んな恩恵が受けられるらしいからな",ui\00_message\quest\q60200005.gmd,\quest\q60200005.arc,q60200005.arc,21
0,,"しっかりと準備はしてきたか？
腕に自信がないなら
安請け合いしない方が身のためだぞ
何事も適したタイミングってものがあるからな","しっかりと準備はしてきたか？
腕に自信がないなら
安請け合いしない方が身のためだぞ
何事も適したタイミングってものがあるからな",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,0
0,,"今回調査してもらうダンジョンは、魔赤島にある
《不浄の掃き溜め》
《氷気の遺路》
《群像の岩屋》
この３か所だ","今回調査してもらうダンジョンは、魔赤島にある
《不浄の掃き溜め》
《氷気の遺路》
《群像の岩屋》
この３か所だ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,1
0,,"アーク裏層と同様、エリアマスターに
認められなければ入れない場所もあるからな
まずは魔赤島のランクアップを目指すことだ","アーク裏層と同様、エリアマスターに
認められなければ入れない場所もあるからな
まずは魔赤島のランクアップを目指すことだ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,2
0,,"ちなみに、３ヶ所全てを調査する必要はない――
どこか１ヶ所で、最奥の宝箱を調査したら
報告に戻ってくるんだ","ちなみに、３ヶ所全てを調査する必要はない――
どこか１ヶ所で、最奥の宝箱を調査したら
報告に戻ってくるんだ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,3
0,,"いいか、もう一度説明するぞ
これからいう探査地を調査しつつ
最奥の宝箱を調査する――","いいか、もう一度説明するぞ
これからいう探査地を調査しつつ
最奥の宝箱を調査する――",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,4
0,,"これだけだ
どうだ、簡単だろう？
もっとも、相応の力があればの話だがな","これだけだ
どうだ、簡単だろう？
もっとも、相応の力があればの話だがな",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,5
0,,"今回調査してもらうダンジョンは、魔赤島にある
《不浄の掃き溜め》
《氷気の遺路》
《群像の岩屋》
この３か所だ","今回調査してもらうダンジョンは、魔赤島にある
《不浄の掃き溜め》
《氷気の遺路》
《群像の岩屋》
この３か所だ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,6
0,,"アーク裏層と同様、エリアマスターに
認められなければ入れない場所もあるからな
まずは魔赤島のランクアップを目指すんだ","アーク裏層と同様、エリアマスターに
認められなければ入れない場所もあるからな
まずは魔赤島のランクアップを目指すんだ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,7
0,,"３ヶ所全てを調査する必要はない――
どこか１ヶ所で、最奥の宝箱を調査したら
俺に報告しろ","３ヶ所全てを調査する必要はない――
どこか１ヶ所で、最奥の宝箱を調査したら
俺に報告しろ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,8
0,,"ふふふ、無事に帰ってきたか――
中々やるじゃないか","ふふふ、無事に帰ってきたか――
中々やるじゃないか",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,9
0,,"今回はダンジョンの場所を教えてやったが
次からは《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るぞ","今回はダンジョンの場所を教えてやったが
次からは《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るぞ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,10
0,,"この先も覚者として生きていくなら
覚えておいて損はないだろう
もっとも、覚者の記憶が“いつまで”残るのかは
俺も知らないが――","この先も覚者として生きていくなら
覚えておいて損はないだろう
もっとも、覚者の記憶が“いつまで”残るのかは
俺も知らないが――",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,11
0,,"もう一つ教えておいてやろう
宝箱を調査して集めた素材で作った装備品は
今後必ず役に立つ時が来る","もう一つ教えておいてやろう
宝箱を調査して集めた素材で作った装備品は
今後必ず役に立つ時が来る",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,12
0,,"何度も調査を繰り返して素材を集め
武器を強化しておくことだな
過去の積み重ねが未来を創る、というわけだ","何度も調査を繰り返して素材を集め
武器を強化しておくことだな
過去の積み重ねが未来を創る、というわけだ",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,13
0,,"例の島で発見された魔物の調査が進んだら
お前にもその討伐依頼がくるだろう
それまでにしっかり準備を進めておくことだ
今回はご苦労さん、といったところか","例の島で発見された魔物の調査が進んだら
お前にもその討伐依頼がくるだろう
それまでにしっかり準備を進めておくことだ
今回はご苦労さん、といったところか",ui\00_message\quest\q60200006.gmd,\quest\q60200006.arc,q60200006.arc,14
0,,"よう、ダンジョンの宝箱調査は続けてるか？
また新しい場所の調査依頼があるんだが
この前より難易度が上がっている","よう、ダンジョンの宝箱調査は続けてるか？
また新しい場所の調査依頼があるんだが
この前より難易度が上がっている",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,0
0,,"腕に自信が無ければ無理に引き受けなくてもいい
自分の力量を把握しておくのは
長く冒険を続ける上で大切なことだ
偉大な冒険家ほど、ここを重視する――","腕に自信が無ければ無理に引き受けなくてもいい
自分の力量を把握しておくのは
長く冒険を続ける上で大切なことだ
偉大な冒険家ほど、ここを重視する――",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,1
0,,"ま、やることは前回と同じなんだがな
ダンジョンに潜って、最奥の
宝箱を調査して帰ってくる
――単純だろう？","ま、やることは前回と同じなんだがな
ダンジョンに潜って、最奥の
宝箱を調査して帰ってくる
――単純だろう？",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,2
0,,"今回の調査候補地は
魔赤島の《せせらぎの地下聖堂》
　　　　《小塔傍の枯れ井戸》
ミスリウ深部にある《霧幻のテラス》","今回の調査候補地は
魔赤島の《せせらぎの地下聖堂》
《小塔傍の枯れ井戸》
ミスリウ深部にある《霧幻のテラス》",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,3
0,,"ボルドにある《灼熱の封鎖道》
バートランドにある《罪人の修獄》
この５カ所だ","ボルドにある《灼熱の封鎖道》
バートランドにある《罪人の修獄》
この５カ所だ",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,4
0,,"ここでは前回の３か所よりも、よりランクの高い
素材が採れるって噂だ
ただし、魔物もそれなりの強さだが、な","ここでは前回の３か所よりも、よりランクの高い
素材が採れるって噂だ
ただし、魔物もそれなりの強さだが、な",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,5
0,,"５ヶ所のうち、１ヶ所の宝箱を調査できたら
俺のところに報告にきてくれ","５ヶ所のうち、１ヶ所の宝箱を調査できたら
俺のところに報告にきてくれ",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,6
0,,"いいか、もう一度説明するぞ
これからいう５ヶ所の調査候補地の中から
１ヶ所を選んで最奥の宝箱を調べてくるんだ","いいか、もう一度説明するぞ
これからいう５ヶ所の調査候補地の中から
１ヶ所を選んで最奥の宝箱を調べてくるんだ",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,7
0,,"候補地は
魔赤島の《せせらぎの地下聖堂》
　　　　《小塔傍の枯れ井戸》
ミスリウ深部にある《霧幻のテラス》","候補地は
魔赤島の《せせらぎの地下聖堂》
《小塔傍の枯れ井戸》
ミスリウ深部にある《霧幻のテラス》",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,8
0,,"ボルドにある《灼熱の封鎖道》
バートランドにある《罪人の修獄》
この５カ所だ","ボルドにある《灼熱の封鎖道》
バートランドにある《罪人の修獄》
この５カ所だ",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,9
0,,"ここでは前回の３ヶ所よりも、よりランクの高い
素材が採れるって噂だぜ
ただし、魔物もそれなりの強さだが、な","ここでは前回の３ヶ所よりも、よりランクの高い
素材が採れるって噂だぜ
ただし、魔物もそれなりの強さだが、な",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,10
0,,"５カ所のうち、１か所の宝箱を調査できたら
俺のところに報告にきてくれ","５カ所のうち、１か所の宝箱を調査できたら
俺のところに報告にきてくれ",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,11
0,,"よし、無事に調査をしてきたか
お前の白竜様への忠誠心が見てとれるようだな","よし、無事に調査をしてきたか
お前の白竜様への忠誠心が見てとれるようだな",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,12
0,,"今回もダンジョンの場所を教えてやったが
次からは《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るから覚えておくんだ","今回もダンジョンの場所を教えてやったが
次からは《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るから覚えておくんだ",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,13
0,,"今まで集めた素材で作った装備品でなら
例の強敵とも互角に戦えるだろう","今まで集めた素材で作った装備品でなら
例の強敵とも互角に戦えるだろう",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,14
0,,"エクストリームミッションに参戦するなら
くれぐれも装備品の準備を怠るなよ
でなければ、戦うどころか
まともに立っていることすらできないと思え","エクストリームミッションに参戦するなら
くれぐれも装備品の準備を怠るなよ
でなければ、戦うどころか
まともに立っていることすらできないと思え",ui\00_message\quest\q60200007.gmd,\quest\q60200007.arc,q60200007.arc,15
0,,"よう、その後どうだ？
ダンジョンの探索は続けてるか？","よう、その後どうだ？
ダンジョンの探索は続けてるか？",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,0
0,,"またお前に新たな調査の依頼があるんだが――
そうだ、やることは一緒だ
お前のことだ、引き受けてくれるんだろう？","またお前に新たな調査の依頼があるんだが――
そうだ、やることは一緒だ
お前のことだ、引き受けてくれるんだろう？",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,1
0,,"今回の調査地候補は
魔赤島にある《橋向かいの坑道》
バートランド北部にある《ガルドノック廃水廊》
ザンドラ東部にある《幽玄の霊堂》
この３ヶ所だ","今回の調査地候補は
魔赤島にある《橋向かいの坑道》
バートランド北部にある《ガルドノック廃水廊》
ザンドラ東部にある《幽玄の霊堂》
この３ヶ所だ",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,2
0,,"今回も、エリアマスターのご機嫌を取らなければ
入れない場所があるようだな
各地のエリアランクを上げておくのを忘れずにな","今回も、エリアマスターのご機嫌を取らなければ
入れない場所があるようだな
各地のエリアランクを上げておくのを忘れずにな",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,3
0,,"もう３度目だからわかっているだろうが
３ヶ所全てを調査する必要はない
どこか１ヶ所で、最奥の宝箱を調査したら
俺に報告するんだ、いいな","もう３度目だからわかっているだろうが
３ヶ所全てを調査する必要はない
どこか１ヶ所で、最奥の宝箱を調査したら
俺に報告するんだ、いいな",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,4
0,,"いいか、もう一度説明するぞ
これから言う調査地に潜り
最奥の宝箱を調査する
――お前がやるのはこれだけだ","いいか、もう一度説明するぞ
これから言う調査地に潜り
最奥の宝箱を調査する
――お前がやるのはこれだけだ",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,5
0,,"今回の調査地候補は
魔赤島にある《橋向かいの坑道》
バートランド北部にある《ガルドノック廃水廊》
ザンドラ東部にある《幽玄の霊堂》
この３ヶ所だ","今回の調査地候補は
魔赤島にある《橋向かいの坑道》
バートランド北部にある《ガルドノック廃水廊》
ザンドラ東部にある《幽玄の霊堂》
この３ヶ所だ",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,6
0,,"各地のエリアマスターのご機嫌をとっておくのを
忘れないようにな","各地のエリアマスターのご機嫌をとっておくのを
忘れないようにな",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,7
0,,"毎度のことだが、３ヶ所全てを調査する必要はない
どこか１ヶ所で、最奥の宝箱を調査したら
俺に報告するんだ、いいな","毎度のことだが、３ヶ所全てを調査する必要はない
どこか１ヶ所で、最奥の宝箱を調査したら
俺に報告するんだ、いいな",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,8
0,,よし、今回もつつがなく調査を終えたようだな,よし、今回もつつがなく調査を終えたようだな,ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,9
0,,"次回はさらに難易度の高い調査地の依頼が来るだろう
困難を乗り越える者の眼前には
より高い壁が打ち立てられるのが常だ","次回はさらに難易度の高い調査地の依頼が来るだろう
困難を乗り越える者の眼前には
より高い壁が打ち立てられるのが常だ",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,10
0,,"何せ神殿がそれを望んでるんだ――
もしくはお前自身が望んでいるのかも知れないが――
俺はとにかく手筈を整えるだけだ","何せ神殿がそれを望んでるんだ――
もしくはお前自身が望んでいるのかも知れないが――
俺はとにかく手筈を整えるだけだ",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,11
0,,"それと、前にも言ったかもしれないが
《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るから覚えておくんだな","それと、前にも言ったかもしれないが
《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るから覚えておくんだな",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,12
0,,"宝箱を調査して集めた素材で作った装備品は
今後必ず役に立つ時が来る
何度も調査を繰り返して素材を集め、武器を強化しろ
――未来は過去の積み重ねだ","宝箱を調査して集めた素材で作った装備品は
今後必ず役に立つ時が来る
何度も調査を繰り返して素材を集め、武器を強化しろ
――未来は過去の積み重ねだ",ui\00_message\quest\q60200008.gmd,\quest\q60200008.arc,q60200008.arc,13
