0,,状態異常を与えるタイミングも大事じゃな,Timing to inflict status ailments is also important.,ui\00_message\quest\q60200112.gmd,\quest\q60200112.arc,q60200112.arc,22,Rudolfo
0,,"お前さんの戦いぶり、その精神力
しかと見届けた！
新たな技の継承の儀式は灯台に戻って行おうかの","Your battle prowess and indomitable will -
I've seen them with my own eyes!
Now to the lighthouse we return,
for the rite of the technique.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,12,Rudolfo
0,,"お前さんの戦いぶり、その精神力
しかと見届けた！","Your battle prowess and indomitable will -
I've seen them with my own eyes!",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,13,Rudolfo
0,,"新たな技の継承の儀式は灯台に戻って行おうかの
――さて、帰るとするか","Let us return to the lighthouse for the rite
of inheriting the new technique.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,14,Rudolfo
0,,"精神力でもって敵の力すら利用し
己自身を盾として皆を守る者
――そんなシールドセージに
お前さんは確かに近づいておるようじゃ","Using willpower to turn enemy force against itself,
standing as a living shield for others -
you're growing ever nearer
to becoming a true Shield Sage.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,15,Rudolfo
0,,"白竜様から賜りしこの技を使うにふさわしい
これからもよく護り、よく鍛えるようにな","You are worthy to wield this technique granted
by Lord White Dragon. 
Continue to protect and hone your skills.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,16,Rudolfo
0,,シールドセージはみなの砦であり灯台でもあるぞ,"A Shield Sage is both a fortress 
and a beacon for all.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,17,Rudolfo
0,,敵の攻撃を受け止め、反撃の力とするのじゃ,"Let the enemy's blow be caught
and become your returning might.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,18,Rudolfo
0,,敵の弱点属性を見極めることが大事じゃぞ,It's important to identify the enemy's weaknesses.,ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,19,Rudolfo
0,,味方がいるなら、その能力も把握しておくんじゃ,"If you have allies, be sure to understand
their abilities as well.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,20,Rudolfo
0,,属性を見極めた者が戦いを制するのじゃ,"Those who discern these attributes 
will control the battle.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,21,Rudolfo
0,,敵の弱点属性は把握しておるか？,Have you grasped the enemy's weaknesses?,ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,22,Rudolfo
0,,攻守の切替は自分にあった間合いをとるのじゃ,"Switching between offense and defense requires
finding your own optimal distance.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,23,Rudolfo
0,,状態異常を与えるタイミングも大事じゃな,Timing to inflict status ailments is also important.,ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,24,Rudolfo
0,,攻撃を防御してフォースバーストが基本じゃ,"Defending attacks to build 
Force Burst is fundamental.",ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,25,Rudolfo
0,,敵の動きを見極めることが肝心じゃ,It's crucial to read the enemy's movements.,ui\00_message\quest\q60200113.gmd,\quest\q60200113.arc,q60200113.arc,26,Rudolfo
0,,"ほう、白竜様からの力は受け取っておる
今回もお前さんにこの技を伝えるかどうか
わしに品定めしろということじゃな","Indeed, the White Dragon's might flows through me.
Now I must assess whether you
are ready to inherit this art.",ui\00_message\quest\q60200114.gmd,\quest\q60200114.arc,q60200114.arc,0,Rudolfo
0,,"どれほど護り、鍛えてきたか――
実戦で見せてもらうことにしようかの
試練の場で落ち合おうぞ","How much you have protected and trained—
Let me see it in actual combat.
Let us meet at the trial grounds.",ui\00_message\quest\q60200114.gmd,\quest\q60200114.arc,q60200114.arc,1,Rudolfo
0,,"おっと、試練の場に入るための
エリアランクは十分かの？
自分で確認してから向かうんじゃぞ","Hold on, is your Area Rank sufficient to enter
the trials grounds?
Confirm it yourself before proceeding.",ui\00_message\quest\q60200114.gmd,\quest\q60200114.arc,q60200114.arc,2,Rudolfo
0,,"どれほど護り、鍛えてきたか――
実戦で見せてもらうことにしようかの
試練の場で落ち合おうぞ","How much you have protected and trained—
Let me see it in actual combat.
Let us meet at the trial grounds.",ui\00_message\quest\q60200114.gmd,\quest\q60200114.arc,q60200114.arc,3,Rudolfo
0,,"おっと、試練の場に入るための
エリアランクは十分かの？
自分で確認してから向かうんじゃぞ","Hold on, is your Area Rank sufficient to enter
the trials grounds?
Confirm it yourself before proceeding.",ui\00_message\quest\q60200114.gmd,\quest\q60200114.arc,q60200114.arc,4,Rudolfo
