0,,"――《<SPOT 914>》の近くには
《<SPOT 959>》という
人の住まう塔がある","Near <SPOT 914>, there is a tower inhabited by people called <SPOT 959>.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,75
0,,"あんた、自分が覚者だってことに
誇りを持ってんだろ？
俺ら盗賊だって同じだ","You, you're proud of being a Reveler, right? We thieves are the same.",ui\00_message\npc\base\n2952.gmd,\npc\n2952.arc,n2952.arc,4
0,,"あー、見つかっちゃったか
隠れてるつもりだったんだけどなぁ","Ah, it seems I've been found out. I thought I was hiding well.",ui\00_message\npc\base\n2861.gmd,\npc\n2861.arc,n2861.arc,0
0,,"い、今までずっと先輩と一緒だったんですが
任地が分かれてしまいまして――
オレ一人では、何とも――","Well, I've always been with my senior until now, but our assignments were separated. I'm not sure if I can manage by myself.",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,3
0,,"いえね、俺ってこう見えて
元は木こりやってたんですよ
でも解放軍に入って、これは運命かも知れないって","Actually, I used to be a lumberjack. But now I'm in the Liberation Army, so this might be fate.",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,2
0,,"いてもたってもいられないって
こういう気持ちのことを言うのね――",I just couldn't sit around and do nothing. This is what I mean by these feelings.,ui\00_message\npc\base\n2907.gmd,\npc\n2907.arc,n2907.arc,3
0,,"いや、異なる竜に仕える方にお話しすることでも
ありませんな――","No, there's no need to talk to the one who serves a different dragon. That's not it.",ui\00_message\npc\base\n2753.gmd,\npc\n2753.arc,n2753.arc,4
0,,"うちの店、どうです？
よそのお店ってもっと品揃えが
良かったりするのかしら――",How do you like our shop? I wonder if other shops have better selections.,ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,2
0,,"うんうん、知ってるよ
戦争が始まったから、村の外に
出ちゃいけないんだよね","Yeah, I know. We can't leave the village because of the war.",ui\00_message\npc\base\n2908.gmd,\npc\n2908.arc,n2908.arc,1
0,,"ええ、どうぞこのロスギルで
長旅の疲れを癒してください
干し魚を使ったお粥、この辺りの名物なんです
こちらも、よかったら食べていってくださいね！","Well, feel free to rest in Rosgil. We have a local specialty, fish porridge made from fish caught in the Emerald Lake. You're welcome to have some too!",ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,4
0,,"お、お気遣いなく――
ええ、大丈夫ですから――","Don't worry about it. Yes, I'm fine.",ui\00_message\npc\base\n2956.gmd,\npc\n2956.arc,n2956.arc,8
0,,"おう、たったいま厄介な知らせが入った
どうやら魔軍のヤツらが不穏な動きを
始めているようだ","Oh, just received some troublesome news. It seems the demon army is starting to act suspiciously.",ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,15
0,,"おう、来たか
盗賊団のアジトから北へ進んだところに
かなり古い地下水路があるのは知っているか","Hey, you finally made it. Do you know about the pretty old underground waterways located north of the thieves' hideout?",ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,23
0,,"おおっ、覚者様
何かご用でしょうか！","Oh, Reveler, what can I do for you?",ui\00_message\npc\base\n2891.gmd,\npc\n2891.arc,n2891.arc,0
0,,"おっ、覚者さんじゃないですか
何かご用で？","Oh, it's not Reveler-san. What do you need?",ui\00_message\npc\base\n2906.gmd,\npc\n2906.arc,n2906.arc,0
0,,"お知り合いへのご連絡、それから
ポーンの呼び出しなんかも
お手伝いいたしますよ",I can help you contact acquaintances and call your Pawn as well.,ui\00_message\npc\base\n2904.gmd,\npc\n2904.arc,n2904.arc,1
0,,"お聞きになった？
あそこにいるミカエラっていう女の子
あの子の歌から、ネド王子のご存命が
わかったそうですわよ","Did you hear about it? Thanks to that girl Mikaela over there, we learned that Prince Nedo's alive from her song.",ui\00_message\npc\base\n2862.gmd,\npc\n2862.arc,n2862.arc,1
0,,"お頭はすっかり王子の取り巻きだ
盗賊稼業はどうなるのかね",The chief's already surrounded by Prince Nedo's entourage. What's going to happen to our thieving business?,ui\00_message\npc\base\n2951.gmd,\npc\n2951.arc,n2951.arc,3
0,,"かねてより封印を解かんと励んでいた
《<SPOT 912>》の封印を
ついに解くことができたのだ！","We've been working diligently to unlock the seal on the ""Spot 912"" sealstone, and we've finally done it!",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,60
0,,"きっとダナの住人たちは
彼らの武勇が村を守っていると
思っているでしょうね",I'm sure the people of Dana think their bravery is protecting the village.,ui\00_message\npc\base\n2750.gmd,\npc\n2750.arc,n2750.arc,13
0,,"こ、この通り――
ちょっと体調が悪そうに見えるらしくて――
「展望城に行けば医者がいるかもしれん」と
ここまで送っていただきまして、ハハハ――","You look sickly? Why don't you get some rest? If you stay here, it's <VAL PRICE_INN>, but are you staying?",ui\00_message\npc\base\n2956.gmd,\npc\n2956.arc,n2956.arc,6
0,,"こうしてお仕事をしていれば
少しは気もまぎれるというものです","In this central area of the swamp, there are harmful monsters gathering.",ui\00_message\npc\base\n2905.gmd,\npc\n2905.arc,n2905.arc,1
0,,"こうしてお仕事をし始めたのも
最近のことなんです
今はどこも大変ですからね","Take your time and get plenty of rest. If the monsters attack, I'll wake you up immediately, so don't worry.",ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,13
0,,"ここでの任務が終われば
また別の任地に送られるだけだ
ま、それが仕事だから","Since you're here, how about taking a little break too, Arisen? You need a good night's sleep to stay sharp for when it really matters.",ui\00_message\npc\base\n2893.gmd,\npc\n2893.arc,n2893.arc,2
0,,"ここにあるものは盗品じゃないから
安心して買い物してってくれ
――俺らはこういう日用品みたいな小物は
狙わない主義でね",Don't worry; the items here are not stolen. Feel free to shop with confidence. We have a policy not to target everyday items like this.,ui\00_message\npc\base\n2954.gmd,\npc\n2954.arc,n2954.arc,2
0,,"ここに閉じこもって、一体何を成しているのか
疑問に思うこともあるんです――
でも、塔を守ることも大切だし――","Sometimes, I wonder what we're accomplishing by staying here, but protecting the tower is important too.",ui\00_message\npc\base\n2756.gmd,\npc\n2756.arc,n2756.arc,2
0,,"ここまで来るのに疲れたって？
一眠りすれば楽になるんじゃない
ここに泊まるなら<VAL PRICE_INN>だけど
泊まっていくの？","You're tired from coming all this way? Maybe you'll feel better after a nap. If you're staying here, it's <VAL PRICE_INN>. Are you going to stay?",ui\00_message\npc\base\n2701.gmd,\npc\n2701.arc,n2701.arc,1
0,,"このエリア中心部の湿原に悪しき魔物たちが
集まっているようです
覚者様、力を貸していただけないでしょうか？","It seems that wicked creatures have gathered in the central marsh of this area. Arisen, could you lend your strength?",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,31
0,,"この件について、ボーデシアが
貴君に言いたいことがあるというのだ",Bodesia has something to tell you about this matter.,ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,44
0,,"この場は私が取りまとめていますが
この《イヴァノスの塔》の成り立ちについては
長老のベレナスに聞いてください","I'm managing this place, but please ask Elder Berenas about the history of the ""Tower of Ivannos.""",ui\00_message\npc\base\n2750.gmd,\npc\n2750.arc,n2750.arc,15
0,,"この塔をお掃除して、きれいにして――
でも、外の大地はどんどん穢れて
いっているんでしょう？","You're cleaning and beautifying this tower, but I wonder if the outside world is getting more corrupted?",ui\00_message\npc\base\n2756.gmd,\npc\n2756.arc,n2756.arc,3
0,,"この拠点の者は元々“塔を守る一族”――
知らず知らずの内に祖先の教えを受け継いでおる","The people in this base are originally from the ""family that protects the tower."" Unknowingly, they've inherited the teachings of their ancestors.",ui\00_message\npc\base\n2753.gmd,\npc\n2753.arc,n2753.arc,1
0,,"この村からほど近い北の地に
悪しき魔物たちが
集まろうとしているようです――",It seems that wicked creatures are gathering in the northern lands near this village.,ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,26
0,,"この村が解放されたのも
覚者様のお陰と聞いております
ありがとうございます","I've heard that this village was liberated, thanks to you, Arisen. Thank you.",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,1
0,,"この状況で、疲れ切った者に
さらに無理をしろとは――俺は言えん――
動ける人間で動かねばならん",To ask someone who's already exhausted in this situation to push even further – I can't say that. The ones who can move must move.,ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,5
0,,"この考えは最近確信に変わったのだが
貴君は――心からの良心によって
グリンデュアを救おうとしてくれているのだな","This belief has turned into a conviction for me recently, and you... you're trying to save Gransys with all your heart.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,34
0,,"この辺りのエリアマスターは
他にいたはずですが――
この混乱の中、行方が知れません","There should have been other Area Masters around here, but in this chaos, their whereabouts are unknown.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,5
0,,"この騒動はいい気晴らしになる
思う存分暴れてやるよ",This commotion will be a good diversion. Let's go wild to our heart's content.,ui\00_message\npc\base\n2952.gmd,\npc\n2952.arc,n2952.arc,0
0,,"これは俺だけではなく
このグリンデュアの民の総意だ
どうか受け取ってくれ",This is not just from me but the unanimous decision of the people of Gransys. Please accept it.,ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,95
0,,"これまでの礼として
今後、貴君への支給品の質をより向上させる
ことを決定した","As a token of gratitude so far, we have decided to improve the quality of supplies to you in the future.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,94
0,,"こんなところに潜んで
一体何になるっていうんだ――
ここでボサッとしてる奴らの気が知れねぇ",What's the point of lurking around in a place like this? I can't understand the mindset of these guys loafing around here.,ui\00_message\npc\base\n2803.gmd,\npc\n2803.arc,n2803.arc,1
0,,"こんな空は見たことがない
ああ、一生見たくなかった！","I've never seen a sky like this. Oh, I wish I'd never seen it!",ui\00_message\npc\base\n2705.gmd,\npc\n2705.arc,n2705.arc,7
0,,"ご宿泊は<VAL PRICE_INN>です
ロスギル名物、翡翠湖で採れた魚を使った
お粥もサービスしますよ！
きっと身も心も癒されるはずです",Your accommodation is <VAL PRICE_INN>. We'll also serve you some rice porridge made with fish from the famous Jade Lake in Losgill. It should surely heal your body and soul.,ui\00_message\npc\base\n2902.gmd,\npc\n2902.arc,n2902.arc,1
0,,"さっきからじろじろ見て
一体何なんです？
わたしもアデムも何も持ってませんからね！",You've been staring at us for a while now. What is it? Neither I nor Adem has anything on us!,ui\00_message\npc\base\n2957.gmd,\npc\n2957.arc,n2957.arc,5
0,,"しかし――誰かがエリアの情報を
取りまとめねばなりません
そこで、わたしがかりそめのエリアマスターを
名乗らせていただいております","However, someone has to gather information about the area. So I'm temporarily calling myself the Area Master.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,6
0,,"しかし、実はここについても
気軽に調査ができるわけではないのだ
なんといっても、入口は厳重に封印されている","But the truth is, you can't investigate this place casually. After all, the entrance is securely sealed.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,48
0,,"すでに命無き魔物たちの巣窟となり果てた
恐ろしい場所ではありますが、そこには
特別な価値を持つモノが眠っているそうです","Although it has already become a lair for lifeless creatures, it's a dreadful place. However, there are items with special value sleeping there.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,38
0,,"せっかくだ、休息は十分取っていってくれ
魔物の襲撃を受けでもすれば
即座に叩き起こすから安心しろ","Take your time and get plenty of rest. If the monsters attack, I'll wake you up immediately, so don't worry.",ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,6
0,,"せっかくですから、覚者様も
少し休んでいかれてはいかがです？
ぐっすりと眠らないといざという時
疲れに足を取られるといいますもの","Since you're here, how about taking a little rest, Arisen? They say that you'll need a good night's sleep for times of need.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,9
0,,"せっかく置いてもらっているのですから
盗賊の方たちのお役に立ちたいのですが――","We're here because you've left us this chance, and we'd like to be of service to the thieves.",ui\00_message\npc\base\n2955.gmd,\npc\n2955.arc,n2955.arc,3
0,,"そう、例えば《展望城》――
あれは文化的にも防衛的にも重要な城
魔軍の手に落ちてしまったのは
大変つらいことです","Yes, for example, the ""Overlook Castle."" It's an important castle both culturally and defensively. It's been a great hardship for it to fall into the hands of the demonic forces.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,8
0,,"そうだ、これを持っていけ
お前のお陰で、ここら辺でも
少しはマシな支援品が用意できるようになったぞ","Oh, right, take this with you. Thanks to you, we've been able to prepare slightly better supplies around here.",ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,11
0,,"そう話しかけられても
あんたのタメになるような話はできないぜ","Even if you talk to me, I can't tell you anything that would be of any benefit.",ui\00_message\npc\base\n2952.gmd,\npc\n2952.arc,n2952.arc,6
0,,"そしてその邪悪な魔物を
討ち果たして頂けただなんて！
この国はまたひとつ救われました――
感謝いたします","To think you would be able to defeat those evil creatures! Once again, our country has been saved. Thank you.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,42
0,,"その城下には、貴重な素材が
手に入る地下遺跡が残っているのです
危険な場所ですが、あなたのお力と
なるかも知れません","Beneath that castle town, there's an underground ruin that contains valuable materials. It's a dangerous place, but with your abilities, it might be possible to obtain them.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,30
0,,"その昔、神殿に足を踏み入れた者がいたそうな――
無事に神殿を出ることはできたんだが
安心して後ろを振り返った瞬間――","In the old days, it is said that someone set foot in the temple. They managed to get out safely, but the moment they relaxed and looked back—",ui\00_message\npc\base\n2705.gmd,\npc\n2705.arc,n2705.arc,2
0,,"そりゃ、辛いことも疲れも溜まってますけどね
働かないことには、ねぇ","Well, even with the hardships and exhaustion, we can't just sit around doing nothing, can we?",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,1
0,,"それと、もしよろしければ――
僅かな希望を胸に戦う兵たちをお救い下さい
どうか、よろしくお願いいたします――","Also, if you would, please help the soldiers who fight with a glimmer of hope in their hearts. Please, we're counting on you.",ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,25
0,,"それにしても、お前もなぜ
ラスニテ山麓に立ち寄ろうと思ったんだ？
これと言って珍しいものも無い場所だろう
力になってもらえるのはありがたいが――","But you, why did you decide to stop by at the base of the Rasenite Mountains? It's not a place with anything particularly unusual. While your help is appreciated, it's unusual for us.",ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,4
0,,"たちの悪い魔物どもの棲みかになってるが、
価値の高いものが採れることは間違いない
行くならしっかり準備してけよ","It's become the den of nasty monsters, but there's no doubt valuable items can be found there. If you're going, make sure you're well-prepared.",ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,24
0,,"たったあれだけの戦力で
あのカトブレパスを討伐してくるとは！
なんってやつだ、お前は――！",To defeat the Catoblepas with such limited forces! What a person you are!,ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,27
0,,"だが、もし――
もしも、此度も力を貸してくれるのであれば
再び俺に声をかけてほしい――","However, if... if you are willing to lend your strength again this time, please call on me once more.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,91
0,,"ちょっと――最近眠れなくて
ハッ、も、申し訳ございません
覚者様にお話するようなことではありませんでした","Hey, recently, I've had trouble sleeping. Ah, well, I apologize. It's nothing to discuss with an Arisen.",ui\00_message\npc\base\n2854.gmd,\npc\n2854.arc,n2854.arc,2
0,,"ちょっと荒っぽいヤツもいるかもしれないけど
皆気はいいヤツらだよ
他の拠点とそう変わらないって！","There might be a few rough ones here, but they're all good people. Not that different from other bases!",ui\00_message\npc\base\n2950.gmd,\npc\n2950.arc,n2950.arc,3
0,,"ついにこの話をする時が来たか――
この国を踏み荒らし、我が同胞たちの
命を奪ったあの憎き戦車――","The time has finally come to talk about this – the one who ravaged our country, the abominable tank that took the lives of our compatriots –",ui\00_message\npc\base\n2800.gmd,\npc\n2800.arc,n2800.arc,25
0,,"とんでもないことになるぞ――
災いだ、きっとこれこそが遺跡の災いだ！","This is going to be a major disaster, I'm sure of it! A calamity! It must be the disaster of the ruins!",ui\00_message\npc\base\n2705.gmd,\npc\n2705.arc,n2705.arc,8
0,,"どうか、かの神殿に赴き
魔族が活性化した理由を
探ってきてもらえないだろうか","Please, visit the temple and find out why the demonic forces have become active.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,61
0,,"なんといっても、文句を言う者たちも
《<SPOT 947>》に現れた魔物を
打ち倒す力を持ってはいないのだから――","After all, those who complain don't have the power to defeat the demons that appeared at <SPOT 947>, so –",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,39
0,,"はぁ――何です？
うちの子へのご用でも、私がお聞きしますから","What is it? If it's a matter concerning my child, I'll listen.",ui\00_message\npc\base\n2957.gmd,\npc\n2957.arc,n2957.arc,1
0,,"はいはい、何でしょうか
自分でお役に立てることならお手伝いします","Alright, alright, what can I help you with? If there's anything I can assist with, I'll be happy to.",ui\00_message\npc\base\n2859.gmd,\npc\n2859.arc,n2859.arc,0
0,,"はは、こうして人間らしく寝られるようになって
身も心も本当に助かりましたよ
木の根っこで丸まって休む日が続きましてね
限界だったんです","Haha, being able to sleep like a human has really been a lifesaver. I've spent days curled up under tree roots to rest. I was at my limit.",ui\00_message\npc\base\n2956.gmd,\npc\n2956.arc,n2956.arc,2
0,,"ふぅ――
あ、ハイハイ！　何がご入用でしょう？","Phew, uh, yes, what can I assist you with?",ui\00_message\npc\base\n2883.gmd,\npc\n2883.arc,n2883.arc,0
0,,"ほら、気持ちの持ち方ってところも
絶対あるはずだから――
せっかく生きてるんだ
前を向くふりだけでもしないと","See, there should be a way to change your perspective – you're still alive after all. You have to at least pretend to look forward.",ui\00_message\npc\base\n2801.gmd,\npc\n2801.arc,n2801.arc,12
0,,"ほんとはね、今も、ひとりでさみしい――
でも、助けてもらったんだから
わたしも頑張ります","Honestly, I still feel lonely now – but since you've helped me, I'll do my best.",ui\00_message\npc\base\n2860.gmd,\npc\n2860.arc,n2860.arc,3
0,,"まぁ、どう言いつくろっても盗賊だから
外でさ迷ってる人に声をかけても
逃げられることの方が多くて――","Well, even though I may act as a bandit, I've often talked to people wandering outside. Most times, they just run away.",ui\00_message\npc\base\n2953.gmd,\npc\n2953.arc,n2953.arc,12
0,,"まさか、わたしがこの辺りの
エリアマスターとして正式に認められることに
なるなんて――",I never thought I would officially be recognized as an Area Master around here.,ui\00_message\npc\base\n3050.gmd,\npc\n3050.arc,n3050.arc,13
0,,"また、このキンガル峡谷のため
手を貸してはもらえないだろうか――",Could you lend a hand for the Kin'garu Gorge too?,ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,70
0,,"みな不安がっている
もし、時間があればだが――
頼りに思う貴君に声をかけられれば、少しは
気も安らぐことだろう","Everyone is anxious. If you have the time, please consider reaching out to the valuable you.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,98
0,,"みんな、お腹いっぱい食べれば
少しは落ち着くと思うんだけど
緊張しちゃって食べる気にならないみたい","Everyone might feel a bit calmer if they eat their fill, but it seems they're too nervous to eat.",ui\00_message\npc\base\n2703.gmd,\npc\n2703.arc,n2703.arc,7
0,,"もう、捕らわれていた時は
色々と覚悟をしていましたので――
まだ緊張が抜けないと言いますか、ね――","Even when I was captured, I was prepared for various things. I can't say the tension has completely eased.",ui\00_message\npc\base\n2881.gmd,\npc\n2881.arc,n2881.arc,3
0,,"もしこのロスギルが危ない状態になっても――
私はここを離れないって決めてるんです
代々ここで商売してますんで","Even if Losgill were in danger, I've decided not to leave this place. My family has been running a business here for generations.",ui\00_message\npc\base\n2903.gmd,\npc\n2903.arc,n2903.arc,3
0,,"もし敵が攻めてきたらさ、アタシがまず
ここで少しでも時間を稼いで――
その間にリキャルドに門を閉めるように
言ってあるんだ","If the enemy attacks, I'll try to buy some time here, and during that time, I've told Ricard to close the gate.",ui\00_message\npc\base\n2855.gmd,\npc\n2855.arc,n2855.arc,3
0,,"もし貴君さえよければ
かの遺跡の内部を調べてきて
もらえないだろうか――
意にそわねば、聞かなかったことにしてくれ","If you're willing, could you investigate the interior of that ancient ruin? If you don't feel like it, you can pretend you didn't hear it.",ui\00_message\npc\base\n2700.gmd,\npc\n2700.arc,n2700.arc,33
0,,"よし、一休みするなら<VAL PRICE_INN>だ
――これで金儲けしようってんじゃない
寝床を整える手間賃みたいなもんだよ
で、休んでいくのか？","Alright, if you're going to take a break, it's <VAL PRICE_INN>. This is not about making money. It's more like a fee for preparing a comfortable place to sleep. So, are you going to rest?",ui\00_message\npc\base\n2953.gmd,\npc\n2953.arc,n2953.arc,1
0,,"んー、弱化してないけどな
ほら、気持ちの問題じゃないか？
ちょっとそこら辺で好みの子に
声かけてこれば気も晴れるよ、きっと","Well, I haven't weakened it. See, it's all about your attitude, right? If you just approach someone you like around here, your mood will definitely brighten up.",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,10
0,,"ん？　弱化してるヤツってのは
もっと弱弱しい感じになるんだぜ
あんた、強いみたいだが演技はまだまだだな","Huh? Weakened people tend to look weaker, you know? You seem strong, but your acting still needs work.",ui\00_message\npc\base\n2953.gmd,\npc\n2953.arc,n2953.arc,10
