0,,"“メルゴダの深淵”まで
ズールの命を持って来いって",Bring the life of Zuhl to the Mergoda Abyss.,ui\00_message\event\st0201\ev075.gmd,\event\st0201\st0201ev075.arc,st0201ev075.arc,12
0,,"船を使った運輸もできれば
より流通も捗るのですが","If we could also use ships for transportation, we
could make more progress in distribution than
",ui\00_message\npc\base\n1037.gmd,\npc\n1037.arc,n1037.arc,0
0,,"白竜神が墜ちてからというもの
大陸を取り巻く海流が変わったそうですよ
ヒュージブルの出現もその頃からだとか","The ocean currents surrounding the continent have
changed since the White Dragon God crashed
I heard that the emergence of Huge Bulls also
started around that time.",ui\00_message\npc\base\n1037.gmd,\npc\n1037.arc,n1037.arc,1
0,,"特に問題はありませんね
船の準備も堅調のようです","I don't see any problems.
The ship seems to be well prepared.",ui\00_message\npc\base\n1037.gmd,\npc\n1037.arc,n1037.arc,2
0,,こんにちは、覚者隊の方,"Hello, Arisen",ui\00_message\npc\base\n1037.gmd,\npc\n1037.arc,n1037.arc,3
0,,"やぁ、船の見学かい？
毎回破損しちゃうから、修理も大変だよ","Hey, you want to see the boat?
It gets damaged every time, so it's hard to fix
it.",ui\00_message\npc\base\n1038.gmd,\npc\n1038.arc,n1038.arc,0
0,,"深い水に入らないよう気を付けなよ
液体みたいな赤い魔物、ヒュージブルに
やられるぜ","Be careful not to go into deep water.
The liquid-like red monster, Huge Bull, will
get you.",ui\00_message\npc\base\n1038.gmd,\npc\n1038.arc,n1038.arc,1
0,,"なぁ、知ってるか？
船長はさ、実は昔《竜の巣》で――
いや！　何でもない忘れてくれ","Hey, you know what?
The captain, you know, actually used to be in
《Dragon's Den》 -
No!　It's nothing, forget it.",ui\00_message\npc\base\n1038.gmd,\npc\n1038.arc,n1038.arc,2
0,,やぁ！　覚者さん,Hello! Arisen-san,ui\00_message\npc\base\n1038.gmd,\npc\n1038.arc,n1038.arc,3
0,,"危ない場所に行く時は、いつもより
入念に準備してくださいね！","When you go to a dangerous place, please be more
carefully prepared than usual!",ui\00_message\npc\base\n1039.gmd,\npc\n1039.arc,n1039.arc,0
0,,"こちらは道具売り場です
各種お薬、お守りを取りそろえてます！","This is the tools department.
We have a variety of medicines and amulets!",ui\00_message\npc\base\n1039.gmd,\npc\n1039.arc,n1039.arc,1
0,,"お買い忘れはないですか～？
所持品を確認してくださいね","Did you forget to buy anything?
Please check your belongings!",ui\00_message\npc\base\n1039.gmd,\npc\n1039.arc,n1039.arc,2
0,,"いらっしゃいませ！
忘れ物があったら大変ですよ
出立前にぜひ確認を！","Welcome!
We'd hate for you to forget something.
Please check before you leave!",ui\00_message\npc\base\n1039.gmd,\npc\n1039.arc,n1039.arc,3
0,,"白竜様は休養中である
むやみに触れる、用もなく話しかけるなど
無礼は慎むように","Master Hakuryu is resting.
Please refrain from touching him unnecessarily,
talking to him without his business, etc.
Please refrain from rudeness.",ui\00_message\npc\base\n1040.gmd,\npc\n1040.arc,n1040.arc,0
0,,だから、私語は慎むように,"Therefore, please refrain from whispering.",ui\00_message\npc\base\n1040.gmd,\npc\n1040.arc,n1040.arc,1
0,,謁見の間では、くれぐれも騒がぬように,"Please make sure not to cause any disturbance in
the Audience Chamber.",ui\00_message\npc\base\n1040.gmd,\npc\n1040.arc,n1040.arc,2
0,,私語は慎むように,Please refrain from whispering.,ui\00_message\npc\base\n1040.gmd,\npc\n1040.arc,n1040.arc,3
0,,"夜間は暗いので、ランタンは必須です！
それに洞窟とか、視界がきかないところも
多いそうですよ","It is dark at night, so a lantern is a must!
Also, there are many caves and other 
places where visibility is limited.",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,0
0,,ランタン火種、たくさん買ってくださいね！,Please purchase a lot of Lantern Kindling!,ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,1
0,,"道具の仕入れも、最近ちょっとずつ厳しく
なってきたみたいなんです","It seems that purchasing tools has been 
getting a little tougher lately!",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,2
0,,"良ければ《クエストボード》にある資材手配にも
ご協力お願いしますね","If you don't mind, I'd appreciate your
cooperation in arranging materials on
the ""Quest Board"".",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,3
0,,"私、ここで働けて幸せだなって思います
だって、たくさんの覚者さまの
お役に立てますから！","I'm happy to work here because 
I can help many Arisen!",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,4
0,,"回復の薬は十分お持ちですか？
体力の回復ができないと大変ですよ
魔法だけだと疲れが残ってしまいますよ","Do you have enough medicine for recovery?
It's very hard to recover your strength.
Magic alone will leave you exhausted.",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,5
0,,"道具は旅の生命線です！
多めに買っていってくださいね","Tools are the lifeblood of your trip!
Please buy more!",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,6
0,,"たくさん持って行ってくださいね
現地調達できないこともありますから！","Please take plenty with you.
It may not be possible to procure locally!",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,7
0,,いらっしゃいませ、覚者さま！,"Welcome, Arisen!",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,8
0,,あの、いらっしゃいませ、覚者さま,"Er, welcome, Arisen.",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,9
0,,"その、私なんかがお聞きしていいのか
わからないんですけど
空の渦――あれはよくないものですよね","Well, I don't know if I'm the right person to ask
, but
the vortex in the sky--that's not a good thing,
is it?",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,10
0,,"レスタニアはどうなってしまうんでしょう
あの空の渦、すべてを吸い込んでしまいそう","What will happen to Lestania
That vortex in the sky, it seems to suck
everything in!",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,11
0,,"大変なことが起こってるんだって
胸がぎゅっと痛くなります","There's something terrible happening and it makes
my heart ache
",ui\00_message\npc\base\n1041.gmd,\npc\n1041.arc,n1041.arc,12
0,,"おぉ～～！！
わたしは幸せ者でーす！","Oh my goodness!
I'm such a fortunate person!",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,0
0,,"ここで歌い、たたずむだけで、なんと！
聞くことができるのですから！","Just by singing and standing here, look!
You can hear it!",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,1
0,,"幾人もの覚者さまの
素晴らしい冒険譚の数々をッ！
詩にすべき英雄的浪漫の数々をッ！！","The wonderful adventures of many arisen
! The heroic romance that should be turned into
poems
!!",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,2
0,,"あなたはご存知ですか？
伝承にある、白竜様と金色の竜の戦いを","Do you know? The battle between the White 
Dragon and the Golden Dragon, as told in 
legends?",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,3
0,,"あぁ、白竜様の銀翼が空を舞うお姿！
どれほど神々しく、どれほど感動的な
ことでしょう――！","Ah, the glorious sight of the White Dragon's
silver wings dancing in the sky! 
How divine, how deeply moving it is!",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,4
0,,"しかし、気になりませんか？
白竜様に敗れ墜ちた金色の竜は
その後どうなったのでしょうね","But aren't you curious?
I wonder what happened to the golden dragon 
that was defeated and crashed by Master 
Hakuryu after that?",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,5
0,,"良き旅には良き仲間、良き試練
そして良き歌を！","A good journey, good friends, good trials
and good songs!",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,6
0,,ではあなたの為に一曲――,So let me sing a song for you—,ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,7
0,,"ららら～
何かご用でも～？","La la la la~
What can I do for you?",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,8
0,,"おぉ～
なんという事でしょう～","Oh,
what a surprise!",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,9
0,,"あなたは今、他のミッションに参加予定ですね？
そちらを達成するか、予定を取り消してから
また来てくださ～い","You are now scheduled to participate in another
mission?
Please come back to
after you have either accomplished that one or
canceled your plans!",ui\00_message\npc\base\n1042.gmd,\npc\n1042.arc,n1042.arc,10
0,,"はい、覚者様
何なりとご用をお申し付けください","Yes, Ser Arisen
Please feel free to let us know if you have any
requests",ui\00_message\npc\base\n1043.gmd,\npc\n1043.arc,n1043.arc,0
0,,"神殿より、こちらのクランの
世話係を任されております","I have been entrusted as the caretaker of this
clan from the temple
If you have any requests, please let us know",ui\00_message\npc\base\n1043.gmd,\npc\n1043.arc,n1043.arc,1
0,,"ご要望がございましたら
何なりとお申し付けください","If you have any requests, please feel free to let
us know
",ui\00_message\npc\base\n1043.gmd,\npc\n1043.arc,n1043.arc,2
0,,"はい、覚者様
お話のお相手ですか？
わたくしでよろしければ、何なりとお話ください","Yes, Arisen, I am the one you want to talk to?
If it is alright with you, please feel free to
talk to me.",ui\00_message\npc\base\n1043.gmd,\npc\n1043.arc,n1043.arc,3
0,,"覚者様のクランをお任せいただけること、
光栄に思っております","We feel honored to be entrusted with your clan,
Ser Arisen
",ui\00_message\npc\base\n1043.gmd,\npc\n1043.arc,n1043.arc,4
0,,"そっちは魔物も危険で
何かあったとしても自分
助けにいける自信がありません！","The demons are dangerous there
and I'm not confident that I
would be able to help if something were to happen!",ui\00_message\npc\base\n1210.gmd,\npc\n1210.arc,n1210.arc,8
0,,暮らしは厳しくなる一方��よ,Life keeps getting tougher,ui\00_message\npc\base\n8020.gmd,\npc\n8020.arc,n8020.arc,4
0,,"レスタニアがこうむった知の損失は
計り知れないものがあるな
なに？
――命が持ち去られた？","The damage to Lestania's knowledge 
is beyond measure. 

What? 
— Lives have been stolen away?",ui\00_message\quest\q00000015.gmd,\quest\q00000015.arc,q00000015.arc,64
0,,"神殿と選ばれし覚者――
集った騎士団と町の者たち
すべては白竜のよろいではあるが――
今こそ剣に転じる時なのかもしれんな","The Temple and his chosen Arisen— 
The Knights and townsfolk gathered here...
All is for the sake of protecting the White Dragon—
Yet, it may be time to take up arms.",ui\00_message\quest\q00000015.gmd,\quest\q00000015.arc,q00000015.arc,66
0,,"もし、ディナン深層林に通じる山道が
通れないようならば――","If the mountain road connecting
Deenan Woods cannot be used—",ui\00_message\quest\q00000015.gmd,\quest\q00000015.arc,q00000015.arc,67
0,,"できることなら取り返して――
あの人が愛したエルテ・ディナンに
帰してあげてください！","If possible, please reclaim it—
Return it to Erte Deenan,
that place which was most dear to him.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,12
0,,"豚に変装して徘徊していれば
奴らが攫って砦に入れるかも――
ちょっと、無理があるでしょうか","If you dress as a pig and roam about, 
they might capture you and bring you to the 
fortress—though that seems a bit unlikely?",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,15
0,,"――ちがう？
そうか――神殿から来たのか
白竜様のためというわけだな","Nay? Ah, I see—
You've come from the Temple. 
So this is for the White Dragon's sake, then.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,21
0,,"よし――
ならば、組合宿《眠り狼亭》のサニーに聞くといい
もっとも、彼女の眼鏡に適わなければ
教えてはもらえんだろうがな","Alright— in that case,
try asking Sunny at the Sleeping Wolf Inn.
Mind you, if you don't impress her,
she likely won't tell you anything.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,22
0,,"その油断したところをブチのめして
鍵を奪えれば、一番の近道だろうね
もちろん命賭けさ――あんたの腕次第だしね","Seize the moment of their distraction,
and if you can grab the key,
it should be the fastest way.
Of course, it's a gamble with your life—
it depends on your ability.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,30
0,,"その油断したところをブチのめして
鍵を奪えれば、一番の近道だろうね
もちろん命賭けさ――あんたの腕次第だしね","Seize the moment of their distraction,
and if you can grab the key,
it should be the fastest way.
Of course, it's a gamble with your life—
it depends on your ability.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,33
0,,"そういえば、あなたと同じころ
凛々しく素敵な男性覚者が砦に入った
そうですが――","Speaking of which, a handsome,
dashing male Arisen headed for the stronghold
around the same time as you—",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,34
0,,"くそう――
一発逆転より地道な努力かよ
まあ、ガキの頃から知ってたけどな","Damn— I guess slow and steady
wins the race after all. Well,
guess I've known that since I was young.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,38
0,,"ほう――
晴れやかな顔をしているな
ということはつまり――","Oh—
you're looking quite cheerful.
So, that must mean—",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,39
0,,ほう――やるな,Oh— not bad at all!,ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,47
0,,なんだこの臭いは――死の臭い――,What is this odor— it reeks of death—,ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,48
0,,何事だ――この砦で――まさか――,What is going on— at this fortress— no way—,ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,49
0,,"よし、キースヒルトの遺志を――
願いを叶えてやろうじゃないか
手順はミシアルに聞くといい","Alright, let's fulfill Kieshildt's will—
we'll see his wishes fulfilled. 
Ask Mysial for the steps to take.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,70
0,,"しかし、この方法で命をつなぐことができる
無残に散った命も、ただ涙を誘うだけではない
――となれば俺に躊躇する理由はない","However, this method allows us to preserve
a precious life that has been taken from us.
The lives that were so cruelly scattered
do not only draw bitter tears.
—If that is so, I have no reason to hesitate.",ui\00_message\quest\q00000016.gmd,\quest\q00000016.arc,q00000016.arc,72
0,,"名前が出たディアマンテスのことだって
よく知る必要があるし――
これは忙しいぞ！","We need to know more about the
mentioned Diamantes too—
this will keep us busy!",ui\00_message\quest\q00000017.gmd,\quest\q00000017.arc,q00000017.arc,5
0,,"あなたの意志を尊重します――
でも、みんなの期待に応えることも
大切だと思いますよ？","I respect your will—
Yet I feel it is vital to also fulfill 
everyone's hopes, wouldn't you agree?",ui\00_message\quest\q00000017.gmd,\quest\q00000017.arc,q00000017.arc,12
0,,"それにしても――
調査自体には異論はないが
報告だ、会議だ、検討だ――
結論はいつになるのだろうな","That aside— 
I have no dissent regarding 
the investigation itself, 
but reports, meetings, and deliberations— 
I wonder when we'll reach a conclusion.",ui\00_message\quest\q00000018.gmd,\quest\q00000018.arc,q00000018.arc,2
0,,はは――,Haha—,ui\00_message\quest\q00000018.gmd,\quest\q00000018.arc,q00000018.arc,11
0,,"ハッ！　ジョゼフ様は無事にお連れした――
失礼もなかった――そう自負しております！","Ha! I have brought Joseph back safely— 
I mean no disrespect—I'm proud of it!",ui\00_message\quest\q00000018.gmd,\quest\q00000018.arc,q00000018.arc,51
0,,"なんの用だ？
我々に落ち度はなかったはず――","What is it you need? 
There shouldn't have been any faults—",ui\00_message\quest\q00000018.gmd,\quest\q00000018.arc,q00000018.arc,52
0,,"第二のアークも最初のとほとんど同じ――
意匠、紋様、紋章――ほぼ同じだったろう？","The second Ark is nearly identical to the first— 
The designs, patterns, and emblems—were they not?",ui\00_message\quest\q00000018.gmd,\quest\q00000018.arc,q00000018.arc,56
0,,"レオはまだ戻らないようだが――
先に敵の素性を話しておこう","It seems Leo has not returned yet— 
Let us discuss the enemy's identity first.",ui\00_message\quest\q00000019.gmd,\quest\q00000019.arc,q00000019.arc,4
0,,"また、灰色のうろこが増えています
誰も気にしていないように見えますが――","Moreover, the gray scales are increasing. 
It appears that no one has noticed, but—",ui\00_message\quest\q00000019.gmd,\quest\q00000019.arc,q00000019.arc,24
0,,"――へぇ、女性を探しに、わざわざ来たの
情熱的なことね","—Oh, you came all this way
in search of a woman? What passion.",ui\00_message\quest\q00000019.gmd,\quest\q00000019.arc,q00000019.arc,33
0,,わたしは大丈夫だから――,"I'm going to be fine, so—",ui\00_message\quest\q00000019.gmd,\quest\q00000019.arc,q00000019.arc,42
0,,"機嫌――いや、気分はどんな様子だった？
表情や言動から何か――","What was her mood—no, how was she feeling? 
Did you notice anything from her expressions,
her words, her behavior?",ui\00_message\quest\q00000019.gmd,\quest\q00000019.arc,q00000019.arc,47
0,,"いや――
たった今、元気だと聞いたばかりだったな","No— I only just heard she was doing fine
just moments ago.",ui\00_message\quest\q00000019.gmd,\quest\q00000019.arc,q00000019.arc,48
0,,"調和ある穏やかな暮らしの中で
ゴルゴランに邪心が芽生えたのか――
ディアマンテスが思い上がったのか――","Within a harmonious, tranquil life, 
did evil stir within Golgorran's heart— 
or perhaps, was it Diamantes' pride—",ui\00_message\quest\q00000020.gmd,\quest\q00000020.arc,q00000020.arc,6
0,,"もしそうだったら――どうしよう
わたし――どうしたらいいんだろう","If that's true— what do we do?
I, what can I even do?",ui\00_message\quest\q00000020.gmd,\quest\q00000020.arc,q00000020.arc,25
0,,"ふん――甘いな
覚者であることをどうやって忘れろと？","Hmph—how naive. 
How can one forget being Arisen?",ui\00_message\quest\q00000020.gmd,\quest\q00000020.arc,q00000020.arc,33
0,,これは――どう使えばいい？　おまえも考えてくれ,"This is—how should it be used? 
Well, you can figure it out.",ui\00_message\quest\q00000020.gmd,\quest\q00000020.arc,q00000020.arc,50
0,,イリス――やはりわからん――どうして――,"Iris—still, I don't understand—why—",ui\00_message\quest\q00000020.gmd,\quest\q00000020.arc,q00000020.arc,53
0,,ミシアル――そしてイリスのことを,About Mysial—and Iris.,ui\00_message\quest\q00000020.gmd,\quest\q00000020.arc,q00000020.arc,80
0,,"とは言え、レオは古いなじみ――信頼する友だ
争いは望まん","Even so, Leo is a long-time friend— 
He is a trusted companion.
I truly wish to avoid fighting him.",ui\00_message\quest\q00000021.gmd,\quest\q00000021.arc,q00000021.arc,17
0,,"対応に苦労するのは承知で乞うしかないが
レオと命の器を――頼む
このとおりだ","I understand it will be hard to handle, 
but I must ask for Leo and 
the Vessel of Life—please.",ui\00_message\quest\q00000021.gmd,\quest\q00000021.arc,q00000021.arc,18
0,,"ミシアル様がもういないなんて――
いつも白竜様のそばで微笑んでいるのが
当たり前だったから――","I can't believe Lady Mysial is gone— 
She was always there, smiling beside the White 
Dragon; it felt so natural—",ui\00_message\quest\q00000021.gmd,\quest\q00000021.arc,q00000021.arc,19
0,,俺に任せろ――,Leave it to me—,ui\00_message\quest\q00000021.gmd,\quest\q00000021.arc,q00000021.arc,34
0,,"内密でおまえに頼みたいことがある
他でもないミシアルのことなのだが――","There is something I wish to ask you 
in private. It's about Mysial—",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,1
0,,"新たなアークが現れ、その調査やイリスの件
そしてこの一連の出来事に関わる重大な可能性に
ついて話し合わなければならぬ中――","With the emergence of a new Ark, we must 
talk about the investigation, the matter of Iris,
and the significant possibilities related to
this series of events—",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,2
0,,"ミシアルが白竜の傍を離れるなど
ここしばらくなかったことだ――！","Mysial has not left the White Dragon's 
side for quite some time—!",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,4
0,,"ミシアルが白竜の傍を離れるなど
ここしばらくなかったことだ――！","Mysial has not left the White Dragon's 
side for quite some time—!",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,6
0,,"でも実は――びっくりしてご挨拶したら
みんなには内緒と言われてしまって――","But the truth is—when I said hello,
to my surprise, she told me 
to keep it a secret from everyone—",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,11
0,,"覚者であるあなたに護衛を依頼している――
そう思ってくれてかまいません","You may think that I am requesting
your protection as the Arisen—
that is perfectly fine.",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,23
0,,やはりずっと前の話になりますが――,"Indeed, this is a tale from long ago—",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,25
0,,"空を飛んでいる夢です
この上を大きく旋回する夢――","It's a dream of flying in the sky, 
a vision of gracefully circling above—",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,36
0,,"夢の中の人々は――
道行く人は誰も空を見上げようとはしません
白竜様はまったく気にしていないけれど
わたしは――悲しくてたまりません","The people in my dreams—
none of the passersby look up at the sky.
Lord White Dragon doesn't mind at all,
but I—cannot help but feel so sad.",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,37
0,,"わたしは空にいる白竜様を見た記憶があります
現実の記憶なのか想像した風景なのか
判然としないのですが――","I have a memory of Lord White Dragon soaring high
through the sky. It is unclear if this memory
is from reality or if it is a scene I conjured—
I cannot tell for sure.",ui\00_message\quest\q00000028.gmd,\quest\q00000028.arc,q00000028.arc,38
0,,言いたいことはたくさんあるさ――,There's a lot I want to say—,ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,2
0,,"知ってのとおりオークどもは
長年の拘りをあっさりと棄てて――","As you know, the Orcs easily cast aside
their long-held grudges—",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,15
0,,おいおい――,"Hey, hey—",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,24
0,,"素晴らしい――素晴らしい戦果だ
これで以前のオーク軍団に戻るかもな","Wonderful—what a splendid achievement!
This could mean a return
to the old orc army.",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,28
0,,"大変です、海側から現れた魔物に気を取られて
その間に――","This is bad; we're distracted by the
monsters that appeared from the sea,
and in the meantime—",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,29
0,,"――すまない
魔物に侵入されてしまって――","I apologize; we were 
overrun by monsters—",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,31
0,,"ザコだったが、騒ぎになってその隙に――
正直、想定外だった","They were weak, but the commotion
created an opening—
Frankly, I didn't expect that.",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,32
0,,"君たちが留守の間に敵の別働隊が――
別働隊って言うか､彼女が――","While you were away, an enemy detachment—
or rather, to be precise, she—",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,34
0,,あのね、あのね――ミシアル様が――,"Listen, you see— Lady Mysial—",ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,35
0,,面目ない――貴殿らに合わせる顔がないわ,I am embarrassed— I cannot face you all.,ui\00_message\quest\q00000029.gmd,\quest\q00000029.arc,q00000029.arc,36
0,,"噂を聞いて、ジッとしていられなくてね――
たまらないな、この腐臭","After hearing the rumors,
I couldn't sit idly by—
this foul odor is unbearable.",ui\00_message\quest\q00020010.gmd,\quest\q00020010.arc,q00020010.arc,15
0,,"嵐の中、魔物の犠牲になった村人たちもいる
我々騎士団があらかた見つけ出したはずだが――","Amidst the storm, there are villagers 
who became victims of the monsters. 
Our Knight's Order should have found 
most of them by now—",ui\00_message\quest\q00020010.gmd,\quest\q00020010.arc,q00020010.arc,19
0,,"ひどい嵐だったな――
気のせいだろうが、悪意さえ感じたよ","What a dreadful storm it was— 
I might be imagining it, but it felt malicious.",ui\00_message\quest\q00020010.gmd,\quest\q00020010.arc,q00020010.arc,21
0,,"ま、あの空の不気味な光も気になるが――
イテテテ――とりあえず、おまえに任せるわ","That eerie light in the sky is worrisome, 
but—ow, ow, ow! For now, I trust you with it.",ui\00_message\quest\q00020010.gmd,\quest\q00020010.arc,q00020010.arc,27
0,,"とにかく、ここが――イテテテ
ここがどこなのか――それを調べろ","Anyway, this place—ouch! 
Where is this place?—You must find that out.",ui\00_message\quest\q00020010.gmd,\quest\q00020010.arc,q00020010.arc,28
0,,"例の島――
おまえとガルドリンが瞬時に到着したという
あの島はどこにあるのか――","About that island— 
the one where you and Gurdolin 
arrived so suddenly—where is it?",ui\00_message\quest\q00020010.gmd,\quest\q00020010.arc,q00020010.arc,36
0,,そして島で遭遇したという黒い鎧の騎士――,"And the knight clad in black armor 
that was encountered on the island—",ui\00_message\quest\q00020010.gmd,\quest\q00020010.arc,q00020010.arc,38
0,,"こんなつらそうに眠る人を見たことがありません
起こした方がいいと思うんですけど――
隊長、どうします？","I haven't seen anyone sleep so restlessly before.
I feel we should wake them, but— Captain,
what do you think is the best course of action?",ui\00_message\quest\q00020020.gmd,\quest\q00020020.arc,q00020020.arc,12
0,,オレは厄災――そう簡単には消えないぞぉ,I am the calamity—I'm not so easily erased.,ui\00_message\quest\q00020020.gmd,\quest\q00020020.arc,q00020020.arc,35
0,,オマイ――女を隠しているな――,"You—you're hiding a woman, aren't you?",ui\00_message\quest\q00020020.gmd,\quest\q00020020.arc,q00020020.arc,36
0,,黒騎士よ――どうか力を――,"Black Knight—grant me your power, come to me—",ui\00_message\quest\q00020020.gmd,\quest\q00020020.arc,q00020020.arc,38
0,,"ああ――
どうすればご迷惑をかけた方々に
お詫びをすることができるでしょう","Ahh— 
What can I do to make amends to those
I've caused so much trouble?",ui\00_message\quest\q00020020.gmd,\quest\q00020020.arc,q00020020.arc,40
