0,TUTORIAL_STEP_686,"カスタムメイド工房での<COL ffdc78>《武具のリミット解除》</COL>は
下記の２つを揃えることで
何度でも行うことができます

　①★４まで強化された武器や防具
　②素材やリムなどの必要な費用

また、付与される性能は
<COL ffdc78>リミット解除を試すたびに上書きされる</COL>ため
成功時に付与される性能例を
確認しながら行いましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step384.gmd,\tguide\tutorial_guide_384.arc,tutorial_guide_384.arc,0
1,TUTORIAL_STEP_728,"精霊竜セシリー、そしてミシアルの導きにより
あなたは黒騎士に奪われた竜力を
取り戻すことに成功

さらには巨大な城塞都市メガド、その居住層の
奪還をも果たしました

かつては王都として栄華を誇った壮麗なるメガド
住民すらも全てを知らぬという広い都市には
まばゆい光に照らされ出でた影すらも
暗躍しているようです",,ui\00_message\tutorial_guide\steps\tutorial_guide_step392.gmd,\tguide\tutorial_guide_392.arc,tutorial_guide_392.arc,1
0,TUTORIAL_STEP_733,"<COL 78f5ff>《ポーンの特技》が解放されました！</COL>

ポーンの特技とは
<COL ffdc78>ポーンの活躍の場を増やす、新しいサポート技</COL>です

その技の種類は多様です
自身の能力を引き上げたり、体力を回復したり
時には、覚者を蘇生してくれたりもするでしょう

あなたのポーンは既に１つ特技を覚えているので
一緒に冒険して確かめてみて下さい！","<COL 78f5ff>""Pawn Special Skills"" unlocked!</COL>

What are Pawn Special Skills?
<COL ffdc78>These are a new type of support skill
for pawns.</COL>
There are several types of skills.
Such as increasing ones own abilities or
recovering health.
Occasionally, they can even revive the Arisen!
Your pawn already has 1 special skill
learned, so be sure to check that out.",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,0
1,TUTORIAL_STEP_735,"特技は、ポーンと共に冒険することで<COL ffdc78>《閃き》</COL>ます

閃いた特技は、自室のベル(※)にてセットが可能です
セット数が多いほど、特技が発動しやすくなるので
閃いた特技は忘れずにセットしましょう

(※)パーソナルクエスト＜不思議な呼び鈴＞を
　  クリアすると手に入ります","While adventuring with your pawns 
they will become <COL ffdc78>""Inspired""</COL>.

You can set inspired skills with the
bell (※) in your room.
The more skills you set, the easier they
are to activate so be sure to set them.

　※Acquired by completing Personal Quest
　　""Mysterious Summoning Bell"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,1
2,TUTORIAL_STEP_734,"特技には<COL ffdc78>《特技ランク》</COL>があり
高いほどより強力な効果で特技が発動しやすくなります

　天：もっとも高いランク
　空：高いランク
　地：通常のランク

特技は閃いた時に
<COL ffdc78>《取得》</COL>か<COL ffdc78>《破棄》</COL>を選択できます
破棄すると、次の機会に
より高ランクな特技を閃きやすくなります","There are different <COL ffdc78>""Skill Ranks""</COL>.
The higher the rank, the stronger the effect.

　Heaven: Highest Rank
　Sky: High Rank
　Earth: Normal Rank

When inspired with a skill you have the
choice to <COL ffdc78>""Acquire""</COL> or <COL ffdc78>""Discard""</COL>.
If you discard it, the next time they're inspired
there is a better chance for a higher rank.",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,2
3,TUTORIAL_STEP_736,"《閃き》はサポートポーンの影響を
受けることもあります

サポートポーンを一緒に連れて冒険すると
サポートポーンが覚えている特技をポーンが
閃きやすくなります

狙いたい特技がある時には
すでにその特技を覚えているサポートポーンを
探して雇用してみましょう！","Support pawns also have an
effect on ""Inspiration"".

If you bring a support pawn along on
an adventure, your pawn has a higher
chance of learning their Special Skills.

If there is a specific skill you want,
go hire a support pawn that has
already learned it!",ui\00_message\tutorial_guide\steps\tutorial_guide_step393.gmd,\tguide\tutorial_guide_393.arc,tutorial_guide_393.arc,3
0,TUTORIAL_STEP_737,"<COL 78f5ff>パーティーメンバーの
自室へ訪問できるようになりました！</COL>

パーティーメンバーがいる状態で
白竜神殿にいる宿屋のバートンに話しかけ
<COL ffdc78>《他人の自室訪問》</COL>を選択することで訪問できます

また、<COL ffdc78>《自室訪問設定》</COL>を選択すると
自室への訪問を許可するかどうかの設定を
行うことができます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step394.gmd,\tguide\tutorial_guide_394.arc,tutorial_guide_394.arc,0
0,TUTORIAL_STEP_729,"アッカーシェランの火山地帯には<COL ffdc78>《マグマ》</COL>があり
触れると一定間隔でダメージを受けてしまいます

深い場所に入るほどダメージ量も増え
覚者の移動速度も低下します

あまりにも深い場所に入ると
燃え尽きてしまい、死亡状態となります
　※その場合は、最後にいた陸地に戻されます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step395.gmd,\tguide\tutorial_guide_395.arc,tutorial_guide_395.arc,0
0,TUTORIAL_STEP_738,"エリアランク到達により、各地に存在する
<COL ffdc78>《王家によって封印されていた扉》</COL>が解放されます

扉の先には
貴重な宝物やそれを守る強敵など
さまざまな試練が待ち構えています

※扉は人目に付きにくい場所にあるので
　注意深く探索しましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step396.gmd,\tguide\tutorial_guide_396.arc,tutorial_guide_396.arc,0
0,TUTORIAL_STEP_740,"一部のエピタフロードでは
<COL ffdc78>全ての試練を解放することで挑戦できる
《大試練》をクリアすると、初回報酬として
貴重な装備の素材が入手できます</COL>
※初回報酬の受け取りは毎週リセットされます

大試練クリア後は
同じ区画の試練をクリアした際にも
素材がドロップするようになります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step397.gmd,\tguide\tutorial_guide_397.arc,tutorial_guide_397.arc,0
1,TUTORIAL_STEP_800,"＜試練報酬の確認＞

《報酬を確認する》では
試練クリア時に入手できるアイテム一覧と
入手数の確認ができます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step397.gmd,\tguide\tutorial_guide_397.arc,tutorial_guide_397.arc,1
2,TUTORIAL_STEP_793,"＜新しい区画＞

エピタフロードの入口を守っている
NPCに話しかけることで
新しい区画の解放が可能です

<COL ffdc78>パーティプレイでは、リーダーの
解放状況がメンバーに反映されます</COL>",,ui\00_message\tutorial_guide\steps\tutorial_guide_step397.gmd,\tguide\tutorial_guide_397.arc,tutorial_guide_397.arc,2
0,TUTORIAL_STEP_741,"<COL ffdc78>《黒呪の迷宮》</COL>は
探索のたびに、出現する敵や
入手できるアイテムが変わる
特殊なダンジョンを攻略するコンテンツです

1度手に入れた報酬や特別な宝箱は
《黒呪の迷宮リセット券》を使用する事で
再び入手が可能になり、繰り返し挑戦できます

※《黒呪の迷宮リセット券》は1週間に1度
　　黒呪の迷宮を訪れると補充されます","<COL ffdc78>""Bitterblack Maze""</COL> is a special dungeon
where the enemies and treasure change each
time you enter.

You can use a ""Bitterblack Maze Reset Ticket""
to reset chests and rewards, allowing you to
collect them again.

※""Bitterblack Maze Reset Ticket"" will restock
　each week after visiting Bitterblack Maze.",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,0
1,TUTORIAL_STEP_742,"黒呪の迷宮は、隔絶された世界ゆえに
レスタニアでの容姿とは違う姿で
冒険することができます

容姿は<COL ffdc78>黒呪の迷宮へと足を踏み入れる際
1度だけ変更可能</COL>です

※覚者の名前は変更できません","Bitterblack Maze is isolated from the
world, so you can travel it with a different
appearance.
	
Your appearance <COL ffdc78>can only be
changed upon your  first entrance to
Bitterblack Maze.</COL>

※You cannot change the name of the Arisen.",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,1
2,TUTORIAL_STEP_743,"コンテンツの進行状況は
キャラクターデータとして保存され
<COL ffdc78>いつでも進行の途中から始めることが可能</COL>です

<COL ffdc78>特定のエリアをクリアすることで
進行が保存される</COL>ので、最後まで諦めずに
クリアを目指して頑張りましょう！","Your character data is saved during
progression, <COL ffdc78>so you can resume
progress at any time</COL>.

<COL ffdc78>Progress is saved when you clear a specific area</COL>,
so try to reach all the way to the end!",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,2
3,TUTORIAL_STEP_798,"案内人リュカに《探索結果の報告》を行うことで
《金竜の印》、《銀竜の印》、《赤竜の印》を
報酬として受け取ることができます

・金竜の印　<COL ffdc78>所持上限 30個</COL>
　　《黒呪アイテムの持ち帰り》に使用します
・銀竜の印　<COL ffdc78>所持上限 150個</COL>
　　集めることで黒呪アイテムと交換できます
・赤竜の印　<COL ffdc78>所持上限 99999個</COL>
 　《黒呪装具の効果封印》に使用します","When you ""Report Search Results"" to the
guide Lyka you will recieve ""Gold Dragon Marks"",
""Silver Dragon Marks"", and ""Red Dragon Marks"".

・Gold Dragon Marks: <COL ffdc78>maximum amount x30</COL>
　Used for ""Bitterblack Item Takeaway"".
・Silver Dragon Marks: <COL ffdc78>maximum amount x150</COL>
　Can be exchanged for Bitterblack Items.
・Red Dragon Marks: <COL ffdc78>maximum amount x99999</COL>
　Used for ""Bitterblack Maze Effect Seal"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,3
4,TUTORIAL_STEP_788,"黒呪の迷宮については
チュートリアルガイドのカテゴリ<COL ffdc78>《黒呪の迷宮》</COL>に
まとまっています

プレイしていて分からないことや
気になることがあった時は
まずチュートリアルガイドを確認してみましょう","Bitterblack Maze tutorials are gathered in
the ""Bitterblack Maze"" tutorial guide category.

If there is something you don't understand
consult the tutorial guide.",ui\00_message\tutorial_guide\steps\tutorial_guide_step398.gmd,\tguide\tutorial_guide_398.arc,tutorial_guide_398.arc,4
0,TUTORIAL_STEP_744,"黒呪の迷宮にある《黒呪の宝箱》からは
様々な効果の付与されたジュエリーを
入手することができます

また、《黒呪のディードボックス》を
鑑定交換することでも
それらのジュエリーを入手できます","You can acquire jewelry with various
effects from the ""Bitterblack Chests"" inside
Bitterblack Maze.

You can also acquire jewelry from appraising
""Bitterblack Deed Boxes"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step399.gmd,\tguide\tutorial_guide_399.arc,tutorial_guide_399.arc,0
1,TUTORIAL_STEP_799,"鑑定交換する前に
《黒呪装具の効果封印》をしておくことで
<COL ffdc78>自分にとって不要な効果をあらかじめ封印できます</COL>

不要な効果を封印すると
その効果が発動することがなくなるため
<COL ffdc78>自分の欲しい効果が付与される確率が上がります</COL>","Before appraising, if you use
""Bitterblack Maze Effect Seal"" <COL ffdc78>you can seal
unwanted effects</COL>.

If you seal an unwanted effect it will no longer
show up, <COL ffdc78>so desired effects will become more
frequent</COL>.",ui\00_message\tutorial_guide\steps\tutorial_guide_step399.gmd,\tguide\tutorial_guide_399.arc,tutorial_guide_399.arc,1
0,TUTORIAL_STEP_100,"<COL ffdc78>《レスタニアニュース》は、
現在各地で起こっているさまざまなトピックが
掲載される、この世界の冒険ガイドです</COL>

神殿のセネカや、【<KC UI_GAME_MENU>】ゲームメニュー
<COL ffdc78>《クエスト》</COL>から読むことができます

配信中のワールドクエストやイベントなど
開催情報はここをチェックしましょう","<COL ffdc78>""Lestania News""
Things happening in all of Lestania are published here,
this is the guide to adventure of this world.</COL>

You can read it by talking to Seneka or from the [<KC UI_GAME_MENU>]
<COL ffdc78>""Quest""</COL> menu.

You can check information about 
available ""World Quests"" and ""Grand Quests"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step40.gmd,\tguide\tutorial_guide_40.arc,tutorial_guide_40.arc,0
1,TUTORIAL_STEP_99,"<COL ffdc78>掲載されているクエストを遊びたい人
同士のクイックパーティーや、最寄り拠点への
リム転移も可能です</COL>

また地域メニュー上の<COL ffdc78>《本日のパーティーボーナス》</COL>
対象のクエストは、他のプレイヤーとパーティーを
組んでクリアするとボーナス報酬が
得られるもので、内容はデイリーで変化します

レスタニアニュースは日々チェックしましょう","<COL ffdc78>You can do a ""Quick Party""
if you want to play a quest with other people,
You can also teleport near the Quest Area.</COL>

Also on the menu there is <COL ffdc78>""Today's Party Bonus"".</COL>
This is a bonus gained when you clear a quest with a party.
The bonus changes every day!
   	
Be sure to check the ""Lestania News"" daily!",ui\00_message\tutorial_guide\steps\tutorial_guide_step40.gmd,\tguide\tutorial_guide_40.arc,tutorial_guide_40.arc,1
0,TUTORIAL_STEP_745,"<COL ffdc78>黒呪の宝箱</COL>に入っている
《黒呪の指輪》を入手したときや
《黒呪のディードボックス》を鑑定交換した際に
<COL ffdc78>《黒呪装具の効果封印》</COL>が発動します

封印していない効果が付与された
《黒呪の指輪》を入手できるので
積極的に利用しましょう

<COL ffdc78>レアアイテムの鑑定交換は、
港洞や、黒呪の迷宮にいるリュカから行えます</COL>","When you obtain a ""Bitterblack Ring""
from inside a <COL ffdc78>Bitterblack Chest</COL> or
when you appraise a ""Bitterblack Deed Box"",
<COL ffdc78>""Bitterblack Equiment Effect Seal""</COL> is activated.
	
You can obtain a ring with a non-sealed
effect, so make sure to use it.
	
<COL ffdc78>You can appraise rare items by talking
to Lyka at the Cave Harbor or in the
Bitterblack Maze.</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step400.gmd,\tguide\tutorial_guide_400.arc,tutorial_guide_400.arc,0
0,TUTORIAL_STEP_746,"黒呪の迷宮で入手する武具は
装備レベルの制限がなく
手に入れてすぐに装備することが可能です

黒呪の迷宮で手に入れた武具を装備して
最深部をめざしましょう","Equipment acquired in the Bitterblack Maze
is not restricted by level, so you can equip
it immediately.

Equip the equipment found in Bitterblack Maze
and head for the innermost depths!",ui\00_message\tutorial_guide\steps\tutorial_guide_step401.gmd,\tguide\tutorial_guide_401.arc,tutorial_guide_401.arc,0
0,TUTORIAL_STEP_747,"黒呪の迷宮で手に入れたアイテムは
リュカに話しかけ、<COL ffdc78>＜黒呪アイテムの持ち帰り＞</COL>から
選択することでレスタニアに持ち帰ることができます
その際、<COL ffdc78>《金竜の印》や《黄金石》を消費します</COL>

　※持ち帰ることにしたアイテムは
　　黒呪の迷宮では使用できなくなります

黒呪の迷宮を探索して、様々なアイテムを
レスタニアに持ち帰りましょう！","Items found inside the Bitterblack Maze
can be brought back to Lestania by talking to
Lyka and selecting ""Bitterblack Item Takeaway"".
<COL ffdc78>This will consume either ""Gold Dragon Marks"" or
""Gold Gemstones"".</COL>

　※Items brought back from Bitterblack Maze
　　will not be able to be used inside.

Explore Bitterblack Maze and bring back
all kinds of items!",ui\00_message\tutorial_guide\steps\tutorial_guide_step402.gmd,\tguide\tutorial_guide_402.arc,tutorial_guide_402.arc,0
0,TUTORIAL_STEP_748,"黒呪の迷宮は、最深部まで到達しても
進行をリセットすることで
ふたたび探索できるようになります

リセットを行うと
<COL ffdc78>その際に所持しているアイテムは破棄されるため</COL>
必要なアイテムは《黒呪アイテムの持ち帰り》から
レスタニアに持ち帰りましょう","Even when you reach the end of Bitterblack
Maze you can reset your progress and
explore again.

When you reset <COL ffdc78>your items are lost</COL>, so
bring important items back through
""Bitterblack Item Takeaway"".",ui\00_message\tutorial_guide\steps\tutorial_guide_step403.gmd,\tguide\tutorial_guide_403.arc,tutorial_guide_403.arc,0
1,TUTORIAL_STEP_792,"リセットには下記の２種類があります

<COL ffdc78>①《進行のリセット》</COL>
　レベル１の状態に戻り、最初から遊べますが
　宝箱などの報酬はリセットされません
　他のプレイヤーと最初から遊ぶ場合に活用します

<COL ffdc78>②《進行と報酬のリセット》</COL>
　特別な宝箱やクリア報酬を再び入手可能です
　黒呪の迷宮を再周回するために必ず必要となります","There are two different types of resets:
	
<COL ffdc78>①""Reset Progress""</COL>
　Return to level 1 and play again from the
　start. Chests and rewards are not reset.
　Use when you want to play with other players
　from the start.

<COL ffdc78>②""Reset Rewards and Progress""</COL>
　Chests and rewards are available again.
　Necessary to explore Bitterblack Maze again.",ui\00_message\tutorial_guide\steps\tutorial_guide_step403.gmd,\tguide\tutorial_guide_403.arc,tutorial_guide_403.arc,1
0,TUTORIAL_STEP_749,"<COL ffdc78>《冒険ガイド》</COL>は
レスタニア大陸を旅する覚者たちに
今できることを教えてくれるガイドです

クエスト内容によって項目分けされているので
目的に合ったクエストを見つけて挑戦しましょう！",,ui\00_message\tutorial_guide\steps\tutorial_guide_step404.gmd,\tguide\tutorial_guide_404.arc,tutorial_guide_404.arc,0
1,TUTORIAL_STEP_750,"冒険ガイドは
【<KC UI_GAME_MENU>】ゲームメニュー《クエスト》の
<COL ffdc78>《冒険ガイド》</COL>からいつでも確認できます

また白竜神殿のアイザックからも
確認することができます",,ui\00_message\tutorial_guide\steps\tutorial_guide_step404.gmd,\tguide\tutorial_guide_404.arc,tutorial_guide_404.arc,1
2,TUTORIAL_STEP_751,"表示される項目には以下のようなものがあります

<COL ffdc78>《メインクエスト》</COL>
現在の進行に応じた、メインクエストの紹介

<COL ffdc78>《レベル上げミッション》/《レベル上げクエスト》</COL>
ジョブに応じた、レベル上げ方法の紹介

<COL ffdc78>《冒険に役立つクエスト》</COL>
施設や機能が解放されるクエストの紹介",,ui\00_message\tutorial_guide\steps\tutorial_guide_step404.gmd,\tguide\tutorial_guide_404.arc,tutorial_guide_404.arc,2
3,TUTORIAL_STEP_789,"<COL ffdc78>《コラボ/シーズナルクエスト》</COL>
現在、開催されているイベント系クエストの紹介

<COL ffdc78>《エリア試練/エリアミッション》</COL>
現在受注可能な、エリア試練とエリアミッションの紹介",,ui\00_message\tutorial_guide\steps\tutorial_guide_step404.gmd,\tguide\tutorial_guide_404.arc,tutorial_guide_404.arc,3
4,TUTORIAL_STEP_784,"《レベル上げミッション》は
冒険ガイドから<COL ffdc78>《参加する》</COL>を選ぶことで
受注することが可能です

その他クエストに関しては
冒険ガイドから<COL ffdc78>《ナビゲート設定》</COL>を選ぶことで
クエスト受注までの距離や受注できる場所が
明確に分かるようになります

※ワイルドハントは《ナビゲート設定》ができません
　《地図で確認》は受注することで可能になります",,ui\00_message\tutorial_guide\steps\tutorial_guide_step404.gmd,\tguide\tutorial_guide_404.arc,tutorial_guide_404.arc,4
0,TUTORIAL_STEP_752,"<COL ffdc78>《霧の森の死闘》</COL>は
最大８人のパーティーを結成して
悪しき竜軍に占領された霧の森を
進攻するウォーミッションです

各征圧エリアを奪還すると自軍の旗が設置されますが
敵の攻撃で壊されてしまうこともあります

奪還したエリアが敵軍に攻め込まれないよう
ミニマップを参考に、常に気を配りましょう",,ui\00_message\tutorial_guide\steps\tutorial_guide_step405.gmd,\tguide\tutorial_guide_405.arc,tutorial_guide_405.arc,0
