"0","","さて、次はいよいよ
第二防衛区画の攻略を始めるとしよう！","さて、次はいよいよ
第二防衛区画の攻略を始めるとしよう！","ui\00_message\quest\q10310601.gmd","\quest\q10310601.arc","q10310601.arc","87"
"0","","まぁ、あくまで可能性の話に過ぎないが","まぁ、あくまで可能性の話に過ぎないが","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","33"
"0","","最近、若い盗賊の娘が
城内をウロウロしておる","最近、若い盗賊の娘が
城内をウロウロしておる","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","34"
"0","","害はなさそうだが
あちこち物色してる姿をよく見かける","害はなさそうだが
あちこち物色してる姿をよく見かける","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","35"
"0","","どこかでその《古井戸の地図》を
見かけてないとも限らん","どこかでその《古井戸の地図》を
見かけてないとも限らん","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","36"
"0","","まぁ、あくまで可能性の話に過ぎないが","まぁ、あくまで可能性の話に過ぎないが","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","37"
"0","","あ、隊長！
サムエルは何か知ってそうだったかい？","あ、隊長！
サムエルは何か知ってそうだったかい？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","38"
"0","","――う～ん、そうか困ったなぁ
さすがに“一か八かの古井戸大冒険”を
するわけにもいかないしな","――う～ん、そうか困ったなぁ
さすがに“一か八かの古井戸大冒険”を
するわけにもいかないしな","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","39"
"0","","迷ったら絶対出てこられないし――
地下牢暮らしはまだ良いとしても","迷ったら絶対出てこられないし――
地下牢暮らしはまだ良いとしても","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","40"
"0","","“部屋”ですらない
古井戸に永住するつもりはないからね！","“部屋”ですらない
古井戸に永住するつもりはないからね！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","41"
"0","","――隊長
残念なお知らせがある
どうやら奪還作戦もここまでのようだ！","――隊長
残念なお知らせがある
どうやら奪還作戦もここまでのようだ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","42"
"0","","心当たりがある","I have an idea","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","43"
"0","","作戦を終わりにする","作戦を終わりにする","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","44"
"0","","え、本当？！
そういう大事なことは
作戦参謀がみんなの前で
匙を投げる前に言ってほしいな！","え、本当？！
そういう大事なことは
作戦参謀がみんなの前で
匙を投げる前に言ってほしいな！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","45"
"0","","ほんと、隊長も人が悪いなぁ！","ほんと、隊長も人が悪いなぁ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","46"
"0","","で、で！
その“心当たり”というのは？","で、で！
その“心当たり”というのは？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","47"
"0","","――ふむふむ、なるほど
この城にいる盗賊の娘、か","――ふむふむ、なるほど
この城にいる盗賊の娘、か","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","48"
"0","","そう言えば、確かにここ最近見かけるね
兵士たちとも仲良く話してるようだから
特に気にしてはいなかったけど","そう言えば、確かにここ最近見かけるね
兵士たちとも仲良く話してるようだから
特に気にしてはいなかったけど","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","49"
"0","","確かに、何かを探すには
うってつけの人物かもしれない","確かに、何かを探すには
うってつけの人物かもしれない","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","50"
"0","","すまないけど、その娘に事情を話して
知ってることがないか聞いて来てもらえるかな？！","すまないけど、その娘に事情を話して
知ってることがないか聞いて来てもらえるかな？！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","51"
"0","","そうだよね、やっぱり――","そうだよね、やっぱり――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","52"
"0","","隊長、今までありがとう
ネド王子から託されたこの重大な任務を
完遂できなかったとあれば――","隊長、今までありがとう
ネド王子から託されたこの重大な任務を
完遂できなかったとあれば――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","53"
"0","","このソネル、再び光の届かない冷たい石の部屋で
狂人を演じる生活に戻ることにするよ","このソネル、再び光の届かない冷たい石の部屋で
狂人を演じる生活に戻ることにするよ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","54"
"0","","そしてやがてはみんなから忘れ去られ――
たまに通りかかる盗賊だけが
好奇心でボクをからかいにやって来る","そしてやがてはみんなから忘れ去られ――
たまに通りかかる盗賊だけが
好奇心でボクをからかいにやって来る","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","55"
"0","","それがこれから待つ、ボクの新たな人生さ――","それがこれから待つ、ボクの新たな人生さ――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","56"
"0","","隊長、こんなボクに
最後に何か言葉をかけておくれよ","隊長、こんなボクに
最後に何か言葉をかけておくれよ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","57"
"0","","――え？　その盗賊が最後の希望になるかも？
サムエルがそう言ってた――と","――え？　その盗賊が最後の希望になるかも？
サムエルがそう言ってた――と","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","58"
"0","","事情はさっぱり呑み込めないが
ボクの人生を救えるのは盗賊だけだ！","事情はさっぱり呑み込めないが
ボクの人生を救えるのは盗賊だけだ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","59"
"0","","隊長、頼んだよ！","隊長、頼んだよ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","60"
"0","","ボクの人生を救ってくれるなら
盗賊でも貴族でも蛮族でも――
何ゾクでも大歓迎さ！","ボクの人生を救ってくれるなら
盗賊でも貴族でも蛮族でも――
何ゾクでも大歓迎さ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","61"
"0","","さ、早く頼んだよ、隊長！","さ、早く頼んだよ、隊長！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","62"
"0","","ん？　なんだ覚者さんか
あたしになんか用？","ん？　なんだ覚者さんか
あたしになんか用？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","63"
"0","","え？　《古井戸の地図》を探してる？
ふーん、なんで？","え？　《古井戸の地図》を探してる？
ふーん、なんで？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","64"
"0","","重要な作戦に必要？
なんだか分からないけど、それがあれば
戦が終わるんだったら協力してあげてもいいよ","重要な作戦に必要？
なんだか分からないけど、それがあれば
戦が終わるんだったら協力してあげてもいいよ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","65"
"0","","なんてったって戦が終われば
また楽しく盗みに入れる生活に戻れるからね！","なんてったって戦が終われば
また楽しく盗みに入れる生活に戻れるからね！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","66"
"0","","う～ん、“古い地図”ねぇ――
まぁ、ようするにくたびれた紙切れよね","う～ん、“古い地図”ねぇ――
まぁ、ようするにくたびれた紙切れよね","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","67"
"0","","どうせなら宝石みたいなものを盗みに入りたいから
あたしはあんまり気に留めないんだけどさ","どうせなら宝石みたいなものを盗みに入りたいから
あたしはあんまり気に留めないんだけどさ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","68"
"0","","でもまぁ、あたし
嫌いじゃないよ？　ロマンとかそういうの
宝の地図とかさ、ちょっとわくわくするし","でもまぁ、あたし
嫌いじゃないよ？　ロマンとかそういうの
宝の地図とかさ、ちょっとわくわくするし","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","69"
"0","","お目当ての地図かどうかはわからないけど
《大聖堂》をフラフラ探索してるときに
いくつかそれらしいもの見た気もするかなぁ","お目当ての地図かどうかはわからないけど
《大聖堂》をフラフラ探索してるときに
いくつかそれらしいもの見た気もするかなぁ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","70"
"0","","あ、まだ何も盗んでないからね！
今は、この城にいるのがなんか楽しくてさ
興味本位で見物してるだけなの","あ、まだ何も盗んでないからね！
今は、この城にいるのがなんか楽しくてさ
興味本位で見物してるだけなの","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","71"
"0","","とりあえず、《大聖堂》の中
探してみたら？","とりあえず、《大聖堂》の中
探してみたら？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","72"
"0","","お目当ての地図かどうかはわからないけど
《大聖堂》をフラフラ探索してるときに
いくつかそれらしいもの見た気もするかなぁ","お目当ての地図かどうかはわからないけど
《大聖堂》をフラフラ探索してるときに
いくつかそれらしいもの見た気もするかなぁ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","73"
"0","","あ、まだ何も盗んでないからね！
今は、この城にいるのがなんか楽しくてさ
興味本位で見物してるだけなの","あ、まだ何も盗んでないからね！
今は、この城にいるのがなんか楽しくてさ
興味本位で見物してるだけなの","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","74"
"0","","とりあえず、《大聖堂》の中
探してみたら？","とりあえず、《大聖堂》の中
探してみたら？","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","75"
"0","","お！　隊長！
その顔から察するに、何か収穫が――","お！　隊長！
その顔から察するに、何か収穫が――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","76"
"0","","ちょっと見せてもらえるかな？
――ふむふむ","ちょっと見せてもらえるかな？
――ふむふむ","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","77"
"0","","間違いない！　これだよ！
《第二防衛区画の古井戸の地図》！","間違いない！　これだよ！
《第二防衛区画の古井戸の地図》！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","78"
"0","","なるほど、つまりここからこうなって
こっちと見せかけて実はそっちだったりするわけか
そうなるとここへ出るには――","なるほど、つまりここからこうなって
こっちと見せかけて実はそっちだったりするわけか
そうなるとここへ出るには――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","79"
"0","","うんうん、これさえあれば
思った通りの場所に出られそうだ！","うんうん、これさえあれば
思った通りの場所に出られそうだ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","80"
"0","","まぁ、この地図も井戸も古いからね
実際は今もこの通り繋がっているかは
定かではないけど――","まぁ、この地図も井戸も古いからね
実際は今もこの通り繋がっているかは
定かではないけど――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","81"
"0","","迷路のような構造が幸いして
いくつか迂回できそうなルートもあるし
なんとかなるんじゃないかな！","迷路のような構造が幸いして
いくつか迂回できそうなルートもあるし
なんとかなるんじゃないかな！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","82"
"0","","や、さすがは隊長だ！
またしてもボクの人生最大のピンチを
救ってしまった――","や、さすがは隊長だ！
またしてもボクの人生最大のピンチを
救ってしまった――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","83"
"0","","この紙切れ一枚のおかげで
首の皮一枚繋がったよ！","この紙切れ一枚のおかげで
首の皮一枚繋がったよ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","84"
"0","","よし！　さっそくこの《古井戸の地図》を元に
《第二防衛区画》の攻略作戦を練るとしよう","よし！　さっそくこの《古井戸の地図》を元に
《第二防衛区画》の攻略作戦を練るとしよう","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","85"
"0","","ありがとう隊長！
作戦が決まるまで、ゆっくり休んでいてくれ
地下牢なんか涼しくて静かだし、休むのに
うってつけさ！","ありがとう隊長！
作戦が決まるまで、ゆっくり休んでいてくれ
地下牢なんか涼しくて静かだし、休むのに
うってつけさ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","86"
"0","","こ、これは――","こ、これは――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","87"
"0","","牛肉1400ｇ、玉ねぎ8個
ニンジン5本にじゃがいも10個
味付けに赤ワインと塩コショウ少々
生クリームはお好みで――","牛肉1400ｇ、玉ねぎ8個
ニンジン5本にじゃがいも10個
味付けに赤ワインと塩コショウ少々
生クリームはお好みで――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","88"
"0","","約10人分のシチューのレシピじゃないか！","約10人分のシチューのレシピじゃないか！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","89"
"0","","こう見えてボクはシチューには目がなくてね！
特に、この城の食堂のシチューは絶品さ！","こう見えてボクはシチューには目がなくてね！
特に、この城の食堂のシチューは絶品さ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","90"
"0","","しかし――
入っている具材が食堂のと少し違うな
ボクがこの城に来る前のレシピだろうか","しかし――
入っている具材が食堂のと少し違うな
ボクがこの城に来る前のレシピだろうか","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","91"
"0","","その前とか、さらにその前の前とか――
もしかしたら古代のシチューのレシピすら
残っている可能性があるぞ！","その前とか、さらにその前の前とか――
もしかしたら古代のシチューのレシピすら
残っている可能性があるぞ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","92"
"0","","隊長！　実にイイものを見つけてくれた！
他にもっとないか、探してきてくれたまえ！","隊長！　実にイイものを見つけてくれた！
他にもっとないか、探してきてくれたまえ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","93"
"0","","え？　《古井戸の地図》はって？
意外だね！
隊長が、古井戸に目がないなんて知らなかったよ！","え？　《古井戸の地図》はって？
意外だね！
隊長が、古井戸に目がないなんて知らなかったよ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","94"
"0","","ボクはすでに運命的なものと出会ってしまったからね
隊長の“ソレ”が見つかるよう、祈っておくよ！","ボクはすでに運命的なものと出会ってしまったからね
隊長の“ソレ”が見つかるよう、祈っておくよ！","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","95"
"0","","これは――","これは――","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","96"
"0","","『さすらい料理日記（ラスニテ山麓編）』","『さすらい料理日記（ラスニテ山麓編）』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","97"
"0","","『私は、一人のしがない料理人――
　この大陸で旅をしながら
　“料理の道”を極めるべく
　各地を転々としている』","『私は、一人のしがない料理人――
　この大陸で旅をしながら
　“料理の道”を極めるべく
　各地を転々としている』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","98"
"0","","『ある時、ラスニテ山麓で
　イノシシの群れに襲われた――
　その時私を助けてくれたのは、意外な人物だった』","『ある時、ラスニテ山麓で
　イノシシの群れに襲われた――
　その時私を助けてくれたのは、意外な人物だった』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","99"
"0","","『彼は盗賊としては少しふくよかな体系だったが
　疾風の如く駆け回り、イノシシの群れを軽くいなし
　瞬く間に追い払ってしまった』","『彼は盗賊としては少しふくよかな体系だったが
　疾風の如く駆け回り、イノシシの群れを軽くいなし
　瞬く間に追い払ってしまった』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","100"
"0","","『色んな意味で意外な救世主だったが
　彼が逃げ遅れたイノシシを一匹捕まえて来たので
　お礼に腕を振るわせてくれないかと提案をした』","『色んな意味で意外な救世主だったが
　彼が逃げ遅れたイノシシを一匹捕まえて来たので
　お礼に腕を振るわせてくれないかと提案をした』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","101"
"0","","『彼は快く私の申し出を受けてくれたばかりか
　日も暮れていたため、彼らのアジトで
　一泊宿を取らせてもらうこととなった』","『彼は快く私の申し出を受けてくれたばかりか
　日も暮れていたため、彼らのアジトで
　一泊宿を取らせてもらうこととなった』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","102"
"0","","『“盗賊のアジト”と聞き、やや不安もあったが――
　彼らは気の良い連中で、私の思っていた
　盗賊のイメージとは少し違っていた』","『“盗賊のアジト”と聞き、やや不安もあったが――
　彼らは気の良い連中で、私の思っていた
　盗賊のイメージとは少し違っていた』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","103"
"0","","『この辺りには食材となるものはそれなりにあったが
　肝心の料理人と呼べる人間がおらず
　私はすっかり彼らに気に入られてしまった』","『この辺りには食材となるものはそれなりにあったが
　肝心の料理人と呼べる人間がおらず
　私はすっかり彼らに気に入られてしまった』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","104"
"0","","『気が付けば、三か月近い月日が経っており
　私はすっかり“盗賊の料理番”となっていた
　いつの間にか、弓の扱いも覚えるほどに』","『気が付けば、三か月近い月日が経っており
　私はすっかり“盗賊の料理番”となっていた
　いつの間にか、弓の扱いも覚えるほどに』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","105"
"0","","『ある日、食材を探しに森を探索していたところ
　突然空から巨大な何かが降って来た』","『ある日、食材を探しに森を探索していたところ
　突然空から巨大な何かが降って来た』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","106"
"0","","『それは、見たこともない白い毛並みの
　巨大なイノシシだった――』","『それは、見たこともない白い毛並みの
　巨大なイノシシだった――』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","107"
"0","","『魔物から逃げようとして崖から滑り落ちたのか――
　理由は定かではないが、ちょうどその日は
　獲物も見つからず帰ろうとしていたところだ』","『魔物から逃げようとして崖から滑り落ちたのか――
　理由は定かではないが、ちょうどその日は
　獲物も見つからず帰ろうとしていたところだ』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","108"
"0","","『さすがに担いで帰るわけにもいかず
　一番おいしそうな部分だけを
　ありがたく持ち帰ることにした』","『さすがに担いで帰るわけにもいかず
　一番おいしそうな部分だけを
　ありがたく持ち帰ることにした』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","109"
"0","","『その日の晩、私はその肉を使って鍋料理を作った
　それは、料理人の私も驚くほどの食感で――』","『その日の晩、私はその肉を使って鍋料理を作った
　それは、料理人の私も驚くほどの食感で――』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","110"
"0","","『“フワフワなのに、ワイルドな噛みごたえ”
　まさにそんな感じだった』","『“フワフワなのに、ワイルドな噛みごたえ”
　まさにそんな感じだった』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","111"
"0","","『彼らの驚くような顔がなんだか面白かったし
　二度と手に入るものでもないと思ったので
　食材の正体は秘密にしておいた』","『彼らの驚くような顔がなんだか面白かったし
　二度と手に入るものでもないと思ったので
　食材の正体は秘密にしておいた』","ui\00_message\quest\q10310602.gmd","\quest\q10310602.arc","q10310602.arc","112"
