"5","q60300500_00_3211","第二試練の場所へ向かう","Head to the location of the second test","ui\00_message\quest_info\q60300500_00.gmd","\quest\q60300500.arc","q60300500.arc","5"
"0","","おう、遅かったな
おいおい――なんだ、その不満げなツラはよ？","おう、遅かったな
おいおい――なんだ、その不満げなツラはよ？","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","6"
"0","","これから向かう先は、けっこう危ねえ
ところらしくてよ
見届けるのに丁度良い手合いがいねえらしい
んで、俺に声が掛かったてわけだ","これから向かう先は、けっこう危ねえ
ところらしくてよ
見届けるのに丁度良い手合いがいねえらしい
んで、俺に声が掛かったてわけだ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","7"
"0","","ま、細けえことは良いじゃねえか
しっかり見届けてやっからよ
とっとと始めようぜ！","ま、細けえことは良いじゃねえか
しっかり見届けてやっからよ
とっとと始めようぜ！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","8"
"0","","とにかく試練はきっちり見届けさせて貰ったぜ
<NPC 3050>とこへ戻るとするか","とにかく試練はきっちり見届けさせて貰ったぜ
<NPC 3050>とこへ戻るとするか","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","9"
"0","","お見事です、覚者さま
覚者さまが身に纏いしその力――
試練の最中、既に火竜様の加護を身に帯びて
おられるようです","お見事です、覚者さま
覚者さまが身に纏いしその力――
試練の最中、既に火竜様の加護を身に帯びて
おられるようです","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","10"
"0","","さあ、我が大陸の竜力の加護を持って
白竜様の元へお向かい下さい","さあ、我が大陸の竜力の加護を持って
白竜様の元へお向かい下さい","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","11"
"0","","さあ、我が大陸の竜力の加護を持って
白竜様の元へお向かい下さい","さあ、我が大陸の竜力の加護を持って
白竜様の元へお向かい下さい","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","12"
"0","","よくやった――
我が竜力の新たな高みを解放できたぞ","よくやった――
我が竜力の新たな高みを解放できたぞ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","13"
"0","","んじゃ、おっぱじめるとするか
試練だからって、油断すんなよ","んじゃ、おっぱじめるとするか
試練だからって、油断すんなよ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","14"
"0","","いたぞ、あれだ、最初の試練ってやつだ","いたぞ、あれだ、最初の試練ってやつだ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","15"
"0","","いいぞ、次の場所へ向かうぞ","いいぞ、次の場所へ向かうぞ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","16"
"0","","ほら、あそこだ、第二の試練だ","ほら、あそこだ、第二の試練だ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","17"
"0","","おし、いよいよ最後だ、気合入れてくぞ！","おし、いよいよ最後だ、気合入れてくぞ！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","18"
"0","","いたぞ、あそこだ、これで最後だ","いたぞ、あそこだ、これで最後だ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","19"
"0","","ああ、流石だな、これで試練は終わりだぜ
どうだ、何か変わったか？","ああ、流石だな、これで試練は終わりだぜ
どうだ、何か変わったか？","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","20"
"0","","とにかく試練はきっちり見届けさせて貰ったぜ
<NPC 3050>とこへ戻るとするか","とにかく試練はきっちり見届けさせて貰ったぜ
<NPC 3050>とこへ戻るとするか","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","21"
"0","","俺様の力、あらためて見せてやるぜ","俺様の力、あらためて見せてやるぜ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","22"
"0","","ちゃっちゃと終わらせるぞ","ちゃっちゃと終わらせるぞ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","23"
"0","","ちょっとは俺にもまわせよ","ちょっとは俺にもまわせよ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","24"
"0","","派手にいこうぜ！","派手にいこうぜ！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","25"
"0","","敵に舐められたら終いだぞ","敵に舐められたら終いだぞ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","26"
"0","","気合入れろ、気合をよ！","気合入れろ、気合をよ！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","27"
"0","","オラオラオラオラァ！","オラオラオラオラァ！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","28"
"0","","そうだ、気を奮い立たせろ！","そうだ、気を奮い立たせろ！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","29"
"0","","渾身の一撃、見せてやる！","渾身の一撃、見せてやる！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","30"
"0","","こいつを喰らいやがれ！","こいつを喰らいやがれ！","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","31"
"0","","やあ、今年もハロウィンの季節がきたんだが――
実はシェリーちゃんの様子が変なんだ","やあ、今年もハロウィンの季節がきたんだが――
実はシェリーちゃんの様子が変なんだ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","0"
"0","","怒ってるわけでも無さそうだし
喋ると何だか妙に怖いしで
ああなっている理由がさっぱりわからない
頼む、君も様子をみてくれないか","怒ってるわけでも無さそうだし
喋ると何だか妙に怖いしで
ああなっている理由がさっぱりわからない
頼む、君も様子をみてくれないか","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","1"
"0","","ヨウヤク、コノキセツガキタワネ
コトシコソハ――オカシヲ、タクサン――
フフフフ――フフフフフ――","ヨウヤク、コノキセツガキタワネ
コトシコソハ――オカシヲ、タクサン――
フフフフ――フフフフフ――","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","2"
"0","","ワタシガ、ヘン――？
フフフフフ、オカシナコトヲ――イウノネェ
ホラ、マチガイナクしぇりーヨ","ワタシガ、ヘン――？
フフフフフ、オカシナコトヲ――イウノネェ
ホラ、マチガイナクしぇりーヨ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","3"
"0","","ソンナコトヨリ
オカシ、チョウダイ","ソンナコトヨリ
オカシ、チョウダイ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","4"
"0","","ほら！　な！？
やっぱり様子がおかしいだろう
頼む、彼女に何がおこったのか調べてくれ！
このままでは今年のハロウィンは中止だぁ！","ほら！　な！？
やっぱり様子がおかしいだろう
頼む、彼女に何がおこったのか調べてくれ！
このままでは今年のハロウィンは中止だぁ！","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","5"
"0","","そういえば、ここに来る途中に聞いたんだが
《ゴーストランタン》というものがあるらしい
かざすと真実の姿を照らし出すという
不思議な力をもったランタンだそうだ","そういえば、ここに来る途中に聞いたんだが
《ゴーストランタン》というものがあるらしい
かざすと真実の姿を照らし出すという
不思議な力をもったランタンだそうだ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","6"
"0","","それを何とかして入手できないだろうか――
えーっと、いつもの！
何でも交換してくれる彼！
彼のところで調べてきてくれ","それを何とかして入手できないだろうか――
えーっと、いつもの！
何でも交換してくれる彼！
彼のところで調べてきてくれ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","7"
"0","","おやおや、覚者さん
ずいぶん急いでどうなさいました
――本日はどのようなご用件で？","おやおや、覚者さん
ずいぶん急いでどうなさいました
――本日はどのようなご用件で？","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","8"
"0","","なるほど、《ゴーストランタン》でございますか
――あることにはありますよ、ええ","なるほど、《ゴーストランタン》でございますか
――あることにはありますよ、ええ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","9"
"0","","こちら少々“いわく付き”の品なので
あまり表には出していないのですがね――
へっへへ、他ならぬ覚者さんの頼みですからねぇ
ええ、交換とさせていただきましょうか","こちら少々“いわく付き”の品なので
あまり表には出していないのですがね――
へっへへ、他ならぬ覚者さんの頼みですからねぇ
ええ、交換とさせていただきましょうか","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","10"
"0","","そりゃ、いくら覚者さんといえど
タダで差し上げるわけにはいきませんよ
相応の品をお持ち下されば
その対価としてお譲りいたしますとも――へへ","そりゃ、いくら覚者さんといえど
タダで差し上げるわけにはいきませんよ
相応の品をお持ち下されば
その対価としてお譲りいたしますとも――へへ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","11"
"0","","持ってきていただく品物は――
そうですね、今しか手に入らない
《おばけマシュマロ》でいかがです
なんでも、魔物を倒すと手に入るそうで","持ってきていただく品物は――
そうですね、今しか手に入らない
《おばけマシュマロ》でいかがです
なんでも、魔物を倒すと手に入るそうで","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","12"
"0","","おお、とてもよくお似合いで――
ただし、以前にも申しました通り
そのランタンは多少“いわく付き”の品でして
あやしげなものを照らす際には、ご注意を","おお、とてもよくお似合いで――
ただし、以前にも申しました通り
そのランタンは多少“いわく付き”の品でして
あやしげなものを照らす際には、ご注意を","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","13"
"0","","おおお、それがゴーストランタンか！
早速シェリーちゃんを照らして
――と思ったのだが、当のシェリーちゃんが
どこかへ行ってしまったのだ","おおお、それがゴーストランタンか！
早速シェリーちゃんを照らして
――と思ったのだが、当のシェリーちゃんが
どこかへ行ってしまったのだ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","14"
"0","","追いかけたのだが、フラフラしてる割に
意外と足が速くて――
み、見失ってしまって――","追いかけたのだが、フラフラしてる割に
意外と足が速くて――
み、見失ってしまって――","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","15"
"0","","方向的にはテル村の方へ
行ったんじゃないかと思うんだがね
――頼む、彼女を探してきてくれ！","方向的にはテル村の方へ
行ったんじゃないかと思うんだがね
――頼む、彼女を探してきてくれ！","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","16"
"0","","ああ、覚者さん
ついさっき、不思議な恰好の美女が
ブツブツ独り言を言いながら
井戸の方に歩いていったのを見たんだよ","ああ、覚者さん
ついさっき、不思議な恰好の美女が
ブツブツ独り言を言いながら
井戸の方に歩いていったのを見たんだよ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","17"
"0","","何事かと思って後を追ったんだけど
いくら覗いても井戸の中には
誰もいないんだ","何事かと思って後を追ったんだけど
いくら覗いても井戸の中には
誰もいないんだ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","18"
"0","","真っ暗だし、探すのをやめて出てきたよ
何か明るく照らすものがないとダメだな","真っ暗だし、探すのをやめて出てきたよ
何か明るく照らすものがないとダメだな","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","19"
"0","","そこの井戸に女性が入っていくのを見たけど
暗くて何も見えないから、
何か明るく照らすものをもって行った方がいい","そこの井戸に女性が入っていくのを見たけど
暗くて何も見えないから、
何か明るく照らすものをもって行った方がいい","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","20"
"0","","ナ、ナアニ？　コンナトコロマデ――
ワタシニ、ナニカヨウ？","ナ、ナアニ？　コンナトコロマデ――
ワタシニ、ナニカヨウ？","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","21"
"0","","ココニハ、アヤシイモノナンテ
ナニモナイワ
――シンジテクレルワヨネ？","ココニハ、アヤシイモノナンテ
ナニモナイワ
――シンジテクレルワヨネ？","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","22"
"0","","信じない","Don't believe","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","23"
"0","","信じる","Believe","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","24"
"0","","アラ、ウフフフ
オホホ――ァアハハハハハ","アラ、ウフフフ
オホホ――ァアハハハハハ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","25"
"0","","バレテイタノネ
ミノガシテアゲヨウト
オモッタノニ","バレテイタノネ
ミノガシテアゲヨウト
オモッタノニ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","26"
"0","","ソウヨ、ワタシハしぇりーヨ","ソウヨ、ワタシハしぇりーヨ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","27"
"0","","あら？　私、どうしてこんなところに？
おかしいわねぇ、アンジェロと一緒に
今年のハロウィンをお知らせに来たはずなのに","あら？　私、どうしてこんなところに？
おかしいわねぇ、アンジェロと一緒に
今年のハロウィンをお知らせに来たはずなのに","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","28"
"0","","珍しいお菓子を拾おうと思ったら
急に目の前に――誰かのドレスのすそが見えて――
その先をよく覚えてないわ","珍しいお菓子を拾おうと思ったら
急に目の前に――誰かのドレスのすそが見えて――
その先をよく覚えてないわ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","29"
"0","","とにかく、早くレスタニアに戻って
アンジェロとハロウィンの準備をしなきゃね！
先に戻ってアンジェロにもそう伝えてくれるかしら","とにかく、早くレスタニアに戻って
アンジェロとハロウィンの準備をしなきゃね！
先に戻ってアンジェロにもそう伝えてくれるかしら","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","30"
"0","","先に戻ってアンジェロに伝えてくれない？
私もすぐ帰るからって","先に戻ってアンジェロに伝えてくれない？
私もすぐ帰るからって","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","31"
"0","","おお！　シェリーちゃんが帰ってきた！
しかも、様子がおかしかった原因も
無事に解決したようじゃないか！","おお！　シェリーちゃんが帰ってきた！
しかも、様子がおかしかった原因も
無事に解決したようじゃないか！","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","32"
"0","","君に頼んで正解だった
いやー助かった、本当にどうもありがとう
正直怖くてどうしようかと思ったよ","君に頼んで正解だった
いやー助かった、本当にどうもありがとう
正直怖くてどうしようかと思ったよ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","33"
"0","","さっ、今年も楽しくおいしい
ステキなハロウィンを始めようじゃないかッ！","さっ、今年も楽しくおいしい
ステキなハロウィンを始めようじゃないかッ！","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","34"
"0","","魔物を倒して、お菓子をたくさん集めたら
あの鑑定交換のおじさんのところに行くといい","魔物を倒して、お菓子をたくさん集めたら
あの鑑定交換のおじさんのところに行くといい","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","35"
"0","","フフフ、彼には事前に“景品”になるものを
準備してもらっておいたのだ
食べてよし、交換してよしのハロウィン
楽しんでくれたまえ！","フフフ、彼には事前に“景品”になるものを
準備してもらっておいたのだ
食べてよし、交換してよしのハロウィン
楽しんでくれたまえ！","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","36"
"0","","――「いわく付きの物を処分するいい機会」とか
言っていた気もするが、彼なりのジョークだろう
い、一応は実際に見て確かめておいた方が
いいかもしれないがね","――「いわく付きの物を処分するいい機会」とか
言っていた気もするが、彼なりのジョークだろう
い、一応は実際に見て確かめておいた方が
いいかもしれないがね","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","37"
"0","","アンジェロに心配かけちゃったわ
彼ったらずいぶんうろたえたみたい","アンジェロに心配かけちゃったわ
彼ったらずいぶんうろたえたみたい","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","38"
"0","","あ、そうそう
あの不思議なカボチャの被り物
私には似合わないからあなたに上げるわ","あ、そうそう
あの不思議なカボチャの被り物
私には似合わないからあなたに上げるわ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","39"
"0","","そうそう、ゴーストランタン以外にも
いろんな“いわく付き”のものを取り揃えております
気になるものがあれば、お菓子と交換いたしますよ","そうそう、ゴーストランタン以外にも
いろんな“いわく付き”のものを取り揃えております
気になるものがあれば、お菓子と交換いたしますよ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","40"
"0","","ああシェリーちゃん、一体どうしちゃったんだ","ああシェリーちゃん、一体どうしちゃったんだ","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","41"
"0","","ワスレモシナイ　キョネンノイマゴロ――オマエタチハ
ワタシノアツメタ、くっきートきゃんでぃーヲ
ネコソギウバッテイッタノヨ！
コトシコソ、ウバウガワニ――！","ワスレモシナイ　キョネンノイマゴロ――オマエタチハ
ワタシノアツメタ、くっきートきゃんでぃーヲ
ネコソギウバッテイッタノヨ！
コトシコソ、ウバウガワニ――！","ui\00_message\quest\q60301000.gmd","\quest\q60301000.arc","q60301000.arc","42"
"0","q60301000_00_282","ハロウィンの闇","The Darkness of Halloween","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","0"
"1","q60301000_00_282","アンジェロの悩みを解決する","Resolve Angelo's problem.","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","1"
"2","q60301000_00_3823","シェリーの様子をうかがう","Examine Shelly's appearance","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","2"
"3","q60301000_00_3824","アンジェロと話をする","Speak to Angelo","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","3"
"4","q60301000_00_3825","グレゴリーにランタンについて聞きに行く","Head to Gregory and inquire details about lanterns","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","4"
"5","q60301000_00_3826","ゴーストランタンを鑑定交換で手に入れる","Obtain Ghost Lantern from Appraisal Exchange","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","5"
"6","q60301000_00_3833","入手したランタンをアンジェロに見せる","Show Angelo the lantern you obtained","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","6"
"7","q60301000_00_3827","シェリーを追ってテル村へ向かい情報を探す","Following Shelly head to Tel village and search for information","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","7"
"8","q60301000_00_3828","テルの枯れ井戸内を調査する","Investigate inside Tel's Withered Well","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","8"
"9","q60301000_00_3829","出現した敵を討伐する","Defeat the appeared enemy","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","9"
"10","q60301000_00_3830","シェリーの無事を確認する","Check Shelly's safety","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","10"
"11","q60301000_00_3831","アンジェロに報告する","Report to Angelo","ui\00_message\quest_info\q60301000_00.gmd","\quest\q60301000.arc","q60301000.arc","11"
"0","q60301002_00_290","不思議な流れ星とみんなの願い＜１＞","Wish on a Shooting Star I","ui\00_message\quest_info\q60301002_00.gmd","\quest\q60301002.arc","q60301002.arc","0"
"1","q60301002_00_290","不思議な流れ星について
情報を集める","不思議な流れ星について
情報を集める","ui\00_message\quest_info\q60301002_00.gmd","\quest\q60301002.arc","q60301002.arc","1"
"2","q60301002_00_4120","詳しい話をニコラスから聞く","詳しい話をニコラスから聞く","ui\00_message\quest_info\q60301002_00.gmd","\quest\q60301002.arc","q60301002.arc","2"
"3","q60301002_00_4071","ホリデーシーズンに相応しい恰好をする","ホリデーシーズンに相応しい恰好をする","ui\00_message\quest_info\q60301002_00.gmd","\quest\q60301002.arc","q60301002.arc","3"
"4","q60301002_00_4072","ニコラスに報告する","ニコラスに報告する","ui\00_message\quest_info\q60301002_00.gmd","\quest\q60301002.arc","q60301002.arc","4"
"0","","ホッホッホ、一年ぶりだな
君もレスタニアの民も元気だったかな？
さぁ、今年もこの季節がやってきたぞ","ホッホッホ、一年ぶりだな
君もレスタニアの民も元気だったかな？
さぁ、今年もこの季節がやってきたぞ","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","0"
"0","","ただ、今回わしらには“とある探し物”もあってな
「クリスマスには不思議な流れ星が落ちてくる」
という伝説があるのを知っているかな？","ただ、今回わしらには“とある探し物”もあってな
「クリスマスには不思議な流れ星が落ちてくる」
という伝説があるのを知っているかな？","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","1"
"0","","元々はわしらの暮らす地方に伝わる伝承だが
なんでもその“不思議な流れ星”が
こちらの地方に落ちてきたという噂があるのだ","元々はわしらの暮らす地方に伝わる伝承だが
なんでもその“不思議な流れ星”が
こちらの地方に落ちてきたという噂があるのだ","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","2"
"0","","クリスマスの準備はもちろんだが
この流れ星の情報収集も手伝ってもらえないかね？","クリスマスの準備はもちろんだが
この流れ星の情報収集も手伝ってもらえないかね？","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","3"
"0","","それではまず、やることはわかっているかな？
そうだ、クリスマスに相応しい恰好から入るのだ","それではまず、やることはわかっているかな？
そうだ、クリスマスに相応しい恰好から入るのだ","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","4"
"0","","“昨年と同じクリスマスの装い”
“キャメロンの店に入荷したクリスマスの武器”
“好きな装備を赤く染めたもの”
どれでも一つ、君の好きな物を選んで着てきなさい","“昨年と同じクリスマスの装い”
“キャメロンの店に入荷したクリスマスの武器”
“好きな装備を赤く染めたもの”
どれでも一つ、君の好きな物を選んで着てきなさい","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","5"
"0","","もちろん、昨年プレゼントした《プレゼントサック》
《トナカイのコイフ》でもよいぞ","もちろん、昨年プレゼントした《プレゼントサック》
《トナカイのコイフ》でもよいぞ","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","6"
"0","","おお、着替えてきたか！
ふむふむ今年もバッチリのようだ","おお、着替えてきたか！
ふむふむ今年もバッチリのようだ","ui\00_message\quest\q60301002.gmd","\quest\q60301002.arc","q60301002.arc","7"
