4,q90000207_00_1640,3種の宝石を探し出し、討伐せよ,Find and defeat the three types of gems.,ui\00_message\quest_info\q90000207_00.gmd,\quest\q90000207.arc,q90000207.arc,4
2,q90000402_00_1298,敵討伐しながら《リムストーンの原石》を探せ,"Search for the Riftstone Ore while subjugating
enemies.",ui\00_message\quest_info\q90000402_00.gmd,\quest\q90000402.arc,q90000402.arc,2
0,q90000403_00_58,太古の強者,Ancient Warrior,ui\00_message\quest_info\q90000403_00.gmd,\quest\q90000403.arc,q90000403.arc,0
1,q90000403_00_58,,,ui\00_message\quest_info\q90000403_00.gmd,\quest\q90000403.arc,q90000403.arc,1
2,q90000403_00_58,,,ui\00_message\quest_info\q90000403_00.gmd,\quest\q90000403.arc,q90000403.arc,2
3,q90000403_00_58,"祭祀場での事態は収束した、覚者の協力に
感謝する、戦況報告がまとまったら、戦果報酬を
配分しよう、しばらく待機してくれ","The situation at the ritual site has been brought
under control.
We are grateful for the assistance of the Arisen.
Once the battle report is compiled, we will
distribute the spoils of war. Please wait
patiently for a while.",ui\00_message\quest_info\q90000403_00.gmd,\quest\q90000403.arc,q90000403.arc,3
0,q90000404_00_59,太古の強者,Ancient Warrior,ui\00_message\quest_info\q90000404_00.gmd,\quest\q90000404.arc,q90000404.arc,0
1,q90000404_00_59,,,ui\00_message\quest_info\q90000404_00.gmd,\quest\q90000404.arc,q90000404.arc,1
2,q90000404_00_59,太古の強者《最終報酬》,Ancient Warrior (Final Reward),ui\00_message\quest_info\q90000404_00.gmd,\quest\q90000404.arc,q90000404.arc,2
3,q90000404_00_59,"報酬配分が確定した
覚者は受け取り手続きを済ませてくれ
今後も騎士と覚者は協力して事態解決に当たろう","The distribution of rewards has been finalized.
Arisen, please complete the necessary steps for
receiving them.
In the future, the Knight and Arisen shall
cooperate to resolve the situation.",ui\00_message\quest_info\q90000404_00.gmd,\quest\q90000404.arc,q90000404.arc,3
0,q90000405_00_60,太古の強者,Ancient Warrior,ui\00_message\quest_info\q90000405_00.gmd,\quest\q90000405.arc,q90000405.arc,0
1,q90000405_00_60,"古の祭祀場にて魔物出現への対処を開始している
騎士団討伐隊も死力を尽くしてこれに当たっているが
強力な魔物らを制するには覚者の協力が不可欠だ
なお深部で感知されている強力な個体の波動に
一部乱れのようなものが認められたらしい
もし攻勢をかける好機ならば、より応援が必要だ","Efforts have begun to deal with the appearance of
monsters at the ancient ritual site. The Order of
Knights' extermination team is also doing its
utmost in this regard, but the cooperation of the
Arisen is essential to control these powerful
monsters. Additionally, it seems that there has
been some disturbance detected in the waves from
the powerful individual sensed in the depths. If
there's an opportune moment to launch an
offensive, even more support will be required.",ui\00_message\quest_info\q90000405_00.gmd,\quest\q90000405.arc,q90000405.arc,1
4,q90000405_00_60,太古の強者《リザルト報酬》,Ancient Warrior (Result Reward),ui\00_message\quest_info\q90000405_00.gmd,\quest\q90000405.arc,q90000405.arc,4
5,q90000405_00_60,"古の祭祀場で魔物出現に対処中である
強力な敵個体も検知した、騎士団員は
総力を尽くしているが覚者の協力が必須だ","We're currently dealing with the appearance of
monsters at the Ancient Place of Rituals.
We've also detected powerful enemy individuals;
the knights are giving their all, but the
cooperation of the Arisen is essential.",ui\00_message\quest_info\q90000405_00.gmd,\quest\q90000405.arc,q90000405.arc,5
2,q90000405_00_1296,錬魔具と溶命石を攻撃し、黄金竜を撃退せよ,"Attack the alchemical tools and life crystals,
and repel the Golden Dragon!",ui\00_message\quest_info\q90000405_00.gmd,\quest\q90000405.arc,q90000405.arc,2
3,q90000405_00_1297,迅速に撃退し、60000pt以上獲得を目指せ,"Swiftly repel the enemy and aim to acquire more
than 60,000 points.",ui\00_message\quest_info\q90000405_00.gmd,\quest\q90000405.arc,q90000405.arc,3
0,q90000406_00_73,太古の強者,Ancient Warrior,ui\00_message\quest_info\q90000406_00.gmd,\quest\q90000406.arc,q90000406.arc,0
1,q90000406_00_73,"古の祭祀場にて魔物出現への対処を開始している
騎士団討伐隊も死力を尽くしてこれに当たっているが
強力な魔物らを制するには覚者の協力が不可欠だ
また深部からは強力な個体のものと思われる波動が
検知されている
今は少しでも多くの応援が欲しい","At the ancient place of rituals, measures to deal
with the appearance of monsters have begun. The
knight squad is also doing their best to face
this, but the cooperation of the Arisen is
essential to overcome powerful monsters.
Furthermore, powerful waves, presumed to be from
individual creatures in the depths, have been
detected. We need as much support as possible
right now.",ui\00_message\quest_info\q90000406_00.gmd,\quest\q90000406.arc,q90000406.arc,1
4,q90000406_00_73,太古の強者《リザルト報酬》,Ancient Warrior (Result Reward),ui\00_message\quest_info\q90000406_00.gmd,\quest\q90000406.arc,q90000406.arc,4
5,q90000406_00_73,"古の祭祀場で魔物出現に対処中である
強力な敵個体も検知した、騎士団員は
総力を尽くしているが覚者の協力が必須だ","We're currently dealing with the appearance of
monsters at the Ancient Place of Rituals.
We've also detected powerful enemy individuals;
the knights are giving their all, but the
cooperation of the Arisen is essential.",ui\00_message\quest_info\q90000406_00.gmd,\quest\q90000406.arc,q90000406.arc,5
2,q90000406_00_1357,弱点部位を攻撃し、グランエントを討伐せよ,Attack the weak points and defeat the Grand Ents.,ui\00_message\quest_info\q90000406_00.gmd,\quest\q90000406.arc,q90000406.arc,2
3,q90000406_00_1358,迅速に討伐し、40000pt以上獲得を目指せ,"Swiftly defeat the enemy and aim to acquire more
than 40,000 points.",ui\00_message\quest_info\q90000406_00.gmd,\quest\q90000406.arc,q90000406.arc,3
0,q90000410_00_61,眩き黄金,The Dazzling Gold,ui\00_message\quest_info\q90000410_00.gmd,\quest\q90000410.arc,q90000410.arc,0
1,q90000410_00_61,,,ui\00_message\quest_info\q90000410_00.gmd,\quest\q90000410.arc,q90000410.arc,1
2,q90000410_00_61,,,ui\00_message\quest_info\q90000410_00.gmd,\quest\q90000410.arc,q90000410.arc,2
3,q90000410_00_61,,,ui\00_message\quest_info\q90000410_00.gmd,\quest\q90000410.arc,q90000410.arc,3
0,q90000411_00_62,眩き黄金,The Dazzling Gold,ui\00_message\quest_info\q90000411_00.gmd,\quest\q90000411.arc,q90000411.arc,0
1,q90000411_00_62,,,ui\00_message\quest_info\q90000411_00.gmd,\quest\q90000411.arc,q90000411.arc,1
2,q90000411_00_62,,,ui\00_message\quest_info\q90000411_00.gmd,\quest\q90000411.arc,q90000411.arc,2
3,q90000411_00_62,"黄金竜はこれまでの敵とは比べ物にならない
強さだ、勇気ある覚者も充分な準備を整えて
決戦に臨んでくれ","The Golden Dragon is incomparable to previous
enemies in terms of strength, so please,
courageous Arisen, make thorough preparations and
face the decisive battle.",ui\00_message\quest_info\q90000411_00.gmd,\quest\q90000411.arc,q90000411.arc,3
0,q90000412_00_63,眩き黄金,The Dazzling Gold,ui\00_message\quest_info\q90000412_00.gmd,\quest\q90000412.arc,q90000412.arc,0
1,q90000412_00_63,"決戦の地では激しい戦いが展開されている
黄金竜の勢いは衰えを知らず、数で有利な我々も
一瞬たりとも気を抜けない状況だ
白竜との因縁深きやつの接近をこれ以上許せば
レスタニアの地が危ない
勇士よ集え、さらなる覚者の応援を請う","A fierce battle is unfolding at the battlefield.
The momentum of the Golden Dragon shows no signs
of waning, and despite our numerical advantage, we
can't afford to let our guard down for even a
moment. If we allow that one, deeply fated with
the White Dragon to approach any further, the land
of Lestania will be in danger. Warriors, come
together, and we request further support from the
Arisen.",ui\00_message\quest_info\q90000412_00.gmd,\quest\q90000412.arc,q90000412.arc,1
2,q90000412_00_63,眩き黄金《最終報酬》,The Dazzling Gold (Final Reward),ui\00_message\quest_info\q90000412_00.gmd,\quest\q90000412.arc,q90000412.arc,2
3,q90000412_00_63,"黄金竜との決戦が展開中だ、こちらは数で
優位にあるが、奴の勢いは衰えを知らない
さらなる覚者の応援を請う","The battle with the Golden Dragon is currently
underway. We have the numerical advantage, but its
momentum shows no sign of weakening. We request
further support from the Arisen.",ui\00_message\quest_info\q90000412_00.gmd,\quest\q90000412.arc,q90000412.arc,3
0,q90000413_00_64,眩き黄金,The Dazzling Gold,ui\00_message\quest_info\q90000413_00.gmd,\quest\q90000413.arc,q90000413.arc,0
1,q90000413_00_64,,,ui\00_message\quest_info\q90000413_00.gmd,\quest\q90000413.arc,q90000413.arc,1
2,q90000413_00_64,,,ui\00_message\quest_info\q90000413_00.gmd,\quest\q90000413.arc,q90000413.arc,2
3,q90000413_00_64,"黄金竜の撃退に成功した
覚者の連携力と勇気がこの成果に繋がったのだ
戦果は追って報告する、白竜に感謝し待つがいい","The Golden Dragon has been successfully repelled.
The cooperation and bravery of the Arisen led to
this achievement.
The results of the battle will be reported later,
we thank the White Dragon and await its return.",ui\00_message\quest_info\q90000413_00.gmd,\quest\q90000413.arc,q90000413.arc,3
0,q90000414_00_65,眩き黄金,The Dazzling Gold,ui\00_message\quest_info\q90000414_00.gmd,\quest\q90000414.arc,q90000414.arc,0
1,q90000414_00_65,,,ui\00_message\quest_info\q90000414_00.gmd,\quest\q90000414.arc,q90000414.arc,1
2,q90000414_00_65,眩き黄金《最終報酬》,The Dazzling Gold (Final Reward),ui\00_message\quest_info\q90000414_00.gmd,\quest\q90000414.arc,q90000414.arc,2
3,q90000414_00_65,"健闘を讃え報酬を配分する
この経験を活かしさらなる精進に励んでくれ
黄金竜は必ずまた来る、次回も協力よろしく頼む","We applaud your valiant efforts and will
distribute the rewards. Please make use of this
experience and strive for further improvement. The
Golden Dragon will definitely come again, so
please cooperate with us next time.",ui\00_message\quest_info\q90000414_00.gmd,\quest\q90000414.arc,q90000414.arc,3
0,q90000415_00_66,眩き黄金,The Dazzling Gold,ui\00_message\quest_info\q90000415_00.gmd,\quest\q90000415.arc,q90000415.arc,0
1,q90000415_00_66,"決戦の地では激しい戦いが展開されている
黄金竜の勢いは衰えを知らず、数で有利な我々も
一瞬たりとも気を抜けない状況だ
白竜との因縁深きやつの接近をこれ以上許せば
レスタニアの地が危ない
勇士よ集え、さらなる覚者の応援を請う","A fierce battle is unfolding at the battlefield.
The momentum of the Golden Dragon shows no signs
of waning, and despite our numerical advantage, we
can't afford to let our guard down for even a
moment. If we allow that one, deeply fated with
the White Dragon to approach any further, the land
of Lestania will be in danger. Warriors, come
together, and we request further support from the
Arisen.",ui\00_message\quest_info\q90000415_00.gmd,\quest\q90000415.arc,q90000415.arc,1
4,q90000415_00_66,眩き黄金《リザルト報酬》,The Dazzling Gold (Result Reward),ui\00_message\quest_info\q90000415_00.gmd,\quest\q90000415.arc,q90000415.arc,4
5,q90000415_00_66,"黄金竜との決戦が展開中だ、こちらは数で
優位にあるが、奴の勢いは衰えを知らない
さらなる覚者の応援を請う","The battle with the Golden Dragon is currently
underway. We have the numerical advantage, but its
momentum shows no sign of weakening. We request
further support from the Arisen.",ui\00_message\quest_info\q90000415_00.gmd,\quest\q90000415.arc,q90000415.arc,5
2,q90000415_00_1294,錬魔具と溶命石を攻撃し、黄金竜を撃退せよ,"Attack the alchemical tools and life crystals,
and repel the Golden Dragon!",ui\00_message\quest_info\q90000415_00.gmd,\quest\q90000415.arc,q90000415.arc,2
3,q90000415_00_1356,迅速に撃退し、100000pt以上獲得を目指せ,"Swiftly repel the enemy and aim to acquire more
than 100,000 points.",ui\00_message\quest_info\q90000415_00.gmd,\quest\q90000415.arc,q90000415.arc,3
0,q90000420_00_67,失われた秩序,The Lost Order,ui\00_message\quest_info\q90000420_00.gmd,\quest\q90000420.arc,q90000420.arc,0
1,q90000420_00_67,,,ui\00_message\quest_info\q90000420_00.gmd,\quest\q90000420.arc,q90000420.arc,1
2,q90000420_00_67,,,ui\00_message\quest_info\q90000420_00.gmd,\quest\q90000420.arc,q90000420.arc,2
3,q90000420_00_67,,,ui\00_message\quest_info\q90000420_00.gmd,\quest\q90000420.arc,q90000420.arc,3
0,q90000421_00_68,失われた秩序,The Lost Order,ui\00_message\quest_info\q90000421_00.gmd,\quest\q90000421.arc,q90000421.arc,0
1,q90000421_00_68,,,ui\00_message\quest_info\q90000421_00.gmd,\quest\q90000421.arc,q90000421.arc,1
2,q90000421_00_68,,,ui\00_message\quest_info\q90000421_00.gmd,\quest\q90000421.arc,q90000421.arc,2
3,q90000421_00_68,"謎の敵の出現の兆しがある、今より迎撃態勢を
告知する、協力を申し出た覚者は最優先で
対処に応じてくれ、騎士団も協力を惜しまない","There are signs of the mysterious enemy's
appearance, so we are announcing the need to
prepare for interception. The Arisen who offered
their cooperation will be given top priority and
responded to accordingly. The Knight Order also
willingly offers their assistance.",ui\00_message\quest_info\q90000421_00.gmd,\quest\q90000421.arc,q90000421.arc,3
0,q90000422_00_69,失われた秩序,The Lost Order,ui\00_message\quest_info\q90000422_00.gmd,\quest\q90000422.arc,q90000422.arc,0
1,q90000422_00_69,"レスタニアで謎の敵影が目撃され
襲撃報告も入ってきている
各自、最悪の状況を想定して行動せよ
白竜は言う「覚者とは抜き身の刃、研がねば腐る」
いまこそその力、研ぎ澄ますのだ","A mysterious enemy presence has been spotted in
Lestania, and there have been reports of attacks.
Everyone, prepare for the worst-case scenario and
act accordingly. The White Dragon says, ""The
Arisen is a blade unsheathed, it will perish if
not honed."" Now is the time to sharpen that power.",ui\00_message\quest_info\q90000422_00.gmd,\quest\q90000422.arc,q90000422.arc,1
2,q90000422_00_69,失われた秩序《最終報酬》,The Lost Order (Final Reward),ui\00_message\quest_info\q90000422_00.gmd,\quest\q90000422.arc,q90000422.arc,2
3,q90000422_00_69,"レスタニアで謎の敵が目撃されている
覚者は異質な魔物に対して
十分な警戒と備えを持って対処せよ","In Lestania, an unknown enemy has been sighted.
The Arisen should be prepared and vigilant in
dealing with these unfamiliar creatures.",ui\00_message\quest_info\q90000422_00.gmd,\quest\q90000422.arc,q90000422.arc,3
0,q90000423_00_70,失われた秩序,The Lost Order,ui\00_message\quest_info\q90000423_00.gmd,\quest\q90000423.arc,q90000423.arc,0
1,q90000423_00_70,,,ui\00_message\quest_info\q90000423_00.gmd,\quest\q90000423.arc,q90000423.arc,1
2,q90000423_00_70,,,ui\00_message\quest_info\q90000423_00.gmd,\quest\q90000423.arc,q90000423.arc,2
3,q90000423_00_70,"事態は一定の収束をみた、迎撃態勢は解除する
覚者の協力については報酬を用意している
集計結果を待ってほしい","The situation has reached a certain resolution,
and the interception preparations will be lifted.
We have prepared rewards for the assistance of the
Arisen. Please wait for the aggregation results.",ui\00_message\quest_info\q90000423_00.gmd,\quest\q90000423.arc,q90000423.arc,3
0,q90000424_00_71,失われた秩序,The Lost Order,ui\00_message\quest_info\q90000424_00.gmd,\quest\q90000424.arc,q90000424.arc,0
1,q90000424_00_71,,,ui\00_message\quest_info\q90000424_00.gmd,\quest\q90000424.arc,q90000424.arc,1
2,q90000424_00_71,失われた秩序《最終報酬》,The Lost Order (Final Reward),ui\00_message\quest_info\q90000424_00.gmd,\quest\q90000424.arc,q90000424.arc,2
3,q90000424_00_71,"覚者への報酬が確定した
白竜の盾としての充分な活躍に感謝する
有事の際はまた協力を請う","The reward for the Arisen has been determined.
We are grateful for your sufficient contribution
as the Shield of the White Dragon.
In times of need, we will once again ask for your
cooperation.",ui\00_message\quest_info\q90000424_00.gmd,\quest\q90000424.arc,q90000424.arc,3
0,q90000425_00_72,失われた秩序,The Lost Order,ui\00_message\quest_info\q90000425_00.gmd,\quest\q90000425.arc,q90000425.arc,0
1,q90000425_00_72,"レスタニアで謎の敵影が目撃され
襲撃報告も入ってきている
各自、最悪の状況を想定して行動せよ
白竜は言う「覚者とは抜き身の刃、研がねば腐る」
いまこそその力、研ぎ澄ますのだ","A mysterious enemy presence has been spotted in
Lestania, and there have been reports of attacks.
Everyone, prepare for the worst-case scenario and
act accordingly. The White Dragon says, ""The
Arisen is a blade unsheathed, it will perish if
not honed."" Now is the time to sharpen that power.",ui\00_message\quest_info\q90000425_00.gmd,\quest\q90000425.arc,q90000425.arc,1
4,q90000425_00_72,失われた秩序《リザルト報酬》,The Lost Order (Result Reward),ui\00_message\quest_info\q90000425_00.gmd,\quest\q90000425.arc,q90000425.arc,4
5,q90000425_00_72,"レスタニアで謎の敵が目撃されている
覚者は異質な魔物に対して
十分な警戒と備えを持って対処せよ","In Lestania, an unknown enemy has been sighted.
The Arisen should be prepared and vigilant in
dealing with these unfamiliar creatures.",ui\00_message\quest_info\q90000425_00.gmd,\quest\q90000425.arc,q90000425.arc,5
2,q90000425_00_1293,ズールを討伐せよ,Defeat Zuhl.,ui\00_message\quest_info\q90000425_00.gmd,\quest\q90000425.arc,q90000425.arc,2
3,q90000425_00_1353,迅速に討伐し、50000pt以上獲得を目指せ,"Swiftly defeat the enemy and aim to acquire more
than 50,000 points.",ui\00_message\quest_info\q90000425_00.gmd,\quest\q90000425.arc,q90000425.arc,3
0,q90020100_00_80,目覚めし闇の魔物,The Demon of Darkness Awakens,ui\00_message\quest_info\q90020100_00.gmd,\quest\q90020100.arc,q90020100.arc,0
1,q90020100_00_80,,,ui\00_message\quest_info\q90020100_00.gmd,\quest\q90020100.arc,q90020100.arc,1
2,q90020100_00_80,,,ui\00_message\quest_info\q90020100_00.gmd,\quest\q90020100.arc,q90020100.arc,2
3,q90020100_00_80,目覚めし闇の魔物（管理）,The Demon of Darkness Awakens (Management),ui\00_message\quest_info\q90020100_00.gmd,\quest\q90020100.arc,q90020100.arc,3
0,q90020101_00_81,目覚めし闇の魔物,The Demon of Darkness Awakens,ui\00_message\quest_info\q90020101_00.gmd,\quest\q90020101.arc,q90020101.arc,0
1,q90020101_00_81,"ボルド大坑道にて召喚士の名を持つワイトの軍勢が
魔物を呼び寄せている
白衛騎士団が部隊を投じて調査にあたっていたが
早期の対処が必須とゲルト団長が判断
覚者への協力要請が伝えられた
召喚士群を至急全滅させ、封印せし魔壁内部へ急げ","In the Volden Large Tunnels, an army of Wights
with the title of summoner is summoning enemies.
The White Knight Order has deployed a unit to
investigate the situation. Captain Gerd has deemed
early intervention essential, and a request for
assistance has been delivered to the Arisen. Hurry
and eliminate the group of summoners, and make
your way inside the sealed magical wall.",ui\00_message\quest_info\q90020101_00.gmd,\quest\q90020101.arc,q90020101.arc,1
2,q90020101_00_81,目覚めし闇の魔物《最終報酬》,The Demon of Darkness Awakens (Final Reward),ui\00_message\quest_info\q90020101_00.gmd,\quest\q90020101.arc,q90020101.arc,2
3,q90020101_00_81,"ボルド大坑道にて召喚士の名を持つワイトの軍勢が
魔物を呼び寄せている
魔壁を打ち破り、封印された最奥の地へ急げ","In the Volden Large Tunnels, an army of Wights
bearing the title of Summoner is summoning
enemies. Break through the magic barrier and
hasten to the deepest sealed grounds.",ui\00_message\quest_info\q90020101_00.gmd,\quest\q90020101.arc,q90020101.arc,3
0,q90020102_00_82,目覚めし闇の魔物,The Demon of Darkness Awakens,ui\00_message\quest_info\q90020102_00.gmd,\quest\q90020102.arc,q90020102.arc,0
1,q90020102_00_82,,,ui\00_message\quest_info\q90020102_00.gmd,\quest\q90020102.arc,q90020102.arc,1
2,q90020102_00_82,,,ui\00_message\quest_info\q90020102_00.gmd,\quest\q90020102.arc,q90020102.arc,2
3,q90020102_00_82,"カースドラゴンの完全復活は防がれた
各々の戦果については追って報告があるので
それまでは待機とする","The complete revival of the Cursed Dragon was
prevented.
We will provide further reports on each
individual battle achievement, so please remain on
standby until then.",ui\00_message\quest_info\q90020102_00.gmd,\quest\q90020102.arc,q90020102.arc,3
0,q90020103_00_83,目覚めし闇の魔物,The Demon of Darkness Awakens,ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,0
1,q90020103_00_83,"ボルド大坑道にて召喚士の名を持つワイトの軍勢が
魔物を呼び寄せている
白衛騎士団が部隊を投じて調査にあたっていたが
早期の対処が必須とゲルト団長が判断
覚者への協力要請が伝えられた
召喚士群を至急全滅させ、封印せし魔壁内部へ急げ","In the Volden Large Tunnels, an army of Wights
with the title of summoner is summoning enemies.
The White Knight Order has deployed a unit to
investigate the situation. Captain Gerd has deemed
early intervention essential, and a request for
assistance has been delivered to the Arisen. Hurry
and eliminate the group of summoners, and make
your way inside the sealed magical wall.",ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,1
7,q90020103_00_83,目覚めし闇の魔物《リザルト報酬》,The Demon of Darkness Awakens (Result Reward),ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,7
8,q90020103_00_83,"ボルド大坑道での召喚士ワイトとの戦闘は続いている
覚者一人一人の戦力の配分が勝利への鍵である
その場に合わせた対応が不可欠だ","The battle with the Summoner Wights in the Volden
Large Tunnels continues.
The power and skills of each Arisen is the key to
victory.
It is essential to adapt to the situation.",ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,8
2,q90020103_00_1783,召喚士の軍勢を全滅させ、勢力拡大を阻止せよ（残り４箇所）,"Defeat the summoner's forces and prevent their
expansion (4 left)",ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,2
3,q90020103_00_1784,召喚士の軍勢を全滅させ、勢力拡大を阻止せよ（残り３箇所）,"Defeat the summoner's army and prevent their
expansion (3 left)",ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,3
4,q90020103_00_1786,召喚士の軍勢を全滅させ、勢力拡大を阻止せよ（残り２箇所）,"Defeat the summoner's army and prevent their
expansion (2 left)",ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,4
5,q90020103_00_1787,召喚士の軍勢を全滅させ、勢力拡大を阻止せよ（残り１箇所）,"Defeat the summoner's army and prevent their
expansion (1 left)",ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,5
6,q90020103_00_1788,カースドラゴンを討伐せよ,Defeat the Cursed Dragon.,ui\00_message\quest_info\q90020103_00.gmd,\quest\q90020103.arc,q90020103.arc,6
0,q90020200_00_84,魔赤島の狂宴,Bloodbane Isle's Feast of Madness,ui\00_message\quest_info\q90020200_00.gmd,\quest\q90020200.arc,q90020200.arc,0
1,q90020200_00_84,,,ui\00_message\quest_info\q90020200_00.gmd,\quest\q90020200.arc,q90020200.arc,1
2,q90020200_00_84,,,ui\00_message\quest_info\q90020200_00.gmd,\quest\q90020200.arc,q90020200.arc,2
3,q90020200_00_84,2.1GMクエスト名（管理）,2.1 GM Quest Name (Management),ui\00_message\quest_info\q90020200_00.gmd,\quest\q90020200.arc,q90020200.arc,3
0,q90020201_00_85,魔赤島の狂宴,Bloodbane Isle's Feast of Madness,ui\00_message\quest_info\q90020201_00.gmd,\quest\q90020201.arc,q90020201.arc,0
1,q90020201_00_85,"アルタード・ズールの軍勢が、突如魔赤島への
襲撃をはじめた
ズールの生命はやはり不死身なのだろうか
幾度となく復活を遂げる魔物への対処法はあるのか
今回こそは、ヤツを完全に仕留めるべく
考え得る最良の準備と戦略を用いて対抗せよ","The Altered Zuhl's army suddenly began their raid
on Bloodbane Isle.
Is Zuhl truly immortal?
Is there a way to deal with the monsters that
have repeatedly come back to life?
This time, prepare and strategize with the best
possible plan to completely take it down.",ui\00_message\quest_info\q90020201_00.gmd,\quest\q90020201.arc,q90020201.arc,1
2,q90020201_00_85,魔赤島の狂宴《最終報酬》,Bloodbane Isle's Feast of Madness (Final Reward),ui\00_message\quest_info\q90020201_00.gmd,\quest\q90020201.arc,q90020201.arc,2
3,q90020201_00_85,,,ui\00_message\quest_info\q90020201_00.gmd,\quest\q90020201.arc,q90020201.arc,3
0,q90020202_00_86,魔赤島の狂宴,Bloodbane Isle's Feast of Madness,ui\00_message\quest_info\q90020202_00.gmd,\quest\q90020202.arc,q90020202.arc,0
1,q90020202_00_86,,,ui\00_message\quest_info\q90020202_00.gmd,\quest\q90020202.arc,q90020202.arc,1
2,q90020202_00_86,,,ui\00_message\quest_info\q90020202_00.gmd,\quest\q90020202.arc,q90020202.arc,2
3,q90020202_00_86,"今回もなんとかズールを退けることができた
現在、覚者一人一人の戦果を確認している
ヤツがまた復活したときは協力を頼みたい","We were able to defeat Zuhl somehow once again
this time.
Currently, we are confirming the achievements of
each Arisen.
When that guy resurrects again, I'd like to ask
for your cooperation.",ui\00_message\quest_info\q90020202_00.gmd,\quest\q90020202.arc,q90020202.arc,3
0,q90020203_00_89,魔赤島の狂宴,Bloodbane Isle's Feast of Madness,ui\00_message\quest_info\q90020203_00.gmd,\quest\q90020203.arc,q90020203.arc,0
1,q90020203_00_89,"アルタード・ズールの軍勢が、突如魔赤島への
襲撃をはじめた
ズールの生命はやはり不死身なのだろうか
幾度となく復活を遂げる魔物への対処法はあるのか
今回こそは、ヤツを完全に仕留めるべく
考え得る最良の準備と戦略を用いて対抗せよ","The Altered Zuhl's army suddenly began their raid
on Bloodbane Isle.
Is Zuhl truly immortal?
Is there a way to deal with the monsters that
have repeatedly come back to life?
This time, prepare and strategize with the best
possible plan to completely take it down.",ui\00_message\quest_info\q90020203_00.gmd,\quest\q90020203.arc,q90020203.arc,1
4,q90020203_00_89,魔赤島の狂宴《リザルト報酬》,Bloodbane Isle's Feast of Madness (Result Reward),ui\00_message\quest_info\q90020203_00.gmd,\quest\q90020203.arc,q90020203.arc,4
